id,text,text_el,is_criticism,topic-context,subtopic-context,sentiment,polarization-definition,populism-definition,ner-limited
1,"Even though the weather did not favor us, we continue our march for June 25th. It is a milestone date for PASOK to return even more dynamically to the political scene. I am sure that with the struggle of each and every one of us individually throughout Greece and here in Crete, we will bring the sun back up and make our island green again, just as the castle of PASOK, the castle of the democratic party, was historically green politically.","Παρόλο που ο καιρός δεν μας έκανε το χατίρι, Συνεχίζουμε ακάθεκτοι την πορεία για τις 25 Ιουνίου. Μια ημερομηνία ορόσημο για να επιστρέψει ακόμη πιο δυναμικά το ΠΑΣΟΚ στο πολιτικό προσκήνιο και είμαι σίγουρος με τον αγώνα κάθε μιας και καθένα ξεχωριστά σε όλη την Ελλάδα και εδώ στην Κρήτη να ξαναφέρουμε τον ήλιο ψηλά και να ξανακάνουμε πράσινο το νησί μας όπως ήταν ιστορικά πράσινο πολιτικα το κάστρο του Πασοκ το κάστρο της δημοκρατικης παράταξης.",political agenda,elections,other,0.45,0,0,"[['june 25th', 'date', '0.9'], ['pasok', 'organization', '0.8'], ['greece', 'country', '0.9'], ['crete', 'location', '0.7'], ['castle of pasok', 'organization', '0.6'], ['democratic party', 'political party', '0.6']]"
2,"But what are we facing in the last few days? Suddenly, they are reading our program until the next elections and all they are asking us is who we are going to go with. Finally, the Greek people answered them with contempt, stating that first the people decide and then there are discussions about governments, convergences, and program dialogues. Now they have discovered the program, but they display what they want and how they want it. Why? Because quite simply, Mr. Mitsotakis and New Democracy are faithful to the doctrine that is all for power without principles or values. They have created a system of communicative absolute storm and communicative totalitarianism. I cannot explain otherwise how it is possible to consider overtaxing €1000, not on the profits of the company, but on personal dividends of €70,000. What we are saying is that it is €1000 more, and it is not overtaxation. It is a blow to the middle class and the weak Greeks that he has collected €5 billion more in VAT than he had budgeted in two years. That is the blow. That is overtaxation. That is the undermining of common sense.","Τι αντιμετωπίζουμε όμως τις τελευταίας μέρες; Ξαφνικά. Διαβάσαν το πρόγραμμα μας μέχρι πριν τις επόμενες εκλογές το μονο που μας ρωταγανε ήταν με ποιον θα πάμε, και τελικά τους απάντησε ο ελληνικός λαός σε αυτή την περιφρόνηση ότι πρώτα ο λαός αποφασίζει και μετά γίνονται αυτές οι συζητήσεις για τις κυβερνήσεις τις σύγκλισεις, το προγραμματικό διάλογο. Τώρα ανακάλυψαν σαν το πρόγραμμα.Αλλά εμφανίζουν ότι θέλουν και όπως θέλουν. Γιατί; Γιατί πολύ απλά ο κύριος Μητσοτάκης και νέα Δημοκρατία. Πιστή στο δόγμα ότι όλα για την εξουσία χωρίς αρχές, χωρίς αξίες, έχουν δημιουργήσει ένα σύστημα. Επικοινωνιακου απόλυτου καταιγισμόυ επικοινωνιακού ολοκληρωτισμόυ. Δεν μπορώ να εξηγήσω αλλιώς πως ειναι δυνατον να θεωρεις, υπερ φορολόγηση Τα 1000 €, όχι στα κέρδη της επιχείρησης. Στα προσωπικά μερίσματα σε 70.000 € προσωπικό μέρισμα. Εμείς αυτό που λέμε είναι 1000 € παραπάνω. Και δεν είναι υπερφορολόγηση και χτύπημα της μεσαίας τάξης και των αδύναμων Ελλήνων ότι έχει εισπράξει σε 2 χρονια 5 δισεκατομμύρια παραπάνω, ΦΠΑ από ότι είχε προϋπολογίσει ο ίδιος.Αυτό είναι το χτύπημα. Αυτό είναι υπερφορολόγηση. Αυτό είναι η υπονόμευση της κοινής λογικής.",criticism,economy,other,-0.7,0,0,"[['greek people', 'group of people', 'mr. mitsotakis', 'new democracy', 'organization', '€1000', 'personal dividends', '€70', '000', 'middle class', 'weak greeks', 'vat', 'country', 'two years', 'date.']]"
3,"It is not a blow to the middle class, farmers, or producers. The increase in production costs will be discussed, but not what has already occurred. The Greek people are unaware that in the last four years, values, cost of living, and everyday life have become more difficult. This is not only our opinion, but also that of the OECD, who states that real wages have fallen by 7.4%. Mr. Skertsos agrees with this statement. Mr. Mitsotakis, the OECD figures announced today are exactly the same as those announced by the European Commission. The European Commission is lying.","Δεν είναι χτύπημα στη μεσαία τάξη στους αγρότες, τους παραγωγούς. Η αύξηση του κόστους παραγωγής. Δηλαδή θα συζητάμε για το τι θα γίνει, αλλά δεν θέλω να συζητήσουμε για το τι έχει ήδη. Δεν ξέρει καλά ο ελληνικός λαός ότι τα τελευταία 4 χρόνια. Οι αξίες Το κόστος ζωής, η καθημερινότητα έχει δυσκολέψει. Κι άλλα τα λέμε εμείς αυτά, αλλά δεν τα λέμε μόνο εμείς, αλλά και ΟΟΣΑ. Λένε 7,4% έπεσαν οι πραγματικοί μισθοί και λέει, ο κύριος Σκέρτσος δεν είναι σωστά; Ο Κυρίος Μητσοτάκης τα στοιχεία του ΟΟΣΑ σήμερα ακριβώς τα ίδια στοιχεία ανακοίνωσε η Ευρωπαϊκή Επιτροπή και η Ευρωπαϊκή Επιτροπή λέει ψέματα, κύριε Μητσοτάκη. ",criticism,economy,cost of living,-0.6,0.3,0,"[['greek people', 'group of people', '1.0'], ['oecd', 'organization', '1.0'], ['mr. skertsos', 'person', '1.0'], ['mr. mitsotakis', 'person', '1.0'], ['european commission', 'organization', '1.0']]"
4,"You know? But it's not just the economy. It's also democracy, dignity, and respect for ideas. The President of New Democracy had the audacity to say that he represents the progressive party and that New Democracy is the great, progressive party. Which progressive party? With Voridis and Georgiades, with Plevris, with Karatzaferis, or the day before yesterday when he announced his support for Mr. Mitsotakis and Faelos Kranidiotis. This is not center-left, this is not center, this is not center-right, this is far-right. Mr. Mitsotakis, the far-right is represented by the openings you have made in recent years.","Ξέρετε;Δεν είναι όμως μόνο η οικονομία. Είναι και η δημοκρατία. Είναι και η αξιοπρέπεια. είναι και ο σεβασμός στις ιδέες.Προχθες είχε το θράσος. Να πει ο Πρόεδρος της Νέας Δημοκρατίας. Ότι λέει εκπροσωπεί την προοδευτική παράταξη ότι η νέα δημοκρατία είναι η μεγάλη, λέει προοδευτική παράταξη. Ποια προοδευτική παράταξη? με το βορίδη και το γεωργιάδη με τον Πλεύρη, με το Καρατζαφέρη ή προχθές που ανακοίνωσε τη στήριξη του στον κύριο Μητσοτάκη και ο Φαήλος Κρανιδιώτης. Αυτό δεν είναι κεντροαριστερα αυτό δεν είναι κέντρο αυτό δεν είναι κεντροδεξιά αυτό είναι άκρα δεξια κύριε Μητσοτάκη την ακρα δεξια Εκπροσωπείται με τα ανοίγματα που κάνατε τα τελευταία χρόνια. ",criticism,democracy,far-right,-0.7,0.6,0,"[['president of new democracy', 'organization', '0.7'], ['new democracy', 'political party', '0.6'], ['voridis', 'person', '0.6'], ['georgiades', 'person', '0.6'], ['plevris', 'person', '0.5'], ['karatzaferis', 'person', '0.6'], ['mitsotakis', 'person', '0.7'], ['faelos kranidiotis', 'person', '0.5']]"
5,"We have to call a spade a spade. We have reached the point of no return. PASOK has suffered, according to SYRIZA. What PASOK says is what SYRIZA says. What does our program, which targets taxation, dividends, issues related to supporting families, issues related to the green transition, and issues related to production, have to do with SYRIZA's program? Or the issues concerning pensioners? Mr. Mitsotakis made a fuss before the elections. He was talking about instability, asking people to vote for him, but Tsipras won the election by 20 points. We know very well that he is one of the governments of the post-revolution that have brought nothing but problems to the Greek people. Now who is the one causing instability? PASOK's program, he says, is the same as Syriza's. I really want to say to every Greek here in Greece that the only party that resembles the practices of Mr. Polakis' SYRIZA is New Democracy. This party speaks specifically, which is why I asked for our programs to be taken to the budget office of the Parliament to be costed so that every Greek can understand what we want to do and what New Democracy has already done. Mr. Mitsotakis is trying to avoid this by throwing the ball into the stands.","Πρέπει να λεμε τα πράγματα με το όνομά τους. Φτάσαμε στο άλλο σημείο. Έπαθε λέει το ΠΑΣΟΚ ΣΥΡΙΖΑ. ΑΥτά που λέει το ΠΑΣΟΚ είναι αυτά που λέει ο ΣΥΡΙΖΑ. Τι σχέση έχει το πρόγραμμά μας που είναι στοχευμένο στη φορολογία, στα μερίσματα στα ζητήματα που αφορούν τη στήριξη των οικογενειών στα ζητήματα που αφορούν την πράσινη μετάβαση στα ζητήματα που αφορούν την παραγωγή τι σχέση έχει με το πρόγραμμα του ΣΥΡΙΖΑ. 'Η τα ζητήματα αφορούν τους συνταξιούχους. Ο κ. Μητσοτάκης είχε φτιάξει ένα δράκο πριν τις εκλογές. Έλεγε για αστάθεια ψηφίστε με, έρχεται ο Τσίπρας και πήρε με 20 μονάδες τις εκλογές, ενώ γνωρίζουμε πάρα πολύ καλά ότι είναι από τις κυβερνήσεις της μεταπολίτευσης που έχουν φέρει μόνο προβλήματα στον ελληνικό λαό. Τώρα ποιος είναι ο δράκος; Οτι το πρόγραμμα του ΠΑΣΟΚ λέει, είναι το ιδιο με του ΣΥΡΙΖΑ. Θέλω πραγματικά να πω σε κάθε Έλληνα και Ελληνίδα εδώ από τη σητεία.Ότι ο μόνος που μοιάζει με πρακτικές του ΣΥΡΙΖΑ του κυρίου Πολάκη είναι η νέα Δημοκρατία. Αυτή η παράταξη μιλά συγκεκριμένα για αυτό ζήτησα να πάνε τα προγράμματά μας για να κοστολογηθούν από το γραφείο προυπολογισμού της Βουλής για να καταλάβει ο κάθε Έλληνας και τι θέλουμε να κάνουμε, αλλά και τι έχει ήδη κάνει η νέα Δημοκρατία, διότι αυτό πάει να αποφυγει ο κ Μητσοτακης πετώντας την μπάλα στην κερκίδα. ",criticism,elections,other,-0.3,0.2,0.2,"[['pasok', 'organization', '0.8'], ['syriza', 'organization', '0.8'], ['program', 'organization', '0.6'], ['mitsotakis', 'person', '0.8'], ['tsipras', 'person', '0.8'], ['greek', 'nationality/country', '0.8'], ['polakis', 'person', '0.6'], ['new democracy', 'political party', '0.8'], ['parliament', 'organization', '0.8']]"
6,"What is he trying to avoid? We were told that we got out of the memoranda, that the Greek economy will be stabilized, that inequalities will be reduced, that children will have good jobs. What do the official figures say? 50 billion of new debt accumulated by Mr Mitsotakis on the backs of our own and future generations will make a competitive economy. What do the figures say? 12% - we had a deficit in 2022, 9% - we will have a trade deficit in 2023. They say it's Corona's fault, but Corona was the fault of all of Europe. Let's see the figures - Portugal had a 1% deficit last year plus a surplus this year. Spain and Italy have about the same figures, only Greece is again in the crosshairs of a new adventure. Taxes - 2/3 of the taxes the state collects are indirect taxes, the most unfair taxes.","Τι πάει να αποφύγει; Μας είπαν ότι φυγαμε από τα μνημόνια. Οτι θα σταθεροποιηθεί η ελληνική οικονομία ότι θα μειωθούν οι ανισότητες οτι τα παιδια θα έχουνε καλές θέσεις εργασίας. Τι λένε τα επίσημα στοιχεία. 50 δισεκατομμύρια νέο χρέος συσσώρευσε ο κύριος Μητσοτάκης στις πλάτες τις δικές μας και των επόμενων γενεών θα κάνει ανταγωνιστική οικονομία τι λένε τα στοιχεία;12% είχαμε έλλειμμα το 2022 9% θα έχουμε εμπορικό τη χρονιά 2023. Λένε μα φταιει ο Κορωνοϊος, Κορωνοϊο είχε όλη η Ευρώπη.  Να δουμε τα στοιχεία ή Πορτογαλία είχε 1% έλλειμμα πέρσι συν ένα πλεόνασμα φέτος. Η Ισπανία και η Ιταλία τα ίδια περίπου στοιχεία μόνο η Ελλάδα είναι ξανά στο στόχαστρο μιας νέας περιπέτειας. Οι φόροι. 2/3 των φόρων που το κράτος εισπράττει είναι έμμεσοι φόροι οι πιο άδικοι φόροι.",criticism,debt,other,-0.8,0.2,0,"[['mr mitsotakis', 'person', '0.6'], ['europe', 'location', '0.6'], ['portugal', 'country', '0.6'], ['spain', 'country', '0.6'], ['italy', 'country', '0.6'], ['greece', 'country', '0.8']]"
7,"Labour rights are well known. What is the situation in the labor market? And what about the big problems concerning competitiveness and funding from the European Recovery Fund? What did producers gain? What did small businesses and infrastructure gain? All states received this fund and supported small and medium-sized enterprises. They created financial institutions for states like Portugal that have similar problems supporting businesses that cannot borrow from banks. What did New Democracy do? It gave billions to banks to lend at lower interest rates, but who did that money go to? Was it for those in need who have a liquidity noose around their necks or for those who already had financial ability and now have it cheap? Europe did not provide the money for them.","Εργασία, εργασιακά δικαιώματα, γνωρίζεται πάρα πολύ καλά. Ποια είναι η κατάσταση σε επίπεδο αγοράς εργασίας; Και βέβαια τα μεγάλα προβλήματα που αφορούν την ανταγωνιστικότητα, τη χρηματοδότηση έκανε η Ευρώπη Το Ταμείο Ανάκαμψης. Τι κέρδισε ο παραγωγός; Τι κέρδισε η μικρομεσαια επιχείρηση? τι κέρδισαν οι υποδομές? Όλα τα κράτη πήραν το ταμείο αυτό και στήριξαν τις μικρομεσαίες επιχειρήσεις. Έκαναν χρηματοδοτικούς φορείς κράτη, όπως στην Πορτογαλία που έχουν ανάλογα προβλήματα για να στηρίξουν επιχειρήσεις που δεν μπορούσαν να δανειστούν από τις τρπεζες. Τι έκανε νέα δημοκρατία; Έδωσε δισεκατομμύρια στις τράπεζες για να τα δανείζονται με χαμηλότερο επιτόκιο. Αυτοί ήδη που είχαν δυνατότητα δανεισμό. Αρα για ποιους πήγαν αυτά χρήαμτα? για αυτούς που έχουν ανάγκη που εχουν μια θηλειά ρευστότητας στο λαιμό τους ή για αυτούς που πολύ απλά έτσι κι αλλιώς είχαν χρηματοδοτική δυνατότητα, απλά τώρα έχουν φθηνότρη. Δεν έδωσε τα χρήματα γι αυτούς η Ευρώπη. ",criticism,economy,european recovery fund,0,0,0,"[['labour', 'organization', 'probability'], ['european recovery fund', 'organization', 'probability'], ['portugal', 'location', 'probability'], ['new democracy', 'political party', 'probability'], ['europe', 'location', 'probability']]"
8,"I am saying all of this because we need to put things into perspective. I do not expect anything more from their media, which has been coddling Mr. Mitsotakis for four years now, and is doing so provocatively before the elections. He works for them when he says he thinks it is unfair that someone making over €100,000 pays a staggered 15% on the dividends, and not on the profits of individual dividends. Obviously, he is not talking about us, the middle class, nor is he talking about the weak Greeks. When he says he wants a tax-free parental allowance to reach 4.8 million, I don't know many in the middle class whose grandparents and parents can pass on 4.8 to 4.8 million to their children. So, if there is agony for the New Democracy, it is for a thousand families in Greece. The anguish of PASOK is for millions of Greeks who want better days of social justice, dignity, hope, and real prospects. This is PASOK's agony, not the agony of chairs, nor the undermining and disregard of common sense by fake news bombardment; these are trumped-up practices.","Τα λέω όλα αυτά διότι πρέπει να βάλουμε τα πράγματα στη θέση τους. Δεν περιμένω κάτι περισσότερο από μέσα μαζικής ενημέρωσης τους που τώρα και 4 χρόνια και προκλητικότατα τώρα πριν τις εκλογές χαϊδεύουν με απόλυτο τρόπο τον κύριο Μητσοτάκη. Για αυτούς εργάζεται όταν λέει ότι θεωρεί άδικο να πληρώνει, καποιος πάνω από 100.000 € κλιμακωτά 15% στα και ξαναπάμε, όχι στα κέρδη στα ατομικά μερίσματα. Προφανώς δεν μιλά για μας, για τη μεσαια ταξη δεν μιλά για τους αδύναμους Έλληνες. Όταν λέει ότι θελει αφορολογήτο στη γονική παροχή να φτανει τα 4,8 εκατομμύρια. Δεν ξέρω πολλούς από τη μεσαία τάξη να μπορούν οι παππούδες γιαγιάδες και οι γονείς να μεταβιβαζουν 4,8 έως 4,8 εκατομμύρια στα παιδιά τους. Άρα αν η αγωνία της νέας δημοκρατίας. Είναι χίλιες οικογένειες στην Ελλάδα. Αγωνία του ΠΑΣΟΚ ειναι εκατομμυρια.Ελληνες που θέλουν καλυτερες μερες κοινωνικής δικαιοσύνης, αξιοπρέπειας, ελπίδας και πραγματικής προοπτικής. Αυτή είναι η αγωνία του ΠΑΣΟΚ, δεν είναι αγωνία. Ούτε οι καρέκλες, ούτε η υπονόμευση και η περιφρόνηση της κοινής λογικής από το βομβαρδισμό fake news.Αυτά είναι τραμπικές πρακτικές. ",criticism,social state,tax cuts,-0.7,0.1,0,"[['mr. mitsotakis', 'person', '0.5'], ['pasok', 'political party', '1.0'], ['new democracy', 'political party', '1.0'], ['greeks', 'group of people', '1.0'], ['greece', 'country', '1.0']]"
9,"And you know, we have experienced similar situations before in our country. The people voted for Kostas Karamanlis in 2007 and in 2009 Greece faced a 15% domestic deficit. A year later, Greece went into memorandum. That's what we want - not to criticize the government's power or fiscal performance, or how it handled the Recovery Fund. PASOK is here to provide perspective, to criticize and to call a spade a spade. For example, in order for an individual to receive a dividend of EUR 150,000, they must own one and a half million euros worth of shares in OTE. Looking at these figures, we can assess who is truly talking about the middle class. We will take from the few and powerful what every European country gets, because the figures we are giving are average for European countries. We are not talking about extreme scenarios of a tax storm. We will give where there is a need, such as in wage labor, where there is a huge need to lower the tax on wage labor through lower contributions, to have less black work, more money in our coffers, and better wages for our children. We like to put the money into demographics because the data is inexorable. Greece has the worst negative coefficient between a family that has 2 children and a family that has no children. There is a 3-point difference in the coefficient in favor of a family with 2 children in Greece, 10 in Portugal, 14 in the Czech Republic, 15 in Ireland, and so on in most European countries because all European countries have a serious demographic issue and are taking measures. We will properly tax the oligarchs and support the real problems of society. We will support families with 2 children by making the tax differential reach 8-10 points in the first instance so that there is support for the huge national demographic need for us. It is the number one priority.","Και ξέρετε τις ξαναζήσαμε στον τόπο μας. Το αφήγημα μα ψήφισε ο λαός και το 2007 ψήφισε ο λαός. Τον Κώστα Καραμανλή και το 2009 η Ελλάδα για 15%. Το μεγαλύτερο εσωτερικό ελλειμμα και ένα χρόνο μετά μπήκε στα μνημόνια. Αυτό θέλουμε να μην ασκείται κριτική στην εξουσία της κυβέρνησης να μην ασκείται κριτική για τα δημοσιονομικά της πεπραγμενα για το πώς χειριστηκε το Ταμείο Ανάκαμψης, οχι το ΠΑΣΟΚ είναι εδώ για να δινει προοπτικη να ασκεί κριτική και να λέει τα πράγματα με το όνομά τους, διότι θα σας φέρω το εξής παράδειγμα, το οποίο είναι φοβερό. Για να πάρει ένας ατομικο μέρισμα να 150.000 € πρέπει να έχει μετοχές του ΟΤΕ ενάμιση εκατομμύριο ευρώ. Αν δούμε λοιπόν τα στοιχεία αυτά, μπορείτε να αξιολογείτε ποιος μιλάει για τη μεσαία τάξη, όταν εμείς τι λέμε, θα πάρουμε από τους λίγους και ισχυρούς αυτά που παίρνει και κάθε ευρωπαϊκό κράτος διοτι τα στοιχεία που δίνουμε είναι στο μέσο όρο των ευρωπαϊκών χωρών. Εμείς δεν λέμε ακραία σενάρια φορολογικής καταιγίδας, και θα τα δωσουμε που εκεί που υπάρχει ανάγκη και που υπάρχει ανάγκη στη μισθωτή εργασία εκείνη η τεράστια ανάγκη ώστε να ρίξουμε το φόρο στη μισθωτη εργασία μέσω των εισφορών χαμηλότερες εισφορές, να έχουμε λιγότερη μαύρη εργασία, περισσότερα χρήματα στα ταμεία μας.Και καλύτερους μισθούς για τα παιδιά μας, για τον ελληνικό λαό βάλουμε αρέσουν τα χρήματα στο δημογραφικό. Τα στοιχεία είναι αμείλικτα, η Ελλάδα έχει τον χειρότερα αρνητικό συντελεστή μεταξύ μιας οικογένειας που έχει 2 παιδιά και μια οικογενειας που δεν είχε κανένα παιδί. 3 μονάδες διαφορά στον συντελεστή έχει υπέρ της οικογένειας με 2 παιδιά στην Ελλάδα 10 στην Πορτογαλία, 14 στη Τσεχία, 15 στην Ιρλανδία και τοσο Περιπου στις περισσότερες ευρωπαϊκές χώρες, διότι όλες οι ευρωπαϊκές χώρες έχουν σοβαρό δημογραφικό θέμα αλλά και παίρνουν μέτρα. Δεν μπορώ να βρω το λαό ότι το πρόβλημά τους είναι η φορολογία των ολιγαρχών. Φορολογούν σωστά και με δικαια φορολογηση στηρίζουν τα πραγματικά προβλήματα της κοινωνίας. Εμείς λοιπόν, τι λέμε; Θα στηρίξουμε τις οικογένειες με 2 παιδιά, κάνοντας τη διαφορά στο φόρο να φτάσει σε πρώτο βαθμό 8-10 μονάδες, ώστε να υπάρχει στήριξη της τεράστιας εθνικής ανάγκες του δημογραφικού για μας.Είναι η πρώτη προτεραιότητα.",political agenda,economy,other,0,0.2,0.2,"[['kostas karamanlis', 'person', '0.8'], ['greece', 'country', '0.8'], ['pasok', 'political party', '0.8'], ['eur', 'organization', '0.8'], ['ote', 'organization', '0.8'], ['europe', 'location', '0.8'], ['czech republic', 'location', '0.8'], ['ireland', 'location', '0.8']]"
10,"On pensions, what do we say? We don't support them all like Mr. Tsipras. We are saying very specific things because we know the country's fiscal situation. We are starting a new EKAS for 350,000 low pensioners who are in a difficult situation. This is a measure that SYRIZA abolished. The second measure is the abolition of the personal difference from the first 24. This measure has a fiscal footprint of 4 years, after which it is essentially zeroed out as a fiscal measure. It makes no difference to the budget. The third measure is correcting the great injustices in widow's pensions and disability pensions. These three measures cost a billion 130 million. We support public sector wages with one billion 200 million to bring them up to the level of inflation. We don't make populist promises that we can automatically increase private sector wages by 25 to 100 in four years. No government can commit to that. You can't commit to what the private sector will do and why. I'm being bullshitted for a grand as an anti-growth incentive to dividends. But they don't say whether the private sector, which is in its current state, can take a quick 25% pay raise.","Στις συντάξεις Τι λέμε στις συντάξεις; Εμείς. Δεν τα ταζουμε όλα, όπως τον κύριο Τσίπρας. Λέμε πολύ συγκεκριμένα πράγματα, γιατί ξέρουμε ποια είναι η δημοσιονομική κατάσταση της χώρας.
Ξεκινάμε το νέο ΕΚΑΣ αυτό που κατάργησε ο ΣΥΡΙΖΑ ένα νέο ΕΚΑΣ για 350.000 χαμηλοσυνταξιούχους που είναι σε πολύ δύσκολη θέση σου. Δεύτερο μέτρο, η κατάργηση της προσωπικής διαφοράς από πρώτη πρώτου 24. Το μέτρο αυτό έχει δημοσιονομικό αποτύπωμα 4 χρόνια μετά από 4 χρόνια ουσιαστικά μηδενίζεται ως δημοσιονομικό μέτρο. Δεν έχει καμία διαφορά στον προϋπολογισμό και τρίτο ή διόρθωση των μεγάλων αδικιών στις συντάξεις χηρείας και αναπηρίας και τα 3 αυτά μέτρα είναι ένα δις 130 εκατομμύρια. Στηρίζουμε τους μισθούς του δημόσιου τομέα με ένα δις 200 εκατομμύρια για να φτάσουν στο επίπεδο του πληθωρισμού. Και δεν λεμε λαϊκισμός ότι μπορούμε. Αυτόματα μέσα σε μια τετραετία να αυξηθούν 25 τα 100. οι μισθοι του ιδιωτικού τομέα. Καμία κυβέρνηση δεν δεσμεύεται για κάθε τέτοιο, δεν μπορεί να δεσμευτείς στο τι θα κάνει ο ειδικός τομέας και το γιατί. Με ψεγουν για το ένα χιλιάρικο. Ως αντιαναπτυξιακό κίνητρο. Στα μερίσματα. Αλλά δεν λένε αν σηκώνει ο ιδιωτικός τομέας που είναι σε σημερινή κατάσταση μια γρήγορη αύξηση 25% των μισθών.",political agenda,pensioners,pensions,0,0,0,"[['mr. tsipras', 'person', '0.5', 'ekas', 'organization', '1.0', 'syriza', 'political party', '1.0', 'public sector', 'group of people', '1.0', 'private sector', 'group of people', '1.0']]"
