id,text,text_el,is_criticism,topic-context,subtopic-context,sentiment,polarization-definition,populism-definition,ner-limited
1,"Friends, thank you very much for your presence. It is touching to see all generations of PASOK united again, strong. We come on June 25th to conquer the place that our party deserves in the democratic landscape. All generations are here, but our beloved mayor is missing, as well as our candidate Fotis Hatzidiakos, whom I wish all the best and hope to see with us soon. This struggle has just begun, and I am sure that in the coming years, our party will once again become a strong opponent of the New Democracy. We are the real progressive alternative that the Greek people and our country need.","Φίλες και φίλοι σας ευχαριστώ θερμά για την παρουσία σας. Είναι συγκινητική, όλες οι γενιές εδώ του ΠΑΣΟΚ ενωμένο ξανά δυνατό ερχόμαστε 25 Ιουνίου για να κατακτήσουμε τη θέση που αξίζει στη δημοκρατική παράταξη. Είναι όλες οι γενιές εδώ. Λείπει όμως ο αγαπημένος μας δήμαρχος.Και υποψήφιος μας ο φώτης ο χατζηδιάκος που του εύχομαι να είναι όλα περαστικά και γρήγορα σύντομα να είναι ξανά κοντά μας. Σε αυτό τον αγώνα που μόλις ξεκίνησε, διότι είμαι σίγουρος ότι τα επόμενα χρόνια αυτή η παράταξη θα ξαναγίνει ο ισχυρός αντίπαλος της νέας δημοκρατίας. Η πραγματική εναλλακτική προοδευτική που χρειάζεται ο ελληνικός λαός και η πατρίδα μας. ",political agenda,other,other,0.6,0.0,0.0,"[['pasok', 'organization', '1.0'], ['fotis hatzidiakos', 'person', '1.0'], ['new democracy', 'political party', '1.0'], ['greek', 'country', '1.0'], ['june 25th', 'date', '1.0']]"
2,"Friends, after the OECD report - in fact, the report that the New Democracy government despises - we can draw safe conclusions. Real wages in Greece have fallen by 7.4%. Wages are rising only in nominal terms, and of course, they will continue to fall in 2023. There is some chance of real income growth in 2024. Finally, who is lying? Is it New Democracy, OASA, or the European Commission? Obviously, Mr. Mitsotakis is lying. He disdains the intelligence of the Greek people by questioning the data of all the international organizations that show the impoverishment of the Greek people in the last years of the economic crisis.","Φίλες και φίλοι μετά την έκθεση του ΟΟΣΑ, στην πραγματικότητα την έκθεση που περιφρονεί η κυβέρνηση της Νέας Δημοκρατίας μπορούμε να βγάλουμε ασφαλή συμπεράσματα. Οι πραγματικοί μισθοί στην Ελλάδα μειώθηκαν κατά 7,4%, οι μισθοί αυξάνονται μόνο ονομαστικά και βέβαια θα συνεχίσουν να μειώνονται το 2023 και υπάρχουν κάποιες πιθανότητες πραγματικής αύξησης των εισοδημάτων το 2024. Τελικά ποιος λέει ψέματα; Η νέα δημοκρατία.ο ΟΌΣΑ ή η Ευρωπαϊκή Επιτροπή, προφανέστατα ψέματα λέει ο κύριος Μητσοτάκης, ο οποίος περιφρονεί τον νοημοσύνη του ελληνικού λαού, αμφισβητώντας τα στοιχεία όλων των διεθνών οργανισμών που δείχνουν τη φτωχοποίηση του ελληνικού λαού τα τελευταία χρόνια της οικονομικής κρίσης. ",criticism,economy,economic crisis,-0.7,0.2,0.8,"[['oecd', 'organization', '0.95'], ['new democracy', 'political party', '0.95'], ['greece', 'country', '0.95'], ['2023', 'date', '0.6'], ['2024', 'date', '0.6'], ['european commission', 'organization', '0.95'], ['mitsotakis', 'person', '0.8']]"
3,"But is this not the only evidence? In 2022, the trade deficit in Greece was 12%. This year, it is set at 9.2%. If you ask them, they will tell you it's because of the pandemic and the energy crisis. This is a pan-European phenomenon, so listen to what is happening in another country with similar problems to Greece, like Portugal. Last year, while we had a 12% deficit, they had a 1% deficit, and this year we will have a 9.2% deficit. Portugal will have a 1% surplus, so it is not a general phenomenon. It is a specific phenomenon in our country: the failure of the New Democracy to build an outward-looking productive base. We have the largest trade deficit since 2010, and I am sounding the alarm here in Rhodes too, to a government of populists in ties, which disregards the intelligence of the Greek people and their real problems, increasing inequalities every day at the expense of the middle class and the poorest Greeks.","Δεν είναι όμως μόνο αυτά τα στοιχεία; Το 2022 το εμπορικό έλλειμμα ήταν 12% στην Ελλάδα. Φέτος προσδιορίζεται στο 9,2%. Αν τους ρωτήσετε θα σας πουν μα λόγω της πανδημίας λόγω της ενεργειακής κρίσης. Αυτό είναι ένα πανευρωπαϊκό φαινόμενο.Ακούστε λοιπόν τι συμβαίνει σε μια άλλη χώρα με ανάλογα προβλήματα με την Ελλάδα, όπως είναι η Πορτογαλία. Πέρσι, ενώ εμείς είχαμε 12% έλλειμμα, αυτοί είχαν 1% έλλειμμα και φέτος εκεί που θα χουμε 9,2% έλλειμμα. Εμείς η Πορτογαλία θα 1% πλεόνασμα, άρα δεν είναι ένα γενικό φαινόμενο. Είναι ειδικό φαινόμενο στη χώρα μας. Η αποτυχία της νέας δημοκρατίας να φτιάξει μια εξωστρεφή παραγωγική βάση. Έχουμε το μεγαλύτερο εμπορικό έλλειμμα μετά το 2010 και κρούω και εδώ από τη Ρόδο, τον κώδωνα του κινδύνου σε μια κυβέρνηση λαϊκιστών με γραβάτες. Που περιφρονεί τη νοημοσύνη του ελληνικού λαού και τα πραγματικά προβλήματα του, αυξάνοντας καθημερινά τις ανισότητες εις βάρος της μεσαίας τάξης και των φτωχότερων Ελλήνων. ",criticism,economy,other,-0.5,0.0,0.2,"[['greece', 'country', '1.0'], ['2022', 'date', '0.8'], ['this year', 'date', '0.8'], ['pandemic', 'organization', '0.6'], ['energy crisis', 'organization', '0.6'], ['pan-european', 'group of people', '0.8'], ['portugal', 'country', '0.8'], ['last year', 'date', '0.8'], ['new democracy', 'political party', '0.6'], ['2010', 'date', '0.8'], ['rhodes', 'location', '0.8'], ['greek people', 'group of people', '0.6'], ['middle class', 'group of people', '0.6'], ['poorest greeks', 'group of people', '0.6']]"
4,"But is that all? There are also taxes. In the last few days, New Democracy has been accusing PASOK of expensive tax policies, but it is New Democracy that has pinned down the purchasing power of households in Greece, as the figures from Tuesday show. Since the end of the European Union, we have seen a decrease in the purchasing power of our households. New Democracy serves the few at the expense of the many. They lie because we said we want graduated taxation of dividends. We are answering them here in Rhodes, and I am talking about dividends, not corporate profits, because they are trying to distort that too. We are only talking about dividends. And I ask, is there a small, medium, or large enterprise that pays individual dividends of 100, 200, and 300,000 euros? What is that? So let me give you a simple example to see who serves the middle class, the vulnerable, the real Greek economy, and who serves the oligarchs. With the graduated taxation that we propose at 70,000 €, individual dividends pay one person a grand more. And at €120,000 individual dividend, €4000 more to have individual dividends of €150,000 a year. He must have one and a half million euros in OTE shares. There is someone here among us. So who does Mr. Mitsotakis and the media systems that flout the intelligence of the people serve, you or the oligarchs? So here is the value and the difference of the Democratic Party against a system of power that is only interested in defending the interests of the few. Their concern is not the weak and the middle class. Their anguish is the few who support them.","Είναι όμως μόνο αυτά;Είναι και οι φόροι. Τις τελευταίες ημέρες κατηγορεί η νέα Δημοκρατία το ΠΑΣΟΚ για ακριβή φορομπηχτική πολιτική, όμως είναι η νέα δημοκρατία που έχει καθηλώσει την αγοραστική δύναμη του νοικοκυριού στην Ελλάδα, όπως λένε τα στοιχεία Τρίτη από το τέλος της Ευρωπαϊκής Ένωσης είμαστε σε αγοραστική δύναμη τα νοικοκυριά μας. Η Νέα δημοκρατία υπηρετεί τους λίγους εις βάρος των πολλών Μας. Ψέγουν γιατί είπαμε ότι θέλουμε κλιμακωτή φορολόγηση των μερισμάτων. Και τους απαντάμε και εδώ από τη Ρόδο.Και μιλώ για τα μερίσματα, δεν μιλώ για τα κέρδη των επιχειρήσεων, διότι και αυτό προσπαθούν να το διαστρεβλώσουν. Μιλούμε μόνο για τα μερίσματα. Και ρωτώ, υπάρχει μικρομεσαία, μεσαία ή μεγάλο μεσαία επιχείρηση που δίνει ατομικά μερίσματα; 100, 200 και 300.000 €. Ποια είναι αυτή; Θα σας δώσω λοιπόν ένα απλό παράδειγμα.Για να δείτε ποιοι υπηρετούν τη μεσαία τάξη, τους ευάλωτους, την πραγματική ελληνική οικονομία και ποιοι υπηρετούν τους ολιγάρχες. Με την κλιμακωτή φορολόγηση που προτείνουμε στα 70.000 €. Ατομικό μέρισμα πληρώνει ένας ένα χιλιάρικο παραπάνω. Και στα 120.000 € ατομικό μέρισμα, 4000 € παραπάνω για να έχει κάποιος ατομικά μερίσματα 150.000 € το χρόνο. Πρέπει να έχει ενάμιση εκατομμύριο ευρώ μετοχές του ΟΤΕ. Υπάρχει εδώ κάποιος ανάμεσά μας. Ποιος λοιπόν υπηρετεί ο κύριος Μητσοτάκης και τα μιντιακά συστήματα που περιφρονούν τη νοημοσύνη του λαού εσάς ή τους ολιγάρχες; Ιδού λοιπόν η αξία και η διαφορά της δημοκρατικής παράταξης απέναντι σε ένα σύστημα εξουσίας που το μόνο που το ενδιαφέρει ή να υπερασπιστεί τα συμφέροντα των λίγων των πολύ λίγων.Η αγωνία τους λοιπόν δεν είναι αδύναμοι και η μεσαία τάξη. Η αγωνία τους είναι οι ελάχιστοι που τους στηρίζουν. ",political agenda,economy,other,-0.9,0.2,0.7,[]
5,"They are calling for the taxation of energy producers' excess profits. However, they themselves have not taxed suppliers' excess profits, which are in Mr. Skreka's drawer. I am also alarmed by Syriza, who until recently agreed to the graduated taxation of dividends. A few months ago, Mr. Tsipras also agreed to the taxation of banks' excess profits, as the difference between the interest rate on deposits and mortgages is the highest in the European Union. Therefore, I am surprised that in the last 10 days, they have changed their position on dividends and the taxation of bank surpluses. This is a clear demonstration of who they are and who their sponsors are. They are the only ones responsible for the 40% that Mr. Mitsotakis has taken. How else can we explain the lack of serious opposition after Tempi, the wiretapping scandal, the huge inequalities, and the widespread corruption? The only reason is that there was no credible alternative government proposal in the country, and here we are with PASOK. We need a genuine opponent of New Democracy to provide a credible alternative government proposal in the country, not just talk about it on Monday, Tuesday, Wednesday, and the rest of the week.","Ωρύονται για τη φορολόγηση των υπερκερδών των παραγωγών ενέργειας. Οι ίδιοι στο συρτάρι του κυρίου Σκρέκα έχουν τη φορολόγηση των υπερκερδών των προμηθευτών, γιατί δεν τα έχουν φορολογήσει; Αλλά μου προκαλεί αλγεινή εντύπωση και ο ΣΥΡΙΖΑ ο Όποιος μέχρι πρότινος συμφωνούσε στην κλιμακωτή φορολόγηση των μερισμάτων. Κι εμάς ο κύριος Τσίπρας πριν από μερικούς μήνες είχε πει ότι συμφωνεί και στη φορολόγηση των υπερκερδών των τραπεζών, από τη στιγμή που η διαφορά μεταξύ επιτοκίου καταθέσεων και επιτοκίου στεγαστικών δανείων είναι η μεγαλύτερη στην Ευρωπαϊκή Ένωση, μου προκαλεί λοιπόν να γίνει εντύπωση ότι τις τελευταίες 10 μέρες άλλαξαν τη θέση τους και για τα μερίσματα και για τη φορολόγηση των υπερκερδών των τραπεζών και αποδεικνύεται περίτρανα ποιοι έχουν σταθερές θέσεις και ποιοι είναι οι χορηγοί της νέας δημοκρατίας και οι μόνοι υπεύθυνοι που πήρε 40% κύριος Μητσοτάκης. Γιατί δεν μπορείς να εξηγήσεις αλλιώς πως μια κυβέρνηση; Μετά τα Τέμπη μετά το σκάνδαλο των υποκλοπών με τις τεράστιες ανισότητες μετά τους Πατσίδες, τα εκτεταμένα φαινόμενα διαφθοράς αντί να πέφτει στα ποσοστά, Ανεβαίνει ο μόνος λόγος που το εξηγεί είναι ότι δεν υπήρχε σοβαρή αντιπολίτευση και εδώ είμαστε εμείς το ΠΑΣΟΚ. Ο γνήσιος αντίπαλος της Νέας δημοκρατίας για να υπάρχει αξιόπιστη εναλλακτική πρόταση κυβέρνηση στη χώρα και όχι να λέμε, αλλά Δευτέρα Τρίτη, Τετάρτη και άλλα τις επόμενες μέρες της εβδομάδας.",criticism,corruption,other,-0.4,0.0,0.0,"[['mr. skreka', 'person', '0.5'], ['syriza', 'political party', '1.0'], ['mr. tsipras', 'person', '0.5'], ['european union', 'organization', '1.0'], ['mr. mitsotakis', 'person', '0.5'], ['tempi', 'location', '1.0'], ['pasok', 'political party', '1.0'], ['new democracy', 'political party', '1.0']]"
6,"Friends also blame us for talking about changing the tax-free parental allowance. We are saying that the tax-free threshold should not be up to €4.8 million. I ask again, are there people among you who pass on to their children, their children's families up to €4.8 million in mobile and real estate? This concerns the middle class and the vulnerable. Only businessmen and oligarchs can be affected by this tax exemption on parental benefits up to €4.8 million. We say the limit should be €400,000 per parent, with 2 parents up to €800,000 to each child. I say this because it may not be a lot of money, but there is strong symbolism, and with a fiscal footprint, it is possible to say to young children who went abroad for a better life, to the poor Greeks who paid €5 billion more VAT than budgeted in the last 2 years, to those who see the price of milk, bread, cheese, and meat going up, that while they are in a desperate situation, while half of the public sector is stable, there will be a tax exemption of up to €4.8 million euros. There are people and journalists who spread this unfair policy that is being practiced in our country. So we are here to bring social justice and national dignity to every Greek woman and every Greek man. We are not populist. We speak in concrete terms, and our strength is that what we are saying is happening in other European countries and is bringing about a society with prospects for all, societies with a strong welfare state, with health, with education, with fair taxation, with a competitive economy.","Φίλες και φίλοι μας κατηγορούν επίσης γιατί λέμε για αλλαγή στο αφορολόγητο της γονικής παροχής. Εμείς λέμε το όριο του αφορολογήτου να μην έως 4,8 εκατομμύρια ευρώ. Ξαναρωτώ, υπάρχουν ανάμεσά σας άνθρωποι που μεταβιβάζουν στο παιδί τους το κάθε ένα, τους παιδί, οι οικογένειές τους έως 4,8 εκατομμύρια ευρώ, κινητά και ακίνητα; Αφορά αυτό τη μεσαία τάξη, τον ευάλωτο. Τον επιχειρηματία μόνο ολιγάρχες μπορεί να αφορά αυτή η φοροαπαλλαγή στη γονική παροχή έως 4,8 εκατομμύρια ευρώ. Εμείς λέμε το όριο να είναι 400.000 € ο κάθε γονέας, οι 2 γονείς έως 800.000 € στο κάθε παιδί και το λέω αυτό διότι μπορεί να μην είναι πολλά τα χρήματα, αλλά υπάρχει ένας ισχυρός συμβολισμός και με δημοσιονομικό αποτύπωμα είναι δυνατόν να λες τα νέα παιδιά που φύγανε στο εξωτερικό για μια καλύτερη ζωή στους φτωχους Έλληνες που πλήρωσαν 5 δισεκατομμύρια παραπάνω ΦΠΑ από το προϋπολογιζόμενο Τα τελευταία 2 χρόνια σε αυτούς που βλέπουν την τιμή του ψωμιού του γάλακτος, του τυριού, του κρέατος, να ανεβαίνει, να τους λες, ενώ βρίσκονται σε δεινή κατάσταση απελπιστική κατάσταση, ενώ οι μισοί του δημόσιου τομέα είναι σταθεροι, ότι θα υπάρχει φοροαπαλλαγή έως 4,8 εκατομμύρια ευρώ και υπάρχουν άνθρωποι και δημοσιογράφοι που ψεγουν αυτή την άδικη πολιτική που ασκείται στη χώρα μας. Εμείς λοιπόν είμαστε εδώ για να φέρουμε κοινωνική δικαιοσύνη και εθνική αξιοπρέπεια σε κάθε Ελληνίδα και σε κάθε Έλληνα. Δεν λαϊκίζουμε, μιλάμε συγκεκριμένα και η δύναμή μας είναι ότι αυτά που λέμε συμβαίνουν και σε άλλες ευρωπαϊκές χώρες και φέρνουν.Κοινωνία με προοπτική για όλους κοινωνίες με ισχυρό κοινωνικό κράτος, με υγεία, με παιδεία, με δίκαιη φορολόγηση, με ανταγωνιστική οικονομία. ",political agenda,other,other,-0.5,0.2,0.2,"[['friends', 'group of people', ''], ['middle class', 'group of people', ''], ['businessmen', 'group of people', ''], ['oligarchs', 'group of people', ''], ['young children', 'group of people', ''], ['poor greeks', 'group of people', ''], ['journalists', 'group of people', ''], ['greek woman', 'person', ''], ['greek man', 'person', ''], ['european countries', 'location', ''], ['welfare state', 'organization', ''], ['health', 'organization', ''], ['education', 'organization', ''], ['competitive economy', 'organization.']]"
7,"Friends, populism with a tie doesn't stop there. We are told that cutting rates on VAT and excise duty is inflationary and populist. Why do we say this? I say to you, dear friends, that this issue was also addressed in the 2019 New Democracy program and in most of Mr. Mitsotakis's speeches before the 2019 elections. He talked about a minimum VAT rate and a reduced rate on indirect taxes. Now Mr. Skertsos, a former employee of the Association of Greek Industrialists who still serves them, is coming out and saying that the reduction of indirect tax rates does not help the middle class or the poor, but rather the financially powerful and the oligarchs. Economics, like medicine, physics, and mathematics, has rules. Mr. Skertsos has made his own rules and is telling the Greek people, for the first time in economic science in the world, that cutting indirect taxes does not help the poor and the middle class, but rather the oligarchs. Shame on you, gentlemen of the New Democracy, for disregarding even the elementary rules of economic science in order to defend your narratives that float away from the social reality of the country. But we are here to be a real opponent of realism and progress, and they know all too well that they no longer have a toxic opposition, but rather the strong opposition of PASOK. We say things by name and we acknowledge what is happening in all the countries of the European Union, not just in countries like Hungary and Poland that do not have strong public health, public education, and fair taxation.","Φίλες και φίλοι. Ο λαϊκισμός όμως με γραβάτα δεν σταματάει μόνο εδώ. Ο πληθωρισμός, μας λένε. Η μείωση των συντελεστών στον ΦΠΑ και στον ειδικό φόρο κατανάλωσης είναι λέει λαϊκισμός.
Γιατί το λέμε; Σας λέω λοιπόν, αγαπητές φίλες και φίλοι, ότι μας περιφρονούν και σε αυτό το ζήτημα στο πρόγραμμα της Νέας Δημοκρατίας του 2019 και στις περισσότερες ομιλίες του κυρίου Μητσοτάκη πριν τις εκλογές του 19 και ο ίδιος μιλούσε για κατώτατο ΦΠΑ και ο ίδιος μιλούσε για μειωμένο συντελεστή στους έμμεσους φόρους και τώρα βγαίνει ο κύριος Σκέρτσος. Ο πρώην εργαζόμενος του Συλλόγου των Ελλήνων Βιομηχάνων, διότι αυτούς υπηρετεί ακόμη απ ότι φαίνεται και μας απαντά ότι η μείωση των συντελεστών στους έμμεσους φόρους δεν βοηθούν τη μεσαία τάξη τους φτωχούς, αλλά βοηθούν τους οικονομικά ισχυρούς και τους ολιγάρχες. Ξέρετε, η οικονομική επιστήμη είναι όπως στην ιατρική, τη φυσική. Τα μαθηματικά υπάρχουν κανόνες. Ο κύριος Σκέρτσος έφτιαξε τους δικούς του κανόνες και λέει στον ελληνικό λαό για πρώτη φορά στην οικονομική επιστήμη παγκοσμίως. Ότι η μείωση των έμμεσων φόρων δεν βοηθούν τους φτωχούς και τους μεσαίους, αλλά τους ολιγάρχες. Ντροπή σας κύριοι της νέας Δημοκρατίας που στο βωμό να υπερασπιστείτε τα αφηγήματα σας που αιωρούνται από την κοινωνική πραγματικότητα της χώρας, περιφρονείται ακόμη και τους στοιχειώδους κανόνες της οικονομικής επιστήμης. Αλλά εμείς εδώ είμαστε για να έχουν πραγματικό αντίπαλο ρεαλισμού και προόδου και γνωρίζουν πάρα πολύ καλά ότι δεν έχουν πια μια τοξική αντιπολίτευση, αλλά την ισχυρή αντιπολίτευση του ΠΑΣΟΚ. Που θα τους βάλει τα 2 πόδια σε ένα παπούτσι γιατί λέμε τα πραγματα Με το όνομά τους αυτά που λέμε εμείς συμβαίνουν σε όλες τις χώρες της Ευρωπαϊκής Ένωσης. Αυτά που λένε αυτοί συμβαίνουν μόνο σε κράτη, όπως η Ουγγαρία και η Πολωνία και άλλα κράτη, τα οποία δεν έχουν ισχυρά δημόσια υγεία και δημόσια παιδεία και δίκαιη φορολόγηση. ",criticism,economy,other,-0.5,0.2,0.2,"[['mitsotakis', 'person', '1.0'], ['skertsos', 'person', '0.9'], ['association of greek industrialists', 'organization', '0.8'], ['new democracy', 'political party', '1.0'], ['pasok', 'political party', '1.0'], ['european union', 'organization', '1.0'], ['hungary', 'country', '1.0'], ['poland', 'country', '1.0'], ['2019', 'date', '1.0']]"
8,"""It slipped out from a New Democracy politician a few days ago to say, 'What do we want? Romania's model of development is not what the Greek people want.' This is the model of development that the Greek people want: a low cost of living. We will not make the country accept widespread corruption, a country where the middle class will be impoverished at the expense of the powerful. We are an old European country and we have a duty to serve the European social model that gives prospects to all citizens. The European social democratic model gives prospects to all generations.""","Ξέφυγε σε ένα πολιτευτή της νέας δημοκρατίας πριν από κάποιες μέρες να πει εμείς τι θέλουμε; Μοντέλο ανάπτυξης Ρουμανίας δεν το θέλει ο ελληνικός λαός. Αυτό το μοντέλο ανάπτυξης ο ελληνικός λαός θέλει χαμηλό κόστος ζωής. Δεν θα κάνουμε τη χώρα μια χώρα που θ' αποδέχεται. Τα εκτεταμένα φαινόμενα διαφθοράς, μια χώρα που η μεσαία τάξη θα φτωχοποιείται εις βάρος των ισχυρών. Είμαστε μια παλιά χώρα της Ευρώπης και έχουμε χρέος να υπηρετήσουμε το ευρωπαϊκό κοινωνικό μοντέλο που δίνει προοπτική σε όλους τους πολίτες. Το ευρωπαϊκό σοσιαλδημοκρατικό κοινωνικό μοντέλο που δίνει προοπτική σε όλες τις γενιές. ",political agenda,corruption,other,0.75,0.2,0.2,"[['new democracy', 'political party', '1.0'], ['greek people', 'group of people', '0.9'], ['romania', 'country', '0.8'], ['middle class', 'group of people', '0.7'], ['european', 'location', '0.6'], ['social model', 'organization', '0.5'], ['citizens', 'group of people', '0.4'], ['social democratic model', 'organization', '0.3']]"
9,"Friends, we do not talk much about pensions. We are trying, at a specific fiscal cost, to solve the great injustices faced by 350,000 low-pensioners who are in dire straits since Mr. Tsipras abolished the EKAS. We will reinstate the new ESAS for these low-pensioners. The second issue is that we will abolish the personal differential from 1/1/24 and the unfair provisions on disability and widow's pensions. All these interventions will cost 1.1 billion euros. I call on Mr. Mitsotakis and Mr. Tsipras to take our programs to the budget office of the House of Representatives so that the people understand who is telling the truth and who is consciously fooling them once again. We also propose the introduction of a single pay scale for civil servants with increases for the first time in years that will cover the losses due to inflation at a total cost of 1.2 billion euros. Therefore, all our interventions in pensions and civil servants will cost 2.3 billion euros, much less than the 10 billion that they shamelessly broadcast. Gentlemen of the New Democracy.","Φίλες και φίλοι συντάξεις, εμείς δεν λέμε πολλά. Εμείς προσπαθούμε.Με έναν συγκεκριμένο αποτυπωμένο δημοσιονομικά κόστος. Να λύσουμε τις μεγάλες αδικίες; 350.000 χαμηλοσυνταξιούχοι κι είναι σε δεινή κατάσταση από τη στιγμή που ο κύριος Τσίπρας κατήργησε το ΕΚΑΣ. Εμείς επαναφέρουμε το νέο ΕΚΑΣ για 350.000 χαμηλοσυνταξιούχους. Δεύτερο θέμα.Η προσωπική διαφορά καταργούμε την προσωπική διαφορά από 1/1/24 και τις άδικες διατάξεις για τις συντάξεις αναπηρίας και χηρείας. Όλες αυτές οι κοστολογημένες παρεμβάσεις είναι 1,1 δισεκατομμύρια ευρώ. Και καλώ τον κύριο Μητσοτάκη και τον κύριο Τσίπρα να πάμε τα προγράμματά μας στο γραφείο προϋπολογισμού της Βουλής για να καταλάβει ο λαός ποιοι λένε την αλήθεια και ποιοι τον κοροϊδεύουν συνειδητά για μια ακόμη φορά. Επίσης. Προτείνουμε την καθιέρωση ενός ενιαίου μισθολογίου, τους δημοσίους υπαλλήλους με αυξήσεις για πρώτη φορά μετά από χρόνια που θα καλύπτουν τις απώλειες από τον πληθωρισμό συνολικού κόστους 1,2 δισεκατομμύρια ευρώ. Άρα όλες μας οι παρεμβάσεις σε συντάξεις και στους δημοσίους υπαλλήλους είναι 2,3 δισεκατομμύρια, πολύ λιγότερα από τα 10 δισεκατομμύρια, τα οποία λένε σε εκπομπές χωρίς ντροπή. Οι κύριοι της νέας δημοκρατίας. ",political agenda,pensioners,pensions,0.3,0.0,0.2,"[['mr. tsipras', 'person', '0.8'], ['ekas', 'organization', '0.6'], ['esas', 'organization', '0.6'], ['mr. mitsotakis', 'person', '0.8'], ['house of representatives', 'organization', '0.6'], ['new democracy', 'political party', '0.6.']]"
10,"This is the great child of PASOK, founded by George Gennimatas and Paraskevas Avgerinos, and we have a duty to revive it and stop the decline that is consciously driving it. The New Democracy serves powerful economic interests, and when the elements of the European Union are also inexorable, the Greek people pay the third-highest private health expenditure in the whole of Europe, surpassed only by Lithuania and Bulgaria. To see the figures is inexorable. The countries with the lowest tax rates on dividends over 100,000 are us and Lithuania. So it is no coincidence that in these countries that do not tax the very powerful, the welfare state is declining. We want a Western European welfare state, not a Balkan-style one. Mr Mitsotakis is at the expense of the poorest Greeks for the benefit of powerful economic interests. So what are we saying? They could have said once that they had no money. But to revive the NHS, Europe created the Recovery Fund with health as a priority. The Recovery Fund is born after the pandemic. What are we saying? Don't give 2-4% of the Recovery Fund. 2% is the actual percentage of the 20 billion. 4% goes after energy upgrading of buildings, but for services, it is 2%, when the Portuguese, Italians, and Spanish give 8-11%. Why? Because the problems we have with the ageing population, with the economic crisis that has reduced health spending, all these countries have them, so they have found a golden opportunity in the Recovery Fund to regenerate their public health.","Εθνικό σύστημα υγείας.Αυτό είναι το μεγάλο παιδί του ΠΑΣΟΚ που ίδρυσε ο Γιώργος Γεννηματάς και ο Παρασκευάς Αυγερινός και έχουμε χρέος να το αναγεννήσουμε και να σταματήσουμε την παρακμή που συνειδητά το οδηγεί. Η νέα δημοκρατία, υπηρετώντας ισχυρά οικονομικά συμφέροντα και όταν κι εκεί είναι αμείλικτα τα στοιχεία της Ευρωπαϊκής Ένωσης. Ο ελληνικός λαός πληρώνει τις τρίτες μεγαλύτερες δαπάνες ιδιωτικές δαπάνες στην υγεία σε όλη την Ευρώπη μας ξεπερνά μόνο η Λιθουανία και η Βουλγαρία και για να δείτε τα στοιχεία είναι αμείλικτα. Οι χώρες με τα χαμηλότερα ποσοστά φορολόγησης στα μερίσματα άνω των 100.000. Είμαστε εμείς και η Λιθουανία. Δεν είναι τυχαίο λοιπόν που σε αυτές τις χώρες που δεν φορολογούν τον πολύ ισχυρό το κοινωνικό κράτος παρακμάζει. Εμείς θέλουμε κοινωνικό κράτος Δυτικής Ευρώπης και όχι βαλκανικού τύπου. Κύριε Μητσοτάκη, εις βάρος των φτωχότερων Ελλήνων υπέρ ισχυρών οικονομικών συμφερόντων. Γι αυτό λοιπόν τι λέμε; Θα μπορουσαν να πουνε καποτε οτι δεν ειχαν χρηματα. Για να αναγεννήσουν το ΕΣΥ όμως η Ευρώπη έφτιαξε το Ταμείο Ανάκαμψης με προτεραιότητα την υγεία. Το Ταμείο Ανάκαμψης γεννιέται μετά την πανδημία. Τι λέμε; Μη δώσετε 2-4% του Ταμείου Ανάκαμψης 2% είναι το πραγματικό ποσοστό από τα 20 δισεκατομμύρια. 4% πάει μετά την ενεργειακή αναβάθμιση των κτιρίων αρά για τις υπηρεσίας είναι 2%, όταν οι Πορτογάλοι Ιταλοί Ισπανοί δίνουν 8-11%. Γιατί; Διότι τα προβλήματα που έχουμε εμείς με τη γήρανση πληθυσμού με την οικονομική κρίση που μείωσε τις δαπάνες για την υγεία, τα έχουν όλα αυτά τα κράτη άρα βρήκαν χρυσή ευκαιρία το Ταμείο Ανάκαμψης για να αναγεννήσουν την δημόσια υγεία τους. ",political agenda,health,public health system,-0.45,0.2,0.2,"[['george gennimatas', 'person', '0.9'], ['paraskevas avgerinos', 'person', '0.9'], ['pasok', 'political party', '0.9'], ['new democracy', 'political party', '0.9'], ['european union', 'organization', '0.9'], ['greek', 'location', '0.9'], ['lithuania', 'country', '0.9'], ['bulgaria', 'country', '0.9'], ['western european', 'location', '0.9'], ['balkan-style', 'location', '0.9'], ['mitsotakis', 'person', '0.9'], ['recovery fund', 'organization', '0.9'], ['nhs', 'organization', '0.9'], ['portuguese', 'group of people', '0.9'], ['italians', 'group of people', '0.9'], ['spanish', 'group of people', '0.9']]"
