id,text,text_el,is_criticism,topic-context,subtopic-context,sentiment,polarization-definition,populism-definition,ner-limited
1,"Friends, thank you from the bottom of my heart for your overwhelming presence on June 25th. We give dignity, hope, and perspective to every Greek woman and every Greek man. Friends, we are starting this election campaign, fighting in every city and every village to overturn a toxic two-party system that has led to four more years of lost time.","Φίλες και φίλοι, σας ευχαριστώ από τα βάθη της καρδιάς μου για τη συγκλονιστική σας παρουσία 25 Ιουνίου δίνουμε αξιοπρέπεια, ελπίδα και προοπτική σε κάθε ελληνίδα, σε κάθε Έλληνα. Φίλες και φίλοι, ξεκινάμε αυτή την προεκλογική εκστρατεία, δίνοντας αγώνα σε κάθε πόλη, σε κάθε χωριό, για να ανατρέψουμε έναν τοξικό δικομματισμό, ο ποίος οδήγησε σε 4 ακόμη χαμένα χρόνια.",political agenda,elections,campaigning,0.8,0.2,0.2,"[['june 25th', 'date', '0.8'], ['greek', 'country', '0.9'], ['greek woman', 'person', '0.7'], ['greek man', 'person', '0.7'], ['election campaign', 'organization', '0.6'], ['two-party', 'organization', '0.7']]"
2,"We have seen in the last few days the new Republic reveal a callous attitude towards the national health system, albeit a day late. Mr. Mitsotakis has removed Mr. Pneuma from his ballot papers, not because of his unacceptable and cynical statements, but because he testified that the devaluation and deconstruction of the national health system is a choice of the New Democracy. We have a duty to put a stop to this choice, which increases inequalities at the expense of the middle class and the weakest Greeks. This was not the first statement. Mr. Skertsos, in the midst of the pandemic, stated that there is no need to create a luxury health system. They also had in their program that they should aim for 7 to 10 minutes in the arrival of the ambulance for each incident, which is in this year's program of the New Democracy. This shows that they know the problem very well, but they did nothing to use the funds of the Recovery Fund to strengthen the national health system, resulting in the tragic events experienced by the Greek people in recent days in Kos and, of course, in Athens.","Είδαμε τις τελευταίες ημέρες η νέα Δημοκρατία να αποκαλύπτει ένα πρόσωπο ανάλγητο που αφορά το εθνικό σύστημα υγείας, με καθυστέρηση μιας ημέρας. Ο κύριος Μητσοτάκης αποσύρει από τα ψηφοδέλτια του τον κύριο Πνευματικό. Δεν το έκανε για τις απαράδεκτες και κυνικές του δηλώσεις, αλλά γιατί μαρτύρησε ότι η απαξίωση και η αποδόμηση του εθνικού συστήματος υγείας αποτελεί επιλογή της νέας δημοκρατίας και έχουμε χρέος να μπούμε ανάχωμα σε αυτή την επιλογή που αυξάνει τις ανισότητες εις βάρος της μεσαίας τάξης και των πιο αδύναμων Ελλήνων. Δεν ήταν άλλωστε η πρώτη δήλωση. Ο κύριος Σκέρτσος, ενδιαμέσως της πανδημίας είχε δηλώσει ότι δεν υπάρχει λόγος να δημιουργήσουμε ένα πολυτελές σύστημα υγείας. Επίσης στο πρόγραμμά τους είχαν ότι πρέπει να φτάσουν στα 7 έως 10 λεπτά στην άφιξη του ΕΚΑΒ για κάθε περιστατικό είναι στο φετινό πρόγραμμα της Νέας Δημοκρατίας, δείχνοντας ότι γνωρίζουν πολύ καλά το πρόβλημα, αλλά δεν έκαναν τίποτα για να αξιοποιήσουν τα κονδύλια του Ταμείου Ανάκαμψης για να έχουμε ένα ισχυρό εθνικό σύστημα υγείας, με αποτέλεσμα τα τραγικά γεγονότα που βιώνει ο ελληνικός λαός τις τελευταίες ημέρες στην Κω και βέβαια στην Αθήνα.",criticism,health,other,-0.8658,0.4,0.2,"[['republic', 'organization', '0.6'], ['mitsotakis', 'person', '1.0'], ['pneuma', 'person', '0.9'], ['new democracy', 'political party', '1.0'], ['skertsos', 'person', '0.9'], ['greeks', 'group of people', '1.0'], ['pandemic', 'date', '1.0'], ['recovery fund', 'organization', '1.0'], ['kos', 'location', '1.0'], ['athens', 'location', '1.0']]"
3,"I went to meet with the management of the ambulance service the day before yesterday. The ambulance service, along with our hospitals, is understaffed. They are missing 80 ambulances from their fleet, and to meet international standards, we still need 700 rescuers to man them. As a result, islands such as Cyclades and the Dodecanese, which expect hundreds of thousands of travelers, especially during the summer months, have only one ambulance available around the clock, which means 3 eight-hour shifts. According to the President of the EHIC, an additional 20 ambulances are needed to meet the needs in the basin, and an additional 10 nights on each shift. New Democracy decided that it could afford to recruit 1000 people for the notorious university police, which is not working, but it could not afford to support the ambulance service and our hospitals while we were going through the tragedy of the pandemic, as other European countries did. Greece has barely channeled 2% of the Recovery Fund to the NHS and another 2% to building upgrades, when other countries such as Spain, Portugal, and Italy have allocated 8 to 11% of the Recovery Fund. According to the latest Eurostat data, Greece has worsened its position in private health spending. I have often said in my interviews that we were third in private spending across Europe. We were overtaken by Bulgaria and Lithuania. Mr. Mitsotakis has made the country's position worse. Now we are second in Europe from the bottom in private spending, and we are only surpassed by Bulgaria. That is why we are in debt. We, who built the NHS with George Gennimata and Paraskevas Avgerinos, should revive the NHS so that there is a safety net for all the Greek people, especially for the most vulnerable Greeks.","Πήγα προχθές και συνάντησα τη διοίκηση του ΕΚΑΒ. Το ΕΚΑΒ είναι υποστελεχωμένο, όπως είναι και τα νοσοκομεία μας από το στόλο του λείπουν 80 ασθενοφόρα και για να φτάσουμε στα διεθνή στάνταρ χρειάζονται ακόμη 700 διασώστες για να τα επανδρώσουν. Το αποτέλεσμα είναι νησιά όπως οι κυκλάδες, τα Δωδεκάνησα τα οποία περιμένουν εκατοντάδες χιλιάδες ταξιδιώτες, ιδιαίτερα τους καλοκαιρινούς μήνες, να έχουν διαθέσιμο μόνο ένα ασθενοφόρο το εικοσιτετράωρο, που σημαίνει 3 οκτάωρες βάρδιες. Σύμφωνα με τον Πρόεδρο του ΕΚΑΒ, για να καλυφθούν οι ανάγκες στο λεκανοπέδιο χρειάζονται επιπλέον 20 ασθενοφόρα και σε κάθε βάρδια επιπλέον 10 νύχτες. Η Νέα δημοκρατία αποφάσισε ότι είχε την πολυτέλεια να κάνει 1000 προσλήψεις για την περιβόητη πανεπιστημιακή αστυνομία, η οποία όμως δεν λειτουργεί, αλλά δεν είχε την πολυτέλεια να στηρίξει το ΕΚΑΒ και τα νοσοκομεία μας, ενώ περάσαμε την τραγωδία της πανδημίας, όπως έκαναν άλλα ευρωπαϊκά κράτη. Η Ελλάδα μετά βίας έχει διοχετεύσει το 2% των πόρων του Ταμείου Ανάκαμψης στο ΕΣΥ και άλλο 2% στην κτιριακή αναβάθμιση των κτιρίων, όταν άλλες χώρες, όπως η Ισπανία, η Πορτογαλία, η Ιταλία έχουν διαθέσει 8 έως 11% του Ταμείου Ανάκαμψης. Σύμφωνα με νεότερα στοιχεία της eurostat, η Ελλάδα χειροτέρευσε τη θέση της σε ιδιωτικές δαπάνες υγείας. Πολλές φορές έχω πει στις συνεντεύξεις μου ότι ήμασταν τρίτοι σε ιδιωτικές δαπάνες πανευρωπαϊκά. Μας επερνούσε η Βουλγαρία και Λιθουανία. Ο κύριος Μητσοτάκης χειροτέρεψε τη θέση της χώρας. Τώρα είμαστε δεύτεροι στην Ευρώπη από το τέλος σε ιδιωτικές δαπάνες και μας ξεπερνάει μόνο η Βουλγαρία. Για αυτό έχουμε χρέος. Εμείς που φτιάξαμε το ΕΣΥ με τον Γιώργο Γεννηματά και τον Παρασκευά Αυγερινό να αναγεννήσουμε το ΕΣΥ για να υπάρχει δίχτυ ασφαλείας για όλο τον ελληνικό λαό και κυρίως για τους πιο ευάλωτους Έλληνες.",criticism,health,public health system,,0,0,"[['management', 'organization', '0.7'], ['ambulance service', 'organization', '1.0'], ['hospitals', 'organization', '1.0'], ['cyclades', 'location', '1.0'], ['dodecanese', 'location', '1.0'], ['president of the ehic', 'person', '0.7'], ['new democracy', 'political party', '1.0'], ['greece', 'country', '1.0'], ['recovery fund', 'organization', '1.0'], ['spain', 'country', '1.0'], ['portugal', 'country', '1.0'], ['italy', 'country', '1.0'], ['eurostat', 'organization', '1.0'], ['bulgaria', 'country', '1.0'], ['lithuania', 'country', '1.0'], ['mr. mitsotakis', 'person', '0.7'], ['george gennimata', 'person', '0.7'], ['paraskevas avgerinos', 'person', '0.7']]"
4,"But Mr. Mitsotakis continues to blackmail. We were surprised to hear a new childish blackmail. What is he saying? ""Vote for me so that I don't spoil your August holidays."" You know, all this reminds me of the previous argument, ""Vote for me because Androulakis is not meeting me."" This is all very well for a laugh, but we have a duty to fight for the new democracy to have a real opponent so that Mr. Mitsotakis can see what a credible progressive opposition means.","Ο κύριος Μητσοτάκης συνεχίζει όμως τους εκβιασμούς. Και ακούσαμε με έκπληξη έναν νέο παιδικό εκβιασμό. Τι λέει; Ψηφίστε με για να μη σας χαλάσω τις διακοπές του Αυγούστου. Ξέρετε όλα αυτά μου θυμίζουν το προηγούμενο επιχείρημα ψηφίστε με γιατί δεν με συναντά ο Ανδρουλάκης. Ξέρετε ωραία όλα αυτά είναι για να γελάμε, αλλά έχουμε χρέος να αγωνιστούμε για να αποκτήσει πραγματικό αντίπαλο η νέα δημοκρατία για να δει ο κύριος Μητσοτάκης τι σημαίνει αξιόπιστη προοδευτική αντιπολίτευση.",criticism,elections,other,-0.5,0.1,0,"[['mr. mitsotakis', 'person', '0.9'], ['androulakis', 'person', '0.5'], ['new democracy', 'organization', '0.8'], ['credible progressive opposition', 'group of people', '0.7']]"
5,"Our program has nothing to do with the program of New Democracy because quite simply the plan of New Democracy is to dismantle the welfare state. Our priority is the regeneration of the welfare state. They serve 1000 families fiscally; otherwise, we cannot explain their asymmetrical reaction to our reasonable proposals for a fair tax system, proposals that have been implemented in all modern European states. They insult the institutions. We are the party that built the independent authorities.","Το πρόγραμμά μας δεν έχει καμία σχέση με το πρόγραμμα της Νέας Δημοκρατίας, διότι πολύ απλά το σχέδιο της Νέας Δημοκρατίας είναι να αποδομήσει το κοινωνικό κράτος. Όταν εμείς έχουμε προτεραιότητα την αναγέννηση του κοινωνικού κράτους. Υπηρετούν φορολογικά 1000 οικογένειες, αλλιώς δεν εξηγείται η ασύμμετρη αντίδραση τους σε λογικές προτάσεις μας για ένα δίκαιο φορολογικό σύστημα, προτάσεις που έχουν υλοποιηθεί σε όλα τα σύγχρονα ευρωπαϊκά κράτη. Προσβάλλουν τους θεσμούς. Εμείς είμαστε η παράταξη που έφτιαξε τις ανεξάρτητες αρχές.",criticism,social state,other,0.2,0.6,0,"[['new democracy', 'political party', 'high probability'], ['welfare state', 'organization', 'high probability'], ['1000 families', 'group of people', 'high probability'], ['european states', 'location', 'high probability'], ['independent authorities', 'organization', 'high probability.']]"
6,"We are a historical progressive force that has no field of convergence with New Democracy. Based on the result of the popular verdict, according to the electoral system and the result of Sunday's elections, Mr. Mitsotakis would have 172 seats. What is more dangerous is the omnipotence of New Democracy, not the false blackmail of New Democracy for elections in August. PASOK is here, united and strong, to put a damper on the omnipotence of the conservative party. Even if Mr. Mitsotakis is surprised at the ballot box on June 25th, which we wish from the bottom of our hearts, he has other partners in the political system. Additionally, he has the political children of Karatzaferis, Mr. Voridis, Mr. Georgiades, and Mr. Plevris in the top three ministries. Mr. Karatzaferis has recently been openly supporting him, and even a few days ago, Faelos Kranidiotis was in the strategic plan of support for New Democracy. Since all these people are close to you, Mr. Mitsotakis, take Mr. Velopoulos as well, so that you can fix the right-wing and far-right house and let this progressive democratic party embrace the anxieties of the Greek people for a just society, for a society that gives prospects to new generations.","Είμαστε μια ιστορική προοδευτική δύναμη που δεν έχει πεδίο σύγκλισης με τη νέα δημοκρατία με βάση το αποτέλεσμα της λαϊκής ετυμηγορίας, σύμφωνα με το εκλογικό σύστημα και το αποτέλεσμα της Κυριακής των εκλογών, ο κύριος Μητσοτάκης θα είχε 172 έδρες, συνεπώς πιο επικίνδυνο είναι η παντοδυναμία της νέας δημοκρατίας και όχι ψεύτικο εκβιασμοί της νέας δημοκρατίας για εκλογές τον Αύγουστο. Και εμείς είμαστε εδώ, το ΠΑΣΟΚ είναι εδώ ενωμένο δυνατό για να μπει ανάχωμα στην παντοδυναμία της συντηρητικής παράταξης. Ακόμη κι αν ο κύριος Μητσοτάκης βρεθεί προ εκπλήξεων στην κάλπη της 25ης Ιουνίου, που το ευχόμαστε από τα βάθη της καρδιάς μας, έχει και άλλους συνεταίρους στο πολιτικό σύστημα. Άλλωστε, στα 3 κορυφαία υπουργεία έχει τα πολιτικά παιδιά του Καρατζαφέρη, τον κύριο Βορίδη, τον κύριο Γεωργιάδη, τον κύριο Πλεύρη. Ο κύριος Καρατζαφέρης πρόσφατα τον στηρίζει ανοιχτά και μάλιστα πριν από μερικές μέρες και ο Φαήλος Κρανιδιώτης είναι ακόμη και αυτός στο στρατηγικό πλάνο στήριξης της Νέας Δημοκρατίας. Άρα, αφού όλοι αυτοί είναι κοντά σας, κύριε Μητσοτάκη, πάρτε και τον κύριο Βελόπουλο για να φτιάξετε τη δεξιά και ακροδεξιά πολυκατοικία και αφήστε αυτή την προοδευτική δημοκρατική παράταξη να αγκαλιάσει με γνήσιο τρόπο τις αγωνίες του ελληνικού λαού για μια κοινωνία δίκαιη, για μια κοινωνία που δίνει προοπτική στις νέες γενιές.",criticism,elections,other,-0.2,0.6,0.2,"[['new democracy', 'organization', '1.0'], ['mr. mitsotakis', 'person', '1.0'], ['pasok', 'organization', '1.0'], ['karatzaferis', 'person', '1.0'], ['voridis', 'person', '1.0'], ['georgiades', 'person', '1.0'], ['plevris', 'person', '1.0'], ['faelos kranidiotis', 'person', '1.0'], ['mr. velopoulos', 'person', '1.0'], ['greek', 'location', '1.0'], ['june 25th', 'date', '1.0'], [""sunday's elections"", 'date', '1.0']]"
7,"Friends and comrades, but now we have Mr. Tsipras who has bared his claws after the results of May 21st. He arrogantly insists on not acknowledging his share of responsibility for the increase in the numbers of New Democracy. His opposition was a golden sponsor to Mr. Mitsotakis. Otherwise, it cannot be explained how a government with rampant corruption, state-sponsored cronyism, the tragedy of Tempi, huge inequalities, and growth for the few, instead of reducing its rates, could reach 40%. We are here so that New Democracy understands that there is another strong, credible force to oppose and clash with in a fruitful way for our national interests, social justice, and the hope and perspective of the Greek people.","Φίλες και φίλοι, αλλά τώρα έχουμε και τον κύριο Τσίπρα που έβγαλε νύχια μετά το αποτέλεσμα της 21ης Μαίου. Επιμένει με αλαζονικό τρόπο να μην αναγνωρίζει το μερίδιο της ευθύνης του για την αύξηση των ποσοστών της νέας δημοκρατίας. Η αντιπολίτευση του ήταν χρυσός χορηγός στον κύριο Μητσοτάκη, αλλιώς δεν εξηγείται πώς μια κυβέρνηση η οποία είχε πολύ μεγάλα φαινόμενα διαφθοράς, το παρακράτος των υποκλοπών, την τραγωδία των Τεμπών, τις τεράστιες ανισότητες και την ανάπτυξη για τους λίγους, αντί να μειώνει τα ποσοστά της, να φτάνει στο 40%. Εμείς εδώ είμαστε για να καταλάβει η νέα Δημοκρατία ότι υπάρχει μια άλλη ισχυρή αξιόπιστη δύναμη για να αντιπολιτεύεται, για να συγκρούεται με γόνιμο τρόπο, για τα εθνικά μας συμφέροντα, για την κοινωνική δικαιοσύνη, για την ελπίδα και την προοπτική του ελληνικού λαού.",criticism,corruption,other,-0.6,0,0.2,"[['1. mr. tsipras', 'person', '1.0'], ['2. may 21st', 'date', '1.0'], ['3. new democracy', 'political party', '1.0'], ['4. mr. mitsotakis', 'person', '1.0'], ['5. tempi', 'location', '0.9'], ['6. greek people', 'group of people', '0.7']]"
8,"But I did not expect Mr Tsipras' self-criticism for his defeat by New Democracy. He says that it is the fault of PASOK, the KKE, and the lack of simple proportional representation, but there was no simple proportional representation in 2019 when he was defeated in the European, national, and municipal elections. And if it weren't for Stavros Arnaoutakis in Crete, all of Greece would be blue with 13 regions in the new democracy. So what happened was not a new scenario, it was the sequence of SYRIZA's defeats against the new democracy. That is why Mr Mitsotakis has been pampered and is trying to keep Mr Tsipras upright. We are here to consign both of them to the dustbin of history because they have created division. They are not investing in the unity of the Greek people, they are not investing in national understanding in a fruitful public debate, but in the toxic gangs of the Internet who want a divided people and not a people ready to discuss their problems and provide reasonable solutions.","Δεν περίμενα όμως την αυτοκριτική του κυρίου Τσίπρα για την ήττα του από τη Νέα Δημοκρατία. Λέει ότι φταίει το ΠΑΣΟΚ, το ΚΚΕ, η απλή αναλογική, αλλά δεν υπήρχε η απλή αναλογική το 2019 όπου ηττήθηκε στις ευρωεκλογές, στις εθνικές και στις δημοτικές εκλογές. Και αν δεν ήταν ο Σταύρος Αρναουτάκης στην Κρήτη, όλη η Ελλάδα θα ήταν γαλάζια με 13 περιφέρειες στη νέα δημοκρατία. Άρα, αυτό που συνέβη δεν ήταν ένα νέο σενάριο ήταν η αλληλουχία των ηττών του ΣΥΡΙΖΑ απέναντι στη νέα Δημοκρατία. Για αυτό έχει καλομάθει ο κύριος Μητσοτάκης και προσπαθεί να διατηρήσει όρθιο τον κύριο Τσίπρα. Εμείς είμαστε εδώ για να στείλουμε στο χρονοντούλαπο της ιστορίας και τον ένα και τον άλλο, διότι έχουν δημιουργήσει διχασμό. Δεν επενδύουνε στην ενότητα του ελληνικού λαού, δεν επενδύουν στην εθνική συνεννόηση σε ένα γόνιμο δημόσιο διάλογο, αλλά στις τοξικές συμμορίες του διαδικτύου που θέλουν ένα λαό διαιρεμένο και όχι ένα λαό έτοιμο να συζητήσει τα προβλήματά του και να δώσει λογικές λύσεις. ",criticism,elections,other,0,0.6,0,[]
9,"Friends, how else can I describe him other than a supporter of the New Democracy party? His backtracking on the Aegean Prespes agreement, his officials' recent statements on the Turkish minority, all of these actions support the New Democracy party. Our party is democratic, progressive, and above all, patriotic, and has nothing to do with this nonsense that comes at the expense of our national interests.","Φίλες και φίλοι, πως αλλιώς να μην τον χαρακτηρίσω χορηγό της νέας δημοκρατίας; Όταν οι παλινωδίες του για Πρέσπες του Αιγαίου, για Θάλασσα χωρίς σύνορα, τα τελευταία περί τουρκικής μειονότητας από δηλώσεις στελεχών του, όλα αυτά ήταν χορηγίες στη νέα δημοκρατία. Εδώ είναι η δημοκρατική, προοδευτική και πάνω από όλα πατριωτική παράταξη που δεν έχει καμία σχέση μ' αυτές τις ανοησίες εις βάρος των εθνικών μας συμφερόντων.",criticism,national security,other,-0.8,0.6,0.2,"[['new democracy party', 'organization', '1.0'], ['aegean prespes agreement', 'political party', '0.7'], ['turkish minority', 'group of people', '0.8']]"
10,"But, friends, at the end of the last election, we saw, in my humble opinion, the worst that Mr Tsipras had to offer. All the years he was leader of Syriza, and there was nothing more. Something that offends every leftist, every democrat, every progressive Greek. It was revealed just a few days before the elections that he had not voted for the amendment that prevented the criminal Golden Dawn from taking part in the elections. He did not vote for it to invite them to vote for SYRIZA, the so-called voters who did not know what was going on with the criminally imprisoned neo-Nazis. This has nothing to do with the values of socialism, democracy, progress, and the left that PASOK has represented from 1974 until today, since the time of our founder Andreas Papandreou. To this day, this party has never flirted with the extremes, nor has it undermined our national interests. We must not forget them; we have historical and social memory.","Φίλες και φίλοι, όμως, στο τέλος των προηγούμενων εκλογών. Είδαμε κατά την ταπεινή μου άποψη ότι χειρότερο είχε να επιδείξει ο κύριος Τσίπρας. Όσα χρόνια ήταν αρχηγός του ΣΥΡΙΖΑ; Και δεν υπήρχε άλλο. Κάτι που προσβάλλει κάθε αριστερό, κάθε δημοκράτη, κάθε προοδευτικό έλληνα. Αποκαλύφθηκε λίγες μέρες πριν τις εκλογές γιατί δεν είχε ψηφίσει την τροπολογία που εμπόδιζε τους εγκληματίες χρυσαυγίτες να πάρουν μέρος στις εκλογές. Δεν τη ψήφισε για να τους καλέσει να ψηφίσουν το ΣΥΡΙΖΑ, οι δήθεν ψηφοφόροι που δεν ήξεραν τι συνέβαινε με τους εγκληματίες φυλακισμένους νεοναζιστές. Αυτό δεν έχει καμία σχέση με τις αξίες του σοσιαλισμού, της δημοκρατίας, της προόδου και της αριστεράς που εκπροσωπεί το ΠΑΣΟΚ από το 1974 μέχρι σήμερα, από τα χρόνια του ιδρυτή μας Ανδρέα Παπανδρέου. Μέχρι σήμερα αυτή η παράταξη δεν χάιδεψε ποτέ τα άκρα, ποτέ ότι υπονόμευε τα εθνικά μας συμφέροντα. Εμείς τα ξεχνάμε, έχουμε ιστορική και κοινωνική μνήμη.",criticism,democracy,other,-0.8,0.6,0,"[['tsipras', 'person', '0.9'], ['syriza', 'political party', '0.9'], ['golden dawn', 'organization', '0.9'], ['greek', 'location', '0.7'], ['pasok', 'political party', '1.0'], ['andreas papandreou', 'person', '0.8']]"
