id,text,text_el,is_criticism,topic-context,subtopic-context,sentiment,polarization-definition,populism-definition,ner-limited
1,"Thank you from the bottom of my heart for your warm welcome. Unfortunately, today the great Greek, the great Cretan, the great composer, the great democrat, Yannis Markopoulos, passed away. He was the man who expressed through his work the efforts, struggles, and visions of the Greek people.","Σας ευχαριστώ από τα βάθη της καρδιάς μου για τη θερμή σας υποδοχή. Δυστυχώς σήμερα. Δυστυχώς σήμερα θα έφυγε από τη ζωή ο μεγάλος Έλληνας, ο μεγάλος Κρητικός, ο μεγάλος συνθέτης, ο μεγάλος δημοκράτης, Γιάννης Μαρκόπουλος. Ο άνθρωπος που εξέφρασε με το έργο, τους κόπους, τους αγώνες και τα οράματα του ελληνικού λαού.",,culture,artists,0.15,0.0,0.0,"[['yannis markopoulos', 'person', '0.9'], ['greek people', 'group of people', '0.7'], ['crete', 'location', '0.5'], ['greece', 'country', '0.5']]"
2,"Friends, our party has embarked on a new course, a course that leads to a battle on June 25th that we must win. We have a duty on June 25th to make this party stronger, to make changes from one end of the country to the other. We have a duty not only to make PASOK a little bigger, not only to increase our parliamentary strength, but also to rebuild the home of every democrat, of every progressive Greek. I invite all progressive people on the left, the center-left, and the center to come back and support this new effort so that there is a genuine opponent to New Democracy. In the last election on May 21st, a first step was taken. However, we still have a great deal to do, and it is our duty to do this together, all generations of the democratic party. PASOK is more united and stronger because PASOK is sending a message of victory from here, from Tripoli, from the Peloponnese. We are once again the protectors of the struggle for change, the struggle for social justice, the struggle for dignity. Our message genuinely embraces the struggles of the middle class and the most vulnerable Greeks.","Φίλες και φίλοι, η παράταξη μας ξεκίνησε μια νέα πορεία, μια πορεία που οδηγεί στις 25 Ιουνίου σε μια μάχη που πρέπει να κερδίσουμε. Έχουμε χρέος, 25 Ιουνίου, αυτή η παράταξη να γίνει πιο ισχυρή, πιο δυνατή για να γίνουν αλλαγές απ'άκρη σε άκρη της χώρας. Έχουμε χρέος, όχι μόνο να κάνουμε το ΠΑΣΟΚ λίγο πιο μεγάλο, όχι μόνο να αυξήσουμε την κοινοβουλευτική μας δύναμη. Άλλα να ξαναοικοδομήσουμε το σπίτι του κάθε δημοκράτη, του κάθε προοδευτικού έλληνα, και προσκαλώ όλους τους προοδευτικούς ανθρώπους της αριστεράς, της κέντροαριστερας, του κέντρου να έρθουν ξανά να στηρίξουν την νέα αυτή προσπάθεια, για να υπάρχει γνήσιος αντίπαλος απέναντι στη Νέα Δημοκρατία. Στις προηγούμενες εκλογές, 21 Μαΐου έγινε ένα πρώτο βήμα. Έχουμε όμως ακόμη να κάνουμε πάρα πολλά. Και έχουμε χρέος, αυτά να τα κάνουμε όλοι μαζί. Όλες οι γενιές της δημοκρατικής παράταξης. Το ΠΑΣΟΚ είναι πιο ενωμένο και πιο δυνατό. Γιατί το ΠΑΣΟΚ στέλνει από εδώ, από την Τρίπολη, από την Πελοπόννησο, μήνυμα νίκης. Είμαστε ξανά προστάτες του αγώνα, του αγώνα για αλλαγές, του αγώνα για κοινωνική δικαιοσύνη, του αγώνα για αξιοπρέπεια, το μήνυμα μας αγκαλίαζει γνήσια τις αγωνίες της μεσαίας τάξης και των πιο ευάλωτων ελλήνων.",political agenda,elections,other,0.9,0.2,0.0,"[['pasok', 'organization', '1.0'], ['june 25th', 'date', '1.0'], ['greek', 'location', '1.0'], ['new democracy', 'political party', '1.0'], ['may 21st', 'date', '1.0'], ['tripoli', 'location', '0.8'], ['peloponnese', 'location', '0.8']]"
3,"But what are these anxieties? What anxieties are Mr. Mitsotakis and New Democracy despising? We have seen a barrage of statements in recent days regarding the national health system. Not for the first time, in the midst of the pandemic, a close associate of Mr. Mitsotakis said that the NHS and investment in it are a luxury. It is not a luxury for the state to stand by the citizen, and I pledge that PASOK will stand by every Greek woman and every Greek man. It will be the party that supports the weakest with a modern welfare state, with public health and public education. These are our principles, these are our values, and they are non-negotiable.","Αλλά ποιες είναι αυτές οι αγωνίες; Ποιες είναι αυτές οι αγωνίες που περιφρονεί ο κύριος Μητσοτάκης και η νέα Δημοκρατία; Είδαμε τις τελευταίες μέρες μπαράζ δηλώσεων που αφορούσαν το εθνικό σύστημα υγείας. Δεν ήταν πρώτη φορά ενδιάμεσως της πανδημίας, στενός συνεργάτης του κυρίου Μητσοτάκη είπε ότι το ΕΣΥ και η επένδυση σε αυτό είναι μια πολυτέλεια. Δεν είναι πολυτέλεια, το κράτος να είναι δίπλα στον πολίτη και δεσμεύομαι ότι το ΠΑΣΟΚ θα είναι δίπλα σε κάθε ελληνίδα και σε κάθε έλληνα. Θα είναι το κόμμα που θα στηρίζει τους πιο αδύναμους με ένα σύχρονο κοινωνικό κράτος, με δημόσια υγεία και δημόσια παιδεία. Αυτές είναι οι αρχές μας, αυτές είναι οι αξίες μας και είναι αδιαπραγμάτευτες.",political agenda,health,public health system,-0.6,0.0,0.0,"[['mr. mitsotakis', 'person', '0.9'], ['new democracy', 'political party', '0.9'], ['nhs (national health system)', 'organization', '0.9'], ['pasok (pan-hellenic socialist movement)', 'political party', '0.9'], ['greek', 'nationality', '0.9']]"
4,"The programme of New Democracy, which they handed out to the Greek people in the last elections, states that the ambulance will arrive at each incident within 7 to 10 minutes. However, for 4 years they left EKAV understaffed, resulting in a shortage of 80 ambulances to reach international standards and 700 rescuers to man them, as well as the ones we already have. As a result, in the Cyclades, the Dodecanese, and many parts of mainland Greece, there is barely one ambulance available round the clock. Similar problems exist in other areas of the national health system. Recently, an infant in Arcadia was in danger and had to be evacuated from Leonidio to Tripoli. According to the President of EKAB, whom I visited the day before yesterday, in order to meet our needs in Attica alone, we need 20 additional ambulances in each shift and 10 more for the night hours. The New Democracy decided in the previous government that it could afford to recruit 1,000 people for the university police, but there is no university police today; it was just another New Democracy buffoonery. However, they could not afford to take 700 rescuers to man the ambulance service, resulting in tragic events in the last few days.","Το πρόγραμμα της Νέας Δημοκρατίας, αυτό που μοίρασαν στις τελευταίες εκλογές στον ελληνικό λαό, λένε ότι 7 με 10 λεπτά προβλέπει, λέει, η άφιξη του ΕΚΑΒ σε κάθε περιστατικό. Μόνο που 4 χρόνια άφησαν το ΕΚΑΒ υποστελεχωμένο και λείπουν σήμερα 80 ασθενοφόρα για να φτάσουμε στα διεθνή στάνταρ και 700 διασώστες να επανδρώσουν και αυτά και αυτά που ήδη έχουμε. Ποιο είναι το αποτέλεσμα; Το αποτέλεσμα είναι ότι στις Kυκλάδες, στα Δωδεκάνησα και σε πολλά μέρη της ηπειρωτικής Ελλάδας, υπάρχει μετά βίας ένα ασθενοφόρο, το εικοσιτετράωρο. Παρόμοια προβλήματα αντιμετωπίζουμε και σε άλλους τομείς του εθνικού συστήματος υγείας. Εδώ μάλιστα στην Αρκαδία πρόσφατα κινδύνευσε ένα βρέφος που χρειάστηκε να διακομιστεί από το Λεωνίδιο, στην Τρίπολη. Σύμφωνα με τον Πρόεδρο του ΕΚΑΒ, τον οποίο επισκέφτηκα προχθές, για να καλύψουμε τις ανάγκες μας μόνο στην Αττική χρειάζονται 20 επιπλέον ασθενοφόρα σε κάθε βάρδια και 10 επιπλέον για τις νυχτερινές ώρες. Η Νέα δημοκρατία αποφάσισε την προηγούμενη κυβερνητική περίοδο ότι είχε την πολυτέλεια να κάνει 1000 προσλήψεις για την πανεπιστημιακή αστυνομία, που όμως δεν υπάρχει σήμερα πανεπιστημιακή αστυνομία, ένα ακόμη ρουσφέτι της Νέας Δημοκρατίας ήταν. Αλλά δεν είχε την πολυτέλεια να πάρει 700 διασώστες για να επανδρώσει το ΕΚΑΒ και να μην ζούμε τα τραγικά γεγονότα των τελευταίων ημερών.",criticism,health,other,-0.8,0.1,0.0,"[['new democracy', 'organization', '1.0'], ['greek people', 'group of people', '1.0'], ['ekav', 'organization', '1.0'], ['cyclades', 'location', '1.0'], ['dodecanese', 'location', '1.0'], ['mainland greece', 'location', '1.0'], ['arcadia', 'location', '1.0'], ['leonidio', 'location', '1.0'], ['tripoli', 'location', '1.0'], ['ekab', 'organization', '1.0'], ['attica', 'location', '1.0'], ['new democracy', 'political party', '1.0']]"
5,"Greece has only channeled 2% of the Recovery Fund resources to the National Health System and another 2% for the energy upgrade of buildings, while other countries such as Spain, Portugal, and Italy have allocated 8 to 11%. According to Eurostat data, the Greek people pay the third highest private health expenditure in Europe, surpassed only by Bulgaria and Lithuania. However, after a recent debate, it was discovered that Greece has now fallen to second place in this regard. PASOK aims to stop this injustice and revive the NHS, which currently suffers from understaffing and lack of resources. For example, the Panarcadian hospital in Tripoli operates with just one radiologist out of the 7 provided, leaving many on-call services uncovered. Additionally, the Papanikolaou hospital in Thessaloniki has a backlog of three and a half thousand surgeries waiting, with only 7 available anaesthetists out of 28 positions. Telemedicine infrastructure also remains inactive, which could have helped serve patients in Arcadia and beyond.","Η Ελλάδα μετά βίας έχει διοχετεύσει το 2% των πόρων του Ταμείου Ανάκαμψης στο Εθνικό Σύστημα Υγείας και άλλο 2% για την ενεργειακή αναβάθμιση των κτιρίων. Όταν άλλες χώρες, η Ισπανία, η Πορτογαλία, η Ιταλία έχουν διαθέσει το 8 έως 11%. Λέω πολλές φορές στις ομιλίες μου ότι ο ελληνικός λαός, βάσει των στοιχείων της Eurostat, πληρώνει τις τρίτες περισσότερες δαπάνες, ιδιωτικές δαπάνες υγείας σε όλη την Ευρώπη. Μας ξεπερνάει μόνο η Βουλγαρία και η Λιθουανία. Μετά από ένα debate της τελευταίας εβδομάδας κοίταξα εκ νέου τον πίνακα. Και τι κατάφερε ο κύριος Μητσοτάκης, παρόλο το Ταμείο Ανάκαμψης, όχι τρίτοι, δεύτεροι είμαστε. Μας ξεπέρασε και η Λιθουανία, και είμαστε μόνο εμείς και η Βουλγαρία που οι λαοί τους πληρώνουν τεράστιο κόστος, το μεγαλύτερο στην Ευρώπη για την υγεία τους και αυτή την παθογένεια, αυτή την αδικία, το ΠΑΣΟΚ θα την σταματήσει. Γιατί εμείς φτιάξαμε το ΕΣΥ, με το Γιώργο Γεννηματά και τον Παρασκευά Αυγερινό, εμείς θα αναγεννήσουμε το ΕΣΥ. Οι δομές είναι υποστελεχωμένες, το Παναρκαδικό νοσοκομείο της Τρίπολης είναι ένα παράδειγμα. Δεν είναι όμως το μόνο. Λειτουργεί μόλις με έναν ακτινολόγο από τους 7 που προβλέπονται, με αποτέλεσμα πολλές από τις εφημερίες να μένουν ακάλυπτες. Για αυτό άλλωστε η κυρία Γκάγκα είπε να περνούν και από άλλες ειδικότητες, ενώ την ίδια ώρα ο κύριος Μητσοτάκης, έλεγε ότι το ΕΣΥ είναι σε πολύ καλή κατάσταση. Ξέρετε, πριν από μερικές μέρες ήμουν στη Θεσσαλονίκη, στο νοσοκομείο Παπανικολάου. Τρεισήμισι χιλιάδες χειρουργεία είναι σε αναμονή. Από τις 28 θέσεις που υπάρχουν, μόλις 7 είναι οι αναισθησιολόγοι. Αυτή είναι η κατάσταση σε όλη την Ελλάδα. Επίσης υποδομές τηλειατρικής που θα μπορούσαν να έχουν βοηθήσει στην εξυπηρέτηση των ασθενών και εδώ στην αρκαδία παραμένουν ανενεργές. ",political agenda,health,other,-0.5,0.0,0.0,"[['greece', 'location', '1.0'], ['national health system', 'organization', '1.0'], ['spain', 'country', '1.0'], ['portugal', 'country', '1.0'], ['italy', 'country', '1.0'], ['eurostat', 'organization', '1.0'], ['bulgaria', 'country', '1.0'], ['lithuania', 'country', '1.0'], ['pasok', 'political party', '1.0'], ['panarcadian hospital', 'organization', '1.0'], ['tripoli', 'location', '1.0'], ['papanikolaou hospital', 'organization', '1.0'], ['thessaloniki', 'location', '1.0'], ['telemedicine', 'organization', '1.0'], ['arcadia', 'location', '1.0']]"
6,All of these examples are found throughout the country and demonstrate that PASOK's commitment to allocate 8-10% of the Recovery Fund for the regeneration of the NHS must be a commitment that all parties in Greece follow if they wish to defend the public interest.,Όλα αυτά τα παραδείγματα είναι εκατοντάδες σε όλη τη χώρα δείχνουν ότι πρέπει η δέσμευση του ΠΑΣΟΚ για υλοποίηση 8-10% του Ταμείου Ανάκαμψης για την αναγέννηση του ΕΣΥ να είναι μια δέσμευση που θα ακολουθήσουν όλα τα κόμματα της Ελλάδας εάν θέλουν να υπερασπίζονται το δημόσιο συμφέρον.,political agenda,health,other,0.4,0.0,0.0,"[['pasok', 'organization', 'high'], ['nhs', 'organization', 'high'], ['greece', 'country', 'high']]"
7,"Friends, our priority is to create a strong nationwide primary care network. During the COVID-19 pandemic, it became evident that the absence of such a network caused significant issues in our hospitals and resulted in reduced services for serious illnesses and preventive medicine. Primary care could have acted as a barrier to the pandemic.","Φίλες και φίλοι, εμείς έχουμε προτεραιότητα να γίνει ένα πανελλαδικό ισχυρό δίκτυο πρωτοβάθμιας περίθαλψης. Την εποχή του covid αποδείχθηκε ότι η έλλειψη αυτού του δικτύου δημιούργησε τεράστια προβλήματα στα νοσοκομεία μας και υποβάθμισε υπηρεσίες για βαριά νοσήματα, προληπτική ιατρική που θα μπορούσε να υπάρχει, αν ήταν η πρωτοβάθμια υγεία ο κυματοθραύστης της πανδημίας.",political agenda,pandemic,public health system,0.8,0.0,0.0,"[['covid-19', 'location', '0.5'], ['hospitals', 'organization', '0.5'], ['primary care', 'organization', '0.5'], ['pandemic', 'date', '0.5']]"
8,"We are committed to raising the salaries of healthcare workers to the average of the European Union, stopping our doctors from studying here but working in Germany, and including healthcare workers in the heavy and unhealthy category to end the mockery we have been hearing for the last few years.","Επίσης, δεσμευόμαστε για αύξηση των μισθών των υγειονομικών στο μέσο όρο της Ευρωπαϊκής Ένωσης για να σταματήσουν οι γιατροί μας να σπουδάζουν εδώ, αλλά δουλεύουν στη Γερμανία και βέβαια ένταξη των υγειονομικών στα βαρεα και ανθυγιεινα, να τελειώσει η κοροιδία που ακούμε τα τελευταία χρόνια.",political agenda,health,medical workforce,0.7,0.0,0.0,"[['european union', 'organization', '0.80'], ['germany', 'location', '0.60']]"
9,"Friends, another topical issue has arisen in recent days with the Greek Muslims of Thrace. I actually heard Mrs Bakoyannis in a video speaking to Greek citizens in the old party clientele speech of the 1960s. We have to leave this behind if we want to become a modern European country that respects rights and treats all Greeks equally. On the other hand, the gentlemen of SYRIZA must tell us how they tolerate their executives talking about a Turkish minority in Thrace when the Treaty of Lausanne is clear, Mr Tsipras. Let me also answer the question: Why did they not pass the law on the election of the Mufti last summer?","Φίλες και φίλοι, ένα άλλο ζήτημα της επικαιρότητας. Είναι αυτό που έχει προκύψει τις τελευταίες μέρες, με τους Έλληνες Μουσουλμάνους της Θράκης. Πραγματικά άκουσα σε ένα βίντεο την κυρία Μπακογιάννη να μιλάει σε έλληνες πολίτες με τον παλαιοκομματικό πελατειακό λόγο του '60. Αυτόν που πρέπει να αφήσουμε πίσω αν θέλουμε να γίνουμε μια σύγχρονη ευρωπαική χώρα που σέβεται τα δικαιώματα και ότι όλοι οι έλληνες είναι ισότιμοι. Αλλά από την άλλη, οι κύριοι του ΣΥΡΙΖΑ πρέπει να μας πουνε πως ανέχονται στελέχη τους να μιλούν για τουρκική μειονότητα στη Θράκη, ενώ είναι καθαρή η Συνθήκη της Λωζάνης, κύριε Τσίπρα. Επίσης να απαντήσω στο ερώτημα: Γιατί δεν ψήφισαν τον νόμο για την εκλογή του Μουφτή πέρσι το καλοκαίρι; ",criticism,human rights,other,0.0,0.0,0.0,"[['1. mrs. bakoyannis', 'person', '1.0'], ['2. greek muslims', 'group of people', '1.0'], ['3. thrace', 'location', '1.0'], ['4. greeks', 'group of people', '1.0'], ['5. syriza', 'political party', '1.0'], ['6. turkish', 'group of people', '1.0'], ['7. treaty of lausanne', 'date', '1.0'], ['8. mr. tsipras', 'person', '1.0'], ['9. mufti', 'person', '1.0'], ['10. last summer', 'date', '1.0']]"
10,"We are the party that broke down barriers. We are the party that opened Greek universities to Greek Muslims. We are the party of European competence, respect for the rule of law, and the separation of powers. With Andreas Papandreou and Kostas Simitis, this party made it possible to have a modern region for the people without inequalities or discrimination.","Εμείς είμαστε το κόμμα που γκρέμισε τις μπάρες, εμείς είμαστε το κόμμα που άνοιξε τα ελληνικά πανεπιστήμια στους έλληνες μουσουλμάνους. Εμείς είμαστε το κόμμα της ευρωπαικής ικανότητας, του σεβαστού του κράτους δικαίου, της διάκρισης των εξουσιών. Αυτό το κόμμα, με τον Ανδρέα Παπανδρέου και τον Κώστα τον Σημίτη, έδωσαν κα πάλι τη δυνατότητα να έχουμε μια σύγχρονη περιφέρεια για τους ανθρώπους χωρίς ανισότητες, χωρίς διακρίσεις.",political agenda,democracy,other,0.8,0.0,0.0,"[['andreas papandreou', 'person', '0.9'], ['kostas simitis', 'person', '0.9'], ['greek muslims', 'group of people', '0.7'], ['greek universities', 'organization', '0.7'], ['european competence', 'organization', '0.6']]"
