id,text,text_el,is_criticism,topic-context,subtopic-context,sentiment,polarization-definition,populism-definition,ner-limited
1,"Friends, thank you from the bottom of my heart. PASOK is here, united, and strong. June 25th is the day of the rebirth of the democratic party. Thank you, thank you from the bottom of my heart for this warm welcome. A welcome that sends a message of victory to our whole country. Just a few days left until the great victory, the next big step on June 25th. The first step was taken on May 21st. On June 25th, we continue because we have a duty to complete what we started: another victorious struggle. Our country needs a strong, credible opposition that can adequately stand up to maintenance, arrogance, and the client state. I therefore call on every democrat and every progressive citizen here in Thessaloniki on June 25th to unite our struggles, to unite our hopes, to unite our forces. I pledge that the rebirth of the democratic party will make the voice of our people even stronger so that we can fight together for social justice and national dignity. Together in this new era, we will build a future of dignity and perspective for every Greek woman, for every Greek man, for all generations. Our movement will be strong and dynamic in the face of new struggles.","Φίλες και φίλοι, σας ευχαριστώ από τα βάθη της καρδιάς μου. Το ΠΑΣΟΚ είναι εδώ, ενωμένο, δυνατό. 25 Ιουνίου ημέρα αναγέννησης της δημοκρατικής παράταξης. Σας ευχαριστώ, σας ευχαριστώ από τα βάθη της καρδιάς μου για αυτή τη θερμή υποδοχή. Μια υποδοχή που στέλνει μήνυμα νίκης σε όλη την πατρίδα μας. 25 Ιουνίου, λίγες μέρες έμειναν για τη μεγάλη νίκη, το επόμενο μεγάλο βήμα. Το πρώτο βήμα έγινε στις 21 Μαϊου. 25 Ιουνίου συνεχίζουμε γιατί έχουμε χρέος να ολοκληρώσουμε αυτό που ξεκινήσαμε: έναν ακόμα νικηφόρο αγώνα. Γιατί η πατρίδα μας έχει ανάγκη μια ισχυρή, αξιόπιστη αντιπολίτευση που να μπορεί να αντισταθεί με επάρκεια απέναντι στη συντήρηση, την αλαζονεία και το πελατειακό κράτος. Καλώ λοιπόν εδώ από τη Θεσσαλονίκη, κάθε δημοκράτη, κάθε προοδευτικό πολίτη στις 25 Ιουνίου να ενώσουμε τις αγωνίες μας, να ενώσουμε τις ελπίδες μας, να ενώσουμε τις δυνάμεις μας και δεσμεύομαι ότι η αναγέννηση της δημοκρατικής παράταξης θα κάνει τη φωνή του λαού μας ακόμη πιο δυνατή για να αγωνιστούμε μαζί για κοινωνική δικαιοσύνη και εθνική αξιοπρέπεια. Μαζί σε αυτή τη νέα εποχή θα οικοδομήσουμε ένα μέλλον αξιοπρέπειας, προοπτικής για κάθε Ελληνίδα, για κάθε Έλληνα, για όλες τις γενιές, το κίνημά μας ξανά ισχυρό δυναμικά μπροστά σε νέους αγώνες. ",political agenda,elections,election spending,0.8,0.2,0,"[['pasok', 'organization', '1.0'], ['june 25th', 'date', '1.0'], ['may 21st', 'date', '1.0'], ['thessaloniki', 'location', '1.0'], ['greek', 'country', '1.0']]"
2,"Friends, we have a duty to fight inside and outside of parliament for a modern center-left that will once again become the driving force for improving our political system. We must fight against the toxicity, division, elitism, populism, and digital gangs that New Democracy and SYRIZA have established in recent years at the expense of reason and the public interest.","Φίλες και φίλοι, έχουμε χρέος να δώσουμε αγώνες μέσα και έξω από το κοινοβούλιο για μια σύγχρονη κεντροαριστερά που θα γίνει ξανά κινητήριος μοχλός για να βελτιωθεί το πολιτικό μας σύστημα, για να αποτελέσει παρελθόν η τοξικότητα, ο διχασμός, ο ελιτισμός, ο λαϊκισμός, οι ψηφιακές συμμορίες που έστησε η Νέα Δημοκρατία και ο ΣΥΡΙΖΑ τα τελευταία χρόνια εις βάρος του ορθού λόγου, εις βάρος του δημοσίου συμφέροντος. ",criticism,democracy,populism,0.8,0.6,0.2,"[['new democracy', 'organization', '0.8'], ['syriza', 'political party', '0.8']]"
3,"I call on you from Thessaloniki to move forward together so that New Democracy can regain its real and historical rival, our movement. Our movement can impose respect for the welfare state, human rights, the separation of powers, and sustainable development with its progressive discourse and specific program. I call on every Greek to join forces and make our movement strong again against powerful interests that do not want Greece to be a normal European country. They speculate at the expense of the Greek people during the years of the energy crisis and the economic crisis when the income of the average family was falling, they earned billions. New Democracy is the stooge of powerful interests.","Σας καλώ λοιπόν εδώ από τη Θεσσαλονίκη να προχωρήσουμε μαζί για να αποκτήσει ξανά η Νέα Δημοκρατία, τον πραγματικό της και τον ιστορικό της αντίπαλο, το κίνημά μας. Το κίνημά μας που μπορεί με τον προοδευτικό του λόγο, με το συγκεκριμένο του πρόγραμμα, να επιβάλλει το σεβασμό στο κοινωνικό κράτος, στα ανθρώπινα δικαιώματα, στη διάκριση των εξουσιών και στη βιώσιμη ανάπτυξη. Καλώ λοιπόν κάθε Ελληνίδα και κάθε Έλληνα να ενώσουμε τις δυνάμεις μας και να ξανακάνουμε το κίνημά μας ισχυρό απέναντι σε ισχυρά συμφέροντα που δεν θέλουν την Ελλάδα μια κανονική ευρωπαϊκή χώρα γιατί κερδοσκοπούν εις βάρος του ελληνικού λαού τα χρόνια της ενεργειακής κρίσης, της οικονομικής κρίσης, όταν έπεφτε το εισόδημα της μέσης οικογένειας, αυτοί κέρδισαν δισεκατομμύρια, διότι η Νέα Δημοκρατία είναι τροχονόμος ισχυρών συμφερόντων. ",political agenda,elections,other,-0.8,0.2,0.2,"[['thessaloniki', 'location', '1.0'], ['new democracy', 'political party', '1.0'], ['our movement', 'group of people', '1.0'], ['greek', 'group of people', '1.0'], ['greece', 'country', '1.0'], ['european', 'location', '1.0'], ['new democracy', 'organization', '0.7']]"
4,"We will implement transparency rules in the market. We serve the people and the country, the public interest, and not the interests of the powerful.","Εμείς θα βάλουμε κανόνες διαφάνειας στην αγορά. Εμείς υπηρετούμε το λαό και την πατρίδα, το δημόσιο συμφέρον και όχι το συμφέρον των ισχυρών. ",political agenda,transparency,other,0.5,0.1,0.6,[]
5,"Friends, we have a debt. We have a historic debt to move forward with a new political ethos against viciousness and cynicism. Against those who, even in the last few weeks, are ready to play divisive games with Thrace and the tragic shipwreck. Without ideology, principles, and values, because the compass of Mr. Mitsotakis and Mr. Tsipras is only power.","Φίλες και φίλοι, έχουμε χρέος. Έχουμε ιστορικό χρέος να προχωρήσουμε με ένα νέο πολιτικό ήθος απέναντι στη φαυλότητα και τον κυνισμό, απέναντι σε αυτούς που ακόμη και τις τελευταίες εβδομάδες είναι έτοιμοι να παίξουν διχαστικά παιχνίδια με τη Θράκη, με το τραγικό ναυάγιο, χωρίς ιδεολογία, χωρίς αρχές και χωρίς αξίες, διότι πυξίδα του κυρίου Μητσοτάκη και του κυρίου Τσίπρα είναι μόνο η εξουσία. ",criticism,democracy,other,-0.7,0.5,0.2,"[['mitsotakis', 'person', '0.7'], ['tsipras', 'person', '0.7'], ['thrace', 'location', '0.7']]"
6,"Our flag is the principles and values of a democratic, progressive movement that does not toy with national issues or human rights.","Δική μας σημαία είναι οι αρχές και οι αξίες ενός δημοκρατικού προοδευτικού κινήματος που δεν παίζει με τα εθνικά ζητήματα, που δεν παίζει με τα ανθρώπινα δικαιώματα. ",political agenda,democracy,other,0.6,0,0,[]
7,"Friends, let us come together to strengthen the progressive discourse and give hope to all Greek people. This party has historically fought not for power, but for unity; not for division, but for hope and perspective. That is why I ask you to succeed together on June 25th, and I am sure that with daily struggle, PASOK will once again be the great progressive protagonist of developments. Friends, on June 25th, I call on every Greek citizen to put an end to this toxic dichotomy and support the effort we have started step by step throughout Greece. I therefore call on all democrats to give strength with their vote to PASOK-Movement for Change so that there can finally be a strong, credible, effective opposition, and not the sponsor of New Democracy. We need to have a strong progressive mound with PASOK against the authoritarianism, the client state, and the maintenance represented by the New Democracy party. Our guarantee is to defend the welfare state, freedoms, rights, and the quality of democracy. Our guarantee is growth, justice, benefits for all, and not only for the few. Of course, we want our children, the Greek children in our country, to stay in our country to create without inequalities, but with opportunities for all, for the whole Greek society. This is the agony of the democratic party: a strong PASOK that, with its modern program, is an alternative progressive proposal for the governance of the country. Our ambition is to govern the country in the interests of the people and the country. We are not fighting a battle for a chair; we are fighting a battle for the people and the country, for a better future, for an era of prosperity, dignity, hope, and prospects.","Φίλες και φίλοι, ελάτε μαζί να δυναμώσουμε τον προοδευτικό λόγο και να δώσουμε ελπίδα σε όλο τον ελληνικό λαό γιατί αυτή η παράταξη ιστορικά αγωνίζεται όχι για την εξουσία, αλλά για την ενότητα, όχι για τη διαίρεση, αλλά για την ελπίδα και την προοπτική. Για αυτό σας ζητώ 25 Ιουνίου να τα καταφέρουμε όλοι μαζί και είμαι σίγουρος με καθημερινό αγώνα ότι 25 Ιουνίου το ΠΑΣΟΚ θα είναι ξανά ο προοδευτικός μεγάλος πρωταγωνιστής των εξελίξεων. Φίλες και φίλοι, 25 Ιουνίου καλώ κάθε Έλληνα πολίτη να βάλουμε τέλος στο τοξικό αυτό δίπολο. Να στηρίξουν την προσπάθεια που ξεκινήσαμε βήμα-βήμα σε όλη την Ελλάδα. Καλώ λοιπόν όλους τους δημοκράτες να δώσουν δύναμη με την ψήφο τους στο ΠΑΣΟΚ-Κίνημα Αλλαγής για να υπάρχει επιτέλους ισχυρή, αξιόπιστη, αποτελεσματική αντιπολίτευση και όχι ο χορηγός της Νέας Δημοκρατίας να υπάρχει με το ΠΑΣΟΚ ισχυρό προοδευτικό ανάχωμα απέναντι στον αυταρχισμό, το πελατειακό κράτος και τη συντήρηση που εκπροσωπεί η παράταξη της Νέας Δημοκρατίας. Εγγύησή μας είναι να υπερασπιστούμε το κοινωνικό κράτος, τις ελευθερίες, τα δικαιώματα, την ποιότητα δημοκρατίας. Εγγύησή μας είναι η ανάπτυξη, η δικαιοσύνη, τα οφέλη για όλους και όχι μόνο για τους λίγους και βέβαια να μείνουν τα παιδιά μας, τα ελληνόπουλα στην πατρίδα μας να δημιουργήσουν χωρίς ανισότητες, αλλά με ευκαιρίες για όλους, για όλη την ελληνική κοινωνία. Αυτή είναι η αγωνία της δημοκρατικής παράταξης, ένα ΠΑΣΟΚ ισχυρό που με το σύγχρονο πρόγραμμά του αποτελεί εναλλακτική προοδευτική πρόταση διακυβέρνησης του τόπου γιατί αυτή είναι η φιλοδοξία μας: να κυβερνήσουμε τον τόπο για το συμφέρον του λαού και της πατρίδας. Δεν δίνουμε μάχη καρέκλας, δίνουμε μάχη για το λαό και την πατρίδα, για ένα καλύτερο μέλλον, για μια εποχή ευημερίας, αξιοπρέπειας, ελπίδας και προοπτικής. ",political agenda,elections,other,0.845,0.6,0,"[['greek people', 'group of people', 'pasok party', 'june 25th', 'greek citizen', 'movement for change', 'new democracy party', 'progressive mound', 'authoritarianism', 'client state', 'welfare state', 'democracy', 'justice', 'greek society', 'democratic party.'], ['note: the text contains several references to concepts and values', 'but they do not qualify as named entities. for example', '""progressive discourse', '"" ""toxic dichotomy', '"" ""unity', '"" ""hope', '"" ""opposition', '"" ""growth', '"" ""benefits', '"" ""inequalities', '"" ""dignity', '"" and ""prospects"" are not named entities.']]"
8,"Therefore, on June 25th, we take one more step to represent the majority of the progressive, democratic world in our country. Friends, Greece needs a strong progressive force of reason to become strong again in Europe, to be a protagonist rather than a laggard in developments, and to restore dignity and self-confidence to the Greek people. You deserve much more than what SYRIZA and New Democracy have offered. No more of their compromises.","Για αυτό λοιπόν ένα ακόμη βήμα 25 Ιουνίου για να εκφράσουμε πλειοψηφικά τον προοδευτικό, δημοκρατικό κόσμο της χώρας. Φίλες και φίλοι, έχει ανάγκη η πατρίδα μας μια ισχυρή προοδευτική δύναμη λογικής για να ξανακάνει ισχυρή την Ελλάδα στην Ευρώπη, πρωταγωνιστή και όχι ουραγό των εξελίξεων και να δώσει αξιοπρέπεια και αυτοπεποίθηση στον ελληνικό λαό. Σας αξίζουν πολύ περισσότερα από αυτά που προσέφερε ο ΣΥΡΙΖΑ και η Νέα Δημοκρατία. Τέρμα με τους συμψηφισμούς τους. ",criticism,elections,other,0.7,0.1,0.2,"[['june 25th', 'date', '1.0'], ['greece', 'country', '1.0'], ['europe', 'location', '1.0'], ['syriza', 'political party', '0.5'], ['new democracy', 'political party', '0.5']]"
9,"Friends, many media outlets, as well as the executives of New Democracy, present an idyllic picture of the economy, but it does not correspond to reality. Do you know who we are going to trust? The OECD? The European Commission or the executives of New Democracy? I say we should trust the international organisations that say that wages in our country did not increase by 20%, but real income fell by 7.4%. Wages are nominally rising, but real incomes have fallen for many Greek workers. New Democracy, in response to these organizations, is saying, okay, let's move forward, let's look to the future, and they've put spots in the social media and on television pledging a 25% increase in the average private sector wage. Do you trust them? I don't at all because they already submitted a mid-term to the European Commission just before the last election, talking about a 13% wage increase. 25 for pre-election consumption in Greece, 13 in Brussels.","Φίλες και φίλοι, παρουσιάζεται από πολλά μέσα μαζικής ενημέρωσης, αλλά και τα στελέχη της Νέας Δημοκρατίας, μια ειδυλλιακή εικόνα για την οικονομία που όμως δεν αντιστοιχεί με την πραγματικότητα. Ξέρετε, ποιους θα εμπιστευτούμε; Τον ΟΟΣΑ; Την Ευρωπαϊκή Επιτροπή ή τα στελέχη της Νέας Δημοκρατίας; Εγώ λέω να εμπιστευτούμε τους διεθνείς οργανισμούς που λένε ότι δεν αυξήθηκαν 20% οι μισθοί στη χώρα μας, αλλά το πραγματικό εισόδημα μειώθηκε 7,4%. Αυξάνονται ονομαστικά οι μισθοί, αλλά τα πραγματικά εισοδήματα έχουν μειωθεί για πολλούς Έλληνες εργαζόμενους. Η Νέα Δημοκρατία, απαντώντας στους οργανισμούς αυτούς, λέει, εντάξει, πάμε μπροστά, να κοιτάξουμε στο μέλλον και έχει βάλει σποτάκια στα σόσιαλ μίντια και στην τηλεόραση που δεσμεύεται για αύξηση του μέσου μισθού στον ιδιωτικό τομέα 25%. Τους εμπιστεύεστε; Εγώ καθόλου γιατί ήδη κατέθεσαν λίγο πριν τις προηγούμενες εκλογές μεσοπρόθεσμο στην Ευρωπαϊκή Επιτροπή, που μιλάει 13% αύξηση των μισθών. 25 για προεκλογική κατανάλωση στην Ελλάδα, 13 στις Βρυξέλλες. ",criticism,economy,wages,-0.8,0.1,0.2,"[['1. new democracy', 'organization', '1.0'], ['2. oecd', 'organization', '1.0'], ['3. european commission', 'organization', '1.0'], ['4. greek workers', 'group of people', '0.8'], ['5. friends', 'group of people', '0.6'], ['6. european commission', 'organization', '1.0'], ['7. greece', 'country', '1.0'], ['8. brussels', 'location', '1.0']]"
10,"This is Mr. Mitsotakis' credibility, and I ask the Greek people to turn their backs on depravity, unworthiness, and mockery.","Αυτή είναι η αξιοπιστία του κυρίου Μητσοτάκη και ζητώ από τον ελληνικό λαό να γυρίσει την πλάτη στη φαυλότητα, την αναξιοκρατία και την κοροϊδία. ",criticism,elections,other,-1,0.6,0,"[['mr. mitsotakis', 'person', '0.9'], ['greek people', 'group of people', '0.8'], ['greece', 'country', '0.6.']]"
