id,text,text_el,is_criticism,topic-context,subtopic-context,sentiment,polarization-definition,populism-definition,ner-limited
1,"Friends, thank you very much for your moving and overwhelming welcome. We are sending a message of victory and revival of our movement from Achaia, the homeland of our founder Andreas Papandreou, the homeland of the old man of democracy. On June 25, the democratic party will be the great winner. It will once again be the genuine, progressive, strong opponent against New Democracy. On May 21, we took a first step. On June 25, we continue vigorously for the second big step of victory, of rebirth, of the people's struggle again for a movement that will embrace the struggles for social justice and national dignity. Every democratic progressive citizen, I call on every democrat, here in Patras today, whatever party they voted for in the previous national elections, to join our struggles, to join our hopes, to join our forces. Together we will achieve what our political opponents thought impossible a few years ago. I call on every democrat and every progressive to move forward together, all together, so that New Democracy once again has a real opponent and not its golden sponsor, Mr Tsipras. We need a political opponent with genuine progressive discourse, with a specific programme that will guarantee respect for human rights, the rule of law, the welfare state, the separation of powers, and sustainable development with benefits for all Greeks. On June 25, we are not facing the danger of ungovernability, we are facing the danger of the omnipotence of New Democracy, of impunity and arrogance. That is why we must all face together with PASOK a strong opposition tomorrow and a strong progressive government after a few years, and our struggle will be fully justified.","Φίλες και φίλοι, σας ευχαριστώ θερμά για τη συγκινητική και συγκλονιστική σας υποδοχή. Εδώ από την Αχαϊα, την πατρίδα του ιδρυτή μας του Ανδρέα Παπανδρέου, την πατρίδα του γέρου της δημοκρατίας, στέλνουμε μήνυμα νίκης και αναγέννησης του κινήματός μας. 25 Ιουνίου η δημοκρατική παράταξη θα είναι ο μεγάλος νικητής. Θα είναι ξανά ο γνήσιος, προοδευτικός ισχυρός αντίπαλος απέναντι στη Νέα Δημοκρατία. Φίλες και φίλοι, 21 Μαΐου κάναμε ένα πρώτο βήμα. Στις 25 Ιουνίου συνεχίζουμε δυναμικά για το δεύτερο μεγάλο βήμα της νίκης, της αναγέννησης, της αγωνίας του λαού ξανά για να κίνημα που θα αγκαλιάσει τις αγωνίες για κοινωνική δικαιοσύνη και εθνική αξιοπρέπεια. Ελάτε. Κάθε δημοκράτης προοδευτικός πολίτης, τον καλώ σήμερα εδώ από την Πάτρα ό,τι κόμμα και αν ψήφισε στις προηγούμενες εθνικές εκλογές να ενώσουμε τις αγωνίες μας, να ενώσουμε τις ελπίδες μας, να ενώσουμε τις δυνάμεις μας. Όλοι μαζί θα καταφέρουμε αυτό που πριν από μερικά χρόνια οι πολιτικοί μας αντίπαλοι θεωρούσαν ακατόρθωτο. Σας καλώ, κάθε δημοκράτη και κάθε προοδευτικό να προχωρήσουμε μαζί, όλοι μαζί για να έχει ξανά η Νέα Δημοκρατία ένα πραγματικό αντίπαλο και όχι το χρυσό της χορηγό, τον κύριο Τσίπρα. Έναν πολιτικό αντίπαλο με γνήσιο προοδευτικό λόγο, με συγκεκριμένο πρόγραμμα που θα εγγυηθεί τον σεβασμό στα ανθρώπινα δικαιώματα, στο κράτος δικαίου, στο κοινωνικό κράτος, στη διάκριση των εξουσιών, στη βιώσιμη ανάπτυξη με οφέλη για όλους τους Έλληνες. Απέναντί μας στις 25 Ιουνίου, δεν έχουμε τον κίνδυνο της ακυβερνησίας, έχουμε τον κίνδυνο της παντοδυναμίας της Νέας Δημοκρατίας, της ασυδοσίας και της αλαζονείας. Γι αυτό όλοι μαζί να αντιμετωπίσουμε με το ΠΑΣΟΚ ισχυρή αξιωματική αντιπολίτευση αύριο και ισχυρή προοδευτική κυβέρνηση μετά από κάποια χρόνια που αγώνας μας θα δικαιωθεί πλήρως. ",political agenda,elections,other,0.5,0.2,0.1,"[['andreas papandreou', 'person', '0.95'], ['achaia', 'location', '0.9'], ['pasok', 'organization', '0.9'], ['new democracy', 'political party', '0.9'], ['june 25', 'date', '0.9'], ['may 21', 'date', '0.9'], ['patras', 'location', '0.8'], ['greece', 'country', '0.8'], ['tsipras', 'person', '0.6']]"
2,"But, friends, the signs are already there regarding the future of our country with Mr. Mitsotakis. PASOK is here, united, strong, and fighting every day in every village, in every town, and with every citizen. We will stand by every Greek woman, every Greek man, vulnerable citizens, and the middle class. But, friends, what is the future with Mr. Mitsotakis?","Φίλες και φίλοι, τα σημάδια όμως ήδη έχουν φανεί για το ποιο είναι το μέλλον της χώρας μας με τον κύριο Μητσοτάκη. Το ΠΑΣΟΚ είναι εδώ, ενωμένο, δυνατό και αγωνίζεται καθημερινά σε κάθε χωριό, σε κάθε πόλη, ξανά με κάθε πολίτη. Θα είμαστε δίπλα σε κάθε Ελληνίδα, σε κάθε Έλληνα, στους ευάλωτους πολίτες και τη μεσαία τάξη. Φίλες και φίλοι, ποιο όμως είναι το μέλλον με τον κύριο Μητσοτάκη; ",criticism,elections,coalition,-0.4,0.1,0.0,"[['mitsotakis', 'person', '0.9'], ['pasok', 'political party', '0.8'], ['greek', 'country', '0.7']]"
3,Devaluation of the National Health System.,Απαξίωση του Εθνικού Συστήματος Υγείας. ,criticism,health,other,-0.8,0.0,0.0,"[['national health system', 'organization', '0.9']]"
4,Devaluation of public education.,Απαξίωση της δημόσιας εκπαίδευσης. ,criticism,education,other,-0.8,0.0,0.0,[]
5,Burdening the middle class and the most vulnerable Greeks with extreme precision and indirect taxation.,Και επιβάρυνση της μεσαίας τάξης και των πιο ευάλωτων Ελλήνων με την ακραία ακρίβεια και την έμμεση φορολογία. ,criticism,other,other,-0.7,0.1,0.4,"[['greeks', 'group of people', '1.0'], ['middle class', 'group of people', '1.0'], ['vulnerable greeks', 'group of people', '1.0']]"
6,"The New Democracy treated the state as spoils, giving 10 billion in direct assignments, favorable amendments to day laborers, thousands of recruitments, the Patsides who profited from the red loans on the backs of the Greek people, and of course, the wiretapping scandal that exposed the country internationally.","Η Νέα Δημοκρατία αντιμετώπισε το κράτος ως λάφυρο, δίνοντας 10 δισεκατομμύρια απευθείας αναθέσεις, χαριστικές τροπολογίες σε ημετέρους, χιλιάδες προσλήψεις μετακλητών, τους Πάτσηδες που κερδοσκοπούσαν από τα κόκκινα δάνεια στην πλάτη του ελληνικού λαού και βέβαια το σκάνδαλο των υποκλοπών που εξέθεσε διεθνώς τη χώρα. ",criticism,corruption,wiretapping,-0.9,0.2,0.5,"[['new democracy', 'organization', '0.8'], ['patsides', 'group of people', '0.6'], ['greek', 'country', '0.6']]"
7,"This situation must not continue. We need a strong, credible progressive opposition, and that is our duty on June 25th.","Αυτή η κατάσταση δεν πρέπει να συνεχιστεί. Χρειάζεται ισχυρή, αξιόπιστη προοδευτική αντιπολίτευση και αυτό είναι το χρέος μας 25 Ιουνίου. ",political agenda,elections,other,0.4,0.2,0.2,"[['june 25th', 'date', '1.0'], ['progressive opposition', 'group of people', '0.75']]"
8,"Friends, Mr Mitsotakis says that there is a risk of ungovernability. And if you do not vote for New Democracy, he may spoil your August vacation. That is a nice fairy tale, but there is no dragon. The danger is the strengthening of impunity. The danger is that the service is not for the people and the country, but for the powerful who constantly coddle New Democracy and will continue to do so.","Φίλες και φίλοι, ο κύριος Μητσοτάκης λέει ότι υπάρχει κίνδυνος ακυβερνησίας. Και αν δεν ψηφίσετε Νέα Δημοκρατία, μπορεί να χαλάσει τις διακοπές σας στον Αύγουστο. Ωραίο το παραμύθι αυτό, αλλά δεν έχει δράκο. Ο κίνδυνος είναι η ενίσχυση της ατιμωρησίας. Ο κίνδυνος είναι να συνεχίσει η υπηρεσία όχι του λαού και της πατρίδας, αλλά των ισχυρών που χαϊδεύουν συνεχώς τη Νέα Δημοκρατία. ",criticism,democracy,impunity,-0.4,0.1,0.2,"[['mr mitsotakis', 'person', '0.8'], ['new democracy', 'political party', '1.0'], ['august', 'date', '0.6'], ['the service', 'organization', '0.4'], ['the people', 'group of people', '0.4'], ['the country', 'location', '0.5'], ['new democracy', 'political party', '1.0']]"
9,"PASOK, our movement, the democratic progressive movement, is the barrier, the dike, the obstacle to this danger. From Patras, from Western Greece, from the land of Andreas Papandreou, it sends a message of victory to all of Greece, a message of rebirth, a message of hope and perspective.","Σε αυτό τον κίνδυνο, ανάχωμα, εμπόδιο είναι το ΠΑΣΟΚ, το κίνημα μας, το δημοκρατικό προοδευτικό κίνημα που εδώ από την Πάτρα, από τη Δυτική Ελλάδα, από τη γη του Ανδρέα Παπανδρέου, στέλνει μήνυμα νίκης σε όλη την Ελλάδα, μήνυμα αναγέννησης, μήνυμα ελπίδας και προοπτικής. ",political agenda,democracy,other,0.8,0.0,0.0,"[['pasok', 'organization', '1.0'], ['andreas papandreou', 'person', '1.0'], ['patras', 'location', '1.0'], ['western greece', 'location', '1.0'], ['greece', 'country', '1.0']]"
10,"Friends, in the last few days we have witnessed an extremely divisive situation concerning Thrace. Sensitive issues are being used by New Democracy to divide for petty party reasons, mimicking to an absolute degree the practices of Mr. Kamenos and Mr. Tsipras. Let both of them stop their dangerous adventurism.","Φίλες και φίλοι, τις τελευταίες όμως ημέρες γίναμε θεατές σε μια ακραία διχαστική κατάσταση που αφορούσε τη Θράκη. Ευαίσθητα θέματα χρησιμοποιούνται από τη Νέα Δημοκρατία για να διχάσει, για μικροκομματικούς λόγους, μιμούμενοι σε απόλυτο βαθμό τις πρακτικές του κυρίου Καμμένου και του κυρίου Τσίπρα. Ας αφήσουν και οι δυο τους τους επικίνδυνους τυχοδιωκτισμούς. ",criticism,other,other,-0.7,0.2,0.5,"[['friends', 'group of people', '1.0'], ['new democracy', 'political party', '1.0'], ['mr. kamenos', 'person', '1.0'], ['mr. tsipras', 'person', '1.0']]"
