id,text,text_el,is_criticism,topic-context,subtopic-context,sentiment,polarization-definition,populism-definition,ner-limited
1,"People of Athens, I thank you from the bottom of my heart for your warm welcome. Thank you from the bottom of my heart for your overwhelming presence, which sends a message of victory, optimism, and perspective to every corner of the country. PASOK is here, united, strong, with the people at the forefront. PASOK is here, united, strong, to serve the homeland, the new generation, for better days, social justice, and national dignity. Friends, next Sunday we have a decisive battle ahead of us. On June 25, the real opponent of New Democracy will be reborn. PASOK will be the force that will send Mr Mitsotakis into opposition. We will again become, step by step, the majority current in Greek society. This is our sole objective. The battle next Sunday is crucial for the country, society, and the economy. The people have not forgotten about maintenance, undignified, opaque, and client state. We have a duty to fight and make Greece a normal European country. Friends, in this new era, in every village, in every town, door to door, neighborhood to neighborhood, we will fight until victory on 25 June.","Λαέ των Αθηνών, σας ευχαριστώ από τα βάθη της καρδιάς μου για τη θερμή σας υποδοχή. Σας ευχαριστώ από τα βάθη της καρδιάς μου για την συγκλονιστική σας παρουσία, που στέλνει μήνυμα νίκης, αισιοδοξίας και προοπτικής σε κάθε μεριά της χώρας. Το ΠΑΣΟΚ είναι εδώ, ενωμένο, δυνατό με τον λαό στη πρωτοπορία. Το ΠΑΣΟΚ είναι εδώ, ενωμένο, δυνατό, για να υπηρετήσει την πατρίδα, τη νέα γενιά, για καλύτερες μέρες, κοινωνική δικαιοσύνη και εθνική αξιοπρέπεια. Φίλες και φίλοι, την ερχόμενη Κυριακή έχουμε μπροστά μας μια καθοριστική μάχη. Στις 25 Ιουνίου αναγεννιέται ο πραγματικός αντίπαλος της Νέας Δημοκρατίας. Το ΠΑΣΟΚ θα είναι η δύναμη που θα στείλει τον κ. Μητσοτάκη στην αντιπολίτευση. Θα γίνουμε ξανά, βήμα-βήμα, πλειοψηφικό ρεύμα στην ελληνική κοινωνία. Αυτός είναι ο μοναδικός στόχος μας. Η μάχη της ερχόμενης Κυριακής είναι κρίσιμη για την πατρίδα, την κοινωνία και την οικονομία. Ο λαός δεν ξεχνά τη συντήρηση, την αναξιοκρατία, την αδιαφάνεια και το πελατειακό κράτος. Έχουμε χρέος να αγωνιστούμε και να κάνουμε την Ελλάδα μια κανονική ευρωπαϊκή χώρα. Φίλες και φίλοι, σε αυτή τη νέα εποχή, σε κάθε χωριό, σε κάθε πόλη, πόρτα–πόρτα, γειτονιά–γειτονιά, θα αγωνιστούμε μέχρι τη νίκη στις 25 Ιουνίου.",political agenda,elections,other,0.6,0.2,0.2,"[['athens', 'location', '1.0'], ['pasok', 'organization', '1.0'], ['new democracy', 'political party', '1.0'], ['mr mitsotakis', 'person', '1.0'], ['greek', 'country', '1.0'], ['june 25', 'date', '1.0']]"
2,"We have a duty to overturn the correlations that have divided our people, frustrated them, and trapped them in a dichotomy of toxic confrontations between two systems of power that have failed to improve people's lives in any meaningful way. They have plunged society into an unprecedented crisis of confidence in the political system. That is why our first duty is to build a new relationship of trust with our words and actions. Every day, we must speak responsibly, credibly, and genuinely progress with every citizen. Friends, despite New Democracy's systematic attempts to embellish the situation, the years ahead are crucial for the country. What is important is to avoid making fatal mistakes for social cohesion, the quality of life, and the everyday life of citizens. We must not lead to an explosion in precision and social inequalities that affect the middle classes and the most vulnerable social groups.","Έχουμε χρέος να ανατρέψουμε τους συσχετισμούς, που δίχασαν τον λαό μας, τον απογοήτευσαν, τον εγκλώβισαν σε ένα δίπολο τοξικών αντιπαραθέσεων μεταξύ δύο συστημάτων εξουσίας που δεν κατάφεραν να βελτιώσουν ουσιαστικά τη ζωή των ανθρώπων. Βύθισαν την κοινωνία σε μια πρωτοφανή κρίση εμπιστοσύνης απέναντι στο πολιτικό σύστημα. Γι’ αυτό πρώτο μας χρέος είναι να οικοδομήσουμε μια νέα σχέση εμπιστοσύνης με τον λόγο μας, με τις πράξεις μας. Καθημερινά, με κάθε πολίτη, με λόγο υπεύθυνο, αξιόπιστο και γνήσια προοδευτικό. Φίλες και φίλοι, παρά την ωραιοποίηση της κατάστασης, που επιχειρεί συστηματικά η Νέα Δημοκρατία, τα χρόνια που έρχονται, είναι κρίσιμα για την πατρίδα. Το ζητούμενο είναι να μη γίνουν μοιραία λάθη για την κοινωνική συνοχή, την ποιότητα ζωής και την καθημερινότητα των πολιτών. Να μην οδηγήσουν σε έκρηξη την ακρίβεια, τις κοινωνικές ανισότητες, που πλήττουν τα μεσαία στρώματα και τις πιο ευάλωτες κοινωνικές ομάδες.  ",political agenda,other,other,0.2,0.2,0.0,"[['new democracy', 'political party', '0.7'], ['citizens', 'group of people', '0.6'], ['society', 'group of people', '0.5'], ['country', 'location', '0.7'], ['middle classes', 'group of people', '0.7'], ['vulnerable social groups', 'group of people', '0.8']]"
3,"At this crucial political crossroads, we are here to extend an invitation to every democrat, progressive citizen, regardless of the party they voted for on the first Sunday of May 21st. May our struggles and hopes meet, to join forces and become the strong majority movement that will express the citizens' desire for a better future. Let us fight together to defend the quality of democracy, strengthen the rule of law, and protect the interests of the great majority of the Greek people, from whom the great democratic progressive party has always drawn strength, allowing it to play a leading role in the political life of the post-independence period and change the country. It is to this majority that I am addressing today, here in Athens. Come together to make a new beginning, a new course. This is PASOK's battle. It is the battle for a strong, modern center-left in our country, not the golden sponsor of New Democracy. It is the battle on June 25th to have a strong, credible opposition. For there to be a strong opponent of conservation, a strong opponent of the New Democracy government. So come to this new march, every democrat, every progressive citizen. On May 21st, we took the first step. PASOK has increased its forces more than any other party in the country. It now remains to take the next big step, to make our democratic progressive movement even stronger. Our only goal is to pave the way for the emergence of the modern center-left as the real alternative to governance, so that the citizen knows that they will not decide based on fear of the worst, but with a strong PASOK for the hope of better days. We have a duty on June 25th to fill the dangerous political vacuum created by the double failure of SYRIZA. The first failure to govern successfully and the second failure to provide effective opposition. So that is why we must fight to express a majority of democratic, progressive Greeks. A daily struggle. Only a few days left for the great victory.","Σε αυτό το κρίσιμο πολίτικο σταυροδρόμι είμαστε εδώ για να απευθύνουμε προσκλητήριο σε κάθε δημοκράτη, προοδευτικό πολίτη, ό,τι κόμμα και αν ψήφισε την πρώτη Κυριακή, στις 21 Μαΐου. Να συναντηθούν οι αγωνίες μας, οι ελπίδες μας. Να ενώσουμε τις δυνάμεις μας και να είμαστε πάλι το ισχυρό πλειοψηφικό Κίνημα, που θα εκφράσει τους πολίτες για ένα καλύτερο μέλλον. Να δώσουμε μαζί τους αγώνες για την προάσπιση της ποιότητας της δημοκρατίας, την ενίσχυση του κράτους δικαίου, την προστασία των συμφερόντων της μεγάλης πλειοψηφίας του ελληνικού λαού από την οποία η μεγάλη, δημοκρατική, προοδευτική παράταξη αντλούσε πάντα τις δυνάμεις που της επέτρεψαν να πρωταγωνιστήσει στην πολιτική ζωή της μεταπολίτευσης και να αλλάξει τη χώρα. Σε αυτή την πλειοψηφία απευθύνομαι σήμερα, εδώ από την Αθήνα. Ελάτε μαζί να κάνουμε μια νέα αρχή, μια νέα πορεία. Αυτή είναι η μάχη του ΠΑΣΟΚ. Είναι η  μάχη για να υπάρχει ισχυρή, σύγχρονη κεντροαριστερά στην πατρίδα μας και όχι ο χρυσός χορηγός της Νέας Δημοκρατίας. Είναι η μάχη στις 25 Ιουνίου να υπάρχει ισχυρή αξιόπιστη αντιπολίτευση. Για να υπάρχει ισχυρός αντίπαλος της συντήρησης, ισχυρός αντίπαλος στην κυβέρνηση της Νέας Δημοκρατίας. Γι’ αυτό ελάτε σε αυτή τη νέα πορεία, κάθε δημοκράτης, κάθε προοδευτικός πολίτης. Στις 21 Μαΐου κάναμε το πρώτο βήμα. Το ΠΑΣΟΚ  αύξησε τις δυνάμεις του περισσότερο από κάθε άλλο κόμμα στη χώρα. Μένει τώρα να γίνει το επόμενο μεγάλο βήμα. Να δυναμώσει ακόμα περισσότερο το δημοκρατικό προοδευτικό μας Κίνημα. Ο μοναδικός μας στόχος είναι να ανοίξουμε τον δρόμο για την ανάδειξη της σύγχρονης κεντροαριστεράς ως την πραγματική εναλλακτική πρόταση διακυβέρνησης, για να ξέρει ο πολίτης ότι δεν θα αποφασίζει με βάση τον φόβο για τα χειρότερα, αλλά με ισχυρό ΠΑΣΟΚ για την ελπίδα για καλύτερες ημέρες. Έχουμε χρέος στις 25 Ιουνίου να καλύψουμε το επικίνδυνο πολιτικό κενό, που έχει δημιουργηθεί εξαιτίας της διπλής αποτυχίας του ΣΥΡΙΖΑ. Πρώτη αποτυχία να κυβερνήσει με επιτυχία και δεύτερη αποτυχία να κάνει αποτελεσματική αντιπολίτευση. Γι’ αυτό λοιπόν πρέπει να αγωνιστούμε για να εκφράσουμε πλειοψηφικά τους δημοκράτες, προοδευτικούς Έλληνες. Αγώνας καθημερινός. Λίγες μέρες έμειναν για τη μεγάλη νίκη.",political agenda,democracy,other,0.0,0.1,0.2,"[['athens', 'location', '1.0'], ['june 25th', 'date', '1.0'], ['may 21st', 'date', '1.0'], ['new democracy', 'political party', '1.0'], ['pasok', 'political party', '1.0'], ['syriza', 'political party', '1.0'], ['greek', 'country', '1.0']]"
4,"Friends, New Democracy propagates that it is taking responsibility. Is it responsible to undermine the welfare state? To deliberately degrade the NHS? To devalue public education? To burden the middle class and the weakest Greeks with indirect taxation? To treat the state as the spoils of Mr. Mitsotakis, his nephew, and his nephew's gang at the Great Maximus?","Φίλες και φίλοι, η Νέα Δημοκρατία προπαγανδίζει ότι βρίσκεται στην όχθη της υπευθυνότητας. Είναι υπευθυνότητα η υπονόμευση του κοινωνικού κράτους; Η συνειδητή υποβάθμιση του ΕΣΥ; Η απαξίωση της δημόσιας παιδείας; Η επιβάρυνση της μεσαίας τάξης και των πιο αδύναμων Ελλήνων με την έμμεση φορολογία; Η αντιμετώπιση του κράτους ως λάφυρο του κ. Μητσοτάκη, του ανιψιού του και της παρέας του Μεγάρου Μαξίμου; ",criticism,other,middle class,-0.8,0.6,0.5,"[['new democracy', 'organization', '0.95'], ['nhs', 'organization', '0.7'], ['mr. mitsotakis', 'person', '0.7'], ['great maximus', 'location', '0.6'], ['greeks', 'group of people', '0.5']]"
5,"No, we serve a different project of meritocracy and transparency, where the citizen is served by the state, not Maximos. This is our significant difference in values.","Όχι, εμείς υπηρετούμε ένα άλλο σχέδιο αξιοκρατίας, διαφάνειας, όπου το κράτος δεν υπηρετεί το Μαξίμου, αλλά τον πολίτη. Αυτή είναι η μεγάλη αξιακή μας διαφορά. ",political agenda,transparency,other,0.0,0.0,0.0,"[['maximos', 'organization', '0.6'], ['state', 'organization', '0.4']]"
6,"Is it responsible for ""Patsy's"" to speculate on the hardships of borrowers? Did the wiretapping scandal expose the country internationally? None of these are examples of responsibility. They are examples of authoritarianism, clientelism, and undignified government. We have a duty to stand up to everything that undermines the people and the country.","Είναι υπευθυνότητα οι «Πάτσηδες» που κερδοσκόπησαν πάνω στους κόπους των δανειοληπτών; Το σκάνδαλο των υποκλοπών που εξέθεσε τη χώρα διεθνώς; Όλα αυτά σίγουρα δεν είναι δείγματα υπευθυνότητας. Είναι δείγματα αυταρχισμού, πελατειακού κράτους, αναξιοκρατίας. Κι έχουμε χρέος να μπούμε ανάχωμα σε ό,τι υπονομεύει τον λαό και την πατρίδα.",political agenda,accountability,other,-0.8,0.1,0.7,"[['patsy', 'person', '0.8'], ['country', 'location', '0.5']]"
7,"My friends, SYRIZA claims that it is on the side of progress. However, is it progressive to adopt the slogan ""Justice everywhere"" during the election campaign, but to have a close associate of Mr. Tsipras, Mr. Pappas, on their ballot papers despite his 13-0 conviction by the Special Court? But the worst thing about Mr. Tsipras, people of Athens, are his statements just before the first national elections when he called for the allegedly ""misguided"" voters of Golden Dawn to vote for SYRIZA, revealing why he did not vote for the amendment that prevented the neo-Nazi murderers of Pavlos Fyssas from voting in the elections. This shows that they have no compass for progressive ideas and values. Their only priority is the chair and power.","Φίλες και φίλοι, o ΣΥΡΙΖΑ ισχυρίζεται από τη δική του πλευρά ότι βρίσκεται στην όχθη της προόδου. Είναι όμως προοδευτικό να υιοθετούν προεκλογικά το σύνθημα «Δικαιοσύνη παντού», αλλά στα ψηφοδέλτια τους να έχουν –παρά την καταδίκη 13-0 από το Ειδικό Δικαστήριο- τον στενό συνεργάτη του κ. Τσίπρα, τον κ.Παππά; Αλλά το χειρότερο απ’ότι έχει ο κ. Τσίπρας, λαέ των Αθηνών, είναι οι δηλώσεις του λίγο πριν τις πρώτες εθνικές εκλογές, όταν κάλεσε να ψηφίσουν ΣΥΡΙΖΑ οι δήθεν «παραστρατημένοι» ψηφοφόροι της Χρυσής Αυγής αποκαλύπτοντας γιατί δεν ψήφισε την τροπολογία, που εμπόδιζε την κάθοδο των νεοναζί δολοφόνων του Παύλου Φύσσα στις εκλογές. Αυτό δείχνει ότι δεν έχουν πυξίδα τις προοδευτικές ιδέες και αξίες. Μόνη τους προτεραιότητα είναι η καρέκλα και η εξουσία. ",criticism,democracy,other,-0.7227,0.3,0.0,"[['syriza', 'organization', '1.0'], ['justice everywhere', 'group of people', '0.5'], ['mr. tsipras', 'person', '1.0'], ['mr. pappas', 'person', '0.8'], ['special court', 'organization', '1.0'], ['athens', 'location', '1.0'], ['golden dawn', 'political party', '1.0'], ['pavlos fyssas', 'person', '1.0']]"
8,"Our priority is the struggle for a strong homeland and a strong democracy. That is why the party that stands on the shore of progress and responsibility is PASOK, and it is here, united and strong. That is why I say to every progressive citizen, stop the hostage-taking by the ""golden"" sponsor of Mr Mitsotakis, the leadership team of SYRIZA. I appeal to every democrat and progressive citizen. Let us come together to revive the democratic party. We don't have to live for four years with the same: an ineffective opposition and an arrogant clientelist authoritarian government, setting off SYRIZA's past failures against its past. We say so far. PASOK, loudly on June 25th. End the fear mechanism, end this toxic dichotomy that divides, does not unite, does not give perspective, and condemns the country to be a country of low priorities and opportunities.","Δική μας προτεραιότητα είναι ο αγώνας για μια ισχυρή πατρίδα, για ισχυρή δημοκρατία. Γι’ αυτό λοιπόν η παράταξη που βρίσκεται στην όχθη της προόδου και της υπευθυνότητας, είναι το ΠΑΣΟΚ και είναι εδώ, ενωμένο και δυνατό. Γι’ αυτό λέω σε κάθε προοδευτικό πολίτη, σταματήστε την ομηρία από τον “χρυσό” χορηγό του κ. Μητσοτάκη, την ηγετική ομάδα του ΣΥΡΙΖΑ. Απευθύνομαι σε κάθε δημοκράτη, προοδευτικό πολίτη. Ελάτε να αναγεννήσουμε μαζί τη δημοκρατική παράταξη. Δεν χρειάζεται να ζήσουμε 4 χρόνια με μια από τα ίδια: Μια αναποτελεσματική αντιπολίτευση και μια αλαζονική πελατειακή αυταρχική κυβέρνηση, που συμψηφίζει με το παρελθόν του ΣΥΡΙΖΑ τις αστοχίες της. Εμείς λέμε ως εδώ. ΠΑΣΟΚ, δυνατά στις 25 Ιουνίου. Να τελειώνει ο μηχανισμός του φόβου, να τελειώνει αυτό το τοξικό δίπολο που διχάζει, δεν ενώνει, δεν δίνει προοπτική, καταδικάζει τη χώρα να είναι μια χώρα χαμηλών προτεραιοτήτων και ευκαιριών.",political agenda,democracy,other,0.4,0.2,0.2,"[['pasok', 'organization', '1.0'], ['syriza', 'political party', '1.0'], ['june 25th', 'date', '1.0']]"
9,"My friends, Mr Tsipras and Mr Mitsotakis are competing in arrogance and conceit. Mr Tsipras claims that anyone who does not vote for Syriza is essentially voting for New Democracy. He has failed to realize that people have recognized that by voting for Syriza, they are essentially supporting the 'golden' sponsor of New Democracy. And of course, there is also the arrogance of Mr Mitsotakis, who claims that he will be both the government and opposition to himself. With your vote, put an end to these ludicrous attitudes.","Φίλες και φίλοι, ανταγωνίζονται σε έπαρση και αλαζονεία ο κ. Τσίπρας με τον κ. Μητσοτάκη. Ο κ. Τσίπρας ισχυρίζεται ότι όποιος δεν ψηφίζει ΣΥΡΙΖΑ, είναι σαν να ψηφίζει Νέα Δημοκρατία. Δεν έχει συνειδητοποιήσει ότι οι πολίτες κατάλαβαν ότι ψηφίζοντας ΣΥΡΙΖΑ, ψηφίζουν τον “χρυσό” χορηγό της Νέας Δημοκρατίας. Και είναι βέβαια και η αλαζονεία του κ. Μητσοτάκη, που λέει ότι θα είναι κυβέρνηση και αντιπολίτευση στον εαυτό του. Με την ψήφο σας βάλτε τέλος σε αυτές τις λουδοβίκειες συμπεριφορές. ",criticism,elections,election spending,-0.6,0.3,0.15,"[['mr tsipras', 'person', '0.5'], ['mr mitsotakis', 'person', '0.5'], ['syriza', 'organization', '0.5'], ['new democracy', 'political party', '0.5'], ['greece', 'country', '0.5']]"
10,"But it's not just arrogance; it's also untrustworthiness. Mitsotakis promises a 25% increase in private sector wages in New Democracy's commercials, but in the stability programme he submitted to Brussels, he pledges increases of only 13%. As Skylakakis revealed, there is no ""Messiah"" to repeat the miracle of Kana and multiply wage increases. Unjustly, therefore, the executives of New Democracy in Achaia were waiting for him in the streets with bushes. He is not going to perform any miracle. He is once again unreliable and disregards the real problems of the Greek people.","Δεν είναι όμως μόνο η αλαζονεία. Είναι και η αναξιοπιστία. Ο κ. Μητσοτάκης υπόσχεται στα διαφημιστικά σποτ της Νέας Δημοκρατίας αυξήσεις κατά 25% στους μισθούς του ιδιωτικού τομέα, αλλά στο πρόγραμμα σταθερότητας που κατέθεσε στις Βρυξέλλες δεσμεύεται για αυξήσεις μόλις 13%. Όπως αποκάλυψε ο κ. Σκυλακάκης, δεν υπάρχει «Μεσσίας» για να επαναλάβει το θαύμα της Κανά και να πολλαπλασιάσει τις αυξήσεις στους μισθούς. Άδικα λοιπόν τα στελέχη της Νέας Δημοκρατίας στην Αχαΐα τον περίμεναν με βάγια στους δρόμους. Δεν πρόκειται να κάνει κανένα θαύμα. Είναι για άλλη μια φορά αναξιόπιστος και περιφρονεί τα πραγματικά προβλήματα του ελληνικού λαού. ",criticism,employment,wages,-0.7,0.2,0.0,"[['mitsotakis', 'person', '0.5'], ['new democracy', 'political party', '0.9'], ['brussels', 'location', '0.7'], ['skylakakis', 'person', '0.5'], ['kana', 'location', '0.5'], ['achaia', 'location', '0.6'], ['greek', 'country', '0.5']]"
