id,text,text_el,is_criticism,topic-context,subtopic-context,sentiment,polarization-definition,populism-definition,ner-limited
1,"People of Heraklion, people of Crete, I am deeply touched by your warm welcome here in my homeland, which has been identified with democratic struggles since the time of Eleftherios Venizelos. Here, from the great castle of the Democratic Party, memory meets hope today. Friends, in this very square a few weeks ago, I pledged to you that on May 21st, we would be victorious. Today, I pledge to you that on Sunday evening, June 25th, we will pick up the thread of history again. So, here's why. For this, then. Here, from Democratic Heraklion, I call on every patriot, every progressive, every Democrat, whatever party they voted for on May 21st, to trust our movement, to trust us on this new path, on renewal, on hope, on dignity, on perspective. PASOK is here, united and strong, with the new generation in the lead, with the Greek people in the lead. We are turning the page as if we were becoming the protagonists.","Λαέ του Ηρακλείου, λαέ της Κρήτης. Είμαι βαθιά συγκινημένος από τη θερμή, σας υποδοχή κι εδώ από την ιδιαίτερη πατρίδα μου που από την εποχή του Ελευθερίου Βενιζέλου είναι ταυτισμένη με τους δημοκρατικούς αγώνες. Εδώ από το μεγάλο Κάστρο της δημοκρατικής παράταξης συναντάται σήμερα η μνήμη με την ελπίδα. Φίλες και φίλοι. Σε αυτή εδώ την πλατεία πριν από μερικές εβδομάδες σας δεσμεύτηκα ότι 21 Μαΐου θα είμαστε νικητές σήμερα σας δεσμεύομαι ότι την Κυριακή το βράδυ 25 Ιουνίου ξαναπιάνουμε το νήμα της ιστορίας. Για αυτό λοιπόν. Για αυτό λοιπόν. Εδώ από το Δημοκρατικό Ηράκλειο. Καλώ κάθε πατριώτη, κάθε προοδευτικό, κάθε δημοκράτη ότι κόμμα και αν ψήφισε στις 21 Μαίου, να εμπιστευτεί το κίνημά μας, να μας εμπιστευτεί σε αυτή τη νέα πορεία, στην ανανέωση, στην ελπίδα, στην αξιοπρέπεια, στην προοπτική. Το ΠΑΣΟΚ είναι εδώ ενωμένο δυνατό, με μπροστάρη τη νέα γενιά με μπροστάρη τον ελληνικό λαό, γυρνάμε σελίδα σαν να γινόμαστε πρωταγωνιστές.",political agenda,elections,other,0.6,0.2,0.2,"[['heraklion', 'location', '1.0'], ['crete', 'location', '1.0'], ['eleftherios venizelos', 'person', '1.0'], ['democratic party', 'organization', '0.8'], ['may 21st', 'date', '1.0'], ['june 25th', 'date', '1.0'], ['pasok', 'political party', '1.0'], ['greek', 'country', '1.0']]"
2,"So, I pledge here at Democratic Heraklion that we will stand by the citizens every day, embracing their aspirations for better days, dignity, perspective, and justice. Friends, today is a day of remembrance because 25 years have passed since the death of our great founder, Andreas Papandreou. Andreas, whom the Greek people loved like no other, was the politician who sealed the modern history of our country. He fought for social justice and national dignity, guaranteed the prosperity of all Greeks, fought for a Europe of solidarity between peoples, and is the best-known politician since the Second World War, a Greek beyond the borders of Europe.","Δεσμεύομαι λοιπόν εδώ από το Δημοκρατικό Ηράκλειο ότι θα είμαστε δίπλα στον πολίτη καθημερινά, αγκαλιάζοντας τις αγωνίες του για καλύτερες μέρες, για αξιοπρέπεια, για προοπτική, για δικαιοσύνη. Φίλες και φίλοι. Σήμερα όμως είναι ημέρα μνήμης, διότι πέρασαν 25 χρόνια από το θάνατο του μεγάλου ιδρυτή μας Ανδρέα Παπανδρέου. Του Ανδρέα που αγάπησε όσο κανέναν άλλο ο ελληνικός λαός. Του πολιτικού που σφράγισε τη νεότερη ιστορία της πατρίδας μας, που αγωνίστηκε για κοινωνική δικαιοσύνη και εθνική αξιοπρέπεια, που εγγυήθηκε την προκοπή όλων των Ελλήνων και που πάλεψε για μια Ευρώπη της αλληλεγγύης των λαών και που είναι ο πιο γνωστός πολιτικός μετά το Δεύτερο Παγκόσμιο Πόλεμο Έλληνας πέρα από τα όρια της Ευρώπης. ",political agenda,elections,other,0.7,0,0,"[['democratic heraklion', 'organization', '1.0'], ['andreas papandreou', 'person', '1.0'], ['greek people', 'group of people', '1.0'], ['greeks', 'group of people', '1.0'], ['europe', 'location', '1.0'], ['second world war', 'date', '1.0']]"
3,"Friends, today we are concluding a long campaign here in Democratic Heraklion, during which I met thousands of people in every part of the country. These people expect a lot from us and we have a duty to offer them strong hope. We have a duty to serve the people and the country, to serve the needs of the Greek people for meritocracy, transparency, strong public education, and strong public health. Our young people need skills for the future, and this party will faithfully serve the younger generations. We have a duty to address the high cost of living. For a new Greece, we will fight every day for progress, for creation, for a strong Greece in Europe, for leadership. Friends, we have a duty to face the high cost of living that burdens the Greek family, to support young people, and give prospects for good jobs. For all this, I ask you to fight. For all this, I ask you to succeed on Sunday and to be stronger than ever before.","Φίλες και φίλοι σήμερα εδώ από το Δημοκρατικό Ηράκλειο ολοκληρώνουμε μια μεγάλη μακρά προεκλογική εκστρατεία, στη διάρκεια της οποίας συνάντησα χιλιάδες ανθρώπους σε κάθε μέρος της χώρας. Αυτοί οι άνθρωποι περιμένουν πολλά από μας και έχουμε χρέος να τους προσφέρουμε μια ελπίδα ισχυρή. Έχουμε χρέος. Να υπηρετήσουμε, όπως άλλωστε το λαό και την πατρίδα, να υπηρετήσουμε τις ανάγκες του ελληνικού λαού για αξιοκρατία, διαφάνεια, ισχυρή δημόσια παιδεία και ισχυρή δημόσια υγεία. Οι νέοι μας χρειάζονται εφόδια για το μέλλον και αυτή η παράταξη θα υπηρετήσει πιστά τις νεότερες γενιές. Έχουμε χρέος. Να αντιμετωπίσουμε το κόστος ζωής, το υψηλό κόστος ζωής. Για μια Ελλάδα νέα, θα παλέψουμε καθημερινά για την Ελλάδα της προκοπής, για την Ελλάδα της δημιουργίας, για την ισχυρή Ελλάδα στην Ευρώπη, την Ελλάδα πρωταγωνιστή. Φίλες και φίλοι, έχουμε χρέος να αντιμετωπίσουμε το υψηλό κόστος ζωής που επιβαρύνει την ελληνική οικογένεια, να στηρίξουμε τους νέους, δίνοντας προοπτική για καλές θέσεις εργασίας. Για όλα αυτά σας ζητώ να αγωνιστούμε. Για όλα αυτά σας ζητώ να πετύχουμε την Κυριακή και να είμαστε ξανά πιο ισχυροί από ποτέ. ",political agenda,elections,cost of living,0.8,0,0,"[['democratic heraklion', 'location', '1.0'], ['greek', 'country', '1.0'], ['sunday', 'date', '1.0']]"
4,"Friends, Mr Mitsotakis and New Democracy aim to identify with stability and responsibility. However, is it stability or a cheap passport policy? It is stability and responsibility to provide 10 billion direct assignments and thousands of post-employment champions, outperforming even SYRIZA. Is it responsible to serve the big and powerful interests of energy producers and suppliers, giving billions of subsidies on the terms of the Greek people? Or is it responsible for the banks to speculate? At a time when our country's purchasing power is third from the bottom in all of Europe? Or is it responsible for the national health care system to be full of lists of shame surgeries? Of course, it is not responsible for the blue guys to take over the state, as we saw in the tragedy of the Tempi River, which overwhelmed the OSE and ERGOSE, and with their omissions in not implementing telecommuting, as the experts' conclusion recently says, to reach a point where 57 lives of our fellow human beings are lost unjustly. Or is it responsible to play with the institutions, with democracy and the rule of law, to set up a surveillance agency, a parastatal mechanism? These are things of the past, and we will consign them to the past. We have a duty to the Greek people to close the books, to settle accounts with maintenance and with the forces that despise your interests, that despise your hopes.","Φίλες και φίλοι, ο κύριος Μητσοτάκης και η Νέα Δημοκρατία ταυτίζονται, ταυτίζονται, προσπαθούν να ταυτίζονται με την σταθερότητα και την υπευθυνότητα. Είναι όμως σταθερότητα ή φθηνή πολιτική των pass; Είναι σταθερότητα και υπευθυνότητα να δίνουν 10 δισεκατομμύρια απευθείας αναθέσεις και χιλιάδες μετακλητούς πρωταθλητές στους μετακλητούς υπαλλήλους ξεπέρασαν και τον ΣΥΡΙΖΑ. Είναι υπευθυνότητα να υπηρετούν μεγάλα και ισχυρά συμφέροντα των παραγωγών ενέργειας και των προμηθευτών, δίνοντας δισεκατομμύρια επιδοτήσεις από τους όρους του ελληνικού λαού; Ή μήπως είναι υπευθυνότητα να κερδοσκοπούν οι τράπεζες; Την ώρα που ο νικ όργιο της χώρας μας είναι τρίτο σε αγοραστική δύναμη από το τέλος σε όλη την Ευρώπη; Ή μήπως είναι υπευθυνότητα το εθνικό σύστημα υγείας να είναι γεμάτο από τις λίστες των χειρουργείων της ντροπής; Ούτε βέβαια είναι υπευθυνότητα η άλωση του κράτους από τα γαλάζια παιδιά, όπως είδαμε και στην τραγωδία των Τεμπών που κατέκλυσαν τον ΟΣΕ και την ΕΡΓΟΣΕ και με τις παραλείψεις τους με το να μην υλοποιηθεί τηλεδιοίκηση, όπως λέει πρόσφατα το πόρισμα των εμπειρογνωμόνων να φτάσουμε σε ένα σημείο να χαθούν άδικα 57 ζωές συνανθρώπων μας Ή μήπως είναι υπευθυνότητα να παίζουν με τους θεσμούς, με τη δημοκρατία και το κράτος δικαίου, να στήνουν ένα επιτελικό παραμάγαζο παρακολουθήσεων, ένα παρακρατικό μηχανισμό; Αυτά ανήκουν στο παρελθόν και θα τα στείλουμε στο παρελθόν. Έχουμε χρέος, έχουμε χρέος απέναντι στον ελληνικό λαό να κλείσει, να πείσουμε τους λογαριασμούς με τη συντήρηση και με τις δυνάμεις που περιφρονούν τα συμφέροντά σας που περιφρονούν τις ελπίδες σας. ",criticism,transparency,other,-0.55,0.3,0.5,"[['mr mitsotakis', 'person', '0.6'], ['new democracy', 'political party', '0.7'], ['syriza', 'political party', '0.6'], ['greek people', 'group of people', '0.7'], ['europe', 'location', '0.6'], ['tempi river', 'location', '0.6'], ['ose', 'organization', '0.6'], ['ergose', 'organization', '0.6'], ['national health care system', 'organization', '0.6'], ['greek', 'country', '0.6']]"
5,"But friends, it is deeply unreliable. New Democracy promises increases in private sector wages up to 25%, but in Brussels a few days ago, where Mr Mitsotakis' tricks don't work, he spoke of only 13%. As Mr Skylakakis revealed, there is no Messiah. In Patras, they were waiting in vain for Mr Mitsotakis. He cannot work miracles. The only miracle is to deceive the Greek people once again. That is why I say you deserve more.","Φίλες και φίλοι είναι όμως βαθιά αναξιόπιστη, γιατί στα σποτ της η Νέα Δημοκρατία υπόσχεται αυξήσεις μέσα σε αυξήσεις στους μισθούς του ιδιωτικού τομέα στο 25%, αλλά μερικές μέρες πριν στο μεσοπρόθεσμο στις Βρυξέλλες, εκεί που δεν περνάνε τα κολπάκια του κυρίου Μητσοτάκη μίλησε όχι για 25, αλλά για 13%. Όπως αποκάλυψε ο κύριος Σκυλακάκης, δεν υπάρχει Μεσσίας. Άδικα στην Πάτρα περίμεναν με βάγια τον κύριο Μητσοτάκη. Δεν μπορεί να κάνει θαύματα. Το μόνο θαύμα είναι να εξαπατήσει για άλλη μια φορά τον ελληνικό λαό. Για αυτό λέω σας αξίζουν περισσότερα.",criticism,employment,other,-0.5,0.2,0,"[['new democracy', 'organization', '0.6'], ['brussels', 'location', '0.8'], ['mr mitsotakis', 'person', '0.8'], ['mr skylakakis', 'person', '0.7'], ['patras', 'location', '0.6'], ['greek people', 'group of people', '0.7']]"
6,"My friends, on May 21, the citizens disapproved of SYRIZA because it proved to be an ineffective government that betrayed the expectations of the Greek people. It said many things that it knew could not be done just for the sake of chairs and power. It spoke of seismic change and turned billions of red loans of borrowers into unconditional and unconditional surrender to the funds that are currently blackmailing the Greek people. They played with the institutions, they attacked the independent authorities, but the citizens... Crete will once again become the castle of the Democratic Party. We have a duty to give it a political color that matches the green of hope, the green of PASOK. However, the citizens disapproved of Mr. Tsipras because he was also an ineffective opposition, because he left Mr. Mitsotakis free to implement his policies. Because he only knew how to engage in toxic confrontation without political substance. He did not hesitate to cancel the values of the left, and I emphasize this, the values of the left that we have historically honored because we are the party of the center-left, the modern center-left. He did not hesitate to disdain the struggles of many years of the Left when, out of desperation, just before the last national elections, he called on the allegedly misguided Chrysaygians to vote for Syriza. It will follow him forever. Thus, he bluntly revealed why he did not vote for the amendment that prevented the killers of Pavlos Fyssas from participating in our democratic constitution that we voted for because democracy is above all, not votes. But it also has a slogan and says justice everywhere. What does it mean by justice everywhere, while for the people, the ordinary citizen? Because if Mr. Pappas, who was convicted 13-0 by the Special Court, believed that, it would not be heads on his head, but it would be in his house. This is not justice; this is mockery. Mr. Tsipras, here from Democratic Heraklion, I have only one thing to say to you: you have managed to make New Democracy powerful for no reason at all. And this will not be forgiven by the progressive democratic people of the country. Because you proved to be Mitsotakis' golden sponsor. So this is why it is a daily struggle for New Democracy to find its real opponent. PASOK, our movement, the power against maintenance and anarchocracy.","Φίλες και φίλοι στις 21 Μαΐου οι πολίτες αποδοκίμασαν τον ΣΥΡΙΖΑ. Επειδή αποδείχτηκε μια αναποτελεσματική κυβέρνηση, που διέψευσε τις προσδοκίες του ελληνικού λαού, είπε πολλά που ήξερε ότι δεν μπορούν να γίνουν μόνο και μόνο για τις καρέκλες και την εξουσία. Είπε για σεισάχθεια και μετέτρεψε δισεκατομμύρια κόκκινα δάνεια δανειοληπτών να παραδοθούν άνευ όρων και κριτηρίων στα funds που εκβιάζουν σήμερα τον ελληνικό λαό. Έπαιξαν με τους θεσμούς, επιτέθηκαν στις ανεξάρτητες αρχές, όμως οι πολίτες... Η Κρήτη θα γίνει ξανά το κάστρο της δημοκρατικής παράταξης. Έχουμε χρέος να της δώσουμε πολιτικό χρώμα που της ταιριάζει το πράσινο της ελπίδας, το πράσινο του ΠΑΣΟΚ. Όμως οι πολίτες αποδοκίμασαν τον κύριο Τσίπρα γιατί ήταν και μια αναποτελεσματική αντιπολίτευση, γιατί άφησε πεδίο ελεύθερο στον κύριο Μητσοτάκη να εφαρμόσει τις πολιτικές του. Γιατί ήξερε να κάνει μόνο τοξική αντιπαράθεση χωρίς πολιτική ουσία. Δεν δίστασε να ακυρώσει τις αξίες της αριστεράς και το υπογραμμίζω αυτό τις αξίες της αριστεράς που εμείς τιμούμε ιστορικά, διότι είμαστε η παράταξη της κεντροαριστεράς, της σύγχρονης κεντροαριστεράς. Δεν δίστασε, να περιφρονήσει τους αγώνες πολλών ετών της Αριστεράς, όταν από την απόγνωση του λίγο πριν τις τελευταίες εθνικές εκλογές κάλεσε τους δήθεν παραστρατημένους χρυσαυγίτες να ψηφίσουν ΣΥΡΙΖΑ. Θα τον ακολουθεί για πάντα. Έτσι, αποκάλυψε απερίφραστα γιατί δεν ψήφισε την τροπολογία που εμπόδιζε στους φονιάδες του Παύλου Φύσσα να συμμετέχουν στο δημοκρατικό μας πολίτευμα που εμείς ψηφίσαμε, γιατί πάνω από όλα είναι η δημοκρατία και όχι τα ψηφαλάκια. Αλλά λέει έχει και ένα σύνθημα και λέει δικαιοσύνη παντού, τι εννοεί δικαιοσύνη παντού, ενώ για το λαό τον απλό πολίτη. Γιατί αν το πίστευε ο κύριος Παππάς που καταδικάστηκε 13-0 από το Ειδικό Δικαστήριο, δεν θα ήταν κορώνα στο κεφάλι του, αλλά θα ήταν στο σπίτι του. Αυτό δεν είναι δικαιοσύνη, αυτό είναι κοροϊδία. Κύριε Τσίπρα εδώ από το Δημοκρατικό Ηράκλειο έχω να σου πω μόνο ένα πράγμα, κατάφερες να κάνεις τη Νέα Δημοκρατία χωρίς κανένα λόγο πανίσχυρη. Και αυτό δεν θα στο συγχωρέσει ο προοδευτικός δημοκρατικός κόσμος της χώρας. Γιατί αποδείχτηκε ας ο χρυσός χορηγός του Μητσοτάκη. Για αυτό λοιπόν αγώνα καθημερινό να βρει η Νέα Δημοκρατία το πραγματικό της αντίπαλο. Το ΠΑΣΟΚ, το κίνημά μας, την δύναμη απέναντι στη συντήρηση, την αναξιοκρατία.",criticism,elections,other,-0.75,0.6,0.2,"[['may 21', 'date', '1.0'], ['syriza', 'political party', '0.9'], ['greek people', 'group of people', '1.0'], ['funds', 'organization', '0.8'], ['democratic party', 'political party', '0.9'], ['crete', 'location', '0.9'], ['pasok', 'political party', '0.9'], ['mr. tsipras', 'person', '0.9'], ['mr. mitsotakis', 'person', '0.9'], ['chrysaygians', 'group of people', '0.8'], ['pavlos fyssas', 'person', '0.8'], ['democratic heraklion', 'location', '0.8'], ['new democracy', 'political party', '0.9'], ['pasok', 'organization', '0.9']]"
7,"Friends, PASOK is here in Syntagma Square, in the Square of Change, and on Sunday night we will be looking at all of you with a weak message of victory from all corners of the country, with each and every one of you as the protagonist. Friends, on Sunday night we have before us the opportunity for change, which will come through daily struggle alongside citizens, the people, women, workers, and the new generation. We embrace the aspirations of our people for better days and serve them faithfully, clashing with interests and everything that prevents Greece from becoming a normal European country. So on June 25th, we have a decisive battle ahead of us. PASOK has a duty to grow stronger to support New Democracy in the next elections in opposition. Step by step, we will become the majority progressive movement of Greece again. This, Mr. Tsipras and Mr. Mitsotakis, is the sole objective of the struggle we are waging every day in every village, town, and neighborhood, so that PASOK can become its genuine, historical, social opponent. We therefore have a duty to overturn the divisions and disappointments that have affected the Greeks, and to break the mechanism of fear. Because the result of New Democracy is not the result of its contribution to the people, but the mechanism of fear of the worst. We give hope for the best, quickly and dynamically. The sooner PASOK becomes stronger, the sooner it will become a side-show of maintenance.","Φίλες και φίλοι, το ΠΑΣΟΚ είναι εδώ στην πλατεία των Αγώνων, στην πλατεία της αλλαγής και ασθενή μήνυμα νίκης απ άκρη σ άκρη της χώρας την Κυριακή το βράδυ θα κοιτάς με όλους εσάς, με όλους εσάς πρωταγωνιστή την καθεμία και τον καθένα ξεχωριστά. Φίλες και φίλοι την Κυριακή, την Κυριακή το βράδυ έχουμε μπροστά μας, η αλλαγή θα ρθει με αγώνα καθημερινό δίπλα στον πολίτη, δίπλα στον λαό, δίπλα στη γυναίκα, δίπλα στον εργαζόμενο, δίπλα στη νέα γενιά, αγκαλιάζουμε τις αγωνίες του λαού μας για καλύτερες μέρες. Τον υπηρετούμε πιστά, συγκρουόμαστε με συμφέροντα με ότι εμποδίζει την Ελλάδα να γίνει μια κανονική ευρωπαϊκή χώρα. 25 λοιπόν, Ιουνίου έχουμε μπροστά μας μια καθοριστική μάχη. Το ΠΑΣΟΚ έχει χρέος να δυναμώσει για να στηρίξει τη Νέα Δημοκρατία στις επόμενες εκλογές στην αντιπολίτευση. Βήμα με βήμα θα ξαναγίνουμε πλειοψηφικό προοδευτικό κίνημα της Ελλάδας. Αυτός αυτός κύριε Τσίπρα και κύριε Μητσοτακη είναι ο μοναδικός στόχος του αγώνα που δίνουμε καθημερινά σε κάθε χωριό, σε κάθε πόλη, σε κάθε γειτονιά, να αποκτήσει η συντήρηση τον γνήσιο, ιστορικό, κοινωνικό της αντίπαλο. Έχουμε λοιπόν χρέος να ανατρέψουμε τους συσχετισμούς που δίχασαν και απόγοήτευσαν τους Έλληνες. Να σπάσουμε το μηχανισμό του φόβου. Γατί το αποτέλεσμα της Νέας Δημοκρατίας δεν είναι έργο της προσφοράς της στον λαό,είναι ο μηχανισμός του φόβου για τα μη χειρότερα. Εμείς δίνουμε ελπίδα για τα καλύτερα, γρήγορα, δυναμικά, όσο πιο γρήγορα δυναμώσει το ΠΑΣΟΚ, τόσο πιο γρήγορα θα αποτελέσει παραγκώνι της συντήρησης.",political agenda,elections,other,0,0.2,0.2,"[['pasok', 'organization', '1.0'], ['syntagma square', 'location', '1.0'], ['square of change', 'location', '0.7'], ['sunday night', 'date', '1.0'], ['greece', 'country', '1.0'], ['new democracy', 'political party', '0.7'], ['mr. tsipras', 'person', '0.7'], ['mr. mitsotakis', 'person', '0.7']]"
8,"Friends, for this Sunday let's not have 4 more wasted years of an ineffective opposition and a government whose weaknesses and arrogance will increase day by day. We wish we could sanctify. Mr. Mitsotakis should not let us forget the wiretapping and cover-up, which reminded us of the worst of Sakkos and New Democracy. It is rather their family tradition to violate human rights and the separation of powers.","Φίλες και φίλοι για αυτό την Κυριακή, όχι 4 ακόμη χαμένα χρόνια μιας αναποτελεσματικής αντιπολίτευσης και μιας κυβέρνησης που θα μεγαλώνουν οι αδυναμίες και η αλαζονεία της μέρα με τη μέρα. Και να θέλαμε να αγιάσουμε. Δεν μας αφήνει ο κύριος Μητσοτάκης να ξεχάσουμε οι υποκλοπές και η συγκάλυψης θύμισαν τις χειρότερες σακο και ας νέας δημοκρατίας. Είναι μάλλον η οικογενειακή τους παράδοση να καταπατούν τα ανθρώπινα δικαιώματα και τη διάκριση των εξουσιών. ",criticism,democracy,wiretapping,-0.75,0.6,0.2,"[['sunday', 'date', '0.75'], ['mr. mitsotakis', 'person', '0.5'], ['sakkos', 'organization', '0.5'], ['new democracy', 'political party', '0.5']]"
9,"Friends, PASOK's battle is to have a strong and credible opposition, one that will call a spade a spade without weighing the political cost. So let us see what the vision of this party is. The New Democracy government presents an idyllic situation for the economy, but the public debt has increased by some 50 billion. The current account deficit is the largest since 2010, at 12% last year and an estimated 9% this year. And we are told that this is happening all over Europe because of the pandemic energy crisis? No, they are lying. Portugal, with similar economic problems and sizes, had a 1% deficit last year and a 1% surplus this year. This is the fiscal populism of Mr. Mitsotakis, who is leading the country into new adventures, in perfect imitation of Mr. Karamanlis.","Φίλες και φίλοι. Η μάχη του ΠΑΣΟΚ είναι να υπάρχει ισχυρή, αξιόπιστη αντιπολίτευση, μια αντιπολίτευση που θα λέει τα πράγματα με το όνομά τους χωρίς να ζυγίζει το πολιτικό κόστος. Ας δούμε λοιπόν ποιο είναι το όραμα αυτής της παράταξης. Η κυβέρνηση Νέας Δημοκρατίας παρουσιάζει μια ειδυλλιακή κατάσταση για την οικονομία, όμως το δημόσιο χρέος αυξήθηκε περίπου 50 δισεκατομμύρια. Το έλλειμμα στο ισοζύγιο τρεχουσών συναλλαγών είναι το μεγαλύτερο από το 2010, 12% πέρυσι, 9% υπολογίζεται φέτος. Και μας λένε μα αυτό συμβαίνει σε όλη την Ευρώπη λόγω της πανδημίας της ενεργειακής κρίσης; Όχι, είναι ψέματα. Η Πορτογαλία με ανάλογα οικονομικά προβλήματα, με ανάλογα οικονομικά μεγέθη είχε 1% έλλειμμα περσυ και συν 1% πλεόνασμα φέτος. Αυτός είναι ο δημοσιονομικός λαϊκισμός του κυρίου Μητσοτάκη που οδηγεί τη χώρα σε νέες περιπέτειες, μιμούμενος απόλυτα τον κύριο Καραμανλή.",criticism,economy,economic crisis,-0.6,0.2,0,"[['1. pasok', 'organization', '1.0'], ['2. new democracy', 'organization', '1.0'], ['3. europe', 'location', '1.0'], ['4. portugal', 'country', '1.0'], ['5. mitsotakis', 'person', '1.0'], ['6. karamanlis', 'person', '1.0.']]"
10,"The Recovery Fund was given so that we can make good use of its valuable resources. However, too much goes to the few and powerful, too little to cooperatives, small and medium-sized enterprises, farmers, and stockbreeders, and too little to productive Greece. Therefore, we propose another model of development that prioritizes sustainable growth, the extroversion of the economy, and good jobs for our children so that they can stay here, create, and grow. We propose a competitive growth model, made in Greece, that redirects the resources of the Recovery Fund based on a national development plan. This plan promotes production that supports innovative value-added investments and links tourism with agri-food and manufacturing. We will not celebrate how many millions came to Greece, but we will celebrate the exports that helped make those millions, featuring Greek domestic products instead of foreign ones. This is the future of productive Greece, where tourism, agriculture, and manufacturing build a strong and resilient Greece that can withstand global turbulence.","Το Ταμείο Ανάκαμψης. Δόθηκε το Ταμείο Ανάκαμψης, ώστε να αξιοποιήσουμε σωστά τους πολύτιμους πόρους του. Όμως τα πολλά σε λίγους και ισχυρούς, ελάχιστα σε συνεταιρισμούς, ελάχιστα σε μικρομεσαίες επιχειρήσεις, ελάχιστα σε αγρότες και κτηνοτρόφους, ελάχιστα στην παραγωγική Ελλάδα. Απέναντι, λοιπόν, σε αυτές τις αδιέξοδες πολιτικές που έχουν προτεραιότητα να χαϊδεύουν τα συμφέροντα που στηρίζουν τη νέα δημοκρατία, εμείς προτείνουμε ένα άλλο μοντέλο ανάπτυξης που έχει στον πυρήνα του τη βιώσιμη ανάπτυξη, την εξωστρέφεια της οικονομίας, τις καλές θέσεις δουλειάς για τα παιδιά μας, για να μείνουν εδώ στην πατρίδα μας, να δημιουργήσουν, να μεγαλουργείς. Γι αυτό, προτείνουμε ένα μοντέλο ανάπτυξης ανταγωνιστικό, το made in Greece, με ανακατεύθυνση των πόρων του Ταμείου Ανάκαμψης στη βάση ενός εθνικού αναπτυξιακού σχεδίου που θα προωθεί την παραγωγή που στηρίζει τις καινοτόμες επενδύσεις προστιθέμενης αξίας, που διασυνδέει τον τουρισμό με την αγροδιατροφή και τη μεταποίηση, δεν θα πανηγυρίζουμε για τα πόσα εκατομμύρια ήρθαν στην Ελλάδα, αλλά θα πανηγυρίζουμε για τις εξαγωγές που βοήθησαν αυτά τα εκατομμύρια να γίνουν, γευόμενοι τα ελληνικά, εγχώρια προΐοντα και όχι τα ξένα προϊόντα στην πατρίδα μας. Αυτό είναι το μέλλον της παραγωγικής Ελλάδας, που ο τουρισμός, ο αγροτικός τομέας και η μεταποίηση χτίζουν την ισχυρή Ελλάδα, την ανθεκτική Ελλάδα στις παγκόσμιες αναταράξεις.  ",political agenda,economy,other,0.5,0.1,0.2,"[['recovery fund', 'organization', '1.0'], ['greece', 'country', '1.0'], ['cooperatives', 'group of people', '0.6'], ['small and medium-sized enterprises', 'group of people', '0.6'], ['farmers', 'group of people', '0.6'], ['stockbreeders', 'group of people', '0.6'], ['greece', 'location', '0.8'], ['tourism', 'organization', '0.7'], ['agri-food', 'organization', '0.7'], ['manufacturing', 'organization', '0.7']]"
