id,text,text_el,is_criticism,topic-context,subtopic-context,sentiment,polarization-definition,populism-definition,ner-limited
1,"Here in the neighborhoods of West Athens, we have taken a step forward with the significant strengthening of the KKE in terms of votes and percentages, and the regaining of third place. Now we move forward with an even stronger KKE, the only genuine, popular, and militant opposition. More people can now choose the KKE's ballot paper because they understand what the KKE has been saying from the very beginning: that New Democracy, Syriza, and PASOK have a common anti-people's program and agree on the basic, key, strategic issues. They cannot hide this, no matter how much they argue during the election campaign about whether or not their programs are costed.","Εδώ σ’ αυτές τις γειτονιές της Δυτικής Αθήνας κάναμε ένα βήμα με τη σημαντική ενίσχυση του ΚΚΕ σε ψήφους και ποσοστά και την κατάκτηση ξανά της τρίτης θέσης. Τώρα πάμε για τα επόμενα με ΚΚΕ ακόμα πιο δυνατό, τη μόνη γνήσια, λαϊκή μαχητική αντιπολίτευση. Ναι, τώρα περισσότεροι μπορούν να φτάσουν με το ψηφοδέλτιο του ΚΚΕ στην κάλπη, γιατί κατανοούν, αυτό που από την πρώτη στιγμή έλεγε το ΚΚΕ, ότι ΝΔ, ΣΥΡΙΖΑ και ΠΑΣΟΚ έχουν κοινό αντιλαϊκό πρόγραμμα, ότι συμφωνούν στα βασικά, καίρια, στρατηγικά ζητήματα. Κι αυτό δεν μπορούν να το κρύψουν όσο και να τσακώνονται πάλι προεκλογικά για το αν είναι ή όχι κοστολογημένα τα προγράμματα τους. ",criticism,elections,other,,0.6,0,"[['west athens', 'location', '1.0'], ['kke', 'organization', '1.0'], ['new democracy', 'political party', '1.0'], ['syriza', 'political party', '1.0'], ['pasok', 'political party', '1.0']]"
2,"Of course, when workers hear about fiscal stability, bank stability, and the creation of an ""attractive investment environment,"" they understand that their needs have already been priced out of the programs because only the profits of the few conglomerates are considered. This is why they have been taxing the people heavily while cutting taxes for big businesses and maintaining legal tax breaks for capital. Now, of course, they are arguing about who should or should not pay taxes.","Βέβαια όταν οι εργαζόμενοι ακούν για δημοσιονομική σταθερότητα, σταθερότητα των τραπεζών, διαμόρφωση «ελκυστικού επενδυτικού περιβάλλοντος», καταλαβαίνουν ότι οι ανάγκες τους έχουν ήδη κοστολογηθεί και έχουν πεταχτεί έξω από τα προγράμματα τους γιατί εκεί υπάρχουν μόνο τα κέρδη των λίγων, των ομίλων. Αυτός είναι ο λόγος που όλοι τους έγδερναν στην κυριολεξία τον λαό με τη φοροληστεία, ενώ την ίδια ώρα μείωναν τη φορολογία στις μεγάλες επιχειρήσεις και διατηρούσαν τις νόμιμες φοροαπαλλαγές στο κεφάλαιο. Τώρα βέβαια μαλώνουν ποιος είναι ή δεν είναι με τους φόρους. ",criticism,economy,tax cuts,-0.7,0,0.7,"[['workers', 'person', '0.8'], ['conglomerates', 'group of people', '0.6'], ['big businesses', 'organization', '0.7'], ['capital', 'organization', '0.8']]"
3,"They aren't fooling anyone! The only true relief for the people are the proposals of the KKE to abolish VAT on consumer goods, energy taxes, and ENFIA while simultaneously increasing taxation on business groups. For this, the KKE needs to be even stronger.","Δεν ξεγελάνε κανέναν! Πραγματική ανακούφιση για τον λαό αποτελούν μόνο οι προτάσεις του ΚΚΕ για κατάργηση του ΦΠΑ στα είδη λαϊκής κατανάλωσης, των φόρων στην ενέργεια και του ΕΝΦΙΑ ταυτόχρονα με την αύξηση της φορολογίας στους επιχειρηματικούς ομίλους και γι’ αυτό χρειάζεται να είναι ακόμα πιο δυνατό το ΚΚΕ. ",political agenda,economy,tax cuts,1,0.1,0,"[['kke', 'organization', '0.75'], ['consumer goods', 'location', '0.5'], ['energy taxes', 'location', '0.5'], ['enfia', 'location', '0.75']]"
4,"Friends, friends
As every year in the celebration of World Environment Day, the parties in the system are competing with each other to see which one can most effectively promote the EU's ""green transition"". We hear and read, announcement after announcement, about how important the environment and its management is.If one were to take these analyses at face value, one would come to the conclusion that Greece is the greenest country in the world!It would be easy to believe that, while almost everything can go wrong, in the field of the environment, the EU, the bourgeois state and the parties that have governed over the past years have done real miracles. You would think that Greece is a country with a natural environment that is protected, with inhabitants who enjoy the beauty of Greek nature.","Φίλες, φίλοι
Όπως κάθε χρόνο στον γιορτασμό της παγκόσμιας ημέρας περιβάλλοντος, τα κόμματα του συστήματος ανταγωνίζονται μεταξύ τους για το ποιο μπορεί να προωθήσει πιο αποτελεσματικά την “πράσινη μετάβαση της ΕΕ”. Ακούμε και διαβάζουμε, ανακοινώσεις επί ανακοινώσεων, για το πόσο σημαντικό είναι το περιβάλλον και η διαχείριση του, Αν έπαιρνε κανείς τοις μετρητοίς τις αναλύσεις αυτές θα έφθανε στο συμπέρασμα ότι η Ελλάδα είναι η πιο οικολογική χώρα του κόσμου!Εύκολα θα πίστευε κανείς ότι, ενώ, σχεδόν όλα μπορεί να πηγαίνουν στραβά, στον τομέα του περιβάλλοντος, η ΕΕ, το αστικό κράτος και τα κόμματα που έχουν κυβερνήσει όλα τα προηγούμενα χρόνια έχουν κάνει πραγματικά θαύματα. Θα πίστευε κανείς ότι η Ελλάδα είναι μια χώρα με ένα φυσικό περιβάλλον που προστατεύεται, με κατοίκους που χαίρονται τις ομορφιές της ελληνικής φύσης. ",criticism,environment,other,-0.25,0.2,0,"[['world environment day', 'date', '1.0'], ['eu', 'organization', '1.0'], ['greece', 'country', '1.0']]"
5,"But reality contradicts these claims, and does so solemnly. There is no need for a long, lengthy analysis. A glance around is enough to convince anyone. Tritsis Park could be a real green lung, an oasis of freshness for hundreds of thousands of residents and workers in the center of Athens. But in reality, it remains without infrastructure, while large parts of it are being targeted by construction and other monopoly groups. The open spaces in the Attica region, in general, the most overloaded residential area of the country, from Strefis Hill to Areos Field, from the center of Athens, which is being 'redeveloped' as a playground for high luxury tourism, to the areas that we are told are being ""upgraded by the metro"" and yet, especially in these areas, the big groups attack like crows and further degrade, privatize, and change uses. Perhaps the greatest proof in the Attica region of the timeless hypocrisy of all urban powers when it comes to the environment is the example of Elliniko. At the same time that everyone is ostensibly crying about the so-called ""climate crisis"" and the burden on the lives of city dwellers, a literally huge opportunity to change the microclimate of Athens, to reduce the temperature during peak hours in Attica, to vastly improve the lives of the city's residents is being sacrificed on the altar of the huge profitability of very expensive Real Estate. Its concreting is being promoted, the construction of a huge new settlement of luxury housing, thousands of square meters of cement. The mountains of Attica, instead of being organized areas of rest and recreation for the working people, are withering away.","Η πραγματικότητα όμως διαψεύδει, και μάλιστα πανηγυρικά, αυτούς τους ισχυρισμούς. Δεν χρειάζονται πολλές, μακροσκελείς αναλύσεις. Μία ματιά γύρω μας, αρκεί για να πείσει τον καθένα. Το πάρκο Τρίτση θα μπορούσε να αποτελεί ένα πραγματικό πνεύμονα πρασίνου, μία όαση δροσιάς για εκατοντάδες χιλιάδες κατοίκους και εργαζόμενους του κέντρου της Αθήνας. Όμως στη πραγματικότητα παραμένει χωρίς υποδομές, ενώ μεγάλα τμήματα του βρίσκονται στο στόχαστρο κατασκευαστικών και άλλων μονοπωλιακών ομίλων. 	Οι ελεύθεροι χώροι στην περιοχή της Αττικής γενικότερα, της πλέον επιβαρυμένης οικιστικά περιοχής της χώρας, απ’ το Λόφο του Στρέφη, μέχρι το Πεδίο του Άρεως, απ’ το κέντρο της Αθήνας που “αναπλάσσεται” ως παιδική χαρά του υψηλού τουρισμού πολυτελείας, μέχρι τις περιοχές που μας λένε ότι «αναβαθμίζονται απ’ το μετρό» και που όμως, ειδικά σε αυτές, επιτίθενται σαν τα “κοράκια” οι μεγάλοι όμιλοι και υποβαθμίζονται παραπέρα, ιδιωτικοποιούνται, αλλάζουν χρήσεις. Ίσως μεγαλύτερη απόδειξη στην περιοχή της Αττικής, για την διαχρονική υποκρισία όλων των αστικών δυνάμεων όταν μιλάμε για το περιβάλλον, είναι το παράδειγμα του Ελληνικού. Την ίδια ώρα που όλοι τάχα κλαίνε για την λεγόμενη “κλιματική κρίση” και για την επιβάρυνση στις ζωές των κατοίκων των πόλεων, μια κυριολεκτικά τεράστια ευκαιρία αλλαγής του μικροκλίματος της Αθήνας, μείωσης της θερμοκρασίας σε ώρες αιχμής στην Αττική,  τεράστιας βελτίωσης της ζωής των κατοίκων της πόλης θυσιάζεται στο βωμό της τεράστιας κερδοφορίας ενός πανάκριβου Real Estate. Προωθείται η τσιμεντοποίηση του, η κατασκευή ενός τεράστιου νέου οικισμού κατοικιών πολυτελείας, χιλιάδων τετραγωνικών μέτρων τσιμέντων.Τα βουνά της Αττικής, αντί να αποτελούν οργανωμένες περιοχές ανάπαυσης και αναψυχής για τα εργατικά λαϊκά στρώματα, μαραζώνουν. ",criticism,environment,other,-0.8,0,0,"[['tritsis park', 'location', '0.9'], ['athens', 'location', '0.9'], ['attica region', 'location', '0.9'], ['strefis hill', 'location', '0.9'], ['areos field', 'location', '0.9'], ['elliniko', 'location', '0.9'], ['real estate', 'organization', '0.8'], ['democratic party', 'political party', '0.6']]"
6,"An even more characteristic example is the onslaught of so-called ""green energy"" in all the mountains of our country, from Alexandroupolis to Crete, from Epirus to southern Laconia. Hundreds and thousands of huge wind turbines are springing up like mushrooms on the mountaintops, destroying forests and mountain ecosystems with the thousands of cubic meters of concrete needed, the thousands of kilometers of mountain roads that have to be opened, and the thousands of kilometers of new electric cables running through forests and settlements, literally destroying the environment. Now, the next target after the mountains, after the rocky islets, after the areas of immense cultural interest, the next target is the sea itself.","Ακόμα πιο χαρακτηριστικό παράδειγμα, η επέλαση της λεγόμενης “πράσινης ενέργειας” σε όλα τα βουνά της πατρίδας μας από την Αλεξανδρούπολη μέχρι την Κρήτη από την Ήπειρο μέχρι τη νότια Λακωνία. Εκατοντάδες, χιλιάδες τεράστιες ανεμογεννήτριες ξεφυτρώνουν σαν μανιτάρια πάνω στις κορυφές των βουνών καταστρέφοντας δάση, ορεινά οικοσυστήματα, με τις χιλιάδες κυβικά μέτρα μπετόν που χρειάζονται, τα χιλιάδες χιλιόμετρα ορεινών δρόμων που πρέπει να ανοιχτούν, τα χιλιάδες χιλιόμετρα νέων ηλεκτρικών καλωδίων που διατρέχουν δάση και οικισμούς, κυριολεκτικά καταστρέφοντας το περιβάλλον. Τώρα, επόμενος στόχος μετά τα βουνά, μετά τις βραχονησίδες, μετά τις περιοχές τεράστιου πολιτιστικού ενδιαφέροντος, επόμενος στόχος η ίδια η θάλασσα. ",criticism,energy,green energy,-0.8,0,0,"[['alexandroupolis', 'location', '0.7'], ['crete', 'location', '0.7'], ['epirus', 'location', '0.7'], ['laconia', 'location', '0.7']]"
7,"Respecting and protecting forests is another example. How environmentally friendly can a policy be that condemns hundreds of thousands of hectares of forest to charring year after year, and then promotes energy and tourism investments? There is no end to their hypocrisy in protecting the environment.","Ο σεβασμός και η προστασία των δασών είναι άλλο χαρακτηριστικό παράδειγμα. Αλήθεια, πόσο φιλική στο περιβάλλον μπορεί να είναι μια πολιτική που καταδικάζει χρόνο με το χρόνο σε απανθράκωση εκατοντάδες χιλιάδες στρέμματα δάσους και στα οποία στη συνέχεια εμφανίζονται ενεργειακές και τουριστικές επενδύσεις; Η υποκρισία τους για την προστασία του περιβάλλοντος δεν έχει τέλος. ",criticism,environment,other,-0.8,0.1,0,[]
8,"Supporters of the escalation of the NATO-Russia war in Ukraine, with its tragic consequences for human lives and the long-term destruction of the natural environment, are playing the role of sensitive environmentalists. The polluting American LNG, with its large negative environmental footprint, both during extraction, transport, and regasification, was dubbed ""green"" overnight!","Οι υποστηρικτές της κλιμάκωσης της πολεμικής σύγκρουσης του ΝΑΤΟ με την Ρωσία στην Ουκρανία, με τις τραγικές συνέπειες για τις ανθρώπινες ζωές και τη μακροχρόνια καταστροφή του φυσικού περιβάλλοντος υποδύονται τους ευαίσθητους οικολόγους. Το ρυπογόνο αμερικανικό LNG, με το μεγάλο αρνητικό αποτύπωμά του στο περιβάλλον, τόσο  κατά την εξόρυξη, όσο και κατά τη μεταφορά και την επαναεριοποίησή του, βαφτίστηκε σε μια νύχτα «πράσινο»! ",criticism,external affairs,,,0.2,0,"[['nato', 'organization', '0.7'], ['russia', 'country', '0.6'], ['ukraine', 'location', '0.6'], ['american lng', 'organization', '0.6']]"
9,"Nuclear power plants are hazardous due to their waste. The mining, separation, and polluting treatment of rare earths are also considered green. The hypocrisy of limiting carbon dioxide and greenhouse gases is evident when considering the double standards. If the European Union and urban governments truly aimed to limit emissions, they would not exclude large hydroelectric projects from renewable energy projects, as they produce cheap renewable energy. They would not prioritize natural gas as a strategic fuel, which produces carbon dioxide and has a negative impact on the environment when leaked. At the very least, they would limit energy waste from ultra-luxury hotels.","Το ίδιο και τα πυρηνικά εργοστάσια παραγωγής ενέργειας με τα επικίνδυνα απόβλητα. Πράσινη λένε είναι και η εξόρυξη, ο διαχωρισμός και η ρυπογόνα επεξεργασία των σπάνιων γαιών. Η υποκρισία του στόχου του τάχα περιορισμού του διοξειδίου του άνθρακα και των αερίων του θερμοκηπίου φαίνεται περίτρανα, αν σκεφτεί κανείς, πως υπάρχουν δύο μέτρα και δύο σταθμά.  Αν ήταν ο πραγματικός στόχος της Ευρωπαϊκής Ένωσης και των αστικών κυβερνήσεων αυτός δεν θα “έβγαζαν” τα μεγάλα υδροηλεκτρικά έργα από έργα ΑΠΕ που είναι, αφού μπορούν να παράγουν φθηνή ανανεώσιμη ενέργεια, δεν θα αναγόρευαν το φυσικό αέριο ως στρατηγικό καύσιμο, η καύση του οποίου παράγει διοξείδιο του άνθρακα, ενώ τυχόν διαρροές του, έχουν πολλαπλασιαστικά αρνητικό αποτέλεσμα στο περιβάλλον ή έστω, θα περιόριζαν τη σπατάλη ενέργειας απ’ τα τεράστια υπερπολυτελή ξενοδοχεία.",criticism,energy,green energy,-0.4,0.2,0,"[['nuclear power plants', 'organization', '0.75'], ['european union', 'organization', '0.75'], ['ultra-luxury hotels', 'location', '0.6']]"
10,"Unfortunately, capitalism is not ""green""; it is pitch black. It cannot reduce its negative impact on the environment. The reality is that capitalism perceives the environment solely as a field of profitability by its very nature. It uses the environment as raw material, as economic soil. That is why it can only destroy it. Industrial accidents, pollution, the relaxation of conditions for mining and tourist activities, and the concreting of every coastline to ensure profitability are proof of this.","Δυστυχώς όμως, ο καπιταλισμός δεν είναι «πράσινος», κατάμαυρος είναι. Ούτε μπορεί ποτέ να περιορίσει, την αρνητική αυτή επίδραση στο περιβάλλον. Η πραγματικότητα είναι ότι ο καπιταλισμός από τη φύση του αντιλαμβάνεται το περιβάλλον αποκλειστικά και μόνο σαν πεδίο κερδοφορίας. Χρησιμοποιεί το περιβάλλον σαν πρώτη ύλη, σαν οικονομικό έδαφος. Γι΄ αυτό και δεν μπορεί παρά να το καταστρέφει. Τα βιομηχανικά ατυχήματα, η ρύπανση, η χαλάρωση των όρων για μεταλλευτικές και τουριστικές δραστηριότητες, η τσιμεντοποίηση κάθε ακτής, προκειμένου να διασφαλιστεί η κερδοφορία του αποδεικνύουν του λόγου το αληθές.",criticism,environment,other,-0.8,0,0,"[['(capitalism', 'organization', '0.75)'], ['(environment', 'location', '0.75)']]"
