id,text,text_el,is_criticism,topic-context,subtopic-context,sentiment,polarization-definition,populism-definition,ner-limited
1,"Our message is being spread everywhere these days, in every popular neighborhood and district. Through door-to-door outreach and word of mouth, it is reaching more people so that our movement can become even stronger. We can succeed with an even stronger KKE, with the KKE present in every neighborhood, especially in the popular neighborhoods of Thessaloniki. We have said it, friends: let Toumba, Kalamaria, and other working-class neighborhoods and districts turn red again. And indeed, we have taken the first step. The KKE has seen increased support, with thousands of new votes, placing third, second, and even first in many electoral districts throughout Greece. It has become the third party in Toumba! Now we must do it again, take the next steps, and make the leap with an even stronger KKE, the only genuine, popular, and militant opposition. Now there are more conditions for more people to take the decisive step, to overcome fears, hesitations, and prejudices more massively. More people should go all the way with the KKE ballot paper in hand and throw it determinedly into the ballot box. Because now, even during the election period, more experience has been gained. It has been proven to everyone what the KKE has always said: that the three parties have a common, unpopular program and that they agree on the basic, key, strategic issues.","Το μήνυμα μας αυτές τις μέρες, μεταφέρεται παντού. Σε κάθε λαϊκή γειτονιά και συνοικία. Πόρτα- πόρτα, στόμα με στόμα, φθάνει σε πιο πολλούς ότι ο λαός μας μπορεί να βγει πιο δυνατός. Μπορούμε να καταφέρουμε. Με ακόμα πιο δυνατό το ΚΚΕ, με το ΚΚΕ πιο ψηλά παντού! Ειδικά στις λαϊκές γειτονιές της Θεσσαλονίκης! Και το είχαμε πει φίλες και φίλοι. Να κοκκινίσουν ξανά η Τούμπα, η Καλαμαριά, οι άλλες εργατογειτονιές και συνοικίες. Και όντως, κάναμε το πρώτο βήμα. Το ΚΚΕ βρέθηκε με αυξημένα τα ποσοστά του, με χιλιάδες νέες ψήφους στην 3η , 2η  ακόμα και στην 1η  θέση σε πολλά εκλογικά διαμερίσματα σε όλη την Ελλάδα. Βρέθηκε 3ο  κόμμα εδώ στην Τούμπα! Τώρα πρέπει να τα καταφέρουμε ξανά. Να γίνουν τα επόμενα βήματα, να κάνουμε το άλμα. Με ΚΚΕ ακόμα πιο δυνατό. Τη μόνη γνήσια, λαϊκή μαχητική αντιπολίτευση. 	Τώρα, υπάρχουν πιο πολλές προϋποθέσεις, ώστε να κάνουν πιο πολλοί το αποφασιστικό βήμα. Να ξεπεραστούν πιο μαζικά φόβοι, δισταγμοί, προκαταλήψεις. Να φτάσουν περισσότεροι μέχρι τέλους με το ψηφοδέλτιο του ΚΚΕ στο χέρι και να το ρίξουν αποφασισμένοι στην κάλπη. Γιατί τώρα προστέθηκε κι άλλη πείρα ακόμη και μέσα στην προεκλογική περίοδο. Αποδείχθηκε σε όλους πια, αυτό που έλεγε το ΚΚΕ, ότι τα τρία κόμματα, έχουν κοινό αντιλαϊκό πρόγραμμα, ότι συμφωνούν στα βασικά, καίρια, στρατηγικά ζητήματα.",political agenda,elections,working class,0.0,0.2,0.1,"[['thessaloniki', 'location', '1.0'], ['kke', 'organization', '1.0'], ['toumba', 'location', '0.9'], ['kalamaria', 'location', '0.8'], ['greece', 'country', '1.0']]"
2,"Now they cannot blackmail in the same way they did during the last election period. The ""government or no government"" dilemmas or the ""muff"" dilemma of a ""progressive"" government have all collapsed since May 21.",Τώρα δεν μπορούν να εκβιάσουν με τον ίδιο τρόπο που το έκαναν μέχρι την προηγούμενη προεκλογική περίοδο. Με τα διλήμματα περί “κυβέρνησης ή ακυβερνησίας” ή με το δίλημμα” μούφα” περί “προοδευτικής” κυβέρνησης. Όλα αυτά κατέρρευσαν στις 21 Μαΐου.,criticism,elections,coalition,0.2,0.2,0.0,"[['may 21', 'date', '1.0'], ['government', 'organization', '0.5'], ['progressive government', 'organization', '0.5']]"
3,"Now everyone knows in practice, not in words, that every vote for the KKE serves directly, from the very next day, in the struggle. Within the last ten days, it has been demonstrated in every corner of Greece, from Kalamia in Kozani to the Shipbuilding and Repair Zone in Perama, and from there to the defence of the people's homes from the claws of the funds. The rise in numbers and votes of the KKE has strengthened and fed new struggles that broke out immediately after the elections. The deputies and candidates of the KKE were there where the people needed them, in the front line, bravely, alongside the people, the workers, the working class. This is the only real opposition that our people need and need.","Τώρα, πλέον όλοι ξέρουν στην πράξη και όχι στα λόγια, ότι κάθε ψήφος στο ΚΚΕ, υπηρετεί άμεσα, από την επόμενη κιόλας μέρα, στον αγώνα. Μέσα στις τελευταίες δέκα μέρες αποδείχτηκε σε κάθε γωνιά της Ελλάδας, από την Καλαμιά Κοζάνης μέχρι τη Ναυπηγοεπισκευαστική Ζώνη στο Πέραμα, κι από εκεί στην υπεράσπιση των λαϊκών σπιτιών από τα κοράκια των funds. 	Η άνοδος σε ποσοστά και ψήφους του ΚΚΕ ενίσχυσε και τροφοδότησε νέους αγώνες που ξέσπασαν αμέσως μετά τις εκλογές. Οι βουλευτές και οι υποψήφιοι του ΚΚΕ ήταν εκεί, όπου τους χρειάστηκε ο λαός, στην πρώτη γραμμή, παλικαρίσια, δίπλα στο λαό, στους εργαζόμενους , στην εργατική τάξη. Αυτή είναι και η μόνη, πραγματική αντιπολίτευση που χρειάζεται και  έχει ανάγκη ο λαός μας.",political agenda,elections,other,0.3,0.0,0.1,"[['kke', 'organization', '1.0'], ['greece', 'location', '1.0'], ['kalamia', 'location', '0.9'], ['kozani', 'location', '0.9'], ['shipbuilding and repair zone', 'location', '0.9'], ['perama', 'location', '0.9'], ['funds', 'organization', '0.8']]"
4,"Because there are now specific facts that everyone must take into account when going to the ballot box. The government program of the ""next day,"" the new anti-people's government of the Southwest, is a given. It is clear and there is no room for misinterpretation. It has the signature of the Commission, the Recovery Fund, but also the American-NATO signatures. Their program includes everything that will make life even more difficult for the people. The firman from the EU talks about cutting spending and cutting even those meager mockery allowances, with whatever safety net they offered, to the very poor sections of the population; stopping subsidies on energy bills, which with the energy stock market will keep hitting red; freezing minimum wage increases due to seniority until at least 2029, living my May to eat clover, i.e., new taxes for the people to finance the investments of the few, because the tax base must be ""broadened"" as they say and at the same time there must be a tax system ""more friendly"" for investments, acceleration of auctions and other ""reforms"" such as the commercialization of education, the further commercialization of health care.","Γιατί πλέον υπάρχουν συγκεκριμένα δεδομένα που πρέπει να συνυπολογίσει ο καθένας πηγαίνοντας προς την κάλπη. Είναι δεδομένο το κυβερνητικό πρόγραμμα της «επόμενης ημέρας», της νέας αντιλαϊκής κυβέρνησης της ΝΔ. Είναι καθαρό και δεν χωρά παρερμηνείες. Έχει την υπογραφή της Κομισιόν, του Ταμείου Ανάκαμψης, αλλά και τις Αμερικανονατοϊκές υπογραφές. Το πρόγραμμά τους περιλαμβάνει όλα εκείνα που θα δυσκολέψουν ακόμα πιο πολύ τη ζωή του λαού. Γιατί το φιρμάνι από την ΕΕ μιλά για :περιορισμό δαπανών και περικοπή ακόμη και αυτών των πενιχρών επιδομάτων κοροϊδίας, με το όποιο δίχτυ προστασίας προσέφεραν, στα πολύ φτωχά τμήματα του πληθυσμού, διακοπή επιδοτήσεων στους λογαριασμούς ενέργειας, που με το χρηματιστήριο ενέργειας θα χτυπούν συνεχώς κόκκινο, πάγωμα των αυξήσεων στον κατώτατο μισθό λόγω προϋπηρεσίας μέχρι το 2029 τουλάχιστον, ζήσε Μάη μου να φας τριφύλλι, δηλαδή, νέους φόρους για το λαό για να χρηματοδοτηθούν οι επενδύσεις των λίγων, γιατί πρέπει να “διευρυνθεί η φορολογική βάση” όπως λένε και παράλληλα να υπάρχει φορλογικό σύστημα “πιο φιλικό” για επενδύσεις, επιτάχυνση των πλειστηριασμών και άλλων “μεταρρυθμίσεων” όπως η εμπορευματοποίηση της παιδείας, η παραπέρα εμπορευματοποίηση της υγείας",criticism,economy,austerity,-0.9,0.0,0.0,"[['southwest', 'organization', '0.60'], ['commission', 'organization', '0.60'], ['recovery fund', 'organization', '0.60'], ['american-nato', 'organization', '0.60'], ['eu', 'organization', '0.60'], ['2029', 'date', '0.60']]"
5,"And not only that, but we also have commitments from the US-NATO that impose greater involvement of our country in the war in Ukraine, as well as acceleration of the settlement in the Aegean Sea with a plan similar to ""Prespes"". And here in Macedonia, you know very well what this means.","Και δεν φτάνουν όλα αυτά, άλλα έχουμε και τις Αμερικανονατοϊκές δεσμεύσεις που επιβάλλουν και τη μεγαλύτερη εμπλοκή της χώρας μας στον πόλεμο στην Ουκρανία, αλλά και την επιτάχυνση της διευθέτησης στο Αιγαίο με σχέδιο αλά “Πρέσπες”. Και εδώ στη Μακεδονία, ξέρετε πολύ καλά τι σημαίνει αυτό. ",criticism,external affairs,other,-0.5,0.0,0.0,"[['us-nato', 'organization', '1.0'], ['ukraine', 'country', '1.0'], ['aegean sea', 'location', '1.0'], ['prespes', 'location', '1.0'], ['macedonia', 'location', '1.0']]"
6,"The results of the growth that the Southwest is promoting are a given, without any misinterpretation. It takes a lot of nerve, of course, to promote growth whose unit of measurement is now our dead. For years, all governments have imposed the rule of part-time employment to fill their pockets with profits. One-third of all workers now work part-time. For every 100 hires, we have 95 layoffs because the labor market is filled with 2-month, 3-month, 6-month, and 8-month contracts. A stable job is a pipe dream, especially for young people. For these few to record record increases in profits, the workers are recording record deaths and accidents at work. While people are laughing at the debate that is developing about the middle class, when the majority of Greeks have no more than 1,000 euros in savings. That is their growth. And already our people have paid dearly for it. That is why, friends, they need 'stability'. The stable continuation and implementation of all this is what the next ND government wants to ensure. This is why the KKE revealed from the very first moment that stability for capital means more instability and insecurity for the people.","Είναι δεδομένα επίσης, χωρίς παρερμηνείες τα αποτελέσματα της ανάπτυξης που διαφημίζει η ΝΔ. Θέλει πολύ θράσος βέβαια, να διαφημίζει μια ανάπτυξη που πλέον η μονάδα μέτρησής της, είναι οι νεκροί μας. Για να γεμίσουν από κέρδη οι τσέπες τους, επιβλήθηκε εδώ και χρόνια από όλες τις κυβερνήσεις η κυριαρχία της μερικής απασχόλησης. Το 1/3 των εργαζομένων πλέον δουλεύει με σχέσεις μερικής απασχόλησης. Για κάθε 100 προσλήψεις, έχουμε 95 απολύσεις, γιατί έχει γεμίσει η αγορά εργασίας με συμβάσεις 2μηνες, 3μηνες, 6μηνες και 8μηνες. Η σταθερή δουλειά είναι όνειρο απατηλό ειδικά για τους νέους. Για να καταγράφουν αυτοί οι λίγοι ρεκόρ αυξήσεων στα κέρδη, οι εργάτες μετρούν ρεκόρ θανάτων και εργατικών ατυχημάτων. Ενώ γελάει ο κόσμος για τη συζήτηση που αναπτύσσεται για τη μεσαία τάξη, όταν το μεγαλύτερο κομμάτι των Ελλήνων, δεν έχει καλά- καλά 1.000 ευρώ αποταμιευμένα. Αυτή είναι η ανάπτυξή τους. Και ήδη ο λαός μας την πλήρωσε πολύ ακριβά. Γι αυτό το λόγο , φίλες και φίλοι, χρειάζονται τη «σταθερότητα». Τη σταθερή συνέχεια και εφαρμογή όλων αυτών θέλει να εξασφαλίσει η επόμενη κυβέρνηση της ΝΔ. Γι αυτό και το ΚΚΕ αποκάλυψε από την πρώτη στιγμή ότι σταθερότητα για το κεφάλαιο, σημαίνει μεγαλύτερη αστάθεια και ανασφάλεια για το λαό. ",criticism,employment,workers' rights,-0.8,0.2,0.2,"[['southwest', 'location', '0.8'], ['governments', 'group of people', '0.6'], ['part-time employment', 'organization', '0.7'], ['workers', 'group of people', '0.7'], ['labor market', 'organization', '0.6'], ['young people', 'group of people', '0.6'], ['profits', 'organization', '0.6'], ['deaths', 'group of people', '0.6'], ['accidents at work', 'group of people', '0.6'], ['greeks', 'group of people', '0.6'], ['euros', 'date', '0.6'], ['nd government', 'organization', '0.7'], ['kke', 'political party', '0.6']]"
7,"But in the goal of achieving stability for capital, New Democracy, Syriza, and PASOK come together, regardless of what they say or, rather, what they don't say. But be careful, they don't just mean a stable government. They want a stable opposition even more, ready and available at any time to assist in difficult times and provide crucial votes to save the system. At the same time, they want an opposition capable of encapsulating and integrating people who are disillusioned each time by the unpopular government. Capital needs a government that will implement its goals, but it also needs an opposition that is ""consensual"" and ""systemic,"" an opposition that will ""back down"" on important and crucial issues and seek to secure the workers-people consensus in order to increase the profits of the few. Such an ""opposition"" has had and continues to have: Syriza and PASOK. These parties, which in the past four years voted for 50% and 70% of the laws of New Democracy, respectively, were calling for ministers in common with Mitsotakis. They valued social cohesion and called for submission and consensus at critical moments when our people were being tested and had to fight to save themselves!","Στο στόχο, όμως, αυτής της σταθερότητας για το κεφάλαιο, συναντιούνται και η ΝΔ και ο ΣΥΡΙΖΑ και το ΠΑΣΟΚ, ανεξάρτητα τι λένε,ή μάλλον τι δεν λένε. Όμως, προσέξτε, δεν εννοούν απλά σταθερή κυβέρνηση. Θέλουν ακόμη περισσότερο και μια σταθερή αντιπολίτευση. Έτοιμη, διαθέσιμη οποιαδήποτε στιγμή χρειαστεί για να συνδράμει στις δύσκολες στιγμές, να προσφέρει κρίσιμες ψήφους για να σώσει το σύστημα. Αλλά και ταυτόχρονα, αντιπολίτευση ικανή να εγκλωβίζει να ενσωματώνει κόσμο που απογοητεύεται, από την κάθε φορά αντιλαϊκή κυβέρνηση. Γιατί όση ανάγκη έχει το κεφάλαιο από μια κυβέρνηση που θα υλοποιεί τους στόχους του, άλλο τόσο έχει ανάγκη και από μια αντιπολίτευση “συναινετική”, “συστημική”, μια αντιπολίτευση που θα “βάζει πλάτη” στα σημαντικά και κρίσιμα, θα επιδιώκει να εξασφαλίζει την εργατική - λαϊκή συναίνεση για να αυξάνονται τα κέρδη των λίγων. 	Και τέτοια “αντιπολίτευση” είχε και έχει: Είναι ο ΣΥΡΙΖΑ και το ΠΑΣΟΚ. Τα κόμματα, που για να μην πάμε πολύ μακριά, τα τέσσερα προηγούμενα χρόνια,   ψήφισαν το 50% και το 70% των νόμων της ΝΔ αντίστοιχα. Ζητούσαν υπουργούς κοινής αποδοχής με τον Μητσοτάκη. Αποθέωναν την κοινωνική συνοχή και καλούσαν σε υποταγή και συναίνεση σε κρίσιμες στιγμές που ο λαός μας δοκιμαζόταν και έπρεπε να παλέψει για να σωθεί! ",criticism,other,other,-0.3,0.7,0.2,"[['new democracy', 'organization', '1.0'], ['syriza', 'political party', '1.0'], ['pasok', 'political party', '1.0'], ['new democracy', 'organization', '1.0'], ['syriza', 'political party', '1.0'], ['pasok', 'political party', '1.0'], ['government', 'organization', '0.9'], ['opposition', 'group of people', '1.0'], ['workers-people', 'group of people', '0.8'], ['syriza', 'political party', '1.0'], ['pasok', 'political party', '1.0'], ['new democracy', 'organization', '1.0'], ['mitsotakis', 'person', '0.6']]"
8,"But at the time when they were looking to determine the percentage of their agreement with Southwest, whether it be 50% or 70%, there was and still is a party that is 100% against it and its policies. A party that will exercise 100% popular, militant opposition! That party is the KKE.","Την ώρα όμως, που αυτοί έψαχναν σε τι ποσοστό τα βρίσκουν με τη ΝΔ, 50 ή 70%, υπήρχε και υπάρχει ένα κόμμα που είναι 100% απέναντι και σε αυτή και στην πολιτική της. Ένα Κόμμα που θα ασκήσει 100% λαϊκή, μαχητική αντιπολίτευση ! Το ΚΚΕ.",political agenda,other,coalition,,0.6,0.2,"[['southwest', 'organization', '0.5'], ['kke', 'political party', '1.0']]"
9,"With their policies and attitudes, both SYRIZA and PASOK gave enough time to the ND government and the rotten capitalist system to save themselves at the expense of the Greek people. They will do the same again because they agree with the strategic choices of capital and the EU. Not only that, but they have done something even worse. They have imposed, by their policies and attitudes, in the minds of many well-meaning, progressive people that there is no ""alternative"". They even pushed them to vote for New Democracy. Now, after decades of experience, neither PASOK nor SYRIZA have been able to give an answer from the point of view of the people's interests, either as a government or as an opposition. This was proven, moreover, by their governmental course when they passed memoranda one after the other, brought in new anti-people's measures, and co-governed with the Right: PASOK twice with ND, SYRIZA with ANEL, when known ""right-wingers"" easily joined their ballots, and when they supported all the directions of the EU, NATO, and so on. They proved it with the ""composable"" programs they submitted during the election, all serving the same strategic goals and their common choices. That is why, after all, the whole discussion before May 21 was about what composition and partnerships the next government could come up with, and not, of course, what it would implement and for whom. That is why PASOK was seen as available either with ND or with SYRIZA. And today it is again making itself available, based on statements by its executives, if ND fails to achieve self-reliance. And here we have another huge offer of SYRIZA to the system, one of many! It managed to rebrand PASOK as ""progressive"" with the well-known talk of a ""progressive"" government. The PASOK that was rightly spat upon by our people in 2012. The PASOK of the riot police, of the unpopular laws of ""modernisation"", of the bloody growth targets, of the euro and of the Olympiad that the people paid for in gold. The PASOK of memoranda, of cut wages and pensions, of the country's involvement in the war in Yugoslavia, Iraq, and so many others, of the surrender of Ocalan. It is this PASOK that SYRIZA has managed to baptize and re-launder as ""progressive"". Laundry contractor by Mr Tsipras and his party. SYRIZA and PASOK will, in fact, occupy the ""opposition ministries"" in the next unpopular government of ND.","Με την πολιτική τους και τη στάση τους και ο ΣΥΡΙΖΑ και το ΠΑΣΟΚ έδωσαν αρκετό χρόνο στην κυβέρνηση της ΝΔ και στο σάπιο καπιταλιστικό σύστημα για να σωθούν αυτοί, σε βάρος του ελληνικού λαού. Το ίδιο θα ξανακάνουν, γιατί συμφωνούν στις στρατηγικές επιλογές του κεφαλαίου και της ΕΕ. 	Και όχι μόνο αυτό, αλλά έκαναν και κάτι ακόμα χειρότερο. Επέβαλαν - με την πολιτική τους και τη στάση τους - στο μυαλό πολλών, καλοπροαίρετων, προοδευτικών ανθρώπων, ότι δεν υπάρχει «εναλλακτική». Τους έσπρωξαν έτσι, ακόμη και στην ψήφο προς τη ΝΔ. Πλέον υπάρχει πείρα δεκαετιών. Ούτε το ΠΑΣΟΚ, ούτε ο ΣΥΡΙΖΑ, μπόρεσαν να δώσουν απάντηση από τη σκοπιά των λαϊκών συμφερόντων, είτε σαν κυβέρνηση, είτε σαν αντιπολίτευση. Το απέδειξε, άλλωστε, και η κυβερνητική τους πορεία όταν ψήφισαν τα μνημόνια το ένα μετά το άλλο, όταν έφεραν νέα αντιλαϊκά μέτρα, όταν συγκυβέρνησαν με τη Δεξιά: το ΠΑΣΟΚ δύο φορές με τη ΝΔ, ο ΣΥΡΙΖΑ με τους ΑΝΕΛ, όταν με ευκολία πλαισίωναν τα ψηφοδέλτιά τους γνωστοί “δεξιοί”, όταν στήριξαν όλες τις κατευθύνσεις της ΕΕ, του ΝΑΤΟ και τόσα άλλα.Το απέδειξαν, τα «συνθέσιμα» προγράμματα που κατέθεσαν προεκλογικά και όλα υπηρετούσαν τους ίδιους στρατηγικούς στόχους και τις κοινές τους επιλογές. Γι’ αυτό, άλλωστε, όλη η συζήτηση πριν τις 21 Μαΐου ήταν με ποια σύνθεση και ποιες συνεργασίες θα μπορεί να προκύψει η επόμενη κυβέρνηση και όχι φυσικά τι θα υλοποιήσει και για ποιον. Γι’ αυτό το ΠΑΣΟΚ φιγούραρε ως διαθέσιμο είτε με ΝΔ είτε με ΣΥΡΙΖΑ. Και σήμερα πάλι ξαναδηλώνει διαθέσιμο, με βάση δηλώσεις στελεχών του, αν η ΝΔ δεν καταφέρει να βγάλει αυτοδυναμία. Κι εδώ έχουμε ακόμη μια τεράστια προσφορά του ΣΥΡΙΖΑ στο σύστημα, από τις πολλές! Κατάφερε να αναβαπτίσει το ΠΑΣΟΚ ως “προοδευτικό” με τη γνωστή συζήτηση περί “προοδευτικής” κυβέρνησης. Το ΠΑΣΟΚ που σωστά το έφτυσε το 2012 ο λαός μας. Το ΠΑΣΟΚ των ΜΑΤ, των αντιλαϊκών νόμων του “εκσυγχρονισμού”, των ματωμένων στόχων ανάπτυξης, του ευρώ και της Ολυμπιάδας που χρυσοπλήρωσε ο λαός. Το ΠΑΣΟΚ των μνημονίων, των κομμένων μισθών και συντάξεων, της πολεμικής εμπλοκής της χώρας στον πόλεμο της Γιουγκοσλαβίας, του Ιρακ και τόσους άλλους, της παράδοσης του Οτσαλάν. Αυτό το ΠΑΣΟΚ κατάφερε ο ΣΥΡΙΖΑ να το βαφτίζει και να το ξεπλένει ξανά ως “προοδευτικό”. Εργολαβία πλυντηρίων από τον κ. Τσίπρα και το κόμμα του. Ο ΣΥΡΙΖΑ και το ΠΑΣΟΚ στην πραγματικότητα θα καταλάβουν τα “υπουργεία αντιπολίτευσης” στην επόμενη αντιλαϊκή κυβέρνηση της ΝΔ. ",criticism,elections,coalition,-0.8,0.9,0.0,"[['syriza', 'political party', '1.0'], ['pasok', 'political party', '1.0'], ['nd', 'political party', '0.9'], ['greek', 'country', '1.0'], ['eu', 'organization', '1.0'], ['nato', 'organization', '1.0'], ['may 21', 'date', '1.0'], ['2012', 'date', '1.0'], ['yugoslavia', 'location', '1.0'], ['iraq', 'location', '1.0'], ['ocalan', 'person', '1.0'], ['mr tsipras', 'person', '1.0']]"
10,"See now, for a week they have been discussing - supposedly - taxation. They bring it here, they take it there. They mix up the numbers, they fudge the numbers, nobody understands in the end what they're saying. But they do not do it by accident. They want to hide their big deal on the basics. Who will pay all those taxes and who will be out of the loop? That's why none of them dare say and touch the two numbers that are the whole truth of their tax policy: 95 - 5. 95% of the taxes are paid by the people, 5% are paid by big business. That is why no one dares to say a peep about the 'voluntary' tax on shipowners. That is why none of them open their mouths to utter a single word about tax deferral on banks.","Δείτε τώρα εδώ και μια εβδομάδα συζητούν – υποτίθεται - για την φορολογία. Το φέρνουν από εδώ, το πάνε από εκεί. Μπερδεύουν τα νούμερα, κάνουν σαρδάμ, κανείς δεν καταλαβαίνει στο τέλος τι λένε. Δεν το κάνουν όμως τυχαία. Θέλουν να κρύψουν τη μεγάλη τους συμφωνία για το βασικό. Ποιος θα πληρώνει όλους αυτούς τους φόρους και ποιος θα είναι στο απυρόβλητο. Γι αυτό κανείς τους δεν τολμά να πει και να αγγίξει τα δύο νούμερα που είναι όλη η αλήθεια της φορολογικής τους πολιτικής: 95 - 5. 95% των φόρων πληρώνει ο λαός, 5% πληρώνει το μεγάλο κεφάλαιο. Γι αυτό κανείς δεν τολμά να πει τσιμουδιά για την “εθελοντική” φορολογία στους εφοπλιστές. Γι αυτό κανείς τους δεν ανοίγει το στόμα του να ψελίσει έστω κάτι για την αναβολή φόρου στις τράπεζες.",criticism,economy,other,-0.6,0.2,0.5,"[['nobody', 'person', '0.6'], ['95', 'number', '0.6'], ['5', 'number', '0.6']]"
