id,text,text_el,is_criticism,topic-context,subtopic-context,sentiment,polarization-definition,populism-definition,ner-limited
1,"Friends, comrades, and from here in Volos, the capital of Magnesia, we want our message to be heard loud and clear: What matters on June 25th is how strong the KKE will be so that the people can be strong! Only the KKE can consistently, stably, and militantly oppose the next government of the Southwest and its unpopular policies from the perspective of the people's interests. Only the KKE has exercised such opposition, both inside and outside Parliament, during the previous government of the Southwest, when SYRIZA voted for 50% of the Southwest's bills and PASOK voted for 70%. In the May 21st elections, a step was taken. With 7.23% and 26 communist deputies, and with the election of KKE deputies in more regions, such as here in Magnesia. This positive step can be followed by many more, with an even stronger KKE!","Φίλες και φίλοι, συντρόφισσες και σύντροφοι, και από εδώ από τον Βόλο, την πρωτεύουσα της Μαγνησίας, θέλουμε να ακουστεί δυνατά το μήνυμά μας: Αυτό που μετράει στις 25 Ιουνίου είναι το πόσο δυνατό θα είναι το ΚΚΕ για να είναι δυνατός ο λαός! Γιατί μόνο το ΚΚΕ μπορεί να ασκήσει αντιπολίτευση στην επόμενη κυβέρνηση της ΝΔ και στην αντιλαϊκή της πολιτική, από τη σκοπιά των λαϊκών συμφερόντων με συνέπεια, σταθερότητα και μαχητικότητα. Γιατί μόνο το ΚΚΕ άσκησε τέτοια αντιπολίτευση, μέσα κι έξω από τη Βουλή, στην προηγούμενη κυβερνητική θητεία της ΝΔ, όταν ο ΣΥΡΙΖΑ ψήφιζε το 50% των νομοσχεδίων της ΝΔ και το ΠΑΣΟΚ ψήφιζε αντίστοιχα το 70%. Στις εκλογές της 21ης Μαΐου, έγινε ένα βήμα. Με το 7,23% και τους 26 κομμουνιστές βουλευτές, με την εκλογή βουλευτών του ΚΚΕ σε περισσότερες περιφέρειες, όπως και εδώ στη Μαγνησία. Αυτό το θετικό βήμα μπορούν να το ακολουθήσουν πολλά περισσότερα, με ακόμα πιο δυνατό ΚΚΕ! ",political agenda,other,other,0.6,0.1,0.3,"[['volos', 'location', '1.0'], ['magnesia', 'location', '1.0'], ['kke', 'organization', '1.0'], ['southwest', 'location', '0.9'], ['syriza', 'political party', '0.9'], ['pasok', 'political party', '0.9'], ['may 21st', 'date', '1.0']]"
2,"There is no doubt that the next ND government will escalate the policy against the people to serve the interests of big business groups with the consent of SYRIZA and PASOK. The question is how we, the workers, the people, the young people, and the young women, will deal with them. Will we accept new unpopular measures, the 350 preconditions that must be passed by 2026 to disburse the instalments of the famous EU Recovery Fund? Are we going to pay again for their loans and the hot money that the conglomerates will get for their business? Will we accept to pay the bill again for a new economic capitalist crisis? Are we going to put up with new taxes and cuts in the name of 'fiscal stability' imposed by the EU? Yes, taxing the people to tax big business is their common agenda. It is provocative that we are witnessing alleged bickering these days between the parties that have governed and have given too many credentials in this area as well. Because all together, South-West-Syrizia-PASOK, for the last 15 years, they have skinned the people with their taxes and their memorandum laws. They all implemented unfair laws, such as the ENFIA, which SYRIZA was supposedly going to abolish. SYRIZA's government raised VAT rates, and the ND government is keeping them high despite inflation. They all voted for and implemented budgets whereby the people consistently pay 95% of the taxes and big business under 5%. They voted for the voluntary taxation of the shipowners, alongside their more than 50 tax exemptions and their tax exemption, which is enshrined in the Constitution, and of course, they refused the KKE's proposal to abolish it. They applied - ND in 2014 and SYRIZA in 2017 - the patent of the ""deferred tax"" that gives tax exemption to banks, which last year alone had profits of more than 3 billion euros. They reduced the tax on shareholder dividends, SYRIZA from 15% to 10% and ND from 10% to 5%.","Δεν υπάρχει αμφιβολία πως η επόμενη κυβέρνηση της ΝΔ προφανώς θα κλιμακώσει την πολιτική ενάντια στον λαό για να υπηρετήσει τα συμφέροντα των μεγάλων επιχειρηματικών ομίλων με τη συναίνεση του ΣΥΡΙΖΑ και του ΠΑΣΟΚ. Το ερώτημα είναι εμείς, οι εργαζόμενοι, ο λαός, οι νέοι και οι νέες πώς θα τους αντιμετωπίσουμε; Θα αποδεχτούμε νέα αντιλαϊκά μέτρα, τα 350 προαπαιτούμενα που πρέπει να ψηφιστούν μέχρι το 2026, για να εκταμιεύονται οι δόσεις του περίφημου Ταμείου Ανάκαμψης της ΕΕ; Θα πληρώσουμε ξανά εμείς τα δάνειά τους και το ζεστό χρήμα που θα πάρουν οι όμιλοι για τις μπίζνες τους; Θα αποδεχτούμε να ξαναπληρώσουμε τα σπασμένα μιας νέας οικονομικής καπιταλιστικής κρίσης; Θα ανεχτούμε νέα φοροληστεία, περικοπές στο όνομα της «δημοσιονομικής σταθερότητας» που επιβάλλει η ΕΕ; Ναι, η φοροληστεία του λαού για να φοροαπαλλάσεται το μεγάλο κεφάλαιο είναι το κοινό τους πρόγραμμα. Και είναι προκλητικός ο δήθεν τσακωμός που παρακολουθούμε αυτές τις μέρες ανάμεσα στα κόμματα που έχουν κυβερνήσει και έχουν δώσει πάρα πολλά διαπιστευτήρια και σε αυτόν τον τομέα. Γιατί όλοι μαζί, ΝΔ-ΣΥΡΙΖΑ-ΠΑΣΟΚ, τα τελευταία 15 χρόνια: Έγδαραν τον λαό με τους φόρους και τους μνημονιακούς νόμους. Όλοι τους εφάρμοσαν άδικους νόμους, όπως ο ΕΝΦΙΑ, που ο ΣΥΡΙΖΑ δήθεν θα καταργούσε. Η κυβέρνηση του ΣΥΡΙΖΑ αύξησε τους συντελεστές του ΦΠΑ και η κυβέρνηση της ΝΔ τους διατηρεί στα ύψη παρά τον πληθωρισμό. Όλοι τους ψήφισαν και εφάρμοσαν τους προϋπολογισμούς σύμφωνα με τους οποίους ο λαός πληρώνει σταθερά το 95% των φόρων και το μεγάλο κεφάλαιο κάτω από το 5%. Ψήφισαν την εθελοντική, φορολόγηση των εφοπλιστών, πλάι στις 50 και πλέον φοροαπαλλαγές τους και τη φοροασυλία τους που είναι κατοχυρωμένη μέχρι και στο Σύνταγμα και φυσικά αρνήθηκαν την πρόταση του ΚΚΕ για κατάργησή της. Εφάρμοσαν -η ΝΔ το 2014 και ο ΣΥΡΙΖΑ το 2017- την πατέντα του «αναβαλλόμενου φόρου» που δίνει φοροασυλία στις τράπεζες, οι οποίες μόνο πέρυσι είχαν κέρδη πάνω από 3 δισ. ευρώ. Μείωσαν τη φορολογία στα μερίσματα των μετόχων, ο ΣΥΡΙΖΑ από το 15% στο 10% και η ΝΔ από το 10% στο 5%.",criticism,economy,tax cuts,-1.0,0.75,0.9,"[['nd', 'organization', '1.0'], ['syriza', 'political party', '1.0'], ['pasok', 'political party', '1.0'], ['eu', 'organization', '1.0'], ['south-west', 'group of people', '0.5'], ['workers', 'group of people', '0.9'], ['young people', 'group of people', '0.9'], ['young women', 'group of people', '0.7'], ['greece', 'country', '1.0'], ['enfia', 'organization', '0.4'], ['vat', 'organization', '0.6'], ['kke', 'organization', '1.0']]"
3,"They shaped the regime of ""special taxes"" on electricity and ""energy products"", which they jointly perpetuated with their votes in Parliament last July. This year, in the European Parliament, they voted for new 'green' taxes.","Χώρια που έχουν διαμορφώσει το καθεστώς των «ειδικών φόρων» στο ηλεκτρικό ρεύμα και στα «ενεργειακά προϊόντα». Καθεστώς που από κοινού μονιμοποίησαν με τις ψήφους τους στη Βουλή τον περασμένο Ιούλη, ενώ φέτος στο Ευρωκοινοβούλιο ψήφισαν και νέα «πράσινα» χαράτσια.",criticism,environment,electricity,0.0,0.2,0.0,"[['parliament', 'organization', '0.75'], ['july', 'date', '0.5'], ['european parliament', 'organization', '0.75']]"
4,"And, of course, they all rejected the amendments of the KKE: the abolition of unjust indirect taxes, VAT on food and consumer goods, Special Consumption Taxes on fuel, electricity, water supply, and telecommunications, ENFIA on first and second homes. And now they are arguing, ostensibly, about who is and who is not on board with the taxes? Have mercy! Even mockery has its limits. Things are simple: All of them are with taxes on the people, and all of them are against taxes on business groups to support competitiveness, which is their common goal. That's why it's really laughable to see ND trying to present itself as the ""anti-tax"" party. Who? ND, who under their watch, we have had ""record"" indirect taxes for two years in a row. It is also to be laughed at the attempt by SYRIZA and PASOK to present themselves as the advocates of ""fairer"" taxation. SYRIZA, which otherwise boasts about the 37 billion left as a ""cushion"" from the savage taxing of the people and which says it has the know-how to do it again now that the bloody surpluses are coming back. And PASOK, which dumped a sackful of taxes on the people as government and opposition and voted for every possible and unlikely tax break for capital. No ""hidden agenda"" of taxation, then. Continuing to tax the people is a given, based on their joint commitments to the profits of the business groups. And let's drop the mockery of the so-called ""excess profits"" of 7-8 companies that SYRIZA and PASOK will allegedly tax or that ND has allegedly already taxed. They talk about 7 companies to leave out of the discussion the profits of the 150 listed business groups that increased their profits by 303% last year. So the conclusion is one, to relieve the people of taxes, the prerequisite is that big business loses. And the pie whole and the dog full can't be done. But this is not something that the New Democracy government will do voluntarily, nor will SYRIZA and PASOK push it in this direction, since they all guard the profits of capital like the apple of their eye. Only the people, with their struggles, their movement, and an even stronger KKE can and will impose this!","Και, βέβαια, όλοι μαζί απέρριψαν τις τροπολογίες του ΚΚΕ: Για κατάργηση των άδικων έμμεσων φόρων, του ΦΠΑ στα τρόφιμα και στα είδη λαϊκής κατανάλωσης, των Ειδικών Φόρων Κατανάλωσης στα καύσιμα, στο ηλεκτρικό ρεύμα, στην ύδρευση και τις τηλεπικοινωνίες, του ΕΝΦΙΑ στην πρώτη και δεύτερη κατοικία. Και τώρα μαλώνουν, δήθεν, για το ποιος είναι και ποιος δεν είναι με τους φόρους; Έλεος πια! Έχει και η κοροϊδία τα όριά της. Τα πράγματα είναι απλά: Όλοι τους είναι με τους φόρους στον λαό και όλοι τους είναι ενάντια στους φόρους στους επιχειρηματικούς ομίλους, για να στηριχθεί η ανταγωνιστικότητα, που είναι κοινός τους στόχος. Γι' αυτό και είναι πραγματικά να γελάει κανείς με την προσπάθεια της ΝΔ να παρουσιαστεί ως το «αντιφορολογικό» κόμμα. Ποιος; Η ΝΔ, που επί ημερών της έχουμε «ρεκόρ» έμμεσων φόρων επί δύο χρόνια σερί. Είναι να γελάει κανείς και με την προσπάθεια ΣΥΡΙΖΑ και ΠΑΣΟΚ να παρουσιαστούν ως θιασώτες της «πιο δίκαιης» φορολογίας. Ο ΣΥΡΙΖΑ, που κατά τα άλλα καμαρώνει για τα 37 δισ. που άφησε «μαξιλάρι» από την άγρια φοροληστεία του λαού και που λέει ότι έχει το knowhow για να το ξανακάνει τώρα που επανέρχονται τα ματωμένα πλεονάσματα. Και το ΠΑΣΟΚ που φόρτωσε στον λαό ένα τσουβάλι φόρους ως κυβέρνηση και ως αντιπολίτευση και ψήφισε κάθε πιθανή και απίθανη φοροαπαλλαγή του κεφαλαίου. Καμία «κρυφή ατζέντα» φορολόγησης δεν υπάρχει, λοιπόν. Η συνέχιση της φοροληστείας στον λαό είναι δεδομένη, με βάση τις κοινές τους δεσμεύσεις που αφορούν τα κέρδη των επιχειρηματικών ομίλων. Και ας αφήσουν την κοροϊδία με τα λεγόμενα «υπερκέρδη» 7-8 εταιρειών που, δήθεν, θα φορολογήσει ο ΣΥΡΙΖΑ και το ΠΑΣΟΚ ή που, δήθεν, έχει ήδη φορολογήσει η ΝΔ. Μιλάνε για 7 εταιρείες για να αφήσουν εκτός συζήτησης τα κέρδη των 150 εισηγμένων στο χρηματιστήριο επιχειρηματικών ομίλων, που αύξησαν πέρυσι τα κέρδη τους κατά 303%. Γι’ αυτό, λοιπόν, το συμπέρασμα είναι ένα, για να ανακουφιστεί ο λαός από τους φόρους, προϋπόθεση είναι να χάσει το μεγάλο κεφάλαιο. Και η πίτα ολάκερη και ο σκύλος χορτάτος, δεν γίνεται. Αυτό, όμως, δεν πρόκειται ούτε να το κάνει εθελοντικά η κυβέρνηση της ΝΔ, ούτε πρόκειται να την πιέσουν σε αυτή την κατεύθυνση ο ΣΥΡΙΖΑ και το ΠΑΣΟΚ, αφού όλοι τους φυλάνε τα κέρδη του κεφαλαίου σαν κόρη οφθαλμού. Μόνο ο λαός, με τους αγώνες του, το κίνημά του και ένα ακόμα πιο δυνατό ΚΚΕ μπορεί να το επιβάλει αυτό και θα το επιβάλει!",criticism,other,other,-0.8,0.8,0.2,"[['kke', 'organization', '1.0'], ['nd', 'political party', '1.0'], ['syriza', 'political party', '1.0'], ['pasok', 'political party', '1.0'], ['greece', 'country', '1.0'], ['150', 'group of people', '0.6'], ['kke', 'political party', '0.5'], ['enfia', 'organization', '0.4'], ['vat', 'organization', '0.4']]"
5,"Friends, companions, and comrades, their common program is not limited to taxes. It has more. An important part of it is the EU's strategy for the so-called ""green transition,"" which, with a lot of ""greenwashing"" and environmental sensitivity, has baptized methane as ""natural gas"" and brought it to the top of the energy production mix in our country, even though there are no domestic sources until now. This is where the plans for the installation of the LNG (liquefied natural gas) terminal at the port of Volos come in, plans that have rightly stirred up the people of the city.","Φίλες και φίλοι, συντρόφισσες και σύντροφοι, το κοινό τους πρόγραμμα δεν περιορίζεται στους φόρους. Έχει κι άλλα. Σημαντικό μέρος του είναι η στρατηγική της ΕΕ για τη λεγόμενη «πράσινη μετάβαση» που από την πολλή «πρασινάδα» και την πολλή ευαισθησία για το περιβάλλον έχει βαφτίσει «φυσικό αέριο» το μεθάνιο και το έχει φέρει πρώτο στο μείγμα παραγωγής ενέργειας στη χώρα μας, παρόλο που -μέχρι σήμερα- δεν υπάρχουν τέτοιες εγχώριες πηγές. Εκεί εντάσσονται τα σχέδια για την εγκατάσταση του τερματικού σταθμού LNG, υγροποιημένου φυσικού αερίου, στο λιμάνι του Βόλου, σχέδια τα οποία έχουν ξεσηκώσει δικαιολογημένα το λαό της πόλης. ",political agenda,other,green energy,-0.6,0.2,0.0,"[['eu', 'organization', '0.9'], ['volos', 'location', '1.0'], ['lng', 'organization', '0.8']]"
6,"The supporters' statements that the LNG investment will bring hundreds of jobs are the ""bait"" to accept a facility from which the only winners are the US monopolies and shipowners, especially the Greeks who own a large percentage of the world's LNG carriers. The installation of the LNG terminal is in the interest of the US, which wants to win the energy war against Russia in the Balkans and Europe by displacing Russian gas. This plan is also supported by the Greek ruling class, which participates in the energy war on the side of NATO to improve its position and at the same time implements the guidelines of the EU's ""green transition"" in pursuit of maximum profit.","Οι δηλώσεις των υποστηρικτών της, ότι η επένδυση LNG θα φέρει εκατοντάδες θέσεις εργασίας, είναι το «δόλωμα» για να αποδεχτούν μια εγκατάσταση, από την οποία οι μόνοι που θα βγουν κερδισμένοι είναι τα αμερικάνικα μονοπώλια και οι εφοπλιστές, ιδιαίτερα οι Έλληνες, που κατέχουν ένα μεγάλο ποσοστό των πλοίων μεταφοράς υγροποιημένου αερίου παγκοσμίως. Για την εγκατάσταση του τερματικού σταθμού LNG ενδιαφέρονται οι ΗΠΑ που θέλουν να κερδίσουν τον ενεργειακό πόλεμο απέναντι στη Ρωσία, στα Βαλκάνια και στην Ευρώπη, εκτοπίζοντας το ρωσικό φυσικό αέριο. Αυτό το σχέδιο στηρίζει και η ελληνική άρχουσα τάξη, που συμμετέχει στον ενεργειακό πόλεμο στο πλευρό του ΝΑΤΟ για να αναβαθμίσει τη θέση της και ταυτόχρονα υλοποιεί τις κατευθύνσεις της «πράσινης μετάβασης» της ΕΕ κυνηγώντας το μέγιστο κέρδος.",criticism,energy,natural gas,-0.6,0.5,0.0,[]
7,"But what do the people of the region have to gain? Why should they bear the multiple risks of this investment? Risks that are real, not hypothetical. It is no coincidence that LNG facilities are subject to the European directive concerning large-scale industrial accidents, while what is envisaged is for the company itself to control itself. It is no stranger to major similar accidents in the USA and Norway. The risks of transporting LNG by tanker are known, as are the risks of pollution. The European Commission itself recognises that methane leakage from LNG facilities is a much more potent climate pollutant than carbon dioxide. The negative effects on the marine environment and wetlands are also known. So why should the people bear these risks? Why should we risk mourning the loss of new reservoirs? Will the current capitalist state guarantee our safety? We know this state very well. We know that it appears incapable of meeting our needs precisely because it is too capable of serving big capital. The people of Magnesia have learned this from the good and the bad, in the floods in Almyros and Anchialos in 2020, in the inability to clear the forests and ensure firebreaks, and in the rudimentary existence of the Labour Inspectorate.","Τι έχει να κερδίσει όμως ο λαός της περιοχής; Γιατί να επωμιστεί τους πολλαπλούς κινδύνους της συγκεκριμένης επένδυσης; Κινδύνους πραγματικούς και όχι υποθετικούς. Δεν είναι τυχαίο ότι οι εγκαταστάσεις LNG υπάγονται στην ευρωπαϊκή οδηγία που αφορά τα βιομηχανικά ατυχήματα μεγάλης έκτασης, ενώ αυτό που προβλέπεται είναι η ίδια η εταιρία να ελέγχει τον εαυτό της. Δεν είναι άγνωστα τα μεγάλα παρόμοια ατυχήματα στις ΗΠΑ, στη Νορβηγία. Γνωστοί είναι οι κίνδυνοι από τη μεταφορά με δεξαμενόπλοια του LNG, γνωστοί και οι κίνδυνοι ρύπανσης. Η ίδια η ευρωπαϊκή επιτροπή αναγνωρίζει ότι η διαρροή μεθανίου στις εγκαταστάσεις LNG συνιστά ένα πολύ πιο ισχυρό κλιματικό ρύπο απ’ το διοξείδιο του άνθρακα. Γνωστές είναι και οι αρνητικές συνέπειες στο θαλάσσιο περιβάλλον, στους υδροβιότοπους. Γιατί, λοιπόν, να επωμιστεί ο λαός αυτούς τους κινδύνους; Γιατί να διακινδυνεύσουμε να θρηνήσουμε νέα Τέμπη; Μήπως θα εγγυηθεί την ασφάλειά μας το σημερινό κράτος του κεφαλαίου; Το ξέρουμε πολύ καλά αυτό το κράτος. Ξέρουμε ότι εμφανίζεται ανίκανο να ανταποκριθεί στις ανάγκες μας, ακριβώς γιατί είναι πολύ ικανό να υπηρετεί το μεγάλο κεφάλαιο. Το έμαθε ο λαός της Μαγνησίας απ’ την καλή και απ’ την ανάποδη, στις πλημμύρες στον Αλμυρό και στην Αγχίαλο το 2020, στην αδυναμία να καθαριστούν τα δάση και να διασφαλιστούν οι αντιπυρικές ζώνες, στην υποτυπώδη ύπαρξη της Επιθεώρησης Εργασίας.",political agenda,other,other,-0.7,0.1,0.0,"[['european commission', 'organization', '1.0'], ['usa', 'country', '1.0'], ['norway', 'country', '1.0'], ['marine environment', 'location', '1.0'], ['wetlands', 'location', '1.0'], ['magnesia', 'location', '1.0'], ['almyros', 'location', '1.0'], ['anchialos', 'location', '1.0'], ['labour inspectorate', 'organization', '1.0'], ['2020', 'date', '1.0']]"
8,"It is a great mockery of logic to say that if the LNG terminal is built in Magnesia, the people of Magnesia will have cheaper gas. Natural gas is a marketable commodity with an international price that is reflected on the Amsterdam Stock Exchange. Furthermore, the people of Attica, who are located next to the Revithoussa terminal, do not have a cheaper price for natural gas. But is it worth taking a risk because we will all benefit from the European Union's 'green growth'? Remember, as far back as the 1990s, we were told that once the EU strategy was implemented, the 'liberalisation' of the energy market would ensure cheap electricity for the people and plenty of well-paid jobs. Then we were assured that the 'green transition' investments would protect the environment and that there was a need to move quickly on the de-lignification process. In other words, we should bury a cheap source of energy production, which is abundant in our country, instead of using it with much stricter and modern environmental protection measures.","Είναι μεγάλη κοροϊδία η λογική που λέει ότι αν κατασκευαστεί το τερματικό LNG στη Μαγνησία θα έχει ο λαός της πιο φθηνό φυσικό αέριο. Το φυσικό αέριο είναι χρηματιστηριακό προϊόν με διεθνή τιμή που αποτυπώνεται στο Χρηματιστήριο του Άμστερνταμ. Άλλωστε δεν έχουν φθηνότερη τιμή στο φυσικό αέριο οι κάτοικοι της Αττικής που βρίσκονται δίπλα στον τερματικό σταθμό της Ρεβυθούσας. Μήπως όμως αξίζει να διακινδυνεύσουμε γιατί τάχα θα κερδίσουμε όλοι απ’ την «πράσινη ανάπτυξη» της Ευρωπαϊκής Ένωσης; Θυμηθείτε. Ήδη απ’ τη δεκαετία του ’90 μας έλεγαν ότι μόλις υλοποιηθεί η στρατηγική της ΕΕ, η «απελευθέρωση» της αγοράς ενέργειας, θα διασφαλίσει φθηνό ρεύμα για το λαό και άφθονες καλοπληρωμένες θέσεις εργασίας. Μετά μας διαβεβαίωσαν ότι οι επενδύσεις της «πράσινης μετάβασης» θα προστατεύσουν το περιβάλλον και ότι είναι ανάγκη να προχωρήσει γρήγορα η απολιγνιτοποίηση. Να θάψουμε, δηλαδή, μια φθηνή πηγή παραγωγής ενέργειας, που υπάρχει σε αφθονία στη χώρα μας, αντί να την αξιοποιήσουμε με πολύ πιο αυστηρά και σύγχρονα μέτρα προστασίας του περιβάλλοντος.",criticism,environment,natural gas,-0.8,0.1,0.0,"[['magnesia', 'location', '0.9'], ['attica', 'location', '0.9'], ['revithoussa', 'location', '0.5'], ['european union', 'organization', '0.8'], ['1990s', 'date', '0.6']]"
9,"Now we can unfortunately answer who was deceiving the people and who was telling the truth because the KKE warned from the very first moment about the real aims of this strategy and stepped forward to organize the workers' resistance. The ""gifts"" that its implementation brought to the people are now known to all, and they are not limited to the unemployment and poverty that is breaking bones all over Magnesia. Energy precision has knocked on the door of all EU Member States. The soaring energy poverty is the other side of the huge profits reaped by the 'green predators'. As for environmental protection, it has become the briefest of jokes. Giant photovoltaic and wind farms are destroying woodland and surrounding entire villages. Expensive imported American LNG, with a multiply negative environmental footprint both during extraction and for its transport and gasification, was dubbed green overnight. It would be laughable if it were not outrageous to be played as environmentally sensitive by the New Democracy and Syriza, the ones who quadrupled the maximum permissible limit of organic carbon in the exhaust gases of cement kilns to license the carcinogenic burning of garbage by AGET here in Volos. The only green that all these people, the EU, capital, and the parties that serve it know is the green of money and profit.","Τώρα μπορούμε δυστυχώς να απαντήσουμε ποιος εξαπατούσε το λαό και ποιος έλεγε την αλήθεια. Γιατί το ΚΚΕ προειδοποίησε απ’ την πρώτη στιγμή για τους πραγματικούς στόχους αυτής της στρατηγικής και μπήκε μπροστά για να οργανωθεί η αντίσταση των εργαζόμενων. Τα «δώρα» που έφερε στο λαό η υλοποίησή της είναι πλέον γνωστά σε όλους. Και δεν περιορίζονται στην ανεργία και τη φτώχεια που τσακίζει κόκαλα σ’ όλη τη Μαγνησία. Η ενεργειακή ακρίβεια χτύπησε την πόρτα όλων των κρατών μελών της ΕΕ. Η εκτίναξη της ενεργειακής φτώχειας αποτελεί την άλλη όψη των τεράστιων κερδών που αποκομίζουν τα «πράσινα αρπακτικά». Όσο για την προστασία του περιβάλλοντος, κατάντησε το πιο σύντομο ανέκδοτο. Γιγάντια φωτοβολταϊκά και αιολικά πάρκα καταστρέφουν δασικές εκτάσεις και περικυκλώνουν ολόκληρα χωριά. Το πανάκριβο εισαγόμενο αμερικάνικο LNG, με πολλαπλά αρνητικό περιβαλλοντικό αποτύπωμα τόσο κατά την εξόρυξη όσο και για τη μεταφορά και την αεριοποίησή του, βαφτίστηκε σε μια νύχτα πράσινο. Θα ήταν για γέλια, αν δεν ήταν εξοργιστικό, να μας παριστάνουν τους ευαίσθητους για το περιβάλλον η ΝΔ και ο ΣΥΡΙΖΑ, αυτοί που τετραπλασίασαν το ανώτατο επιτρεπόμενο όριο του οργανικού άνθρακα στα καυσαέρια των τσιμεντοκλιβάνων, προκειμένου να αδειοδοτηθεί περιβαλλοντικά η καρκινογόνα καύση σκουπιδιών από την ΑΓΕΤ εδώ στο Βόλο. Το μόνο πράσινο που γνωρίζουν όλοι αυτοί, η ΕΕ, το κεφάλαιο και τα κόμματα που το υπηρετούν, είναι το πράσινο του χρήματος και του κέρδους.",criticism,environment,green energy,-0.8,0.8,0.5,"[['kke', 'organization', '1.0'], ['magnesia', 'location', '1.0'], ['eu', 'organization', '1.0'], ['member states', 'group of people', '0.8'], ['american', 'location', '0.8'], ['new democracy', 'political party', '1.0'], ['syriza', 'political party', '1.0'], ['volos', 'location', '1.0']]"
10,"A few weeks ago, the European Parliamentary Group of the KKE once again expressed its support for the report of the Environmental Initiative of Magnesia and the Panhellenic Network of Ecological Organizations on the dramatic effects of air pollution caused by the incineration of garbage by AGET on the life and health of the people of Volos. We managed to keep the case open. The only ones who can put a stop to plans that count their lives as a 'cost' for the 'benefit of the few' are the people. The people of Volos are the only ones who can, with their mass struggle, block the plans that involve the region in dangerous paths, mortgage its future, and close their ears to the sirens of the political representatives of capital.","Η Ευρωκοινοβουλευτική ομάδα του ΚΚΕ πριν λίγες βδομάδες, εξέφρασε για μια ακόμα φορά τη στήριξή της στην αναφορά της Περιβαλλοντικής Πρωτοβουλίας Μαγνησίας και του Πανελλήνιου Δικτύου Οικολογικών Οργανώσεων για τις δραματικές επιπτώσεις στη ζωή και υγεία του λαού του Βόλου από την ατμοσφαιρική ρύπανση που προκαλεί η καύση σκουπιδιών από την ΑΓΕΤ και καταφέραμε να παραμείνει η υπόθεση ανοικτή. Ο μόνος που σήμερα μπορεί να βάλει φραγμό στα σχέδια που υπολογίζουν τη ζωή του ως «κόστος» για το «όφελος των λίγων» είναι μόνο ο λαός. Ο λαός του Βόλου είναι ο μόνος που μπορεί, με τον μαζικό αγώνα του, να εμποδίσει τα σχέδια που εμπλέκουν την περιοχή σε επικίνδυνα μονοπάτια, που υποθηκεύουν το μέλλον του, κλείνοντας τα αυτιά του στις σειρήνες των πολιτικών εκπροσώπων του κεφαλαίου.",political agenda,other,other,-0.6,0.0,0.0,"[['european parliamentary group', 'group of people', '0.8'], ['kke', 'political party', '0.9'], ['environmental initiative of magnesia', 'organization', '0.8'], ['panhellenic network of ecological organizations', 'organization', '0.8'], ['aget', 'organization', '0.6'], ['volos', 'location', '0.9'], ['the people', 'group of people', '0.7'], ['volos', 'location', '0.9']]"
