id,text,text_el,is_criticism,topic-context,subtopic-context,sentiment,polarization-definition,populism-definition,ner-limited
1,"First of all, I want to thank you for the warm welcome and wish you all good strength and good health, as we have a difficult time ahead of us. Unfortunately, the hard times are not over as some people promised us. We will face difficulties, but we are all here together as one to confront them. A united people, a strong people, and a stronger JCP can truly work wonders.","Καταρχάς θέλω να σας ευχαριστήσω για την υποδοχή, να ευχηθώ σε όλους σας καλή δύναμη, καλή υγεία γιατί έχουμε δύσκολα μπροστά μας. Δυστυχώς δεν πέρασαν οι δύσκολες εποχές, όπως μας υπόσχονταν κάποιοι. Θα έχουμε μπροστά μας δυσκολίες, όμως εδώ είμαστε όλοι μαζί σαν μια γροθιά να τα αντιμετωπίσουμε, γιατί ο ενωμένος ο λαός, ο δυνατός λαός και με ένα πιο δυνατό ΚΚΕ μπορεί πραγματικά να κάνει θαύματα. ",political agenda,elections,other,0.7,0,0,"[['jcp', 'political party', '1.0']]"
2,"Because we have a place, a homeland, and a region here, especially Fthiotida, which is very rich with enormous productive potential that unfortunately is not being exploited. They are not exploited for the benefit of the people, the workers, the farmers, the professionals, the youth, and the pensioners who have worked all their lives and finally want to enjoy the years of the rest of their lives. You see pensions being constantly reduced, and the benefits of the ESAS being cut one after the other repeatedly by all governments.","Γιατί έχουμε έναν τόπο, μια πατρίδα και μια περιοχή εδώ, ειδικά η Φθιώτιδα, πολύ πλούσια με τεράστιες παραγωγικές δυνατότητες, οι οποίες δυστυχώς δεν αξιοποιούνται. Και δεν αξιοποιούνται σε όφελος των κατοίκων του λαού, των εργαζομένων, των εργαζομένων εργατών, των αγροτών, των επαγγελματιών, της νεολαίας, των συνταξιούχων που δούλεψαν μια ζωή και τελικά θέλουν να απολαύσουν τα χρόνια τα υπόλοιπα της ζωής τους και βλέπετε συνεχώς να μειώνονται οι συντάξεις, να κόβονται επιδόματα τα ΕΚΑΣ, το ένα το άλλο, αλλεπάλληλα με όλες τις κυβερνήσεις. ",political agenda,pensioners,pensions,-0.5,0,0.2,"[['fthiotida', 'location', '0.9'], ['esas', 'organization', '0.6']]"
3,"And I wanted to address you here, especially because the elections on June 25th are being held under a very unfair, I would say predatory electoral law. In the previous elections on May 21st, we elected a deputy in Fthiotida after many years. We can do it again, only because the electoral law is unfair and the first party. That's why Mitsotakis is redoing the election, not because he couldn't find 5 MPs he was missing to make a majority or to make a partnership with another party. It's to steal votes, to have self-reliance, to have a strong government, and to basically do what he wants in the parliament. Because a majority can pass unpopular measures, pass laws without resistance, without reaction. Of course, it has support from the other parties. Unfortunately, in the past four years, SYRIZA, for example, which was the official opposition, voted for half of the bills that were not good, they were unpopular, 200 bills in number that the New Democracy government passed. PASOK voted for 70% of the bills, even more than Syriza. That's why we say that they can find common programs and not plague the people, the country, and the economy and drag us into successive elections. They could agree on another 200.","Και ήθελα ειδικά εδώ, να απευθυνθώ σε εσάς γιατί οι εκλογές στις 25 του Ιούνη γίνονται με ένα πολύ άδικο ληστρικό θα έλεγα εκλογικό νόμο. Στις προηγούμενες εκλογές 21 Μαΐου, βγάλαμε βουλευτή στη Φθιώτιδα. Μετά από πολλά χρόνια. Μπορούμε να ξαναβγάλουμε. Μόνο που επειδή είναι άδικος ο εκλογικός νόμος και το πρώτο κόμμα και για αυτό ξανακάνει τις εκλογές ο Μητσοτάκης, όχι ότι δεν μπορούσε να βρει 5 βουλευτές που του λείπανε για να κάνει πλειοψηφία ή να κάνει συνεργασία με κάποιο άλλο κόμμα. Είναι για να κλέψει ψήφους, για να έχει αυτοδυναμία, να έχει ισχυρή κυβέρνηση και να κάνει ουσιαστικά ότι θέλει μέσα στη Βουλή. Γιατί μια πλειοψηφία μπορεί να περνάει αντιλαϊκά μέτρα, να περνάει νόμους, χωρίς αντίσταση, χωρίς αντίδραση. Φυσικά έχει στηρίξει σε αυτά, έχει στήριξη των άλλων κομμάτων. Δυστυχώς, την προηγούμενη τετραετία. Ο ΣΥΡΙΖΑ, για παράδειγμα, που ήταν αξιωματική αντιπολίτευση, τα μισά νομοσχέδια που δεν ήταν καλά, ήταν αντιλαϊκά, 200 στον αριθμό νομοσχέδια που έφερε η κυβέρνηση της Νέας Δημοκρατίας τα ψήφισε. Το ΠΑΣΟΚ ψήφισε το 70 % των νομοσχεδίων, ακόμα περισσότερα από ό,τι ο ΣΥΡΙΖΑ. Άρα γι' αυτό εμείς λέμε ότι κοινά προγράμματα μπορούν να βρουν και να μην ταλαιπωρούν το λαό και τη χώρα και την οικονομία και να μας σέρνουν σε αλλεπάλληλες εκλογικές αναμετρήσεις. Θα μπορούσαν να συμφωνήσουν σε άλλα 200. ",criticism,elections,other,-0.5,0.2,0.4,"[['june 25th', 'date', '1.0'], ['may 21st', 'date', '1.0'], ['fthiotida', 'location', '1.0'], ['mitsotakis', 'person', '1.0'], ['syriza', 'political party', '1.0'], ['new democracy', 'organization', '1.0'], ['pasok', 'political party', '1.0']]"
4,"350 is a precondition for the European Union's Recovery Fund. Mitsotakis has now admitted that this new memorandum, which he previously denied was a memorandum, is actually a super-memorandum. Once again, the Greek people are paying for it with laws and preconditions. He claims that he is not giving them to us, but rather lending to us, but we will pay for them again. The Greek debt will be included in the Greek debt, and we will pay again as a people with taxes. In order to receive this money, we must pass these laws, which harm farmers, professionals, workers, youth, and pensioners, as they are taxed. He wants to put taxes in place to pay off the loan.","350 έχει προαπαιτούμενα το Ταμείο Ανάκαμψης της Ευρωπαϊκής Ένωσης. Αυτό το νέο μνημόνιο, όπως το παραδέχτηκε και τώρα ο Μητσοτάκης, ενώ πριν μας έλεγε ότι δεν είναι μνημόνιο, είναι υπερμνημόνιο αυτό. Γιατί πάλι το πληρώνει ο ελληνικός λαός με νόμους και έχει προαπαιτούμενα. Σου λέει για να σου δώσω φίλε, να σου δανείσω δηλαδή δεν μας τα χαρίζει πάλι θα τα πληρώσουμε εμείς. Μπαίνει στο χρέος στο ελληνικό αυτό, θα πληρώνουμε ξανά σαν λαός με τους φόρους, με το ένα, με το άλλο. Για να σου δώσω αυτά τα λεφτά, θα πρέπει να περάσεις αυτούς τους νόμους. Αλλά αυτοί οι νόμοι πλήττουν τον αγρότη, πλήττουν τον επαγγελματία, πλήττουν τον εργάτη, πλήττουν τη νεολαία, τους συνταξιούχους, όλους. Γιατί έχει φοροληστεία. Γιατί για να αποπληρώσεις το δάνειο, θέλει μετά, βάλε φόρους. ",criticism,debt,other,-0.8,0.1,0.2,"[['mitsotakis', 'person', '0.9'], ['european union', 'organization', '0.8'], ['greek', 'group of people', '0.8'], ['recovery fund', 'organization', '0.7'], ['memorandum', 'organization', '0.9'], ['super-memorandum', 'organization', '0.8'], ['greek debt', 'organization', '0.7'], ['taxes', 'organization', '0.8']]"
5,"And you know that 95% of both direct and indirect taxes are paid out of pocket by the Greek working people. It is not paid by the wealthy individuals. The wealthy only pay 5%. In other words, those who have millions and billions and do not know what they have in Greece and abroad pay only 5%. There are tax breaks for shipowners. SYRIZA, New Democracy, and PASOK have given 50 tax breaks to shipowners. There are tax breaks for the shipowner, industrialist, and banker, but none for the working people or farmers.","Και ξέρετε ότι το 95% των φόρων και των άμεσων και των έμμεσων φόρων, τους πληρώνει από τη τσέπη του ο ελληνικός λαός, τα εργαζόμενα λαϊκά στρώματα. Δεν το πληρώνουν οι μεγάλοι. Οι μεγάλοι πληρώνουν μόνο 5%. Αυτοί δηλαδή που έχουν τα εκατομμύρια και τα δισεκατομμύρια και δεν ξέρουν τι έχουν και στην Ελλάδα και στο εξωτερικό πληρώνουν μόνο το 5%. Φοροαπαλλαγές έχει για τους εφοπλιστές. 50 φοροαπαλλαγές τους έχουν δώσει και ο ΣΥΡΙΖΑ πριν και η Νέα Δημοκρατία και το ΠΑΣΟΚ πιο πριν στους εφοπλιστές. Φοροαπαλλαγές, ενώ για το λαό δεν υπάρχει φοροαπαλλαγή. Φοροασυλία υπάρχει για τον εφοπλιστή, για τον βιομήχανο, για τον τραπεζίτη. Για τον εργαζόμενο λαό, για τον αγρότη δεν υπάρχει.",criticism,economy,other,-0.8,0.2,0.9,"[['greek working people', 'group of people', '1.0'], ['wealthy individuals', 'group of people', '1.0'], ['shipowners', 'group of people', '0.5'], ['syriza', 'political party', '1.0'], ['new democracy', 'political party', '1.0'], ['pasok', 'political party', '1.0'], ['shipowner', 'organization', '0.5'], ['industrialist', 'organization', '0.5'], ['banker', 'organization', '0.5'], ['greece', 'location', '1.0'], ['abroad', 'location', '1.0']]"
6,"From this point of view, we are saying that in order to prevent new anti-people measures, new taxes, new cuts, and to increase wages, pensions, and do a series of things that are necessary for the Greek people to increase their income, make the farmer live better, produce here in this society, and have a decent income for their family, we need to strengthen the force in Parliament that we believe and have proven to be the KKE, the ones who can impose solutions and win for the workers.","Από αυτή τη σκοπιά λοιπόν, λέμε ότι για να εμποδίσουμε νέα αντιλαϊκά μέτρα, νέους φόρους, νέα χαράτσια, για να αυξηθούν οι μισθοί για να αυξηθούν οι συντάξεις, για να γίνουν μια σειρά πράγματα που είναι απαραίτητα για τον ελληνικό λαό, για να αυξηθεί το εισόδημά του, να ζήσει καλύτερα ο αγρότης, να μπορεί να παράγει εδώ σε αυτή την κοινωνία και να έχει και ένα αξιοπρεπές εισόδημα για να ζήσει την οικογένειά του, χρειάζεται να δυναμώσουμε μέσα στη Βουλή αυτή τη δύναμη που εμείς πιστεύουμε και το έχουμε αποδείξει ότι είμαστε το ΚΚΕ, αυτοί που μπορούμε να επιβάλουμε πράγματα. Να κατακτήσουμε υπέρ των εργαζομένων, λύσεις.",political agenda,employment,austerity,0.7,0.2,0.4,"[['greek people', 'group of people', '1.0'], ['kke', 'political party', '1.0'], ['parliament', 'organization', '0.6'], ['greece', 'country', '0.6']]"
7,"And to address a number of issues together, of course, with the struggle that we have to undertake, because the struggle is not only in the House. So, what are you voting for? What bills and amendments are you making? What proposals are you making? The struggle is out there, and mostly it's out there in the day-to-day struggles, in the pressure that's going on. You saw what they accomplished in a number of places. The day before yesterday, they succeeded with the 48-hour strike in the shipbuilding zone in the shipyard in Praga because they had one dead and two crippled workers again. They succeeded in making the collective agreement compulsory, which the workers had signed in 2017 with the support of the KKE. And they did not recognize it as compulsory in 2017, neither the SYRIZA government that was until 2019, nor after four years the government of the New Democracy. And now, with the 48-hour strike and what happened, they have to mourn another dead worker there; it became compulsory. They did it, but it was the KKE there. It was workers' unions that showed solidarity with them, it was their own struggle, it was the communist deputies who were there.","Και να δώσουμε μια σειρά ζητήματα μαζί φυσικά με τον αγώνα που πρέπει να κάνουμε, γιατί ο αγώνας δεν είναι μόνο μέσα στη Βουλή. Τι ψηφίζεις δηλαδή; Τι νομοσχέδια και τροπολογιες κάνεις; Tι προτάσεις κάνεις; Ο αγώνας είναι εκεί έξω και κυρίως είναι έξω στους καθημερινούς αγώνες, στην πίεση που γίνεται. Είδατε τι κατάφεραν σε μια σειρά χώρους. Προχτές κατάφεραν με τη 48ωρη απεργία στη ναυπηγοεπισκευαστική ζώνη στο πέραμα, γιατί είχαν ξανά έναν νεκρό και 2 σακατεμένους εργάτες, κατάφεραν να γίνει υποχρεωτική η συλλογική σύμβαση εργασίας που την είχαν υπογράψει παρακαλώ το 2017 οι εργάτες με τη συμπαράσταση του ΚΚΕ. Και δεν την αναγνώριζαν ως υποχρεωτική το 2017, ούτε η κυβέρνηση ΣΥΡΙΖΑ που ήταν μέχρι το 2019, ούτε μετά 4 χρόνια η κυβέρνηση της Νέας Δημοκρατίας. Και τώρα με τη 48ωρη απεργία και αυτό που έγινε, πρέπει να θρηνήσουν εκεί και άλλον εργάτη νεκρό, έγινε υποχρεωτική. Το κατάφεραν, αλλά ήταν το ΚΚΕ εκεί. Ήταν εργατικά σωματεία που τους δείξανε αλληλεγγύη, ήταν ο αγώνας των ίδιων, ήταν οι κομμουνιστές βουλευτές που ήταν εκεί. ",political agenda,employment,workers' rights,0,0,0.2,"[['praga', 'location', '0.8'], ['kke', 'organization', '0.9'], ['syriza', 'political party', '0.7'], ['new democracy', 'political party', '0.6'], ['48-hour strike', 'date', '0.6'], ['2017', 'date', '0.6'], ['2019', 'date', '0.6'], [""workers' unions"", 'group of people', '0.7'], ['communist deputies', 'group of people', '0.7']]"
8,"Only in the last few days, we have managed to cancel dozens of auctions and evictions from the homes of workers who cannot pay the banks and tax authorities, and who are at risk of having their homes confiscated and being evicted. We have also helped shopkeepers who are in debt due to the constant burden of paying taxes and other issues. Through the mobilization of other Workers' Party MPs, we have successfully cancelled these auctions and arranged favorable solutions.","Μόνο τις τελευταίες μέρες έχουμε καταφέρει να ακυρώσουμε δεκάδες πλειστηριασμούς και εξώσεις από πρώτη κατοικία των εργαζομένων που δεν έχουν να πληρώσουν τις τράπεζες, την εφορία και πάνε να τους κατάσχουν τα σπίτια, να τους βγάλουν έξω. Επίσης, σε μαγαζάτορες που χρωστάνε γιατί δεν έχουν στον ήλιο μοίρα κι αυτοί, με τα συνεχή που πληρώνουν τους φόρους και όλα αυτά τα ζητήματα. Και καταφέραμε με την κινητοποίηση των βουλευτών του κόμματος άλλων εργαζομένων και λοιπά να τους ακυρώσουμε αυτούς τους πλειστηριασμούς και να γίνουν ρυθμίσεις ευνοϊκές.",political agenda,housing,evictions,0.8,0,0.2,"[[""workers' party"", 'organization', '1.0'], ['workers', 'group of people', '0.5'], ['banks', 'organization', '0.7'], ['tax authorities', 'organization', '0.8'], ['shopkeepers', 'group of people', '0.6'], [""workers' party mps"", 'group of people', '1.0']]"
9,"You are aware that we have proposals for the prefecture of Fthiotida, as well as for the region as a whole and for all of Greece. These proposals concern the tax system, income, and workers, including farmers.","Ξέρετε ότι έχουμε προτάσεις και για το νομό Φθιώτιδας και για την περιφέρεια της στερεάς και για όλη την Ελλάδα. Προτάσεις που αφορούν και το φορολογικό σύστημα, προτάσεις που αφορούν το εισόδημα, προτάσεις που αφορούν τους εργαζόμενους, τους αγρότες. ",political agenda,economy,other,0,0,0,"[['fthiotida', 'location', '0.9'], ['greece', 'country', '0.9']]"
10,"For example, the issue of relieving farmers and developing agricultural production in the agricultural economy, where we have wealth in Greece due to our arable land. We have many resources, yet the agricultural sector is constantly dwindling. This is because there is no policy to support small and struggling organic farmers. We need a change in the ELGA regulation and compensation at 100% of the damage. Agricultural production has risks such as diseases, hail, snow, and other problems, but compensation is necessary and must be paid at 100% of production. There must be lower guaranteed prices and measures taken that do not harm agricultural production.","Για παράδειγμα, το ζήτημα της ανακούφισης των αγροτών και της ανάπτυξης της αγροτικής παραγωγής, της αγροτικής οικονομίας που έχουμε πλούτο εδώ στην Ελλάδα έχουμε εκτάσεις καλλιεργήσιμες. Έχουμε πολλά πράγματα και συνεχώς φθίνει η αγροτιά. Αλλά αυτό οφείλεται γιατί δεν υπάρχει πολιτική στήριξης του μικρού αγρότη, αυτού του βιοπαλαιστή που παλεύει. Και εδώ χρειάζονται και αλλαγή του κανονισμού του ΕΛΓΑ και αποζημιώσεις στο 100% των ζημιών. Οπωσδήποτε. Γιατί η αγροτική παραγωγή έχει αυτό το ρίσκο. Αλλού υπάρχουν ασθένειες, μετά έρχεται χαλάζι, άλλοτε έρχεται χιόνι, άλλοτε έρχονται προβλήματα αλλά και χρειάζεται αποζημίωση και πρέπει να δίνεται στο 100% της παραγωγής. Πρέπει να υπάρχουν κατώτερες εγγυημένες τιμές. Θα πρέπει να παρθούν μέτρα αλλά που να μη χαλάνε την αγροτική παραγωγή. ",political agenda,agricultural policy,other,0,0,0,"[['greece', 'location', '1.0'], ['elga', 'organization', '0.75']]"
