id,text,text_el,is_criticism,topic-context,subtopic-context,sentiment,polarization-definition,populism-definition,ner-limited
1,"Our message is being conveyed here today in Elatia. In the May elections, we took a step forward with the significant strengthening of the KKE here in my homeland of Fthiotida, with my election as a member of parliament. We set ourselves the goal of increasing the percentage of the KKE and electing a communist MP in Fthiotida, and we succeeded. Now let's aim for the next one, let's make the leap. Let's strengthen the KKE even more, especially in the towns and villages where working people, breadwinners who fight the daily battle for survival, reside. So let's go strong in the remaining days, so that even more people will arrive with the KKE ballot paper at the ballot box on June 25th, to secure the parliamentary seat in Fthiotida, which you all know will be a strength for the people of the region.","Το μήνυμα μας μεταφέρεται σήμερα εδώ στην Ελάτεια. Στις εκλογές του Μάη κάναμε ένα βήμα με τη σημαντική ενίσχυση του ΚΚΕ και εδώ στην πατρίδα μου τη Φθιώτιδα, με την εκλογή μου μάλιστα ως βουλευτή. Βάλαμε στόχο να ανεβάσουμε το ποσοστό του ΚΚΕ και να βγάλουμε κομμουνιστή βουλευτή στη Φθιώτιδα και το καταφέραμε. Πάμε τώρα για τα επόμενα, πάμε να κάνουμε το άλμα. Να ενισχυθεί ακόμα πιο πολύ το ΚΚΕ ειδικά στις πόλεις και τα χωριά όπου ζουν άνθρωποι εργαζόμενοι, βιοπαλαιστές που δίνουν  καθημερινά τη μάχη της επιβίωσης. Πάμε λοιπόν δυνατά, τις μέρες που απομένουν για να φτάσουν ακόμα περισσότεροι με το ψηφοδέλτιο του ΚΚΕ στην κάλπη της 25ης του Ιούνη, για να κατοχυρώσουμε τη βουλευτική έδρα στη Φθιώτιδα, η οποία όλοι και όλες ξέρετε πως θα είναι δύναμη για τον ίδιο τον λαό της περιοχής. ",political agenda,elections,campaigning,0.4,0,0,"[['elatia', 'location', '1.0'], ['kke', 'political party', '1.0'], ['fthiotida', 'location', '1.0'], ['mp', 'person', '1.0'], ['june 25th', 'date', '1.0']]"
2,"Of course, Mitsotakis is now continuing the blackmail story, saying ""self-reliance or elections in August"". He is doing it to grab as many votes as he can, but everyone understands that the margins are narrowing. In any case, there will be a government: either an independent government of the Southwest or a cooperation with some other willing parties, but there will be one. They have ensured this with the unfair electoral law they have made, which steals parliamentary seats from other parties and gives them as a bonus to the first party.","Βέβαια τώρα ο Μητσοτάκης το συνεχίζει το εκβιαστικό παραμύθι, λέγοντας “αυτοδυναμία ή εκλογές τον Αύγουστο”, και το κάνει για να αρπάξει όσες ψήφους μπορεί, αλλά όλοι καταλαβαίνουν πως τα περιθώρια στενεύουν και σε κάθε περίπτωση κυβέρνηση θα υπάρξει: είτε αυτοδύναμη της ΝΔ είτε συνεργασίας με ορισμένους άλλους πρόθυμους, πάντως θα υπάρξει. Έχουν φροντίσει γι αυτό και με τον άδικο εκλογικό νόμο που έχουν φτιάξει ο οποίος κλέβει βουλευτικές έδρες από τα υπόλοιπα κόμματα, και τις χαρίζει ως μπόνους στον πρώτο κόμμα. ",criticism,elections,election spending,-0.4,0.2,0,"[['mitsotakis', 'person', '0.8'], ['southwest', 'location', '0.8'], ['government', 'organization', '0.6'], ['electoral law', 'organization', '0.6'], ['parliamentary seats', 'organization', '0.6'], ['first party', 'political party', '0.6'], ['august', 'date', '0.5']]"
3,"Therefore, in order to keep our seats, the KKE must be further strengthened. The crucial thing for the people is who will be against this government.","Γι αυτό λοιπόν, για να κρατήσουμε τις έδρες μας πρέπει να ενισχυθεί κι άλλο το ΚΚΕ. Το κρίσιμο για το λαό είναι ποιος θα είναι απέναντι από αυτή την κυβέρνηση. ",political agenda,elections,other,0,0.2,0.2,"[['kke', 'organization', '0.8'], ['people', 'group of people', '1'], ['government', 'organization', '0.6']]"
4,"And let Mitsotakis try again to mislead by saying, ""In the elections, we vote for the government and not for the opposition.""","Κι ας προσπαθεί πάλι, να παραπλανήσει ο Μητσοτάκης λέγοντας πως “στις εκλογές ψηφίζουμε για κυβέρνηση και όχι για αντιπολίτευση”. ",criticism,elections,election spending,,0.1,0,"[['mitsotakis', 'person', '0.9'], ['government', 'organization', '0.8'], ['opposition', 'political party', '0.8'], ['elections', 'date', '0.6']]"
5,"In the upcoming elections, the crucial factor for the people is who will oppose the anti-people's government from the perspective of the working people's interests. The KKE is the only 100% militant, working people's opposition. There is no need to list what the KKE did during the four years of the ND government, when SYRIZA and PASOK voted 50% each for its anti-people's bills and 70% each for its anti-people's bills. It is unnecessary to say who revealed the unpopular content of the laws of the South-West to the workers and fought for them not to be passed or implemented when SYRIZA and PASOK were backing the South-West and disorienting the people. It is also unnecessary to say who stepped forward in the struggles so that the workers, the breadwinner farmers, and professionals would not have to pay the bills in all the difficult periods, but would also gain respite and be able to survive. Sometimes with the pandemic, sometimes with the crisis that came afterwards, sometimes with the precision and energy poverty, sometimes with the war that continues with the participation of our country, SYRIZA and PASOK were limited to cockfighting in the Parliament, and the KKE fought the battle everywhere in the towns and villages for our people to stand upright.","Στις εκλογές απ’ τις οποίες θα προκύψει η επόμενη αντιλαϊκή κυβέρνηση το κρίσιμο για το λαό είναι ποιος θα κάνει αντιπολίτευση από τη σκοπιά των εργατικών λαϊκών συμφερόντων. Και τέτοια 100% μαχητική, εργατική λαϊκή αντιπολίτευση μπορεί να είναι μόνο το ΚΚΕ. Δε χρειάζεται να απαριθμήσουμε τι έκανε το ΚΚΕ στα τέσσερα χρόνια διακυβέρνησης της ΝΔ, όταν ο ΣΥΡΙΖΑ και το ΠΑΣΟΚ ψήφιζαν κατά 50% ο ένας και κατά 70% ο άλλος τα αντιλαϊκά της νομοσχέδια. Δεν χρειάζεται να πούμε ποιος ήταν εκεί να αποκαλύπτει στους εργαζόμενους, στο λαό το αντιλαϊκό περιεχόμενο των νόμων της ΝΔ, να παλεύει για να μην περάσουν, για να μην εφαρμοστούν όταν ο ΣΥΡΙΖΑ και το ΠΑΣΟΚ έβαζαν πλάτη στη ΝΔ και αποπροσανατόλιζαν το λαό. Δε χρειάζεται να πούμε ποιος έμπαινε μπροστά στους αγώνες για να μην πληρώσουν οι εργαζόμενοι, οι βιοπαλαιστές αγρότες και επαγγελματίες τα σπασμένα σε όλες τις δύσκολες περιόδους, αλλά και να κερδίσουν ανάσες ανακούφισης και να μπορέσουν να επιβιώσουν. Πότε με την πανδημία, πότε με την κρίση που ήρθε μετά, πότε με την ακρίβεια και την ενεργειακή φτώχεια, πότε με τον πόλεμο που συνεχίζεται με τη συμμετοχή της χώρας μας, ο ΣΥΡΙΖΑ και το ΠΑΣΟΚ περιορίζονταν στις κοκορομαχίες μέσα στη Βουλή, και το ΚΚΕ έδινε τη μάχη παντού στις πόλεις και τα χωριά για να σταθεί όρθιος ο λαός μας. ",political agenda,elections,working class,0.5,0.8,0,"[['kke', 'organization', '1.0'], ['nd', 'political party', '0.5'], ['syriza', 'political party', '0.5'], ['pasok', 'political party', '0.5'], ['south-west', 'location', '1.0'], ['greece', 'country', '1.0']]"
6,"We are doing the same thing these days with the members and cadres of the KKE, as well as its deputies. Some of them may have only been deputies for a day, but they were there where the slogan was being put into practice: ""Only the people can save the people.""","Το ίδιο κάνουμε και τώρα αυτές τις μέρες, με μπροστάρηδες τα μέλη και τα στελέχη του ΚΚΕ, με τους βουλευτές του, που μπορεί να ήταν βουλευτές για μια μέρα, αλλά βρέθηκαν εκεί όπου κι αυτές τις μέρες γινόταν πράξη το σύνθημα: “Μόνο ο λαός σώζει το λαό”.",political agenda,elections,other,0,0,0.2,"[['kke', 'organization', '0.95'], ['deputies', 'group of people', '0.6'], ['people', 'group of people', '0.3.']]"
7,"And this is what happened in the Shipbuilding and Repair Zone in Perama, where a worker was killed because there were no safety measures. The collective labour agreement signed by the union provides for such measures to be compulsory, but neither the ND nor SYRIZA government made it so. We did it.","Κι αυτό συνέβη και στη Ναυπηγοεπισκευαστική Ζώνη στο Πέραμα όπου σκοτώθηκε ένας εργάτης γιατί δεν υπήρχαν μέτρα ασφαλείας, για να γίνει υποχρεωτική η συλλογική σύμβαση εργασίας που έχει υπογράψει το σωματείο και η οποία προβλέπει τέτοια, όμως καμιά κυβέρνηση ούτε της ΝΔ ούτε του ΣΥΡΙΖΑ την έκαναν υποχρεωτική. Τα καταφέραμε. ",criticism,employment,workers' rights,,0.1,0,"[['shipbuilding and repair zone', 'location', '1.0'], ['perama', 'location', '1.0'], ['worker', 'person', '1.0'], ['union', 'organization', '1.0'], ['nd', 'political party', '1.0'], ['syriza', 'political party', '1.0']]"
8,"It happened in Kalamia, Kozani, where the residents of a village managed to stop the installation of a huge photovoltaic park that literally surrounds their village. And we continue.",Συνέβη και στην Καλαμιά Κοζάνης εκεί όπου οι κάτοικοι ενός χωριού κατάφεραν να σταματήσουν τις εργασίες εγκατάστασης ενός τεράστιου φωτοβολταϊκού πάρκου το οποίο κυριολεκτικά περικυκλώνει το χωριό τους. Και συνεχίζουμε.,political agenda,energy,other,0,0,0,"[['kalamia', 'location', '0.9'], ['kozani', 'location', '0.9']]"
9,"It also happened that we wasted no time in taking initiatives everywhere to prevent innocent lives from being ruined again by tragic shortcomings in the public health system, as in Kos, Nea Makri, and Halkidiki. And we will not back down.","Συνέβη και όταν χωρίς να χάσουμε χρόνο πήραμε παντού αγωνιστικές πρωτοβουλίες για να μην ξαναθρηνήσουμε αθώες ζωές από τις τραγικές ελλείψεις στο δημόσιο σύστημα υγείας, όπως στην Κω, στη Νέα Μάκρη, στη Χακλιδική. Και δεν θα κάνουμε πίσω. ",political agenda,health,public health system,,0,0,"[['kos', 'location', '0.5'], ['nea makri', 'location', '0.5'], ['halkidiki', 'location', '0.5']]"
10,"It also happened in many neighborhoods where, together with other workers, friends, and neighbors, we prevented families from being thrown out on the street due to bank auctions and foreclosures. We succeeded.","Συνέβη και σε πολλές γειτονιές όπου μαζί με άλλους εργαζόμενους, φίλους και γείτονες αποτρέψαμε να πεταχτούν στο δρόμο λόγω πλειστηριασμών από τις τράπεζες και τα κοράκια λαϊκές οικογένειες. Τα καταφέραμε. ",political agenda,housing,foreclosures,1,0,0,"[['none', 'as there are no specific named entities mentioned in the text.']]"
