id,text,text_el,is_criticism,topic-context,subtopic-context,sentiment,polarization-definition,populism-definition,ner-limited
1,"Friends, companions, and comrades, from here in Peristeri, from these neighborhoods of Western Athens, we cry out with all our strength: We do not accept the barbarity of this system that has turned the Mediterranean seas into a watery grave for thousands of uprooted people. Just as we do not accept the fact that every three months we can count the dead in fires, floods, hospitals, and trains, we will not accept the loss of babies, small children with their mothers locked in a hold at the bottom of the sea... They count profits and losses, we count human lives. We do not compromise because we know that there are causes and culprits, and we are determined to fight them with all our strength until we overthrow them so that we can live as we and our children deserve. This is how it must be done, and this is how it will be done... Refugee migratory flows are not a natural phenomenon to get away with inexpensive humanitarianism, let alone some proposals for managing the consequences. Behind them lies poverty, exploitation produced by this rotten system, capitalism, which everyone, except the KKE, defends and serves, while they only fight over who will sit in the chairs to manage it. Behind it are the big investments that turn the wealth of these countries into a curse for their peoples. There are the imperialist interventions, wars, civil conflicts unleashed and fomented by NATO, the EU, and other imperialist centers.","Φίλες και φίλοι, συντρόφισσες και σύντροφοι, από δω από το Περιστέρι, από αυτές τις γειτονιές της Δυτικής Αθήνας φωνάζουμε με όλη μας τη δύναμη: Εμείς δεν συμβιβαζόμαστε με τη βαρβαρότητα αυτού του συστήματος που έχει μετατρέψει τις θάλασσες της Μεσογείου σε υγρό τάφο για χιλιάδες ξεριζωμένους. Όπως δεν συμβιβαζόμαστε με το ότι μπορεί κάθε τρεις και λίγο να μετράμε νεκρούς στις φωτιές, στις πλημμύρες, στα νοσοκομεία, στα τρένα, έτσι και δεν θα συμβιβαστούμε με το να χάνονται μωρά, μικρά παιδιά με τις μανάδες τους κλεισμένα σε ένα αμπάρι στον πάτο της θάλασσας...Αυτοί μετράνε κέρδη και ζημιές, εμείς μετράμε ανθρώπινες ζωές. Δεν συμβιβαζόμαστε γιατί ξέρουμε ότι υπάρχουν αιτίες και ένοχοι και εμείς έχουμε αποφασίσει να τους πολεμήσουμε με όλες μας τις δυνάμεις, μέχρι να τους ανατρέψουμε, για να ζήσουμε όπως αξίζει σε μας και τα παιδιά μας. Έτσι πρέπει να γίνει κι έτσι θα γίνει...Οι προσφυγικές μεταναστευτικές ροές δεν είναι φυσικό φαινόμενο για να ξεμπερδεύει κανείς με έναν ανέξοδο ανθρωπισμό, άντε και με κάποιες προτάσεις διαχείρισης των συνεπειών. Από πίσω τους βρίσκεται η φτώχεια, η εκμετάλλευση που παράγει αυτό το σάπιο σύστημα ο καπιταλισμός, τον οποίο όλοι, πλην ΚΚΕ, υπερασπίζονται και υπηρετούν, ενώ τσακώνονται μόνο για το ποιος θα κάτσει στις καρέκλες να τον διαχειριστεί. Από πίσω βρίσκονται οι μεγάλες επενδύσεις που μετατρέπουν τον πλούτο αυτών των χωρών σε κατάρα για τους λαούς τους. Βρίσκονται οι ιμπεριαλιστικές επεμβάσεις, οι πόλεμοι, οι εμφύλιες συγκρούσεις που εξαπολύονται και υποδαυλίζονται από το ΝΑΤΟ, την ΕΕ, άλλα ιμπεριαλιστικά κέντρα. ",political agenda,migration,other,-1.0,0.2,0.0,"[['peristeri', 'location', '1.0'], ['western athens', 'location', '0.9'], ['mediterranean', 'location', '0.9'], ['kke', 'political party', '1.0'], ['nato', 'organization', '1.0'], ['eu', 'organization', '1.0']]"
2,"Some parties of the system and their media ask: ""What can we do in Greece to stop the wars?"" It's simple! Stop involving our country and our people in interventions. Close the bases from which planes take off to bomb people. Bring back all Greek military personnel who are outside the borders. Abolish military agreements with the US and France that provide assistance to Greek forces in the Sahel. That's all you have to do! But you will not do it because you serve this policy, which aims to strengthen the position of the Greek bourgeoisie that wants bigger pieces for itself from the imperialist booty.","Ρωτάνε κάποιοι από τα κόμματα του συστήματος και τα Μέσα τους: Και τι μπορούμε να κάνουμε εμείς εδώ στην Ελλάδα για να σταματήσουν οι πόλεμοι; Είναι απλό! Να σταματήσετε να μπλέκετε τη χώρα μας, τον λαό μας, στις επεμβάσεις. Να κλείσουν οι βάσεις από τις οποίες απογειώνονται τα αεροπλάνα και πάνε και βομβαρδίζουν τους λαούς. Να επιστρέψουν εδώ και τώρα όλοι οι Έλληνες στρατιωτικοί που βρίσκονται έξω από τα σύνορα. Να καταργηθούν οι στρατιωτικές συμφωνίες με τις ΗΠΑ και με τη Γαλλία που προβλέπει συνδρομή ελληνικών δυνάμεων στο Σαχέλ. Αυτά να κάνετε! Αλλά δεν θα τα κάνετε, γιατί αυτή την πολιτική υπηρετείτε, που έχει σκοπό την ενίσχυση της θέσης της ελληνικής αστικής τάξης, η οποία θέλει μεγαλύτερα κομμάτια για τον εαυτό της από την ιμπεριαλιστική λεία. ",criticism,other,other,-0.8,0.0,0.5,"[['greece', 'location', '1.0'], ['greek', 'country', '0.95'], ['us', 'organization', '0.8'], ['france', 'organization', '0.8'], ['sahel', 'location', '0.6'], ['greek bourgeoisie', 'group of people', '0.5']]"
3,"Well, this prey is always soaked in the blood of the people, as was tragically demonstrated the other day outside Pylos. And of course, the crime continues when the uprooted people try to enter fortress Europe. Instead of being welcomed, already from the territory of Turkey and other countries, with asylum examination committees, so that they don't have to risk dangerous journeys, as the KKE proposes, sometimes they run into fences as in Evros, sometimes into FRONTEX, sometimes into the Spanish border guards who murder them, sometimes into one of the NATO frigates called by the governments to guard the Aegean. This fence, in fact, is the subject of a dispute between the Southwest and PASOK over who built it. SYRIZA is also close to it, which is annoyed when someone is photographed with the fence, but otherwise, ""it's fine"", as Mr Tsipras told us in the debate. Other times, he says, ""it's not effective""! But of course, it is effective. That is its purpose, to make it increasingly difficult for uprooted people to cross. That is how the smugglers' tariffs go up, that is how dangerous routes are chosen, that is how we get to the many shipwrecks. And for those who finally manage to arrive, the next part of the drama begins, sometimes with Syriza's Moria, sometimes with the closed structures of the Southwest, where the persecuted find that they have left one barbarism to find themselves in another. And finally, those who are not made for cheap labor take the road back, perhaps to try again later on a new journey of death. This is the barbarity of their policy. This is what all Greek governments have served so far. So let's not pretend that the ruling parties, the parties that present the EU and NATO as the 'common common' home of the peoples, know nothing about the crime. Because they cause even more outrage, even at this hour, by talking about the EU values that are supposedly being violated. This is their European Union, these and its values. And that is why they are all accountable for this crime, which must become an additional voting criterion ahead of next Sunday's ballot box.","Ε, αυτή η λεία είναι πάντα βουτηγμένη μέσα στο αίμα των λαών, όπως με τραγικό τρόπο αποδείχτηκε προχτές έξω από την Πύλο. Και βέβαια το έγκλημα συνεχίζεται, όταν οι ξεριζωμένοι προσπαθούν να μπουν στην Ευρώπη-φρούριο. Αντί να τους υποδέχονται, ήδη από το έδαφος της Τουρκίας και άλλων χωρών, με επιτροπές εξέτασης του ασύλου, ώστε να μην χρειάζεται να ριψοκινδυνεύουν με επικίνδυνα ταξίδια, όπως προτείνει το ΚΚΕ, άλλοτε πέφτουν πάνω σε φράχτες όπως στον Έβρο, άλλοτε στη FRONTEX, άλλοτε στην ισπανική συνοριοφυλακή που τους δολοφονεί, άλλοτε σε κάποια από τις φρεγάτες του ΝΑΤΟ που κάλεσαν οι κυβερνήσεις να επιτηρούν το Αιγαίο…Για αυτόν τον φράχτη, μάλιστα, ερίζουν η ΝΔ με το ΠΑΣΟΚ για το ποιος τον έφτιαξε. Από κοντά και ο ΣΥΡΙΖΑ, που ενοχλείται όταν κάποιος φωτογραφίζεται με τον φράχτη, αλλά κατά τα άλλα, “καλώς υπάρχει”, όπως μας είπε ο κ. Τσίπρας στο debate. Άλλες φορές πάλι, λέει, ότι «δεν είναι αποτελεσματικός»! Μα φυσικά και είναι αποτελεσματικός. Αυτός είναι ο σκοπός του, να κάνει όλο και πιο δύσκολη τη διέλευση των ξεριζωμένων. Έτσι ανεβαίνουν οι ταρίφες των διακινητών, έτσι επιλέγονται επικίνδυνα δρομολόγια, έτσι φτάνουμε στα πολύνεκρα ναυάγια. Και για όσους τελικά καταφέρουν να φτάσουν, αρχίζει το επόμενο μέρος του δράματος, πότε με τις Μόριες του ΣΥΡΙΖΑ, πότε με τις κλειστές δομές της ΝΔ, όπου οι κατατρεγμένοι διαπιστώνουν ότι έφυγαν από τη μία βαρβαρότητα για να βρεθούν σε μία άλλη… Και τελικά όσοι δεν τους κάνουν για φθηνό εργατικό δυναμικό, παίρνουν τον δρόμο της επιστροφής, ίσως για να ξαναδοκιμάσουν αργότερα σε ένα καινούριο ταξίδι του θανάτου… Αυτή είναι η βαρβαρότητα της πολιτικής τους. Αυτά έχουν υπηρετήσει όλες οι μέχρι σήμερα ελληνικές κυβερνήσεις. Ας μην κάνουν, λοιπόν, ότι δεν γνωρίζουν τίποτα για το έγκλημα τα κόμματα που κυβέρνησαν, τα κόμματα που παρουσιάζουν την ΕΕ και το ΝΑΤΟ ως το “κοινό κοινό” σπίτι των λαών. Γιατί προκαλούν ακόμα μεγαλύτερη οργή, ακόμα και τέτοιες ώρες, μιλώντας για τις αξίες της ΕΕ που δήθεν παραβιάζονται. Αυτή είναι η Ευρωπαϊκή Ένωσή τους, αυτές και οι αξίες της. Και γι’ αυτό είναι όλοι τους υπόλογοι γι’ αυτό το έγκλημα, που πρέπει να γίνει ένα επιπλέον κριτήριο ψήφου μπροστά στην κάλπη της επόμενης Κυριακής. ",criticism,migration,sea borders,-0.85,0.5,0.5,"[['pylos', 'location', '1.0'], ['kke', 'political party', '1.0'], ['evros', 'location', '1.0'], ['frontex', 'organization', '1.0'], ['spanish', 'location', '1.0'], ['nato', 'organization', '1.0'], ['southwest', 'group of people', '0.5'], ['pasok', 'political party', '1.0'], ['syriza', 'political party', '1.0'], ['tsipras', 'person', '1.0'], ['moria', 'location', '1.0'], ['eu', 'organization', '1.0'], ['nato', 'organization', '1.0']]"
4,"Friends, comrades, next Sunday, here in the western districts of Athens, the KKE must be even higher, even stronger! Because that is what our people need, that is what the workers who live in the neighborhoods across the river and work in workplaces all over Attica need. This is what is needed by the small tradesmen of the city who are struggling to survive, by women, by pensioners, by young people who have finished school and are preparing for studies or for work, and others who are already studying.","Φίλες και φίλοι, συντρόφισσες και σύντροφοι, την άλλη Κυριακή, εδώ, στις δυτικές συνοικίες της Αθήνας, το ΚΚΕ πρέπει να είναι ακόμα πιο ψηλά, ακόμα πιο δυνατό! Γιατί αυτό χρειάζεται ο λαός μας, αυτό χρειάζονται οι εργάτες και οι εργάτριες που ζουν στις γειτονιές πέρα από το ποτάμι και δουλεύουν σε χώρους δουλειάς όλης της Αττικής. Αυτό χρειάζονται οι μικροεπαγγελματίες της πόλης που παλεύουν για την επιβίωση, οι γυναίκες, οι συνταξιούχοι, οι νέοι και οι νέες που τέλειωσαν το σχολείο και ετοιμάζονται για σπουδές ή για δουλειά, κι άλλοι σπουδάζουν ήδη.",political agenda,employment,working class,0.75,0.0,0.2,"[['1. athens', 'location', '1.0'], ['2. kke', 'political party', '1.0'], ['3. attica', 'location', '1.0']]"
5,"This is what they need against the next unpopular government of the Southwest, which is preparing to take off again to sweep away what is left of our rights, to burden the people with new bloody surpluses and the new crisis that seems to be just around the corner. We warn them: Beware, don't come with too much momentum, because you will find it somewhere! You may have had an easy time for four years with SYRIZA and PASOK, who voted for 50 and 70% of your bills, respectively, but you did not find it very easy in your attempt to legitimize your unpopular laws in the popular consciences, and you did not find it very easy when you tried to impose silence in the graveyard.","Αυτό χρειάζονται απέναντι στην επόμενη αντιλαϊκή κυβέρνηση της ΝΔ, που ετοιμάζεται πάλι να πάρει φόρα για να σαρώσει ό,τι έχει μείνει όρθιο από τα δικαιώματά μας, να φορτώσει στον λαό τα καινούρια ματωμένα πλεονάσματα, αλλά και τη νέα κρίση που φαίνεται να είναι προ των πυλών. Τους προειδοποιούμε: Προσέξτε, μην έρχεστε με πολλή φόρα, γιατί κάπου θα βρείτε! Μπορεί τέσσερα χρόνια να τα βρήκατε εύκολα με τον ΣΥΡΙΖΑ και το ΠΑΣΟΚ που ψήφιζαν το 50 και το 70% των νομοσχεδίων σας, αντίστοιχα, αλλά δεν τα βρήκατε και πολύ εύκολα στην προσπάθειά σας να νομιμοποιήσετε στις λαϊκές συνειδήσεις τους αντιλαϊκούς σας νόμους, δεν τα βρήκατε και πολύ εύκολα όταν προσπαθούσατε να επιβάλετε σιγή νεκροταφείου. ",,democracy,austerity,-0.5,0.8,0.8,"[['southwest', 'location', '0.7'], ['syriza', 'political party', '0.5'], ['pasok', 'political party', '0.5']]"
6,"Because the KKE has always been in front of you, with its forces boldly, militantly, and unwaveringly putting the slogan into practice: ""Only the people save the people on the road of subversion"". It will do the same now! Let SYRIZA and PASOK try to disarm the people by talking about the alleged omnipotence of the Southwest. No government can feel omnipotent when the workers' and people's movement is strong. In this country, there is a strong KKE, a guarantee that the people and their movement will be strong. This is doubly true in Attica, where the KKE is the third party, with 11 deputies! In Attica, where we have fought great battles in recent times and will fight even greater ones. It applies threefold here in the Western Sector, from Agia Varvara to Kamatero. Some people would do well not to forget that. For the map may be painted blue, but somewhere - somewhere that blue is fading, for it is projecting a red, still faint, but red! Proof that a current is being strengthened which questions the dominant policy, its class character, and which is served by the parties of capital and their governments as a whole. Proof that the search for a solution to today's problems through organized struggle, participation in the movement, collective action, is gaining strength.","Γιατί πάντα απέναντί σας υπήρχε το ΚΚΕ, με τις δυνάμεις του πάντα μπροστά, τολμηρά, μαχητικά, και αταλάντευτα, να κάνει πράξη το σύνθημα: “Μόνο ο λαός σώζει το λαό στο δρόμο της ανατροπής”. Το ίδιο θα κάνει και τώρα! Κι ας προσπαθεί ο ΣΥΡΙΖΑ και το ΠΑΣΟΚ να αφοπλίσουν το λαό, μιλώντας για την δήθεν παντοδυναμία της ΝΔ. Καμία κυβέρνηση δεν μπορεί να νιώθει παντοδύναμη όταν είναι δυνατό το εργατικό - λαϊκό κίνημα. Και σ’ αυτή τη χώρα υπάρχει δυνατό ΚΚΕ, εγγύηση ότι θα είναι δυνατός ο λαός και το κίνημά του. Κι αυτό ισχύει διπλά στην Αττική, όπου το ΚΚΕ είναι τρίτο κόμμα, με 11 βουλευτές! Στην Αττική, όπου δώσαμε μεγάλες μάχες το τελευταίο διάστημα και θα δώσουμε ακόμα μεγαλύτερες. Ισχύει τριπλά εδώ στον Δυτικό Τομέα από την Αγία Βαρβάρα μέχρι το Καματερό. Και καλά θα κάνουν ορισμένοι αυτό να μη το ξεχνάνε. Γιατί μπορεί ο χάρτης να βάφτηκε μπλε, αλλά κάπου - κάπου αυτό το μπλε ξεθωριάζει, γιατί προβάλλει ένα κόκκινο, αχνό ακόμα, αλλά κόκκινο! Απόδειξη ότι ενισχύεται ένα ρεύμα αμφισβήτησης της κυρίαρχης πολιτικής, του ταξικού της χαρακτήρα, που υπηρετούν σύσσωμα τα κόμματα του κεφαλαίου και οι κυβερνήσεις τους. Απόδειξη ότι δυναμώνει η αναζήτηση λύσης στα σημερινά προβλήματα μέσα από τον οργανωμένο αγώνα, τη συμμετοχή στο κίνημα, τη συλλογική δράση.",political agenda,democracy,working class,0.3,0.2,0.2,"[['kke', 'organization', '1.0'], ['syriza', 'political party', '1.0'], ['pasok', 'political party', '1.0'], ['attica', 'location', '1.0'], ['agia varvara', 'location', '1.0'], ['kamatero', 'location', '1.0']]"
7,"ND came first because it had the best sponsors, the parties of the center-left and social democracy, which have been predominant in these regions for decades, first PASOK and in recent years SYRIZA. Both have played and marketed the notions of progress and the left for years, but have disappointed the people who trusted them with the policies they implemented. They told and showed them through their actions that ""there is no alternative,"" told them to ""bow their heads,"" to ""adapt,"" and finally to choose the ""least bad manager."" In the Western Sector of Athens, ND may have come first, and Mitsotakis may be bragging, but with a much smaller percentage than its national one. And now, in next Sunday's ballot, it may get even smaller. There is no reason for the people who voted for it under the blackmail of ""stability or instability"" and under the influence of a disorienting confrontation between the Southwest and other parties to vote for it again.","Η ΝΔ ήρθε πρώτη γιατί είχε τους καλύτερους χορηγούς, τα κόμματα της κεντροαριστεράς, της σοσιαλδημοκρατίας, που επικρατούσαν σε αυτές τις περιοχές εδώ και δεκαετίες, πρώτα το ΠΑΣΟΚ και τα τελευταία χρόνια ο ΣΥΡΙΖΑ. Και οι δύο έπαιξαν και εμπορεύτηκαν για χρόνια τις έννοιες της προόδου, της αριστεράς, απογοήτευσαν τον λαϊκό κόσμο που τους εμπιστεύθηκε με την πολιτική που εφάρμοσαν. Του είπαν και του έδειξαν με τις πράξεις τους, ότι «δεν υπάρχει εναλλακτική», του είπαν «να σκύψει το κεφάλι», να «προσαρμοστεί» και τελικά να διαλέξει τον «λιγότερο κακό διαχειριστή». Στον Δυτικό Τομέα της Αθήνας, η ΝΔ μπορεί να ήρθε πρώτη και να κοκορεύεται ο Μητσοτάκης, αλλά με ποσοστό πολύ μικρότερο από το πανελλαδικό της. Και τώρα στην κάλπη της επόμενης Κυριακής μπορεί να πάρει ακόμα μικρότερο. Δεν έχουν κανέναν λόγο να την ξαναψηφίσουν οι λαϊκοί άνθρωποι που το έκαναν κάτω από τον εκβιασμό “σταθερότητα ή αστάθεια” και με την επίδραση μιας αποπροσανατολιστικής αντιπαράθεσης της ΝΔ με άλλα κόμματα. ",criticism,elections,other,-0.5,0.2,0.0,"[['nd', 'organization', '0.9'], ['center-left', 'group of people', '0.7'], ['social democracy', 'group of people', '0.7'], ['pasok', 'political party', '0.7'], ['syriza', 'political party', '0.7'], ['western sector of athens', 'location', '0.6'], ['mitsotakis', 'person', '0.6'], ['sunday', 'date', '0.5']]"
8,"Because what will count for the people is not how many more MPs New Democracy will get to vote for its unpopular bills or how many more MPs PASOK and SYRIZA will get to follow this unpopular course! The crucial thing for the people of Peristeri, Haidari, Egaleo, Agia Varvara, and other municipalities is how high the percentage of the KKE will reach, with many thousands of new votes, to ensure the election of the second communist MP, George Perrou. And we know full well that many of those who made other choices at the ballot box in May know what it means for the KKE to thresh, to plow through these neighborhoods with two deputies, to carry their problems, to demand solutions. So let's go for it. Let's get the two deputies in the West Side!","Γιατί αυτό που θα μετρήσει για το λαό δεν είναι πόσους βουλευτές παραπάνω θα βγάλει η ΝΔ για να ψηφίζουν τα αντιλαϊκά νομοσχέδιά της ή πόσους θα βγάλει το ΠΑΣΟΚ και ο ΣΥΡΙΖΑ για να ακολουθούν από πίσω αυτή την αντιλαϊκή πορεία! Το κρίσιμο για τον λαό στο Περιστέρι, στο Χαϊδάρι, στο Αιγάλεω, στην Αγία Βαρβάρα και στους άλλους δήμους, είναι πόσο ψηλά θα φτάσει το ποσοστό του ΚΚΕ, με πολλές χιλιάδες καινούριες ψήφους, για να εξασφαλίσουμε την εκλογή  του δεύτερου κομμουνιστή βουλευτή του Γιώργου Πέρρου. Και ξέρουμε καλά πως πολλοί απ’ αυτούς που έκαναν άλλες επιλογές στην κάλπη του Μάη, ξέρουν τι σημαίνει το ΚΚΕ να αλωνίζει, να οργώνει με δυο βουλευτές αυτές τις γειτονιές, να μεταφέρει τα προβλήματά τους, να διεκδικεί λύσεις. Πάμε, λοιπόν, να τα καταφέρουμε. Να βγάλουμε τους 2 βουλευτές στον Δυτικό Τομέα! ",political agenda,elections,election spending,-0.5,0.75,0.6,"[['new democracy', 'organization', '0.5'], ['pasok', 'political party', '0.5'], ['syriza', 'political party', '0.5'], ['peristeri', 'location', '1.0'], ['haidari', 'location', '1.0'], ['egaleo', 'location', '1.0'], ['agia varvara', 'location', '1.0'], ['kke', 'organization', '0.5'], ['george perrou', 'person', '1.0'], ['may', 'date', '1.0'], ['west side', 'location', '1.0']]"
9,"Friends, companions, and comrades, Mr. Mitsotakis has chosen Peristeri as the starting point for this election campaign, drawing on all the audacity and hypocrisy of bourgeois politics. While he was saying that he had done away with the cots at Attiko, 30 patients were on stretchers in corridors the day before the hospital's general duty. And a few days later, three women were dying while waiting for an ambulance that didn't exist. But if there was one, then how would the private sector have a field to invest in and make a profit with the ambulance cards you have seen handed out to you as soon as you step into a hospital? How would the state save money to give packages to business groups, tax shipowners, and pay billions to NATO armaments with the votes of ND, SYRIZA, and PASOK? How would the budgetary constraints that Mr. Mitsotakis talks about, and that Mr. Tsipras has told us he will respect, allow for the hiring of as many health workers as needed, based on the outdated hospital organizations? So this is their common agenda, tragically expressed in the health of the people.","Φίλες και φίλοι, συντρόφισσες και σύντροφοι, o κ. Μητσοτάκης επέλεξε το Περιστέρι για το ξεκίνημα αυτής της προεκλογικής εκστρατείας, επιστρατεύοντας όλο το θράσος και την υποκρισία της αστικής πολιτικής. Την ώρα που έλεγε πως εξαφάνισε τα ράντζα στο Αττικό, 30 ασθενείς ήταν σε φορεία σε διαδρόμους μία μέρα πριν τη γενική εφημερία του νοσοκομείου. Και λίγες μέρες αργότερα τρεις γυναίκες πέθαιναν περιμένοντας το ασθενοφόρο που δεν υπήρχε... Μα αν υπήρχε, τότε πώς θα είχε πεδίο να επενδύσει και να βγάλει κέρδος ο ιδιώτης με τα καρτελάκια για ασθενοφόρο που έχετε δει να σας μοιράζουν με το που πατήσετε σε νοσοκομείο, πώς θα εξοικονομούσε το κράτος τους χρήματα για να δίνει τα πακέτα στους επιχειρηματικούς ομίλους, για να φοροαπαλλάσσονται οι εφοπλιστές, για να πληρώνουμε δισεκατομμύρια στους εξοπλισμούς του ΝΑΤΟ με τις ψήφους της ΝΔ, του ΣΥΡΙΖΑ και του ΠΑΣΟΚ; Πώς θα τηρούνταν οι δημοσιονομικοί περιορισμοί, για τους οποίους μιλάει ο κ. Μητσοτάκης και τους οποίους μας είπε και ο κ. Τσίπρας ότι θα τηρήσει, και γι’ αυτό δεν πρόκειται να προσλάβει όσους υγειονομικούς απαιτούνται, με βάση τους ξεπερασμένους από τις ανάγκες οργανισμούς των νοσοκομείων; Αυτό είναι, λοιπόν, το κοινό τους πρόγραμμα, όπως εκφράζεται με τραγικό τρόπο στην υγεία του λαού. ",criticism,health,other,-0.7,0.3,0.5,"[['mitsotakis', 'person', '0.8'], ['peristeri', 'location', '0.9'], ['attiko', 'organization', '0.8'], ['nd (new democracy)', 'political party', '0.8'], ['syriza', 'political party', '0.8'], ['pasok', 'political party', '0.8'], ['nato', 'organization', '0.8'], ['tsipras', 'person', '0.8']]"
10,"And if today they are all obliged to say something, even if only to reassure about their plans, it is because they are obliged by reality itself, but also by the health workers' movement itself, where the KKE has important forces that have not been left behind.","Κι αν σήμερα όλοι υποχρεώνονται κάτι να πουν, έστω για να καθησυχάσουν για τα σχέδιά τους, είναι γιατί τους υποχρεώνει η  ίδια η πραγματικότητα, αλλά και το ίδιο το κίνημα των υγειονομικών, όπου το ΚΚΕ έχει σημαντικές δυνάμεις που δεν τους έχει αφήσει σε χλωρό κλαρί. ",political agenda,health,public health system,0.25,0.0,0.0,"[['kke', 'organization', '0.8'], [""health workers' movement"", 'group of people', '0.7']]"
