id,text,text_el,is_criticism,topic-context,subtopic-context,sentiment,polarization-definition,populism-definition,ner-limited
1,"Dear friends, companions, and comrades, we cannot help but express our sorrow and anger at the new crime of this barbaric system, which has sent hundreds of persecuted people, including many children, to a watery grave in the Mediterranean. Now, four days after hearing this new inhuman news, the tears have dried up and turned into nothing but rage. This was also shouted by tens of thousands of mainly young people who took to the streets all over the country and here in Athens last Thursday. Anger against the system that generates poverty, exploitation, wars, and all the things that cause the uprooting of these people. Because refugee flows are not a natural phenomenon to be dealt with by inexpensive humanitarianism, let alone some proposals for managing the consequences.","Αγαπητές φίλες και φίλοι, συντρόφισσες και σύντροφοι, δεν μπορούμε παρά να ξεκινήσουμε εκφράζοντας τη θλίψη μας και την οργή μας για το νέο έγκλημα αυτού του βάρβαρου συστήματος, που έστειλε στον υγρό τάφο της Μεσογείου εκατοντάδες κατατρεγμένους ανθρώπους, ανάμεσά τους πάρα πολλά παιδιά. Τώρα πια, 4 μέρες από το άκουσμα της νέας αυτής απάνθρωπης είδησης, τα δάκρυα στέρεψαν και έγιναν μόνο οργή. Αυτό βροντοφώναξαν και οι δεκάδες χιλιάδες κυρίως νέοι άνθρωποι που βρέθηκαν στους δρόμους σε όλη τη χώρα και εδώ στην Αθήνα την περασμένη Πέμπτη. Οργή απέναντι στο σύστημα που γεννά φτώχεια, εκμετάλλευση, πολέμους, όλα αυτά, δηλαδή, που αποτελούν τις αιτίες του ξεριζωμού αυτών των ανθρώπων. Γιατί οι προσφυγικές ροές δεν είναι κάποιο φυσικό φαινόμενο για να ξεμπερδεύει κανείς με έναν ανέξοδο ανθρωπισμό άντε και με κάποιες προτάσεις διαχείρισης των συνεπειών. ",criticism,migration,other,-0.75,0,0,"[['comrades', 'group of people', '1.0'], ['system', 'organization', '1.0'], ['hundreds', 'group of people', '1.0'], ['children', 'group of people', '1.0'], ['mediterranean', 'location', '1.0'], ['tens of thousands', 'group of people', '1.0'], ['young people', 'group of people', '1.0'], ['country', 'location', '1.0'], ['athens', 'location', '1.0'], ['thursday', 'date', '1.0'], ['poverty', 'group of people', '1.0'], ['exploitation', 'organization', '1.0'], ['wars', 'organization', '1.0'], ['refugee', 'group of people', '1.0']]"
2,"Anger towards this international criminal organization that all our other parties present as the common home of the people: the European Union. It first unleashes interventions, robs other people, and then erects fortresses to keep them out, or opens the spigot only for those its monopolies want to squeeze as cheap labor. These are the rotten values of the EU, which are being sniveled about by some sad political wreck again.","Οργή για αυτή τη διεθνή εγκληματική οργάνωση που όλα τα άλλα κόμματα μας την παρουσιάζουν μάλιστα και ως το κοινό σπίτι των λαών: την Ευρωπαϊκή Ένωση, δηλαδή, η οποία πρώτα εξαπολύει τις επεμβάσεις, ληστεύει άλλους λαούς και μετά υψώνει φρούρια για να τους κρατήσει απ’ έξω… ή ανοίγει τη στρόφιγγα μόνο για όσους τα μονοπώλιά της θέλουν να ξεζουμίσουν ως φτηνό εργατικό δυναμικό. Αυτές είναι οι σάπιες αξίες της ΕΕ, για τις οποίες πάλι μυξοκλαίνε πάλι κάποια θλιβερά πολιτικά ναυάγια. ",criticism,europe,other,-0.8,0,0,"[['european union', 'organization', '1.0'], ['eu', 'organization', '0.5']]"
3,"Anger towards those who apparently did not do what was necessary to save innocent lives. They have the audacity to use the slave traders' refusal to save their goods, i.e. the people they had stowed away in that nutshell, as an excuse. Anger towards those who are once again spreading the poisons of racism, talking about illegal immigrants, invaders, or expressing annoyance even at the three-day mourning period that has been declared, revealing the darkness of their souls. No, we will not become accustomed to this recurring tragedy every three months, whether it be fires, floods, pandemics, trains, or the sea. Many more people now know it well: it is either their profits or people's lives. Everyone else is with their profits. We stand with people's lives.","Οργή για αυτούς που από ό,τι φαίνεται, δεν έκαναν όσα έπρεπε για να σωθούν οι αθώες ψυχές. Και έχουν το θράσος να χρησιμοποιούν σαν δικαιολογία την άρνηση των ίδιων των δουλεμπόρων να διασωθούν τα εμπορεύματά τους, δηλαδή οι άνθρωποι που είχαν στοιβάξει σε αυτό το καρυδότσουφλο. Οργή για όσους χύνουν ξανά τα δηλητήρια του ρατσισμού, μιλούν για λαθραίους ανθρώπους, για εισβολείς ή δείχνουν όλη τη μαυρίλα της ψυχής τους εκφράζοντας ενόχληση μέχρι και για το τριήμερο πένθος που κηρύχθηκε. Όχι, εμείς δεν  θα συνηθίσουμε αυτή τη μαύρη καταμέτρηση κάθε τρεις και λίγο, πότε στις φωτιές, πότε στις πλημμύρες, πότε στην πανδημία, πότε στα τρένα και πότε στη θάλασσα. Το ξέρουν καλά πια πολύ ακόμα περισσότεροι: είναι ή τα κέρδη τους ή οι ζωές των ανθρώπων. Όλοι οι άλλοι είναι με τα κέρδη τους. Εμείς είμαστε με τις ζωές των ανθρώπων.",criticism,migration,other,-0.76,0.6,0,"[['1. slave traders', 'group of people', '1.0'], ['2. illegal immigrants', 'group of people', '0.8'], ['3. invaders', 'group of people', '0.8'], ['4. profits', 'organization', '0.8'], [""5. people's lives"", 'group of people', '1.0']]"
4,"We are not choosing between the lesser evil of Syriza's Moria hellhole and the closed prison structures of the Southwest. We are not choosing the lesser evil based on who was in government during the shipwreck. We feel the same hurt and rage for everything. ND, SYRIZA, PASOK, all these parties of the system, of the EU and NATO, are accountable for this new crime. Our people must make it another voting criterion, among so many others, and give them what they deserve in the elections next Sunday. Especially here, in Nea Ionia, which was founded 100 years ago by refugees from Asia Minor. Its people know very well the struggle of refugees to put down roots and live in the region. Everything they achieved, they achieved through their struggle, even for the most basic things: water supply, electricity, schools for their children. It is due to their struggle and the pioneering attitude of the communists throughout time in the region that they managed to survive and not to various ""saviors"" or ""messiahs"".","Εμείς δεν διαλέγουμε το λιγότερο κακό ανάμεσα στο κολαστήριο της Μόριας του ΣΥΡΙΖΑ και τις κλειστές δομές-φυλακές της ΝΔ. Δεν διαλέγουμε το λιγότερο κακό ναυάγιο, με βάση το ποιος ήταν στην κυβέρνηση. Πονάμε και οργιζόμαστε το ίδιο και για όλα. Η ΝΔ, ο ΣΥΡΙΖΑ, το ΠΑΣΟΚ, όλα τα κόμματα αυτά του συστήματος, της ΕΕ και του ΝΑΤΟ, είναι όλοι τους υπόλογοι και για αυτό το νέο έγκλημα που ο λαός μας πρέπει να το κάνει και ένα ακόμα κριτήριο ψήφου, ανάμεσα σε τόσα άλλα, και να τους δώσει αυτό που τους αξίζει στις εκλογές της άλλης Κυριακής. Ιδιαίτερα εδώ, στη Νέα Ιωνία, που ιδρύθηκε πριν 100 χρόνια από τους πρόσφυγες της Μικράς Ασίας και ο λαός της ξέρει πολύ καλά τον αγώνα των προσφύγων να ριζώσουν, να ζήσουν στην περιοχή. Πως ό,τι κατάφεραν, το κατάφεραν με τον αγώνα τους, ακόμη και για τα στοιχειώδη, για τα χτοιχειώδη πράγματα: την ύδρευση, το ρεύμα, τα σχολεία των παιδιών τους. Στον αγώνα τους και στην πρωτοπόρα στάση των κομμουνιστών διαχρονικά στην περιοχή οφείλεται το ότι κατάφεραν και επιβίωσαν και όχι σε διάφορους «σωτήρες», σε διάφορους «μεσσίες».",political agenda,migration,other,-1,0.6,0,"[['syriza', 'organization', '0.7'], ['moria', 'location', '0.9'], ['southwest', 'location', '0.6'], ['nd', 'political party', '0.8'], ['syriza', 'political party', '0.8'], ['pasok', 'political party', '0.7'], ['eu', 'organization', '0.7'], ['nato', 'organization', '0.6'], ['nea ionia', 'location', '0.9'], ['asia minor', 'location', '0.8'], ['sunday', 'date', '0.8']]"
5,"Friends, companions, and comrades, the criterion for voting in the upcoming elections must be each party's attitude towards satisfying the present and contemporary needs of the people and youth. The issue we have chosen to raise today is the struggle for the preservation and utilization of open spaces, which concerns one of these vital needs. Here, too, there is a wealth of experience regarding everyone's attitude and actions. Our motto is simple: open spaces for the people, closed to business interests! We are in a region where workers and youth have recent experience that shows this is also a matter of struggle and assertion. A typical example is the very place where we are now, next to Panetholio, one of the few remaining free spaces. Despite the problems of degradation and depreciation, it was still a ""hive"" for children and parents until two months ago when the playground was torn down without warning by the municipal authority, without any plan for what to do.","Φίλες και φίλοι, συντρόφισσες και σύντροφοι, κριτήριο ψήφου πρέπει να γίνει για την ψήφο στις ερχόμενες εκλογές και η στάση κάθε κόμματος απέναντι στην ικανοποίηση των σημερινών, των σύγχρονων αναγκών του λαού και της νεολαίας. Το θέμα που επιλέξαμε να αναδείξουμε σήμερα, η πάλη για τη διάσωση και αξιοποίηση των ελεύθερων χώρων, αφορά μια από αυτές τις ζωτικές ανάγκες. Και εδώ υπάρχει πλούσια πείρα για τη στάση και τα πεπραγμένα του καθενός. Το δικό μας σύνθημα μας είναι ένα: Ελεύθεροι χώροι ανοιχτοί στο λαό - κλειστοί στα επιχειρηματικά συμφέροντα! Βρισκόμαστε, μάλιστα, σε μια περιοχή όπου οι εργαζόμενοι, η νεολαία, έχουν πρόσφατη πείρα που δείχνει, ότι και αυτή η υπόθεση, είναι αντικείμενο αγώνα, είναι αντικείμενο διεκδίκησης. Χαρακτηριστικό παράδειγμα αποτελεί, ο ίδιος ο χώρος εδώ που βρισκόμαστε, δηλαδή δίπλα στο Παναιτώλιο, ένας από τους λίγους ελεύθερους χώρους που έχουν απομείνει. Ένας χώρος που -παρά τα προβλήματα υποβάθμισης και απαξίωσης- εξακολουθούσε να είναι μια «κυψέλη» για παιδιά και γονείς, μέχρι πριν 2 μήνες, όταν ξηλώθηκε απροειδοποίητα η παιδική χαρά από τη δημοτική αρχή, χωρίς κάποιο πλάνο για το τι θα γίνει. ",political agenda,infrastructure,other,,0,0.2,"[['panetholio', 'location', '0.9'], ['municipal authority', 'organization', '0.8'], ['youth', 'group of people', '0.7'], ['workers', 'group of people', '0.6'], ['parents', 'group of people', '0.6']]"
6,"You also have experience with the large and diverse mobilizations from last year, so that the site of the former coal mine is not turned into a rubbish dump next to the schools in the area, but is reserved by the municipality and used for the vital needs of the people and youth. It should be highlighted as a site of great historical memory and heritage, to teach the new generations that the miners, among other things, were the soul of the National Resistance struggle in the area, and that at the Kalogreza blockade, the 21 executed were communist miners.","Έχετε, επίσης, την πείρα των μεγάλων και πολύμορφων κινητοποιήσεων πέρσι, για να μην μετατραπεί ο χώρος του πρώην ανθρακωρυχείου σε σκουπιδότοπο, δίπλα στα σχολεία της περιοχής, αλλά να δεσμευτεί από τον δήμο, και να αξιοποιηθεί για ζωτικές ανάγκες του λαού και της νεολαίας. Να αναδειχτεί ως χώρος μεγάλης ιστορικής μνήμης και κληρονομιάς. Να μάθουν οι νέες γενιές ότι οι ανθρακωρύχοι, εκτός των άλλων, ήταν η ψυχή του αγώνα της Εθνικής Αντίστασης στην περιοχή, ότι στο μπλόκο της Καλογρέζας οι 21 εκτελεσμένοι ήταν κομμουνιστές ανθρακωρύχοι. ",political agenda,culture,other,0.8,0,0,"[['national resistance', 'group of people', '0.7'], ['kalogreza', 'location', '0.9']]"
7,"In addition, an appropriate solution should be provided so that the fleet of garbage trucks can leave the area of Icarus, where it is currently located inside the stadium of the area, where hundreds of children play sports. This decision was eventually cancelled thanks to mobilizations. All in all, the question of the use of the remaining free spaces is a political and class issue. In an area in need of such spaces, we see stadiums languishing with huge infrastructure problems. We see mega-commercials springing up, various big commercials here to make big profits for the owners, big soup marketers, and others. And the city teams are squeezed into just one stadium to train thousands of children. There are dozens of old factories in the township that have been left as ""carcasses"". The issue of open space is a problem that affects all neighborhoods and ultimately is born out of a system and policy that treats land and its use as a commodity. It is about who gets to use the land and for what purpose. Who ""owns"" it? Who gets to choose what gets built, and who gets access? In the current conditions of capitalist ownership of land, development based on the profit of the groups, anarchy of production, and the rivalries of the robber capitalists, land is exploited according to the investment plans and profitability of each individual group. Profit means that the workers are squeezed dry, profit means that the land is exploited as a tool of shameful profitability.","Επιπλέον, να δοθεί άλλη, κατάλληλη λύση ώστε ο στόλος των απορριμματοφόρων να φύγει από την περιοχή του Ίκαρου που βρίσκεται αυτή τη στιγμή, καθώς είναι μέσα στο γήπεδο της περιοχής, εκεί δηλαδή που αθλούνται εκατοντάδες παιδιά. Αυτή η απόφαση τελικά ματαιώθηκε χάρη στις κινητοποιήσεις. Συνολικά, το θέμα της αξιοποίησης των χώρων που έχουν απομείνει ελεύθεροι, είναι ζήτημα πολιτικό και ταξικό. Σε μια περιοχή που έχει ανάγκη από τέτοιους χώρους, βλέπουμε γήπεδα να μαραζώνουν, με τεράστια προβλήματα υποδομής, βλέπουμε να ξεπηδούν μεγαθήρια, να είναι διάφορα μεγάλα εμπορικά εδώ για να βγάζουν μεγάλα κέρδη οι ιδιοκτήτες, οι μεγάλοι σουπερμαρκετάδες και άλλοι… Και οι ομάδες της πόλης να στριμώχνονται σε μόλις ένα γήπεδο για να κάνουν προπόνηση χιλιάδες παιδιά. Στο δήμο υπάρχουν δεκάδες παλιά εργοστάσια που έχουν μείνει «κουφάρια». Το ζήτημα των ελεύθερων χώρων είναι ένα πρόβλημα που αφορά όλες τις γειτονιές και σε τελευταία ανάλυση, γεννιέται από ένα σύστημα και μια πολιτική που αντιμετωπίζει τη γη και τη χρήση της ως εμπόρευμα. Αφορά το ποιος θα χρησιμοποιήσει τη γη και για ποιον λόγο. Σε ποιον «ανήκει»… Ποιος θα επιλέγει τι θα φτιαχτεί, και ποιος θα έχει πρόσβαση; Στις σημερινές συνθήκες της καπιταλιστικής ιδιοκτησίας στη γη, της ανάπτυξης με κριτήριο το κέρδος των ομίλων, της αναρχίας της παραγωγής και των ανταγωνισμών των καπιταλιστών-ληστών, η γη αξιοποιείται με κριτήριο τα επενδυτικά σχέδια και την κερδοφορία του κάθε ξεχωριστού ομίλου. Κέρδος σημαίνει να ξεζουμίζονται οι εργαζόμενοι, κέρδος σημαίνει ότι η γη αξιοποιείται ως εργαλείο επαίσχυντης κερδοφορίας. ",political agenda,infrastructure,other,-0.9,0,0,"[['icarus', 'location', '0.8'], ['stadium', 'location', '0.8'], ['children', 'group of people', '0.8'], ['mobilizations', 'group of people', '0.8'], ['mega-commercials', 'organization', '0.7'], ['big soup marketers', 'organization', '0.7'], ['city teams', 'group of people', '0.8'], ['old factories', 'organization', '0.7'], ['township', 'location', '0.7'], ['system', 'organization', '0.7'], ['policy', 'organization', '0.7'], ['land', 'location', '0.8'], ['capitalist ownership', 'organization', '0.7'], ['development', 'organization', '0.7'], ['anarchy of production', 'organization', '0.7'], ['robber capitalists', 'group of people', '0.8'], ['workers', 'group of people', '0.7']]"
8,"This profit motive leads to the conversion of entire areas of Athens and all other big cities into luxury tourist resorts for a few mega-corporations, with dozens of infrastructures and hotels. This turns all available houses into Airbnb, driving up rents for working-class families. In essence, it creates ""gated"", expensive, and inaccessible areas within the megacity.","Αυτό το κίνητρο του κέρδους είναι που οδηγεί στη μετατροπή ολόκληρων περιοχών της Αθήνας και όλων των άλλων μεγάλων πόλεων σε τουριστικά κέντρα πολυτελείας για λίγους μεγαλοσχήμονες… με δεκάδες υποδομές και ξενοδοχεία, που μετατρέπει όλα τα διαθέσιμα σπίτια σε Airbnb, εκτινάσσοντας τα ενοίκια για την εργατική λαϊκή οικογένεια. Στην ουσία, «κλειστές», ακριβές, απρόσιτες περιοχές μέσα στη μεγαλούπολη.",criticism,housing,other,-0.8,0.1,0.2,"[['athens', 'location', '1.0'], ['airbnb', 'organization', '1.0']]"
9,"The workers are paying for this policy by ""truncating"" any opportunity they have for rest, recreation, or culture. Spatial planning in the current system is determined by the profitability of business groups, not by meeting social needs.","Οι εργαζόμενοι πληρώνουν αυτήν την πολιτική με το «κουτσούρεμα» της όποιας δυνατότητας έχουν για ανάπαυση, αναψυχή, πολιτισμό. Ο χωροταξικός σχεδιασμός στο σημερινό σύστημα, καθορίζεται με κριτήριο την κερδοφορία των επιχειρηματικών ομίλων και όχι την κάλυψη των κοινωνικών αναγκών. ",criticism,infrastructure,working class,-0.9,0.2,0,[]
10,"This criterion determines where there will be residential buildings and how dense the buildings will be, whether there will be roads for traffic and mass evacuation in case of emergency, and of what dimensions, what flood protection works will be built, and whether there will be green spaces for recreation and sports facilities. The same criterion is used to determine the management of any open spaces and green spaces left. All governments to date have followed the same path on this issue. The guidelines are reflected in the Regulatory Plan for Athens and Attica, which was passed in 2014 and adopted by all: ND, PASOK, SYRIZA, who, after all, promoted it when they were in government. They are complicit in the policy that has targeted the remaining open spaces in Attica for exploitation by big capital. This is the path they are all taking, and they are all trying, especially SYRIZA and PASOK, to hide their agreement, ostensibly seeking more pro-peaceful conditions for the implementation of investments.","Με αυτό το κριτήριο καθορίζεται, το πού θα υπάρχουν κτίρια κατοικιών και πόσο πυκνή θα είναι η δόμηση. Το αν και με ποιες διαστάσεις θα υπάρχουν δρόμοι κυκλοφορίας και μαζικής διαφυγής σε συνθήκες έκτακτης ανάγκης. Τι αντιπλημμυρικά έργα θα κατασκευαστούν, αν θα υπάρχουν χώροι πρασίνου για αναψυχή, χώροι άθλησης. Με το ίδιο κριτήριο καθορίζεται και η διαχείριση των όποιων ελεύθερων χώρων και χώρων πρασίνων έχουν απομείνει. Όλες οι κυβερνήσεις μέχρι σήμερα, έχουν ακολουθήσει τον ίδιο δρόμο σε αυτό το ζήτημα. Οι κατευθύνσεις αποτυπώνονται στο Ρυθμιστικό σχέδιο για την Αθήνα και την Αττική που ψηφίστηκε το 2014 και το υιοθετούν όλοι: ΝΔ, ΠΑΣΟΚ, ΣΥΡΙΖΑ, που άλλωστε το προώθησαν όταν κυβερβούσαν. ΝΔ, ΣΥΡΙΖΑ και ΠΑΣΟΚ, είναι συνένοχοι για την πολιτική που έχει βάλει στο στόχαστρο της αξιοποίησης από το μεγάλαιο κεφάλαιο τους εναπομείναντες ελεύθερους χώρους στην Αττική. Σε αυτόν τον δρόμο κινούνται όλοι και προσπαθούν, ειδικά ο ΣΥΡΙΖΑ και το ΠΑΣΟΚ, να κρύψουν τη συμφωνία τους, αναζητώντας τάχα πιο φιλολαϊκούς όρους υλοποίησης των επενδύσεων.",criticism,infrastructure,other,-0.5,0.2,0,"[['regulatory plan for athens and attica', 'organization', '0.8'], ['nd', 'political party', '0.7'], ['pasok', 'political party', '0.7'], ['syriza', 'political party', '0.7'], ['attica', 'location', '0.8'], ['athens', 'location', '0.7'], ['2014', 'date', '0.8']]"
