id,text,text_el,is_criticism,topic-context,subtopic-context,sentiment,polarization-definition,populism-definition,ner-limited
1,"Friends, comrades, and companions, we are here again in Patras, 6 days before the elections, to bring the one and only hopeful message that can emerge from the ballot box in June. And that is the even greater strengthening of Mr. C.E.","Φίλες και φίλοι, συντρόφισσες και σύντροφοι, βρισκόμαστε ξανά εδώ στην Πάτρα, 6 μέρες πριν τις εκλογές για να μεταφέρουμε το ένα και μοναδικό ελπιδοφόρο μήνυμα που μπορεί να προκύψει από την κάλπη του Ιούνη. Και αυτό είναι η ακόμα μεγαλύτερη ενίσχυση του κ. Κ. Ε. ",political agenda,elections,other,0.6,0.0,0.0,"[['patras', 'location', '1.0'], ['june', 'date', '1.0'], ['mr. c.e.', 'person', '1.0']]"
2,"When the exploiters in this country feel happy, it is because they will have a government that can do their work for them starting on Monday.","Γιατί όταν οι εκμεταλλευτές σε αυτή τη χώρα θα νιώθουν ευχαριστημένοι, γιατί από Δευτέρα θα έχουν την αυτοδύναμη κυβέρνηση να τους κάνει τη δουλειά τους. ",criticism,democracy,austerity,-0.6,0.0,0.0,"[['government', 'organization', '0.75'], ['monday', 'date', '0.5'], ['country', 'country', '0.5']]"
3,"The workers, laborers, working people, professionals, scientists, and peasants will feel happy and content for the exact opposite reason. There will be a 100% popular militant opposition against this government. And that is only thanks to Mr. C.E.","Οι εργάτες και οι εργάτριες, οι άνθρωποι του μόχθου, οι επαγγελματίες, οι επιστήμονες, οι αγρότες, θα νιώθουν και αυτοί ευτυχισμένοι και ευχαριστημένοι για το ακριβώς αντίθετο. Γιατί απέναντι σε αυτή την κυβέρνηση θα υπάρχει μια 100% λαϊκή μαχητική αντιπολίτευση. Κι αυτή είναι μόνο το κ. Κ. Ε. ",political agenda,elections,other,,1.0,0.2,"[['workers', 'group of people', '0.8'], ['laborers', 'group of people', '0.7'], ['working people', 'group of people', '0.6'], ['professionals', 'group of people', '0.7'], ['scientists', 'group of people', '0.6'], ['peasants', 'group of people', '0.6'], ['government', 'organization', '0.9'], ['mr. c.e.', 'person', '0.8']]"
4,"But we are also a few days after another predictable crime: the shipwreck off Pylos that continues to shock us all. Mr. C.E. is once again taking responsibility and speaking clearly against the rot and cynicism of all the voices in the system. There is the choice of the action of organized struggle in the face of what freezes the soul, against statements that only cause nausea, such as how much a search and rescue operation costs Greece, as others say. There will be a Mr. C.E. who will say when a mother and her child enter the hold of a nutcracker. Everything must be done to protect human life at sea and save it, as provided for by international conventions.","Βρισκόμαστε όμως και λίγες μέρες μετά από ένα ακόμα προδιαγεγραμμένο έγκλημα. Το ναυάγιο ανοιχτά της Πύλου που συνεχίζει να μας συγκλονίζει όλους και όλες. Το κ. Κ. Ε. Αναλαμβάνει ξανά τις ευθύνες του και λέει καθαρά κόντρα στη σήψη και τον κυνισμό όλων των φωνών του συστήματος. Υπάρχει η επιλογή της δράσης του οργανωμένου αγώνα απέναντι σε ότι παγώνει την ψυχή, κόντρα σε δηλώσεις που προκαλούν μόνο αναγούλα, όπως το πόσο στοιχίζει στην Ελλάδα μια επιχείρηση έρευνας και διάσωσης που λένε οι άλλοι. Θα υπάρχει το κ. Κ. Ε. Που θα λέει όταν μια μάνα μπαίνει με το παιδί της στα αμπάρια ενός καρυδότσουφλου. Πρέπει να γίνουν όλα όσα προβλέπονται από τις διεθνείς συμβάσεις για την προστασία της ανθρώπινης ζωής στη θάλασσα και να σωθεί. ",political agenda,migration,other,0.3,0.0,0.0,"[['pylos', 'location', '0.8'], ['c.e.', 'person', '1.0'], ['greece', 'country', '0.7'], ['international conventions', 'organization', '0.7']]"
5,"We are in this whole debate. We also want to say one thing clearly. Yes, everyone can feel human when they go out on the street, stand up in shock and anger, and defend the life of every human being who is being priced too high in this system and ultimately priced too cheaply by decision makers for the few to pay too dearly. For Mr. C. E., the dilemma of profits or lives is answered every day in the struggle to overturn this injustice and the laws that impose it on the struggle. It is for all of us, especially our children, to live better.","Εμείς σε όλη αυτή τη συζήτηση. Ένα πράγμα επίσης λέμε καθαρά. Ναι, μπορεί ο καθένας να αισθάνεται άνθρωπος όταν βγαίνει στο δρόμο, να υπερασπιστεί συγκλονισμένος και οργισμένος τη ζωή κάθε ανθρώπου που μέσα σε αυτό το σύστημα κοστολογείται πολύ ακριβά και κοστολογείται τελικά από τους ιθύνοντες πολύ φτηνά για να την πληρώνουν οι λίγοι πολύ ακριβά.  Για το κ. Κ. Ε. Το δίλημμα με τα κέρδη ή με τις ζωές απαντιέται καθημερινά στον αγώνα για την ανατροπή αυτής της αδικίας, για την ανατροπή των νόμων που την επιβάλλουν στον αγώνα. Για να ζήσουμε καλύτερα όλοι εμείς και κυρίως τα παιδιά μας. ",political agenda,human rights,injustice,,0.2,0.0,"[['mr. c. e.', 'person', '0.9']]"
6,"And for the executives of New Democracy who go around the channels and have the audacity to claim that they are realistic, they say that humanism is cheap and only for living rooms.","Και προς τα στελέχη της Νέας Δημοκρατίας που περιδιαβαίνουν στα κανάλια και έχουν το θράσος να είναι να ισχυρίζονται πως είναι με τον ρεαλισμό, τάχα πως ο ανθρωπισμός λένε, είναι ανέξοδος και είναι για τα σαλόνια. ",criticism,human rights,other,-0.7,0.1,0.2,"[['new democracy', 'political party', '1.0']]"
7,"We communists answer other militants. Like millions of people in our country and around the world, we are inspired by the words of Che, that great revolutionary, who said that the life of a human being is worth a million times more than the fortune of the richest man on earth.","Τους απαντάμε εμείς οι κομμουνιστές, άλλοι αγωνιστές, όπως και εκατομμύρια άνθρωποι και στη χώρα μας και σε όλο τον κόσμο εμπνέονται από τα λόγια του Τσε, του μεγάλου αυτού επαναστάτη, πως η ζωή ενός ανθρώπινου πλάσματος αξίζει ένα εκατομμύριο φορές περισσότερο από την περιουσία του πλουσιότερου ανθρώπου πάνω στη γη. ",political agenda,human rights,other,1.0,0.0,0.0,"[['che', 'person', '0.9'], ['millions of people', 'group of people', '0.7'], ['our country', 'location', '0.6'], ['world', 'location', '0.6']]"
8,"Why 2023? Realism is to stop the social parasitism of capitalists who, for the sake of their profits, are determined to commit any crime. You see, each party chooses what it will describe as humanism and realism.","Γιατί το 2023; Ρεαλισμός είναι να σταματήσει ο κοινωνικός παρασιτισμός των καπιταλιστών που για χάρη των κερδών τους δεν υπάρχει έγκλημα που να μην είναι αποφασισμένοι να το κάνουν. Βλέπετε, το κάθε κόμμα επιλέγει τι είναι αυτό που θα χαρακτηρίσει ως ανθρωπισμό και ρεαλισμό. ",political agenda,human rights,bankers,0.0,0.0,0.0,"[['2023', 'date', '1.0'], ['capitalists', 'group of people', '0.8'], ['each party', 'group of people', '0.5.']]"
9,"New Democracy, SYRIZA, and PASOK have characterized the bombing of Libya, Syria, Iraq, Yugoslavia, and the criminal actions of the murderous state of Israel against Palestine as humanitarian interventions and realistic approaches to the modern world. As long as they stand with complacency and attention next to the butchers of this world, cooperate with authoritarian regimes, and conclude agreements so that Greek monopolistic groups can profit from the occupation of bombed and poor countries, we must be rebellious.","Νέα Δημοκρατία, ΣΥΡΙΖΑ και ΠΑΣΟΚ έχουν χαρακτηρίσει ανθρωπιστικές επεμβάσεις και ρεαλιστικές προσεγγίσεις του σύγχρονου κόσμου τον βομβαρδισμό της Λιβύης, της Συρίας, του Ιράκ, της Γιουγκοσλαβίας, παλιότερα, τις εγκληματικές ενέργειες του κράτους δολοφόνου του Ισραήλ εναντίον της Παλαιστίνης και ούτω καθεξής. Για να είμαστε λοιπόν εξεγερμένοι, όσο αυτοί θα στέκονται με αυταρέσκεια, προσοχή δίπλα στους μακελάρηδες αυτού του κόσμου, όσο θα συνεργάζονται με αυταρχικά καθεστώτα, όσο θα συνάπτουν συμφωνίες για να κερδίζουν και οι ελληνικοί μονοπωλιακοί όμιλοι από την καταλήστευση βομβαρδισμένων και φτωχών χωρών. ",criticism,external affairs,other,-0.8,0.8,0.2,"[['new democracy', 'organization', '0.85'], ['syriza', 'organization', '0.85'], ['pasok', 'organization', '0.85'], ['libya', 'location', '0.8'], ['syria', 'location', '0.8'], ['iraq', 'location', '0.8'], ['yugoslavia', 'location', '0.8'], ['israel', 'location', '0.8'], ['palestine', 'location', '0.8'], ['greek', 'group of people', '0.7']]"
10,"As long as we approach the refugee problem with realism, we will honor the memory of the little Aylan children who were lost a few days ago. We will show solidarity with all persecuted individuals, make practical suggestions to abolish the European Union's unacceptable agreements, establish asylum committees in Turkey, and facilitate refugees' travel to their intended destinations. We will strive to eliminate the corrupt system that perpetuates crises, war, poverty, and displacement.","Όσο δηλαδή θα είναι με το ρεαλισμό που γιγαντώνει και το προσφυγικό πρόβλημα, εμείς θα σκύβουμε ευλαβικά το κεφάλι στους μικρούς Αϊλάν που χάθηκαν ξανά πριν λίγες μέρες. Θα δίνουμε το χέρι σε κάθε κατατρεγμένο, Θα κάνουμε ρεαλιστικές προτάσεις για να καταργηθούν οι απαράδεκτες συμφωνίες της Ευρωπαϊκής Ένωσης, να οργανωθούν επιτροπές χορήγησης ασύλου μέσα στην Τουρκία και οι πρόσφυγες να πηγαίνουν από εκεί στη χώρα πραγματικού προορισμού τους. Θα παλεύουμε για να μπει στο χρονοντούλαπο της ιστορίας το σάπιο σύστημα που γεννά μόνο κρίσεις, πολέμους, φτώχεια, προσφυγιά. ",political agenda,migration,other,0.6,0.1,0.2,"[['aylan children', 'person', '0.8'], ['european union', 'organization', '0.9'], ['turkey', 'location', '0.8']]"
