id,text,text_el,is_criticism,topic-context,subtopic-context,sentiment,polarization-definition,populism-definition,ner-limited
1,"Friends, companions, and comrades, this big red, red-hot gathering of people and youth here in Athens confirms that the positive step taken in May can now be a leap forward. And this is the most optimistic, the most hopeful message! Because the ballot on Sunday may bring out the next anti-people's government, but the crucial thing for the people is that it will also bring out a 100% militant, popular opposition. And this is only the KKE, even stronger, more powerful. You see, tonight here in Syntagma Square, there is not only the central election rally of the KKE. Tonight here is the first big demonstration of the people of Athens against the new government of the New Democracy. Here is the voice of the 15% of Kaisariani, the 13.5% of Nea Ionia, the 13% of Petroupolis, the 12% of Kokkinia, the 11% of Perama, the 16% of Aspropyrgos. It is the voice of all those who have once again made the KKE the third power in Attica. And they will do it again by raising its rates everywhere.","Φίλες και φίλοι, συντρόφισσες και σύντροφοι, Αυτή η μεγάλη κόκκινη, κατακόκκινη συγκέντρωση λαού και νεολαίας εδώ στην Αθήνα επιβεβαιώνει ότι το θετικό βήμα που έγινε το Μάη, τώρα μπορεί να γίνει άλμα. Με την ακόμα μεγαλύτερη ενίσχυση του ΚKE. Κι αυτό είναι το πιο αισιόδοξο, το πιο ελπιδοφόρο μήνυμα! Γιατί μπορεί η κάλπη της Κυριακής να βγάλει την επόμενη αντιλαϊκή κυβέρνηση, όμως το κρίσιμο για το λαό είναι ότι θα αναδείξει και μια 100% μαχητική, λαϊκή αντιπολίτευση. Κι αυτή είναι μόνο το ΚΚΕ, ακόμα πιο δυνατό, πιο ισχυρό. Δείτε… απόψε εδώ στην πλατεία Συντάγματος, δεν πραγματοποιείται απλά η κεντρική προεκλογική συγκέντρωση του ΚΚΕ. Απόψε εδώ, πραγματοποιείται η πρώτη μεγάλη διαδήλωση του λαού της Αθήνας ενάντια στη νέα κυβέρνηση της ΝΔ. Εδώ είναι η φωνή του 15% της Καισαριανής, του 13,5% της Νέας Ιωνίας, του 13% της Πετρούπολης, του 12% της Κοκκινιάς, του 11% του Περάματος, του 16% του Ασπρόπυργου. Είναι η φωνή, όλων όσοι ανέδειξαν ξανά το ΚΚΕ τρίτη δύναμη στην Αττική. Και θα το ξανακάνουν ανεβάζοντας παντού τα ποσοστά του. ",political agenda,elections,election spending,0.8,0.8,0.8,"[['athens', 'location', '1.0'], ['kke', 'organization', '1.0'], ['sunday', 'date', '1.0'], ['new democracy', 'political party', '1.0'], ['kaisariani', 'location', '0.7'], ['nea ionia', 'location', '0.7'], ['petroupolis', 'location', '0.7'], ['kokkinia', 'location', '0.7'], ['perama', 'location', '0.7'], ['aspropyrgos', 'location', '0.7'], ['attica', 'location', '0.7']]"
2,"Yes, they can broadcast it and write it down. Tonight is the first demonstration against the Southwest government, which thinks it can implement its unpopular program ""on horseback"". It has already started distributing ministries and pulling bills out of drawers. We warn them to be careful because others also came on horseback but abruptly got off. It may be that for four years, the ""mufti"" opposition of SYRIZA and PASOK, who eventually became your best sponsors, paved the way for you, but there were many times when you struggled - and most importantly - failed to legitimize the policy of injustice and exploitation in the working people's consciences.","Ναι, μπορούν να το μεταδώσουν, να το γράψουν. Απόψε πραγματοποιείται η πρώτη διαδήλωση ενάντια στην κυβέρνηση της ΝΔ που νομίζει ότι έρχεται «καβάλα στο άλογο» για να εφαρμόσει το αντιλαϊκό πρόγραμμά της. Άρχισε ήδη να μοιράζει υπουργεία, να βγάζει από τα συρτάρια νομοσχέδια. Τους προειδοποιούμε: Προσέξτε καλά, γιατί κι άλλοι, ήρθαν καβάλα στο άλογο, αλλά απότομα ξεπέζεψαν. Μπορεί τέσσερα χρόνια να σας άνοιγε δρόμο η «μούφα» - αντιπολίτευση του ΣΥΡΙΖΑ και του ΠΑΣΟΚ, που έγιναν τελικά οι καλύτεροι χορηγοί σας, όμως δεν ήταν λίγες οι φορές που ζοριστήκατε -και το πιο σημαντικό- δεν καταφέρατε να νομιμοποιήσετε στις εργατικές λαϊκές συνειδήσεις την πολιτική της αδικίας, της εκμετάλλευσης.",criticism,other,other,-0.3,0.2,0.0,"[['southwest government', 'organization', '0.9'], ['syriza', 'political party', '0.8'], ['pasok', 'political party', '0.8']]"
3,"And these hardships were inflicted on you by the workers, the working class, the professional farmers and professionals, the youth, all those who took part in the great struggles of the past years. With the KKE in front, to put the slogan into practice everywhere: ""Only the people save the people on the road to revolution!"" It will do the same now. And let SYRIZA and PASOK continue to pave the way for ND, even now during the election campaign, talking about the alleged omnipotence of its government. No bourgeois government can feel omnipotent when the workers' - people's movement is strong. And in this country, there is a strong JCP, a guarantee that the people and their movement will be strong. We, of course, sometimes forget what it means to have a communist party in a country with strong ties within the people. We were reminded of this by the pioneering French trade unionist workers who welcomed us to the magnificent strikes in Paris, and we welcomed them here on May Day. They left talking about the importance of the existence and action of a strong communist party oriented to the workers' movement, to the perspective of the struggle. We were reminded of this by the president of the Amazon union who, from here in Greece, sent a message to the American workers about the need to found a workers' party in their own country. Well, yes! Hope lies in the struggle of the peoples, a struggle that grows stronger inspired, harvested by the strengthening of communists. Let us send this message to the whole world by strengthening the KKE at the ballot box on Sunday.","Κι αυτά τα ζόρια σας, ήταν από τους εργάτες, τους βιοπαλαιστές αγρότες και επαγγελματίες, τη νεολαία, όλους όσοι πήραν μέρος στους μεγάλους αγώνες τα χρόνια που πέρασαν. Με το ΚΚΕ μπροστά, να κάνει πράξη παντού το σύνθημα: “Μόνο ο λαός σώζει το λαό στο δρόμο της ανατροπής”! Το ίδιο θα κάνει και τώρα. Κι ας συνεχίζει ο ΣΥΡΙΖΑ και το ΠΑΣΟΚ να ανοίγει το δρόμο στη ΝΔ, ακόμα και τώρα προεκλογικά, μιλώντας για τη δήθεν παντοδυναμία της κυβέρνησης της. Καμία αστική κυβέρνηση δεν μπορεί να νιώθει παντοδύναμη, όταν είναι δυνατό το εργατικό - λαϊκό κίνημα. Και σ’ αυτή τη χώρα υπάρχει δυνατό ΚΚΕ, εγγύηση ότι θα είναι δυνατός ο λαός και το κίνημά του. Εμείς βέβαια, μερικές φορές ξεχνάμε τι σημαίνει η ύπαρξη κομμουνιστικού κόμματος σε μια χώρα με ισχυρούς δεσμούς μέσα στο λαό. Μας το θύμισαν οι πρωτοπόροι Γάλλοι συνδικαλιστές εργάτες που μας υποδέχτηκαν στις μεγαλειώδης απεργίες στο Παρίσι αλλά και μεις τους υποδέχτηκε εδώ την Πρωτομαγιά. Έφυγαν μιλώντας για τη σημασία ύπαρξης και δράσης δυνατού κομμουνιστικού κόμματος με προσανατολισμό στο εργατικό κίνημα, στην προοπτική της πάλης. Μας το θύμισε ο πρόεδρος του σωματείου της Amazon που από δω από την Ελλάδα, έστειλε μήνυμα στους Αμερικάνους εργάτες για την ανάγκη να ιδρυθεί εργατικό κόμμα στη δική τους χώρα. Ε, ναι λοιπόν! Η ελπίδα βρίσκεται στην πάλη των λαών, πάλη που δυναμώνει εμπνέεται, θεριεύει με το δυνάμωμα των κομμουνιστών. Αυτό το μήνυμα ας στείλουμε σε όλο τον κόσμο με την ισχυροποίηση του ΚΚΕ στην κάλπη της Κυριακής.",political agenda,elections,other,0.0,0.7,0.8,"[['kke', 'organization', '1.0'], ['syriza', 'political party', '1.0'], ['pasok', 'political party', '1.0'], ['nd', 'political party', '1.0'], ['jcp', 'political party', '1.0'], ['french', 'group of people', '1.0'], ['american', 'group of people', '1.0'], ['amazon', 'organization', '1.0'], ['greece', 'country', '1.0'], ['paris', 'location', '1.0'], ['may day', 'date', '1.0'], ['sunday', 'date', '1.0']]"
4,"Friends, companions, and comrades. The workers, the people of Attica, and the people of the entire country who voted for ND under blackmailing dilemmas, adopting the logic cultivated by SYRIZA that there is no alternative, or are now thinking of voting for it because they think it is playing without an opponent. We say to them to think about the following: They have no reason to strengthen ND even more, just as everyone has every reason to shorten it, to cut it down a bit.","Φίλες και φίλοι Συντρόφισσες και σύντροφοι Οι εργάτες και οι εργάτριες, οι λαϊκοί άνθρωποι της Αττικής, όλης της χώρας, που ψήφισαν τη ΝΔ, κάτω από τα εκβιαστικά διλήμματα, υιοθετώντας τη λογική που καλλιέργησε ο ΣΥΡΙΖΑ, ότι δεν υπάρχει εναλλακτική ή σκέφτονται τώρα να την ψηφίσουν, γιατί θεωρούν πως παίζει χωρίς αντίπαλο, τούς λέμε να σκεφτούν τα εξής: Δεν έχουν κανέναν λόγο να ενισχύσουν ακόμα περισσότερο τη ΝΔ, ίσα ίσα όλοι έχουν κάθε λόγο να την κοντύνουν, να της κόψουν λίγο τη φόρα. ",criticism,elections,election spending,-0.5,0.4,0.5,"[['attica', 'location', '0.7'], ['nd', 'political party', '1.0'], ['syriza', 'political party', '1.0']]"
5,"Because they will find this vote against them tomorrow when the big employers ask them to put more backbone to save the company's profits, and when they refuse to sign a collective agreement. They will find it against them when the banks and funds squeeze the people's families, and when New Democracy implements one unpopular precondition after another of the Recovery Fund, loading new burdens on the people to save the groups and banks in the new crisis. This is the vote that the workers will find against them when the government of the Southwest puts into practice the Commission's suggestions for new cuts in social spending, new taxes on the people to ease the burden on capital, and frozen wages and pensions until further notice. They will find it against them when the Southwest, with Mitsotakis' personal supervision, builds the New NHS SA and promotes the Universities SA by abolishing Article 16 with the consent of SYRIZA and PASOK. The workers will find this vote for ND against them when it involves us even more in the massacre in Ukraine alongside NATO and the USA, who are already preparing the new dangerous developments in Greek-Turkish relations.","Γιατί αυτή την ψήφο θα τη βρουν αύριο απέναντί τους, όταν οι μεγαλοεργοδότες θα τους ζητάνε να βάλουν περισσότερο πλάτη για να σωθούν τα κέρδη της επιχείρησης, θα αρνούνται να υπογράψουν συλλογική σύμβαση. Θα τη βρουν απέναντί τους όταν τα κοράκια των τραπεζών και των funds, θα ξεσπιτώνουν τις λαϊκές οικογένειες, όταν η ΝΔ θα υλοποιεί το ένα μετά το άλλο τα αντιλαϊκά προαπαιτούμενα του Ταμείου Ανάκαμψης, θα φορτώνει νέα βάρη στο λαό για να σωθούν οι όμιλοι και οι τράπεζες στη νέα κρίση. Αυτή την ψήφο οι εργαζόμενοι θα τη βρουν απέναντί τους, όταν η κυβέρνηση της ΝΔ θα κάνει πράξη τις υποδείξεις της Κομισιόν για νέες περικοπές κοινωνικών δαπανών, νέους φόρους στον λαό για να ελαφρύνουν το κεφάλαιο, για καθηλωμένους μισθούς και συντάξεις μέχρι νεοτέρας. Θα τη βρουν απέναντί τους, όταν η ΝΔ -με προσωπική όπως λέει επίβλεψη του Μητσοτάκη- θα φτιάχνει το Νέο ΕΣΥ ΑΕ. Και θα προωθεί τα Πανεπιστήμια ΑΕ καταργώντας το άρθρο 16 με τη συναίνεση φυσικά του ΣΥΡΙΖΑ και του ΠΑΣΟΚ. Αυτή την ψήφο στη ΝΔ, οι εργαζόμενοι θα τη βρουν απέναντί τους, όταν θα μας εμπλέκει ακόμα περισσότερο στο μακελειό στην Ουκρανία στο πλευρό του ΝΑΤΟ και των ΗΠΑ, οι οποίοι ήδη προετοιμάζουν και τις νέες επικίνδυνες εξελίξεις στα ελληνοτουρκικά. ",criticism,employment,workers' rights,-0.8,0.7,0.0,"[['employers', 'group of people', '0.6'], ['collective agreement', 'organization', '0.6'], ['banks', 'organization', '0.6'], ['funds', 'organization', '0.6'], ['new democracy', 'political party', '0.6'], ['recovery fund', 'organization', '0.6'], ['southwest', 'location', '0.6'], ['commission', 'organization', '0.6'], ['syriza', 'political party', '0.6'], ['pasok', 'political party', '0.6'], ['nhs sa', 'organization', '0.6'], ['universities sa', 'organization', '0.6'], ['mitsotakis', 'person', '0.6'], ['article 16', 'organization', '0.6'], ['nato', 'organization', '0.6'], ['usa', 'country', '0.6'], ['ukraine', 'country', '0.6'], ['greek-turkish', 'location', '0.6']]"
6,"But why can Mitsotakis wag his finger at the people, when the map is painted blue? He must start to show red at least in the background. And if May was a little dimmer, now in June it may be more vivid. And this even greater percentage of the KKE is proof that a current of questioning the dominant politics, its class character, which is served by the parties of capital and their governments as a whole, is being strengthened. Proof that the search for a solution to today's problems through organized struggle, participation in the movement, and collective action is gaining strength.","Γιατί μπορεί όμως ο Μητσοτάκης να κουνάει το δάχτυλο στο λαό, πως ο χάρτης βάφτηκε μπλε, πρέπει να αρχίζει έστω στο βάθος να προβάλλει το κόκκινο. Και αν το Μάη ήταν λίγο πιο αχνό, τώρα τον Ιούνη μπορεί να είναι πιο ζωντανό. Κι αυτό το ακόμα μεγαλύτερο ποσοστό του ΚΚΕ είναι η απόδειξη ότι ενισχύεται ένα ρεύμα αμφισβήτησης της κυρίαρχης πολιτικής, του ταξικού της χαρακτήρα, που υπηρετούν σύσσωμα τα κόμματα του κεφαλαίου και οι κυβερνήσεις τους. Απόδειξη, ότι δυναμώνει η αναζήτηση λύσης στα σημερινά προβλήματα μέσα από τον οργανωμένο αγώνα, τη συμμετοχή στο κίνημα, τη συλλογική δράση.",criticism,elections,other,0.4,0.2,0.0,"[['mitsotakis', 'person', '0.7'], ['kke', 'organization', '0.9'], ['capital', 'organization', '0.6'], ['government', 'organization', '0.5']]"
7,"So, just as the workers have no reason to further strengthen ND, they have no reason to scatter their votes to the parties of the consensual, systemic opposition, such as SYRIZA and PASOK. They will continue to vote for one of Mitsotakis' bills after another, and stand back in all critical moments, as social democracy has always done. Neither do the parties created by the media establishment, such as Mrs. Konstantopoulou's with her sinful past, have anything to offer our people and their struggles. Nor, of course, do the various far-right formations that are being pushed to enter Parliament.","Όπως λοιπόν, οι εργαζόμενοι δεν έχουν κανέναν λόγο να ενισχύσουν ακόμα περισσότερο τη ΝΔ, δεν έχουν και κανένα λόγο να σκορπίσουν την ψήφο τους στα κόμματα της συναινετικής, συστημικής αντιπολίτευσης, στον ΣΥΡΙΖΑ και στο ΠΑΣΟΚ. Που θα συνεχίζουν να ψηφίζουν το ένα μετά το άλλο τα νομοσχέδια του Μητσοτάκη, να βάζουν πλάτη σε όλες τις κρίσιμες στιγμές, όπως πάντα έκανε η σοσιαλδημοκρατία.Δεν έχουν να προσφέρουν τίποτα στον λαό μας και στους αγώνες του, ούτε τα κόμματα-δημιουργήματα του μιντιακού κατεστημένου, όπως αυτό της κυρίας Κωνσταντοπούλου με το αμαρτωλό παρελθόν. Ούτε φυσικά τα διάφορα ακροδεξιά μορφώματα που σπρώχνονται να μπουν στη Βουλή.",criticism,other,other,-0.5,0.8,0.0,"[['nd', 'organization', '1.0'], ['syriza', 'political party', '1.0'], ['pasok', 'political party', '1.0'], ['mitsotakis', 'person', '1.0'], ['mrs. konstantopoulou', 'person', '1.0'], ['parliament', 'location', '1.0']]"
8,"Fortunately, in Greece, there is a real choice for the people - a choice of 100% popular, militant opposition - because there is the KKE! You know this well. That is why you are trying to silence our voice with blockades, fines, and even legal proceedings against our cadres who stand in front of the struggles of the people and the youth. You are tiring in vain. These things do not work here. You do not get off so easily with us, neither you who dream of omnipotence nor you who dream of a reconstitution of the two-party system. The rotten system you serve doesn't get off that easy with us either.","Ευτυχώς στην Ελλάδα υπάρχει πραγματική επιλογή για τον λαό, επιλογή 100% λαϊκής, μαχητικής αντιπολίτευσης, γιατί υπάρχει ΚΚΕ! Ναι, λοιπόν, εδώ υπάρχει ΚΚΕ που θα σας κάνει τη ζωή δύσκολη. Το ξέρετε καλά αυτό. Γι’ αυτό προσπαθείτε να φιμώσετε τη φωνή μας, με αποκλεισμούς, πρόστιμα, ακόμα και με δικαστικές διώξεις σε στελέχη μας, που μπαίνουν μπροστά στους αγώνες του λαού και της νεολαίας. Άδικα κουράζεστε. Αυτά εδώ δεν πιάνουν. Δεν ξεμπερδεύετε έτσι εύκολα με εμάς, ούτε εσείς που ονειρεύεστε παντοδυναμίες, ούτε εσείς που ονειρεύεστε αναστύλωση του δικομματισμού. Δεν ξεμπερδεύει έτσι εύκολα με μας ούτε το σάπιο σύστημα που υπηρετείτε.",criticism,democracy,other,-0.4728,0.7,0.8,"[['greece', 'location', '1.0'], ['kke', 'organization', '1.0']]"
9,"In fact, SYRIZA executives have the nerve to say that if the KKE gets 1% more, it doesn't matter, unlike their party getting 1-2% more. Since they gave 41% to ND, they have dedicated this whole election period to figuring out how to cut something from KKE. They want to hide, but the dirty tricks they copied from PASOK won't let them. They are clearly judging by looking at themselves in the mirror. They weigh votes by their own criteria that are subservient to the system. They are not only trying to hit the KKE, but also trying to trip up those who feel left-wing and progressive. They are doing everything they can to prevent ordinary people from making a radical and progressive choice, which is only the KKE. The truth is, it will make no positive difference to the people if PASOK has one point more, and it will make no positive difference to the people if SYRIZA has one point more. It is exactly the opposite. Increasing the number of MPs who will continue on the path that made the New Democracy party stronger, namely the path of consensual opposition, convergence on strategic issues, and voting for dozens of unpopular bills, will be a negative development.","Μάλιστα έχουν το θράσος, στελέχη του ΣΥΡΙΖΑ, να λένε ότι αν πάρει 1% παραπάνω το ΚΚΕ, δεν έχει καμιά σημασία, σε αντίθεση με το 1-2% αν πάρει παραπάνω το κόμμα τους. Αφού βέβαια έχουν χαρίσει το 41% στη ΝΔ, έχουν αφιερώσει όλη αυτή την προεκλογική περίοδο, στο πώς θα κόψουν κάτι από το ΚΚΕ.Θέλουν να κρυφτούν, αλλά τα βρώμικα κόλπα που αντέγραψαν από το ΠΑΣΟΚ, δεν τους αφήνουν. Είναι ξεκάθαρο ότι κρίνουν κοιτώντας τον εαυτό τους στον καθρέφτη. Ζυγίζουν τις ψήφους με τα δικά τους κριτήρια που είναι υποταγμένα στο σύστημα. Δεν προσπαθούν μόνο να χτυπήσουν το ΚΚΕ, να βάλουν τρικλοποδιές σε όσους νιώθουν αριστεροί, προοδευτικοί. Κάνουν ό,τι μπορούν για να εμποδίσουν απλό κόσμο να κάνει μία ριζοσπαστική και προοδευτική επιλογή κι αυτή είναι μόνο το ΚΚΕ. Η αλήθεια είναι, πως δεν θα κάνει καμία θετική διαφορά για τον λαό, αν έχει το ΠΑΣΟΚ μία μονάδα παραπάνω, δεν θα έχει καμία θετική διαφορά για τον λαό, αν ο ΣΥΡΙΖΑ έχει μία μονάδα παραπάνω. Συμβαίνει ακριβώς το αντίθετο. Γιατί θα είναι αρνητική εξέλιξη να αυξηθούν οι βουλευτές εκείνοι που θα συνεχίσουν στον δρόμο που έκανε τη ΝΔ πιο ισχυρή, δηλαδή στον δρόμο της συναινετικής αντιπολίτευσης, της σύγκλισης σε στρατηγικά ζητήματα και της υπερψήφισης δεκάδων αντιλαϊκών νομοσχεδίων.",criticism,elections,election spending,-0.8225,0.8,0.7,"[['syriza', 'organization', '1.00'], ['kke', 'political party', '1.00'], ['nd', 'political party', '1.00'], ['pasok', 'political party', '1.00'], ['greek', 'location', '1.00'], ['kke', 'political party', '1.00] (again)'], ['pasok', 'political party', '1.00] (again)'], ['syriza', 'organization', '1.00] (again)'], ['new democracy', 'political party', '1.00']]"
10,"For the KKE, however, even one person taking a step counts and makes a difference, not just 1%. Because it is a consciousness that moves forward, it is a person who can stand with those who, through organized, collective struggle, multiply the pockets of resistance and assertion. He is a man who can turn the step of strengthening the KKE into a leap of conscious questioning of the policy that suffocates the people. ""He is a man,"" as Nazim Hikmet wrote, ""who is bodied to walk, chained to him,"" but he ""sticks his tongue out at them."" Because he chooses to cross over to the opposite camp, he chooses to reinforce the opposing awe. To stand on the side of the working interests and the militant popular opposition. He chooses the KKE. Friends, compañeras, and compañeros, we will go to the polls on Sunday, in every way, with every sacrifice, and we will go with heart, with mind, but also with anger. Our heart beats for all the working people in this country. Those who every day ""bleed their minds, bleed their nails, to get the bread of the epicyclic"", to use the lyrics of a song by our great music composer Yannis Markopoulos whom we recently bid farewell. Because we are their Party, even if they don't know it, and because everyone is one of us. We don't see working people as pipsqueaks. We do not put any label on them, we do not distinguish them except on the basis of whether they belong to the exploiters or to those who are exploited in today's society. Our own minds, our own thoughts are dedicated to their liberation, the liberation of all of us from the shackles of exploitation. To the overthrow of barbarism and the building of another, just society, the society of socialism. This is, after all, the reason why the KKE exists. And this is also the reason why the KKE is the only party that can make a real, militant, popular opposition, not only to the unpopular government of the South-West, but to the system itself and its power, so that the road to overthrow can finally be opened, so that the people themselves, the workers, can come to power, take the wealth they produce into their hands, so that we can live according to the possibilities of the times. That is why we, as our poet Yannis Ritsos says, ""do not sing to separate ourselves from the world, we sing to unite the world"". Yes, we don't look at what color the map is painted in each region to step forward, to dedicate our time and all our efforts, to give everything for its people. No communist asked the people in Thessaloniki, for example, what they voted for before diving into the muddy waters to help them clean their homes last Saturday.","Για το ΚΚΕ, όμως, όχι 1%, αλλά ακόμα κι ένας άνθρωπος να κάνει το βήμα, μετράει και κάνει τη διαφορά. Γιατί είναι μία συνείδηση που πάει μπροστά, είναι ένας άνθρωπος που μπορεί να στοιχηθεί στο πλάι εκείνων που με τον οργανωμένο, συλλογικό αγώνα πολλαπλασιάζουν τις εστίες αντίστασης και διεκδίκησης. Είναι ένας άνθρωπος που μπορεί το βήμα ενίσχυσης του ΚΚΕ να το μετατρέψει σε άλμα συνειδητής αμφισβήτησης της πολιτικής που πνίγει τον λαό. «Είναι ένας άνθρωπος», όπως έγραψε ο Ναζίμ Χικμέτ, «που τον μποδίζουν να βαδίζει, που τον αλυσοδένουνε», αλλά αυτός «τη γλώσσα του τους βγάζει». Γιατί επιλέγει να περάσει στο απέναντι στρατόπεδο, επιλέγει να ενισχύσει το αντίπαλο δέος. Να σταθεί με τη μεριά των εργατικών συμφερόντων και της μαχητικής λαϊκής αντιπολίτευσης. Επιλέγει το ΚΚΕ. Φίλες και φίλοι, συντρόφισσες και σύντροφοι, Στις κάλπες της Κυριακής, θα πάμε με κάθε τρόπο, με κάθε θυσία και θα πάμε με καρδιά, με μυαλό, αλλά και με οργή. Η δική μας η καρδιά χτυπάει για όλους τους ανθρώπους του μόχθου σε αυτή τη χώρα. Αυτούς που κάθε μέρα «ματώνουν τη σκέψη τους, ματώνουν τα νύχια τους, για να βγάλουν τον άρτο τον επιούσιο», για να χρησιμοποιήσουμε τους στίχους από ένα τραγούδι του μεγάλου μας μουσικοσυνθέτη Γιάννη Μαρκόπουλου που αποχαιρετήσαμε πρόσφατα. Γιατί είμαστε το Κόμμα τους, ακόμα και αν δεν το ξέρουν, και γιατί όλοι είναι ένας από εμάς. Εμείς δεν βλέπουμε τους ανθρώπους του μόχθου σαν κουκιά. Δεν τους βάζουμε καμία ταμπέλα, δεν τους ξεχωρίζουμε παρά μόνο με κριτήριο το αν ανήκουν στους εκμεταλλευτές ή σε αυτούς που υφίστανται την εκμετάλλευση στη σημερινή κοινωνία. Το δικό μας μυαλό, η δική μας σκέψη είναι αφιερωμένη στην απελευθέρωσή τους, την απελευθέρωση όλων μας από τα δεσμά της εκμετάλλευσης. Στην ανατροπή της βαρβαρότητας και την οικοδόμηση μιας άλλης, δίκαιης κοινωνίας, της κοινωνίας του σοσιαλισμού. Αυτός είναι, άλλωστε, ο λόγος που υπάρχει το ΚΚΕ. Κι αυτός είναι επίσης ο λόγος που το ΚΚΕ είναι το μόνο κόμμα που μπορεί να κάνει πραγματική, μαχητική, λαϊκή αντιπολίτευση, όχι μόνο απέναντι στην αντιλαϊκή κυβέρνηση της ΝΔ, αλλά απέναντι στο ίδιο το σύστημα και την εξουσία του, για να ανοίξει επιτέλους ο δρόμος της ανατροπής για να έρθει ο ίδιος ο λαός, οι εργαζόμενοι στην εξουσία, να πάρουν στα χέρια τους το πλούτο που παράγουν, για να ζήσουμε με βάση τις δυνατότητες της εποχής. Γι’ αυτό κι εμείς όπως λέει και ο ποιητής μας ο Γιάννης Ρίτσος «δεν τραγουδάμε για να ξεχωρίσουμε απ’ τον κόσμο, εμείς τραγουδάμε για να σμίξουμε τον κόσμο». Ναι, εμείς δεν κοιτάμε τι χρώμα βάφτηκε ο χάρτης στην κάθε περιοχή για να μπούμε μπροστά, να αφιερώσουμε τον χρόνο μας και όλες μας τις δυνάμεις, να τα δώσουμε όλα για τους ανθρώπους της. Κανένας κομμουνιστής δεν ρώτησε τους ανθρώπους, για παράδειγμα, στη Θεσσαλονίκη, τι ψήφισαν, πριν βουτήξει στα λασπόνερα για να τους βοηθήσει να καθαρίσουν τα σπίτια τους το περασμένο Σάββατο. ",political agenda,elections,working class,0.0,0.2,0.0,"[['kke', 'organization', '1.0'], ['nazim hikmet', 'person', '1.0'], ['yannis markopoulos', 'person', '1.0'], ['yannis ritsos', 'person', '1.0'], ['thessaloniki', 'location', '1.0'], ['sunday', 'date', '1.0']]"
