id,text,text_el,is_criticism,topic-context,subtopic-context,sentiment,polarization-definition,populism-definition,ner-limited
1,"Friends, companions, and comrades, we are here today in Lamia, three days before the elections, to convey once again to the people of Fthiotida the one and only hopeful message that can emerge from the ballot box of June. And that is the even greater strengthening of the KKE so that our people will be stronger the next day! We can do it; we have proved it. In the May elections, a step was taken both nationwide and here in Fthiotida. The KKE was strengthened in votes, percentages, and seats. And Fthiotida elected a communist MP for the first time in many years. And this is only a gain for its people. We know that this development did not come by chance. The people of Fthiotida, many of whom may not agree with us on everything, have rewarded the KKE's dedication to the interests of the people of the region, our constant presence here, and our systematic engagement with the problems. The workers of LARCO, for example, weighed who has been by their side all these years, inside and outside the factory, who is, after all, flesh and blood, and who is against them in their struggle to stay in their jobs and homes so that this great wealth of the region does not go to waste, so that this great wealth of the region is not handed over to big capital. And they gave the KKE 20% in the villages and towns of Lokrida where they live and work. This is the KKE; this is who we are! And this is the answer to SYRIZA and to Mr. Tsipras, who dared to say that ""the KKE does not care how the workers live,"" ""it only cares,"" he said, ""to hold up its banners""! He should come here to say this to the workers of LARCO who have fought a heroic struggle with the communists in front. And as I was informed just now, the LARCO union elections have just ended, and the results have been announced. So for the first time there, the communists, the trade unionists, the class forces, this union has won 8 of the 9 seats on the Board of Directors, voting for the workers by 89%. Because we are interested in the worker having a living wage, living for his family, his children, returning home safe and sound. And if the KKE can today lead the working people's struggles, it is because on its banners - that is, on its political proposal - are written in large letters the modern needs of the workers, which will be satisfied by the society for which the KKE is fighting. And not, of course, the rotten system of exploitation and injustice that SYRIZA served both as government and opposition.","Φίλες και φίλοι, συντρόφισσες και σύντροφοι,Βρισκόμαστε και σήμερα εδώ, στη Λαμία τρεις μέρες πριν από τις εκλογές, για να μεταφέρουμε ξανά και στον λαό της Φθιώτιδας το ένα και μοναδικό ελπιδοφόρο μήνυμα που μπορεί να προκύψει και από την κάλπη του Ιούνη. Κι αυτό είναι η ακόμα μεγαλύτερη ενίσχυση του ΚΚΕ! Για να είναι την επόμενη μέρα πιο δυνατός ο λαός μας!Μπορούμε να τα καταφέρουμε, το αποδείξαμε. Στις εκλογές του Μαΐου έγινε ένα βήμα και πανελλαδικά και εδώ στη Φθιώτιδα. Το ΚΚΕ ενισχύθηκε σε ψήφους, σε ποσοστά και σε έδρες. Και η Φθιώτιδα εξέλεξε κομμουνιστή βουλευτή για πρώτη φορά μετά από πολλά χρόνια. Και αυτό είναι μόνο κέρδος για τον λαό της.Ξέρουμε ότι αυτή η εξέλιξη δεν ήρθε τυχαία. Ο λαός της Φθιώτιδας, πολλοί άνθρωποι οι οποίοι μπορεί να μην συμφωνούν σε όλα μαζί μας, επιβράβευσαν όμως, την αφοσίωση του ΚΚΕ στα συμφέροντα του λαού της περιοχής, τη σταθερή παρουσία μας εδώ, τη συστηματική μας ενασχόληση με τα προβλήματα. Οι εργάτες της ΛΑΡΚΟ, για παράδειγμα, ζύγισαν ποιος είναι δίπλα τους όλα αυτά τα χρόνια, μέσα και έξω από το εργοστάσιο, ποιος είναι σε τελική ανάλυση σάρκα από τη σάρκα τους, και ποιος είναι απέναντί τους στον αγώνα που δίνουν για να μείνουν στις δουλειές και τα σπίτια του, για να μην πάει στράφι, να μην παραδοθεί στο μεγάλο κεφάλαιο αυτός ο μεγάλος πλούτος της περιοχής. Κι έδωσαν στο ΚΚΕ 20% στα χωριά και τις κωμοπόλεις της Λοκρίδας όπου ζουν κι εργάζονται οι ίδιοι. Αυτό είναι το ΚΚΕ, αυτοί είμαστε! Και αυτή είναι και η απάντηση στον ΣΥΡΙΖΑ και στον κ. Τσίπρα που τόλμησε να πει πως “το ΚΚΕ δεν ενδιαφέρεται πώς ζουν οι εργαζόμενοι», «ενδιαφέρεται, είπε, «μόνο να κρατάει ψηλά τα λάβαρά του”! Να έρθει να τα πει αυτά εδώ στους εργάτες της ΛΑΡΚΟ που έχουν δώσει έναν ηρωικό αγώνα με τους κομμουνιστές μπροστά. Και όπως μόλις πριν με πληροφόρησαν, τέλειωσαν πριν από λίγο οι εκλογές του σωματείου της ΛΑΡΚΟ και ανακοινώθηκαν τα αποτελέσματα. Έτσι λοιπόν για πρώτη φορά εκεί οι κομμουνιστές, οι συνδικαλιστές, οι ταξικές δυνάμεις, το σωματείο αυτό απέκτησαν 8 από τις 9 έδρες που έχει το Διοικητικό Συμβούλιο, ψηφίζοντας τους εργάτες κατά 89%. Γιατί εμάς μας ενδιαφέρει να έχει ο εργάτης μεροκάματο να ζει την οικογένεια του, τα παιδιά του, να γυρίζει πίσω στο σπίτι σώος και ασφαλής.Κι αν μπορεί σήμερα το ΚΚΕ να πρωτοστατεί στους εργατικούς λαϊκούς αγώνες, είναι γιατί πάνω στα λάβαρά του – δηλαδή στην πολιτική του πρόταση – είναι γραμμένες με μεγάλα γράμματα οι σύγχρονες ανάγκες των εργαζομένων που θα τις ικανοποιήσει η κοινωνία για την οποία παλεύει το ΚΚΕ. Και όχι φυσικά το σάπιο σύστημα της εκμετάλλευσης και της αδικίας που υπηρέτησε ο ΣΥΡΙΖΑ και ως κυβέρνηση και ως αντιπολίτευση. ",political agenda,employment,workers' rights,0.8,0.2,0.1,"[['lamia', 'location', '1.0'], ['fthiotida', 'location', '1.0'], ['kke', 'political party', '1.0'], ['june', 'date', '1.0'], ['may', 'date', '1.0'], ['larco', 'organization', '1.0'], ['syriza', 'political party', '1.0'], ['tsipras', 'person', '1.0'], ['board of directors', 'group of people', '1.0']]"
2,"Friends, in this election, we are facing an unfair electoral law that steals seats from all parties and gives them as a bonus to Mr. Mitsotakis, as if he inherited them from his father. Therefore, in order to maintain this progress, even more people in our prefecture should support the KKE. They have every reason to do so because when the exploiters are happy, from Monday they will have a self-reliant government to do their work for them. The workers, the working people, and the breadwinners can also be happy for the exact opposite. Against this government, there will be a 100% popular, militant opposition. And that can only be the KKE!","Φίλες και φίλοι,Στις εκλογές αυτές, απέναντί μας έχουμε έναν άδικο εκλογικό νόμο που κλέβει έδρες από όλα τα κόμματα και τις δίνει μπόνους στον κύριο Μητσοτάκη, λες και τις είχε προίκα από τον πατέρα του. Γι’ αυτό, για να διατηρηθεί αυτό το βήμα που έγινε, θα πρέπει ακόμα περισσότεροι λαϊκοί άνθρωποι στον νομό μας να στηρίξουν το ΚΚΕ. Έχουν κάθε λόγο να το κάνουν. Γιατί όταν οι εκμεταλλευτές σ’ αυτή τη ώρα θα νιώθουν ευχαριστημένοι, γιατί από Δευτέρα θα έχουν την αυτοδύναμη κυβέρνηση να τους κάνει τη δουλειά τους, οι εργάτες και οι εργάτριες, οι άνθρωποι της βιοπάλης, θα μπορούν να νιώθουν κι αυτοί ευχαριστημένοι για το ακριβώς αντίθετο. Γιατί απέναντι σ’ αυτή την κυβέρνηση θα υπάρχει μια 100% λαϊκή, μαχητική αντιπολίτευση. Κι αυτή μπορεί να είναι μόνο το ΚΚΕ! ",political agenda,elections,election spending,,0.9,0,"[['mitsotakis', 'person', '1.0'], ['kke', 'organization', '1.0'], ['monday', 'date', '1.0']]"
3,"In fact, the dilemmas that the parties of the system are trying to invent in order to blackmail the popular vote - now that there is no question as to what the next government will be - are becoming more and more funny, or even repulsive, as one takes it. The Southwest says that if a strong, self-reliant government emerges, we have nothing to fear. Investments will come, wages will rise, and we will become the leading power of the 4th industrial revolution, as your well-known Mr. In short, the roosters will even start to give birth. But when the next international crisis, which seems to be on the horizon, hits the Greek economy excessively because of the extroversion that they are advertising - to be clear - because they have made tourism a national industry and have left LARKO, the plutoproductive resources of our country, and other sectors to languish, then they will once again talk about imported problems, which they could not have foreseen and for which they are not responsible. They will again give no pass for mockery and let him who saves himself be saved, as with the pandemic, the war in Ukraine, inflation, energy poverty, and crisis.","Μάλιστα, τα διλήμματα που προσπαθούν να εφεύρουν τα κόμματα του συστήματος για να εκβιάσουν τη λαϊκή ψήφο - τώρα μάλιστα που δεν υπάρχει ερώτημα για το ποια θα είναι η επόμενη κυβέρνηση - γίνονται όλο και πιο αστεία, ή και αποκρουστικά, όπως το πάρει κανείς… Η ΝΔ λέει ότι, αν προκύψει ισχυρή αυτοδύναμη κυβέρνηση δεν έχουμε να φοβόμαστε τίποτα, θα έρθουν επενδύσεις, θα ανέβουν οι μισθοί, θα γίνουμε ηγέτιδα δύναμη της 4ης βιομηχανικής επανάστασης που έλεγε και ο γνωστός σας κ. Οικονόμου, με δυο λόγια θα αρχίσουν να γεννούν μέχρι και τα κοκόρια… Όταν, όμως, θα σκάσει η επόμενη διεθνής κρίση, που όπως όλα δείχνουν είναι προ των πυλών, όταν η ελληνική οικονομία θα πληγεί υπέρμετρα, λόγω της εξωστρέφειας την οποία διαφημίζουν, δηλαδή – για να συνεννοούμαστε - λόγω του ότι έχουν κάνει εθνική βιομηχανία τον τουρισμό και έχουν αφήσει τη ΛΑΡΚΟ, τις πλουτοπαραγωγικές πηγές της πατρίδας μας και άλλους κλάδους να μαραζώνουν, τότε θα λένε πάλι για εισαγόμενα προβλήματα, τα οποία δεν θα μπορούσαν να προβλέψουν και δεν έχουν ευθύνη για αυτά. Θα δώσουν πάλι κανένα pass για κοροιδία και ο σώζων εαυτόν σωθήτω, όπως με την πανδημία, με τον πόλεμο στην Ουκρανία, τον πληθωρισμό, την ενεργειακή φτώχεια και κρίση. ",criticism,economy,other,-0.4,0.2,0.2,"[['southwest', 'group of people', '0.6'], ['mr.', 'person', '0.5'], ['greek', 'country', '0.5'], ['larko', 'organization', '0.4'], ['ukraine', 'location', '0.3']]"
4,"Their executives seemed unaware of what was coming at the time. If they had read any Rizospastis, they would have been informed about the imperialist war that has been raging in Ukraine since 2014, the consequences of the expansionist policy pursued on behalf of capital on the high prices of products, and the need to strengthen the public health system for both fixed and emergency needs that may arise.",Τα στελέχη τους εμφανίζονται ότι δεν είχαν πάρει χαμπάρι για το τι ερχόταν τότε…Ας διάβαζαν κανέναν Ριζοσπάστη και θα είχαν ενημερωθεί και για τον ιμπεριαλιστικό πόλεμο που επί της ουσίας από το 2014 μαίνεται στην Ουκρανία και για τις συνέπειες που έχει στις υψηλές τιμές των προϊόντων η επεκτατική πολιτική που ακολουθούσαν για λογαριασμό του κεφαλαίου και για την ανάγκη ενίσχυσης του δημόσιου συστήματος υγείας τόσο για τις πάγιες όσο και για τις έκτακτες ανάγκες που μπορεί να προκύψουν.,political agenda,other,press freedom,-0.5,0,0,"[['rizospastis', 'organization', '0.9'], ['ukraine', 'location', '0.9'], ['2014', 'date', '0.9']]"
5,"Why did we tell them that hospitals are not hotels where you look at the occupancy rate and say ""oh okay, it's low, we don't need more ICU beds or staff""? Because when you need them, you will run and not be able to get there, and people will die in their beds or on the street because there are no ambulances.","Γιατί, τους λέγαμε: Τα νοσοκομεία δεν είναι ξενοδοχεία να κοιτάς την πληρότητα και να λες “α εντάξει, είναι χαμηλή, δεν χρειάζονται άλλα κρεβάτια ΜΕΘ, δεν χρειάζεται άλλο προσωπικό”! Γιατί όταν θα τα χρειαστείς θα τρέχεις και δεν θα φτάνεις και θα πεθαίνει κόσμος στα ράντζα ή στο δρόμο γιατί δεν υπάρχουν ασθενοφόρα.",criticism,health,other,-0.8,0,0,"[['hospitals', 'organization', '0.85'], ['icu beds', 'organization', '0.9'], ['staff', 'organization', '0.8'], ['ambulances', 'organization', '0.75']]"
6,"For this and much more, the people of Fthiotida have no reason to give such a large percentage to New Democracy. It does not need it anyway, and the government will be self-reliant. Now you have to think a little more cunningly. Do not give them a blank check because they will then take it and write whatever they want on it. And that - believe us - you won't like at all...","Γι’ αυτά και για τόσα άλλα, δεν έχει κανέναν λόγο ο λαός της Φθιώτιδας να ξαναδώσει ένα τόσο μεγάλο ποσοστό στη Νέα Δημοκρατία. Δεν το έχει ανάγκη έτσι κι αλλιώς, κυβέρνηση θα είναι και αυτοδύναμη. Τώρα πρέπει να σκεφτείτε λίγο πιο πονηρά. Να μην της δώσετε λευκή επιταγή γιατί μετά θα την πάρει και θα γράψει πάνω ό,τι θέλει εκείνη. Και αυτό - πιστέψτε μας - δεν θα σας αρέσει μετά καθόλου... ",political agenda,elections,abstention,-0.6,0,0.2,"[['fthiotida', 'location', '0.96'], ['new democracy', 'political party', '0.89']]"
7,"And do not overlook their withdrawal of the candidate who made those disturbing comments about cancer patients. Are there not lives being lost today - where what he proposed is not happening - that could have been saved if the public healthcare system operated on a cost-benefit basis? Where else is the situation like the one in the hospital in Lamia, for example, today? Where else is the tragic shortage of ambulances and staff that led to the well-known tragic results a few days ago in Nea Makri, Chalkidiki, Kos, and elsewhere? And does SYRIZA, which was - rightly - criticized for this statement, know nothing about all this? If it does not adopt the cost-benefit criterion in healthcare, if it does not measure profits and losses, but only human lives, as it has been saying lately, then why did it not open any of the 16 public hospitals closed by previous governments, but closed an additional one in Patras? And because we now know the answer, he will tell us that at that time they had the Troika ""over their heads"" and did not implement their program... You know, that Troika that they would have kicked out, by the way, and all the time here orts... Now that, as he tells us, there are no more memoranda and restrictions, why did he say that not even as many doctors can be recruited as are provided for in the organizational charts, but he simply proposed to recruit a few more than those who are leaving?","Και μην κοιτάτε που απέσυραν τον υποψήφιό τους που είπε αυτά τα ανατριχιαστικά για τους καρκινοπαθείς. Μήπως σήμερα - που δεν συμβαίνει αυτό που πρότεινε - δεν χάνονται ζωές που θα μπορούσαν να είχαν σωθεί, επειδή το δημόσιο σύστημα υγείας λειτουργεί με όρους κόστους-οφέλους; Πού αλλού οφείλεται η κατάσταση στην οποία βρίσκεται σήμερα, για παράδειγμα, το νοσοκομείο της Λαμίας; 	Πού αλλού οφείλεται η τραγική έλλειψη σε ασθενοφόρα και προσωπικό που οδήγησε στα γνωστά τραγικά αποτελέσματα πριν λίγες μέρες στη Νέα Μάκρη, στη Χαλκιδική, στην Κω και αλλού. Και μήπως ο ΣΥΡΙΖΑ που βγήκε – δικαίως – στα κεραμίδια για τη συγκεκριμένη δήλωση, δεν ξέρει τίποτα για όλα αυτά; Αν δεν υιοθετεί το κριτήριο κόστους-οφέλους στην υγεία, αν δεν μετράει κέρδη και ζημιές, αλλά μόνο ανθρώπινες ζωές, όπως λέει τώρα τελευταία, τότε γιατί δεν άνοιξε κανένα από τα 16 δημόσια νοσοκομεία που είχαν κλείσει οι προηγούμενες κυβερνήσεις, αλλά έκλεισε κι άλλο ένα επιπλέον στην Πάτρα; Κι επειδή τη μάθαμε πια την απάντηση, θα μας πει ότι τότε είχαν “πάνω από το κεφάλι τους” την Τρόικα και δεν εφάρμοζαν το πρόγραμμά τους… Ξέρετε, εκείνη την τρόικα που θα διώχνανε παρεμπιπτόντως και συνεχλως εδώ ήτς... Τώρα που, όπως μας λέει, δεν υπάρχουν πια τα μνημόνια και οι περιορισμοί, γιατί είπε ότι δεν μπορούν να προσληφθούν ούτε καν όσοι γιατροί προβλέπονται από τα οργανογράμματα, αλλά απλά πρότεινε να προσληφθούν λίγοι παραπάνω από όσους αποχωρούν; ",criticism,health,other,-0.6,0.2,0,"[['lamia', 'location', '0.6'], ['nea makri', 'location', '0.6'], ['chalkidiki', 'location', '0.6'], ['kos', 'location', '0.6'], ['syriza', 'political party', '0.8'], ['patras', 'location', '0.6'], ['troika', 'organization', '0.6'], ['16 public hospitals', 'group of people', '0.6'], ['cancer patients', 'group of people', '0.6']]"
8,"Enough of the mockery. We are tired of saying it and we will not tire of it. These parties, ND, SYRIZA, PASOK, whatever their differences, share common programs and commitments. They are not going to deviate from the requirements of the Recovery Fund, the investment grade, or the new Stability Pact that the EU is preparing. That is why, in the face of the government of the South-West, it makes no sense for the other two parties to be stronger. They will exercise a consensual opposition and continue to vote for more than 50% and 70% of the bills respectively. SYRIZA and PASOK will make convenient, forward-looking criticism of the South-West for ""deviating from the European guidelines"" when it is precisely these guidelines that are the problem. This is truly a wasted vote for the people, as is a vote for ND or any party that swears by the current system that is crushing our lives for the gains of the few.","Φτάνει πια η κοροϊδία… Έχει μαλλιάσει η γλώσσα μας να το λέμε και δεν θα κουραστούμε: αυτά τα κόμματα, η ΝΔ, ο ΣΥΡΙΖΑ, το ΠΑΣΟΚ, όσες διαφορές κι αν έχουν, μοιράζονται κοινά προγράμματα και κοινές δεσμεύσεις. Δεν πρόκειται να παρεκκλίνουν ρούπι από τις απαιτήσεις του Ταμείου Ανάκαμψης, της επενδυτικής βαθμίδας, του νέου Συμφώνου Σταθερότητας που ετοιμάζει η ΕΕ. Γι’ αυτό, απέναντι στην κυβέρνηση της ΝΔ, δεν έχει κανένα νόημα να είναι πιο ενισχυμένα τα άλλα δύο κόμματα που θα ασκούν μια συναινετική αντιπολίτευση, που θα συνεχίσουν να υπερψηφίζουν πάνω από το 50% και 70% των νομοσχεδίων αντίστοιχα, ΣΥΡΙΖΑ ΠΑΣΟΚ, που θα κάνουν μια βολική, προωθητική κριτική στη ΝΔ ότι “παρεκκλίνει από τις ευρωπαϊκές κατευθύνσεις” ενώ αυτές ακριβώς οι κατευθύνσεις είναι το πρόβλημα… Αυτή είναι πραγματικά χαμένη ψήφος για τον λαό, όπως φυσικά και η ψήφος στη ΝΔ, όπως και σε κάθε κόμμα που ορκίζεται στο σημερινό σύστημα που τσακίζει τις ζωές μας για τα κέρδη των λίγων.",criticism,elections,european recovery fund,-0.9,0.6,0.2,"[['nd', 'political party', '0.8'], ['syriza', 'political party', '0.8'], ['pasok', 'political party', '0.8'], ['recovery fund', 'organization', '0.5'], ['eu', 'organization', '0.7'], ['south-west', 'location', '0.8']]"
9,"Friends, companions, and comrades, the essence of the problem, both in health and in industrial accidents, as well as in the crime of Tempi, which has shaken this city and its youth, and which we insist on not letting be forgotten, and in the many years of shipwrecks in the Mediterranean, lies in a slogan that the KKE has ""thrown"" to the people and seems to be touching more and more people. This slogan says: Either their profits or our lives! We answer: we are with the lives of the people. This must be expressed even more on Sunday. We are sure that those who took the step and voted for the JCP, many of them for the first time, already feel that their choice has been confirmed. Because the KKE, in the few days that have passed since the last elections, has once again demonstrated in practice how it understands the opposition, the role that its deputies will play, how it will use whatever extra power the people give it. In the battles against the auctions, which only yesterday we managed to thwart another seven, in the struggles for collective labor agreements, in the mobilizations against the unregulated expansion of renewable energy, and so much more. Everywhere our people are being tested, where their hearts are beating, where our people are struggling, the KKE is there. It will be beside the workers, beside the working class, beside the breadwinners, the farmers and professionals, the young children and women of the people's families, who are fighting the battle for survival.","Φίλες και φίλοι, συντρόφισσες και σύντροφοι, Η ουσία του προβλήματος και στην υγεία, και στα εργατικά ατυχήματα και στο έγκλημα των Τεμπών που συγκλόνισε αυτή εδώ την πόλη, τη νεολαία της και εμείς επιμένουμε να μην το αφήνουμε να ξεχαστεί και στα πολύνεκρα ναυάγια της Μεσογείου, βρίσκεται σε ένα σύνθημα που έχει “ρίξει” στον λαό το ΚΚΕ και φαίνεται να αγγίζει όλο και περισσότερους. Αυτό το σύνθημα λέει: Ή τα κέρδη τους ή οι ζωές μας! Εμείς απαντάμε: είμαστε με τις ζωές των ανθρώπων. Αυτό πρέπει να εκφραστεί ακόμα περισσότερο την Κυριακή. Είμαστε σίγουροι ότι όσοι έκαναν το βήμα και ψήφισαν το ΚΚΕ, πολλοί από αυτούς για πρώτη φορά, νιώθουν ήδη ότι η επιλογή τους επιβεβαιώθηκε. Γιατί το ΚΚΕ, τις λίγες μέρες που μεσολάβησαν από τις προηγούμενες εκλογές, απέδειξε ξανά στην πράξη πώς αντιλαμβάνεται την αντιπολίτευση, τον ρόλο που θα παίξουν οι βουλευτές του, πώς θα αξιοποιήσει όση παραπάνω δύναμη του δώσει ο λαός. Στις μάχες ενάντια στους πλειστηριασμούς, που μόλις χθες καταφέραμε να ματαιώσουμε άλλους 7, στους αγώνες για συλλογικές συμβάσεις εργασίας, στις κινητοποιήσεις ενάντια στην άναρχη επέκταση των ΑΠΕ και τόσα άλλα. Παντού όπου δοκιμάζεται, όπου καρδιοχτυπά, όπου αγωνίζεται ο λαός μας, το ΚΚΕ είναι εκεί. Θα είναι δίπλα στους εργάτες και τις εργάτριες, δίπλα στους βιοπαλαιστές αγρότες και επαγγελματίες, στα νέα παιδιά και τις γυναίκες των λαϊκών οικογενειών, που δίνουν τη μάχη της επιβίωσης. ",political agenda,elections,other,0,0.1,0.2,"[['tempi', 'location', '0.8'], ['kke', 'organization', '1.0'], ['jcp', 'political party', '0.9']]"
10,"This is exactly the kind of battle the farmers are fighting here in Fthiotida when we are having a very difficult year in the agricultural sector. Almost all productions are in serious trouble because of the prolonged rainfall and low temperatures in the previous months. What to do first? For the clovers that have lost 2 cuts without compensation? For the olive trees that have been hit, while those that have already been through from the previous year are being sold below cost? For the cereals that the prices given are too low, far below cost? For the cotton that is stuck, with the risk of losing the linked ones due to the satellite controls? One of the same for sunflowers, one of the same for rice. No company has signed contracts with prices, all the prices are open, the ODA declarations have not been opened, and the producers do not even know what subsidies they will receive because of the new CAP, so the situation is going 'into the unknown with a boatload of hope'... We will not allow the destruction of the organic farmers. We will get ahead in the struggle to claim income replacement in all crops and production to stay in production and in their place, in their villages, the farmers of Fthiotida and the whole country.","Ακριβώς μία τέτοια μάχη δίνουν οι αγρότες και δω στη Φθιώτιδα. Όταν μάλιστα έχουμε μια πολύ δύσκολη χρονιά στον αγροτικό τομέα. Σχεδόν όλες οι παραγωγές έχουν χοντρό πρόβλημα λόγω των παρατεταμένων βροχοπτώσεων και των χαμηλών θερμοκρασιών τους προηγούμενους μήνες. Τι να πρωτοπούμε: Για τα τριφύλλια που έχουν χαθεί 2 κοψιές χωρίς αποζημίωση; Για την ελιά που έχει χτυπηθεί, ενώ ήδη αυτές που έχουν μέσα από την προηγούμενη χρονιά, πωλούνται κάτω του κόστους; Για τα σιτηρά που οι τιμές δίνονται είναι πολύ χαμηλές, πολύ κάτω του κόστους; Για τα βαμβάκια που είναι καθηλωμένα, με κίνδυνο να χαθούν και οι συνδεδεμένες λόγω των ελέγχων του δορυφόρου; 	Μια απ’ τα ίδια στους ηλίανθους, μια απ’ τα ίδια και με το ρύζι. Καμιά εταιρία δεν έχει υπογράψει συμβόλαια με τιμές, όλες οι τιμές είναι ανοιχτές, οι δηλώσεις ΟΣΔΕ δεν έχουν ανοίξει, και οι παραγωγοί δεν ξέρουν ούτε τι επιδοτήσεις θα πάρουν λόγω και της νέας ΚΑΠ, οπότε η κατάσταση πάει «στο άγνωστο με βάρκα την ελπίδα»…	Δεν θα επιτρέψουμε να καταστραφούν οι βιοπαλαιστές αγρότες, θα μπούμε μπροστά στον αγώνα για να διεκδικήσουμε αναπλήρωση εισοδήματος σε όλες τις καλλιέργειες και τις παραγωγές για να μείνουν στην παραγωγή και στον τόπο τους, στα χωριά τους οι αγρότες της Φθιώτιδας και όλης της χώρας. ",political agenda,agricultural policy,other,-0.6,0,0.1,"[['fthiotida', 'location', '1.0'], ['clovers', 'person', '0.3'], ['olive trees', 'person', '0.3'], ['cereals', 'person', '0.3'], ['cotton', 'person', '0.3'], ['sunflowers', 'person', '0.3'], ['rice', 'person', '0.3'], ['oda', 'organization', '0.5'], ['cap', 'organization', '0.5'], ['fthiotida farmers', 'group of people', '1.0'], ['organic farmers', 'group of people', '1.0'], ['producers', 'group of people', '0.3'], ['whole country', 'country', '1.0']]"
