id,text,text_el,is_criticism,topic-context,subtopic-context,sentiment,polarization-definition,populism-definition,ner-limited
1,"Comrades, friends, in a few hours, the people have a great opportunity before them. All the signs and messages that we have, the great rally in Athens, the one before that in Patras, yesterday's in Lamia, and today's in Thessaloniki, show that now our people can raise the KKE even higher. They can go to the ballot box with a much stronger KKE, with a higher percentage and more deputies everywhere. And here in Thessaloniki, the people of the city can take the step and elect the 2nd deputy in the 1st constituency of the city again after 15 years, to send the extreme right-wing formation of Velopoulos to the dust and make the KKE the 3rd party in Thessaloniki. It will be a great victory for the people and a legacy for the struggles ahead of us.","Συντρόφισσες και σύντροφοι, φίλες και φίλοι, σε λίγες ώρες από τώρα ο λαός έχει μια μεγάλη ευκαιρία μπροστά του. Όλα τα σημάδια, όλα τα μηνύματα που έχουμε, η μεγάλη συγκέντρωση της Αθήνας, πριν της Πάτρας, χτες της Λαμίας, και σήμερα της Θεσσαλονίκης, δείχνουν ότι τώρα ο λαός μας μπορεί να ανεβάσει ακόμα πιο ψηλά το ΚΚΕ. Να ψηλώσει το μπόι του στην κάλπη, με ένα ΚΚΕ πολύ πιο ισχυρό. Με μεγαλύτερο ποσοστό, με πιο πολλούς βουλευτές, παντού. Κι εδώ στη Θεσσαλονίκη, ο λαός της πόλης να κάνει το βήμα και να εκλέξει ξανά μετά από 15 χρόνια 2ο βουλευτή στην Α’ εκλογική περιφέρεια της πόλης, να στείλει στον αγύριστο το ακροδεξιό μόρφωμα του Βελόπουλου, να είναι το ΚΚΕ 3ο κόμμα στη Θεσσαλονίκη. Θα είναι μια μεγάλη κατάκτηση για το λαό και παρακαταθήκη για τους αγώνες που έχουμε μπροστά μας. ",political agenda,elections,election spending,0.5,0.0,0.5,"[['comrades', 'group of people', '0.9'], ['kke', 'organization', '0.9'], ['athens', 'location', '0.8'], ['patras', 'location', '0.7'], ['lamia', 'location', '0.6'], ['thessaloniki', 'location', '0.9'], ['velopoulos', 'political party', '0.7']]"
2,"Friends, the previous election period has solemnly proven everything we knew. Only a few days after the previous elections, the joint program of New Democracy, Syriza, and PASOK was revealed in the most official way through the Commission's report. The program confirmed that, along with the ""stable"" government, there will be a coalition opposition. It also proved in the clearest possible way that a number of literally 'disposable' parties have been created, which exist today and tomorrow you do not know where they will be. There have been mass withdrawals from Constantopoulou's Pleiisi, another one from Varoufakis' Mera, and another one to two from Velopoulos' Hellenic Solution. These are parties that you don't even know what candidates they have or what their program is many times!","Φίλες και φίλοι, η προεκλογική περίοδος που προηγήθηκε, απέδειξε πανηγυρικά όλα όσα ξέραμε. Λίγες μόνο μέρες μετά τις προηγούμενες εκλογές με τον πιο επίσημο τρόπο, αποκαλύφθηκε το κοινό πρόγραμμα των ΝΔ-ΣΥΡΙΖΑ-ΠΑΣΟΚ, μέσα από την έκθεση της Κομισιόν. Πρόγραμμα που επιβεβαίωσε ότι, μαζί με την “σταθερή” κυβέρνηση, θα υπάρχει και μια συμπολιτευόμενη αντιπολίτευση. Αποδείχθηκε επίσης με τον πιο ξεκάθαρο τρόπο ότι έχουν δημιουργηθεί μια σειρά από κόμματα κυριολεκτικά της “μιας χρήσης”, που σήμερα υπάρχουν και αύριο δεν ξέρεις πού θα βρίσκονται. Μαζικές αποχωρήσεις από την Πλεύση της Κωνσταντοπούλου, άλλη 1 από το Μέρα του Βαρουφάκη, άλλοι 1-2 από την Ελληνική Λύση του Βελόπουλου, κόμματα που δεν ξέρεις ούτε τι υποψηφίους έχουν, ούτε τι πρόγραμμα πολλές φορές! ",criticism,democracy,coalition,-0.4,0.2,0.0,"[['1. new democracy', 'organization', '1.0'], ['2. syriza', 'organization', '1.0'], ['3. pasok', 'organization', '1.0'], ['4. commission', 'organization', '0.8'], [""5. constantopoulou's pleiisi"", 'organization', '0.6'], [""6. varoufakis' mera"", 'organization', '0.6'], [""7. velopoulos' hellenic solution"", 'organization', '0.6']]"
3,"But above all, from the very next day of the elections, what the people knew was confirmed: that the KKE will be there from the very first moment. And we were there, next to the residents of Kalamia Kozani, together with the workers of Zoni, when they lost their colleague in front of the people's houses so that none of them would be lost in an auction, outside the Ministry of Health so that no more human lives would be lost due to shortages in healthcare, and also in the flooded houses of Polihni. Everywhere, the KKE was there, the only 100% militant, popular opposition, not in words, but in practice! The KKE proved in this election period that it is the only hope for the people. At the time, when immediately after the previous elections, SYRIZA was again sowing disappointment, when its members and cadres were lying around cursing the people and saying that ""nothing can change,"" the KKE told the people from the very first moment that the election result creates new difficulties, but there is hope. We can be optimistic because the KKE can become stronger and face them. We have proved once again that we are the only ones who are not afraid in the face of negative correlation! And this is a guarantee for the people for the next difficult day with the unpopular government of the Southwest. Because we know that with the KKE in front, the people have the power to sweep them away. Because we will lead the workers' and people's struggle against the new anti-people's government of the Southwest, against the policy of the EU, for what the people and the workers in our country need and demand. We stand firm because we have confidence in the people. Because we know that nothing is invincible or immovable. Because the only times when the government of the Southwest was really squeezed, when it had a hard time, in the past four years, was when the people came forward with the communists. In the pandemic, in the demonstrations against repression, in the big strikes, in the demonstrations against the warlike involvement, in the magnificent demonstrations over the Tempi. And let's not have the confidence and the ""thousand hearts"" style in the Southwest that they are taking an unpopular walk. Such was the case with the GOPites, and we saw what happened to them, from the communists and the Panchayat. There is a KKE here!","Κυρίως, όμως ήδη από την επόμενη μέρα των εκλογών, επιβεβαιώθηκε αυτό που ήξερε ο λαός. Ότι το ΚΚΕ από την πρώτη στιγμή θα είναι εκεί. Και ήμασταν εκεί, δίπλα στους κατοίκους της Καλαμιάς Κοζάνης, μαζί με τους εργάτες της Ζώνης, όταν έχασαν το συνάδελφο τους, μπροστά στα λαϊκά σπίτια για να μην χαθεί κανένα σε πλειστηριασμό, έξω από το υπουργείο υγείας για να μην χαθούν άλλες ανθρώπινες ζωές από τις ελλείψεις στην υγεία, αλλά και στα πλημμυρισμένα σπίτια της Πολίχνης. Παντού. Το ΚΚΕ ήταν εκεί. Η μόνη 100% μαχητική, λαϊκή αντιπολίτευση, όχι στα λόγια, αλλά στην πράξη! Το ΚΚΕ απέδειξε και σε αυτή την προεκλογική περίοδο ότι είναι η μόνη ελπίδα για το λαό. Την ώρα, που αμέσως μετά τις προηγούμενες εκλογές, ο ΣΥΡΙΖΑ έσπερνε ξανά την απογοήτευση, την ώρα που είχαν ξαμοληθεί τα μέλη και στελέχη του βρίζοντας τον κόσμο και λέγοντας ότι “τίποτα δεν μπορεί να αλλάξει”! Το ΚΚΕ είπε στο λαό από την πρώτη στιγμή, ότι το εκλογικό αποτέλεσμα γεννά νέες δυσκολίες, αλλά υπάρχει ελπίδα. Μπορούμε να είμαστε αισιόδοξοι, γιατί μπορεί να ισχυροποιηθεί το ΚΚΕ και να τους αντιμετωπίσει. Αποδείξαμε ξανά ότι είμαστε οι μόνοι, που μπροστά στον αρνητικό συσχετισμό δεν τρομάζουμε! Κι αυτό είναι εγγύηση για το λαό για την επόμενη δύσκολη μέρα με την αντιλαϊκή κυβέρνηση της ΝΔ. Γιατί γνωρίζουμε ότι με το ΚΚΕ μπροστά ο λαός έχει τη δύναμη να τους σαρώσει. Γιατί θα ηγηθούμε της εργατικής - λαϊκής πάλης, απέναντι στη νέα αντιλαϊκή κυβέρνηση της ΝΔ, απέναντι στην πολιτική της ΕΕ, για αυτά που έχει ανάγκη και διεκδικεί ο λαός και οι εργαζόμενοι στη χώρα μας. Πεισμώνουμε. Γιατί έχουμε εμπιστοσύνη στο λαό. Γιατί ξέρουμε ότι τίποτα δεν είναι ανίκητο, αμετακίνητο. Γιατί οι μόνες στιγμές που πραγματικά στριμώχτηκε, δυσκολεύτηκε, η κυβέρνηση της ΝΔ την προηγούμενη 4ετία, ήταν όταν ο λαός βγήκε μπροστά με τους κομμουνιστές. Στην πανδημία, στις κινητοποιήσεις ενάντια στην καταστολή, στις μεγάλες απεργίες, στις κινητοποιήσεις ενάντια στην πολεμική εμπλοκή, στις μεγαλειώδεις κινητοποιήσεις για τα Τέμπη. Κι ας μην έχουν σιγουριά και ύφος “χιλίων καρδιναλίων” στη ΝΔ, ότι κάνουν αντιλαϊκό περίπατο. Τέτοιο είχαν και οι ΔΑΠίτες και είδαμε τι έπαθαν, από τους κομμουνιστές και την Πανσπουδαστική. Εδώ υπάρχει ΚΚΕ! ",political agenda,elections,other,1.0,0.3,0.5,"[['kke', 'organization', '1.0'], ['kalamia kozani', 'location', '1.0'], ['zoni', 'group of people', '0.8'], ['ministry of health', 'organization', '1.0'], ['polihni', 'location', '1.0'], ['syriza', 'political party', '0.8'], ['eu', 'organization', '1.0'], ['tempi', 'location', '1.0'], ['gopites', 'political party', '0.8'], ['panchayat', 'political party', '0.8']]"
4,"We are also the ones who do not try to hide behind the general ""conservatism"" label. Isn't it a little late for tears from those who make these statements, like Syriza? Shouldn't they have thought about it before labeling fascist supporters of murderous Chrysayites as misguided? Shouldn't they have thought about it before crushing the hopes of many with a third and worse memorandum? I mean, what did they expect, with Marantzidis as their advisor and the right-wing Antonaro as their henchman, even after a four-year alliance with the far-right Kamenos in government? To make Syriza voters more progressive?","Είμαστε επίσης αυτοί, που δεν προσπαθούμε να κρυφτούμε γύρω από γενικά τσουβαλιάσματα περί “συντηρητικοποίησης”. Δεν είναι λίγο αργά για δάκρυα από όσους τα λένε αυτά, όπως ο ΣΥΡΙΖΑ; Δεν έπρεπε να τα έχει σκεφτεί πριν βαφτίσει τους φασίστες, υποστηρικτές των δολοφόνων Χρυσαυγιτών, παραπλανημένους; Δεν έπρεπε να το έχει σκεφτεί πριν συντρίψει τις ελπίδες πολλών με ένα 3ο και χειρότερο μνημόνιο; Δηλαδή, τι περίμενε, με σύμβουλο τον Μαραντζίδη και πρωτοπαλίκαρο τον δεξιό Αντώναρο μετά μάλιστα από μια τετραετή αγκαλίτσα στην κυβέρνηση με τον ακροδεξιό Καμένο; Να γίνουν πιο προοδευτικοί οι ψηφοφόροι του ΣΥΡΙΖΑ;",criticism,other,far-right,-0.5,0.4,0.2,"[['syriza', 'organization', '0.8'], ['chrysayites', 'group of people', '0.6'], ['marantzidis', 'person', '0.6'], ['antonaro', 'person', '0.6'], ['kamenos', 'organization', '0.6'], ['syriza voters', 'group of people', '0.6']]"
5,"But we do not accept that the Greek people are generally and vaguely conservative, and that this is de facto over and done with. We believe that a new current of progressivism and radicalism can be born, which will embrace large masses of the people and youth of our country. Without new illusions, for new saviors. And the KKE will lead this current. How will this be done? Through the rise of the class struggle, through the rise of the workers', people's, and youth struggles. There, the way is opened to new consciousness that may now see no other alternative. There, the real correlations change. In the workplaces, in the unions, in the class struggle. There, the power that each of us has is fully realized, and then we all organize hand in hand. There, the umbilical cord is cut with the parties of bourgeois power, with the buffets, with the mechanisms of integration. That's where the hope is. In the struggle! With a stronger KKE.","Εμείς όμως, δεν αποδεχόμαστε ότι ο ελληνικός λαός γενικά κι αόριστα συντηρητικοποιείται και ότι αυτό είναι ντε φάκτο, πάει και τέλειωσε. Εμείς πιστεύουμε ότι μπορεί να γεννηθεί ένα νέο ρεύμα προοδευτισμού, ριζοσπαστισμού, που θα αγκαλιάσει μεγάλες μάζες του λαού και της νεολαίας της χώρας μας. Χωρίς νέες αυταπάτες, για νέους σωτήρες. Και το ΚΚΕ θα ηγείται αυτού του ρεύματος. Πώς θα γίνει αυτό; Μέσα από την άνοδο της ταξικής πάλης, μέσα από την άνοδο των εργατικών, λαϊκών, νεολαιίστικων αγώνων. Εκεί ανοίγει ο δρόμος σε νέες συνειδήσεις που τώρα μπορεί να μην βλέπουν άλλη εναλλακτική. Εκεί αλλάζουν οι πραγματικοί συσχετισμοί. Μέσα στους χώρους δουλειάς, μέσα στα σωματεία, μέσα στην ταξική πάλη. Εκεί συνειδητοποιείται πλήρως η δύναμη που έχει ο καθένας από εμάς και μετά όλοι μαζί χέρι-χέρι οργανωμένοι. Εκεί κόβεται ο ομφάλιος λώρος με τα κόμματα της αστικής εξουσίας, με τα ρουσφέτια, με τους μηχανισμούς ενσωμάτωσης. Εκεί είναι η ελπίδα. Στον αγώνα! Με ΚΚΕ πιο δυνατό. ",political agenda,elections,other,0.5,0.2,0.0,"[['greek', 'country', '1.0'], ['greek people', 'group of people', '0.8'], ['kke', 'political party', '1.0'], ['workers', 'group of people', '0.9'], ['unions', 'organization', '0.8'], ['class struggle', 'organization', '0.8']]"
6,"But how would those who cut ties with the movement years ago know this? How would those who suppressed, integrated, and turned the hope of pure, progressive people into a safety cushion for the most vile, unpopular policies know this? In these remaining hours, we know that the hearts of many left-wing people who once believed in Syriza are boiling. We know that many of them have felt a second wave of disillusionment over these years, seeing Syriza do what they once thought was unthinkable - turning into the best partner of New Democracy in all critical moments, offering the necessary helping hand in the pandemic, abolishing the 8-hour workday, suppressing youth mobilizations, participating in the war in Ukraine, and accepting Azov's Nazis even in the Greek parliament.","Αλλά, πού να τα ξέρουν αυτά, όλοι όσοι έχουν κόψει τους όποιους δεσμούς είχαν με το κίνημα εδώ και χρόνια; Πού να τα ξέρουν αυτοί που κυβέρνησαν με σκοπό να καταστείλουν το κίνημα, να το ενσωματώσουν, να μετατρέψουν την ελπίδα αγνών, προοδευτικών ανθρώπων σε μαξιλαράκι ασφαλείας, για τις πιο χυδαίες, αντιλαϊκές πολιτικές που εφαρμόστηκαν; Αυτές τις ώρες που απομένουν, ξέρουμε ότι η καρδιά πολλών αριστερών ανθρώπων που πίστεψαν κάποια στιγμή στον ΣΥΡΙΖΑ, βράζει. Ξέρουμε ότι πολλοί από αυτούς, ένιωσαν ένα δεύτερο κύμα απογοήτευσης αυτά τα χρόνια, βλέποντας τον ΣΥΡΙΖΑ να κάνει αυτό που θεωρούσαν κάποτε αδιανόητο. Να μετατρέπεται ως αντιπολίτευση στον καλύτερο συνεταίρο της ΝΔ σε όλες τις κρίσιμες στιγμές. Να προσφέρει το απαραίτητο χέρι βοήθειας, στην πανδημία, στην κατάργηση του 8ωρου, στην καταστολή των νεανικών κινητοποιήσεων, στη συμμετοχή της χώρας στον πόλεμο της Ουκρανίας και στην αποδοχή των Ναζί του Αζόφ ακόμα και μέσα στην ελληνική βουλή. ",criticism,democracy,other,-0.8,0.5,0.0,"[['syriza', 'organization', '3'], ['new democracy', 'political party', '1'], ['ukraine', 'location', '1'], ['azov', 'group of people', '1'], ['greek', 'country', '1']]"
7,"To all of you, the KKE reaches out again. On Sunday, take the big step finally! Let's meet at the ballot box together. To meet again in the struggles of the next day. Because every leftist can vote now, knowing that they won't regret it, KKE. But even more so in these last hours, we are addressing the majority of the Greek people, the young people. We know that we are all concerned. We all know what lies ahead of us. We have a difficult reality to face with unpopular pre-conditions, punctuality flaring up, a new recession possibly just around the corner, and imperialist war raging. But now is the time of responsibility, and we must reflect with a clear mind on what we have lived through these four years, taking stock before we get to the ballot box. We have lived through unprecedented events, tragedies coming one after another. From the hundreds of deaths of the pandemic to the horrors of war, from the huge burnt areas all over Greece to the floods and ecological disasters, and from the 57 dead of Tempe to the hundreds of drowned and missing in Pylos. We have seen a huge gap widening between how we live, how we struggle to manage in our daily lives, and how a handful of people get rich.","Σε όλους εσάς το ΚΚΕ, απλώνει ξανά το χέρι. Την Κυριακή κάντε επιτέλους το μεγάλο βήμα! Να συναντηθούμε μαζί στην κάλπη. Για να συναντηθούμε ξανά στους αγώνες την επόμενη μέρα. Γιατί κάθε αριστερός, μπορεί τώρα να ψηφίσει ξέροντας ότι δεν θα το μετανιώσει, ΚΚΕ. Ακόμα περισσότερο όμως αυτές τις τελευταίες ώρες απευθυνόμαστε στην πλειοψηφία του ελληνικού λαού, στους νέους ανθρώπους. Ξέρουμε ότι όλοι είμαστε, όλοι είστε προβληματισμένοι. Όλοι γνωρίζουμε τι έχουμε μπροστά μας. Έχουμε μια δύσκολη πραγματικότητα να αντιμετωπίσουμε. Με αντιλαϊκά προαπαιτούμενα, με την ακρίβεια να φουντώνει, με μια νέα ύφεση να είναι πιθανά προ των πυλών, με τον ιμπεριαλιστικό πόλεμο να μαίνεται. Τώρα όμως είναι ώρες ευθύνης και πρέπει να αναλογιστούμε με καθαρό μυαλό όσα ζήσαμε αυτά τα 4 χρόνια, κάνοντας έναν απολογισμό πριν φτάσουμε στην κάλπη. Ζήσαμε γεγονότα, πρωτόγνωρα, τραγωδίες να έρχονται η μία πίσω από την άλλη. Από τις εκατόμβες νεκρών της πανδημίας, στην φρίκη του πολέμου… Από τις τεράστιες καμένες εκτάσεις σε όλη την Ελλάδα, στις πλημμύρες και στις οικολογικές καταστροφές... Και από τους 57 νεκρούς των Τεμπών στους εκατοντάδες πνιγμένους και αγνοούμενους της Πύλου. Βιώσαμε να μεγαλώνει μια τεράστια ψαλίδα, ανάμεσα στο πώς ζούμε εμείς, πώς πασχίζουμε να τα καταφέρουμε στην καθημερινότητά μας και πώς πλουτίζει μια χούφτα ανθρώπων. ",political agenda,social state,election spending,0.0,0.2,0.1,"[['kke', 'organization', '1.0'], ['greek', 'country', '1.0'], ['sunday', 'date', '1.0'], ['greek people', 'group of people', '1.0'], ['young people', 'group of people', '1.0'], ['four years', 'date', '1.0'], ['pandemic', 'organization', '0.5'], ['war', 'organization', '0.5'], ['greece', 'location', '0.5'], ['tempe', 'location', '0.5'], ['pylos', 'location', '0.5']]"
8,"Shall we mention just one example from the past two years? While the cost of food was increasing by 25 percent, the profits of a few companies on the stock market were rising by 300 and a half percent. Let each of us reflect on the moments in the past few years when we felt angry, when we experienced injustice, when we realized that this system was not suitable and saw dead ends ahead of us. Who has not been outraged by the images of repression? Which neighborhood did not rise up when the crows went to snatch poor people's houses? Who managed to sleep in the days after Tempe?","Να πούμε μόνο ένα στοιχείο, από την τελευταία διετία; Την ώρα που το κόστος των εξόδων για τρόφιμα ανέβαινε κατά 25%, τα κέρδη μιας χούφτας επιχειρήσεων στο Χρηματιστήριο, σκαρφάλωναν στο 300 και τοις εκατό. Ας αναλογιστεί ο καθένας από εμάς, όλες αυτές τις στιγμές τα προηγούμενα χρόνια, που οργίστηκε, που ένιωσε αδικία, που ένιωσε να μην τον χωρά αυτό το σύστημα και είδε αδιέξοδα να υψώνονται μπροστά του. Γιατί ποιος δεν οργίστηκε με τις εικόνες της καταστολής; Ποια γειτονιά δεν ξεσηκώθηκε όταν πήγαν να αρπάξουν τα κοράκια φτωχά λαϊκά σπίτια; Ποιος κατάφερε να κοιμηθεί τις μέρες μετά τα Τέμπη; ",political agenda,other,other,-0.7,0.0,0.7,"[['tempe', 'location', '1.0'], ['stock market', 'organization', '0.9'], ['neighborhood', 'location', '0.9'], ['crows', 'group of people', '0.8'], ['poor people', 'group of people', '0.8'], ['companies', 'organization', '0.7'], ['profits', 'organization', '0.7'], ['food', 'organization', '0.6'], ['dead ends', 'organization', '0.6']]"
9,"Who can tolerate being paid 700, 800, or 900 euros when their skills and knowledge are worth much more? Let young people, in particular, think about their own experience.",Ποιος μπορεί να ανεχθεί να πληρώνεται με 700-800-900 ευρώ όταν οι ικανότητες του και οι γνώσεις του είναι για πολύ παραπάνω; Ας σκεφθούν ειδικά οι νέοι τη δικιά τους πείρα. ,political agenda,employment,wages,-0.4,0.0,0.0,"[['euros', 'currency', '1.0'], ['young people', 'group of people', '0.9']]"
10,"The students who have just finished the ordeal of the national exams and those who have it ahead of them, is it normal for them to be educated in a school that is exclusively an examination centre? Are students who have even experienced the dropping of chemicals in an auditorium here in Thessaloniki happy with a university with substandard infrastructure and dormitories, with expensive postgraduate degrees?","Οι μαθητές, που μόλις τελείωσαν το βάσανο των πανελληνίων κι αυτοί που το έχουν μπροστά τους, είναι φυσιολογικό να μορφώνονται σε ένα σχολείο που είναι αποκλειστικά εξεταστικό κέντρο; Οι φοιτητές, που εδώ στη Θεσσαλονίκη έζησαν μέχρι και ρίψη χημικών σε αμφιθέατρο, είναι ευχαριστημένοι με ένα πανεπιστήμιο με υποβαθμισμένες υποδομές, εστίες, με πανάκριβα μεταπτυχιακά; ",criticism,other,other,-0.7,0.2,0.0,"[['thessaloniki', 'location', '1.0'], ['greece', 'country', '1.0']]"
