id,text,text_el,is_criticism,topic-context,subtopic-context,sentiment,polarization-definition,populism-definition,ner-limited
1,"Thank you, thank you, thank you. The last time I was in West Athens, I asked you to commit to a major breakthrough: to ""paint"" West Athens blue, and we did it. I thank you from the bottom of my heart for that. But we did not only paint West Athens blue, we painted the whole of Greece blue. You made this slogan a reality.I wanted, friends, in our first official election speech after the dissolution of the Parliament - the decree was signed a few hours ago - to be here in Peristeri and say a big thank you from the bottom of my heart for the struggle we fought together, for the great victory we achieved in the elections of May 21.Especially here in West Athens, I see many old friends among us and I remember them. A special thank you to all those who have followed my personal political path since 2003, 20 years ago. We have gone through good times and bad times together, but we are happy today to celebrate another great victory in the great history of our party, the New Democracy.","Σας ευχαριστώ, σας ευχαριστώ. Ψηλά τις σημαίες της νίκης.Την τελευταία φορά που βρέθηκα στη Δυτική Αθήνα σας ζήτησα να δεσμευτούμε σε μία μεγάλη υπέρβαση: να «βάψουμε» τη Δυτική Αθήνα γαλάζια και τα καταφέραμε. Σας ευχαριστώ από καρδιάς γι’ αυτό. Αλλά δεν «βάψαμε» μόνο τη Δυτική Αθήνα γαλάζια, όλη την Ελλάδα τη «βάψαμε» γαλάζια. Εσείς κάνατε το σύνθημα αυτό πράξη.Ήθελα, φίλες και φίλοι, στην πρώτη επίσημη προεκλογική μας ομιλία μετά τη διάλυση της Βουλής -το Διάταγμα θυροκολλήθηκε πριν από λίγες ώρες- να βρεθώ εδώ, στο Περιστέρι, και να σας πω ένα μεγάλο ευχαριστώ, από καρδιάς, για τον αγώνα που δώσαμε μαζί, για τη μεγάλη νίκη την οποία πετύχαμε στις εκλογές της 21ης Μαΐου.Ειδικά εδώ, στη Δυτική Αθήνα, βλέπω ανάμεσά μας πολλούς παλιούς φίλους και θυμάμαι. Ένα ξεχωριστό ευχαριστώ σε όλες και σε όλους που ακολούθησαν την προσωπική μου πολιτική διαδρομή από το 2003, 20 χρόνια τώρα. Πορευθήκαμε μαζί σε καλές και σε άσχημες στιγμές, αλλά χαιρόμαστε σήμερα που γιορτάζουμε μία ακόμα μεγάλη νίκη στη μεγάλη ιστορία της παράταξής μας, της Νέας Δημοκρατίας.",political agenda,elections,other,0.8,0.0,0.0,"[['west athens', 'location', '1.0'], ['greece', 'country', '1.0'], ['parliament', 'political party', '1.0'], ['peristeri', 'location', '1.0'], ['may 21', 'date', '1.0'], ['new democracy', 'political party', '1.0']]"
2,"Indeed, friends, many people may have been surprised by this election result and I want to remind you that for the first time in the post-election period, a party is increasing its share and the absolute number of votes, after four years in government. And for the first time since 1974, the first party has more than double the number of votes of the second party.Where have all those people gone who predicted that the election would be a derby? I wonder. I wonder where they hid. But, my friends, I was confident about the election result and I was confident about the performance of New Democracy in this election, for the simple reason that, going around Greece and all of Athens - and especially all of western Athens - I saw something that others may not have been able to see: that Greek society is changing, that Greek society is progressing and that Greek society today has a demand for a substantial programmatic discourse.","Πράγματι, φίλες και φίλοι, ίσως πολλοί να αιφνιδιάστηκαν από αυτό το εκλογικό  αποτέλεσμα και θέλω να θυμίσω ότι για πρώτη φορά στη μεταπολίτευση κόμμα αυξάνει το ποσοστό του και τον απόλυτο αριθμό ψήφων, μετά από τέσσερα χρόνια στη διακυβέρνηση. Και για πρώτη φορά από το 1974 το πρώτο κόμμα έχει υπερδιπλάσιο αριθμό ψήφων από το δεύτερο.Πού πήγαν τώρα όλοι αυτοί που προέβλεπαν ότι οι εκλογές θα ήταν ντέρμπι; Αναρωτιέμαι. Αναρωτιέμαι πού κρύφτηκαν. Αλλά, φίλες και φίλοι, εγώ ήμουν σίγουρος για το εκλογικό αποτέλεσμα και ήμουν σίγουρος και για την απόδοση της Νέας Δημοκρατίας σε αυτές τις εκλογές, για τον απλούστατο λόγο ότι γυρνώντας σε όλη την Ελλάδα και όλη την Αθήνα -και ειδικά όλη τη δυτική Αθήνα- έβλεπα κάτι το οποίο ενδεχομένως κάποιοι άλλοι δεν μπορούσαν να αντιληφθούν: ότι η ελληνική κοινωνία αλλάζει, ότι η ελληνική κοινωνία προοδεύει και ότι η ελληνική κοινωνία έχει σήμερα απαίτηση από ουσιαστικό προγραμματικό λόγο.",political agenda,elections,election spending,0.7,0.0,0.0,"[['new democracy', 'organization', '1.0'], ['greece', 'location', '0.8'], ['athens', 'location', '0.7'], ['1974', 'date', '1.0']]"
3,"Indeed, the citizens have rewarded us. They have rewarded the effort of these four years. They have rewarded our crisis management, they have rewarded the fact that we have put the economy back on a growth track, that we have kept our commitments, that we have guarded our borders, that we have strengthened our armed forces. But there was something else that I think is very important: the citizens turned their backs on toxicity, on hatred, on empathy, on division. Division was defeated and unity won. Toxicity has been defeated and decency has won. Populism has been defeated and a coherent, well-founded and costed political discourse has won, which only we, as New Democracy, have managed to express in these elections.","Πράγματι, οι πολίτες μάς επιβράβευσαν. Επιβράβευσαν την προσπάθεια αυτών των τεσσάρων ετών. Επιβράβευσαν τη διαχείριση των κρίσεων, επιβράβευσαν το γεγονός ότι ξαναβάλαμε την οικονομία σε τροχιά ανάπτυξης, ότι τηρήσαμε τις δεσμεύσεις μας, ότι φυλάξαμε τα σύνορά μας, ότι ενισχύσαμε τις Ένοπλες Δυνάμεις.Όλα αυτά επιβραβεύτηκαν από τους πολίτες στην κάλπη. Αλλά έγινε και κάτι ακόμα, το οποίο θεωρώ ότι είναι πολύ σημαντικό: οι πολίτες γύρισαν την πλάτη στην τοξικότητα, στο μίσος, στην εμπάθεια, στον διχασμό. Ηττήθηκε ο διχασμός και κέρδισε η ενότητα. Ηττήθηκε η τοξικότητα και κέρδισε η ευπρέπεια. Ηττήθηκε ο λαϊκισμός και κέρδισε ο συγκροτημένος, τεκμηριωμένος και κοστολογημένος πολιτικός λόγος τον οποίον μόνο εμείς, ως Νέα Δημοκρατία, καταφέραμε σε αυτές τις εκλογές να εκφράσουμε.",political agenda,democracy,other,0.65,0.1,0.0,"[['citizens', 'group of people', '1.0'], ['us', 'organization', '1.0'], ['new democracy', 'political party', '1.0'], ['economy', 'organization', '1.0'], ['borders', 'location', '1.0'], ['armed forces', 'organization', '1.0'], ['toxicity', 'organization', '1.0'], ['decency', 'organization', '1.0'], ['populism', 'organization', '1.0'], ['elections', 'date', '1.0']]"
4,"I must tell you that this great, broad dynamic of the victory of the New Democracy was created by many points of reference. We managed to make openings in geographical areas and in social groups where some people thought we could not do well. What do all those who predicted that New Democracy would be behind in youth have to say? We were first in our youth as well; we were first in the 17 to 30 age group, for the simple reason that we finally talked about your real problems, about the education you want, about the jobs we want to create. We don't see youth as just fuel for the populism and anger that some people want to ignite.","Πρέπει να σας πω ότι αυτή η μεγάλη, πλατιά δυναμική της νίκης της Νέας Δημοκρατίας δημιουργήθηκε από πολλά σημεία αναφοράς. Καταφέραμε και κάναμε ανοίγματα σε γεωγραφικές περιοχές αλλά και σε κοινωνικές ομάδες όπου κάποιοι πίστευαν ότι δεν μπορούσαμε να τα πάμε καλά. Τι έχουν να πούν όλες και όλοι αυτοί που προέβλεπαν ότι η Νέα Δημοκρατία θα ήταν πίσω στη νεολαία; Ήμασταν πρώτοι και στη νεολαία μας.Ήμασταν πρώτοι και στις ηλικιακές κατηγορίες από 17 έως 30, για τον απλούστατο λόγο ότι εμείς τελικά μιλήσαμε για τα πραγματικά σας προβλήματα, για την εκπαίδευση που θέλετε, για τις δουλειές τις οποίες θέλουμε να δημιουργήσουμε. Δεν βλέπουμε τη νεολαία απλά σαν μια «καύσιμη ύλη» για τον λαϊκισμό και για την οργή που κάποιοι θέλουν να πυροδοτήσουν.",political agenda,other,youth,0.8,0.0,0.0,"[['new democracy', 'organization', '1.0'], ['17 to 30 age group', 'group of people', '1.0']]"
5,"As it was the same here in western Athens in the more ""popular"" districts -within quotation marks, keep the quotation marks, they have value-. We bent over the problems of our weakest fellow citizens and proved that only New Democracy, after all, is the great popular progressive party of this country; we kept society and the weakest upright during the pandemic. We supported households during the energy crisis. And we were, after all, the ones who launched the most progressive social policy, which is none other than the creation of many good jobs. And West Athens rewarded us.","Όπως το ίδιο έγινε και εδώ στη δυτική Αθήνα στις -εντός εισαγωγικών, κρατήστε τα εισαγωγικά έχουν αξία- πιο «λαϊκές» συνοικίες. Εμείς σκύψαμε πάνω στα προβλήματα των πιο αδύναμων συμπολιτών μας και αποδείξαμε ότι μόνο η Νέα Δημοκρατία, τελικά, είναι η μεγάλη λαϊκή προοδευτική παράταξη αυτού του τόπου.Εμείς κρατήσαμε την κοινωνία και τους πιο αδύναμους όρθιους στη διάρκεια της πανδημίας. Εμείς στηρίξαμε τα νοικοκυριά στη διάρκεια της ενεργειακής κρίσης. Και εμείς, τελικά, ήμασταν αυτοί που δρομολογήσαμε την πιο προοδευτική κοινωνική πολιτική, που δεν είναι άλλη από τη δημιουργία πολλών και καλών θέσεων εργασίας. Και η Δυτική Αθήνα μας επιβράβευσε.",political agenda,employment,working class,1.0,0.1,0.2,"[['new democracy', 'organization', '1.0'], ['west athens', 'location', '1.0'], ['new democracy', 'political party', '1.0'], ['country', 'country', '1.0']]"
6,"For those of you who don't know - I wonder, I don't even know if that was the ""bet"" - 12 points ahead of West Athens. If you wanted to place a bet, it wouldn't give you odds on that. And yet, it was done. And some people to this day still don't understand why they lost and what happened on the night of May 21; indeed, I'm not surprised, because they never understood how society itself had changed and progressed during those four years.","Για όσους δεν το γνωρίζετε -αναρωτιέμαι, δεν ξέρω καν αν αυτό το έπαιζε το «στοίχημα»- 12 μονάδες μπροστά στη Δυτική Αθήνα. Αν θέλατε να βάλετε στοίχημα δεν θα σας έβγαζε πιθανότητες γι’ αυτό. Κι όμως, έγινε πράξη. Και κάποιοι εξακολουθούν και σήμερα να μην αντιλαμβάνονται γιατί έχασαν και τι έγινε το βράδυ της 21ης Μαΐου.Πράγματι, δεν μου κάνει εντύπωση, διότι δεν κατάλαβαν ποτέ πώς η ίδια η κοινωνία είχε αλλάξει και πως είχε προοδεύσει στη διάρκεια αυτής της τετραετίας.",political agenda,elections,other,0.2,0.2,0.0,"[['west athens', 'location', '0.60'], ['may 21', 'date', '0.80']]"
7,"But we, friends, we know very well that the result, this important result, this great victory today means nothing. It means nothing - hold on to what I am telling you. The ballot box on June 25 will be empty again. There is no first and second round here. This is not a municipal election. Our percentage does not count on the June 25 ballot. Everything starts all over again.I want to ask you together - and our MPs and our candidate MPs, now free from the stress of the cross - to fight the battle together for our party alone. So that we can once again be the big winners, at the ballot box on 25 June.","Εμείς, όμως, φίλες και φίλοι, ξέρουμε πολύ καλά ότι το αποτέλεσμα, αυτό το σημαντικό αποτέλεσμα, αυτή η μεγάλη νίκη σήμερα δεν λέει τίποτα. Δεν λέει τίποτα -κρατήστε το αυτό που σας λέω. Η κάλπη την 25η Ιουνίου θα είναι ξανά άδεια. Εδώ δεν υπάρχει πρώτος και δεύτερος γύρος. Δεν είμαστε σε δημοτικές εκλογές. Δεν προσμετράται το ποσοστό μας στην κάλπη της 25ης Ιουνίου. Όλα ξεκινούν πάλι από την αρχή.Θέλω να σας ζητήσω μαζί -και από τους βουλευτές και τους υποψήφιους βουλευτές μας, απαλλαγμένοι τώρα από το άγχος του σταυρού- να δώσουμε μαζί τη μάχη για την παράταξή μας και μόνο. Για να είμαστε και πάλι οι μεγάλοι νικητές, στην κάλπη της 25ης Ιουνίου.",political agenda,elections,election spending,0.0,0.1,0.0,"[['mps', 'group of people', '0.75'], ['party', 'organization', '0.75'], ['june 25', 'date', '0.5.']]"
8,"And this victory will be the victory that will put a definitive end to a cycle of uncertainty opened by the opposition's choice to plague us with the system of proportional representation. Today, the country would already have a strong and stable government if it were not for the simple proportional representation system. Therefore, there is only one way to deactivate this ""landmine"" once and for all: that is to give New Democracy an even higher percentage in the elections of 25 June. Be careful. The mathematics of elections change from ballot box to ballot box. We should all consider that possibly on June 25 the bar of self-reliance will be raised. The more parties that enter the House, the more difficult self-reliance becomes. And what the country does not need today is an unstable government with a marginal majority. What the country needs is a stable government with a strong majority to make the big changes, the big reforms happen.","Και αυτή η νίκη θα είναι η νίκη η οποία θα βάλει οριστικά τέλος σε ένα κύκλο αβεβαιότητας τον οποίο άνοιξε η επιλογή της αντιπολίτευσης να μας ταλαιπωρήσει με το σύστημα της απλής αναλογικής. Σήμερα, η χώρα θα είχε ήδη ισχυρή και σταθερή κυβέρνηση αν δεν υπήρχε η απλή αναλογική. Επομένως, υπάρχει ένας τρόπος μόνο να απενεργοποιήσουμε αυτή τη «νάρκη» οριστικά και αμετάκλητα: αυτός είναι να δώσουμε στη Νέα Δημοκρατία ακόμα υψηλότερο ποσοστό στις εκλογές της 25ης Ιουνίου.Γιατί επιμένω σε αυτό; Προσέξτε. Τα μαθηματικά των εκλογών αλλάζουν από κάλπη σε κάλπη. Θα πρέπει όλοι να αναλογιστούμε ότι ενδεχομένως την 25η Ιουνίου ο πήχης της αυτοδυναμίας να ανέβει. Όσο περισσότερα κόμματα μπαίνουν στη Βουλή τόσο πιο δύσκολη γίνεται η αυτοδυναμία. Και αυτό το οποίο δεν χρειάζεται σήμερα η χώρα είναι μία ασταθή κυβέρνηση με οριακή πλειοψηφία. Η χώρα χρειάζεται μια σταθερή κυβέρνηση με ισχυρή πλειοψηφία, για να κάνει πράξη τις μεγάλες αλλαγές, τις μεγάλες μεταρρυθμίσεις.",,elections,other,0.5,0.5,0.0,"[['new democracy', 'organization', '1.0'], ['opposition', 'group of people', '1.0'], ['25 june', 'date', '1.0'], ['house', 'organization', '1.0']]"
9,"Every now and then these last few days I go and I'm told, ""Prime Minister."" I say, ""Look, I'm not the Prime Minister."" If you want me to be Prime Minister again, you all need to come and vote, not go to the beach or think that this election battle is over.So that is the issue and the real demand of the next election: a stable government with a comfortable majority against those who today are only interested in who will lead the opposition.","Πού και πού αυτές τις τελευταίες μέρες πηγαίνω και μου λένε, «κύριε Πρωθυπουργέ». Λέω, «προσέξτε, δεν είμαι Πρωθυπουργός». Άμα με θέλετε και πάλι Πρωθυπουργό πρέπει όλες και όλοι να έρθετε να ψηφίσετε, να μην πάτε στην παραλία ή να θεωρήσετε ότι η εκλογική μάχη αυτή έχει κριθεί.Αυτό, λοιπόν, είναι το ζήτημα και το πραγματικό αίτημά της επόμενης κάλπης: μία σταθερή κυβέρνηση με άνετη πλειοψηφία απέναντι σε αυτούς οι οποίοι σήμερα το μόνο που τους ενδιαφέρει είναι ποιος θα έχει τα πρωτεία στην αντιπολίτευση.",political agenda,elections,abstention,0.4,0.0,0.0,"[['prime minister', 'person', '0.8'], ['election', 'date', '0.8'], ['government', 'organization', '0.5'], ['opposition', 'group of people', '0.5']]"
10,"So I say to them: ladies and gentlemen, wake up, on 25 June we are voting for government, not for opposition. What happens in opposition is up to you. The citizens care about how the country is governed and how the next day we will have a stable government that can provide Greek citizens with security and prospects. And the only thing they care about, the only thing that PASOK and SYRIZA are united on, is their desire to have a weak government in the end.And what are some people telling us? ""We don't care if we have 149 MPs, we don't care. We want to be in opposition all the time."" So I say to them: look, I don't know of any other election where there is actually a candidate for Prime Minister and a party that claims the responsibility of governing.","Τους λέω λοιπόν: κυρίες και κύριοι ξυπνήστε, στις 25 Ιουνίου ψηφίζουμε για κυβέρνηση, όχι για αντιπολίτευση. Το τι θα γίνει στην αντιπολίτευση είναι δικό σας θέμα. Οι πολίτες νοιάζονται για το πώς θα κυβερνηθεί ο τόπος και πώς την επόμενη μέρα θα έχουμε μια σταθερή κυβέρνηση, η οποία θα μπορεί να παρέχει στους Έλληνες πολίτες ασφάλεια και προοπτική. Και το μόνο που τους ενδιαφέρει, στο μόνο στο οποίο ενώνονται, ΠΑΣΟΚ και ΣΥΡΙΖΑ, είναι στην επιθυμία τους να έχουμε τελικά μια αδύναμη κυβέρνηση.Και τι μας λένε κάποιοι; «Και 149 βουλευτές να έχουμε, εμάς δεν μας ενδιαφέρει. Μονίμως στην αντιπολίτευση θέλουμε να είμαστε». Τους απαντώ λοιπόν: κοιτάξτε, εγώ δεν ξέρω άλλη εκλογή όπου ουσιαστικά να υπάρχει ένας υποψήφιος για Πρωθυπουργός και ένα κόμμα το οποίο να διεκδικεί την ευθύνη της διακυβέρνησης.",political agenda,elections,other,0.0,0.1,0.0,"[['ladies and gentlemen', 'group of people', '1.0'], ['25 june', 'date', '1.0'], ['government', 'organization', '1.0'], ['opposition', 'organization', '1.0'], ['citizens', 'group of people', '1.0'], ['greek citizens', 'group of people', '1.0'], ['pasok', 'political party', '1.0'], ['syriza', 'political party', '1.0'], ['149 mps', 'number', '1.0'], ['candidate', 'person', '1.0'], ['prime minister', 'position', '1.0'], ['party', 'organization', '1.0']]"
