id,text,text_el,is_criticism,topic-context,subtopic-context,sentiment,polarization-definition,populism-definition,ner-limited
1,"Thank you for your love, support, and trust. Thank you for achieving what some thought was impossible: making Heraklion blue and all of Crete blue. Today is a special moment for me personally. A few weeks ago, I came to talk to you, holding our final rally here in Heraklion. I was impressed by the crowd, your passion, love, and smiles. But who would have thought we would win Heraklion by 13 points? Who would have thought we would win Rethymno by 16 points over SYRIZA, Lassithi by 18 points, and my city, Chania, by 21 points? For the many old friends of Konstantinos Mitsotakis, I am sure that he will be smiling today from up there where he is.","Σας ευχαριστώ. Σας ευχαριστώ για την αγάπη σας. Σας ευχαριστώ για τη στήριξή σας. Σας ευχαριστώ για την εμπιστοσύνη σας. Σας ευχαριστώ που πετύχατε αυτό που κάποιοι θεωρούσαν αδύνατον, να γίνει το Ηράκλειο γαλάζιο. Σας ευχαριστώ που κάνατε όλη την Κρήτη γαλάζια. Είναι σήμερα, φίλες και φίλοι, μια ξεχωριστή στιγμή και για μένα προσωπικά. Είχα έρθει να σας μιλήσω πριν από λίγες εβδομάδες, κάνοντας την τελική μας συγκέντρωση εδώ στο Ηράκλειο. Είχα εντυπωσιαστεί από το πλήθος και από το πάθος, από την αγάπη σας, από το χαμόγελό σας. Αλλά, με το χέρι στην καρδιά, ποιος θα περίμενε ότι θα κερδίζαμε το Ηράκλειο με 13 μονάδες διαφορά; Ποιος θα περίμενε ότι θα κερδίζαμε το Ρέθυμνο με 16 μονάδες διαφορά από τον ΣΥΡΙΖΑ; Το Λασίθι με 18 μονάδες; Και τον τόπο μου, την πόλη μου, τα Χανιά, με 21 μονάδες διαφορά. Για τους πολλούς παλιούς φίλους του Κωνσταντίνου Μητσοτάκη, είμαι σίγουρος ότι, από εκεί πάνω όπου βρίσκεται, σήμερα θα χαμογελά.",political agenda,elections,other,0.7,0,0,"[['heraklion', 'location', '1.0'], ['crete', 'location', '1.0'], ['rethymno', 'location', '1.0'], ['lassithi', 'location', '1.0'], ['chania', 'location', '1.0'], ['syriza', 'political party', '1.0'], ['konstantinos mitsotakis', 'person', '1.0']]"
2,"So, friends, from Crete we have sent a strong message in the May 21st elections. A message of continuity, determination, unity, and progress for Greece. This result may have surprised some, but having traveled throughout Greece, I saw in the eyes of the people their trust and support for a government that has endured challenges but kept the country standing and safe. I saw citizens seeking a different politics, free from the toxicities, vulgarities, and divisions of the past. In these elections, those who see Greece as bright and united emerged victorious, while those who see it as dark and divided were defeated. The winners spoke truthfully, faced difficulties head-on, presented a coherent program for the country's future, and did not hide. The losers resorted to familiar lies and fairy tales, which we have rejected time and time again. The Greek people have spoken and crushed them.","Στείλαμε λοιπόν, φίλες και φίλοι, και από εδώ την Κρήτη ένα ισχυρό μήνυμα στις εκλογές της 21ης Μαΐου. Ένα μήνυμα συνέχειας, ένα μήνυμα αποφασιστικότητας, ένα μήνυμα ενότητας, ένα μήνυμα ότι η Ελλάδα θα συνεχίσει να πορεύεται στον δρόμο της σταθερότητας και στον δρόμο της προκοπής. Το αποτέλεσμα αυτό μπορεί κάποιους να τους αιφνιδίασε, επειδή όμως εγώ είχα γυρίσει ολόκληρη την Ελλάδα, έβλεπα στα μάτια των ανθρώπων την εμπιστοσύνη τους και τη στήριξή τους σε μία κυβέρνηση, η οποία πέρασε διά πυρός και σιδήρου, κράτησε όμως τη χώρα όρθια και την πατρίδα μας ασφαλή.Έβλεπα στα μάτια των πολιτών ότι ήθελαν, αναζητούσαν μια διαφορετική πολιτική, μακριά από τις τοξικότητες, τις χυδαιότητες, τους διχασμούς του παρελθόντος.Σε αυτές τις εκλογές νίκησαν αυτοί που βλέπουν την Ελλάδα φωτεινή και ενωμένη και ηττήθηκαν αυτοί που τη βλέπουν σκοτεινή και διχασμένη. Νίκησαν αυτοί που σας μίλησαν τη γλώσσα της αλήθειας, αυτοί που δεν κρύφτηκαν στις δυσκολίες, αυτοί που σας μίλησαν τεκμηριωμένα, αυτοί που παρουσίασαν ένα πρόγραμμα συγκροτημένο για την επόμενη μέρα της χώρας.Και ηττήθηκαν αυτοί που επανήλθαν στα γνωστά τους ψέματα και στα παραμύθια, τα οποία δοκιμάσαμε, τα απορρίψαμε και τα ξαναπορρίψαμε. Και τους συνέτριψε ο ελληνικός λαός.",criticism,elections,other,0.85,0.2,0,"[['crete', 'location', '1.0'], ['greece', 'country', '1.0'], ['may 21st', 'date', '1.0']]"
3,"Never has an opposition party suffered such a defeat as Syriza did. However, even after the elections, they have not learned anything. They blame the mainstream media for ""distorting their views"", as if we did not listen carefully to Mr. Katrougalos' plans to crush freelancers. They refuse to take responsibility for their own shortcomings. They have not changed, forgotten anything, or learned anything. We leave them in the past where they belong. We are glad that in this election, all regions of the country, except for one small exception, voted for New Democracy. Our slogan, ""all Greece is blue"", has become a reality. Greece will remain blue like the sky and sea in the upcoming elections on June 25th. All of Crete is blue.","Ποτέ κόμμα της αντιπολίτευσης δεν έχει υποστεί τέτοια ήττα, όπως αυτή που υπέστη ο ΣΥΡΙΖΑ. Αλλά και τώρα, μετά τις εκλογές, δεν έμαθαν τίποτα απολύτως. Τους φταίνε τα συστημικά μέσα που, λέει, «διαστρέβλωσαν τις απόψεις τους». Λες και δεν ακούσαμε καλά τι μας είπε ο κ. Κατρούγκαλος, για το πώς θέλει να τσακίσει τους ελεύθερους επαγγελματίες.Όλα τους φταίνε εκτός από τους ίδιους. Ο ίδιος τους ο εαυτός ήταν το πρόβλημα.  Δεν άλλαξαν, δεν ξέχασαν τίποτα, δεν έμαθαν τίποτα.Εμείς τους αφήνουμε, λοιπόν, στο παρελθόν στο οποίο ανήκουν. Και χαιρόμαστε που σε αυτές τις εκλογές όλες οι περιοχές της χώρας ψήφισαν -με μία μικρή εξαίρεση- υπέρ της Νέας Δημοκρατίας. Και αυτό το οποίο φωνάζαμε, ότι «όλη η Ελλάδα είναι μπλε», έγινε όλη η Ελλάδα μπλε. Και θα παραμείνει μπλε και γαλάζια, σαν το γαλάζιο του ουρανού και της θάλασσας, και στις εκλογές της 25ης Ιουνίου. Όλη η Κρήτη είναι μπλε.",criticism,elections,other,-0.5,0,0,"[['syriza', 'political party', '1.0'], ['mainstream media', 'organization', '1.0'], ['mr. katrougalos', 'person', '1.0'], ['new democracy', 'political party', '1.0'], ['greece', 'country', '1.0'], ['crete', 'location', '1.0'], ['june 25th', 'date', '1.0']]"
4,"Friends, the result was not only a geographical one. New Democracy achieved impressive results in the popular districts of Western Athens. Despite what some people said, New Democracy was first among our youth as well. First among our young people, among young children, among 17-year-olds and 18-year-olds who voted for the first time. Because young people know that they are not just ""fuel"" for the populism of some. What are young people asking of us? They are asking for good education, good public universities, good jobs for the next day, and all of this can only be guaranteed by our party, New Democracy. So they turned their eyes to us, they rewarded seriousness. They have rewarded a structured political discourse and closed the door to those who had no other intention than to return them to the past.","Φίλες και φίλοι, το αποτέλεσμα δεν ήταν μόνο ένα γεωγραφικό αποτέλεσμα.  Η Νέα Δημοκρατία, πέτυχε εντυπωσιακά ποσοστά στις λαϊκές συνοικίες της Δυτικής Αθήνας. Η Νέα Δημοκρατία -παρά τα όσα έλεγαν διάφοροι- ήταν πρώτη και στη νεολαία μας. Πρώτη δύναμη στους νέους μας, στα νέα παιδιά, στους 17αρηδες και στους 18αρηδες που ψήφισαν για πρώτη φορά Και ξέρετε γιατί ήμασταν πρώτοι; Διότι οι νέες και οι νέοι γνωρίζουν ότι δεν είναι απλά «καύσιμη ύλη» στον λαϊκισμό κάποιων. Τα νέα παιδιά τι ζητούν από μας; Ζητούν καλή εκπαίδευση, καλά δημόσια πανεπιστήμια, καλές δουλειές την επόμενη μέρα και όλα αυτά μπορεί να τα εγγυηθεί μόνο η δική μας παράταξη, η Νέα Δημοκρατία.Έστρεψαν, λοιπόν, το βλέμμα τους επάνω μας, επιβράβευσαν τη σοβαρότητα. Επιβράβευσαν έναν πολιτικό λόγο δομημένο και έκλεισαν την πόρτα σε αυτούς οι οποίοι δεν είχαν άλλη πρόθεση παρά μόνο να τους γυρίσουν στο παρελθόν.",political agenda,elections,youth,0.6,0.1,0.2,"[['new democracy', 'organization', '1.0'], ['western athens', 'location', '1.0'], ['17-year-olds', 'group of people', '1.0'], ['18-year-olds', 'group of people', '1.0'], ['new democracy', 'political party', '1.0']]"
5,"But friends, beware: on May 21st we achieved a great victory, but this victory is incomplete. It will be completed on the evening of June 25th. Then our work will be finished. When I came and spoke to you in Heraklion a few weeks ago, I warned you about the 'bombshell' of proportional representation. Now you understand exactly what I meant. If the electoral law of enhanced proportional representation - the one we have used for most elections in the post-election period - had been in force on May 21st, we would already have a strong government today, with an absolute majority for New Democracy. This, then, which some people did not allow us to achieve because they played with the electoral law, we will achieve on June 25th, for a strong and stable government with a four-year horizon, with New Democracy at the helm of the country.","Όμως, φίλες και φίλοι, προσέξτε: 21 Μαΐου πετύχαμε μια μεγάλη νίκη, αλλά η νίκη αυτή είναι ημιτελής. Θα ολοκληρωθεί το βράδυ της 25ης Ιουνίου. Τότε θα έχει τελειώσει η δουλειά μας. Όταν είχα έρθει και σας είχα μιλήσει στο Ηράκλειο, πριν από λίγες εβδομάδες, σας είχα προειδοποιήσει για την «βόμβα» της απλής αναλογικής. Τώρα αντιλαμβάνεστε τι ακριβώς εννοούσα.Εάν στις εκλογές της 21ης Μαΐου ίσχυε ο εκλογικός νόμος της ενισχυμένης αναλογικής -αυτός, δηλαδή, με τον οποίο έχουμε κάνει τις περισσότερες εκλογές στη Μεταπολίτευση- σήμερα ήδη θα είχαμε κυβέρνηση ισχυρή, με απόλυτη πλειοψηφία της Νέας Δημοκρατίας.Αυτό, λοιπόν, το οποίο κάποιοι δεν μας επέτρεψαν να το πετύχουμε, επειδή έπαιξαν με τον εκλογικό νόμο, θα το πετύχουμε στις 25 Ιουνίου, για μία ισχυρή και σταθερή κυβέρνηση με ορίζοντα τετραετίας, με αυτοδύναμη τη Νέα Δημοκρατία στο τιμόνι της χώρας. ",political agenda,elections,other,0.2,0.2,0,"[['june 25th', 'date', 'high'], ['heraklion', 'location', 'medium'], ['new democracy', 'political party', 'high'], ['country', 'country', 'low']]"
6,"And therefore, friends, we cannot allow any complacency. You know very well that in the next Parliament we may have more than five parties. The more parties that enter Parliament, the higher the bar of self-reliance. It is more necessary than ever not only to reach the percentage that we achieved in the elections, but to exceed it. This is the goal that we are all setting together. We must not only have as many people come and vote for us as came to this ballot box, but also for the new people who trusted us at the ballot box to understand that today in the country there is essentially no other proposal on the substance.","Και γι’ αυτό, φίλες και φίλοι, δεν μπορούμε να επιτρέψουμε κανέναν εφησυχασμό. Ξέρετε πολύ καλά ότι στην επόμενη Βουλή ενδεχομένως να έχουμε περισσότερα από πέντε κόμματα. Όσο περισσότερα κόμματα μπαίνουν στην Βουλή, τόσο ανεβαίνει ο πήχης της αυτοδυναμίας, τόσο πιο απαραίτητο είναι όχι απλά να φτάσουμε το ποσοστό το οποίο πετύχαμε στις εκλογές αλλά να το ξεπεράσουμε.Και αυτός είναι ο  στόχος που θέτουμε όλοι μαζί. Όχι μόνο να έρθουν να μας ψηφίσουν όσες και όσοι ήρθαν σε αυτή την κάλπη αλλά και ενδεχομένως οι καινούργιοι που μας εμπιστεύθηκαν στην κάλπη να καταλάβουν να αντιληφθούν ότι σήμερα ουσιαστικά στη χώρα δεν υπάρχει άλλη πρόταση επί της ουσίας.",political agenda,elections,election spending,0.2,0,0,"[['parliament', 'organization', '1.0']]"
7,"Only New Democracy has not only a plan but also the will and determination to take on the responsibility of governance. The greater the percentage we receive, the heavier the weight on our shoulders. The responsibility is significant when the Greek people trust you with such a large percentage. Everyone else is hiding. Mr. Androulakis told us that ""even if New Democracy has 149 MPs, I am not interested in governing, I am interested in staying in opposition."" I said to him, ""Very well done."" So stay in the opposition, argue with Tsipras about who will lead the opposition, and let us do the work.","Μόνο η Νέα Δημοκρατία όχι απλά έχει σχέδιο αλλά έχει και τη βούληση και τη θέληση να αναλάβει την ευθύνη της διακυβέρνησης. Διότι όσο μεγαλύτερο είναι το ποσοστό το οποίο λαμβάνουμε, τόσο μεγαλύτερο το βάρος στους ώμους μας. Η ευθύνη είναι βαριά όταν ο ελληνικός λαός σε εμπιστεύεται με ένα τέτοιο μεγάλο ποσοστό. Όλοι οι άλλοι κρύβονται. Ο κ. Ανδρουλάκης μας είπε ότι «και 149 βουλευτές να έχει η Νέα Δημοκρατία, εμένα δεν με ενδιαφέρει να κυβερνήσω, με ενδιαφέρει να μείνω στην αντιπολίτευση».Του λέω, πολύ καλά κάνεις. Μείνε στην αντιπολίτευση λοιπόν, να τσακώνεσαι μαζί με τον Τσίπρα, για το ποιος θα έχει την πρωτοκαθεδρία της αντιπολίτευσης και άσε μας εμάς να κάνουμε τη δουλειά.",criticism,elections,other,,0.6,0,"[['new democracy', 'political party', '1.0'], ['greek', 'people', 'group of people', '1.0'], ['androulakis', 'person', '1.0'], ['tsipras', 'person', '1.0']]"
8,"In this election, we are not voting for the opposition. We are voting for the government. In every election, we vote for the government. So, I want to ask all of our executives, our elected MPs, and all of our amazing candidates, this time free of the stress of the cross, to fight together for one goal: on June 25, the country will have a strong and stable government of New Democracy, which is more necessary today than ever before. I want to stress that this is not a football match, where the score of the first game counts in the rematch. The score of the first match gives us joy and satisfaction, but it does not count at the ballot box on June 25. We must start again from the beginning, and we must fill the ballot boxes, which will be empty that morning, with many millions of New Democracy ballot papers in the evening.","Γιατί στις εκλογές αυτές δεν ψηφίζουμε για αντιπολίτευση. Για κυβέρνηση ψηφίζουμε. Σε κάθε εκλογή ψηφίζουμε για κυβέρνηση. Θέλω λοιπόν να ζητήσω από όλα μας τα στελέχη, από τους εκλεγμένους βουλευτές, αλλά και απ’ όλους τους καταπληκτικούς υποψηφίους μας, αυτή τη φορά απαλλαγμένοι από το άγχος το σταυρού, να δώσουμε όλοι μαζί τη μάχη για έναν στόχο: 25 Ιουνίου η χώρα να έχει ισχυρή και σταθερή κυβέρνηση της Νέας Δημοκρατίας, πιο απαραίτητη σήμερα παρά ποτέ.Γι’ αυτό και δεν δικαιολογείται κανένας εφησυχασμός. Θέλω να τονίσω ότι εδώ δεν μιλάμε για ποδοσφαιρικό αγώνα, όπου το σκορ του πρώτου αγώνα μετράει στη ρεβάνς. Το σκορ του πρώτου αγώνα μας δίνει χαρά και ικανοποίηση, αλλά δεν μετράει στην κάλπη της 25ης Ιουνίου. Πρέπει να ξεκινήσουμε πάλι από την αρχή και πρέπει οι κάλπες, οι οποίες θα είναι άδειες εκείνο το πρωί, το βράδυ να γεμίσουν με πολλά εκατομμύρια ψηφοδέλτια της Νέας Δημοκρατίας.",political agenda,elections,election spending,0.3,0,0,"[['new democracy', 'organization', '1.0'], ['june 25', 'date', '1.0']]"
9,"We will achieve our goal. We will achieve it because now, yes, we have the wind in our sails. We know we are winners, but not arrogant. Careful: not arrogant. As I said, if one feeling should fill us today, it is the responsibility of governing in difficult circumstances. And if I insist, friends, on the need for stability, it is precisely because I know how difficult things are; you see that threats are lurking out of nowhere. In the last two days, for the first time, we have been cyber-attacked as a country, of such a magnitude that we have been concerned about the conduct of the qualifying exams. In the past, we have been cyber-attacked and have repelled cyber-attacks. But it is just one indication of how difficult the world we live in is and how necessary it is to have a firm hand on the wheel of the country.","Θα τον πετύχουμε το στόχο μας. Θα τον πετύχουμε γιατί τώρα, ναι, έχουμε τον αέρα στα πανιά μας. Ξέρουμε ότι είμαστε νικητές, αλλά νικητές, όχι αλαζόνες. Προσέξτε: όχι αλαζόνες. Όπως σας είπα, αν ένα αίσθημα πρέπει να μας γεμίζει σήμερα είναι η ευθύνη της διακυβέρνησης σε δύσκολες συνθήκες. Και αν επιμένω, φίλες και φίλοι, για την ανάγκη να υπάρχει σταθερότητα, είναι ακριβώς επειδή ξέρω πόσο δύσκολα είναι τα πράγματα.Βλέπετε ότι οι απειλές καραδοκούν από το πουθενά. Τις τελευταίες δύο μέρες για πρώτη φορά δεχθήκαμε κυβερνοεπίθεση ως χώρα, τέτοιας έκτασης η οποία μας προβλημάτισε για τη διεξαγωγή των προαγωγικών εξετάσεων.Και στο παρελθόν είχαμε δεχθεί κυβερνοεπιθέσεις, τις είχαμε αποκρούσει. Είναι μία μόνο ένδειξη, όμως, του πόσο δύσκολος είναι ο κόσμος στον οποίο ζούμε και το πόσο απαραίτητο είναι να υπάρχει ένα σταθερό και στιβαρό χέρι στο τιμόνι της χώρας.",political agenda,other,other,0.4,0.2,0,"[['we', 'person'], ['winners', 'group of people'], ['governing', 'organization'], ['cyber-attacked', 'organization'], ['country', 'location'], ['qualifying exams', 'date']]"
10,"A short while ago, ten minutes ago, I had the opportunity to call the Turkish President to congratulate him on his re-election and to tell him that I look forward to and expect a new period in Greek-Turkish relations. You know that our country is always willing to extend a hand of friendship to Turkey, but never to undermine its sovereignty and sovereign rights. There are issues that I will never discuss with Turkey; they are off the agenda. And I hope that the climate with Turkey will improve, but no one can guarantee that this will be the case. Because only I know for four years how difficult the situation we had to manage with Turkey was and what a struggle we had to go through to be in a position of strength today against a country that has a revisionist strategy towards our country. That is why a stable government is a prerequisite so that we can all sleep well at night.","Πριν από λίγο, πριν από δέκα λεπτά, είχα την ευκαιρία να καλέσω τον Τούρκο Πρόεδρο να τον συγχαρώ για την επανεκλογή του και να του πω ότι προσβλέπω και προσδοκώ μία νέα περίοδο στις ελληνοτουρκικές σχέσεις.Ξέρετε ότι η χώρα μας πάντα είναι διατεθειμένη να τείνει χείρα φιλίας προς την Τουρκία, χωρίς όμως ποτέ να υπονομεύσει την κυριαρχία και τα κυριαρχικά της δικαιώματα.Υπάρχουν θέματα τα οποία δεν πρόκειται ποτέ να συζητήσω με την Τουρκία, είναι εκτός ατζέντας. Κι ελπίζω ότι το κλίμα με την Τουρκία θα βελτιωθεί, αλλά δεν μπορεί κανείς να μας εγγυηθεί ότι θα είναι έτσι τα πράγματα. Γιατί μόνο εγώ ξέρω τέσσερα χρόνια πόσο δύσκολη ήταν η κατάσταση που έπρεπε να διαχειριστούμε με την Τουρκία και τι αγώνα έπρεπε να κάνουμε για να είμαστε σήμερα σε μία θέση ισχύος απέναντι σε μία χώρα η οποία έχει μία αναθεωρητική στρατηγική απέναντι στην πατρίδα μας. Γι΄ αυτό και η σταθερή κυβέρνηση είναι προϋπόθεση, για να μπορούμε όλοι μας να κοιμόμαστε ήσυχοι τα βράδια. ",political agenda,national security,other,0.4,0,0,"[['greek-turkish relations', 'group of people', 'probability cannot be determined'], ['turkey', 'country', '1.0'], ['greek', 'nationality', '1.0'], ['president', 'person', '1.0'], ['four years', 'date', '1.0'], ['sovereignty', 'political party', 'probability cannot be determined'], ['sovereign rights', 'political party', 'probability cannot be determined'], ['agenda', 'organization', 'probability cannot be determined'], ['climate', 'organization', 'probability cannot be determined'], ['revisionist strategy', 'organization', 'probability cannot be determined'], ['stable government', 'organization', 'probability cannot be determined']]"
