id,text,text_el,is_criticism,topic-context,subtopic-context,sentiment,polarization-definition,populism-definition,ner-limited
1,"Good morning and thank you for the warm welcome. Mayor Giannis, dear friends, I couldn't resist stopping by Milopotamos during my two-day tour of our island to personally thank you for giving our party the highest percentage of votes among all the municipalities in the Regional Unit of Rethymnon. A big thank you to each and every one of you for the support you have given to New Democracy, which, in my opinion, is also support for me personally. I made a bet with myself and all our partners at the beginning of this election period that seemed difficult - perhaps not so difficult here in Rethymno, but difficult in some other Regional Units of Crete - that the whole of Crete would turn blue. And we achieved our goal.","Καλημέρα σας και σας ευχαριστώ γι’ αυτή την ωραία υποδοχή. Δήμαρχε, αγαπητέ Γιάννη, φίλες και φίλοι, δεν μπορούσα να μην περάσω από τον Μυλοπόταμο σε αυτή τη διήμερη περιοδεία την οποία κάνω στο νησί μας, για να σας ευχαριστήσω προσωπικά που εδώ στον Μυλοπόταμο δώσατε στην παράταξή μας το μεγαλύτερο ποσοστό απ’ όλους τους Δήμους στην Περιφερειακή Ενότητα Ρεθύμνου.Ένα μεγάλο ευχαριστώ στην καθεμία και στον καθένα ξεχωριστά για τη στήριξη την οποία δώσατε στη Νέα Δημοκρατία, η οποία όμως -έτσι την εκλαμβάνω, μου το επιτρέπετε- είναι μια στήριξη και στο δικό μου το πρόσωπο, καθώς είχα βάλει με τον εαυτό μου και με όλους τους συνεργάτες μας ένα στοίχημα στην αρχή αυτής της προεκλογικής περιόδου, το οποίο φαινόταν δύσκολο -ίσως όχι τόσο δύσκολο εδώ στο Ρέθυμνο, αλλά δύσκολο σε κάποιες άλλες Περιφερειακές Ενότητες της Κρήτης- να είναι όλη η Κρήτη γαλάζια. Και τον στόχο μας αυτό τον πετύχαμε.",political agenda,elections,other,,0,0,"[['giannis', 'person', '1.0'], ['new democracy', 'political party', '1.0'], ['regional unit of rethymnon', 'location', '1.0'], ['milopotamos', 'location', '1.0'], ['crete', 'location', '1.0'], ['rethymno', 'location', '1.0'], ['two-day', 'date', '1.0']]"
2,"And of course, Crete is blue and will remain blue. Because we must not forget that we still have one more election ahead of us. We are not finished and we must be absolutely sure that in the next election, on June 25th, there will be no complacency. All those who voted for us will vote for us again and we may even win some more new citizens. A good friend of mine told me a nice mantra: ""Today all your voters here are proud of you and those who didn't vote for you may regret it."" I'm keeping the ""maybe.""","Και βέβαια, η Κρήτη είναι γαλάζια και θα παραμείνει γαλάζια. Γιατί δεν πρέπει να ξεχνάμε ότι έχουμε ακόμα μία εκλογή μπροστά μας, δεν έχουμε τελειώσει και πρέπει να είμαστε απολύτως σίγουροι ότι στην επόμενη κάλπη, της 25ης Ιουνίου, δεν θα υπάρχει κανείς εφησυχασμός, όλοι όσοι μας ψήφισαν θα μας ξαναφηφίσουν και ενδεχομένως να κερδίσουμε και κάποιους ακόμα νέους συμπολίτες μας.Ένας καλός φίλος μού είπε μία ωραία μαντινάδα: «σήμερα όλοι οι ψηφοφόροι σου εδώ σε καμαρώνουν και αυτοί που δε σε ψήφισαν ίσως το μετανιώνουν». Κρατώ το «ίσως».",political agenda,elections,election spending,0.55,0.1,0,"[['crete', 'location', '0.95'], ['june 25th', 'date', '0.9']]"
3,"Mr. Mayor, first of all, I want to say a big thank you for the services you have provided to the local government over the decades. I want you to know that we have had excellent cooperation with the Mayor in solving big and small problems of the place. We have supported the local government more than any other government in the history of the post-independence period, with many financial instruments. We did not look at parties in local government - no matter if you always wore a blue jacket. I think that in this way, we demonstrated that ultimately what made the difference between New Democracy and our political opponents was precisely that we bent over the real problems of society and provided solutions to the problems. We kept society on its feet in the midst of major crises.","Κύριε Δήμαρχε, κατ’ αρχάς θέλω να σας πω ένα μεγάλο ευχαριστώ για τις υπηρεσίες τις οποίες έχετε προσφέρει συνολικά όλες αυτές τις δεκαετίες στην Τοπική Αυτοδιοίκηση.Θέλω να ξέρετε ότι είχαμε μία άριστη συνεργασία με τον Δήμαρχο για την επίλυση μεγάλων και μικρών προβλημάτων του τόπου. Εμείς στηρίξαμε την Τοπική Αυτοδιοίκηση περισσότερο από οποιαδήποτε άλλη κυβέρνηση στην ιστορία της Μεταπολίτευσης, με πολλά χρηματοδοτικά εργαλεία. Δεν κοιτάξαμε κόμματα στην Αυτοδιοίκηση -άσχετα αν εσύ φορούσες πάντα και φοράς μπλε σακάκι.Νομίζω ότι με αυτόν τον τρόπο καταδείξαμε ότι τελικά αυτό το οποίο έκανε τη διαφορά μεταξύ της Νέας Δημοκρατίας και των πολιτικών μας αντιπάλων ήταν ακριβώς ότι εμείς σκύψαμε πάνω στα πραγματικά προβλήματα της κοινωνίας και δώσαμε λύσεις στα προβλήματα. Κρατήσαμε την κοινωνία όρθια εν μέσω μεγάλων κρίσεων.",political agenda,other,other,0.8,0,0,"[['mr. mayor', 'person', '1.0'], ['local government', 'organization', '0.7'], ['mayor', 'person', '1.0'], ['new democracy', 'political party', '0.8']]"
4,"And, of course, we also discussed how we perceive the future of our country because all elections are ultimately about the future, not the past. The percentage we received was certainly a reward for the serious work we have done for four years. At the same time, however, citizens have placed their expectations on us as to what we want to do from now on. Especially here in Crete, I have not hidden that we have very ambitious plans. The next four years will be a period of very big changes for Crete. It is the four years in which, at last, the biggest development project in the history of Crete will finally get off the ground, which is none other than the Northern Road Axis. This is a personal commitment of mine, which is finally being put into practice, a project that in 2019 we basically received on paper - it was a line on the map - and we managed to get it underway. We broke it into three parts, secured the necessary funding, and we are now absolutely certain that within the next year - the first construction sites have already started on the Lassithi section - the tender process for the major concession contract from Chania to Heraklion will be completed. We will now finally see this project moving forward, completed soon, so that you can travel safely and we can finally stop mourning so many unjust deaths on the roads of our island. It is a personal commitment of mine, and we will make this project a reality. It will be from Kissamos to Sitia. It will cover the whole length of Crete and will indeed change the face of our island.","Και, φυσικά, μιλήσαμε και για το πώς αντιλαμβανόμαστε το μέλλον του τόπου μας, διότι όλες οι εκλογές τελικά αφορούν το μέλλον, όχι το παρελθόν. Το ποσοστό το οποίο πήραμε ήταν σίγουρα μία επιβράβευση για τη σοβαρή δουλειά την οποία κάναμε τέσσερα χρόνια. Ταυτόχρονα, όμως, οι πολίτες εναπόθεσαν σε εμάς τις προσδοκίες τους για το τι θέλουμε να κάνουμε από εδώ και στο εξής. Ειδικά εδώ, στην Κρήτη, δεν το έχω κρύψει, έχουμε πολύ φιλόδοξα σχέδια. Η επόμενη τετραετία θα είναι η τετραετία των πολύ μεγάλων αλλαγών για την Κρήτη. Είναι η τετραετία στην οποία, επιτέλους, θα μπει για τα καλά μπρος το μεγαλύτερο αναπτυξιακό έργο στην ιστορία -θα έλεγα- της Κρήτης, που δεν είναι άλλο από τον Βόρειο Οδικό Άξονα. Μία προσωπική μου δέσμευση, η οποία επιτέλους γίνεται πράξη.Ένα έργο το οποίο το 2019 το παραλάβαμε ουσιαστικά στα χαρτιά -ήταν μια γραμμή στον χάρτη- και καταφέραμε και το «ξεμπλέξαμε». Το «σπάσαμε» σε τρία κομμάτια, εξασφαλίσαμε την απαραίτητη χρηματοδότηση και πια είμαστε απολύτως βέβαιοι ότι μέσα στον επόμενο χρόνο -ήδη τα πρώτα εργοτάξια έχουν ξεκινήσει στο κομμάτι του Λασιθίου- θα ολοκληρωθεί και η διαδικασία της δημοπράτησης για τη μεγάλη σύμβαση παραχώρησης από τα Χανιά έως το Ηράκλειο.Θα βλέπουμε πια, επιτέλους, το έργο αυτό να προχωρά, να ολοκληρωθεί σύντομα, ώστε να μπορείτε να μετακινείστε με ασφάλεια και να σταματήσουμε επιτέλους να θρηνούμε τόσους άδικους θανάτους στους δρόμους του νησιού μας.Είναι μια προσωπική μου δέσμευση το έργο αυτό, θα το κάνουμε πράξη. Θα είναι από την Κίσσαμο μέχρι τη Σητεία. Θα καλύψει όλο το μήκος της Κρήτης και πράγματι θα αλλάξει την όψη του νησιού μας.",political agenda,infrastrusture,other,0.7,0,0,"[['crete', 'location', '1.0'], ['northern road axis', 'organization', '1.0'], ['lassithi', 'location', '1.0'], ['chania', 'location', '1.0'], ['heraklion', 'location', '1.0'], ['kissamos', 'location', '1.0'], ['sitia', 'location', '1.0'], ['crete', 'country', '1.0'], ['2019', 'date', '1.0.']]"
5,"A number of other major development projects will also change the appearance of our island. The airport in Kastelli is already making progress. The major interconnection to which the Mayor referred is so important because Crete has, until now, been totally dependent on imports of oil and fuel oil to produce electricity. Think about how different things will be when Crete can export its own electricity. And, of course, this electricity that we will produce from our own resources, from the sun, from the wind, will make it much easier for us to reduce the cost of electricity. This is important for our farmers, for our small crafts, for our households.","Όπως την όψη του νησιού μας θα αλλάξουν και μια σειρά από άλλα μεγάλα αναπτυξιακά έργα. Το αεροδρόμιο στο Καστέλι ήδη προχωράει. Η μεγάλη διασύνδεση στην οποία αναφέρθηκε ο Δήμαρχος είναι τόσο σημαντική, διότι η Κρήτη μέχρι σήμερα ήταν απολύτως εξαρτημένη από εισαγωγές πετρελαίου και μαζούτ για να παράγει ουσιαστικά ηλεκτρική ενέργεια. Σκεφτείτε πόσο διαφορετικά θα είναι τα πράγματα όταν η Κρήτη θα μπορεί να εξάγει η ίδια ηλεκτρική ενέργεια. Και φυσικά, αυτή η ηλεκτρική ενέργεια την οποία θα παράγουμε εμείς από δικούς μας πόρους, από τον ήλιο, από τον άνεμο, θα μας διευκολύνει πολύ να μειώσουμε το κόστος του ρεύματος. Αυτό είναι σημαντικό για τους κτηνοτρόφους μας, για τις μικρές μας βιοτεχνίες, για τα νοικοκυριά μας.",political agenda,energy,other,0.6,0,0,"[['kastelli', 'location', '0.7'], ['crete', 'location', '1.0']]"
6,"This is the picture of the future I envision for our Crete. It is a picture that is inextricably linked - I cannot fail to mention it here, my dear Mayor - to the primary sector. Especially here, in Mylopotamos, you are aware of the traditional relations that Constantine Mitsotakis had with your region. I do not need to say more. He bequeathed to me his love for our mountains, for our Psiloritis, for our White Mountains, and for the mountains of Lassithi. You are right, Mayor, to say that the heart of livestock farming beats here. I strongly believe in the future of quality livestock farming.","Αυτή είναι η εικόνα του μέλλοντος, όπως την οραματίζομαι για την Κρήτη μας. Μια εικόνα η οποία συνδέεται άρρηκτα -εδώ δεν μπορώ να μην το πω, αγαπητέ μου Δήμαρχε- με τον πρωτογενή τομέα. Ειδικά εδώ, στον Μυλοπόταμο, ξέρετε τις παραδοσιακές σχέσεις που είχε ο Κωνσταντίνος Μητσοτάκης με την περιοχή σας. Δεν χρειάζεται να πω περισσότερα. Και την αγάπη που μου κληρονόμησε για τους ορεινούς μας όγκους, για τον Ψηλορείτη μας, για τα Λευκά μας Όρη, για τα βουνά του Λασιθίου. Γιατί εδώ, έχεις δίκιο Δήμαρχε να λες ότι χτυπάει η καρδιά της κτηνοτροφίας. Και εγώ πιστεύω πάρα πολύ στο μέλλον της ποιοτικής κτηνοτροφίας.",political agenda,agricultural policy,other,0.6,0,0,"[['crete', 'location', '0.95'], ['mylopotamos', 'location', '0.9'], ['constantine mitsotakis', 'person', '0.8'], ['psiloritis', 'location', '0.75'], ['white mountains', 'location', '0.75'], ['lassithi', 'location', '0.6']]"
7,"Note the emphasis on quality livestock farming. It is quality that can ultimately allow us to get better prices for our meat, milk, and cheese. We should protect our products and link them to our tourism industry. This means that visitors can leave the coast and visit the mainland, mountains, and production units to buy our products. Once they taste and love them, they will continue to buy them abroad. You should know that I am your best ally in upgrading and supporting quality livestock farming. John was right when he said that we negotiated European resources efficiently and secured all CAP resources without losing a single euro compared to other countries. Additionally, our NSRF has increased resources, especially the Cretan CIP, and we have access to the Recovery Fund.","Προσέξτε την έμφαση στην ποιοτική κτηνοτροφία. Η ποιότητα είναι αυτή που θα μπορέσει να μας επιτρέψει τελικά να έχουμε καλύτερες τιμές και για το κρέας μας και για το γάλα μας και για τα τυριά μας. Η προστασία των προϊόντων μας, η σύνδεση των προϊόντων μας με το τουριστικό μας προϊόν. Η δυνατότητα, δηλαδή, όλοι αυτοί οι επισκέπτες να φεύγουν κάποια στιγμή από τα παράλια και να επισκέπτονται την ενδοχώρα, να έρχονται στο βουνό, να βλέπουν τις παραγωγικές σας μονάδες, να αγοράζουν τα προϊόντα σας. Μετά θα τα αγοράζουν και εκεί που θα είναι, στο εξωτερικό. Διότι όταν τα αγαπήσουν και τα δοκιμάσουν, αποκλείεται μετά να αλλάξουν τις επιλογές τους.Σε όλα αυτά να ξέρετε ότι δεν θα βρείτε καλύτερο σύμμαχο από εμένα για την αναβάθμιση και τη στήριξη της ποιοτικής κτηνοτροφίας.Έχει δίκιο ο Γιάννης όταν είπε ότι όταν πήγαμε στην Ευρώπη και διαπραγματευτήκαμε ευρωπαϊκούς πόρους, το κάναμε με πολύ μεγάλη αποτελεσματικότητα. Όχι μόνο διασφαλίσαμε όλους τους πόρους της ΚΑΠ, δεν χάσαμε ούτε ένα ευρώ σε σχέση με άλλες χώρες, οι οποίες είχαν σημαντικές απώλειες. Σε αυτό θέλω να προσθέσετε τους αυξημένους πόρους που έχει πια το ΕΣΠΑ μας, ειδικά το ΠΕΠ της Κρήτης -πολύ αυξημένους πόρους.  Αλλά φυσικά και τους πρόσθετους πόρους του Ταμείου Ανάκαμψης.",political agenda,agricultural policy,other,0.6,0,0,"[['john', 'person', '0.5'], ['european', 'organization', '0.5'], ['cap', 'organization', '0.5'], ['nsrf', 'organization', '0.5'], ['cretan cip', 'organization', '0.5'], ['recovery fund', 'organization', '0.5']]"
8,"You know, our opponents were very proud of a negotiation that they did. They went to Brussels in 2015, negotiated for 17 hours, came back, and gave us a memorandum that cost us 100 billion. I went to Brussels and negotiated in the summer of 2020, in the middle of the pandemic, for five days, not 17 hours. And what I brought back to the country is 31 billion from the Recovery Fund. This money is not an abstraction; it concerns you. Some of that money is going to the Northern Highway. A chunk of that money will go to put interactive whiteboards in all schools from Grade 5 to Grade 3. So that young children, who are here in the villages of Mylopotamos, know that they have the same access to quality education as a child growing up in a large urban center.","Ξέρετε, οι αντίπαλοί μας ήταν πολύ υπερήφανοι για μία διαπραγμάτευση που έκαναν. Πήγαν, λέει, στις Βρυξέλλες το 2015, διαπραγματεύτηκαν 17 ώρες, γύρισαν πίσω και μας φόρτωσαν ένα μνημόνιο που μας στοίχισε 100 δισεκατομμύρια.Και εγώ πήγα στις Βρυξέλλες. Διαπραγματεύτηκα το καλοκαίρι του 2020 εν μέσω της πανδημίας πέντε μέρες, όχι 17 ώρες. Και αυτό το οποίο έφερα πίσω στη χώρα είναι 31 δισεκατομμύρια από το Ταμείο Ανάκαμψης.Αυτά τα χρήματα δεν είναι κάτι αφηρημένο, σας αφορούν. Ένα κομμάτι των χρημάτων αυτών πάει στον Βόρειο Οδικό Άξονα. Ένα κομμάτι των χρημάτων αυτών θα πάει για να μπουν διαδραστικοί πίνακες σε όλα τα σχολεία από την Ε΄ Δημοτικού μέχρι την Γ΄ Λυκείου. Ώστε τα νέα παιδιά, τα οποία είναι εδώ στα χωριά του Μυλοποτάμου, να ξέρουν ότι έχουν την ίδια πρόσβαση σε ποιοτική εκπαίδευση με ένα παιδί το οποίο μεγαλώνει σε ένα μεγάλο αστικό κέντρο.",political agenda,economy,other,0.8,0,0,"[['brussels', 'location', '1.0'], ['2015', 'date', '1.0'], ['100 billion', 'organization', '0.5'], ['brussels', 'location', '1.0'], ['2020', 'date', '1.0'], ['recovery fund', 'organization', '0.5'], ['northern highway', 'location', '0.5'], ['grade 5', 'organization', '0.5'], ['grade 3', 'organization', '0.5'], ['mylopotamos', 'location', '1.0']]"
9,"You know what a real revolution technology can be, especially for our schools in small villages. It really opens up the horizons of these children. And they can understand that, yes, they can stay and live in their place. Ultimately, our whole policy proposal is a proposal of equal opportunities for all children, regardless of where they grow up.","Ξέρετε τι πραγματική επανάσταση μπορεί να είναι η τεχνολογία ειδικά για τα σχολεία μας στα μικρά χωριά, πώς πραγματικά ανοίγει τον ορίζοντα των παιδιών αυτών. Και μπορούν να καταλαβαίνουν ότι, ναι, μπορούν να μείνουν, να ζήσουν στον τόπο τους και ότι τελικά όλη μας η πολιτική πρόταση είναι μια πρόταση ίσων ευκαιριών για όλα τα παιδιά, ανεξαρτήτως του πού μεγαλώνουν.",political agenda,education,higher education,0.8,0,0,[]
10,"Let me say one more thing about our health. We will rebuild 156 health centers throughout the country from the resources of the Recovery Fund. We have Irini Agapidaki with us, who is a Cretan and the head of our State Electoral Committee. She honors us with her presence and is an expert on health issues. We are very happy. You will know for sure that the next day, especially on health issues, in Crete you will have your own person who will fight for quality health. Whether we are talking about our hospitals or the hospitals of Rethymnon, where so many important interventions are being made, or whether we are talking about health centers or clinics in the Greek region.","Να πω και κάτι ακόμα, για την υγεία μας. Ότι από τους πόρους του Ταμείου Ανάκαμψης θα ξαναφτιάξουμε 156 κέντρα υγείας σε όλη τη χώρα.Έχουμε μαζί μας και την Ειρήνη Αγαπηδάκη, η οποία είναι Κρητικιά, επικεφαλής του ψηφοδελτίου Επικρατείας μας και μας τιμά με την παρουσία της, ειδική στα θέματα της υγείας και χαιρόμαστε πάρα πολύ.Θα ξέρετε σίγουρα ότι την επόμενη μέρα, ειδικά για τα θέματα υγείας, στην Κρήτη θα έχετε τον δικό σας άνθρωπο, ο οποίος θα αγωνίζεται για ποιοτική υγεία, είτε μιλάμε για τα νοσοκομεία μας, είτε για τα νοσοκομεία του Ρεθύμνου, όπου τόσο σημαντικές παρεμβάσεις γίνονται, είτε μιλάμε για τα κέντρα υγείας, για τα ιατρεία στην ελληνική περιφέρεια.",political agenda,health,other,0,0,0,"[['irini agapidaki', 'person', '0.9'], ['state electoral committee', 'organization', '0.8'], ['recovery fund', 'organization', '0.7'], ['crete', 'location', '0.9'], ['rethymnon', 'location', '0.6'], ['greek region', 'location', '0.7']]"
