id,text,text_el,is_criticism,topic-context,subtopic-context,sentiment,polarization-definition,populism-definition,ner-limited
1,"Good day from Blue New Ionia. Who would have thought that New Democracy would win in Nea Ionia by 10 points over SYRIZA? That is why I am here today to say a big thank you for the struggle we fought together and for the great victory we achieved on Sunday, May 21. Thank you for your love and support for our great party, New Democracy. It is also a special moment for me. I remember when I first started as a candidate for the unified Athens North. To my colleagues in the northern sector who sometimes complain that your constituency is too big, think about what it meant when we had to cover the whole of Athens North. But I remember when I came to Nea Ionia, we were much fewer. Now we are much more, and we will be even more on the evening of June 25 to complete the important step we took in the last poll on May 21.","Καλή σας μέρα από τη γαλάζια Νέα Ιωνία. Ποιος θα το περίμενε άραγε, ότι η Νέα Δημοκρατία θα κέρδιζε στη Νέα Ιωνία με 10 μονάδες διαφορά από τον ΣΥΡΙΖΑ. Γι’ αυτό είμαι εδώ σήμερα, να σας πω ένα μεγάλο ευχαριστώ για τον αγώνα τον οποίο δώσαμε από κοινού, για τη μεγάλη νίκη που πετύχαμε την Κυριακή 21η Μαΐου. Σας ευχαριστώ για την αγάπη και τη στήριξή σας στη μεγάλη μας παράταξη, τη Νέα Δημοκρατία. Είναι και μία ξεχωριστή στιγμή για μένα, θυμάμαι όταν ξεκίνησα για πρώτη φορά υποψήφιος Βουλευτής στην ενιαία Β’ Αθηνών -τα λέω τώρα στους συναδέλφους του βορείου τομέα, οι οποίοι παραπονιούνται μερικές φορές ότι είναι μεγάλη η εκλογική σας περιφέρεια, σκεφτείτε λίγο, τι σήμαινε όταν έπρεπε να καλύψουμε όλη τη Β’ Αθηνών. Αλλά θυμάμαι, όταν ερχόμουν στη Νέα Ιωνία, ήμασταν πολύ λιγότεροι, τώρα είμαστε πολύ περισσότεροι και θα γίνουμε ακόμα περισσότεροι το βράδυ της 25ης Ιουνίου, για να ολοκληρώσουμε το σημαντικό βήμα το οποίο κάναμε στην προηγούμενη κάλπη της 21ης Μαΐου.",political agenda,elections,other,0.6,0.0,0.0,"[['blue new ionia', 'location', '1.0'], ['new democracy', 'political party', '1.0'], ['nea ionia', 'location', '0.9'], ['syriza', 'political party', '0.9'], ['sunday', 'date', '1.0'], ['may 21', 'date', '1.0'], ['new democracy', 'organization', '0.9'], ['athens north', 'location', '1.0'], ['nea ionia', 'location', '0.9'], ['june 25', 'date', '1.0']]"
2,"I cannot forget that I came to Nea Ionia - I had the opportunity to talk to the Mayor - on the 100th anniversary of the founding of the city. A city that has a deep history and roots in refugee Hellenism, which we honor and recognize. Look out, ""you are and will be the Prime Minister"". At this moment, I am not the Prime Minister. We have a caretaker Prime Minister. If you want me to be the Prime Minister again, you should all go and vote in the ballot box on June 25th. And there is one reason why I am not the Prime Minister today, and that is called ""simple proportional representation"". Because if the elections had been held under the system of enhanced proportional representation, today the country would already have a stable government with a comfortable parliamentary majority. So what some people did not allow us to do at the polls on May 21st because they experimented with simple proportional representation, I ask you to do twenty days from now, with a strong New Democracy, with a comfortable parliamentary majority.","Δεν μπορώ να μην ξεχάσω, ότι έρχομαι στη Νέα Ιωνία -είχα την ευκαιρία να τα πω και με τη Δήμαρχο- στα 100 χρόνια από την ίδρυση της πόλης. Μια πόλη, η οποία έχει βαθιά ιστορία και ρίζες στον προσφυγικό ελληνισμό, τον οποίον τιμούμε, τον οποίον αναγνωρίζουμε.Προσέξτε, «είσαι και θα είσαι ο Πρωθυπουργός». Αυτή τη στιγμή δεν είμαι Πρωθυπουργός. Έχουμε υπηρεσιακό Πρωθυπουργό. Αν θέλετε να είμαι ξανά ο Πρωθυπουργός, να πάτε όλες και όλοι να ψηφίσετε στην κάλπη της 25ης Ιουνίου.Και υπάρχει ένας λόγος για τον οποίο δεν είμαι σήμερα Πρωθυπουργός και αυτός ακούει στο όνομα «απλή αναλογική». Διότι αν οι εκλογές είχαν γίνει με το σύστημα της ενισχυμένης αναλογικής, σήμερα η χώρα θα είχε ήδη σταθερή κυβέρνηση με άνετη κοινοβουλευτική πλειοψηφία.Αυτό, λοιπόν, το οποίο κάποιοι δεν μας επέτρεψαν να κάνουμε στις κάλπες της 21ης Μαΐου επειδή πειραματίστηκαν με την απλή αναλογική, σας ζητώ να το κάνουμε πράξη σε είκοσι μέρες από τώρα, με μία ισχυρή Νέα Δημοκρατία, με μία άνετη κοινοβουλευτική πλειοψηφία.",political agenda,other,other,0.5,0.0,0.0,"[['nea ionia', 'location', '1.0'], ['mayor', 'person', '1.0'], ['100th anniversary', 'date', '1.0'], ['hellenism', 'group of people', '1.0'], ['prime minister', 'political party', '1.0'], ['caretaker prime minister', 'political party', '1.0'], ['june 25th', 'date', '1.0'], ['enhanced proportional representation', 'political party', '1.0'], ['simple proportional representation', 'political party', '1.0'], ['may 21st', 'date', '1.0'], ['new democracy', 'political party', '1.0']]"
3,"Because today, the country needs first and foremost a stable government that can lead our country safely into the future and face the major geopolitical challenges of the region. You see, Turkey already has a new, strong, and stable government. We need a stable government in our country too so that we can continue to defend our sovereignty, our sovereign rights, upgrade our geopolitical role, and continue to protect our borders effectively and fairly, both on land and at sea. This is the great challenge of the next elections, whether we will be able to continue on this path of recovery and modernization of the country.","Διότι, σήμερα, η χώρα χρειάζεται, πρώτα και πάνω απ΄ όλα μία σταθερή κυβέρνηση, η οποία να μπορεί να οδηγήσει με ασφάλεια τη χώρα μας στο μέλλον και να αντιμετωπίσει τις μεγάλες γεωπολιτικές προκλήσεις της περιοχής.Βλέπετε ότι ήδη η Τουρκία σήμερα έχει μια νέα, μια ισχυρή, μία σταθερή κυβέρνηση. Σταθερή κυβέρνηση χρειαζόμαστε και στη χώρα μας, για να μπορέσουμε να εξακολουθούμε να υπερασπιζόμαστε την κυριαρχία μας, τα κυριαρχικά μας δικαιώματα, να αναβαθμίζουμε τον γεωπολιτικό μας ρόλο, να εξακολουθούμε με αποτελεσματικότητα και με δικαιοσύνη να προστατεύουμε τα σύνορά μας και στην ξηρά και στη θάλασσα. Αυτό είναι, λοιπόν, το μεγάλο ζητούμενο των επόμενων εκλογών. Αν θα μπορέσουμε να συνεχίσουμε σε αυτή την πορεία ανόρθωσης και εκσυγχρονισμού της χώρας.",political agenda,other,borders,0.6,0.2,0.0,"[['turkey', 'location', '0.8'], ['country', 'country', '1.0'], ['government', 'organization', '0.6'], ['sovereignty', 'organization', '0.5'], ['sovereign rights', 'organization', '0.5'], ['borders', 'organization', '0.4'], ['land', 'location', '0.4'], ['sea', 'location', '0.4'], ['elections', 'date', '0.5']]"
4,"The strong majority for a stable government that we are asking for is also a necessary condition, friends, so that we can put into practice the great changes that we have already spoken to you about and for which we have already obtained the positive vote of the Greek people.Because if anything was vindicated in the previous election period, it was the correct political discourse, the emphasis on the programme and the rejection of toxic political discourse, of divisive political discourse, of lies, of ""black Greece"".Black Greece was defeated in the elections of 21 May, but ""bright Greece"" won. The divisiveness was defeated, unity won. And the party that managed to convince the majority of citizens that it has a real plan for how we envision Greece in the next four years, with an emphasis on stable and sustainable growth, with more jobs, more investment and a stronger welfare state.","Η ισχυρή πλειοψηφία για σταθερή κυβέρνηση την οποία ζητάμε είναι και απαραίτητη προϋπόθεση, φίλες και φίλοι, για να μπορέσουμε να κάνουμε πράξη τις μεγάλες αλλαγές για τις οποίες ήδη σας έχουμε μιλήσει και για τις οποίες έχουμε ήδη αποσπάσει τη θετική ψήφο του ελληνικού λαού.Διότι αν κάτι δικαιώθηκε στην προηγούμενη προεκλογική περίοδο, είναι ο ορθός πολιτικός λόγος, η έμφαση στο πρόγραμμα και η απόρριψη του τοξικού πολιτικού λόγου, του διχαστικού πολιτικού λόγου, των ψεμάτων, της «μαύρης Ελλάδος».Η «μαύρη Ελλάδα» ηττήθηκε στις εκλογές της 21ης Μαΐου, κέρδισε η «φωτεινή Ελλάδα». Ηττήθηκε ο διχασμός, κέρδισε η ενότητα. Και κέρδισε τελικά το κόμμα το οποίο κατάφερε να πείσει την πλειοψηφία των πολιτών ότι έχει ένα πραγματικό σχέδιο για το πώς οραματιζόμαστε την Ελλάδα της επόμενης τετραετίας, δίνοντας έμφαση σε μία σταθερή και βιώσιμη ανάπτυξη, με περισσότερες θέσεις εργασίας, με περισσότερες επενδύσεις και με ένα ισχυρότερο κοινωνικό κράτος. ",political agenda,other,election spending,0.8,0.2,0.1,"[['greek people', 'group of people', '1.0'], ['greece', 'country', '1.0'], ['21 may', 'date', '1.0']]"
5,"I have been watching the public debate over the last few days with interest, and it seems that the opposition is exhausting its political discourse by competing over who will impose the most taxes. We have proven that we can reduce taxes for every Greek - we have reduced 50 taxes - without jeopardizing the fiscal stability of the country. When an economy is growing, when a business is doing better, and when it has more profits, it can pay a lower tax rate. Ultimately, the revenue for the state will be higher.","Παρακολουθώ με ενδιαφέρον τη δημόσια συζήτηση τις τελευταίες μέρες και φαίνεται ότι η αντιπολίτευση εξαντλεί τον πολιτικό της λόγο, διαγωνιζόμενη στο ποιος θα επιβάλλει τους περισσότερους φόρους.Εμείς αποδείξαμε ότι μπορούμε να μειώσουμε τους φόρους για κάθε Ελληνίδα και για κάθε Έλληνα -μειώσαμε 50 φόρους- χωρίς να θέσουμε σε κίνδυνο τη δημοσιονομική σταθερότητα της χώρας. Διότι όταν μια οικονομία αναπτύσσεται, όταν μια επιχείρηση πηγαίνει καλύτερα, όταν έχει περισσότερα κέρδη μπορεί μεν να πληρώνει χαμηλότερο φορολογικό συντελεστή, αλλά τελικά τα έσοδα για το κράτος θα είναι αυξημένα. ",political agenda,economy,tax cuts,0.8,0.1,0.0,"[['greek', 'country', '1.0'], ['opposition', 'group of people', '1.0'], ['greek', 'group of people', '1.0'], ['state', 'organization', '1.0']]"
6,"This is the great benefit of a development policy that is based on a logic of measured tax reduction in order to attract investment. This way, every businessman, from big businessmen who invest in our country, both foreign and local, to the small shop in the neighborhood, can know that there is stability and predictability. Ultimately, this is what the entrepreneur wants, from the small investment of upgrading their store to the large hotel investment that can provide hundreds of jobs.","Αυτό είναι το μεγάλο όφελος μιας αναπτυξιακής πολιτικής, η οποία στηρίζεται σε μια λογική λελογισμένης μείωσης φόρων για να μπορέσει να προσελκύσει επενδύσεις και να μπορεί ο κάθε επιχειρηματίας, από τους μεγάλους επιχειρηματίες οι οποίοι επενδύουν στη χώρα μας, ξένους και ντόπιους, μέχρι το μικρό μαγαζί της γειτονιάς, να γνωρίζει ότι υπάρχει σταθερότητα και προβλεψιμότητα. Αυτό τελικά θέλει ο επιχειρηματίας για να κάνει από τη μικρή επένδυση αναβάθμισης του καταστήματός του μέχρι τη μεγάλη ξενοδοχειακή επένδυση, η οποία μπορεί να δώσει εκατοντάδες θέσεις εργασίας.",political agenda,entrepreneurship,investments,0.9,0.0,0.0,"[['1. businessman', 'person', '0.9'], ['2. country', 'location', '0.9']]"
7,"This stable economic environment, in which the private economy grows, can only be ensured by the New Democracy government. That is why we are the only guarantors that this course of Greek economy recovery, which began in the midst of great difficulties four years ago, can continue. We are also the party that guarantees we can manage and deal with any major crises that may arise.","Αυτό το σταθερό οικονομικό περιβάλλον, μέσα στο οποίο η ιδιωτική οικονομία αναπτύσσεται, μόνο η κυβέρνηση της Νέας Δημοκρατίας μπορεί να το εξασφαλίσει. Γι’ αυτό εμείς είμαστε, οι μόνοι εγγυητές ότι αυτή η πορεία ανάταξης της ελληνικής οικονομίας η οποία ξεκίνησε εν μέσω μεγάλων δυσκολιών πριν από τέσσερα  χρόνια, μπορεί να συνεχιστεί. Εμείς είμαστε, επίσης, το κόμμα και η παράταξη που εγγυάται ότι, ναι, μπορούμε να διαχειριστούμε και να αντιμετωπίσουμε τις όποιες μεγάλες κρίσεις μας προκύψουν.",political agenda,economy,economic crisis,0.77,0.0,0.0,"[['new democracy government', 'organization', '0.8'], ['greek economy', 'organization', '0.4'], ['new democracy', 'political party', '0.6'], ['greek', 'country', '0.3'], ['four years ago', 'date', '0.3.']]"
8,"There have been more than a few crises over the past four years, but we have managed to exploit them to our advantage. Today, Greece is much stronger both economically and geopolitically than it was four years ago. The voice of Greece today counts and is heard, from Brussels to the United States Congress. This is not only a victory for the party, but also for the country, because we know how much ground we have lost and how much ground we have to make up. The consequences of this decade-long crisis have been painful and have plagued us.","Δεν ήταν λίγες οι κρίσεις που μας προέκυψαν την περασμένη τετραετία, καταφέραμε όμως και τις εκμεταλλευτήκαμε προς όφελός μας. Και σήμερα η Ελλάδα είναι πολύ πιο ισχυρή και οικονομικά και γεωπολιτικά από ό,τι ήταν πριν από τέσσερα χρόνια. Και η φωνή της Ελλάδος σήμερα μετράει και ακούγεται, από τις Βρυξέλλες μέχρι το Κογκρέσο των Ηνωμένων Πολιτειών.Αυτή δεν είναι μόνο μία κατάκτηση της παράταξης, είναι μία κατάκτηση της χώρας, επειδή ξέρουμε πόσο μεγάλο είναι το χαμένο έδαφος το οποίο πρέπει να καλύψουμε. Και πόσο επώδυνες ήταν οι συνέπειες αυτής της δεκαετούς κρίσης η οποία τόσο μας ταλαιπώρησε.",political agenda,economy,economic crisis,0.5,0.1,0.0,"[['greece', 'country', '1.0'], ['brussels', 'location', '1.0'], ['united states congress', 'group of people', '1.0'], ['party', 'organization', '1.0'], ['decade-long', 'date', '1.0']]"
9,"This is the big issue of the next elections, friends: whether we will continue to move forward on the path we have started to chart or whether we will go back to a period of prolonged instability with governments that cannot have the strong parliamentary legitimacy to make the big changes. I have never hidden, friends, that I do not seek to be a mere administrator of power. I want to make the big changes together and for our country to finally be able to change course. In this great effort that we started four years ago, I want you to be my fellow travelers. And for me, it is extremely encouraging that fellow citizens who had never voted for us before joined forces with New Democracy in these elections that have just passed us by.","Αυτό, λοιπόν, είναι το μεγάλο ζητούμενο των επόμενων εκλογών, φίλες και φίλοι. Αν θα εξακολουθούμε να προχωράμε μπροστά στο δρόμο τον οποίο ξεκινήσαμε να χαράσσουμε ή αν θα γυρίσουμε πίσω σε μια περίοδο παρατεταμένης αστάθειας, με κυβερνήσεις οι οποίες δεν θα μπορούν να έχουν την ισχυρή κοινοβουλευτική νομιμοποίηση να προχωρήσουν στις μεγάλες αλλαγές.Δεν έχω κρύψει ποτέ, φίλες και φίλοι, ότι δεν επιδιώκω να είμαι ένας απλός διαχειριστής της εξουσίας. Θέλω μαζί να κάνουμε τις μεγάλες αλλαγές και η χώρα μας επιτέλους να μπορέσει να αλλάξει πίστα.Σε αυτή τη μεγάλη προσπάθεια την οποία ξεκινήσαμε πριν από τέσσερα χρόνια, σας θέλω συνοδοιπόρους. Και για μένα είναι εξαιρετικά ενθαρρυντικό το γεγονός ότι συστρατεύτηκαν με τη Νέα Δημοκρατία σε αυτές τις εκλογές που μας πέρασαν συμπολίτες μας οι οποίοι δεν μας είχαν ψηφίσει ποτέ. ",political agenda,elections,other,0.3,0.2,0.0,"[['elections', 'date', '100%'], ['new democracy', 'organization', '100%'], ['country', 'location', '100%'], ['governments', 'group of people', '100%'], ['parliamentary', 'organization', '100%']]"
10,"Do you know how difficult it is, my friends, for a party in power to increase both the absolute number of votes it receives and its percentages? And yet, we have succeeded. Not many people would have bet that it could happen, but we will do better, and we must do better in the June 25 election for one key reason. The next Parliament may have six or maybe seven parties. You all know by now that this means the bar for self-reliance is rising. So, if we want to have a stable and strong majority that allows us to implement our program, yes, we can and must increase our electoral quotas even more.","Ξέρετε πόσο δύσκολο είναι, φίλες και φίλοι, ένα κόμμα το οποίο είναι στην εξουσία να αυξάνει τον απόλυτο αριθμό ψήφων που λαμβάνει και τα ποσοστά του; Κι όμως το πετύχαμε. Δεν ήταν πολλοί αυτοί οι οποίοι θα στοιχημάτιζαν ότι αυτό μπορεί να συμβεί.Όμως, θα πάμε καλύτερα και πρέπει να πάμε καλύτερα και στις εκλογές της 25ης Ιουνίου για έναν βασικό λόγο. Η επόμενη Βουλή ενδέχεται να έχει έξι μπορεί και επτά κόμματα. Όλοι γνωρίζετε πια ότι αυτό σημαίνει ότι ο πήχης της αυτοδυναμίας ανεβαίνει. Εάν θέλουμε, λοιπόν, να έχουμε μια σταθερή και ισχυρή πλειοψηφία που να μας επιτρέπει να εφαρμόσουμε το πρόγραμμά μας, ναι, μπορούμε και πρέπει να αυξήσουμε κι άλλο τα εκλογικά μας ποσοστά.",political agenda,elections,election spending,0.3,0.0,0.0,"[['june 25', 'date', 'high'], ['parliament', 'organization', 'high'], ['self-reliance', 'group of people', 'low'], ['my friends', 'group of people', 'low'], ['absolute number of votes', 'group of people', 'low'], ['percentage', 'group of people', 'low'], ['june 25 election', 'event', 'high'], ['six or maybe seven parties', 'group of people', 'low']]"
