id,text,text_el,is_criticism,topic-context,subtopic-context,sentiment,polarization-definition,populism-definition,ner-limited
1,"Thank you for the warm welcome. We proudly raise the flags of New Democracy and our country, and together on June 25th, we will achieve another great victory for a self-reliant Greece and a self-reliant New Democracy. Friends, I was unable to come to Drama during the previous election period, but your presence here today more than compensates me. I thank you for your love and trust. First and foremost, I thank you for the support you have given to our great party, New Democracy. We achieved a great victory in the last elections, and we will now complete it. Today, if the country had not faced the ""landmine"" of proportional representation, we would already have had a strong and stable government with a comfortable parliamentary majority. The Greek people sent a thunderous message in the elections of May 21st. This was an accurate message before the elections of May 21st. I am not Prime Minister now, but I will be Prime Minister again with your support and vote on June 26th.","Σας ευχαριστώ γι΄ αυτή την υποδοχή. Υψώνουμε ψηλά τις σημαίες της Νέας Δημοκρατίας, τις σημαίες της πατρίδας μας και πάμε μαζί την 25η Ιουνίου να πετύχουμε ακόμα μία μεγάλη νίκη, για την αυτοδύναμη Ελλάδα, την αυτοδύναμη Νέα Δημοκρατία.Φίλες και φίλοι, δεν κατάφερα να έρθω στη Δράμα στα πλαίσια της προηγούμενης προεκλογικής περιόδου, όμως η σημερινή σας παρουσία με αποζημιώνει και με το παραπάνω. Σας ευχαριστώ για την αγάπη σας και την ανταποδίδω και σας ευχαριστώ για την εμπιστοσύνη σας.Σας ευχαριστώ πρώτα και πάνω απ΄ όλα για τη στήριξη την οποία δώσατε στη μεγάλη μας παράταξη, στη Νέα Δημοκρατία. Πετύχαμε στις προηγούμενες εκλογές μία μεγάλη νίκη και πάμε τώρα να την ολοκληρώσουμε.Διότι σήμερα, εάν η χώρα δεν είχε να αντιμετωπίσει τη «νάρκη» της απλής αναλογικής, θα είχαμε ήδη ισχυρή και σταθερή κυβέρνηση με άνετη κοινοβουλευτική πλειοψηφία. Διότι ο ελληνικός λαός στις εκλογές της 21ης Μαΐου έστειλε ένα βροντερό μήνυμα.Αυτό το σύνθημα ήταν ακριβές πριν από τις εκλογές της 21ης Μαΐου, διότι τώρα δεν είμαι Πρωθυπουργός, θα ξαναείμαι όμως Πρωθυπουργός με τη δική σας στήριξη και με τη δική σας ψήφο την 26η Ιουνίου.",political agenda,other,other,0.8,0.1,0.0,"[['new democracy', 'organization', '1.0'], ['greece', 'country', '1.0'], ['june 25th', 'date', '1.0'], ['drama', 'location', '1.0'], ['new democracy', 'organization', '1.0'], ['may 21st', 'date', '1.0'], ['prime minister', 'political party', '1.0'], ['june 26th', 'date', '1.0']]"
2,"In the last elections, my friends, the citizens rewarded the great effort that our party has made for four years. As I was coming here to speak to you, a friend told me a phrase, three words that I think say it all about what we have achieved in these four years: 'we have settled Greece'. This was a great collective effort that extended to many policy areas, including the economy, social policy, foreign policy, defence, and security.","Γιατί πράγματι στις προηγούμενες εκλογές, φίλες και φίλοι, οι πολίτες επιβράβευσαν αυτή τη μεγάλη προσπάθεια την οποία έκανε η παράταξή μας εδώ και τέσσερα χρόνια. Μου είπε ένας φίλος, καθώς ερχόμουν εδώ να σας μιλήσω, μία φράση, τρεις λέξεις που νομίζω ότι τα λένε όλα γι΄ αυτό το οποίο πετύχαμε αυτή την τετραετία: «νοικοκυρέψαμε την Ελλάδα».Κι αυτό ήταν μια μεγάλη συλλογική προσπάθεια, η οποία επεκτάθηκε σε πολλούς τομείς πολιτικής, από την οικονομία, την κοινωνική πολιτική και βέβαια την εξωτερική πολιτική, την άμυνα, την ασφάλεια.",political agenda,elections,austerity,0.8,0.0,0.0,"[['last elections', 'date', '100%'], ['citizens', 'group of people', '100%'], ['party', 'organization', '100%'], ['greece', 'location', '100%'], ['economy', 'organization', '50%'], ['social policy', 'organization', '50%'], ['foreign policy', 'organization', '50%'], ['defence', 'organization', '50%'], ['security', 'organization', '50%']]"
3,"It was New Democracy that allowed the country to stand up again. We were the ones who put our commitment into practice and secured our borders. Greece is no longer a closed vineyard. Greece has fortified its borders at sea and on land, strengthened its Armed Forces, and its voice, the voice of our country, is now loud from Brussels to the US Congress. Today, Greece has every right to look to the future with optimism.","Η Νέα Δημοκρατία ήταν αυτή η οποία επέτρεψε στη χώρα και πάλι να ορθώσει το ανάστημά της. Να σταματήσει να είναι χώρα - αποπαίδι της Ευρωπαϊκής Ένωσης.Εμείς ήμασταν αυτοί που κάναμε πράξη τη δέσμευσή μας και ασφαλίσαμε τα σύνορά μας. Η Ελλάδα έπαψε να είναι ξέφραγο αμπέλι. Η Ελλάδα θωράκισε τα σύνορά της στη θάλασσα, στην ξηρά, ενίσχυσε τις Ένοπλες Δυνάμεις της και η φωνή της, η φωνή της πατρίδας μας ακούγεται πια δυνατή, από τις Βρυξέλλες μέχρι το Αμερικανικό Κογκρέσο. Η Ελλάδα, σήμερα, έχει κάθε δικαίωμα να ατενίζει το μέλλον με αισιοδοξία.",political agenda,national security,borders,0.8,0.1,0.0,"[['new democracy', 'political party', '0.93'], ['greece', 'country', '1.0'], ['brussels', 'location', '0.97'], ['us congress', 'organization', '0.95']]"
4,"But we are all here because we know very well that our mission is not yet complete. We have to validate the message and the verdict of the Greek people at the ballot box on June 25th, so that the country will have a stable government with a comfortable majority the next day. Here in Drama, we have done very well, but we can do even better. And this is what I would like to ask of you: to join forces, to seek out those of our fellow citizens here in Drama who may have turned their eyes and ultimately their votes to other parties, possibly some smaller parties that are positioned to the right of New Democracy, and to say a very simple word to them: patriotism in words is easy, but patriotism in responsibility and action is measured in results.","Όμως, είμαστε όλοι εδώ διότι γνωρίζουμε πολύ καλά ότι δεν έχει ακόμα  ολοκληρωθεί η αποστολή μας. Πρέπει στην κάλπη της 25ης Ιουνίου να επικυρώσουμε το μήνυμα και την ετυμηγορία του ελληνικού λαού, έτσι ώστε την επόμενη μέρα η χώρα να έχει μια σταθερή κυβέρνηση με άνετη πλειοψηφία.Εδώ, στη Δράμα, τα πήγαμε πολύ καλά αλλά μπορούμε να τα πάμε ακόμα καλύτερα. Και αυτό θέλω να σας ζητήσω: να ενώσουμε τις δυνάμεις μας, να αναζητήσουμε και εδώ στη Δράμα αυτούς τους συμπολίτες μας οι οποίοι μπορεί να έστρεψαν το βλέμμα τους και τελικά την ψήφο τους σε άλλα κόμματα, ενδεχομένως κάποια μικρότερα κόμματα τα οποία τοποθετούνται εκ δεξιών της Νέας Δημοκρατίας, και να τους πούμε μια πολύ απλή κουβέντα: ο πατριωτισμός στα λόγια είναι εύκολος, ο πατριωτισμός της ευθύνης και της πράξης μετριέται, όμως, με αποτελέσματα.",political agenda,other,other,0.5,0.0,0.0,"[['greek people', 'group of people', '1.0'], ['june 25th', 'date', '1.0'], ['drama', 'location', '1.0'], ['new democracy', 'political party', '1.0']]"
5,"And, of course, for those who seek to ""imprison"" the Orthodox faith within the confines of some small parties, we answer that Orthodoxy and our faith are much greater and have always been a force for unity, not for division of the Greek people. And let us leave the Church out of politics.","Και βέβαια, σε όσους επιδιώκουν να «φυλακίσουν» την ορθόδοξη πίστη στα στεγανά κάποιων μικρών κομμάτων, τους απαντάμε ότι η Ορθοδοξία και η πίστη μας είναι πολύ μεγαλύτερη και ήταν πάντα δύναμη ενότητας και όχι διχασμού του ελληνικού λαού. Και ας αφήσουμε την Εκκλησία μακριά από τα της πολιτικής.",criticism,other,other,0.0,0.2,0.0,"[['orthodox faith', 'organization', '0.60'], ['greek people', 'group of people', '0.60'], ['church', 'organization', '0.60'], ['politics', 'organization', '0.60']]"
6,"Friends, here in Drama, it is very important to send this message: the constant effort for a better Greece, a more advanced Greece, with better wages and a stronger economy, must continue today. That is why the ballot box on June 25th is so crucial. You know very well that if more parties enter the Parliament, the bar of self-reliance is raised. What the country needs today is a stable and strong government with a comfortable governing majority so that we can implement our programme of bold changes for the next four years.","Φίλες και φίλοι, εδώ από τη Δράμα είναι πολύ σημαντικό να στείλουμε αυτό το μήνυμα, ότι αυτή η διαρκής προσπάθεια για μια Ελλάδα καλύτερη, πιο προκομμένη, με καλύτερους μισθούς, με ισχυρότερη οικονομία πρέπει σήμερα να συνεχιστεί.Γι’ αυτό και η κάλπη της 25ης Ιουνίου είναι τόσο κρίσιμη. Ξέρετε πολύ καλά και εσείς ότι αν μπουν περισσότερα κόμματα στη Βουλή, ο πήχης της αυτοδυναμίας ανεβαίνει. Κι αυτό το οποίο χρειάζεται σήμερα η χώρα είναι μια σταθερή και ισχυρή κυβέρνηση με άνετη κυβερνητική πλειοψηφία για να μπορέσουμε να υλοποιήσουμε το πρόγραμμα των τολμηρών αλλαγών για την επόμενη τετραετία.",political agenda,elections,election spending,0.75,0.1,0.2,"[['drama', 'location', '1.0'], ['greece', 'country', '1.0'], ['june 25th', 'date', '1.0']]"
7,"Give me the strength. Trust me to make this plan for a better Greece a reality. And trust us, because we are the ones who have been showing the way for four years now. Not only in how we have dealt with the multiple crises that have befallen us, but also in how we have revived the economy and put it on a path of sustainable growth.","Δώστε μου τη δύναμη, εμπιστευθείτε με να κάνουμε πράξη αυτό το σχέδιο για μια καλύτερη Ελλάδα. Και εμπιστευθείτε μας, διότι εμείς είμαστε αυτοί που στο κάτω-κάτω τέσσερα χρόνια έχουμε δώσει δείγματα γραφής. Όχι μόνο για το πώς αντιμετωπίσαμε τις πολλαπλές κρίσεις οι οποίες μας έτυχαν, αλλά και για το πώς ανατάξαμε την οικονομία και τη βάλαμε σε μια τροχιά βιώσιμης ανάπτυξης.",political agenda,economy,economic crisis,0.7,0.0,0.0,"[['greece', 'country', '1.0'], ['four years', 'date', '0.75'], ['economy', 'organization', '0.5']]"
8,"There has been a big debate lately about taxes. The opposition, both major and minor, is slowly revealing their hidden agenda of how they plan to raise taxes on the middle class again. We counter this approach with what we have already achieved over the past four years. In 2019, I came back and talked to you and said, ""One commitment to keep, we'll make it happen."" And we did. We reduced taxes for all Greeks.","Γίνεται τελευταία, ξέρετε, μια μεγάλη συζήτηση για τους φόρους. Η αντιπολίτευση, μείζων και ελάσσων, αποκαλύπτει σιγά-σιγά την κρυφή της ατζέντα για το πώς σκέφτεται να ξαναυξήσει τους φόρους για τη μεσαία τάξη. Εμείς σε αυτή την προσέγγιση αντιπαραθέτουμε αυτά τα οποία ήδη πετύχαμε μια τετραετία. Το 2019 είχα έρθει πάλι και σας είχα μιλήσει και σας είχα πει: μία δέσμευση κρατήστε, θα την κάνουμε πράξη. Και αυτή είναι, θα μειώσουμε τους φόρους για όλες τις Ελληνίδες και για όλους τους Έλληνες και το κάναμε πράξη.",political agenda,economy,tax cuts,0.6,0.0,0.0,"[['taxes', 'organization', '0.5'], ['opposition', 'group of people', '1.0'], ['middle class', 'group of people', '0.7'], ['2019', 'date', '1.0'], ['greeks', 'group of people', '0.8']]"
9,"ENFIA has decreased. The import tax rate has decreased. Agricultural schemes that cooperate are taxed at 10%. The tax on dividends has decreased to 5%. The solidarity levy has been abolished. These are all tangible tax reductions that this government has implemented. This government also understood that in order to discuss how to distribute surplus growth, we must first have growth. First, the pie must grow, and then we can discuss how to share it.","Ο ΕΝΦΙΑ είναι χαμηλότερος. Ο εισαγωγικός φορολογικός συντελεστής είναι χαμηλότερος. Τα αγροτικά σχήματα τα οποία συνεργάζονται, φορολογούνται με 10%. Η φορολογία στα μερίσματα έπεσε στο 5%. Η εισφορά αλληλεγγύης καταργήθηκε. Όλες αυτές είναι απτές μειώσεις φόρων, τις οποίες αυτή η κυβέρνηση υλοποίησε. Διότι αυτή η κυβέρνηση κατάλαβε και κάτι ακόμα. Ότι για να μπορέσουμε να συζητήσουμε πώς θα μοιράσουμε το πλεόνασμα της ανάπτυξης, πρέπει πρώτα από όλα να έχουμε ανάπτυξη. Πρέπει πρώτα η πίτα να μεγαλώνει και μετά να συζητήσουμε πώς θα τη μοιράσουμε.",political agenda,economy,tax cuts,,0.0,0.0,"[['enfia', 'organization', '0.75'], ['government', 'group of people', '0.75'], ['import tax', 'organization', '0.5'], ['agricultural schemes', 'group of people', '0.5'], ['solidarity levy', 'organization', '0.5'], ['dividends', 'organization', '0.5']]"
10,"So, friends, we have grown the national economy's pie, and we continue to do so through investment, extroversion, and business initiatives that create good jobs. In particular, Drama has several high-tech companies that are creating jobs and investing in the area. I recently reviewed the proposals submitted for the development law and the new investment projects in Drama, and I wondered if these entrepreneurs would be as willing to invest in the future as those who will create the jobs of the future. Unfortunately, the answer is no. This government has successfully created an investment boom, and only through investment can we achieve better jobs and wages.","Εμείς, λοιπόν, φίλες και φίλοι, την πίτα της εθνικής οικονομίας την μεγαλώσαμε και την μεγαλώνουμε. Και την μεγαλώνουμε με επενδύσεις, με εξωστρέφεια, με επιχειρηματικές πρωτοβουλίες οι οποίες φέρνουν καλές θέσεις απασχόλησης.Ξέρετε ότι ειδικά στην Δράμα, έχετε ορισμένες εταιρίες υψηλής τεχνολογίας, οι οποίες βρίσκονται εδώ, δημιουργούν θέσεις εργασίας εδώ και επενδύουν εδώ.Έβλεπα μόνο τις προτάσεις οι οποίες έχουν κατατεθεί στον αναπτυξιακό νόμο, τα καινούργια επενδυτικά σχέδια που δρομολογούνται στη Δράμα, και αναρωτιόμουν: θα ήταν αυτοί οι επιχειρηματίες που θα δημιουργήσουν τελικά τις θέσεις εργασίας του μέλλοντος εξίσου διατεθειμένοι να επενδύσουν εάν ήταν μια διαφορετική κυβέρνηση στα πράγματα της χώρας; Η απάντηση είναι πως όχι. Αυτή η κυβέρνηση κατάφερε και δημιούργησε αυτή την έκρηξη επενδύσεων και μόνο μέσα από τις επενδύσεις μπορούμε τελικά να πετύχουμε καλύτερες θέσεις εργασίας και καλύτερους μισθούς.",political agenda,other,other,0.4,0.0,0.0,"[['drama', 'location', '0.8']]"
