id,text,text_el,is_criticism,topic-context,subtopic-context,sentiment,polarization-definition,populism-definition,ner-limited
1,"Thank you to our amazing UNNEDites who have been present throughout this past election season and have set their own special tone at every gathering. Mr. Mayor, dear candidates on the West Attica ballot paper, and friends, I am here today in Aspropyrgos, West Attica, first and foremost to say a big thank you for the unique percentage that we achieved here in West Attica, not only in Aspropyrgos. We exceeded 40%, and for me, this percentage is a reward for the great effort that we made in the past four years to keep society on its feet, put the economy on a growth path, and at the same time, keep the country safe in the midst of unprecedented difficulties.","Σας ευχαριστώ και ευχαριστώ τους καταπληκτικούς ΟΝΝΕΔίτες μας, οι οποίοι ήταν παρόντες και παρούσες καθ΄ όλη τη διάρκεια και της προηγούμενης προεκλογικής περιόδου και δίνουν τον δικό τους ξεχωριστό τόνο σε κάθε συγκέντρωσή μας.Κύριε Δήμαρχε, αγαπητοί υποψήφιοι και υποψήφιες στο ψηφοδέλτιο της Δυτικής Αττικής, φίλες και φίλοι, είμαι σήμερα, εδώ, στον Ασπρόπυργο, στη Δυτική Αττική, πρώτα και πάνω απ΄ όλα για να σας πω ένα μεγάλο ευχαριστώ για το μοναδικό ποσοστό το οποίο πετύχαμε εδώ στη Δυτική Αττική, όχι μόνο στον Ασπρόπυργο.Ξεπεράσαμε το 40% και για μένα αυτό το ποσοστό είναι μία επιβράβευση της μεγάλης προσπάθειας την οποία κάναμε την προηγούμενη τετραετία να κρατήσουμε την κοινωνία όρθια. Να βάλουμε την οικονομία σε πορεία ανάπτυξης και ταυτόχρονα να κρατήσουμε τη χώρα ασφαλή εν μέσω πρωτοφανών δυσκολιών.",political agenda,elections,other,0.95,0,0,"[['unnedites', 'group of people', '1.0'], ['mr. mayor', 'person', '1.0'], ['west attica', 'location', '1.0'], ['aspropyrgos', 'location', '1.0'], ['west attica', 'location', '1.0'], ['40%', 'date', '1.0']]"
2,"The Mayor mentioned and remembered the great difficulties of the pandemic, but it was not only that. There was also an energy crisis and a neighbor who was aggressive for a whole four years. We overcame all these difficulties and, at the same time, we were consistent in the implementation of our electoral commitments. The Greek people rewarded us at the ballot box on May 21, increasing the share of the New Democracy vote and the absolute number of votes we received. But, friends, the work is not yet complete. The Mayor remembered that the municipalities were also captive to the system of proportional representation until we came along and enabled them to govern themselves effectively. Here we are, in the strange situation of having to claim a second electoral victory when we would have already had an independent government if the enhanced proportional representation electoral system had been in place in the previous election.","Αναφέρθηκε ο Δήμαρχος και θυμήθηκε τις μεγάλες δυσκολίες της πανδημίας, δεν ήταν όμως μόνο αυτό, μία ενεργειακή κρίση, ένας γείτονας ο οποίος ήταν επιθετικός για μία ολόκληρη τετραετία.Ξεπεράσαμε όλες αυτές τις δυσκολίες και ταυτόχρονα ήμασταν συνεπείς στην υλοποίηση των προεκλογικών μας δεσμεύσεων. Ο ελληνικός λαός μας επιβράβευσε στην κάλπη της 21ης Μαΐου, αυξάνοντας το ποσοστό της Νέας Δημοκρατίας και τον απόλυτο αριθμό ψήφων που λάβαμε.Όμως, φίλες και φίλοι, η δουλειά δεν έχει ολοκληρωθεί ακόμα. Ο Δήμαρχος θυμήθηκε ότι και οι Δήμοι ήταν δέσμιοι του συστήματος της απλής αναλογικής μέχρι που ήρθαμε εμείς και δώσαμε τη δυνατότητα στους Δήμους να μπορέσουν να κυβερνηθούν αποτελεσματικά.Εδώ είμαστε, στην παράξενη κατάσταση να πρέπει να διεκδικούμε μία δεύτερη εκλογική νίκη, όταν θα είχαμε ήδη αυτοδύναμη κυβέρνηση, αν ίσχυε στις προηγούμενες εκλογές το εκλογικό σύστημα της ενισχυμένης αναλογικής.",political agenda,elections,other,0,0,0,"[['mayor', 'person', '0.9'], ['pandemic', 'date', '0.5'], ['energy crisis', 'organization', '0.8'], ['neighbor', 'group of people', '0.6'], ['new democracy', 'political party', '0.7'], ['greek people', 'group of people', '0.7'], ['may 21', 'date', '0.8'], ['municipalities', 'organization', '0.6'], ['proportional representation electoral system', 'organization', '0.8'], ['previous election', 'date', '0.5']]"
3,"In other words, we are calling on citizens to reaffirm the choice they made in the previous election and to trust us again because nothing is over. The ballot box is empty, it will be empty on the morning of June 25th, and it is our duty to refill it with many New Democracy ballots. In this effort, I want you all to help us. We have set the bar high, and together we are setting it even higher for even better results in Aspropyrgos, for even better results in West Attica, not just for the 3rd but for the 4th seat, so that we can once again pleasantly surprise and so that we can embrace this great trust that the citizens are showing us. So that we can continue from June 26th with even greater appetite, with even greater determination, the important work that we have already launched.","Καλούμαστε δηλαδή και καλούνται οι πολίτες να επανεπιβεβαιώσουν την επιλογή, την οποία έκαναν στην προηγούμενη κάλπη και να μας εμπιστευτούν και πάλι, διότι τίποτα δεν έχει τελειώσει. Η κάλπη είναι άδεια, θα είναι άδεια το πρωί της 25ης Ιουνίου και χρέος μας είναι να ξαναγεμίσει με πολλά ψηφοδέλτια της Νέας Δημοκρατίας και σε αυτή την προσπάθεια, σας θέλω όλες και όλους αρωγούς.Βάλαμε τον πήχη ψηλά και τον βάζουμε μαζί ακόμα ψηλότερα για ακόμα καλύτερα ποσοστά στον Ασπρόπυργο, για ακόμα καλύτερα ποσοστά στη Δυτική Αττική, όχι απλά για την 3η αλλά για την 4η έδρα.Να μπορέσουμε για ακόμα μια φορά να εκπλήξουμε ευχάριστα και να μπορέσουμε να αγκαλιάσουμε αυτή τη μεγάλη εμπιστοσύνη την οποία μας δείχνουν οι πολίτες. Για να συνεχίσουμε από την 26η Ιουνίου με ακόμα μεγαλύτερη όρεξη, με ακόμα μεγαλύτερη διάθεση, το σημαντικό έργο το οποίο έχουμε ήδη δρομολογήσει.",political agenda,elections,election spending,0.5,0.1,0.2,"[['june 25th', 'date', 'high', 'new democracy', 'organization', 'high', 'aspropyrgos', 'location', 'high', 'west attica', 'location', 'high', 'june 26th', 'date', 'high']]"
4,"The Mayor was mentioned, and I personally want to congratulate him for his long journey in local government. It is a luxury in politics to be able to leave on your own terms. But we had excellent cooperation with the Mayor. We have shown that we can support local government with financial tools that local government has never seen since the post-revolutionary period, so that we can make your everyday life better. This, of course, is also reflected in the overall political choices that we have made over the past four years and that we want to continue.","Αναφέρθηκε ο Δήμαρχος, τον οποίο θέλω και προσωπικά να συγχαρώ για μια μεγάλη διαδρομή στην τοπική Αυτοδιοίκηση, είναι πολυτέλεια, ξέρετε, στην πολιτική να μπορείς να φεύγεις με τους δικούς σου όρους.Είχαμε, όμως, μια άριστη συνεργασία με τον Δήμαρχο. Αποδείξαμε ότι μπορούμε να στηρίξουμε την τοπική αυτοδιοίκηση με χρηματοδοτικά εργαλεία τα οποία δεν είχε δει ποτέ η Αυτοδιοίκηση από τη μεταπολίτευση και μετά, για να μπορέσουμε ακριβώς να κάνουμε τη δική σας καθημερινότητα καλύτερη.Αυτό, βέβαια, αποτυπώνεται και στις συνολικές πολιτικές επιλογές τις οποίες κάναμε την προηγούμενη τετραετία και τις οποίες θέλουμε να συνεχίσουμε.",political agenda,other,other,0.8,0,0,"[['mayor', 'person', '0.9'], ['local government', 'organization', '0.5'], ['post-revolutionary period', 'date', '0.5'], ['politics', 'organization', '0.5'], ['political choices', 'organization', '0.5'], ['four years', 'date', '0.5']]"
5,"Our first concern has been and remains to have more and better jobs for all, with better wages. I believe that one of the reasons why our rate here in West Attica and in West Athens was so pleasantly surprising is precisely because people recognized this growth-oriented policy of ours that emphasized not just protection, but the creation of new jobs. The citizens of West Attica gave us credit for the fact that we saved the Elefsina and Skaramagas shipyards and not just protected jobs, but created the prospects for many more. I visited the Elefsina shipyards a few weeks ago. At that time, there were five ships, if I am not mistaken, inside. New ones are being added all the time, and it is a great joy to see the happiness on the faces of the workers who were anxious a year ago about whether they would be able to keep their jobs. Now they come to work in the morning full of optimism and know that they will have a job. They will have a job, and new jobs will be added to the shipyards.","Το πρώτο μας μέλημα ήταν και παραμένει οι πολλές και καλύτερες δουλειές για όλους, με καλύτερους μισθούς. Πιστεύω ότι ένας από τους λόγους που το ποσοστό μας εδώ στη Δυτική Αττική αλλά και στη Δυτική Αθήνα εξέπληξε τόσο ευχάριστα, είναι ακριβώς επειδή οι πολίτες αναγνώρισαν αυτή την πολιτική μας με αναπτυξιακό πρόσημο που έδωσε έμφαση, όχι απλά στην προστασία, αλλά στη δημιουργία νέων θέσεων εργασίας.Οι πολίτες της Δυτικής Αττικής μας πίστωσαν το γεγονός ότι σώσαμε τα Ναυπηγεία της Ελευσίνας και του Σκαραμαγκά και όχι απλά προστατεύσαμε θέσεις εργασίας, αλλά δημιουργούμε τις προοπτικές για πολλές ακόμα.Είχα επισκεφτεί τα Ναυπηγεία της Ελευσίνας πριν από λίγες εβδομάδες. Τότε ήταν πέντε πλοία, αν δεν κάνω λάθος, μέσα. Προστίθενται συνέχεια και καινούργια και είναι μεγάλη η χαρά την οποία βλέπω στα πρόσωπα των εργαζόμενων οι οποίοι αγωνιούσαν πριν από ένα χρόνο αν θα μπορέσουν να κρατήσουν τη δουλειά τους.Τώρα γεμάτοι αισιοδοξία έρχονται το πρωί στη δουλειά και ξέρουν ότι θα έχουν δουλειά. Θα έχουν δουλειά και θα προστεθούν και νέες θέσεις εργασίας στα ναυπηγεία.",political agenda,employment,other,0.8,0,0,"[['west attica', 'location', '1.0'], ['west athens', 'location', '1.0'], ['elefsina', 'location', '1.0'], ['skaramagas', 'location', '1.0']]"
6,"The same is happening in Skaramanga, and the same will happen with a very important investment for your region, which our government has unblocked. I am referring to the freight center, which, as you know, was stalled due to a problematic contract. With a great deal of pressure and negotiation with the European Union, we finally managed to unblock it. It is an investment that will turn ""Thriasio"" into the largest freight center in the Balkans and will create up to 3,000 new jobs. These are new jobs, especially for young people in the region, a region which has a strong manufacturing industry. We are also moving forward with the organization of the informal industrial area so that we can attract more productive investment to the region.","Το ίδιο γίνεται και στον Σκαραμαγκά, το ίδιο θα γίνει σε μια σημαντικότατη επένδυση για την περιοχή σας, την οποία πάλι η δική μας κυβέρνηση ξεμπλόκαρε. Αναφέρομαι στο Εμπορευματικό Κέντρο, το οποίο, όπως γνωρίζετε, είχε βαλτώσει με μια προβληματική σύμβαση. Με πολύ μεγάλη πίεση και διαπραγμάτευση με την Ευρωπαϊκή Ένωση καταφέραμε επιτέλους να το ξεμπλοκάρουμε.Είναι μια επένδυση που θα μετατρέψει εδώ το «Θριάσιο» στο μεγαλύτερο Εμπορευματικό Κέντρο των Βαλκανίων και θα δημιουργήσει έως και 3.000 νέες θέσεις εργασίας. Αυτές είναι νέες δουλειές, κυρίως για τα νέα παιδιά της περιοχής. Μια περιοχή η οποία έχει έντονη μεταποίηση.Προχωράμε και στην οργάνωση της άτυπης βιομηχανικής περιοχής για να μπορούμε να προσελκύσουμε περισσότερες παραγωγικές επενδύσεις στην περιοχή.",political agenda,employment,other,0.9,0,0,"[['skaramanga', 'location', '0.9'], ['european union', 'organization', '0.9'], ['thriasio', 'location', '0.8'], ['balkans', 'location', '0.7'], ['informal industrial area', 'organization', '0.6.']]"
7,"But we are not forgetting the major infrastructure and transport projects that your region needs. An emblematic project, in which I believe very much, is the Western Attica Suburban Railway, a flagship project for how we perceive the expansion of fixed railways. It will enable all citizens of West Attica to communicate with Athens in an easy, fast, and safe way.","Αλλά δεν ξεχνάμε και τα μεγάλα έργα υποδομής και μεταφορών που χρειάζεται η περιοχή σας. Ένα έργο εμβληματικό, στο οποίο πιστεύω πάρα πολύ, είναι ο Προαστιακός Σιδηρόδρομος της Δυτικής Αττικής.Ένα έργο - σημαία για το πώς αντιλαμβανόμαστε την επέκταση των μέσων σταθερής τροχιάς. Θα δώσουν τη δυνατότητα σε όλους τους πολίτες της Δυτικής Αττικής να επικοινωνούν με την Αθήνα, με εύκολο, γρήγορο και ασφαλή τρόπο.",political agenda,infrastructure,railway,0.8,0,0,"[['western attica suburban railway', 'organization', '1.0'], ['west attica', 'location', '0.9'], ['athens', 'location', '0.9']]"
8,"We do not forget that our obligation, my dear Mayor and friends, is also to continuously support social infrastructure, hospitals, health centers. For me personally, strengthening the National Health System is a central political priority for the next four years. The country will finally have a modern National Health System. We will hire 10,000 doctors and nurses, modernize emergency departments and health centers, invest in prevention and the Personal Doctor. We will also modernize and drastically intervene in ambulance services to prevent tragic incidents like the ones that have unfortunately monopolized media attention in recent days.","Δεν ξεχνάμε ότι η υποχρέωσή μας, αγαπητέ μου Δήμαρχε, φίλες και φίλοι, είναι και η διαρκής στήριξη των κοινωνικών υποδομών, των νοσοκομείων,Θριασίου», των κέντρων υγείας.Για εμένα προσωπικά, η ενίσχυση του Εθνικού Συστήματος Υγείας αποτελεί κεντρική πολιτική προτεραιότητα για τη δεύτερη τετραετία.Θα αποκτήσει η χώρα επιτέλους ένα σύγχρονο Εθνικό Σύστημα Υγείας. Θα προσλάβουμε 10.000 γιατρούς και νοσηλευτές. Θα εκσυγχρονίσουμε τμήματα επειγόντων περιστατικών, κέντρα υγείας. Θα επενδύσουμε στην πρόληψη, στον Προσωπικό Γιατρό. Ναι, θα εκσυγχρονίσουμε και θα παρέμβουμε δραστικά και στις υπηρεσίες του ΕΚΑΒ ώστε να μην έχουμε τραγικά περιστατικά όπως, δυστυχώς, αυτά τα οποία μονοπώλησαν και δικαιολογημένα το ενδιαφέρον των Μέσων Μαζικής Ενημέρωσης τις τελευταίες μέρες. ",political agenda,health,other,0.9,0.1,0,"[['we', '', ''], ['mayor', 'person', '0.9'], ['friends', 'group of people', '0.5'], ['national health system', 'organization', '0.9'], ['10', '000 doctors and nurses', 'group of people', '0.7'], ['emergency departments', 'organization', '0.6'], ['health centers', 'organization', '0.6'], ['personal doctor', 'organization', '0.5'], ['ambulance services', 'organization', '0.6'], ['media', 'organization', '0.5'], ['recent days', 'date', '0.5']]"
9,"We know the weaknesses. We have never hidden the problems. Nor did we say that the country was transformed in four years and we solved all of our problems. But we also know that our citizens have rewarded us because we worked hard, because we put the economy on a growth path, and because, yes, Greece in 2023 is a much better country than it was in 2019. I invite you to continue this growth path and not to disturb it. This is, after all, the real issue of the 25 June ballot.","Ξέρουμε τις αδυναμίες. Δεν κρύψαμε ποτέ τα προβλήματα. Ούτε είπαμε ότι η χώρα μεταμορφώθηκε μέσα σε μια τετραετία και λύσαμε όλα μας τα προβλήματα. Αλλά ξέρουμε, επίσης, ότι οι πολίτες μάς επιβράβευσαν, επειδή δουλέψαμε σκληρά, επειδή βάλαμε την οικονομία σε τροχιά ανάπτυξης και επειδή, ναι, η Ελλάδα το 2023 είναι μια πολύ καλύτερη χώρα από αυτήν που ήταν το 2019.Αυτή την πορεία ανάπτυξης σας καλώ να τη συνεχίσουμε, να μην τη διαταράξουμε. Αυτό τελικά είναι και το πραγματικό ζητούμενο της κάλπης της 25ης Ιουνίου.",political agenda,elections,election spending,0.7,0,0,"[['greece', 'location', '1.0'], ['june 25', 'date', '1.0']]"
10,"Because I believe that almost everyone knows who the first party will be, and that there is currently only one substantive proposal for governing the country. Our opponents are fighting over who will lead the center-left and who will be the opposition. That seems to be all they care about. They are abdicating their responsibility to govern the country. They say to us, ""This is not our concern. You will be self-reliant anyway. Now let's go and see who will be first in the center-left block. Who will occupy the high penthouse?"" I tell them that in elections, people vote for the government, not the opposition. They are voting for who will manage the country's destiny for the next four years, and that will ultimately be the choice that citizens make; a positive choice to reward a party that has proven it can combine a dynamic development policy with strong care and social concern for the weakest.","Διότι νομίζω ότι λίγο - πολύ, όλοι γνωρίζουν ποιος θα είναι πρώτο κόμμα και όλοι γνωρίζουν ότι σήμερα στη χώρα υπάρχει μία μόνο ουσιαστική πρόταση διακυβέρνησης.Οι αντίπαλοί μας διαγκωνίζονται για το ποιος θα έχει τα πρωτεία στην κεντροαριστερά, ποιος θα είναι αξιωματική αντιπολίτευση. Είναι το μόνο το οποίο φαίνεται να τους ενδιαφέρει. Αποποιούνται της ευθύνης της διακυβέρνησης της χώρας. Μας λένε, «εμάς δεν μας αφορά αυτό. Εσείς θα είστε αυτοδύναμοι ούτως ή αλλιώς. Πάμε να δούμε τώρα ποιος θα είναι πρώτος στην κεντροαριστερή πολυκατοικία. Ποιος θα καταλάβει το υψηλό ρετιρέ».Εγώ τους απαντώ ότι στις εκλογές οι πολίτες ψηφίζουν για κυβέρνηση και όχι για αντιπολίτευση. Ψηφίζουν για το ποιος θα διαχειριστεί τις τύχες του τόπου την επόμενη τετραετία και αυτή τελικά θα είναι η επιλογή την οποία θα κάνουν οι πολίτες.Μια θετική επιλογή επιβράβευσης ενός κόμματος που έχει αποδείξει ότι μπορεί να συνδυάζει μια δυναμική αναπτυξιακή πολιτική, με έντονη φροντίδα και κοινωνική μέριμνα για τους πιο αδύναμους.",criticism,elections,election spending,0.5,0.1,0.2,"[['first party', 'group of people', '1.0'], ['center-left', 'political party', '0.5'], ['opposition', 'political party', '0.5'], ['government', 'organization', '1.0'], ['citizens', 'group of people', '1.0']]"
