id,text,text_el,is_criticism,topic-context,subtopic-context,sentiment,polarization-definition,populism-definition,ner-limited
1,"Thank you very much for this warm welcome and, first and foremost, for your support of our great party, New Democracy. You have given us excellent percentages, allowing us to reach 40% nationally, increase our percentages from what we achieved in 2019, and look to the future with even more optimism. Now that we have set the bar high, we know that we must work even harder to win the ballot on June 25th with an even higher percentage, securing self-reliance, which is a prerequisite for a stable and strong government to continue the important work we have done over the past four years, my friends.","Σας ευχαριστώ πολύ γι΄ αυτή την ωραία υποδοχή και σας ευχαριστώ πρώτα και πάνω απ΄ όλα για τη στήριξη στη μεγάλη μας παράταξη, στη Νέα Δημοκρατία μας.Δώσατε εξαιρετικά ποσοστά και μας επιτρέψατε να «καβαλήσουμε» εθνικά το 40%, να αυξήσουμε τα ποσοστά μας από αυτά που είχαμε πετύχει το 2019 και να ατενίζουμε, φίλες και φίλοι, το μέλλον με ακόμα περισσότερη αισιοδοξία.Και τώρα που βάλαμε τον πήχη ψηλά, ξέρουμε ότι πρέπει να δουλέψουμε ακόμα πιο πολύ, ώστε στην κάλπη της 25ης Ιουνίου εμείς να είμαστε οι νικητές με ακόμα υψηλότερο ποσοστό, για να εξασφαλίσουμε την αυτοδυναμία, η οποία είναι προϋπόθεση για μία σταθερή και ισχυρή κυβέρνηση, που θα συνεχίσει το σημαντικό έργο το οποίο επιτελέσαμε την περασμένη τετραετία.",political agenda,elections,campaigning,0.85,0,0,"[['new democracy', 'political party', '1.0'], ['2019', 'date', '1.0'], ['june 25th', 'date', '1.0']]"
2,"I have to tell you, friends, that the election result may have surprised many people, but it did not surprise me. I know very well that in this election, the paradigm of politics has changed. The citizens said no to toxicity, vulgarity, and division. They rewarded unity, hard work, a well-founded programmatic discourse, and, above all, measurable results.","Πρέπει να σας πω, φίλες και φίλοι, ότι το αποτέλεσμα το εκλογικό μπορεί να εξέπληξε πολλούς. Εμένα όμως δεν με εξέπληξε. Και δεν με εξέπληξε γιατί ξέρω πολύ καλά ότι σε αυτές τις εκλογές άλλαξε το υπόδειγμα της άσκησης της πολιτικής.Οι πολίτες είπαν όχι στην τοξικότητα, όχι στη χυδαιότητα, όχι στο διχασμό. Eπιβράβευσαν την ενότητα, τη σκληρή δουλειά, τον τεκμηριωμένο προγραμματικό λόγο και κυρίως το αποτέλεσμα, το μετρήσιμο αποτέλεσμα.",political agenda,elections,other,0.9,0,0,"[['not specified', 'friends', 'n/a', '0.8'], ['election', 'date', '1.0'], ['politics', 'n/a', '0.8'], ['citizens', 'group of people', '1.0'], ['toxicity', 'n/a', '0.5'], ['vulgarity', 'n/a', '0.5'], ['division', 'n/a', '0.5'], ['unity', 'n/a', '0.5'], ['hard work', 'n/a', '0.5'], ['programmatic discourse', 'n/a', '0.5'], ['measurable results', 'n/a', '0.5.']]"
3,"Because if there is one thing we can be proud of, my friends, it is that despite the great difficulties that we have faced over the past four years - and there have been many - we have managed to keep all of our key election commitments, most importantly the ones we made on the economy. We said we would cut taxes and we have cut taxes and contributions, just as we had committed to during the election. This tax cut was accompanied, ladies and gentlemen, by a boom in investment, which has enabled the country today to have growth rates that are now much higher than the European Union average. And this is of particular importance because if we do not have high growth rates, my friends, we cannot reduce unemployment, we cannot look forward to more and better-paid jobs, and there will also be no surplus to support health, to support education, and to stand by society in every contingency. And we have had many contingencies - as you know - in the last four years.","Διότι αν για κάτι μπορούμε να είμαστε υπερήφανοι, φίλες και φίλοι, είναι ότι παρά τις μεγάλες δυσκολίες που μας έτυχαν την περασμένη τετραετία -και δεν ήταν και λίγες-, καταφέραμε και τηρήσαμε όλες τις κεντρικές προεκλογικές δεσμεύσεις μας, με σημαντικότερες αυτές που είχαμε δώσει για την οικονομία.Είπαμε ότι θα μειώσουμε φόρους και μειώσαμε φόρους και εισφορές, όπως ακριβώς είχαμε δεσμευθεί προεκλογικά. Αυτή η μείωση των φόρων συνοδεύθηκε, φίλες και φίλοι, και από μία έκρηξη στις επενδύσεις, που επέτρεψε σήμερα στη χώρα, να έχει πια πολύ υψηλότερους ρυθμούς ανάπτυξης από τον μέσο όρο της Ευρωπαϊκής Ένωσης.Και αυτό έχει την ξεχωριστή του σημασία, διότι αν δεν έχουμε υψηλούς ρυθμούς ανάπτυξης, φίλες και φίλοι, δεν μπορούμε να μειώσουμε την ανεργία, δεν μπορούμε να προσβλέπουμε σε περισσότερες και καλύτερα πληρωμένες θέσεις εργασίας και δεν θα υπάρχει επίσης και πλεόνασμα για να στηρίξουμε την υγεία, να στηρίξουμε την παιδεία και να σταθούμε δίπλα στην κοινωνία σε κάθε απρόοπτο. Και μας έτυχαν πολλά απρόοπτα -όπως ξέρετε- την τελευταία τετραετία.",political agenda,economy,tax cuts,0.75,0,0,"[['european union', 'organization', '0.8'], ['country', 'location', '0.8'], ['four years', 'date', '0.7'], ['taxes', 'group of people', '0.5'], ['economy', 'organization', '0.4'], ['investment', 'organization', '0.4'], ['unemployment', 'organization', '0.4'], ['health', 'organization', '0.4'], ['education', 'organization', '0.4'], ['society', 'organization', '0.4']]"
4,"And this economic policy, I would say its success is also reflected here in your region. New productive investments that have come to Stylida and the wider region of eastern Fthiotida have created jobs. In combination - and the Mayor is right to say this - with unprecedented support from local government, which has enabled you to access financial instruments to carry out important infrastructure projects that improve the quality of life of all residents.","Και αυτή η οικονομική πολιτική, η επιτυχία της θα έλεγα, αποτυπώνεται κι εδώ, στη δική σας την περιοχή. Καινούριες επενδύσεις παραγωγικές οι οποίες έχουν έρθει εδώ στη Στυλίδα, στην ευρύτερη περιοχή της ανατολικής Φθιώτιδας, δημιούργησαν θέσεις εργασίας. Σε συνδυασμό -κι έχει δίκιο η Δήμαρχος να το λέει- με μια πρωτοφανή στήριξη της Τοπικής Αυτοδιοίκησης, η οποία σας έδωσε δυνατότητα και πρόσβαση σε χρηματοδοτικά εργαλεία για να κάνετε σημαντικά έργα υποδομής που βελτιώνουν την ποιότητα ζωής όλων των κατοίκων.",political agenda,employment,other,0.8,0,0,"[['stylida', 'location', '1.0'], ['fthiotida', 'location', '1.0'], ['mayor', 'person', '0.6'], ['local government', 'organization', '0.8']]"
5,"And of course, there is an important development project underway, which is none other than the new commercial port of Stylida. We will include this project in the Recovery Fund, and when completed, it will give new prospects to the port of Stylida. This will allow for the importation of important products from the wider region and mainly for exportation. Speaking of ports, I remember meeting with our elected candidates Christos, Giannis, George, and the rest of the electorate in Agios Konstantinos a few months ago. We promised that the port would be delivered on time, and we kept our commitment. The citizens know this, which is why when we present our program speech for the next four years, we do so with a reserve of credibility. We know that what we say today is part of the 'truth agreement' that we are called upon to reaffirm.","Και βέβαια, με ένα σημαντικό αναπτυξιακό έργο το οποίο δρομολογείται, που δεν είναι άλλο από το νέο εμπορικό λιμάνι της Στυλίδας. Ένα έργο το οποίο θα εντάξουμε στο Ταμείο Ανάκαμψης και το οποίο όταν ολοκληρωθεί θα μπορέσει να δώσει νέες προοπτικές στο λιμάνι της Στυλίδας, ώστε να εισάγονται από εδώ, αλλά κυρίως να εξάγονται, τα σημαντικά προϊόντα τής ευρύτερης περιοχής σας.Και μιας και μιλάμε για λιμάνια, θυμάμαι εδώ, με τους εκλεκτούς υποψηφίους μας, τον Χρήστο, τον Γιάννη, τον Γιώργο και το υπόλοιπο ψηφοδέλτιο, είχαμε βρεθεί στον Άγιο Κωνσταντίνο πριν από λίγους μήνες και είχαμε πει ότι το λιμάνι θα παραδοθεί στην ώρα του. Το λιμάνι παραδόθηκε στην ώρα του, γιατί εμείς τηρούμε τις δεσμεύσεις μας και αυτό οι πολίτες το ξέρουν. Και γι’ αυτό όταν μιλάμε και παρουσιάζουμε τον προγραμματικό μας λόγο για την επόμενη τετραετία, το κάνουμε με απόθεμα αξιοπιστίας. Διότι εμείς ξέρουμε πολύ καλά πως ό,τι πούμε σήμερα είναι μέρος της «συμφωνίας αλήθειας» την οποία καλούμαστε να επανεπιβεβαιώσουμε.",political agenda,infrastructure,other,0.8,0,0,"[['stylida', 'location', '0.8'], ['recovery fund', 'organization', '0.6'], ['christos', 'person', '0.9'], ['giannis', 'person', '0.9'], ['george', 'person', '0.9'], ['agios konstantinos', 'location', '0.8']]"
6,"And this ""truth deal,"" which is based first and foremost on trust between citizens and the political system and political representatives, I am not prepared to negotiate. We have a well-worked-out plan for the economy that is costed. Why is it costed? Because it is part of the medium-term program that we have already sent to the European Union. We know that we can spend nine billion over the next four years and finance the interventions that we have committed to. And we are absolutely sure that if we fall short, we will fall short for the better and not for the worse, as we have always exceeded the targets we set.","Και αυτή τη «συμφωνία αλήθειας» η οποία στηρίζεται πρώτα και πάνω από όλα στην εμπιστοσύνη μεταξύ πολιτών και πολιτικού συστήματος και πολιτικών εκπροσώπων, δεν είμαι διατεθειμένος να την διαπραγματευτώ. Εμείς έχουμε ένα σχέδιο πολύ καλά δουλεμένο για την οικονομία, κοστολογημένο. Γιατί είναι κοστολογημένο; Διότι, πολύ απλά, αποτελεί μέρος του μεσοπρόθεσμου προγράμματος το οποίο έχουμε ήδη αποστείλει στην Ευρωπαϊκή Ένωση.Ξέρουμε πολύ καλά ότι μπορούμε να ξοδέψουμε και να δαπανήσουμε εννέα δισεκατομμύρια την επόμενη τετραετία και να χρηματοδοτήσουμε τις παρεμβάσεις για τις οποίες έχουμε δεσμευτεί. Και είμαστε απολύτως σίγουροι ότι αν πέσουμε έξω, θα πέσουμε έξω προς το καλύτερο και όχι προς το χειρότερο, όπως το κάναμε πάντα μέχρι σήμερα, ξεπερνούσαμε τους στόχους τους οποίους είχαμε θέσει.",political agenda,economy,economic crisis,0.6,0,0,"[['european union', 'organization', '0.9']]"
7,"And every time we exceeded the targets, we said, ""Very well, we have a surplus which is a growth surplus"" - notice, not a tax surplus. We didn't crush the middle class, the farmers, or the freelancers with taxes. ""We're going to return this growth surplus to society and support those who need it most."" We did this, for example, just before the elections, with the extraordinary support for those who have been crushed by the personal difference of the Katrougalos law, and we said that we will continue to support these pensioners until the personal difference is erased. And this is the big difference, friends, of a party that emphasizes growth with a social dimension and knows that in order to distribute wealth, you must first create it. We create new wealth and then come to distribute it fairly to society, but also to support society whenever there is a real need.","Και κάθε φορά που ξεπερνούσαμε τους στόχους, λέγαμε: «πολύ ωραία, έχουμε ένα πλεόνασμα το οποίο είναι πλεόνασμα ανάπτυξης» - προσέξτε, όχι πλεόνασμα φόρων -εμείς δεν τσακίσαμε τη μεσαία τάξη, τους αγρότες, τους ελεύθερους επαγγελματίες στους φόρους- «αυτό το πλεόνασμα ανάπτυξης να πάμε να το επιστρέψουμε στην κοινωνία και να στηρίξουμε αυτούς οι οποίοι το έχουν περισσότερο ανάγκη». Το κάναμε, παραδείγματος χάρη, λίγο πριν τις εκλογές, με την έκτακτη ενίσχυση για όσους έχει τσακίσει η προσωπική διαφορά του νόμου Κατρούγκαλου και είπαμε ότι θα εξακολουθούμε να στηρίζουμε αυτούς τους συνταξιούχους, έως ότου η προσωπική διαφορά αυτή σβήσει.Και αυτή είναι η μεγάλη διαφορά, φίλες και φίλοι, μιας παράταξης η οποία δίνει έμφαση στην ανάπτυξη με κοινωνικό πρόσημο και η οποία γνωρίζει ότι για να μοιράσεις τον πλούτο πρέπει πρώτα να τον δημιουργήσεις. Εμείς δημιουργούμε πλούτο, νέο πλούτο και στη συνέχεια ερχόμαστε να τον μοιράσουμε δίκαια στην κοινωνία, αλλά να στηρίξουμε και την κοινωνία κάθε φορά που υπάρχει πραγματική ανάγκη.",political agenda,economy,middle class,0.8,0,0,"[['katrougalos', 'person', '0.9']]"
8,"And I remember very well the discussions we had at headquarters and with Christos during the pandemic. We had to spend tens of billions of euros to keep businesses alive, support workers, production, and the primary sector. The primary sector has never before received such support from a government, both due to Covid and Ukraine. We know that in difficult and unexpected situations, the state must be close to its citizens.","Και εδώ θυμάμαι πολύ καλά τις συζητήσεις τις οποίες κάναμε σε κεντρικό επιτελείο και με τον Χρήστο, όταν μας έτυχε η πανδημία. Και έπρεπε, προσέξτε, να δαπανήσουμε δεκάδες δισεκατομμύρια ευρώ για να κρατήσουμε ζωντανές τις επιχειρήσεις, να στηρίξουμε τους εργαζόμενους, να στηρίξουμε την παραγωγή, να στηρίξουμε τον πρωτογενή τομέα.Ο πρωτογενής τομέας έχει και το λέει ότι τέτοια στήριξη και λόγω του Covid αλλά και λόγω της Ουκρανίας δεν είχε ξανά από κυβέρνηση. Γιατί ακριβώς γνωρίζουμε πολύ καλά ότι στα δύσκολα, στα απρόοπτα το κράτος πρέπει να είναι κοντά στους πολίτες.",political agenda,pandemic,economic crisis,0.8,0,0,"[['christos', 'person', '0.60'], ['ukraine', 'country', '0.80'], ['covid', 'date', '0.70']]"
9,"And we achieved this - which is another important success of economic policy - without compromising fiscal stability. Because one thing you can be sure of with this government is that we paid our debts. We are well aware of how traumatic the experience of the memoranda was, and we know that fiscal stability is non-negotiable. The country will never again return to the dark ages of needing foreign support to survive; we will stand on our own. We will soon regain investment grade status with a strong and self-reliant New Democracy government.","Και το κάναμε αυτό χωρίς -και αυτή είναι μια άλλη σημαντική επιτυχία της οικονομικής πολιτικής- χωρίς να θέσουμε σε κίνδυνο την δημοσιονομική σταθερότητα. Διότι για ένα πράγμα μπορεί να είστε σίγουρες και σίγουροι με αυτή την κυβέρνηση. Εμείς πληρώσαμε και ξέρουμε πολύ καλά πόσο τραυματική ήταν η εμπειρία των μνημονίων και εμείς ξέρουμε πολύ καλά ότι δεν διαπραγματευόμαστε τη δημοσιονομική σταθερότητα. Η χώρα ποτέ ξανά δεν θα γυρίσει στα πέτρινα χρόνια, να χρειάζεται στήριξη από το εξωτερικό για να μπορεί να τα βγάλει πέρα.Όχι, θα τα βγάλουμε πέρα μόνοι μας. Θα ανακτήσουμε την επενδυτική βαθμίδα πολύ σύντομα, με το που θα έχουμε ισχυρή και αυτοδύναμη κυβέρνηση της Νέας Δημοκρατίας.",political agenda,debt,austerity,0.7,0.1,0,"[['1. new democracy', 'political party', '1.0'], ['2. government', 'organization', '0.8'], ['3. the memoranda', 'organization', '0.6'], ['4. country', 'location', '0.9']]"
10,"This has a special meaning for everyone. It is important because once we regain our investment grade, the cost of borrowing will decrease for businesses, households, and the Greek Republic itself. It will also be a vote of confidence for investors who want to invest in Greece but may still be cautious. The best is yet to come for the economy - growth, jobs, and better wages - but only if on the evening of June 25th, the map of Greece is blue again and New Democracy has a strong presence in the next Parliament.","Αυτό έχει ξεχωριστή σημασία για όλες και για όλους. Έχει σημασία διότι τη στιγμή που θα ανακτήσουμε την επενδυτική βαθμίδα θα πέσει το κόστος δανεισμού για τις επιχειρήσεις, για τα νοικοκυριά, για την ίδια την Ελληνική Δημοκρατία.Αλλά γιατί θα είναι και μια ψήφος εμπιστοσύνης για όλους αυτούς τους επενδυτές οι οποίοι θέλουν να επενδύσουν στην Ελλάδα και μπορεί ακόμα να είναι συγκρατημένοι. Τα καλύτερα, λοιπόν, φίλες και φίλοι, στην οικονομία -για την ανάπτυξη, για τις θέσεις εργασίας, για τους καλύτερους μισθούς- είναι ακόμα μπροστά μας. Αλλά με μια προϋπόθεση: το βράδυ της 25ης Ιουνίου ο χάρτης της Ελλάδος να είναι πάλι γαλάζιος και η Νέα Δημοκρατία να έχει μια ισχυρή αυτοδυναμία στην επόμενη Βουλή.",political agenda,economy,economic crisis,0.5,0,0,"[['greek republic', 'organization', '0.5'], ['greece', 'location', '1.0'], ['june 25th', 'date', '1.0'], ['new democracy', 'political party', '1.0'], ['parliament', 'organization', '0.5']]"
