id,text,text_el,is_criticism,topic-context,subtopic-context,sentiment,polarization-definition,populism-definition,ner-limited
1,"Thank you for the wonderful welcome. Thank you for your love and trust. Macedonia is blue, and the heart of New Democracy always beats in Macedonia, the birthplace of our national leader, Constantine Karamanlis. A big thank you to our amazing ONNEDites, who always give their own special pulse to all our gatherings. But above all, a big thank you to each and every one of you individually, who brought New Democracy, the great triumphant winner of the May 21 elections, with a percentage that exceeded the expectations of some but proved that New Democracy is the great broad force for unity and progress of our country. But, friends, the work is not over yet. On June 25, we are going to achieve an even greater victory. And to those who doubted this great party - because today we have a Champions League final - I have a word to say: the New Democracy jersey is very heavy, and it is blue and white, in the colors of our homeland.","Σας ευχαριστώ για την καταπληκτική υποδοχή. Σας ευχαριστώ για την αγάπη σας, για την εμπιστοσύνη σας. Η Μακεδονία είναι γαλάζια και η καρδιά της Νέας Δημοκρατίας χτυπά πάντα στη Μακεδονία, στη γενέτειρα του εθνάρχη μας, του Κωνσταντίνου Καραμανλή. Ένα μεγάλο ευχαριστώ στους καταπληκτικούς ΟΝΝΕΔίτες μας, που δίνουν πάντα τον δικό τους ξεχωριστό παλμό σε όλες μας τις συγκεντρώσεις. Αλλά πάνω απ΄ όλα ένα μεγάλο ευχαριστώ στην κάθε μία και στον καθέναν από εσάς ξεχωριστά, που έφεραν τη Νέα Δημοκρατία, τον μεγάλο θριαμβευτή των εκλογών της 21ης Μαΐου, με ένα ποσοστό το οποίο ξεπέρασε τις προσδοκίες κάποιων, αλλά απέδειξε ότι η Νέα Δημοκρατία είναι η μεγάλη πλατιά δύναμη ενότητας και προκοπής του τόπου μας. Όμως, φίλες και φίλοι, η δουλειά δεν έχει τελειώσει ακόμα. Στις 25 Ιουνίου πάμε για να πετύχουμε μία ακόμα μεγαλύτερη νίκη. Και σε όσους αμφισβήτησαν αυτή τη μεγάλη παράταξη -επειδή σήμερα έχουμε και τελικό Champions League- έχω να τους πω μία κουβέντα: η φανέλα της Νέας Δημοκρατίας είναι πολύ βαριά και είναι γαλανόλευκη, στα χρώματα της πατρίδας μας.",political agenda,elections,other,0.7,0.0,0.0,"[['macedonia', 'location', '0.9'], ['new democracy', 'organization', '0.9'], ['constantine karamanlis', 'person', '0.9'], ['onnedites', 'group of people', '0.9'], ['may 21', 'date', '0.9'], ['june 25', 'date', '0.9']]"
2,"Friends, I wanted to be with you today here in Katerini, Pieria, as I was not able to come during our first election period. First of all, I would like to say a big thank you for what you have done for our party, but I would like to ask you to work even harder, even more dynamically, to achieve an even greater victory on June 25. Because all of Greece is blue and will be blue again. I remember - and I am addressing our young people here - when I was your age, with some people a little older, we were fighting the great battles together with Konstantinos Mitsotakis and we were bringing New Democracy to unprecedented levels. And I wonder, how many people would have thought that we could bring New Democracy back to over 40%? And yet we did.","Φίλες και φίλοι, θέλησα να βρεθώ σήμερα μαζί σας εδώ στην Κατερίνη, στην Πιερία, καθώς δεν είχα καταφέρει να έρθω στα πλαίσια της πρώτης προεκλογικής μας περιόδου. Να σας πω κατ’ αρχάς ένα μεγάλο ευχαριστώ για ό,τι κάνατε για την παράταξή μας, αλλά να σας ζητήσω να εργαστούμε ακόμα πιο σκληρά, ακόμα πιο δυναμικά, για να πετύχουμε την 25η Ιουνίου μία ακόμα μεγαλύτερη νίκη. Διότι όλη η Ελλάδα είναι μπλε και θα ξαναείναι μπλε. Θυμάμαι -απευθύνομαι εδώ στους νεολαίους μας- όταν εγώ ήμουν στη δική σας ηλικία, με κάποιους λίγο μεγαλύτερους, δίναμε τους μεγάλους αγώνες μαζί με τον Κωνσταντίνο Μητσοτάκη και φέρναμε τη Νέα Δημοκρατία σε πρωτοφανή ποσοστά. Και αναρωτιέμαι, πόσοι θα πίστευαν ότι μπορούσαμε να ξαναφέρουμε τη Νέα Δημοκρατία σε ποσοστά πάνω του 40%; Και όμως το καταφέραμε.",political agenda,elections,other,0.5,0.0,0.0,"[['katerini', 'location', '1.0'], ['pieria', 'location', '0.95'], ['greece', 'country', '1.0'], ['june 25', 'date', '1.0'], ['konstantinos mitsotakis', 'person', '1.0'], ['new democracy', 'political party', '1.0']]"
3,"We did it. Why? Because the citizens rewarded the hard work we have done for four years. They rewarded the fact that we kept society on its feet during very difficult times, that we supported businesses and workers during the pandemic years. We put the economy back on the road to recovery. Citizens rewarded the consistency of our words and deeds. What did I tell you four years ago when I came back to Katerini? I told you that we would reduce taxes, and we did reduce taxes for all Greeks.","Το καταφέραμε, γιατί; Διότι οι πολίτες επιβράβευσαν τη σκληρή δουλειά την οποία κάναμε τέσσερα χρόνια. Επιβράβευσαν το γεγονός ότι κρατήσαμε την κοινωνία όρθια σε πολύ μεγάλες δυσκολίες, στηρίξαμε τις επιχειρήσεις και τους εργαζόμενους στα χρόνια της πανδημίας. Ξαναβάλαμε την οικονομία σε τροχιά ανάκαμψης. Οι πολίτες επιβράβευσαν τη συνέπεια λόγων και έργων.  Γιατί τι σας είχα πει πριν από τέσσερα χρόνια όταν είχα ξαναέρθει στην Κατερίνη; Σας είχα πει ότι θα μειώσουμε τους φόρους και μειώσαμε τους φόρους για όλες τις Ελληνίδες και όλους τους Έλληνες.",political agenda,economy,tax cuts,0.8,0.0,0.0,"[['citizens', 'group of people', '1.0'], ['economy', 'organization', '0.5'], ['greeks', 'group of people', '0.5'], ['pandemic years', 'date', '0.5'], ['katerini', 'location', '1.0'], ['taxes', 'organization', '0.5'], ['four years', 'date', '0.5']]"
4,"I told you then that my first priority, especially for the younger generation, is to create many well-paid jobs, and we have added 300,000 jobs in four years.",Σας είχα πει τότε ότι πρώτη προτεραιότητά μου -ειδικά για τη νέα γενιά- είναι να δημιουργήσουμε πολλές καλοπληρωμένες θέσεις εργασίας και προσθέσαμε 300.000 θέσεις εργασίας μέσα σε μια τετραετία.,political agenda,employment,employment,1.0,0.0,0.0,[]
5,"I told you something else, perhaps the most important thing here in Macedonia. I told you that I want a safe and proud Greece. A Greece that will protect its borders in the air, on land, and at sea. And we have guarded our borders. We have reduced migration flows to a minimum, and from here, from Katerini, I give you the message: the fence on Evros will be completed, whether some people want it or not.","Σας είχα πει και κάτι ακόμα, ίσως το πιο σημαντικό εδώ στη Μακεδονία. Σας είχα πει ότι θέλω μία Ελλάδα ασφαλή και περήφανη. Μία Ελλάδα η οποία θα προστατεύει τα σύνορά της στον αέρα, στη στεριά και στη θάλασσα. Και φυλάξαμε τα σύνορά μας. Μειώσαμε στο ελάχιστο τις μεταναστευτικές ροές και από εδώ, από την Κατερίνη, σας δίνω το μήνυμα: ο φράχτης στον Έβρο θα ολοκληρωθεί, είτε κάποιοι το θέλουν, είτε κάποιοι όχι.",political agenda,migration,borders,0.25,0.0,0.0,"[['macedonia', 'location', '1.0'], ['greece', 'country', '1.0'], ['katerini', 'location', '1.0'], ['evros', 'location', '1.0']]"
6,"I told you four years ago that I want a Greece whose voice is heard proudly in the European Union and in all the major capitals. And today, the voice of Greece counts. When we negotiate in Europe, we know that we do so with our heads held high and that we can bring back tangible results for the benefit of all Greek women and all Greeks.",Σας είχα πει επίσης πριν από τέσσερα χρόνια ότι θέλω μια Ελλάδα της οποίας η φωνή να ακούγεται περήφανη στην Ευρωπαϊκή Ένωση και σε όλες τις μεγάλες πρωτεύουσες. Και σήμερα η φωνή της Ελλάδος μετράει. Όταν πηγαίνουμε και διαπραγματευόμαστε στην Ευρώπη ξέρουμε ότι το κάνουμε με το κεφάλι ψηλά και μπορούμε να φέρουμε πίσω απτά αποτελέσματα προς όφελος όλων των Ελληνίδων και όλων των Ελλήνων.,political agenda,europe,other,0.9,0.0,0.0,"[['greece', 'location', '1.0'], ['european union', 'organization', '1.0'], ['greek', 'group of people', '0.5'], ['europe', 'location', '0.5'], ['greek women', 'group of people', '1.0'], ['greeks', 'group of people', '1.0']]"
7,"The corrected text = The best example of this is the Recovery Fund, which I personally negotiated and brought back home €31 billion. Remember, others negotiated for 17 hours and the end result was a third unnecessary memorandum that put 100 billion euros on our backs.","Και το καλύτερο παράδειγμα γι’ αυτό είναι το Ταμείο Ανάκαμψης, το οποίο προσωπικά διαπραγματεύτηκα και έφερα πίσω στην πατρίδα 31 δισεκατομμύρια ευρώ. Όταν κάποιοι άλλοι, θυμάστε, διαπραγματεύονταν για 17 ώρες και το τελικό αποτέλεσμα ήταν να μας φέρουν ένα τρίτο αχρείαστο μνημόνιο που μας φόρτωσε 100 δισεκατομμύρια ευρώ στην πλάτη.",criticism,economy,european recovery fund,0.8,0.0,0.2,"[['recovery fund', 'organization', '0.70'], ['euros', 'currency', '0.70'], ['memorandum', 'organization', '0.60']]"
8,"For all of this, the citizens rewarded us. They rewarded us for making the state digital, and today, through gov.gr, you all save tens, hundreds of hours of inconvenience.","Για όλα αυτά, λοιπόν, οι πολίτες μάς επιβράβευσαν. Μας επιβράβευσαν για το γεγονός ότι κάναμε το κράτος ψηφιακό και σήμερα μέσα από το gov.gr γλιτώνετε όλες και όλοι σας δεκάδες, εκατοντάδες ώρες ταλαιπωρίας. ",political agenda,public sector,digital governance,1.0,0.0,0.0,"[['citizens', 'group of people', '1.0'], ['gov.gr', 'organization', '1.0']]"
9,"We have been praised for the fact - and I say this in a region that relies on the primary sector - that we have been close to our farmers and our livestock farmers in every difficulty. We have been the first to support you, with natural disaster compensation of more than EUR 1 billion during this four-year period.",Μας επιβράβευσαν για το γεγονός -και το λέω αυτό σε μία περιοχή η οποία στηρίζεται στον πρωτογενή τομέα- ότι βρεθήκαμε κοντά στους αγρότες μας και στους κτηνοτρόφους μας σε κάθε δυσκολία. Ήμασταν πρώτοι για να σας στηρίξουμε. Με αποζημιώσεις από φυσικές καταστροφές που ξεπέρασαν το 1 δισ. ευρώ στη διάρκεια αυτής της τετραετίας.,political agenda,agricultural policy,natural disasters,0.75,0.0,0.0,"[['i', 'person', '0.5'], ['region', 'location', '1.0'], ['farmers', 'group of people', '0.8'], ['livestock farmers', 'group of people', '0.8'], ['eur 1 billion', 'organization', '0.7'], ['four-year period', 'date', '0.8']]"
10,"Do you know why we were able to achieve all of this? It's because we put our economy on a growth track and created public wealth, which we were then able to return to the citizens and use to support our most vulnerable citizens in times of difficulty.","Όλα αυτά ξέρετε γιατί μπορέσαμε να τα πετύχουμε; Γιατί βάλαμε την οικονομία μας σε μια τροχιά ανάπτυξης. Γιατί δημιουργήσαμε δημόσιο πλούτο, τον οποίον στη συνέχεια μπορέσαμε και επιστρέψαμε στους πολίτες και στηρίξαμε τους πιο αδύναμους συμπολίτες μας σε κάθε δυσκολία.",political agenda,economy,economic equity,0.8,0.0,0.0,[]
