id,text,text_el,is_criticism,topic-context,subtopic-context,sentiment,polarization-definition,populism-definition,ner-limited
1,"Thank you for this amazing welcome. Thank you for your love. I return it. There was no way I could complete an election season without passing by my beloved Kilkis, here in the heart of Macedonia. You know, after all, that the ties between Crete and Macedonia are powerful. I do not forget that my grandfather Kyriakos Mitsotakis fought in the first Balkan war at the head of a corps of Cretan volunteers. Here in Kilkis today, you are sending a message that is spreading throughout Greece. All of Greece is blue, and Kilkis is even bluer. Your presence here today, in broad daylight, in the heat of the day, is particularly moving and arms me with even greater strength. Let's go in 2 weeks to finish the work we started on the 21st of May. And as a friend of mine in Oraeokastro, where I was just now, aptly said to me, we are going to achieve heatwave rates in the new republic of Gerasimov. In the elections of 25 June.","Σας ευχαριστώ γι αυτην την καταπλητική υποδοχή. Σας ευχαριστώ για την αγάπη σας. Την ανταποδίδω. Δεν υπήρχε περίπτωση να ολοκληρωθεί προεκλογική περίοδο χωρίς να περάσω από το αγαπημένο μου Κιλκίς.Εδώ στην καρδιά της Μακεδονίας. Ξέρετε, ξέρετε εξάλλου ότι οι δεσμοί Κρήτης και Μακεδονίας είναι πανίσχυροι. Δεν ξεχνω ότι ο παππούς μου Κυριάκος Μητσοτάκης πολέμησε στον πρώτο βαλκανικό πόλεμο επικεφαλής σώματος κρητών εθελοντών. Εδώ από το Κιλκίς στέλνετε σήμερα ένα μήνυμα που απλώνεται σε ολόκληρη την Ελλάδα, όλη η Ελλάδα είναι μπλε και το Κιλκίς είναι ακόμα πιο μπλε. Η παρουσία σας σήμερα εδώ μέρα μεσημέρι μέσα στη ζέστη με συγκινεί ιδιαίτερα και με οπλίζει με ακόμα μεγαλύτερη δύναμη. Πάμε σε 2 εβδομάδες να τελειώσουμε τη δουλειά που ξεκινήσαμε την 21η Μαΐου. Και όπως μου είπε και εύστοχα ένας φίλος στο Ωραιόκαστρο που ήμουν πριν από λίγο πάμε να πετύχουμε ποσοστά καύσωνα γερα σαρανταρια για τη νέα δημοκρατία. Στις εκλογές της 25 ης Ιουνίου. ",political agenda,elections,election spending,0.75,0,0,"[['kyriakos mitsotakis', 'person', '0.8'], ['macedonia', 'location', '0.5'], ['kilkis', 'location', '0.8'], ['crete', 'location', '0.5'], ['greece', 'country', '0.5'], ['balkan', 'location', '0.5'], ['may 21st', 'date', '0.5'], ['june 25', 'date', '0.5']]"
2,"Mr. Mayor, Mr. Regional Governor, I am very pleased to have the opportunity to visit Kilkis today, as I mentioned earlier, to emphasize how important I consider your support in this great effort that we started four years ago and continue to pursue. The important work that we started four years ago. And indeed, the citizens rewarded this work at the ballot box on May 21st, rewarding the progress that the country has made; rewarding a policy of economic growth with an emphasis on social justice, and yes, he is right. The County Chairman was correct when he said in his introduction that they rewarded the citizens and a robust foreign policy that kept the country safe and enhanced its standing around the world.","Κύριε δήμαρχε κύριε περιφερειάρχα χαίρομαι ιδιαίτερα που μου δίνεται η δυνατότητα σήμερα να περάσω όπως σας είπα από το Κιλκίς, να επαναλάβω πόσο σημαντική θεωρώ τη στήριξή σας σε αυτή τη μεγάλη προσπάθεια, την οποία κάναμε και κάνουμε να συνεχίσουμε. Το σημαντικό έργο το οποίο ξεκινήσαμε πριν από 4 χρόνια. Και πράγματι, οι πολίτες στην κάλπη της 21ης Μαιου επιβράβευσαν αυτήν τη δουλειά, επιβράβευσαν την πρόοδο την οποία απέκτησε η πατρίδα. επιβράβευσαν Μια πολιτική οικονομικής ανάπτυξης με έμφαση στην κοινωνική δικαιοσύνη και ναι, έχει δίκιο. Ο Πρόεδρος της Νομαρχιακής όταν είπε στην εισαγωγή του, Επιβράβευσαν οι πολίτες και μια στιβαρή εξωτερική πολιτική που κράτησε τη χώρα ασφαλή και ενίσχυσε το κύρος της σε ολόκληρο τον κόσμο. ",political agenda,elections,other,0.7,0,0,"[['mr. mayor', 'person', '0.9'], ['mr. regional governor', 'person', '0.9'], ['kilkis', 'location', '0.9'], ['may 21st', 'date', '0.9']]"
3,"I remember a visit that I made to your region in 2017. It must have been during a time when tragic situations were prevailing here, a little above in Idomeni. You remember them too. What is the current refugee situation here? It is much, much better. I made a commitment that we would solve this problem, and we have solved it. This is for all the local communities that were receiving refugees and migrants, but first and foremost, for our islands, our citizens, and our fellow citizens who are on Evros.","Θυμάμαι μία επίσκεψη την οποία είχα κάνει εδώ στην περιοχή σας το 2017 -πρέπει να ήταν την εποχή όπου εδώ λίγο παραπάνω, στην Ειδομένη, επικρατούσαν τραγικές καταστάσεις. Τα θυμάστε και εσείς. Και ποια είναι η κατάσταση που επικρατεί σήμερα στο προσφυγικό εδώ; Πολύ-πολύ καλύτερη.Δεσμεύθηκα ότι θα λύσουμε το πρόβλημα αυτό και το λύσαμε. Για όλες τις τοπικές κοινωνίες οι οποίες υποδεχόταν πρόσφυγες και μετανάστες, αλλά πρωτίστως, φίλες και φίλοι, για τα νησιά μας, για τους πολίτες μας και τους συμπολίτες μας οι οποίοι είναι στον Έβρο.",political agenda,migration,other,0.3,0,0,"[['idomeni', 'location', '1.0'], ['2017', 'date', '1.0'], ['evros', 'location', '1.0']]"
4,"And I want to send a message from Kilkis, from the northern end of the country: the policy of guarding our country's borders will continue without any discounts. The fence in Evros will be completed. Our border guards will become more and more numerous, and everyone will know that Greece is a country that has borders on land, in the air, and at sea, and we have an obligation to guard these borders. And this strong Greece, this patriotic Greece, this Greece of social sensitivity, is a Greece that we envision, and I ask you to join us in building it even more solidly.","Και θέλω κι εδώ από το Κιλκίς, από το βόρειο άκρο της χώρας, να στείλω ένα μήνυμα: η πολιτική της φύλαξης των συνόρων της πατρίδας μας θα συνεχιστεί, χωρίς εκπτώσεις. Ο φράχτης στον Έβρο θα ολοκληρωθεί. Οι συνοριοφύλακές μας, θα γίνονται ολοένα και περισσότεροι και θα γνωρίζουν όλες και όλοι, ότι η Ελλάδα είναι μία πατρίδα η οποία έχει σύνορα στην ξηρά, στον αέρα και στη θάλασσα και αυτά τα σύνορα έχουμε υποχρέωση να τα φυλάμε.Και αυτή η ισχυρή Ελλάδα, αυτή η πατριωτική Ελλάδα, αυτή η Ελλάδα της κοινωνικής ευαισθησίας, είναι μία Ελλάδα την οποία οραματιζόμαστε και σας ζητώ να συμπορευθούμε μαζί για να την οικοδομήσουμε ακόμα πιο στέρεη.",political agenda,national security,other,0.2,0,0,"[['kilkis', 'location', '1.0'], ['greece', 'country', '1.0'], ['evros', 'location', '1.0']]"
5,"Many times, during the election campaign that we conducted before the ballot box on May 21st, I likened my dream for our country to an unfinished house. We have laid the foundations, we have started building the floors, but we have not yet finished the job. The work must be completed with a second four-year term of New Democracy, with a strong, stable parliamentary majority. To get us faster on the road to growth, to create more well-paid jobs, and to support productive investment.","Πολλές φορές και στα πλαίσια της προεκλογικής εκστρατείας που κάναμε πριν την κάλπη της 21ης Μαΐου, παρομοίαζα το όνειρό μου για την πατρίδα μας σαν ένα σπίτι το οποίο είναι μισοτελειωμένο. Έχουμε ρίξει τα θεμέλια, έχουμε αρχίσει και χτίζουμε τους ορόφους, αλλά ακόμα δεν έχουμε τελειώσει τη δουλειά. Η δουλειά πρέπει να ολοκληρωθεί, με μια δεύτερη τετραετία της Νέας Δημοκρατίας, με μία ισχυρή, με μία σταθερή κοινοβουλευτική πλειοψηφία. Για να πάμε πιο γρήγορα στο δρόμο της ανάπτυξης, να δημιουργήσουμε περισσότερες και καλά πληρωμένες θέσεις εργασίας, να στηρίξουμε τις παραγωγικές επενδύσεις. ",political agenda,economy,employment,0.6,0,0,"[['may 21st', 'date', '1.0'], ['new democracy', 'political party', '1.0']]"
6,"I am here in a region where the productive heart of the country beats with excellent companies that are still investing, included in the development law, and creating new jobs. We are giving them incentives to do so. Therefore, wages are rising with private investment and with companies that know they have to take care of their workers so that they can be satisfied themselves.","Βρίσκομαι εδώ, πέρα σε μια περιοχή στην οποία χτυπά η παραγωγική καρδιά της πατρίδας με εξαιρετικές επιχειρήσεις, οι οποίες εξακολουθούν και επενδύουν, εντάσσονται στον αναπτυξιακό νόμο που δημιουργούν νέες θέσεις εργασίας. Τους δίνουμε τα κίνητρα για να μπορούν να το κάνουν. Έτσι αυξάνονται οι μισθοί με ιδιωτικές επενδύσεις και με εταιρείες οι οποίες ξέρουν ότι πρέπει να φροντίζουν τους εργαζόμενούς τους για να μπορούν και οι ίδιες να είναι ικανοποιημένες. ",political agenda,employment,investments,0.8,0,0,"[['country', 'location', '1.0'], ['companies', 'group of people', '0.8'], ['development law', 'organization', '1.0'], ['jobs', 'group of people', '0.5'], ['incentives', 'organization', '0.5'], ['private investment', 'organization', '0.5'], ['workers', 'group of people', '0.5']]"
7,"And of course, we must take this opportunity to correct the failures of the past, to correct mistakes that may have been made, and outstanding issues concerning basic infrastructure projects. We must correct them. You have a right, you have a right here in Kilkis to grumble and complain about the fact that the road link to Thessaloniki has not yet been completed. I am in constant communication with Apostolos Tzitzikostas; he is here somewhere. You have my personal commitment that if necessary, we will do whatever it takes to declare a contractor bankrupt to proceed with the project as soon as possible so that the road connection is completed and close this pending issue regarding the basic infrastructure of our regional unit. And that is just one example of how we will put into practice our commitment to turn the country into a vast construction site. The mayor knows all too well here that never before has local government had at its disposal more financial tools than in our time. The many projects that are going on in your municipality, the many projects that are going on in the province are the result of the support that this government has given to local government. Because we trust local government, first and second tier, and we want to work well with those policy implementers that are closer to you.","Και βέβαια οφείλουμε με την ευκαιρία αυτή να διορθώσουμε και τις αστοχίες του παρελθόντος, να διορθώσουμε και λάθη, τα οποία ενδεχομένως έγιναν και εκκρεμότητες που αφορούν και τα βασικά έργα υποδομής. Να τις διορθώσουμε. Έχετε ένα δίκιο, έχετε ένα δίκιο εδώ στο Κιλκίς να γκρινιάζετε και να παραπονιέστε για το γεγονός ότι ο δρόμος, η οδική σύνδεση με τη Θεσσαλονίκη δεν έχει ακόμα ολοκληρωθεί, είμαι σε διαρκή επικοινωνία με τον απόστολο τζιτζικώστα, είναι κάπου εδώ, Έχετε την προσωπική μου δέσμευση ότι αν χρειαστεί θα κάνουμε Ότι πρέπει για να κηρύχθηκε έκπτωτος εργολάβος θα χρειάζεται για να προχωρήσει το έργο το συντομότερο δυνατόν, έτσι ώστε να ολοκληρωθεί να ολοκληρωθεί η οδική σύνδεση και να κλείσει και αυτή η εκκρεμότητα ως προς τις βασικές υποδομές της περιφερειακής μας ενότητας.Κι αυτό είναι ένα μόνο. Είναι ένα μόνο παράδειγμα του πώς θα έχουμε κάνει πράξη τη δέσμευσή μας να μετατρέψουμε τη χώρα σε ένα απέραντο εργοτάξιο. Ο δήμαρχος ξέρει πολύ καλά εδώ ότι ουδέποτε δεν είχε η τοπική αυτοδιοίκηση στη διάθεσή της. Περισσότερα χρηματοδοτικά εργαλεία από ότι επί δικών μας ημερών. Τα πολλά έργα τα οποία γίνονται στο δήμο σας, τα πολλά έργα τα οποία γίνονται στην περιφέρεια είναι αποτέλεσμα της στήριξης που έδωσε αυτή η κυβέρνηση στην τοπική αυτοδιοίκηση. Γιατί εμπιστευόμαστε την τοπική αυτοδιοίκηση πρώτου και δεύτερου βαθμού και θέλουμε να συνεργαζόμαστε καλά με εκείνους τους φορείς υλοποίησης πολιτικής που είναι πιο κοντά στα δικά σας. ",political agenda,infrastructure,other,0.6,0,0,"[['kilkis', 'location', '1.0'], ['thessaloniki', 'location', '1.0'], ['apostolos tzitzikostas', 'person', '1.0'], ['regional unit', 'organization', '0.5'], ['country', 'country', '1.0']]"
8,"The problems and this policy will continue over the next four years, as will a policy of firm and renegotiated support for the new democracy in the NHS, my friends. We will build the new NHS in defiance of those who hypocritically claim to care about public health. But because we also remember their works and their days when they were in office, people know that yes, there are still problems. Let us have no illusions. But you know if today your hospital has more doctors and more nurses than it used to have, and I want you to know that for me, supporting the NHS, supporting the ambulance service, being able to carry out evacuations quickly and safely - wherever our fellow citizens are - this is a project that I will personally undertake and that we will implement in the second four years.","Τα προβλήματα και αυτή η πολιτική θα συνεχιστεί την επόμενη τετραετία, όπως θα συνεχιστεί φίλες και φίλοι και μια πολιτική της σταθερής και αναδιαπραγμάτευσης στήριξης της νέας δημοκρατίας στο ΕΣΥ. Εμείς θα οικοδομήσουμε το νέο ΕΣΥ σε πείσμα όσων υποκριτικά ισχυρίζονται ότι νοιάζονται για τη δημόσια υγεία, αλλά επειδή θυμόμαστε και τα έργα και τις ημέρες τα δικά τους όταν ήταν στα πράγματα, οι πολίτες ξέρουν ότι ναι, υπάρχουν ακόμα προβλήματα, μην έχουμε αυταπάτες. Αλλά εσείς γνωρίζετε αν σήμερα το νοσοκομείο σας έχει περισσότερους γιατρούς και περισσότερους νοσηλευτές από όσους είχε.Και θέλω να ξέρετε ότι για μένα η στήριξη του ΕΣΥ, η στήριξη του ΕΚΑΒ, η δυνατότητα να μπορούμε να κάνουμε διακομιδές γρήγορα και με ασφάλεια -όπου και αν βρίσκεται κάποιος συμπολίτης μας- αυτό είναι ένα έργο το οποίο θα το αναλάβω προσωπικά και θα το υλοποιήσουμε τη δεύτερη τετραετία.",political agenda,health,public health system,0.6,0.2,0,"[['nhs', 'organization', '1.0'], ['democracy', 'organization', '0.8'], ['friends', 'group of people', '0.6'], ['public health', 'organization', '0.7'], ['office', 'organization', '0.5'], ['hospital', 'location', '0.9'], ['doctors', 'group of people', '0.8'], ['nurses', 'group of people', '0.8'], ['ambulance service', 'organization', '0.7'], ['fellow citizens', 'group of people', '0.6']]"
9,"Because you know that there is one thing I will never question, and that is the relationship of trust that we have built. We have known each other for quite some time now. You know that you can trust me, as I trust you. What I am telling you about the second four-year term will be put into practice by the Government of the New Democracy.","Επειδή ξέρετε ότι ένα πράγμα δεν πρόκειται ποτέ να θέσω στην αμφισβήτηση των πολιτών και αυτό είναι η σχέση εμπιστοσύνης την οποία έχουμε οικοδομήσει.Γνωριζόμαστε πια αρκετό καιρό. Ξέρετε ότι μπορείτε να με εμπιστεύεστε, όπως εγώ σας εμπιστεύομαι. Αυτά τα οποία σας λέω για τη δεύτερη τετραετία θα γίνουν πράξη από την Κυβέρνηση της Νέας Δημοκρατίας.",political agenda,elections,other,0.5,0,0,"[['1. new democracy', 'political party', '1.0'], ['2. government', 'organization', '0.6']]"
10,"Because we are all here today, friends, there is a second round of elections. The June 25th ballot is unnecessary because if the May 21st elections had been held under the same electoral system, New Democracy would already have a stable and strong majority. The slogan ""you shout you are and will be the Prime Minister"" is not applicable as there is currently a caretaker government due to some people rushing to impose simple proportional representation. The country is suffering from an unnecessary second election to validate the May 21st result. The citizens will not change their minds, but our percentage will be higher, not lower.","Γιατί είμαστε γιατί είμαστε σήμερα όλοι εδώ είμαστε όλοι εδώ σήμερα, φίλες και φίλοι επειδή υπάρχει μια δεύτερη καλπη. Υπάρχει μία κάλπη της 25ης Ιουνίου, η οποία  Είναι μία με τον τρόπο της αχρείαστη κάλπη, διότι αν οι εκλογές της εικοστής πρώτης Μαίου είχαν γίνει με το εκλογικό σύστημα με το οποίο θα γίνουν οι εκλογές της 25ης Ιουνίου, η νέα δημοκρατία αυτά είχε ήδη στα σταθερη και ισχυρή πλειοψηφία θα. Το σύνθημα σύστημα το οποίο φωνάζετε είσαι και θα είσαι ο πρωθυπουργός απαντώ στους συμπολίτες μας, δεν είμαι πρωθυπουργός. Σήμερα η χώρα έχει υπηρεσιακή κυβέρνηση, ακριβώς επειδή κάποιοι έσπευσαν για ένα δικό τους καπρίτσιο καπρίτσιο να επιβάλουν την απλή αναλογική και να ταλαιπωρείται σήμερα η χώρα με μια δεύτερη αχρείαστη εκλογή προκειμένου απλά να επικυρώσουν το εκλογικό αποτέλεσμα της εικοστής πρώτης Μαϊου. Οι πολίτες δεν θα αλλάξει ομως άποψη μεγαλύτερο θα είναι το ποσοστό μας και όχι μικρότερο.",criticism,elections,election spending,0.1,0,0,"[['june 25th', 'date', '0.5'], ['may 21st', 'date', '0.5'], ['new democracy', 'political party', '0.7'], ['caretaker government', 'organization', '0.6'], ['proportional representation', 'organization', '0.5'], ['citizens', 'group of people', '0.4']]"
