id,text,text_el,is_criticism,topic-context,subtopic-context,sentiment,polarization-definition,populism-definition,ner-limited
1,"Good day and thank you for this impressive welcome. Thank you for coming here today at noon, so massively, to once again show your support for our great party, New Democracy. Thank you, especially here in Oraiokastro, for giving New Democracy very strong percentages at the ballot box on May 21. Thank you, because you trusted a party that, as the Mayor said, has kept the country standing in the midst of great difficulties for four years, but at the same time honored the ""truth agreement"" that I asked you to sign in July 2019.","Καλή σας μέρα και σας ευχαριστώ γι’ αυτή την εντυπωσιακή υποδοχή. Σας ευχαριστώ που ήρθατε σήμερα το μεσημέρι εδώ, τόσο μαζικά, να δηλώσετε για ακόμα μία φορά τη στήριξή σας στη μεγάλη μας παράταξη, στη Νέα Δημοκρατία. Σας ευχαριστώ που, ειδικά εδώ στο Ωραιόκαστρο, δώσατε στην κάλπη της 21ης Μαΐου πολύ ισχυρά ποσοστά στη Νέα Δημοκρατία. Σας ευχαριστώ, γιατί εμπιστευτήκατε μία παράταξη, η οποία εδώ και τέσσερα χρόνια, όπως είπε ο Δήμαρχος, κράτησε τη χώρα όρθια εν μέσω μεγάλων δυσκολιών, αλλά ταυτόχρονα τίμησε και τη «συμφωνία αλήθειας» την οποία σας ζήτησα να υπογράψουμε τον Ιούλιο του 2019. ",political agenda,elections,other,0.76,0,0,"[['new democracy', 'political party', '1.0'], ['oraiokastro', 'location', '1.0'], ['greece', 'country', '1.0'], ['may 21', 'date', '1.0'], ['july 2019', 'date', '1.0']]"
2,"We are the party that, for the first time in the history of New Democracy, managed to increase its percentages and the absolute number of votes from ballot box to ballot box while in government. I must tell you that this vote of confidence from the Greek citizens is a heavy responsibility for me to live up to the trust and love of the people for a second four-year term. To be able to move even faster, even more boldly, to make the great changes that the country needs. Because at the ballot box on May 21st, the citizens rewarded consistency, hard work, and civilized political discourse, and rejected division, toxicity, and darkness. Unity won, division was defeated, truth won, and lies were defeated.","Είμαστε η παράταξη που κατάφερε για πρώτη φορά -για πρώτη φορά το πέτυχε αυτό η Νέα Δημοκρατία στην ιστορία της- να αυξήσει τα ποσοστά της και τον απόλυτο αριθμό ψήφων από κάλπη σε κάλπη όντας στην κυβέρνηση. Πρέπει να σάς πω, ότι αυτή η ψήφος εμπιστοσύνης των Ελλήνων πολιτών, είναι για εμένα βαριά ευθύνη να ανταποκριθώ στην εμπιστοσύνη και στην αγάπη του κόσμου και τη δεύτερη τετραετία. Να μπορέσουμε να προχωρήσουμε ακόμα πιο γρήγορα, ακόμα πιο τολμηρά, στις μεγάλες αλλαγές τις οποίες χρειάζεται ο τόπος. Διότι στην κάλπη της 21ης Μαΐου οι πολίτες επιβράβευσαν τη συνέπεια, την εργατικότητα, τον πολιτισμένο πολιτικό λόγο και απέρριψαν τον διχασμό, την τοξικότητα, το μαύρο. Νίκησε η ενότητα, ηττήθηκε ο διχασμός, νίκησε η αλήθεια και ηττήθηκε το ψέμα.",political agenda,elections,other,0.8165,0.2,0,"[['new democracy', 'organization', '1.0'], ['greek', 'location', '0.9'], ['may 21st', 'date', '1.0']]"
3,"This is an important conquest for our country, but it is a conquest that is not yet complete, my friends. It is incomplete because nothing is ever complete. We have new elections on June 25th, and we have these elections for one reason only: because Mr. Tsipras, as we predicted and stated during the election campaign, took steps to undermine the stability of the country by introducing an electoral system that would, with mathematical certainty, lead to ungovernability. If the electoral system that will be in force on May 21st had been in force on June 25th, New Democracy would have had a strong self-reliance, and the country would have had a stable government as of today.","Αυτή είναι μία σημαντική κατάκτηση για τη χώρα μας, μία κατάκτηση, όμως, φίλες και φίλοι, η οποία ακόμα δεν έχει ολοκληρωθεί. Δεν έχει ολοκληρωθεί, διότι τίποτα δεν έχει τελειώσει. ‘Έχουμε νέες εκλογές την 25η Ιουνίου και έχουμε νέες εκλογές για ένα λόγο και μόνο: διότι ο κ. Τσίπρας, όπως είχαμε προβλέψει και είχαμε πει προεκλογικά, είχε φροντίσει να ναρκοθετήσει τη σταθερότητα της χώρας, εισάγοντας ένα εκλογικό σύστημα το οποίο με μαθηματική βεβαιότητα θα οδηγούσε στην ακυβερνησία. Εάν σήμερα, εάν στις κάλπες της 21ης Μαΐου, ίσχυε το εκλογικό σύστημα το οποίο θα ισχύσει στην κάλπη της 25ης Ιουνίου, η Νέα Δημοκρατία θα είχε ισχυρή αυτοδυναμία και ο τόπος θα είχε από σήμερα σταθερή κυβέρνηση. ",criticism,elections,other,-0.4,0.2,0,"[['mr. tsipras', 'person', '1.0'], ['new democracy', 'political party', '1.0'], ['may 21st', 'date', '1.0'], ['june 25th', 'date', '1.0']]"
4,"So we must go now and complete what we started at the ballot box on May 21. And one more thing: we can raise the bar of our expectations even higher. The 40.7% that we got is impressive. But we can and must do even better because the next election Sunday after that, we need to have a strong, stable self-reliance to be able to implement the big changes that the country so badly needs. I must tell you that, looking at the election results in the second district of Thessaloniki, we are obviously satisfied with our figures. However, it did not escape my attention that various parties and factions to the right of New Democracy have achieved quite high percentages.","Πρέπει λοιπόν, να πάμε τώρα και να ολοκληρώσουμε αυτό το οποίο ξεκινήσαμε στην κάλπη της 21ης Μαΐου. Και κάτι ακόμα: μπορούμε να βάλουμε τον πήχη των προσδοκιών μας ακόμα πιο ψηλά. Το 40,7% το οποίο πήραμε είναι εντυπωσιακό. Αλλά μπορούμε και πρέπει να πάμε ακόμα καλύτερα, διότι την επόμενη μετά την Κυριακή των εκλογών πρέπει να έχουμε μια ισχυρή, σταθερή αυτοδυναμία, για να μπορέσουμε να υλοποιήσουμε τις μεγάλες αλλαγές τις οποίες ο τόπος τόσο πολύ χρειάζεται. Πρέπει να σας πω ότι, κοιτάζοντας και εδώ λίγο τα εκλογικά αποτελέσματα στη Β΄ Περιφέρεια Θεσσαλονίκης, προφανώς και είμαστε ικανοποιημένοι από τα ποσοστά μας. Δεν διέφυγε όμως της προσοχής μου, το γεγονός ότι διάφορα κόμματα και κομματίδια στα δεξιά της Νέας Δημοκρατίας, συγκέντρωσαν αρκετά υψηλά ποσοστά.",criticism,elections,other,0.5,0.1,0,"[['may 21', 'date', '1.0'], ['thessaloniki', 'location', '1.0'], ['new democracy', 'political party', '1.0']]"
5,"I would like to take this opportunity to address all of our fellow citizens who believe that there are parties - especially small, non-existent parties that we do not know about - that can express religious sentiment in an authentic way. I want to tell them that faith is not imprisoned within the confines of a few small parties. Faith and orthodoxy unite, not divide. ""Caesar's to Caesar and God's to God."" So let various people who want to glorify themselves by hiding put aside these logics that they supposedly represent the Church and Orthodoxy and that others are less orthodox or less faithful than they are. I do not think that these arguments can stand up today in Greek society in 2023.","Θέλω με την ευκαιρία αυτή να απευθυνθώ σε όλους τους συμπολίτες μας οι οποίοι πιστεύουν ότι υπάρχουν κόμματα -ειδικά μικρά κόμματα, ανύπαρκτα κόμματα τα οποία δεν τα γνωρίζουμε- τα οποία μπορούν να εκφράσουν αυτά αυθεντικά το θρησκευτικό συναίσθημα. Θέλω να τους πω ότι η πίστη δεν φυλακίζεται στα όρια κάποιων μικρών κομμάτων. Η πίστη και η ορθοδοξία ενώνει, δεν διχάζει. «Τα του Καίσαρος τω Καίσαρι και τα του Θεού τω Θεώ». Ας αφήσουν, λοιπόν, διάφοροι, οι οποίοι θέλουν να δοξάζονται κρυπτόμενοι, στην άκρη αυτές τις λογικές ότι δήθεν αυτοί εκφράζουν την Εκκλησία και την Ορθοδοξία και κάποιοι άλλοι είμαστε λιγότερο ορθόδοξοι ή λιγότεροι πιστοί απ’ αυτούς. Δε νομίζω ότι τα επιχειρήματα αυτά μπορούν να στέκουν σήμερα στην ελληνική κοινωνία του 2023.",criticism,other,other,0,0,0,"[['fellow citizens', 'group of people', '0.9'], ['parties', 'organization', '0.8'], ['religious sentiment', 'organization', '0.7'], ['faith', 'organization', '0.7'], ['orthodoxy', 'organization', '0.7'], ['church', 'organization', '0.7'], ['god', 'organization', '0.7'], ['caesar', 'organization', '0.7'], ['greek society', 'location', '0.9'], ['2023', 'date', '1.0']]"
6,"I would also like to address those who talk very easily about patriotism and defending national interests, and ask them to consider which government managed to keep the country's ship stable and make Greece much stronger today than it was in 2019, in the midst of great difficulties. When I came in 2019 and spoke to you again here in Thessaloniki, I told you that one of my three central commitments is a secure and strong Greece. Have we delivered on that commitment? We have invested in our Armed Forces in such a way that we have effectively reversed the balance of power in the Aegean within four years. We have repelled the aggressive appetites of our neighbors - not in words but in deeds - by building strong alliances, supporting our Armed Forces, and making our country the most important factor of geopolitical stability in the Eastern Mediterranean.","Θέλω επίσης να απευθυνθώ και σε αυτούς, οι οποίοι με πολύ μεγάλη ευκολία μιλούν για πατριωτισμό, για την υπεράσπιση των εθνικών συμφερόντων και να τους ζητήσω να αναλογιστούν, ποια κυβέρνηση ήταν αυτή η οποία, εν μέσω πολύ μεγάλων δυσκολιών κατάφερε και κράτησε σταθερό το σκάφος της χώρας και έκανε σήμερα την Ελλάδα πολύ πιο ισχυρή από ό,τι ήταν το 2019. Διότι εγώ, όταν το 2019 είχα έρθει και σας είχα μιλήσει πάλι εδώ στη Θεσσαλονίκη, σας είχα πει ότι μια από τις τρεις κεντρικές μου δεσμεύσεις είναι μια ασφαλής και ισχυρή Ελλάδα. Και για να δούμε, τηρήσαμε αυτή μας τη δέσμευση; Επενδύσαμε στις Ένοπλες Δυνάμεις μας, με τέτοιο τρόπο ώστε ουσιαστικά έχουμε ανατρέψει την ισορροπία των δυνάμεων στο Αιγαίο μέσα σε μια τετραετία. Αποκρούσαμε τις επιθετικές ορέξεις των γειτόνων μας -όχι στα λόγια αλλά με πράξεις- χτίζοντας ισχυρές συμμαχίες, στηρίζοντας τις Ένοπλες Δυνάμεις και καθιστώντας την πατρίδα μας τον πιο σημαντικό παράγοντα γεωπολιτικής σταθερότητας στην Ανατολική Μεσόγειο.",political agenda,national security,defense spending,0.8,0,0,"[['thessaloniki', 'location', '0.8'], ['greece', 'country', '1.0'], ['2019', 'date', '1.0'], ['aegean', 'location', '0.8'], ['eastern mediterranean', 'location', '0.8']]"
7,"We have strengthened Greece's position in Europe. Today, when the Greek Prime Minister and Ministers attend European Council meetings, they no longer see us as the ""poor relation,"" but as a country that has managed to achieve something that many people thought was impossible: to recover its economy and have growth rates twice those of the European Union.","Ενισχύσαμε τη θέση της Ελλάδος στην Ευρώπη. Όταν σήμερα πηγαίνει ο Έλληνας Πρωθυπουργός, οι Έλληνες Υπουργοί, στα Ευρωπαϊκά Συμβούλια δεν μας αντιμετωπίζουν πια σαν τον “φτωχό συγγενή”, αλλά ως μια χώρα η οποία κατάφερε και πέτυχε κάτι το οποίο πολλοί φαντάζονταν ότι ήταν αδύνατο: να ανορθώσει την οικονομία της και να έχει σήμερα ρυθμούς ανάπτυξης διπλάσιους απ’ αυτούς της Ευρωπαϊκής Ένωσης.",political agenda,economy,european recovery fund,0.75,0,0,"[['greece', 'country', '0.95'], ['european council', 'organization', '0.6'], ['european union', 'organization', '0.6'], ['prime minister', 'person', '0.8'], ['ministers', 'group of people', '0.7']]"
8,"All of this did not happen, my friends. It was the result of hard work - hard work that, however, has not been completed and must not be left unfinished. That is why the stakes of the June 25th election are so important for everyone. We must decide whether we will continue on this path of stability and progress or whether we will regress.","Όλα αυτά δεν έτυχαν, φίλες και φίλοι. Ήταν αποτέλεσμα μιας σκληρής δουλειάς. Μια σκληρή δουλειά η οποία, όμως, δεν έχει ολοκληρωθεί και σε καμία περίπτωση δεν πρέπει να μείνει στη μέση. Και γι’ αυτό και το στοίχημα της κάλπης της 25ης Ιουνίου είναι τόσο σημαντικό, για όλες και για όλους. Αν θα συνεχίσουμε σε αυτή την πορεία σταθερότητας και προκοπής ή αν θα κυλήσουμε πίσω.",political agenda,elections,other,0.6,0,0,"[['june 25th', 'date', '1.0']]"
9,"The leader of the Official Opposition said something that I agree with in a speech made by Mr. Tsipras yesterday. He said ""we vote for our lives"". Yes, we are voting for our lives. We are voting for the lives of young children who, after graduating from a good public university, want to have a decent job. Mr. Rector, we want quality knowledge in universities with libraries, not squatters' rooms and violence, as has been the case at Aristotle University for decades.","Ο αρχηγός της Αξιωματικής Αντιπολίτευσης, σε μια ομιλία την οποία έκανε χθες, ο κ. Τσίπρας, είπε κάτι με το οποίο συμφωνώ. Είπε «ψηφίζουμε για τις ζωές μας». Ναι, ψηφίζουμε για τις ζωές μας, ψηφίζουμε για τις ζωές αυτών των νέων παιδιών, που όταν θα βγουν από ένα καλό δημόσιο πανεπιστήμιο θέλουν να έχουν μια δουλειά της προκοπής. Και να πάρουν, κ. Πρύτανη, ποιοτική γνώση σε πανεπιστήμια στα οποία θα έχουν βιβλιοθήκες και όχι χώρους κατάληψης και βίας, όπως συνέβαινε στο Αριστοτέλειο εδώ και δεκαετίες.",political agenda,education,higher education,,0,0,"[['official opposition', 'organization', '0.8'], ['mr. tsipras', 'person', '0.7'], ['mr. rector', 'person', '0.5'], ['aristotle university', 'organization', '0.6']]"
10,"Yes, we vote for our lives and for better jobs and wages. When I talk, especially to young people entering the labor market, the first thing they tell me - and rightly so - is that wages in our country are still low. It is difficult for a young person, especially if they want to start a family, to make ends meet with the wages that exist today in the private sector. But the answer, ladies and gentlemen, is that wage growth can only come through growth and private investment. Private investment can only come from a government like New Democracy.","Ναι, ψηφίζουμε για τις ζωές μας και ψηφίζουμε για καλύτερες δουλειές και για καλύτερους μισθούς. Διότι όταν εγώ μιλάω -κυρίως με νέα παιδιά- τα οποία μπαίνουν στην αγορά εργασίας, το πρώτο πράγμα το οποίο μου λένε -και έχουν δίκιο- είναι ότι οι μισθοί στη χώρα μας είναι ακόμα χαμηλοί. Και δύσκολα θα τα βγάλει πέρα ένα νέο παιδί, ειδικά αν θέλει να κάνει οικογένεια, με τους μισθούς οι οποίοι υπάρχουν σήμερα στον ιδιωτικό τομέα. Η απάντηση όμως, φίλες και φίλοι, είναι ότι η αύξηση των μισθών μπορεί να έρθει μόνο μέσα από την ανάπτυξη και μπορεί να έρθει μόνο μέσα από τις ιδιωτικές επενδύσεις. Και αυτές τις ιδιωτικές επενδύσεις μόνο μια κυβέρνηση σαν της Νέας Δημοκρατίας μπορεί να φέρει.",political agenda,employment,other,0.3,0,0.1,"[['new democracy', 'organization', '1.0'], ['country', 'location', '1.0']]"
