id,text,text_el,is_criticism,topic-context,subtopic-context,sentiment,polarization-definition,populism-definition,ner-limited
1,"Mr. Mayor, Mr. Regional Governor, and friends, first of all, thank you for this very warm welcome. I apologize for the short delay. I made you wait in the sun, but we started a very beautiful tour this morning from Leros, then we went to Lipsi and Arki. I am here with you today in Patmos, first and foremost, to say a big thank you for supporting New Democracy at the polls on May 21st. Here in the Dodecanese, we achieved unprecedented figures for our party, and I ask you to make a bet with me because when you set the bar high, you have to set it even higher. Let's go now and see our percentage ""5"" on the front exceed 50% in the Dodecanese. We have achieved something unique. All of Greece was blue, all of Greece will remain blue, and citizens will once again trust New Democracy to hold the fate of the country in its hands for the next four years.","Κύριε Δήμαρχε, κύριε Περιφερειάρχη, φίλες και φίλοι, κατ’ αρχάς σας ευχαριστώ γι’ αυτή την πολύ θερμή υποδοχή.Ζητώ συγγνώμη για τη μικρή καθυστέρηση, σας έκανα να περιμένετε μέσα στον ήλιο, αλλά ξεκινήσαμε το πρωί μία πολύ όμορφη περιοδεία από τη Λέρο, πήγαμε μετά στους Λειψούς, στους Αρκιούς. Είμαι σήμερα εδώ μαζί σας στην Πάτμο, πρώτα και πάνω απ’ όλα γιατί θέλω να σας πω ένα μεγάλο ευχαριστώ γιατί στηρίξατε τη Νέα Δημοκρατία στις κάλπες της 21ης Μαΐου. Πετύχαμε εδώ, στα Δωδεκάνησα, ποσοστά πρωτοφανή για τα δεδομένα της παράταξής μας.Και σας ζητώ να βάλουμε μαζί ένα στοίχημα, γιατί όταν βάζει κανείς τον πήχη ψηλά πρέπει να περνάει ακόμα πιο ψηλά. Πάμε, τώρα, να γράφει το ποσοστό μας «5» μπροστά, να ξεπεράσουμε το 50% στα Δωδεκάνησα.Πετύχαμε κάτι μοναδικό, όλη η Ελλάδα ήταν μπλε, όλη η Ελλάδα θα παραμείνει μπλε και οι πολίτες θα εμπιστευτούν και πάλι τη Νέα Δημοκρατία για να κρατήσει στα χέρια της τις τύχες του τόπου για την επόμενη τετραετία.",political agenda,elections,election spending,0.7,0.0,0.0,"[['mr. mayor', 'person', '0.9'], ['mr. regional governor', 'person', '0.9'], ['new democracy', 'political party', '0.9'], ['leros', 'location', '0.8'], ['lipsi', 'location', '0.8'], ['arki', 'location', '0.8'], ['patmos', 'location', '0.9'], ['dodecanese', 'location', '0.9'], ['greece', 'country', '0.9'], ['may 21st', 'date', '0.8'], ['four years', 'date', '0.7']]"
2,"You know my love for the Dodecanese, especially for the smaller islands. At this point, I would like to say a special thank you to an amazing Regional Governor, George Hadjimarkos, with whom we have excellent cooperation, just as we have excellent cooperation with your Mayor. Together, we can solve many small and big problems. The truth is that we have direct communication with George Hadjimarkos. He has the comfort to send me frequent messages with small problems that plague you. But if there is one thing - I believe - that we have proven over these four years, it is that there is no problem that is ""small"" enough that we do not want to deal with because what may be small for us is big for you. And I believe that the results of our policy are the ones that were finally rewarded at the ballot box on 21 May. I think you are also experiencing them here in Patmos, with tourist traffic that is going from good to better, with new investments being made, with more jobs, with better wages.","Ξέρετε την αγάπη μου για τα Δωδεκάνησα και ειδικά την αγάπη μου για τα μικρότερα νησιά. Πράγματι, θέλω στο σημείο αυτό να πω ένα ξεχωριστό ευχαριστώ σε έναν καταπληκτικό Περιφερειάρχη, στον Γιώργο Χατζημάρκο, με τον οποίον έχουμε μία άριστη συνεργασία, όπως έχουμε άριστη συνεργασία και με το Δήμαρχό σας και μαζί μπορούμε και λύνουμε πολλά μικρά και μεγάλα προβλήματα.Με τον Γιώργο Χατζημάρκο η αλήθεια είναι ότι έχουμε μία απευθείας επικοινωνία. Έχει την άνεση να μου στέλνει συχνά μηνύματα με μικρά προβλήματα τα οποία σας ταλανίζουν, αλλά αν κάτι -πιστεύω- ότι έχουμε αποδείξει αυτά τα τέσσερα χρόνια, είναι ότι δεν υπάρχει πρόβλημα αρκετά «μικρό» με το οποίο να μην θέλουμε να ασχοληθούμε, γιατί αυτό που μπορεί να είναι μικρό για εμάς είναι μεγάλο για εσάς.Και πιστεύω ότι τα αποτελέσματα της πολιτικής μας είναι αυτά τα οποία επιβραβεύθηκαν τελικά στην κάλπη της 21ης Μαΐου. Νομίζω τα ζείτε και εσείς εδώ στην Πάτμο, με μια τουριστική κίνηση η οποία πηγαίνει από το καλό στο καλύτερο, με νέες επενδύσεις οι οποίες γίνονται, με περισσότερες θέσεις εργασίας, με καλύτερους μισθούς.",political agenda,tourism,other,0.8,0.0,0.0,"[['george hadjimarkos', 'person', '0.8'], ['regional governor', 'organization', '0.6'], ['mayor', 'person', '0.5'], ['dodecanese', 'location', '0.9'], ['patmos', 'location', '0.7'], ['21 may', 'date', '0.5']]"
3,"I always have a great concern for the young people who work seasonally on our islands. I believe that most investments should be made for these children and that wages should eventually go up. Our key commitment for the next four years is to provide better wages for everyone, and we can achieve that as long as the country remains on a growth path.","Ξέρετε, έχω πάντα μια μεγάλη έννοια για τα νέα παιδιά τα οποία δουλεύουν σεζόν στα νησιά μας και πάντα λέω ότι γι’ αυτά τα παιδιά πρέπει να γίνονται οι περισσότερες επενδύσεις και να ανεβαίνουν και οι μισθοί, τελικά. Διότι μία από τις βασικές μας δεσμεύσεις για την δεύτερη τετραετία είναι καλύτεροι μισθοί για όλες και για όλους και μπορούμε να το πετύχουμε αυτό όσο η χώρα παραμένει σε τροχιά ανάπτυξης.",political agenda,employment,wages,0.6,0.0,0.0,"[['young people', 'group of people', '0.9'], ['islands', 'location', '0.7'], ['children', 'group of people', '0.5'], ['country', 'country', '0.6'], ['four years', 'date', '0.6']]"
4,"Of course, all of our islands have their own particularities and problems, mainly related to health. We have taken steps, but we still have a lot more to do. We know better than anyone that a lot of work needs to be done on the level of health and accessibility issues.","Βέβαια, όλα τα νησιά μας έχουν τις δικές τους ξεχωριστές ιδιαιτερότητες, προβλήματα που έχουν να κάνουν κυρίως με την υγεία. Έχουμε κάνει βήματα αλλά έχουμε να κάνουμε πολλά περισσότερα ακόμα, το ξέρουμε εμείς πρώτοι και πολύ καλύτερα και από σας ότι πρέπει να γίνει μεγάλη δουλειά στο επίπεδο της υγείας, στα ζητήματα της προσβασιμότητας.",political agenda,health,public health system,-0.2,0.0,0.0,"[['island', 'location', '0.5'], ['health', 'organization', '0.5']]"
5,"The issue of seaplanes, which we have been struggling with for a long time here in Patmos, will be solved. I think it will bring additional quality tourism and provide a direct air link between Patmos and major urban centers.","Τα ζητήματα των υδροπλάνων, τα οποία τα παλεύουμε πολύ καιρό εδώ στην Πάτμο, αλλά θα το λύσουμε κι αυτό το θέμα, γιατί νομίζω ότι θα μπορέσει να σας φέρει και πρόσθετο ποιοτικό τουρισμό και θα είναι μία απευθείας αεροπορική σύνδεση της Πάτμου με τα μεγάλα αστικά κέντρα.",political agenda,tourism,other,0.6,0.0,0.0,"[['patmos', 'location', '1.0'], ['tourism', 'organization', '0.2']]"
6,"So we still have a lot of work to do. But if we are to roll up our sleeves and start working on June 26th, the ballot boxes must be refilled with many blue ballots on June 25th. 2.4 million of our fellow citizens have put their trust in us. We can increase that number even more. We will go to the polls in June with the air of a winner, but not with the arrogance that often accompanies a winner who scores a big score. I am here on the island of Revelation, and the result was a revelation. It was certainly a revelation for those who saw Greece as 'black' and saw everything going from bad to worse because that was the image that the opposition presented of the state of our country. We were saying, 'look, the glass is half full, not half empty.' We have taken many important steps in this four-year period. Especially those of you who are close to Turkey know how much safer you feel today with the New Democracy government.","Έχουμε, λοιπόν, πολλή δουλειά ακόμα να κάνουμε μπροστά μας, αλλά για να μπορέσουμε να σηκώσουμε τα μανίκια και να αρχίσουμε να δουλεύουμε στις 26 Ιουνίου, πρέπει στις 25 Ιουνίου οι κάλπες να ξαναγεμίσουν με πολλά γαλάζια ψηφοδέλτια: 2,4 εκατομμύρια συμπολίτες μας, μας εμπιστεύτηκαν. Μπορούμε να αυξήσουμε κι άλλο αυτό τον αριθμό.Θα πάμε στις κάλπες του Ιουνίου με τον αέρα του νικητή, αλλά όχι με την αλαζονεία η οποία συχνά συνοδεύει το νικητή ο οποίος πετυχαίνει ένα μεγάλο σκορ. Γιατί πράγματι είμαι εδώ στο νησί της Αποκαλύψεως και το αποτέλεσμα ήταν μια αποκάλυψη. Σίγουρα ήταν μια αποκάλυψη γι’ αυτούς οι οποίοι έβλεπαν την Ελλάδα «μαύρη» και έβλεπαν όλα να πηγαίνουν από το κακό στο χειρότερο, γιατί αυτή ήταν η εικόνα την οποία παρουσίαζε η αντιπολίτευση για την κατάσταση της χώρας μας. Και εμείς λέγαμε, «κοιτάξτε, το ποτήρι να το βλέπουμε μισογεμάτο και όχι μισοάδειο». Κάναμε πολλά σημαντικά βήματα αυτή την τετραετία. Ειδικά εσείς που είστε κοντά στην Τουρκία ξέρετε πόσο πιο ασφαλείς αισθάνεστε, σήμερα, με την κυβέρνηση της Νέας Δημοκρατίας.",political agenda,elections,other,0.4,0.2,0.0,"[['june 26th', 'date', '1.0'], ['june 25th', 'date', '1.0'], ['2.4 million', 'group of people', '1.0'], ['greece', 'country', '1.0'], ['new democracy', 'political party', '1.0']]"
7,"You know that we are the ones who tackled the refugee problem at its root. You know that we are the ones who strengthened the armed forces. You may not see them, but know that the Rafale is flying overhead. The F-35 will join the air force in 2028, as we have received the final approval needed from the US Congress.","Ξέρετε ότι εμείς είμαστε αυτοί που αντιμετωπίσαμε στη ρίζα του το προσφυγικό πρόβλημα. Ξέρετε ότι εμείς είμαστε αυτοί που ενισχύσαμε τις Ένοπλες Δυνάμεις. Δεν τα βλέπετε, αλλά να ξέρετε ότι τα Rafale πετάνε από πάνω σας. Τα F-35 θα ενταχθούν στην Πολεμική Αεροπορία το 2028, καθώς πήραμε και την τελευταία έγκριση η οποία χρειαζόταν από το αμερικανικό Κογκρέσο.",political agenda,national security,defense spending,0.5,0.0,0.0,"[['1. rafale', 'organization', '0.7'], ['2. f-35', 'organization', '0.7'], ['3. us congress', 'political party', '0.6'], ['4. 2028', 'date', '0.5']]"
8,"And of course, only a strong Greece with strong Armed Forces, strong alliances, and a strong economy can actually negotiate with Turkey on the major dispute, which is none other than the delimitation of maritime zones, EEZ, and continental shelf in the Aegean and the Eastern Mediterranean. You know better than I do that we have nothing to divide with the Turkish people. We were the first to rush to their aid in the devastating earthquake. The men and women of the EMAK were the first to be there with the Greek flag to rescue people trapped in the rubble. We seek to have a good relationship, but always with caution, without making any discount to our sovereignty and our sovereign rights.","Και βέβαια, μόνο μια ισχυρή Ελλάδα με ισχυρές Ένοπλες Δυνάμεις, με ισχυρές συμμαχίες και με δυνατή οικονομία μπορεί πράγματι να διαπραγματευτεί με την Τουρκία τη μία μεγάλη διαφορά, που δεν είναι άλλη από την οριοθέτηση των θαλασσίων ζωνών, ΑΟΖ και υφαλοκρηπίδας, στο Αιγαίο και στην Ανατολική Μεσόγειο.Εσείς το ξέρετε καλύτερα από εμένα, δεν έχουμε να χωρίσουμε κάτι με τον τουρκικό λαό. Ήμασταν οι πρώτοι που σπεύσαμε να τους στηρίξουμε στον καταστροφικό σεισμό, οι άντρες και οι γυναίκες της ΕΜΑΚ ήταν οι πρώτοι που βρέθηκαν εκεί, με την ελληνική σημαία, να σώζουν εγκλωβισμένους στα συντρίμμια. Και εμείς θέλουμε, επιδιώκουμε να έχουμε αυτή την καλή σχέση αλλά πάντα, προσοχή, χωρίς να κάνουμε καμία έκπτωση στην κυριαρχία μας και στα κυριαρχικά μας δικαιώματα.",political agenda,national security,other,0.4,0.0,0.0,"[['greece', 'country', '1.0'], ['armed forces', 'group of people', '0.7'], ['turkey', 'country', '1.0'], ['eez', 'date', '0.7'], ['aegean', 'location', '0.7'], ['eastern mediterranean', 'location', '0.7'], ['turkish', 'political party', '0.7'], ['emak', 'organization', '0.7']]"
9,"This is the challenge of securing a prosperous Greece that we must win. To achieve this, we need your support in the elections on June 25th. I am confident that I will have your support, not only here in Patmos and throughout the Dodecanese, but also across all of Greece. The citizens have drawn their conclusions, and I believe that Greek society demonstrated great maturity in the May 21st election. They rejected lies, division, darkness, and toxicity, and instead voted for progress, development, decency, and political discourse based on sound arguments.","Αυτό, λοιπόν, το στοίχημα μιας ασφαλούς και ευημερούσας Ελλάδας πρέπει να το κερδίσουμε. Για να το κερδίσουμε χρειαζόμαστε τη στήριξή σας στις εκλογές της 25ης Ιουνίου. Να ξέρετε, είμαι σίγουρος ότι θα την έχω και είμαι σίγουρος ότι θα την έχω και εδώ στην Πάτμο και σε όλα τα Δωδεκάνησα και σε όλη την Ελλάδα. Γιατί οι πολίτες, ξέρετε, έχουν βγάλει πια τα συμπεράσματά τους. Και πιστεύω ότι η ελληνική κοινωνία σε αυτή την κάλπη της 21ης Μαΐου ψήφισε με πολύ μεγάλη ωριμότητα. Γύρισε την πλάτη της στο ψέμα, στο διχασμό, στο μαύρο, στην τοξικότητα και ψήφισε «ναι» στη προκοπή, στην ανάπτυξη, στην ευπρέπεια, στον πολιτικό λόγο με επιχειρήματα.",political agenda,elections,other,0.7,0.0,0.0,"[['greece', 'country', '1.0'], ['june 25th', 'date', '1.0'], ['patmos', 'location', '0.9'], ['dodecanese', 'location', '0.6'], ['may 21st', 'date', '1.0']]"
10,"We do not want to fight, nor do we want to get into debates that ultimately do not interest the citizens. Problems, you know, have no color. If you have a shortage here at your health center and you're short a doctor, we have to come in and solve the problem, and that's not a blue problem, that's not a red problem, that's not a green problem.","Εμείς δεν θέλουμε να τσακωνόμαστε, ούτε να μπαίνουμε σε αντιπαραθέσεις που τελικά δεν ενδιαφέρουν τους πολίτες. Τα προβλήματα, ξέρετε, δεν έχουν χρώμα. Αν έχετε μία έλλειψη εδώ στο κέντρο υγείας σας και σας λείπει κάποιος γιατρός, πρέπει εμείς να έρθουμε και να το λύσουμε το πρόβλημα και αυτό δεν είναι ούτε γαλάζιο πρόβλημα, ούτε κόκκινο πρόβλημα, ούτε πράσινο πρόβλημα.",political agenda,other,other,0.0,0.0,0.0,"[['citizens', 'group of people', '0.8'], ['health center', 'organization', '0.7'], ['doctor', 'person', '0.6'], ['blue', 'political party', '0.4'], ['red', 'political party', '0.4'], ['green', 'political party', '0.4']]"
