id,text,text_el,is_criticism,topic-context,subtopic-context,sentiment,polarization-definition,populism-definition,ner-limited
1,"Mr Regional Governor, friends, and Young Democrats, thank you from the bottom of my heart for this impressive welcome. I left Athens in cloudy weather and arrived in Mani in sunshine. June 25th will be sunny for our country. A new day will dawn, and we will reaffirm the strong mandate we received on May 21st. We will commit ourselves in this week leading up to next Sunday's elections to raise the bar of our expectations even higher and exceed it. Mr President and Mr Mayor, there was no way the election period could end without me keeping my commitment to be in Laconia, especially here in Gythio, the capital of Mani, to say a big thank you. To say a big thank you for your enduring support for our party, New Democracy. I was, if I am not mistaken, 23 years old, and I still remember Konstantinos Mitsotakis' trek to Mani. Some of you will remember it. I know that my family here had many friends and many girlfriends. After all, the ties between Crete and Mani are unbreakable; we are brothers and sisters. But I want us all to make a bet together: the percentage of New Democracy in Laconia must say '5' on the front. For a few hundred votes, you were ""stolen"" by the Dodecanese; you have to ""fix"" that. I am sure, friends, that you will. The Mayor may have said that the election has been discounted. I will ask you in this week left to run our race to allow no complacency. The polls are empty; they need to be refilled. They will be refilled with many New Democracy ballots. It will be an opportunity in this last week, as we head towards the elections, not to engage in sterile confrontations with parties that have anyway discounted their own defeat but to talk positively about our own program, about what we want to do in our country over the next four years. And we have a lot to do. We have a lot of important work to continue and to complete - of course, and in Mani, I'll say the Mani stuff, don't worry.","Κύριε Περιφερειάρχα, φίλες και φίλοι, Νεοδημοκράτισσες και Νεοδημοκράτες, σας ευχαριστώ από καρδιάς γι’ αυτή την εντυπωσιακή υποδοχή. Έφυγα από την Αθήνα με συννεφιά και έφτασα στη Μάνη με λιακάδα. Ηλιόλουστη θα είναι και η 25η Ιουνίου για την πατρίδα μας. Θα ξημερώσει μια νέα μέρα, θα επαναβεβαιώσουμε την ισχυρή εντολή την οποία λάβαμε την 21η Μαΐου. Θα δεσμευτούμε αυτή την εβδομάδα που απομένει μέχρι τις εκλογές της άλλης Κυριακής να βάλουμε τον πήχη των προσδοκιών μας ακόμα πιο ψηλά και να τον ξεπεράσουμε. Κύριε Πρόεδρε, κύριε Δήμαρχε, δεν υπήρχε περίπτωση να ολοκληρωθεί η προεκλογική περίοδος χωρίς να τηρήσω τη δέσμευσή μου να βρεθώ στη Λακωνία, ειδικά εδώ στο Γύθειο, στην πρωτεύουσα της Μάνης, για να σας πω ένα μεγάλο ευχαριστώ. Να σας πω ένα μεγάλο ευχαριστώ για τη διαχρονική στήριξή σας στην παράταξή μας, στη Νέα Δημοκρατία. Ήμουν, αν δεν κάνω λάθος, 23 ετών και θυμάμαι ακόμα το οδοιπορικό του Κωνσταντίνου Μητσοτάκη στη Μάνη, κάποιοι από εσάς θα το θυμάστε. Ξέρω ότι εδώ η οικογένειά μου είχε πολλούς φίλους, πολλές φίλες. Εξάλλου, οι δεσμοί Κρήτης και Μάνης είναι ακατάλυτοι, είμαστε αδέρφια. Όμως θέλω όλοι μαζί να βάλουμε και ένα στοίχημα: το ποσοστό της Νέας Δημοκρατίας στη Λακωνία πρέπει να γράφει «5» μπροστά. Για λίγες εκατοντάδες ψήφους σας «έκλεψαν» την πρωτιά τα Δωδεκάνησα, αυτό πρέπει να το «διορθώσετε». Είμαι σίγουρος, φίλες και φίλοι, ότι θα το κάνετε. Ο Δήμαρχος μπορεί να είπε ότι οι εκλογές έχουν προεξοφληθεί, εγώ θα σας ζητήσω αυτή την εβδομάδα που μένει να κάνουμε τον αγώνα μας, να μην επιτρέψουμε κανέναν εφησυχασμό. Οι κάλπες είναι άδειες, πρέπει να ξαναγεμίσουν. Θα ξαναγεμίσουν με πολλά ψηφοδέλτια της Νέας Δημοκρατίας. Θα είναι μια ευκαιρία αυτή η τελευταία εβδομάδα, καθώς πηγαίνουμε προς τις εκλογές, να μην αναλωθούμε σε στείρες αντιπαραθέσεις με κόμματα τα οποία ούτως ή αλλιώς έχουν προεξοφλήσει τη δικιά τους ήττα, αλλά να μιλήσουμε θετικά για το δικό μας πρόγραμμα, γι’ αυτά που θέλουμε να κάνουμε στην πατρίδα μας την επόμενη τετραετία. Και έχουμε πολλά να κάνουμε. Έχουμε πολύ σημαντικό έργο να συνεχίσουμε και να ολοκληρώσουμε -βέβαια και στη Μάνη, θα τα πω τα της Μάνης, μην ανησυχείτε.",political agenda,elections,other,0.5,0,0,"[['mr regional governor', 'person', '1.0'], ['young democrats', 'group of people', '1.0'], ['athens', 'location', '1.0'], ['mani', 'location', '1.0'], ['june 25th', 'date', '1.0'], ['may 21st', 'date', '1.0'], ['new democracy', 'political party', '1.0'], ['laconia', 'location', '1.0'], ['gythio', 'location', '1.0'], ['konstantinos mitsotakis', 'person', '1.0'], ['crete', 'location', '1.0'], ['dodecanese', 'location', '1.0'], ['mayor', 'person', '1.0']]"
2,"Of course, let me begin by expressing once again my anguish and the anguish of all of us. We are all shocked by the tragic shipwreck off the coast of Pylos, in international waters - I stress this - which unfortunately cost the lives of hundreds of persecuted people who were looking for a better tomorrow. But as shocked as we are, friends, we must be equally outraged at the wretched traffickers. For these bastards - allow me this harsh language - who traffic in human suffering, exploit human frailties and load persecuted people into rotten boats, at great risk of sinking in the middle of the Mediterranean. But as angry as we are with these traffickers, who are ultimately the real perpetrators of this tragedy, I believe we are equally disappointed with those who, in the midst of this tragedy, have once again found an opportunity, instead of turning their attention to the traffickers, to denounce - in effect - their own country and the Coast Guard, which has made a commendable effort to save hundreds of people in extremely difficult conditions. I do not want to spend too much time with them. We leave them alone in their isolation. I just want to remind you that all those who today present themselves as the supposedly authentic exponents of humanity were the same people who allowed the 'Moria dungeons'. They were the same ones who opened the borders of the homeland to millions of people who crossed Greece in 2015. They were the same ones who a few days ago were condemned by the European Court of Human Rights for the miserable conditions that prevailed in Moria at the time. And they are the ones who come now and tell us that they are the only ones who have the right to talk about humanitarianism.","Βέβαια, επιτρέψτε μου να ξεκινήσω εκφράζοντας για ακόμα μια φορά την οδύνη μου και την οδύνη όλων μας. Είμαστε όλοι συγκλονισμένοι από το τραγικό ναυάγιο ανοιχτά της Πύλου, σε διεθνή ύδατα -το τονίζω αυτό- που στοίχισε, δυστυχώς, τη ζωή σε εκατοντάδες κατατρεγμένους ανθρώπους οι οποίοι αναζήτησαν ένα καλύτερο αύριο. Αλλά όσο συγκλονισμένοι είμαστε, φίλες και φίλοι, τόσο εξοργισμένοι πρέπει να είμαστε για τους άθλιους διακινητές. Γι’ αυτά τα καθάρματα -επιτρέψτε μου αυτή τη σκληρή γλώσσα- που εμπορεύονται τον ανθρώπινο πόνο, εκμεταλλεύονται τις ανθρώπινες αδυναμίες και φορτώνουν κατατρεγμένους ανθρώπους σε σαπιοκάραβα, με μεγάλο κίνδυνο να βουλιάξουν στη μέση της Μεσογείου. Αλλά όσο οργισμένοι είμαστε με αυτούς τους διακινητές, που είναι τελικά και οι πραγματικοί υπαίτιοι αυτής της τραγωδίας, πιστεύω άλλο τόσο απογοητευμένοι είμαστε με αυτούς οι οποίοι πάνω σε αυτή την τραγωδία βρήκαν και πάλι ευκαιρία, αντί να στρέψουν την προσοχή τους στους διακινητές, να καταγγείλουν -ουσιαστικά- την ίδια τους τη χώρα και το Λιμενικό, το οποίο έκανε μια αξιέπαινη προσπάθεια να σώσει εκατοντάδες ανθρώπους σε εξαιρετικά δύσκολες συνθήκες. Δεν θέλω να ασχοληθώ πολύ μαζί τους. Τους αφήνουμε μόνους τους στην απομόνωσή τους. Απλά θέλω μόνο να θυμίσω ότι όλοι αυτοί οι οποίοι σήμερα εμφανίζονται ως οι δήθεν αυθεντικοί εκφραστές της ανθρωπιάς ήταν οι ίδιοι οι οποίοι επέτρεψαν τα «κάτεργα της Μόριας». Ήταν οι ίδιοι που άνοιξαν τα σύνορα της πατρίδος σε εκατομμύρια ανθρώπους, οι οποίοι πέρασαν από την Ελλάδα το 2015. Ήταν οι ίδιοι οι οποίοι πριν από λίγες μέρες καταδικάστηκαν από το Ευρωπαϊκό Δικαστήριο Δικαιωμάτων του Ανθρώπου για τις άθλιες συνθήκες που επικρατούσαν τότε στη Μόρια. Και αυτοί έρχονται τώρα και μας λένε ότι είναι οι μόνοι οι οποίοι έχουν το δικαίωμα να μιλάνε για ανθρωπισμό. ",criticism,migration,borders,-0.4,0.6,0.1,"[['pylos', 'location', '0.9'], ['mediterranean', 'location', '0.8'], ['coast guard', 'organization', '0.8'], ['greece', 'country', '0.7'], ['european court of human rights', 'organization', '0.7'], ['moria', 'location', '0.6']]"
3,"Look, friends, we have followed a different policy on refugees. A policy of fairness, rigor, surveillance, and border control. A policy that has resulted in a 90% reduction in illegal entries into our country. In this way, we have not only protected our borders but also relieved our islands of structures with tens of thousands of refugees and migrants. Ultimately, we have saved lives. Because the fewer people there are at sea, the less chance of a tragic shipwreck like the one that happened a few days ago. We actually crushed the traffickers. We have protected our borders, the borders of Europe, and saved thousands of people who were in danger at sea. It is really unfair today for our coastguard to be insinuated by some so-called solidarity people that they have not done their job well. But so be it. We leave them to the judgment of society. What I want to say to you here again, from Gythio, from Laconia, is that the policy of guarding our country's borders will continue. The fence on the Evros will be completed, our country has borders that it must guard, and at the same time, we will always be there to rescue any persecuted person who needs our help. This is a policy that has now been recognized as a sound policy by Europe as a whole. European asylum and immigration policy start with the guarding of the external borders of the European Union. This is Greek national policy and has become European policy. And that is how it should be.","Κοιτάξτε, φίλες και φίλοι, εμείς ακολουθήσαμε μια διαφορετική πολιτική στο προσφυγικό. Μια πολιτική δίκαιη, αυστηρή, επιτήρησης και φύλαξης των συνόρων. Μια πολιτική η οποία είχε αποτέλεσμα να μειωθούν κατά 90% οι παράνομες είσοδοι στη χώρα μας. Με αυτό τον τρόπο δεν προστατεύσαμε μόνο τα σύνορά μας. Δεν απαλλάξαμε μόνο τα νησιά μας από δομές με δεκάδες χιλιάδες πρόσφυγες και μετανάστες. Τελικά με αυτόν τον τρόπο σώσαμε ζωές. Διότι όσο λιγότεροι άνθρωποι βρίσκονται στην θάλασσα, τόσο λιγότερες οι πιθανότητες να συμβεί ένα τραγικό ναυάγιο σαν και αυτό το οποίο συνέβη πριν από κάποιες μέρες. Εμείς ουσιαστικά συντρίψαμε τους διακινητές. Εμείς συντρίψαμε τους διακινητές. Προστατεύσαμε τα σύνορά μας, προστατεύσαμε τα σύνορα της Ευρώπης, σώσαμε ταυτόχρονα χιλιάδες ανθρώπους οι οποίοι κινδύνευσαν στη θάλασσα. Και είναι πραγματικά πάρα-πάρα πολύ άδικο σήμερα για το Λιμενικό μας να αφήνονται από κάποιους δήθεν αλληλέγγυους υπονοούμενα ότι αυτοί οι άνθρωποι -οι οποίοι 24 ώρες το 24ωρο, 365 μέρες τον χρόνο, βρίσκονται εκεί έξω, παλεύουν με τα κύματα, σώζουν ανθρώπινες ζωές και προστατεύουν τα σύνορά μας- να αφήνονται υπονοούμενα ότι δήθεν δεν έκαναν καλά τη δουλειά τους. Ας είναι όμως. Τους αφήνουμε, τους παραδίδουμε στην κρίση της κοινωνίας. Αυτό το οποίο θέλω να σας πω εδώ και πάλι, από το Γύθειο, από τη Λακωνία, είναι ότι η πολιτική φύλαξης των συνόρων της πατρίδας μας θα συνεχιστεί. Ο φράχτης στον Έβρο θα ολοκληρωθεί, η πατρίδα μας έχει σύνορα τα οποία πρέπει να φυλάσσει και ταυτόχρονα θα είμαστε πάντα εκεί να σώσουμε τον οποιοδήποτε κατατρεγμένο χρειάζεται τη βοήθειά μας. Αυτή η πολιτική είναι μία πολιτική η οποία αναγνωρίστηκε, πια, συνολικά από την Ευρώπη ως ορθή πολιτική. Διότι αν αφήσουμε τα σύνορα της Ευρώπης ελεύθερα και έρχεται ο καθένας, τότε καταλαβαίνετε ότι οι αριθμοί αυτών οι οποίοι θα θέλουν να περάσουν στη Μεσόγειο θα αυξηθούν εκθετικά και τότε θα αυξάνονται ολοένα και περισσότερο οι πιθανότητες τραγικών ναυαγίων. Η ευρωπαϊκή πολιτική ασύλου και μετανάστευσης, ξεκινάει με τη φύλαξη των εξωτερικών συνόρων της Ευρωπαϊκής Ένωσης. Αποτελεί, αυτό, ελληνική εθνική πολιτική και έγινε και ευρωπαϊκή πολιτική. Και έτσι πρέπει να είναι.",political agenda,migration,other,0.8,0.2,0.2,"[['gythio', 'location', '1.0'], ['laconia', 'location', '1.0'], ['europe', 'location', '1.0'], ['european union', 'organization', '1.0'], ['greek', 'political party', '1.0'], ['90%', 'date', '1.0']]"
4,"Friends, as I said, I want to use these few days left before the elections to talk even more convincingly about what we want to do in the next four years. The citizens rewarded the seriousness, efficiency, integrity, and decency of the New Democracy government at the ballot box on May 21. They acknowledged that we have stood by society through all the difficulties, credited us for holding the country's ship steady in extremely difficult times, and rewarded us for keeping all our key election commitments. I can assure you that I will not jeopardize this relationship of trust that we have now built with Greek society under any circumstances.","Φίλες και φίλοι, όπως σας είπα, θέλω να αξιοποιήσουμε αυτές τις λίγες μέρες που έμειναν μέχρι τις εκλογές για να μιλήσουμε ακόμα πιο πειστικά για το τι θέλουμε να κάνουμε την επόμενη τετραετία. Οι πολίτες στην κάλπη της 21ης Μαΐου επιβράβευσαν τη σοβαρότητα, την αποτελεσματικότητα, την ακεραιότητα, την ευπρέπεια της κυβέρνησης της Νέας Δημοκρατίας. Μας αναγνώρισαν ότι σταθήκαμε δίπλα στην κοινωνία σε όλα τα δύσκολα. Μας πίστωσαν ότι σε εξαιρετικά δύσκολες στιγμές κρατήσαμε σταθερό το σκάφος της χώρας και μας επιβράβευσαν για το γεγονός ότι τηρήσαμε όλες τις κεντρικές προεκλογικές μας δεσμεύσεις. Αυτή τη σχέση εμπιστοσύνης, την οποία έχουμε χτίσει πια με την ελληνική κοινωνία, σας διαβεβαιώνω ότι δεν πρόκειται σε καμία περίπτωση να τη διακινδυνεύσω.",political agenda,elections,election spending,0.7,0,0,"[['new democracy', 'organization', '1.0'], ['greek', 'location', '0.9'], ['may 21', 'date', '1.0']]"
5,"That is why the program that you have in your hands, ""Steady, Boldly Forward for Greece 2027,"" is a commitment of New Democracy that will be strictly adhered to. We know that we can do what we say we will do. We will continue to strive for a policy that puts the emphasis on results first and foremost, on how to keep growth rates high, on creating more well-paid jobs, especially for young people who need to return from abroad, and for the young children who stayed in our country to know that they will find a good job with a good salary, so that they too can move on and have their own family.","Γι’ αυτό και το πρόγραμμα το οποίο έχετε στα χέρια σας, «Σταθερά, Τολμηρά Μπροστά για την Ελλάδα του 2027», αποτελεί δεσμεύσεις της Νέας Δημοκρατίας οι οποίες θα τηρηθούν απαρέγκλιτα.
Εμείς αυτά τα οποία σας λέμε ότι θα κάνουμε, ξέρουμε ότι μπορούμε να τα κάνουμε. Θα εξακολουθούμε να αγωνιζόμαστε για μία πολιτική η οποία θα δίνει πρώτα και πάνω απ’ όλα έμφαση στο αποτέλεσμα. Για το πώς θα κρατήσουμε τους ρυθμούς ανάπτυξης υψηλούς, για να δημιουργούμε περισσότερες καλοπληρωμένες θέσεις εργασίας, ειδικά για τα νέα παιδιά τα οποία πρέπει να γυρίσουν από το εξωτερικό. Και τα νέα παιδιά που έμειναν στην πατρίδα μας, να ξέρουν ότι θα βρουν μια καλή δουλειά με έναν καλό μισθό, ώστε να μπορέσουν και αυτά να προχωρήσουν, να κάνουν τη δική τους οικογένεια.",political agenda,employment,youth,0.53,0,0,"[['new democracy', 'political party', '1.0'], ['greece', 'country', '1.0'], ['2027', 'date', '1.0']]"
6,"This policy, my friends, has a reflection in your own countries. You can see, dear Mayor, how much better tourism is doing. You can now see how the whole of Mani is getting back on the world tourist map with many extremely interesting private investments being made, small-scale investments, as they should be in a region like Mani.","Αυτή η πολιτική, φίλες και φίλοι, το βλέπετε, έχει αντανάκλαση και εδώ στα δικά σας τα μέρη. Βλέπετε, αγαπητέ μου Δήμαρχε, πόσο καλύτερα πηγαίνει ο τουρισμός. Βλέπετε πια πώς ολόκληρη η Μάνη ξαναμπαίνει στον παγκόσμιο τουριστικό χάρτη με πολλές εξαιρετικά ενδιαφέρουσες ιδιωτικές επενδύσεις που γίνονται, μικρής κλίμακας, όπως πρέπει να είναι σε μια περιοχή σαν τη Μάνη.",political agenda,tourism,investments,0.75,0,0,"[['1. mayor', 'person', '0.7'], ['2. mani', 'location', '0.9']]"
7,"We have to preserve the specificity of the region, its natural environment, and its cultural environment.","Γιατί αυτό το οποίο πρέπει να διαφυλάξουμε ως κόρη οφθαλμού είναι την ιδιαιτερότητα της περιοχής, το φυσικό της περιβάλλον, το πολιτιστικό της περιβάλλον.",political agenda,environment,other,0.6,0,0,[]
8,"All of these investments being made are additional wealth for the region. They provide better jobs, more income, and more work for the primary sector. The region's quality products can be made available to visitors who come to the area.","Όμως όλες αυτές οι επενδύσεις που γίνονται είναι πρόσθετος πλούτος για την περιοχή. Καλύτερες θέσεις εργασίας, περισσότερο εισόδημα, περισσότερη δουλειά και για τον πρωτογενή τομέα. Τα ποιοτικά του προϊόντα μπορούν να διατίθενται στους επισκέπτες οι οποίοι έρχονται στην περιοχή.",political agenda,agricultural policy,investments,0.8,0,0,"[['region', 'location', '1.0'], ['primary sector', 'organization', '0.6']]"
9,"So, we want to realize and complete our dream of environmentally friendly development.","Το όνειρό μας αυτό, λοιπόν, για μια ανάπτυξη φιλική προς το περιβάλλον, εμείς θέλουμε να το υλοποιήσουμε και να το ολοκληρώσουμε.",political agenda,environment,other,0.5,0,0,[]
10,"Just as we want to talk and do important things for public health the next day. Public health and the reform of the National Health System are personal bets of mine. I still remember my visit to the health centre in Areopolis when I was still the leader of the opposition, and the substantive discussion we had about how we need to change our whole approach to healthcare, emphasizing primary care and prevention. These policies have started to be implemented. For the first time in our country, we are running prevention programs designed to identify diseases before you know about them. The 'Fofi Gennimata' program for women over 50 for breast cancer has already enabled us to diagnose almost 10,000 women who had breast cancer but did not know it. They found out through a screening test which they had, either in a public or private facility, but free of charge. And now we are allowed to intervene, and these women are allowed to be cured. We want to put the same emphasis on our health centers. Here, the health center in Gythio - I understand that it has already acquired an ambulance - is relatively well-equipped. But I want you to know that the Recovery Fund will finance the new equipment of the health center, and you will have a model health center here in Gythio. Just like the model health center in Areopolis. Because we want to be able to treat patients before they eventually reach our hospitals. And, of course, Laconia will also have the very great dowry of having perhaps the most modern hospital in the country in Sparta in 2026, the great donation of the Stavros Niarchos Foundation, which will go ahead with our support. So you understand how important it is to have healthcare that starts with prevention, that provides good primary care, that we now have personal doctors. The institution of the Personal Doctor is now taking root in Greek society. But, at the same time, for our fellow citizens who will need a hospital, they will be able to get to a state-of-the-art hospital with fast transfers to get the care they deserve. This will truly be a health revolution. And here in Laconia in particular, we will be able to provide a health service that will be as high quality as you deserve to have, equivalent to the best health service in any European country. This is my goal, and we are not going to discount this priority.","Όπως θέλουμε ταυτόχρονα, την επόμενη μέρα, να μιλήσουμε και να κάνουμε σημαντικά πράγματα για τη δημόσια υγεία. Η δημόσια υγεία και η αναμόρφωση του Εθνικού Συστήματος Υγείας αποτελεί ένα προσωπικό μου στοίχημα. Λοιπόν, θυμάμαι ακόμα πολύ καλά την επίσκεψή μου στο κέντρο υγείας στην Αρεόπολη, όταν ήμουν ακόμα αρχηγός της αξιωματικής αντιπολίτευσης, και την πολύ ουσιαστική συζήτηση την οποία είχαμε για το πώς πρέπει να αλλάξουμε όλη την προσέγγιση της υγείας μας, δίνοντας έμφαση στην πρωτοβάθμια περίθαλψη και στην πρόληψη. Αυτές οι πολιτικές έχουν αρχίσει και υλοποιούνται. Για πρώτη φορά στη χώρα μας τρέχουμε προγράμματα πρόληψης, τα οποία έχουν ως σκοπό να εντοπίσουμε τις ασθένειες πριν καλά-καλά τις γνωρίζετε και εσείς. Το πρόγραμμα «Φώφη Γεννηματά» για τις γυναίκες άνω των 50 για τον καρκίνο του μαστού, μάς έχει ήδη επιτρέψει να διαγνώσουμε σχεδόν 10.000 γυναίκες που είχαν καρκίνο του μαστού αλλά δεν το γνώριζαν. Το έμαθαν μέσα από μια προληπτική εξέταση την οποία έκαναν, είτε σε δημόσια είτε σε ιδιωτική δομή, αλλά δωρεάν. Και τώρα μας επιτρέπεται να παρέμβουμε και αυτές οι γυναίκες να θεραπευτούν. Την ίδια έμφαση θέλουμε να δώσουμε και στα κέντρα υγείας μας. Εδώ το κέντρο υγείας στο Γύθειο -έμαθα ότι απέκτησε ήδη ασθενοφόρο- είναι σχετικά καλά εξοπλισμένο. Όμως, θέλω να ξέρετε ότι από το Ταμείο Ανάκαμψης θα χρηματοδοτηθεί ο νέος εξοπλισμός του κέντρου υγείας και θα έχετε ένα κέντρο υγείας υπόδειγμα εδώ στο Γύθειο. Όπως υπόδειγμα είναι και το κέντρο υγείας της Αρεόπολης. Γιατί θέλουμε να μπορούμε να περιθάλπουμε τους ασθενείς πριν αυτοί φτάσουν τελικά στα νοσοκομεία μας. Και, βέβαια, θα έχει και η Λακωνία την πολύ μεγάλη προίκα του να έχει ίσως το πιο σύγχρονο νοσοκομείο της χώρας στη Σπάρτη, το 2026, τη μεγάλη δωρεά του Ιδρύματος Σταύρος Νιάρχος, η οποία θα προχωρήσει με τη δική μας στήριξη. Καταλαβαίνετε, λοιπόν, πόσο σημαντικό είναι να μπορούμε να έχουμε μια υγεία η οποία θα ξεκινάει από την πρόληψη, θα παρέχει καλή πρωτοβάθμια φροντίδα, θα έχουμε πια προσωπικούς γιατρούς. Ο θεσμός του Προσωπικού Γιατρού αρχίζει και ριζώνει πια στην ελληνική κοινωνία. Αλλά, ταυτόχρονα, για τους συμπολίτες μας οι οποίοι θα χρειαστούν νοσοκομείο, με γρήγορες διακομιδές θα μπορούν να φτάνουν σε ένα υπερσύγχρονο νοσοκομείο για να έχουν την περίθαλψη που τους αξίζει. Αυτό θα αποτελέσει πραγματικά μια επανάσταση για την υγεία. Και εδώ ειδικά, στη Λακωνία, θα έχουμε τη δυνατότητα να παρέχουμε υπηρεσίες υγείας οι οποίες θα είναι όσο ποιοτικές αξίζετε να έχετε, αντίστοιχες της καλύτερης υπηρεσίας υγείας σε οποιαδήποτε ευρωπαϊκή χώρα. Αυτός είναι ο στόχος μου και δεν πρόκειται να κάνουμε εκπτώσεις από αυτή μας την προτεραιότητα. ",political agenda,health,privatization of healthcare,0.8,0,0,"[['areopolis', 'location', '0.6'], ['national health system', 'organization', '0.6'], ['fofi gennimata', 'person', '0.6'], ['gythio', 'location', '0.6'], ['recovery fund', 'organization', '0.6'], ['laconia', 'location', '0.6'], ['sparta', 'location', '0.6'], ['stavros niarchos foundation', 'organization', '0.6'], ['greek', 'country', '0.6'], ['european', 'country', '0.6'], ['2026', 'date', '0.6.']]"
