id,text,text_el,is_criticism,topic-context,subtopic-context,sentiment,polarization-definition,populism-definition,ner-limited
1,"Thank you for your love. I return it. Thank you for your trust. Thank you for proving once again that Laconia is the great castle of our party, New Democracy. Because this is where the real Spartans live. And you know, moreover, that the links between Crete and Laconia are so strong, which is why Konstantinos Mitsotakis has always had so many good friends here in your part of the world. Indeed, friends, I did not expect such a massive reception in Sparta. Well, because you have exceeded my own expectations. But since you challenge me, I will ask you all to make a bet with me: our percentage in Laconia, but - look out - also in Sparta, will be ""5"" ahead after next Sunday's elections. Because, I do not know if you have noticed, but in the elections of 21 May, the Dodecanese passed you by a few hundred votes. So let's go get the gold, Laconia to give back the highest percentage in the country. And we will succeed. We will succeed, my friends, because the message of May 21 was a deafening one, which was heard throughout the country. It came as a reward for effective politics in the midst of very great difficulties. It also came as a reward for political consistency between words and deeds. What we told you in 2019, despite the great difficulties, we implemented it and the Greek people rewarded us for it. But it is asking us to do one more thing: it is asking us to run much faster, much more boldly, on the road of reforms, to continue and complete our work. We will do it, with your support. We will paint all of Greece blue again. On 25 June, Greeks vote and on 26 June, with modesty, we roll up our sleeves and work to solve your problems. But I want, friends, I want this impressive enthusiasm that I see and receive today in Sparta to be transformed in the few days that remain before the elections into one last great creative effort, to face the great danger of this ballot box, which is none other than the danger of complacency. The polls on 25 June will be empty in the morning. At 7:00 a.m. the polls will open. They will be empty. At 7:00 p.m., when they close, they should be filled with even more New Democracy ballots. Mind you, I've been in politics long enough to take nothing for granted. It is my duty until Friday night, when the campaign lights go down, to strive to convince every last suspicious fellow citizen that it is worthwhile to place their support in our great party, New Democracy. Then the responsibility passes to all of you.","Σας ευχαριστώ για την αγάπη σας, την ανταποδίδω. Σας ευχαριστώ για την εμπιστοσύνη σας. Σας ευχαριστώ που για ακόμη μια φορά αποδείξατε ότι η Λακωνία είναι το μεγάλο κάστρο της παράταξής μας, της Νέας Δημοκρατίας. Γιατί εδώ κατοικούν οι πραγματικοί Σπαρτιάτες. Και ξέρετε, εξάλλου, ότι οι δεσμοί Κρήτης και Λακωνίας είναι τόσο ισχυροί, γι’ αυτό και πάντα ο Κωνσταντίνος Μητσοτάκης είχε εδώ στα μέρη σας τόσους καλούς φίλους. Πραγματικά, φίλες και φίλοι, δεν περίμενα στη Σπάρτη μια τόσο μαζική υποδοχή. Ε, γιατί ξεπεράσατε και τις δικές μου προσδοκίες. Αλλά αφού με προκαλείτε, θα σας ζητήσω να βάλουμε μαζί όλες και όλοι ένα στοίχημα: το ποσοστό μας στη Λακωνία, αλλά -προσέξτε- και στην Σπάρτη, θα γράφει «5» μπροστά μετά τις εκλογές της επόμενης Κυριακής. Διότι, δεν ξέρω αν το προσέξατε, αλλά στις εκλογές της 21ης Μαΐου σας πέρασαν για λίγες εκατοντάδες ψήφους τα Δωδεκάνησα. Πάμε να πάρουμε το «χρυσό» λοιπόν, η Λακωνία να ξαναδώσει το υψηλότερο ποσοστό στη χώρα. Και θα το πετύχουμε. Θα το πετύχουμε, φίλες και φίλοι, γιατί το μήνυμα της 21ης Μαΐου ήταν ένα μήνυμα εκκωφαντικό, το οποίο ακούστηκε σε ολόκληρη τη χώρα. Ήρθε ως επιβράβευση μιας αποτελεσματικής πολιτικής, εν μέσω πολύ μεγάλων δυσκολιών. Ήρθε και ως επιβράβευση μιας πολιτικής συνέπειας μεταξύ λόγων και πράξεων. Αυτά τα οποία σας είχαμε πει το 2019, παρά τις μεγάλες δυσκολίες, τα υλοποιήσαμε και γι’ αυτό μας επιβράβευσε ο ελληνικός λαός. Αλλά μας ζητάει να κάνουμε και κάτι ακόμα: μας ζητάει να τρέξουμε πολύ πιο γρήγορα, πολύ πιο τολμηρά, στον δρόμο των μεταρρυθμίσεων, να συνεχίσουμε και να ολοκληρώσουμε το έργο μας. Θα το κάνουμε, με τη δική σας στήριξη. Θα ξαναβάψουμε όλη την Ελλάδα γαλάζια. Στις 25 Ιουνίου οι Έλληνες ψηφίζουν και στις 26 Ιουνίου, με σεμνότητα, σηκώνουμε τα μανίκια και δουλεύουμε για να λύσουμε τα δικά σας προβλήματα. Όμως θέλω, φίλες και φίλοι, αυτόν τον εντυπωσιακό ενθουσιασμό τον οποίον βλέπω και εισπράττω σήμερα στη Σπάρτη να τον μετουσιώσουμε τις λίγες μέρες που μένουν μέχρι τις εκλογές σε μια τελευταία μεγάλη δημιουργική προσπάθεια, να αντιμετωπίσουμε τον μεγάλο κίνδυνο αυτής της κάλπης, που δεν είναι άλλος από τον κίνδυνο του εφησυχασμού. Οι κάλπες την 25η Ιουνίου θα είναι άδειες το πρωί. Στις 7:00 το πρωί ανοίγουν οι κάλπες. Θα είναι άδειες. Στις 19:00 το βράδυ, όταν θα κλείσουν, πρέπει να είναι γεμάτες με ακόμα περισσότερα ψηφοδέλτια της Νέας Δημοκρατίας. Προσέξτε, είμαι αρκετά χρόνια στην πολιτική ώστε να μην θεωρώ τίποτα δεδομένο. Δικό μου χρέος είναι μέχρι την Παρασκευή το βράδυ, όταν θα πέσουν τα φώτα της προεκλογικής εκστρατείας, να αγωνίζομαι να πείσω και τον τελευταίο καχύποπτο συμπολίτη μας ότι αξίζει να εναποθέσει την στήριξή του στη μεγάλη μας παράταξη, την Νέα Δημοκρατία. Μετά η ευθύνη περνάει σε όλους εσάς.",political agenda,elections,other,0.5,0.0,0.0,[]
2,"To those who spread scenarios of alleged fear from an all-powerful New Democracy, I answer that the Greek people are all-powerful. You vote at the polls and the parliamentary majority ultimately reflects your will. And, of course, you are New Democracy. You are the New Democracy. The old ones.","Σε αυτούς οι οποίοι διακινούν σενάρια περί δήθεν φόβου από μια παντοδύναμη Νέα Δημοκρατία, τους απαντώ ότι παντοδύναμος είναι ο ελληνικός λαός. Εσείς ψηφίζετε στις κάλπες και η κοινοβουλευτική πλειοψηφία απηχεί τελικά την δική σας βούληση. Και, βέβαια, εσείς είστε η Νέα Δημοκρατία. Εσείς είστε η Νέα Δημοκρατία. Οι παλιοί.",political agenda,elections,other,1.0,0.1,0.1,"[['greek people', 'group of people', '1.0'], ['new democracy', 'political party', '0.9'], ['parliamentary majority', 'group of people', '0.7'], ['old ones', 'group of people', '0.5']]"
3,"It is interesting to see who the New Republic is. New Democracy is primarily composed of the old, traditional fighters who kept the party standing during difficult times. However, the New Democracy of 2023 brings together our fellow citizens who have never voted for us before - and I want to thank them for this. Many citizens hesitated to vote for us in 2019 but voted for us in 2023 because they were convinced by our work and asked us to implement our program faster. I remember coming to Sparta before the internal elections in 2016. I pledged to renew New Democracy and make it a great party of power again. I kept my commitment to you. The best is still ahead of us, my friends. Remember my words, the best is ahead of us.","Έχει ένα ενδιαφέρον να δούμε, όμως, ποιοι είναι η Νέα Δημοκρατία. Η Νέα Δημοκρατία είναι πρώτα και πάνω από όλα οι παλιοί, παραδοσιακοί αγωνιστές που κράτησαν την παράταξη όρθια και στις δύσκολες στιγμές. Όμως στη Νέα Δημοκρατία του 2023 συνενώθηκαν -και θέλω να τους ευχαριστήσω και γι’ αυτό- συμπολίτες μας οι οποίοι δεν μας είχαν ξαναψηφίσει. Υπήρχαν πολλοί πολίτες οι οποίοι δίστασαν να μας ψηφίσουν το 2019 και μας ψήφισαν το 2023. Γιατί; Επειδή πείστηκαν από το έργο μας και επειδή μας ζητούν να προχωρήσουμε πιο γρήγορα στην υλοποίηση του προγράμματός μας. Το 2016, θυμάμαι, είχα έρθει στην Σπάρτη πριν από τις εσωκομματικές εκλογές. Σας είχα δεσμευθεί τότε ότι θα ανανεώσω τη Νέα Δημοκρατία και θα την ξανακάνω μεγάλο κόμμα εξουσίας. Τήρησα τη δέσμευσή μου απέναντί σας. Και τα καλύτερα, φίλες και φίλοι, είναι ακόμα μπροστά μας. Κρατήστε αυτό που σας λέω, τα καλύτερα είναι μπροστά μας.",political agenda,elections,other,0.4,0.0,0.0,"[['new republic', 'organization', '0.5'], ['new democracy', 'political party', '1.0'], ['sparta', 'location', '1.0'], ['2019', 'date', '1.0'], ['2023', 'date', '1.0']]"
4,"The second four-year term of New Democracy will allow us to speed up the major changes that the country needs, strengthen the economy even more, launch and stabilize the growth dynamics that already exist in our country. I would like to remind you that in 2019, under relatively good international conditions, our country lagged behind in growth in the European Union. Today, we are a champion in growth, which means better wages, better incomes, more jobs, and better prospects for our country after a difficult decade.","Η δεύτερη τετραετία της Νέας Δημοκρατίας θα μας επιτρέψει να τρέξουμε πιο γρήγορα τις μεγάλες αλλαγές που έχει ανάγκη ο τόπος, να ενισχύσουμε ακόμα περισσότερο την οικονομία, να δρομολογήσουμε και να σταθεροποιήσουμε αυτή την αναπτυξιακή δυναμική η οποία ήδη υπάρχει στην πατρίδα μας. Θέλω να σας θυμίσω ότι το 2019, σε σχετικά καλές διεθνείς συνθήκες, η χώρα μας ήταν ουραγός στην ανάπτυξη στην Ευρωπαϊκή Ένωση. Σήμερα είμαστε πρωταθλητές στην ανάπτυξη και αυτό σημαίνει καλύτερους μισθούς, καλύτερα εισοδήματα, περισσότερες δουλειές, καλύτερες προοπτικές για την πατρίδα μας μετά από μία δύσκολη δεκαετία.",political agenda,economy,economic crisis,0.9,0.1,0.0,"[['new democracy', 'organization', '0.8'], ['european union', 'organization', '0.8'], ['2019', 'date', '0.8.']]"
5,"I have not hidden my ambition to not just be a mere administrator of power, but to make the great leap forward for our country and make Greece a true European country, while also keeping our traditions and values that make Hellenism such a distinctive force in the whole world.","Δεν έχω κρύψει τη φιλοδοξία μου να μην είμαι ένας απλός διαχειριστής της εξουσίας, αλλά μαζί να κάνουμε το μεγάλο άλμα της χώρας μας, να κάνουμε την Ελλάδα πραγματική ευρωπαϊκή χώρα. Κρατώντας, ταυτόχρονα, άσβεστες τις παραδόσεις και τις αξίες μας που κάνουν τον ελληνισμό τόσο διακριτή δύναμη σε ολόκληρο τον κόσμο.",political agenda,europe,other,0.8,0.0,0.0,"[['greece', 'country', '1.0'], ['hellenism', 'group of people', '0.9'], ['european country', 'location', '0.9']]"
6,"In this course, which is a course of economic progress but also a course of patriotic responsibility, I ask you all to join together. I refer to patriotic responsibility because I am tired of hearing various patriots wagging their finger at us and not taking into account the fact that today Greece is undeniably much stronger and much better armored than it was in 2019.","Σε αυτή την πορεία, λοιπόν, που είναι μία πορεία οικονομικής προκοπής αλλά και μία πορεία πατριωτικής ευθύνης, σας ζητώ να συμπορευτούμε όλοι μαζί. Και αναφέρομαι στην πατριωτική ευθύνη επειδή έχω κουραστεί να ακούω διάφορους πατριώτες στα λόγια να μας κουνάνε το δάχτυλο και να μην λογαριάζουν το γεγονός ότι σήμερα η Ελλάδα είναι αναντίρρητα πολύ πιο ισχυρή και πολύ καλύτερα θωρακισμένη απ’ ό,τι ήταν το 2019.",criticism,economy,economic equity,0.6,0.0,0.0,"[['greece', 'country', '1.0'], ['2019', 'date', '1.0']]"
7,"This effort towards national reconstruction, this struggle for the continuous support of our Armed Forces, this effort to guard our borders - because the country has borders on land, sea, air, and land - will continue. Always with humanitarianism, because - you know - no one in this country has a monopoly on humanitarianism.","Αυτή η προσπάθεια της εθνικής ανάταξης, αυτός ο αγώνας για τη διαρκή στήριξη των Ενόπλων Δυνάμεών μας, αυτή η προσπάθεια να φυλάμε τα σύνορά μας -γιατί η χώρα έχει σύνορα και στη θάλασσα και στον αέρα και στη στεριά- θα συνεχιστεί. Με ανθρωπισμό πάντα, διότι -ξέρετε- κανείς δεν έχει σε αυτή τη χώρα το μονοπώλιο του ανθρωπισμού.",political agenda,national security,borders,0.5,0.0,0.0,"[['armed forces', 'group of people', '1.0', ''], ['borders', 'location', '1.0', ''], ['country', 'location', '1.0', ''], ['humanitarianism', 'political party', '0.5']]"
8,"It is really strange for them to come now and wag their finger at us. Who are they? Those who turned the country into a transit center and those who tolerated the tragedy, the hellhole of Moria, with unaccompanied minors and the tragic situations that prevailed in our country before 2019.","Είναι πραγματικά παράξενο να έρχονται τώρα και να μας κουνάνε το δάχτυλο, ποιοι; Αυτοί οι οποίοι μετέτρεψαν τη χώρα σε κέντρο διερχομένων και αυτοί οι οποίοι ανέχτηκαν την τραγωδία, το κολαστήριο της Μόριας, με τα ασυνόδευτα ανήλικα και με τις τραγικές καταστάσεις που επικρατούσαν στην πατρίδα μας πριν το 2019.",criticism,migration,other,-0.8,0.1,0.5,"[['moria', 'location', '0.7'], ['2019', 'date', '0.7'], ['country', 'location', '0.4.']]"
9,"So we do not want to go back to that past. We want to move forward. We will move forward with a strong popular mandate and a stable government that can have the power to implement the great changes that the country needs. These big changes will have an impact on your own lives. One of your fellow citizens said to me as I was coming here, ""Watch out for Sparta because Sparta is abandoned."" I do not want any city or any region of our country to feel abandoned. All Greek citizens, regardless of where they live, will have equal rights and equal opportunities for prosperity.","Δεν θέλουμε να γυρίσουμε, λοιπόν, πίσω σε αυτό το παρελθόν. Θέλουμε να προχωρήσουμε μπροστά. Θα προχωρήσουμε μπροστά με μία ισχυρή λαϊκή εντολή, με μία σταθερή κυβέρνηση, η οποία θα μπορεί να έχει τη δύναμη να υλοποιήσει τις μεγάλες αλλαγές που χρειάζεται ο τόπος. Μεγάλες αλλαγές οι οποίες θα έχουν και αντίκτυπο στη δική σας τη ζωή. Μου είπε ένας συμπολίτης σας ενώ ερχόμουν εδώ «πρόσεξε τη Σπάρτη γιατί η Σπάρτη είναι παρατημένη». Εγώ δεν θέλω να αισθάνεται καμία πόλη και καμία περιοχή της πατρίδας μας παρατημένη. Όλες και όλοι οι Έλληνες πολίτες, ανεξαρτήτως του πού κατοικούν, θα έχουν ίδια δικαιώματα και ίδιες ευκαιρίες στην προκοπή.",political agenda,other,other,0.5,0.0,0.0,"[['sparta', 'location', '0.7'], ['greek', 'country', '0.8']]"
10,"And since we are talking about Sparta, let me say a few words about how we can imagine Sparta four years from now. First of all, by 2026, Sparta will have the most modern hospital in the country, donated by the Stavros Niarchos Foundation. This hospital will be completed on time, despite some minor difficulties that have arisen, and will enable Laconia to be a real leader in how we envision the new National Health System: with good primary care structures but also with state-of-the-art hospitals, with 10,000 nursing and medical staff recruited to cover all the needs of the NHS. And with the ability to provide preventive examinations for millions of our fellow citizens, so that we can detect diseases before they come knocking at our door.","Και μιας και μιλάμε για τη Σπάρτη, να σας πω δυο κουβέντες για το πώς μπορούμε να φανταστούμε τη Σπάρτη σε τέσσερα χρόνια από τώρα. Κατ’ αρχάς η Σπάρτη μέχρι το 2026 θα έχει το πιο σύγχρονο νοσοκομείο της χώρας, δωρεά του Ιδρύματος Σταύρος Νιάρχος. Το νοσοκομείο αυτό θα ολοκληρωθεί στην ώρα του, παρά κάποιες μικρές δυσκολίες οι οποίες προέκυψαν, και θα δώσει τη δυνατότητα στη Λακωνία να μπορεί πραγματικά να είναι πρωταγωνίστρια στο πώς οραματιζόμαστε το νέο Εθνικό Σύστημα Υγείας: με καλές δομές πρωτοβάθμιας φροντίδας αλλά και με υπερσύγχρονα νοσοκομεία, με 10.000 προσλήψεις νοσηλευτικού και ιατρικού προσωπικού για να καλύψουμε όλες τις ανάγκες του ΕΣΥ. Και με την δυνατότητα πια να παρέχουμε και προληπτικές εξετάσεις σε εκατομμύρια συμπολίτες μας, για να μπορούμε να εντοπίζουμε τα νοσήματα πριν αυτά μας χτυπήσουν την πόρτα.",political agenda,other,other,0.6,0.0,0.0,"[['sparta', 'location', '1.0'], ['2026', 'date', '1.0'], ['stavros niarchos foundation', 'organization', '0.8'], ['laconia', 'location', '0.8'], ['national health system', 'organization', '0.8']]"
