id,text,text_el,is_criticism,topic-context,subtopic-context,sentiment,polarization-definition,populism-definition,ner-limited
1,"Thank you. I was a little late, but I brought you sunshine. The 25th of June will be just as sunny, the day of the great new victory of our New Democracy. Friends, Young Democrats, UNNEDites, there was no way the election period could be completed without me returning to my beloved Ioannina. I am here, Mr. President, Mr. Regional Governor, dear fellow candidates in Parliament, Mr. Mayors, first and foremost because I want to individually thank each and every one of you for the percentage we achieved in Ioannina and Epirus as a whole. We set ourselves the goal of painting the whole of Epirus blue, and we have made the whole of Greece blue.","Σας ευχαριστώ. Άργησα λίγο να έρθω αλλά σας έφερα τη λιακάδα. Όπως ηλιόλουστη θα είναι και η 25η Ιουνίου, ημέρα της μεγάλης νέας νίκης της Νέας Δημοκρατίας μας.Φίλες και φίλοι, Νεοδημοκράτισσες και Νεοδημοκράτες, ΟΝΝΕΔίτισσες και ΟΝΝΕΔίτες, δεν υπήρχε περίπτωση να ολοκληρωθεί η προεκλογική περίοδος χωρίς να ξανάρθω στα αγαπημένα μου Γιάννενα.Είμαι εδώ, κ. Πρόεδρε, κ. Περιφερειάρχα, αγαπητοί συνυποψήφιοι στη Βουλή, κύριοι Δήμαρχοι, πρώτα και πάνω από όλα γιατί θέλω να πω στην καθεμία και στον καθένα σας ξεχωριστά ένα μεγάλο ευχαριστώ για το ποσοστό που πετύχαμε στα Γιάννενα και στην Ήπειρο συνολικά. Είχαμε βάλει στόχο να βάψουμε γαλάζια όλη την Ήπειρο και κάναμε γαλάζια όλη την Ελλάδα.",political agenda,elections,election spending,0.8,0.0,0.0,"[['june 25th', 'date', '1.0'], ['new democracy', 'political party', '1.0'], ['young democrats', 'group of people', '0.9'], ['unnedites', 'group of people', '0.7'], ['ioannina', 'location', '1.0'], ['epirus', 'location', '1.0'], ['president', 'person', '1.0'], ['regional governor', 'person', '1.0'], ['parliament', 'organization', '1.0'], ['mayors', 'group of people', '1.0'], ['greece', 'country', '1.0']]"
2,"But I am also here to remind you that the work is not yet finished.  On 25 June we have another election. The ballot boxes are empty and the goal we must set is to achieve an even higher percentage in the June 25 election. Here in Ioannina we want to get three MPs. And our percentage, here in Ioannina, should read '4' on the front. I am sure that all of us together will achieve this goal.I wonder how many people on May 20 would have been willing to bet that all of Greece would be blue. But this great electoral victory of ours, friends, was, yes, a reward for the great work that we have done for four years now, holding the country upright in the midst of great crises, setting a path of growth for the Greek economy, supporting society in the midst of great difficulties - coronavirus, energy crisis - but also telling the citizens the truth throughout these four years.","Όμως είμαι εδώ και για να σας υπενθυμίσω ότι η δουλειά δεν έχει τελειώσει ακόμα.  Στις 25 Ιουνίου έχουμε ξανά εκλογές. Οι κάλπες είναι άδειες και ο στόχος τον οποίο πρέπει να θέσουμε είναι να πετύχουμε ακόμα υψηλότερο ποσοστό στις εκλογές της 25ης Ιουνίου. Εδώ στα Γιάννενα να βγάλουμε τρεις βουλευτές. Και το ποσοστό μας, εδώ στα Γιάννενα, πρέπει να γράφει «4» μπροστά. Είμαι σίγουρος ότι όλες και όλοι μαζί θα τον πετύχουμε αυτόν τον στόχο.Αναρωτιέμαι πόσοι στις 20 Μαΐου θα ήταν διατεθειμένοι να στοιχηματίσουν ότι όλη η Ελλάδα θα ήταν γαλάζια. Αλλά αυτή η μεγάλη μας εκλογική νίκη, φίλες και φίλοι, ήταν, ναι, μια επιβράβευση της μεγάλης δουλειάς την οποία κάναμε τέσσερα χρόνια τώρα, κρατώντας την πατρίδα όρθια εν μέσω μεγάλων κρίσεων, δρομολογώντας μια πορεία ανάπτυξης για την ελληνική οικονομία, στηρίζοντας την κοινωνία εν μέσω μεγάλων δυσκολιών -κορονοϊός, ενεργειακή κρίση- αλλά λέγοντας και στους πολίτες καθ’ όλη την διάρκεια αυτής της τετραετίας την αλήθεια.",political agenda,elections,election spending,0.7,0.0,0.0,"[['june 25', 'date', '1.0'], ['ioannina', 'location', '1.0'], ['greece', 'country', '1.0']]"
3,"We never hid. When we made mistakes, we acknowledged them and stood up to the citizens with honesty, building relationships of trust. And the citizens rewarded us at the ballot box on May 21 by giving us a higher percentage than we achieved in July 2019. For the first time.","Ποτέ δεν κρυφτήκαμε. Όταν κάναμε λάθη τα αναγνωρίσαμε και σταθήκαμε απέναντι στους πολίτες με ειλικρίνεια, οικοδομώντας σχέσεις εμπιστοσύνης. Και οι πολίτες στην κάλπη της 21ης Μαΐου μας αντάμειψαν δίνοντάς μας μεγαλύτερο ποσοστό από αυτό το οποίο είχαμε πετύχει τον Ιούλιο του 2019. Πρώτη φορά.",political agenda,elections,other,0.6,0.0,0.0,"[['citizens', 'group of people', '0.7'], ['may 21', 'date', '0.5'], ['july 2019', 'date', '0.5']]"
4,"The President, who is well-versed in history, is well aware that our great party, New Democracy, has never managed to increase its numbers by being in government. We succeeded once, and we will succeed again at the ballot box on June 25th.","Ο κ. Πρόεδρος, ο οποίος είναι βαθύς γνώστης της ιστορίας, γνωρίζει καλά ότι ουδέποτε η μεγάλη μας παράταξη, η Νέα Δημοκρατία, είχε καταφέρει να πετύχει να αυξήσει τα ποσοστά της όντας κυβέρνηση. Το πετύχαμε μια φορά, θα το ξαναπετύχουμε στην κάλπη της 25ης Ιουνίου.",political agenda,elections,election spending,1.0,0.0,0.0,"[['president', 'person', '1.0'], ['new democracy', 'political party', '1.0'], ['june 25th', 'date', '1.0']]"
5,"So we have been rewarded by the citizens. They said 'yes' to truth, 'yes' to progress, 'yes' to unity, 'yes' to modesty, 'yes' to the decency of political discourse, and 'yes' to programmatic discourse. But they also punished some people who invested in division, lies, blackness, and toxicity. We, friends, do not need to fill all of Ioannina with paper posters to gather people. Interestingly enough, in a moment, Mr. Tsipras will be in another place here in Ioannina to talk to us. There is no need for any disapproval because the greatest disapproval that the people have for their elected leaders is the verdict of the ballot box. The Greek citizens have said it all, giving us more than double the 'score' of Syriza.","Μας επιβράβευσαν, λοιπόν, οι πολίτες. Είπαν «ναι» στην αλήθεια, «ναι» στην προκοπή, «ναι» στην ενότητα, «ναι» στη σεμνότητα, «ναι» στην ευπρέπεια του πολιτικού λόγου, «ναι» στον προγραμματικό λόγο. Τιμώρησαν, όμως, και κάποιους οι οποίοι επένδυσαν στον διχασμό, στο ψέμα, στο «μαύρο» και στην τοξικότητα.Εμείς, φίλες και φίλοι, δεν χρειαζόμαστε να γεμίσουμε όλα τα Γιάννενα με χάρτινες αφίσες για να μαζέψουμε κόσμο. Και σε λίγο, έχει ενδιαφέρον, θα βρεθεί σε έναν άλλο χώρο εδώ, στα Γιάννενα, ο κ. Τσίπρας, να μας μιλήσει. Δεν χρειάζεται καμία αποδοκιμασία, διότι η μεγαλύτερη αποδοκιμασία που επιφυλάσσει ο λαός στους εκλεγμένους ηγέτες του είναι η ετυμηγορία της κάλπης. Τα είπαν όλα οι Έλληνες πολίτες δίνοντας μας υπερδιπλάσιο «σκορ» από αυτό του ΣΥΡΙΖΑ.",criticism,elections,election spending,0.8,0.6,0.2,"[['ioannina', 'location', '1.0'], ['greek citizens', 'group of people', '1.0'], ['syriza', 'political party', '1.0']]"
6,"Basically, people are telling us not to bother with the opposition or worry about what others will do. We're not interested in that. The message of the ballot box was to look forward, not to expend energy on engaging in toxic debates with opponents. We need to talk about the future and, above all, explain to citizens what we want to do in the next four years. The reward of the citizens in the ballot box on May 21st was strong, but the demand to move faster and more boldly along the path of great changes was just as strong.","Ουσιαστικά, αυτό το οποίο μας λένε οι πολίτες είναι «μην ασχολείστε καθόλου, μην ασχολείστε με την αντιπολίτευση. Μην ασχολείστε με το τι θα κάνουν οι άλλοι. Είναι κάτι το οποίο δεν μας ενδιαφέρει». Διότι, όπως σας είπα, το μήνυμα της κάλπης ήταν να κοιτάμε μπροστά. Να μην ασχολούμαστε με τους αντιπάλους μας. Να μην αναλώνουμε ενέργεια στο να εμπλεκόμαστε σε τοξικές αντιπαραθέσεις. Να μιλάμε για το μέλλον και κυρίως να εξηγούμε στους πολίτες τι είναι αυτό το οποίο θέλουμε να κάνουμε την επόμενη τετραετία.Διότι όσο ισχυρή και αν ήταν η επιβράβευση των πολιτών στην κάλπη της 21ης Μαΐου, άλλο τόσο ήταν και ισχυρό το αίτημα να προχωρήσουμε πιο γρήγορα, πιο τολμηρά στο δρόμο των μεγάλων αλλαγών.",political agenda,elections,election spending,,0.1,0.0,"[['may 21st', 'date', '1.0']]"
7,"And the reason why, my friends, we are asking for stable self-reliance after June 25th is precisely so that we can implement the great changes that the country needs so much. And I am sure that the Greek people will give us this stable, strong self-reliance. All of us together this Sunday, because no vote should be wasted and because no election result is predetermined in advance. I will not tire of saying it: the ballot boxes are empty; they must be filled with millions of New Democracy ballots. On the evening of June 25th, we will make the ""cash"", we will all go to the ballot box together, and we will all reaffirm the strong mandate we give to New Democracy to take the country firmly, boldly, upwards.","Και ο λόγος για τον οποίον, φίλες και φίλοι, ζητούμε σταθερή αυτοδυναμία μετά την κάλπη της 25ης Ιουνίου, είναι ακριβώς για να μπορέσουμε να υλοποιήσουμε τις μεγάλες αλλαγές τις οποίες έχει τόσο ανάγκη ο τόπος. Και είμαι σίγουρος ότι αυτή τη σταθερή, ισχυρή αυτοδυναμία θα μας τη δώσει ο ελληνικός λαός. Θα μας τη δώσει απλόχερα.Όλοι μαζί αυτή την Κυριακή, γιατί καμία ψήφος δεν πρέπει να πάει χαμένη και γιατί κανένα εκλογικό αποτέλεσμα δεν προεξοφλείται προεκλογικά. Δεν θα κουραστώ να το λέω: οι κάλπες είναι άδειες, πρέπει να γεμίσουν με εκατομμύρια ψηφοδέλτια της Νέας Δημοκρατίας. Το βράδυ της 25ης Ιουνίου θα κάνουμε το «ταμείο», όλοι μαζί θα πάμε στην κάλπη και όλοι μαζί θα επαναβεβαιώσουμε την ισχυρή εντολή που δίνουμε στη Νέα Δημοκρατία να πάει τη χώρα σταθερά, τολμηρά, ψηλά.",political agenda,elections,election spending,0.7,0.0,0.0,"[['greek people', 'group of people', '0.9'], ['new democracy', 'organization', '0.9'], ['greece', 'country', '0.9'], ['june 25th', 'date', '0.9']]"
8,"Friends, this second election period was an opportunity to reiterate our programmatic speech, but it was also an opportunity to highlight the absurdity of the proportional representation ballot box. You may remember that when I came and spoke to you here in Ioannina before the elections, I predicted the result, telling you that it was impossible to form a government through the proportional representation ballot box. We are now called upon to go through a second electoral process, which is expensive for the Greek public sector, and we have to be here again today to talk to you about what we want to do. If the system we are now going to use for elections had been in place during the previous polls, the country would already have a stable government, I would have been Prime Minister, and we would already be working on solving the country's major problems.","Φίλες και φίλοι, αυτή η δεύτερη προεκλογική περίοδος ήταν μία ευκαιρία να επαναλάβουμε τον προγραμματικό μας λόγο, όμως ήταν και μία ευκαιρία να αναδείξουμε το παράλογο της κάλπης της απλής αναλογικής. Θυμάστε ότι όταν είχα έρθει και σας είχα μιλήσει εδώ, στα Γιάννενα, πριν τις εκλογές, είχα προεξοφλήσει περίπου το αποτέλεσμα, λέγοντάς σας ότι είναι αδύνατον να σχηματιστεί κυβέρνηση με την κάλπη της απλής αναλογικής.Καλούμαστε τώρα να περάσουμε μέσα από μία δεύτερη εκλογική διαδικασία, ακριβή για το ελληνικό Δημόσιο, να πρέπει εμείς σήμερα να είμαστε πάλι εδώ να σας μιλούμε για αυτά τα οποία θέλουμε να κάνουμε, ενώ εάν στις προηγούμενες κάλπες ίσχυε το σύστημα με το οποίο θα πάμε τώρα σε εκλογές, η χώρα θα είχε ήδη σταθερή κυβέρνηση, εγώ θα ήμουν Πρωθυπουργός και θα ασχολούμασταν ήδη να επιλύσουμε τα μεγάλα προβλήματα της χώρας.",criticism,elections,other,-0.4,0.2,0.0,"[['ioannina', 'location', '1.0'], ['greek', 'country', '1.0'], ['prime minister', 'position', '1.0']]"
9,"But even in this two-round election, let us use the time we have between now and the elections to talk about the future. Let's talk about how the future can be better for each and every one of you, about our plan for a productive Greece that will grow much faster than the European Union, create many well-paid jobs, and attract investment in many sectors.","Όμως έστω και σε αυτή την εκλογή των δύο «γύρων» ας αξιοποιήσουμε αυτόν τον χρόνο που έχουμε στη διάθεσή μας, από τώρα μέχρι τις εκλογές, για να μιλήσουμε για το μέλλον. Να μιλήσουμε για το πώς το μέλλον μπορεί να γίνει καλύτερο για την καθεμία και τον καθένα από εσάς, να μιλήσουμε για το σχέδιό μας, για μία παραγωγική Ελλάδα η οποία θα αναπτύσσεται με ρυθμούς πολύ πιο γρήγορους από αυτούς της Ευρωπαϊκής Ένωσης, που θα δημιουργεί πολλές καλοπληρωμένες δουλειές, που θα προσελκύει επενδύσεις σε πολλούς κλάδους.",political agenda,economy,investments,0.6825,0.0,0.0,"[['greece', 'location', '1.0'], ['european union', 'organization', '1.0']]"
10,"And let's talk, yes, Mr. President and Mr. Regional Governor, about how to make Ioannina and Epirus a model of development for the entire territory. The first steps have already been taken; we must now complete the work. It is indeed very impressive that here, for example, in Ioannina, a dynamic high-tech industry is developing, and I meet young people who return from abroad, not to Athens or Thessaloniki, but to Ioannina to work in high-tech companies. This is extremely encouraging.","Και να μιλήσουμε, ναι, κ. Πρόεδρε, κ. Περιφερειάρχα, για το πώς θα κάνουμε τα Γιάννενα και την Ήπειρο το μοντέλο ανάπτυξης σε ολόκληρη την επικράτεια. Τα πρώτα βήματα έχουν ήδη γίνει, πρέπει να ολοκληρώσουμε τώρα τη δουλειά.Είναι πράγματι πολύ εντυπωσιακό το γεγονός ότι εδώ παραδείγματος χάρη, στα Γιάννενα, αναπτύσσεται ένας δυναμικός κλάδος υψηλής τεχνολογίας και συναντώ νέα παιδιά τα οποία γυρίζουν από το εξωτερικό, όχι στην Αθήνα, στη Θεσσαλονίκη, έρχονται στα Γιάννενα να δουλέψουν σε εταιρείες υψηλής τεχνολογίας. Αυτό είναι κάτι το οποίο είναι εξαιρετικά ενθαρρυντικό.",political agenda,entrepreneurship,other,0.8,0.0,0.0,"[['ioannina', 'location', '1.0'], ['epirus', 'location', '1.0'], ['athens', 'location', '1.0'], ['thessaloniki', 'location', '1.0'], ['mr. president', 'person', '1.0'], ['mr. regional governor', 'person', '1.0.']]"
