id,text,text_el,is_criticism,topic-context,subtopic-context,sentiment,polarization-definition,populism-definition,ner-limited
1,"Good morning, Blue Achaia. Let's all come together this Sunday to achieve even higher rates for New Democracy throughout Greece, and especially here in Achaia. Do you remember when I came here before the May 21 elections and we spoke at this beautiful gathering? We made a bet together to achieve what some people thought was impossible - to make Achaia and the municipality of Patras blue. We succeeded, except for a corner of Achaia, Mr. Regional Governor - if I am not mistaken - by a few hundred votes. Let's make a bet together in these polls next Sunday to increase our percentage even more, so that on June 26th, we can roll up our sleeves and work for a Greece of progress and pride.","Καλημέρα στη γαλάζια Αχαΐα. Όλοι μαζί αυτή την Κυριακή, για ακόμα υψηλότερα ποσοστά της Νέας Δημοκρατίας σε όλη την Ελλάδα και ειδικά εδώ στην Αχαΐα. Θυμάστε όταν είχα έρθει πριν από τις εκλογές της 21ης Μαΐου και μιλήσαμε σε αυτή την πολύ όμορφη συγκέντρωση. Είχαμε βάλει μαζί ένα στοίχημα, να πετύχουμε αυτό το οποίο κάποιοι πίστευαν ότι ήταν ακατόρθωτο, να κάνουμε την Αχαΐα και τον Δήμο Πάτρας γαλάζια. Το πετύχαμε.Μας ξέφυγε, κ. Περιφερειάρχα, μία γωνιά της Αχαΐας -νομίζω, αν δεν κάνω λάθος- για λίγες εκατοντάδες ψήφους, αλλά ας βάλουμε μαζί το στοίχημα σε αυτές τις κάλπες, της επόμενης Κυριακής, να αυξήσουμε κι άλλο το ποσοστό μας για να μπορούμε στις 26 Ιουνίου να σηκώσουμε τα μανίκια και να δουλέψουμε για την Ελλάδα της προκοπής και της υπερηφάνειας.",political agenda,elections,campaigning,0.6,0,0,"[['blue achaia', 'location', '1.0'], ['sunday', 'date', '1.0'], ['new democracy', 'political party', '1.0'], ['greece', 'country', '1.0'], ['achaia', 'location', '1.0'], ['may 21', 'date', '1.0'], ['patras', 'location', '1.0'], ['regional governor', 'person', '0.5'], ['june 26th', 'date', '1.0']]"
2,"You know, I have been to Patras many times since 2004, when I was first elected as a Member of Parliament. I remember then - and my brotherly friend Michael Bekiris is here - I was at Vassilis' christening. No matter how many times I have been there, I have never, ever encountered this atmosphere for New Democracy. I want to say a big, special thank you, but what we achieved, friends, was not by chance. Nor was it simply the result of a very good election campaign, which we conducted together four weeks before the elections on May 21. I firmly believe that this ballot box has closed a circle for our country, closed a circle of division, closed a circle of blackness. And a circle of unity and a circle of optimism has opened for New Democracy, strong for the homeland, strong for the Greece we really want, the Greece we can achieve.","Ξέρετε, έχω έρθει πολλές φορές στην Πάτρα από το 2004, που εκλέχτηκα για πρώτη φορά βουλευτής. Θυμάμαι τότε -κάπου εδώ είναι και ο αδελφικός μου φίλος, ο Μιχάλης Μπεκίρης- ήμουν τότε στη βάπτιση του Βασίλη. Όσες φορές κι αν έχω έρθει, ποτέ μα ποτέ δεν έχω συναντήσει αυτό το κλίμα για τη Νέα Δημοκρατία. Θέλω να σας πω ένα μεγάλο, ένα ξεχωριστό ευχαριστώ.Όμως αυτό το οποίο πετύχαμε, φίλες και φίλοι, δεν ήταν τυχαίο. Ούτε ήταν απλά αποτέλεσμα μιας πολύ καλής προεκλογικής εκστρατείας, την οποία μαζί διεξάγαμε τέσσερις εβδομάδες πριν από τις εκλογές της 21ης Μαΐου.Πιστεύω ακράδαντα ότι σε αυτή την κάλπη έκλεισε ένας κύκλος για την πατρίδα μας, έκλεισε ένας κύκλος διχασμού, έκλεισε ένας κύκλος μαυρίλας. Και άνοιξε ένας κύκλος ενότητας κι ένας κύκλος αισιοδοξίας για τη Νέα Δημοκρατία, ισχυρή για την πατρίδα, ισχυρή για την Ελλάδα την οποία πραγματικά θέλουμε, την οποία μπορούμε να πετύχουμε.",political agenda,elections,other,0.8,0,0,"[['patras', 'location', '1.0'], ['2004', 'date', '1.0'], ['member of parliament', 'organization', '0.5'], ['michael bekiris', 'person', '1.0'], ['vassilis', 'person', '1.0'], ['new democracy', 'political party', '1.0'], ['may 21', 'date', '1.0'], ['greece', 'country', '1.0']]"
3,"But I am here to give you a simple message: the work is not over. On the morning of June 25th, the polls will be empty. At the end of the day, they should be filled with millions of New Democracy ballots. This is our mission and we will achieve it. We will accomplish it so that we can continue this important work that we started four years ago. When going through very great difficulties and unprecedented crises, we managed to keep the ship of the country safe. Above all, we managed to put Greece on a path of development and excellence.","Είμαι όμως εδώ για να σας μεταφέρω ένα απλό μήνυμα: η δουλειά δεν έχει τελειώσει. Στις 25 Ιουνίου το πρωί οι κάλπες θα είναι άδειες. Στο τέλος της ημέρας θα πρέπει να γεμίσουν με εκατομμύρια ψηφοδέλτια της Νέας Δημοκρατίας. Αυτή είναι η αποστολή μας και θα την πετύχουμε, θα τη φέρουμε εις πέρας, για να μπορέσουμε να συνεχίσουμε αυτό το σημαντικό έργο το οποίο ξεκινήσαμε πριν από τέσσερα χρόνια, όταν, περνώντας μέσα από πολύ μεγάλες δυσκολίες, μέσα από πρωτοφανείς κρίσεις, καταφέραμε να κρατήσουμε ασφαλές το σκάφος της πατρίδας. Και καταφέραμε κυρίως να βάλουμε την Ελλάδα σε μια ρότα ανάπτυξης, σε μια ρότα προκοπής.",political agenda,elections,election spending,0.7,0,0,"[['june 25th', 'date', 'high'], ['new democracy', 'political party', 'high'], ['greece', 'country', 'high']]"
4,"This four-year journey was rewarded by the citizens, and they merged into New Democracy. Citizens who had not supported us in the past came and rewarded us for what we achieved. However, they asked us for one more thing. In the mandate which they gave us, they told us to ""run faster to make the great changes our country needs. Keep going, keep going, keep Greece on a growth track. Continue to support, first and foremost, the weakest in our society. Put the emphasis on wages.""","Αυτή η τετραετής διαδρομή, επιβραβεύτηκε από τους πολίτες και συνενώθηκαν στη Νέα Δημοκρατία. Συνενώθηκαν πολίτες οι οποίοι δεν μας είχαν στηρίξει στο παρελθόν και οι οποίοι ήρθαν και μας επιβράβευσαν για αυτά τα οποία πετύχαμε. Μας ζήτησαν και κάτι ακόμα όμως. Στην εντολή την οποία μας έδωσαν μας είπαν: «τρεξτε πιο γρήγορα να κάνετε πράξη τις μεγάλες αλλαγές που χρειάζεται ο τόπος μας. Συνεχίστε, συνεχίστε να κρατάτε την Ελλάδα σε ρότα ανάπτυξης. Συνεχίστε να στηρίζετε, πρώτα και πάνω από όλα, τους πιο αδύναμους στην κοινωνία μας. Δώστε έμφαση στους μισθούς». ",political agenda,economy,wages,0.7,0.2,0,"[['new democracy', 'organization', '0.85'], ['greece', 'country', '0.9']]"
5,"It is no coincidence, friends, that my commitment for the next four years is to prioritize better wages for every Greek, with a minimum wage of 950 euros and an average wage of 1,500 euros. We can achieve these goals because we know that better wages come with increased investment and making our country a growth engine in the region once again.","Δεν είναι τυχαία, φίλες και φίλοι, η δέσμευσή μου ότι η πρώτη προτεραιότητα της επόμενης τετραετίας θα είναι οι καλύτεροι μισθοί για κάθε Ελληνίδα και για κάθε Έλληνα, κατώτατο μισθό στα 950 ευρώ και μέσο μισθό στα 1.500 ευρώ. Ναι, μπορούμε να πετύχουμε αυτούς τους στόχους γιατί ξέρουμε πολύ καλά ότι οι καλύτεροι μισθοί έρχονται με περισσότερες επενδύσεις, με το να ξανακάνουμε τη χώρα μας μια αναπτυξιακή ατμομηχανή σε όλη την περιφέρεια.",political agenda,employment,wages,0.9,0,0,"[['greek', 'country', '1.0'], ['greek', 'group of people', '0.8'], ['950 euros', 'date', '1.0'], ['1', '500 euros', 'date', '1.0']]"
6,"And you, Mr. Regional Governor, especially in Patras, Western Greece, are well aware of your country's important growth potential. Together, we will be able to implement it. I want Patras to be the protagonist of growth in the next decade, with many well-paid jobs and important infrastructure projects that we have already discussed and are being launched. Finally, with the completion of the road - Karmaniola - connecting Pyrgos with Patras. The project, as I have committed to you, is already being implemented and will be ready in two years.","Και εσείς εδώ, κ. Περιφερειάρχα, ειδικά στην Πάτρα, στη Δυτική Ελλάδα, γνωρίζετε πολύ καλά τις σημαντικές αναπτυξιακές δυναμικές που έχει ο τόπος σας και θα μπορέσουμε μαζί να τις υλοποιήσουμε.Θέλω η Πάτρα να είναι η πρωταγωνίστρια της ανάπτυξης της επόμενης δεκαετίας. Με πολλές καλοπληρωμένες θέσεις εργασίας, με σημαντικά έργα υποδομής για τα οποία ήδη έχουμε μιλήσει και τα οποία δρομολογούνται, επιτέλους με την ολοκλήρωση του δρόμου - καρμανιόλα που συνδέει τον Πύργο με την Πάτρα. Το έργο, όπως σας είχα δεσμευτεί, ήδη υλοποιείται, θα είναι έτοιμο σε δύο χρόνια από τώρα.",political agenda,economy,other,0.8,0,0,"[['mr. regional governor', 'person', '1'], ['patras', 'location', '1'], ['western greece', 'location', '1'], ['patras', 'location', '1'], ['your country', 'country', '1'], ['patras', 'location', '1'], ['the next decade', 'date', '1'], ['pyrgos', 'location', '1']]"
7,"As well as a series of major development investments, the most important of which is the full road connection between the port of Patras and Athens, with the undergrounding of more than five kilometres of the railway network, and a series of major projects that will enhance the port, boost the university and turn Patras into an outward-looking gateway for our country to the whole of Western Europe. You deserve nothing less, that is the goal we must set and we can achieve it.","Όπως ετοιμάζονται και μια σειρά από μεγάλες αναπτυξιακές επενδύσεις, με σημαντικότερη την πλήρη οδική σύνδεση του λιμανιού της Πάτρας με την Αθήνα, με την υπογειοποίηση παραπάνω από πέντε χιλιομέτρων σιδηροδρομικού δικτύου, και μια σειρά από μεγάλα έργα τα οποία θα αναδείξουν το λιμάνι, θα τονώσουν το πανεπιστήμιο και θα μετατρέψουν την Πάτρα σε μία εξωστρεφή πύλη της πατρίδας μας προς όλη την δυτική Ευρώπη.Δεν σας αξίζει τίποτα λιγότερο, αυτός είναι ο στόχος τον οποίο πρέπει να θέσουμε και μπορούμε να το πετύχουμε.",political agenda,infrastructure,railway,0.4,0,0,"[['patras', 'location', '1.0'], ['athens', 'location', '1.0'], ['western europe', 'location', '0.8']]"
8,"Since we have the UNNEDites from our university here, I would like to extend a special thank you to our youth. Let me reiterate how much importance I place on public education, supporting our universities, and creating outward-looking institutions that are ultimately connected to the labor market. Universities should be places where libraries, not sledgehammers, dominate. We want universities to be centers of knowledge, excellence, and freedom of expression, not havens for lawlessness and delinquency, as some may imagine.","Μιας και έχουμε εδώ και τους ΟΝΝΕΔίτες και τις ΟΝΝΕΔίτισσες από το πανεπιστήμιό μας, ένα ξεχωριστό ευχαριστώ στη νεολαία μας. Να πω για μία ακόμα φορά πόσο μεγάλη σημασία αποδίδω στη δημόσια εκπαίδευση, στη στήριξη των πανεπιστημίων μας, στα εξωστρεφή πανεπιστήμια τα οποία θα συνδέονται επιτέλους με την αγορά εργασίας. Σε πανεπιστήμια στα οποία θα κυριαρχούν οι βιβλιοθήκες και όχι οι βαριοπούλες. Θέλουμε τα πανεπιστήμια κέντρα γνώσης, προκοπής και ελευθερίας έκφρασης και όχι άνδρα ανομίας και παραβατικότητας, όπως κάποιοι ενδεχομένως να τα φαντάζονται.",political agenda,education,other,0.6,0.1,0,"[['unnedites', 'organization', '1.0'], ['youth', 'group of people', '1.0'], ['public education', 'organization', '0.5'], ['universities', 'organization', '1.0'], ['labor market', 'organization', '0.7'], ['libraries', 'organization', '0.5'], ['knowledge', 'organization', '0.7'], ['freedom of expression', 'organization', '0.7'], ['lawlessness', 'organization', '0.3'], ['delinquency', 'organization', '0.3']]"
9,"But, friends, let me tell you about another important priority of the second four-year term, and that is the support of the National Health System. I am tired of responding to the fake news of the opposition that claims that the intention of the New Democracy is to privatize the NHS. We tell them clearly: we will build the new public National Health System, which will provide quality healthcare to every Greek. We will hire 10,000 doctors and nurses over the next four years. We will rebuild the emergency departments in our major hospitals. We will support our health centers. We will emphasize primary care, the Personal Doctor, and screening; we will work with the private sector where necessary, but providing - and I stress this - free health services to all our insured citizens. Because that is what our tradition demands.","Όμως, φίλες και φίλοι, να σας πω και για μία ακόμα σημαντική προτεραιότητα της δεύτερης τετραετίας, κι αυτή δεν είναι άλλη από τη στήριξη του Εθνικού Συστήματος Υγείας.Έχω κουραστεί να απαντώ στα fake news της αντιπολίτευσης που ισχυρίζονται ότι τάχα πρόθεση της Νέας Δημοκρατίας είναι να ιδιωτικοποιήσει το ΕΣΥ. Τους λέμε ξεκάθαρα: εμείς θα οικοδομήσουμε το νέο δημόσιο Εθνικό Σύστημα Υγείας, που θα παρέχει ποιοτική υγεία σε κάθε Ελληνίδα και σε κάθε Έλληνα.Θα προσλάβουμε 10.000 γιατρούς και νοσηλευτές μέσα στην επόμενη τετραετία. Θα ξαναφτιάξουμε τα τμήματα επειγόντων περιστατικών στα μεγάλα μας νοσοκομεία. Θα στηρίξουμε τα κέντρα υγείας. Θα δώσουμε έμφαση στην πρωτοβάθμια φροντίδα, στον Προσωπικό Γιατρό και στις προληπτικές εξετάσεις.Θα συνεργαστούμε με τον ιδιωτικό τομέα όπου αυτό είναι απαραίτητο, αλλά παρέχοντας -και το τονίζω αυτό- δωρεάν υπηρεσίες υγείας σε όλους τους ασφαλισμένους συμπολίτες μας. Διότι αυτό επιτάσσει η παράδοσή μας.",political agenda,health,public health system,0.75,0,0,"[['new democracy', 'organization', '0.6'], ['national health system', 'organization', '1.0'], ['greek', 'country', '1.0'], ['10', '000', 'date', '1.0'], ['four years', 'date', '1.0'], ['emergency departments', 'organization', '0.6'], ['health centers', 'organization', '0.6'], ['personal doctor', 'group of people', '0.8']]"
10,"We are the great, broad, popular party of this country. We are a party that first and foremost always stands close to our weakest fellow citizens. And we will continue to apply this policy in the next four years.","Είμαστε η μεγάλη, πλατιά, λαϊκή παράταξη αυτής της χώρας. Είμαστε μία παράταξη η οποία πρώτα και πάνω από όλα στέκεται πάντα κοντά στους πιο αδύναμους συμπολίτες μας. Και αυτή την πολιτική μας θα εξακολουθήσουμε να την εφαρμόζουμε την επόμενη τετραετία.",political agenda,social state,vulnerable citizens,0.75,0,0.2,"[['party', 'group of people', '0.7'], ['country', 'location', '0.7'], ['four years', 'date', '0.7']]"
