id,text,text_el,is_criticism,topic-context,subtopic-context,sentiment,polarization-definition,populism-definition,ner-limited
1,"Young Democrats, fellow citizens of Thessaloniki, and proud Macedonians, thank you for this impressive reception, Mr. Mayor and Mr. Regional Governor. Thank you, first and foremost, for the impressive victory that you gave to New Democracy on May 21st here in my new constituency, in the first district of Thessaloniki, but also throughout Macedonia. I must tell you that today I feel moved and honored to speak under the monument to Alexander the Great. A big thank you to our ONNED and the ONNEDites, who always give their own special touch to all our gatherings. We older people remember that Aristotelous Square and the beach of Thessaloniki have hosted historic gatherings of our party, first with its founder Konstantinos Karamanlis, later with Konstantinos Mitsotakis, Kostas Karamanlis, and Antonis Samaras. It may have been a different era, but the passion for the homeland and progress always remains the same. You have already proved it in the first ballot. A big thank you to the 2.4 million Greeks who trusted us.","Νεοδημοκράτισσες και Νεοδημοκράτες, συναγωνιστές της Θεσσαλονίκης, περήφανοι Μακεδόνες. Κύριε Περιφερειάρχα, κ. Δήμαρχε, σας ευχαριστώ γι’ αυτή την εντυπωσιακή υποδοχή.Σας ευχαριστώ πρωτίστως για την εντυπωσιακή νίκη που δώσατε στη Νέα Δημοκρατία στις 21 Μαΐου εδώ, στη νέα ιδιαίτερη εκλογική μου περιφέρεια, στην Α΄ Θεσσαλονίκης, αλλά και σε όλη τη Μακεδονία.Πρέπει να σας πω ότι νιώθω σήμερα συγκίνηση και τιμή να μιλάω κάτω από το μνημείο του Μεγάλου Αλεξάνδρου. Ένα μεγάλο ευχαριστώ στην ΟΝΝΕΔ μας, στις ΟΝΝΕΔίτισσες και στους ΟΝΝΕΔίτες, που πάντα δίνουν το δικό τους ξεχωριστό στίγμα σε όλες μας τις συγκεντρώσεις.Εμείς οι παλαιότεροι θυμόμαστε ότι η Πλατεία Αριστοτέλους, η παραλία της Θεσσαλονίκης, έχει φιλοξενήσει ιστορικές συγκεντρώσεις της παράταξής μας. Πρώτα με τον ιδρυτή της Κωνσταντίνο Καραμανλή, αργότερα με τον Κωνσταντίνο Μητσοτάκη, τον Κώστα Καραμανλή, τον Αντώνη Σαμαρά.Μπορεί να ήταν άλλες εποχές, αλλά το πάθος για την πατρίδα και την προκοπή μένει πάντα το ίδιο. Το αποδείξατε, ήδη, στην πρώτη κάλπη. Ένα μεγάλο ευχαριστώ στα 2,4 εκατομμύρια Ελληνίδες και Έλληνες που μας εμπιστεύθηκαν.",political agenda,elections,other,0.8,0,0,"[['young democrats', 'group of people', '1', 'thessaloniki', 'location', '1', 'macedonians', 'group of people', '1', 'new democracy', 'political party', '1', 'may 21st', 'date', '1', 'first district of thessaloniki', 'location', '1', 'macedonia', 'country', '1', 'alexander the great', 'person', '1', 'onned', 'organization', '1', 'onnedites', 'group of people', '1', 'aristotelous square', 'location', '1', 'konstantinos karamanlis', 'person', '1', 'konstantinos mitsotakis', 'person', '1', 'kostas karamanlis', 'person', '1', 'antonis samaras', 'person', '1', '2.4 million greeks', 'group of people', '1].']]"
2,"On May 21, citizens rewarded our work by saying ""yes"" to truth, ""yes"" to unity, and ""yes"" to the decency of political discourse. They also punished those who invested in division, lies, blackness, and toxicity. The citizens' reward in May was strong, but there is a demand to move faster and more boldly on the path of great changes and reforms that our country needs. We are all here today, in this beautiful gathering, to send a message: to make victory a reality, it must be repeated even more strongly this coming Sunday.","Την 21η Μαΐου οι πολίτες επιβράβευσαν τη δουλειά μας, λέγοντας «ναι» στην αλήθεια, «ναι» στην ενότητα, «ναι» στην ευπρέπεια του πολιτικού λόγου. Αλλά και τιμωρώντας αυτούς που επένδυσαν στον διχασμό, στο ψέμα, στο «μαύρο» και στην τοξικότητα. Διότι όσο ισχυρή κι αν ήταν η επιβράβευση των πολιτών τον Μάιο, άλλο τόσο ήταν και ισχυρό το αίτημα να προχωρήσουμε πιο γρήγορα, πιο τολμηρά στο δρόμο των μεγάλων αλλαγών, των μεγάλων μεταρρυθμίσεων που έχει ανάγκη η πατρίδα μας.Είμαστε, λοιπόν, όλες και όλοι σήμερα εδώ, σε αυτή την πολύ όμορφη μεγάλη συγκέντρωση, για να στείλουμε ένα μήνυμα: για να γίνει η νίκη πραγματικότητα πρέπει να επαναληφθεί μεγαλύτερη την Κυριακή που έρχεται.",political agenda,elections,election spending,0.7,0.6,0.2,"[['may 21', 'date', '1.0'], ['sunday', 'date', '1.0'], ['citizens', 'group of people', '1.0'], ['truth', 'n/a', '1.0'], ['unity', 'n/a', '1.0'], ['decency', 'n/a', '1.0'], ['division', 'n/a', '1.0'], ['lies', 'n/a', '1.0'], ['blackness', 'n/a', '1.0'], ['toxicity', 'n/a', '1.0'], ['country', 'country', '1.0']]"
3,"Because, mind you, nothing has been decided yet. We have taken a big step indeed. However, this step will be as if it had never happened if it is not consolidated and then immediately followed by a leap for the whole country on 26 June. You have heard me say it many times: on the morning of 25 June, the polls will be empty again. If we are to have a stable and strong government on 26 June, they must once again be filled, flooded with millions of ballots from our party. Only then will the next day bring certainty to the country. And only in this way will the only political force that has shown that it can overcome crises, while at the same time implementing all its commitments to the citizens, finally hold the helm. This is a double bet, especially here in the first and second regions of Thessaloniki, where our percentages still have a lot of room for growth.","Γιατί, προσέξτε, τίποτα δεν έχει κριθεί ακόμα. Κάναμε πράγματι ένα μεγάλο βήμα. Βήμα, ωστόσο, που θα είναι σαν να μην έγινε ποτέ εάν δεν εδραιωθεί για να μετατραπεί αμέσως μετά, στις 26 Ιουνίου, σε άλμα ολόκληρης της χώρας.Με έχετε ακούσει πολλές φορές να το λέω: το πρωί της 25ης Ιουνίου οι κάλπες θα είναι και πάλι άδειες. Για να έχουμε σταθερή και ισχυρή κυβέρνηση στις 26 Ιουνίου πρέπει και πάλι να γεμίσουν, να πλημμυρίσουν με εκατομμύρια ψηφοδέλτια της παράταξής μας.Μόνο τότε η επόμενη μέρα θα φέρει σιγουριά στον τόπο. Και μόνο με αυτό τον τρόπο το τιμόνι του θα το κρατάει τελικά η μόνη πολιτική δύναμη που έχει δείξει ότι μπορεί να ξεπερνά τις κρίσεις, υλοποιώντας ταυτόχρονα και όλες τις δεσμεύσεις της απέναντι στους πολίτες.Αυτό το στοίχημα γίνεται διπλό, ειδικά εδώ, στην Α’, στη Β’ Περιφέρεια Θεσσαλονίκης, όπου τα ποσοστά μας έχουν ακόμα πολλά περιθώρια ανόδου.",political agenda,elections,abstention,0.25,0,0,"[['thessaloniki', 'location', '1.0'], ['june 26', 'date', '1.0']]"
4,"It is your duty, therefore, to come not only first, but first and by a wide margin, here in Thessaloniki. In other words, the time has come to put things in their place and to put this city in the position it deserves: a bastion of national tradition and at the same time a beacon of constant evolution. Thessaloniki is the impregnable castle of a self-reliant and all-powerful Greece. We are, after all, in a place that knows how to discern critical necessities every time. The Macedonians, like all Greeks, have overcome the trap of the simple logic of simple proportional representation. I am sure that with the same maturity, a few days from now, they will weigh the weight of their new vote, knowing that it will provide security in our daily lives tomorrow and that it will also boost optimism for a better life.","Δικό σας καθήκον, συνεπώς, είναι να έρθουμε όχι απλά πρώτοι αλλά πρώτοι και με μεγάλη διαφορά, εδώ, στη Θεσσαλονίκη.Με άλλα λόγια, ήρθε η στιγμή να βάλουμε τα πράγματα στη θέση τους και να βάλουμε και αυτή την πόλη στη θέση που της αξίζει: προπύργιο της εθνικής παράδοσης και παράλληλα φάρος διαρκούς εξέλιξης.Η Θεσσαλονίκη είναι το απόρθητο κάστρο της αυτοδύναμης και παντοδύναμης Ελλάδος.Είμαστε, εξάλλου, σε ένα τόπο που ξέρει να διακρίνει κάθε φορά τις κρίσιμες αναγκαιότητες. Οι Μακεδόνες, όπως και όλες οι Ελληνίδες και όλοι οι Έλληνες, εξουδετέρωσαν με την απλή λογική την παγίδα της απλής αναλογικής.Είμαι βέβαιος ότι με την ίδια ωριμότητα σε λίγες μέρες από τώρα θα ζυγίσουν και το βάρος της νέας τους ψήφου, γνωρίζοντας ότι αυτή θα προσφέρει ασφάλεια στην αυριανή μας καθημερινότητα και ότι αυτή, επίσης, θα δώσει ώθηση στην αισιοδοξία για μία καλύτερη ζωή.",political agenda,elections,other,0.6,0,0,"[['thessaloniki', 'location', '1.0'], ['macedonians', 'group of people', '0.7'], ['greeks', 'group of people', '0.5'], ['greece', 'country', '0.5']]"
5,"Friends, as you know well, the arithmetic of the ballot box is inexorable. Many extreme voices in Parliament do not necessarily mean a plurality but perhaps the opposite, leading to a democratic ""cacophony"", a brake on results and creation, and a danger of ungovernability. These are adventures that our country has lived through and now wants to leave behind once and for all. All the more so when they are expressed by neophyte ""leaders"", personalities who ultimately distort the ideas they invoke. The hijacking of values, in fact, is the common denominator of these movements, whether it is a question of alleged philanthropy or the monopoly of orthodoxy. These are quantities that unite, not divide. Orthodoxy is too great to be imprisoned in slogans; so those whose behavior ultimately offends the cross or the blue and white, let them hear it well: enough with the demek believers and the demek patriots. The former even go so far as to trade in religion. Where? Here, in the city - the pride of Byzantium. While others dare to monopolize the national consciousness. To you, the Macedonians in the front line. And when do they say it? Today, I am reminded, exactly 110 years to the day since the battle of Kilkis - Lachanas, I am here to talk about the patriotism of responsibility.","Φίλες και φίλοι, το ξέρετε καλά, η αριθμητική της κάλπης είναι αμείλικτη. Πολλές ακραίες φωνές στη Βουλή δεν σημαίνουν κατ’ ανάγκη πολυφωνία αλλά ίσως το αντίθετο, να οδηγηθούμε σε μία δημοκρατική «κακοφωνία», ένα φρένο στο αποτέλεσμα και στη δημιουργία και έναν κίνδυνο στην ακυβερνησία.Είναι περιπέτειες που τις έχει ζήσει η πατρίδα μας και θέλει πια οριστικά να τις αφήσει πίσω. Πολύ περισσότερο όταν τις εκφράζουν νεόκοποι «ηγέτες», προσωποπαγή σχήματα που νοθεύουν τελικά τις ιδέες που επικαλούνται.Η καπηλεία των αξιών, μάλιστα, αποτελεί το κοινό σημείο αυτών των κινήσεων, είτε πρόκειται για τη δήθεν φιλοπατρία ή για το μονοπώλιο της ορθοδοξίας. Αυτά είναι μεγέθη που ενώνουν και δεν χωρίζουν. Η ορθοδοξία είναι πολύ μεγάλη για να φυλακίζεται μέσα σε συνθήματα.Όσοι, λοιπόν, με τη συμπεριφορά τους τελικά προσβάλλουν τον σταυρό ή τη γαλανόλευκη, ας το ακούσουν καλά: αρκετά με τους ντεμέκ πιστούς και τους ντεμέκ πατριώτες. Οι πρώτοι φτάνουν να εμπορεύονται μέχρι και τη θρησκεία. Πού; Εδώ, μέσα στην πόλη - καμάρι του Βυζαντίου. Ενώ άλλοι τολμούν να μονοπωλούν την εθνική συνείδηση.Απέναντι σε ποιους τα λένε αυτά; Σε εσάς, στους Μακεδόνες της πρώτης γραμμής. Και πότε τα λένε; Σήμερα, μου θύμισαν, 110 χρόνια ακριβώς από τη μάχη του Κιλκίς - Λαχανά, είμαι εδώ για να μιλήσω για τον πατριωτισμό της ευθύνης.",political agenda,democracy,other,0,0.1,0,"[['friends', 'group of people', '0.7'], ['parliament', 'organization', '0.8'], ['democratic party', 'political party', '0.6'], ['country', 'country', '0.9'], ['leaders', 'group of people', '0.7'], ['philanthropy', 'organization', '0.6'], ['orthodoxy', 'organization', '0.7'], ['blue and white', 'organization', '0.6'], ['byzantium', 'location', '0.8'], ['macedonians', 'group of people', '0.7'], ['kilkis - lachanas', 'location', '0.7'], ['110 years', 'date', '0.9']]"
6,"I am here, constantly present on all fronts: at the borders, in the Aegean, in the Armed Forces, and with a strong diplomatic voice in every international step. Greeks do not see this patriotism as a cheap currency that is redeemed in elections, but as a deep feeling that is tested in deeds and behavior. They recognize in us, the New Democracy, that we have made our country stronger and safer through deeds and not empty words. And I will say it again: on May 21, we voted to win together, but on June 25, we are voting to govern together.","Είμαι εδώ, διαρκώς παρών σε όλα τα μέτωπα, στα σύνορα, στο Αιγαίο, στις Ένοπλες Δυνάμεις αλλά και με ηχηρή διπλωματική φωνή σε κάθε διεθνές βήμα. Οι Έλληνες δεν βλέπουν σε αυτόν τον πατριωτισμό ένα φθηνό νόμισμα το οποίο εξαργυρώνεται στις εκλογές, αλλά ένα βαθύ αίσθημα που δοκιμάζεται σε έργα και συμπεριφορές. Αναγνωρίζουν σε μας, τη Νέα Δημοκρατία, ότι εμείς κάναμε την πατρίδα πιο ισχυρή και πιο ασφαλή με έργα και όχι με λόγια του αέρα.Και θα το ξαναπώ: στις 21 Μαΐου ψηφίσαμε για να νικήσουμε μαζί, αλλά στις 25 Ιουνίου ψηφίζουμε για να κυβερνήσουμε μαζί.",political agenda,elections,other,0.4,0,0,"[['aegean', 'location', '0.6'], ['greeks', 'group of people', '0.6'], ['new democracy', 'organization', '0.7'], ['may 21', 'date', '0.6'], ['june 25', 'date', '0.6']]"
7,"On May 21, we implemented a policy that reduced 50 taxes, increased income and pensions, and created 300,000 new jobs. We are currently planning to improve wages for all, provide better public healthcare, and create a more efficient state that serves everyone. These goals are particularly important in achieving the much-needed investment grade. I have spoken extensively about this important milestone, which will make lending to businesses and households more favorable.","Στις 21 Μαΐου επιβραβεύσαμε μια πολιτική που μείωσε 50 φόρους, που αύξησε το εισόδημα και τις συντάξεις. Μια πολιτική που δημιούργησε 300.000 νέες θέσεις εργασίας. Ενώ τώρα σχεδιάζουμε καλύτερους μισθούς για όλους, μία καλύτερη δημόσια υγεία, ένα κράτος πιο φιλικό, πιο αποτελεσματικό, στην υπηρεσία όλων.Είναι στόχοι με ξεχωριστή σημασία στο δρόμο για την πολυπόθητη επενδυτική βαθμίδα. Έχω μιλήσει πολύ γι’ αυτό. Ένα πολύ σημαντικό ορόσημο που θα κάνει ευνοϊκότερο τον δανεισμό επιχειρήσεων και νοικοκυριών.",political agenda,economy,tax cuts,0.65,0,0,"[['may 21', 'date', '1.0'], ['300', '000', 'group of people', '0.5'], ['investment grade', 'organization', '0.5']]"
8,"But, you know, there will be no shortage of dangerous challenges in the next four years. Immigration, as you saw, is bubbling up again. An unpredictable Turkey is also a concern, as they now have stable leadership and are our neighbor. The Greek response should be a choice of national certainty and progress, guided by the credibility and trust that we have established. Just as we did what we said in our first term, we will implement our plans for tomorrow. This is my commitment. We will continue to be transparent about our mistakes and weaknesses, but with greater experience and momentum. Our momentum will grow as your mandate grows stronger. That is why I insist that an independent New Democracy is the only road that ultimately leads to a strong Greece.","Όμως, το ξέρετε, δεν θα λείψουν οι επικίνδυνες προκλήσεις την επόμενη τετραετία. Το μεταναστευτικό, το είδατε, ξαναφουντώνει. Όπως και μια απρόβλεπτη Τουρκία, ένας γείτονας που θυμίζω ότι σήμερα πια διαθέτει σταθερή ηγεσία. Η ελληνική απάντηση, λοιπόν, θα πρέπει να είναι με τη σειρά της μία επιλογή εθνικής σιγουριάς και εθνικής προκοπής.Οδηγός στον δρόμο μας θα είναι η αξιοπιστία και η εμπιστοσύνη που θεμελιώσαμε μεταξύ μας. Όπως την πρώτη θητεία κάναμε όσα είπαμε, έτσι θα υλοποιήσουμε και αύριο αυτά που σχεδιάζουμε σήμερα. Είναι δέσμευσή μου. Θα το κάνουμε όπως το κάναμε εδώ και τέσσερα χρόνια, χωρίς να κρύβουμε λάθη και αδυναμίες. Έχοντας όμως, πια, μεγαλύτερη πείρα, μεγαλύτερη ορμή. Ορμή που θα αυξάνεται όσο πιο ισχυρή είναι η δική σας εντολή. Γι’ αυτό και επιμένω ότι η αυτοδύναμη Νέα Δημοκρατία είναι ο μόνος δρόμος που οδηγεί τελικά σε μια ισχυρή Ελλάδα.",political agenda,elections,other,0,0.1,0,"[['turkey', 'location', '0.8'], ['greece', 'location', '0.8'], ['new democracy', 'political party', '0.8'], ['greece', 'country', '0.7'], ['four years', 'date', '0.6']]"
9,"Friends and colleagues of New Democracy in Thessaloniki, together we have experienced and overcome many crises over the past four years. These include migratory invasions in Evros, an almost three-year-long pandemic, an international energy crisis, and daily national issues. You have seen that the state not only kept society and the economy afloat but also delivered on all its promises, protecting our national defense like never before, relieving taxpayers of an annual burden of 7 billion, reducing unemployment by almost 7 points, always supporting the weakest, and accelerating pension payments. When we came into government, it took two to four years to receive a pension. Today, pensions are coming out in two to three months, and this is a success of New Democracy. We are the ones who have given significant increases to pensioners for the first time. Our government has accompanied these 8 percent increases with an explicit commitment to address the tragedy of the personal differential. I am here to assure pensioners who did not see an increase because of the personal differential that they will have the support of the state until the personal differential is finally erased.","Φίλες και φίλοι, συναγωνιστές της Νέας Δημοκρατίας στη Θεσσαλονίκη, μαζί ζήσαμε και ξεπεράσαμε την περασμένη τετραετία πολλές απανωτές κρίσεις. Μεταναστευτικές εισβολές στον Έβρο, μια σχεδόν τριετή πανδημία, διεθνή ενεργειακή κρίση, ακρίβεια. Καθημερινά προβλήματα, εθνικά στοιχήματα. Είδατε ότι η πολιτεία όχι μόνο κράτησε όρθιες την κοινωνία και την οικονομία, αλλά υλοποίησε όλα όσα είχε υποσχεθεί, θωρακίζοντας όσο ποτέ την εθνική μας άμυνα.Ελαφρύνοντας τους φορολογούμενους από ετήσια βάρη 7 δισεκατομμυρίων, μειώνοντας την ανεργία κατά σχεδόν 7 μονάδες, στηρίζοντας πάντα τους πιο αδύναμους, επιταχύνοντας -τα λέω αυτά για τους συνταξιούχους μας- το χρόνο απονομής των συντάξεων. Γνωρίζετε πολύ καλά ότι όταν αναλάβαμε την κυβέρνηση χρειάζονταν δύο, τρία, τέσσερα χρόνια να βγει μία σύνταξη. Σήμερα, ναι, οι συντάξεις βγαίνουν σε δύο έως τρεις μήνες και αυτό είναι μία επιτυχία της Νέας Δημοκρατίας.Εμείς είμαστε αυτοί που δώσαμε για πρώτη φορά σημαντικές αυξήσεις στους συνταξιούχους. Και η δική μας κυβέρνηση, αυτές τις αυξήσεις του 8% τις συνόδευσε με τη ρητή δέσμευση να αντιμετωπίσει τον τραγέλαφο της προσωπικής διαφοράς. Είμαι εδώ για να διαβεβαιώσω για ακόμα μία φορά τους συνταξιούχους που δεν είδαν αύξηση λόγω της προσωπικής διαφοράς, ότι θα έχουν τη στήριξη του κράτους έως ότου η προσωπική διαφορά σβήσει οριστικά.",political agenda,pensioners,pensions,0.73,0,0,"[['new democracy', 'organization', '1.0'], ['thessaloniki', 'location', '1.0'], ['evros', 'location', '1.0'], ['international', 'organization', '0.8'], ['7 billion', 'date', '1.0'], ['7 points', 'date', '1.0'], ['new democracy', 'political party', '1.0']]"
10,"The ballot box of May 21 showed that all social and demographic groups are aligning with us. Our young people see that only quality education and training lead to a secure profession, and they voted for New Democracy against all predictions. The unemployed supported us because they realized that only investment opens up new jobs. Wage earners are realizing that collective growth brings increases. Professionals are realizing that less taxes mean more revenue. Our farmers are finding that tax cuts and incentives to modernize production support their income. With unprecedented maturity, the Greeks are calling on us to move forward as our motto says: ""firmly, boldly, and only forward."" To answer this call, we must all go to the polls on June 25, and the message from the ballot box must be loud and clear.","Η κάλπη της 21ης Μαΐου έδειξε ότι δίπλα μας στοιχίζονται όλες οι κοινωνικές, όλες οι δημογραφικές ομάδες. Οι νέοι μας. Τι βλέπουν οι νέοι μας; Γιατί ψήφισαν οι νέοι τη Νέα Δημοκρατία κόντρα σε όλες τις προβλέψεις; Γιατί εσείς αναγνωρίσατε ότι μόνο οι ποιοτικές σπουδές και η κατάρτιση οδηγούν τελικά σε ένα ασφαλές επάγγελμα και στηρίξατε μία κυβέρνηση που είναι με τις βιβλιοθήκες και όχι με τις βαριοπούλες, τους μπαχαλάκηδες και τους καταληψίες.Οι άνεργοι μας στήριξαν διότι αντελήφθησαν ότι τελικά μόνο οι επενδύσεις ανοίγουν νέες δουλειές. Οι μισθωτοί συνειδητοποιούν ότι τελικά είναι η συλλογική ανάπτυξη αυτή που φέρνει αυξήσεις. Οι επαγγελματίες ότι τελικά λιγότεροι φόροι σημαίνουν περισσότερα έσοδα. Οι αγρότες μας διαπιστώνουν ότι μόνο η μείωση της φορολογίας, τα κίνητρα για τον εκσυγχρονισμό της παραγωγής, τελικά στηρίζουν το εισόδημά τους. Αισθάνομαι ότι με μία πρωτοφανή -θα έλεγα- ωριμότητα, οι Ελληνίδες και οι Έλληνες μας καλούν να προχωρήσουμε όπως λέει το σύνθημά μας: «σταθερά, τολμηρά και μόνο μπροστά». Να κάνουμε προτεραιότητες τις ελλείψεις που υπάρχουν ακόμα.Για να γίνει αυτό το οποίο φωνάζετε, πρέπει στις 25 Ιουνίου όλες και όλοι να πάμε να ψηφίσουμε και το μήνυμα της κάλπης να είναι ηχηρό.",political agenda,elections,election spending,0.75,0,0,"[['may 21', 'date', '1.0'], ['new democracy', 'political party', '1.0'], ['greeks', 'group of people', '1.0'], ['june 25', 'date', '1.0']]"
