id,text,text_el,is_criticism,topic-context,subtopic-context,sentiment,polarization-definition,populism-definition,ner-limited
1,"Young Democrats, Athenians, ONNEDites, thank you. I wholeheartedly thank you for this welcome and impressive presence. The voice of Athens can be heard thunderously in every corner of our country today. It now remains to resound in the ballot boxes on Sunday, with New Democracy as the big winner. Because, friends, only then will we cut the thread of this two-month electoral marathon with a result that will give the country a stable government, the government of New Democracy. However, this result will also give our party the strength to put its commitments, its plan, our plan for a self-reliant Greece into practice. That is why we ask for the mandate of the Greek people at the polls on Sunday.","Νεοδημοκράτισσες και Νεοδημοκράτες, Αθηναίες και Αθηναίοι, ΟΝΝΕΔίτισσες και ΟΝΝΕΔίτες, σας ευχαριστώ. Σας ευχαριστώ ολόψυχα γι’ αυτή την υποδοχή, γι’ αυτή την εντυπωσιακή σας παρουσία. Η φωνή τής Αθήνας ακούγεται σήμερα βροντερή σε κάθε γωνιά τής πατρίδας μας. Μένει πλέον να αντηχήσει και στις κάλπες της Κυριακής, με τη Νέα Δημοκρατία τη μεγάλη νικήτρια. Γιατί, φίλες και φίλοι, μόνο τότε θα κόψουμε το νήμα αυτού του δίμηνου προεκλογικού μαραθωνίου, με ένα αποτέλεσμα που θα δίνει στη χώρα μία σταθερή κυβέρνηση, την κυβέρνηση της Νέας Δημοκρατίας. Ένα αποτέλεσμα, όμως, το οποίο θα δίνει και στην παράταξή μας τη δύναμη να κάνει πράξη τις δεσμεύσεις της, το σχέδιό της, το σχέδιό μας για μία αυτοδύναμη Ελλάδα. Γι’ αυτό ζητούμε την εντολή τού ελληνικού λαού στις κάλπες της Κυριακής.",political agenda,other,election spending,0.5,0.2,0.0,"[['young democrats', 'group of people', '1.0'], ['athenians', 'group of people', '1.0'], ['onnedites', 'group of people', '1.0'], ['new democracy', 'political party', '1.0'], ['athens', 'location', '1.0'], ['greece', 'country', '1.0'], ['sunday', 'date', '1.0']]"
2,"Friends, we are back at Syntagma, the place that hosted the first meeting of our party since its founder, Constantine Karamanlis. But also the place where, as a young man, I remember Konstantinos Mitsotakis speaking to hundreds of thousands of Athenians. I really wanted to close this election period here in Syntagma. And your mass participation tonight is not only proof of your strength, but I believe it is also a symbol of a closing circle. The square is no longer divided into up and down. It is once again one, unique, free, and democratic.","Φίλες και φίλοι, είμαστε και πάλι στο Σύνταγμα, στον χώρο που φιλοξένησε την πρώτη συγκέντρωση της παράταξής μας από τον ιδρυτή της, τον Κωνσταντίνο Καραμανλή. Αλλά και στον τόπο όπου, νεαρός ακόμα, θυμάμαι να μιλάει σε εκατοντάδες χιλιάδες Αθηναίους ο Κωνσταντίνος Μητσοτάκης. Ήθελα πολύ να κλείσουμε αυτή την προεκλογική περίοδο εδώ στο Σύνταγμα. Και η αποψινή μαζική συμμετοχή σας δεν είναι απλά απόδειξη της δύναμής σας, πιστεύω ότι είναι και σύμβολο ενός κύκλου που κλείνει. Η πλατεία, πια, δεν χωρίζεται σε πάνω και κάτω. Είναι ξανά μία, μοναδική, ελεύθερη και δημοκρατική.",political agenda,other,,0.9,0.0,0.0,"[['constantine karamanlis', 'person', '0.7'], ['konstantinos mitsotakis', 'person', '0.7'], ['athenians', 'group of people', '0.6'], ['syntagma', 'location', '0.9'], ['party', 'organization', '0.7'], ['election period', 'date', '0.6'], ['square', 'location', '0.6']]"
3,"As a Member of Parliament for Athens for 20 years, I feel moved and proud. First of all, I feel moved to see so many old friends among us, old fighters of the party with whom we have fought so many battles together. But I am also moved and proud of the electoral journey we have made together so far. It may have been very hard, it may have been agonizing, but once again we have turned difficulties into opportunities.","Ως βουλευτής Αθηνών εδώ και 20 χρόνια, νιώθω συγκινημένος και περήφανος. Κατ’ αρχάς νιώθω συγκινημένος που βλέπω ανάμεσά μας τόσους παλιούς φίλους, παλιούς αγωνιστές τής παράταξης με τους οποίους δώσαμε μαζί τόσες πολλές μάχες. Είμαι, όμως, συγκινημένος και περήφανος για την προεκλογική διαδρομή την οποία κάναμε μαζί ως τώρα. Μπορεί να είχε πολύ κόπο, μπορεί να είχε αγωνίες, όμως κάναμε και πάλι τις δυσκολίες ευκαιρίες.",political agenda,elections,,0.8,,0.0,"[['athens', 'location', '1.0'], ['member of parliament', 'organization', '0.8'], ['party', 'political party', '0.8'], ['battles', 'group of people', '0.6'], ['friends', 'group of people', '0.6'], ['electoral journey', 'organization', '0.5'], ['20 years', 'date', '1.0']]"
4,"You, the life of the party, have disseminated our positions to society. A huge ""thank you"" to all of our members who put my request into action, following the great victory of June 25th, to run for the party. You succeeded. A big ""thank you"". You demonstrated that New Democracy is the most well-organized party in the country and the largest center-right party in Europe.","Εσείς, η ψυχή τού κόμματος, απλώσατε τις θέσεις μας στην κοινωνία. Ένα μεγάλο «ευχαριστώ» σε όλα μας τα στελέχη τα οποία έκαναν πράξη το αίτημά μου, μετά τη μεγάλη νίκη της 25ης Ιουνίου, να τρέξουν για το κόμμα. Το κάνατε. Ένα μεγάλο «ευχαριστώ». Αποδείξατε ότι η Νέα Δημοκρατία είναι το καλύτερα οργανωμένο κόμμα στην πατρίδα και το μεγαλύτερο κεντροδεξιό κόμμα στην Ευρώπη.",political agenda,elections,other,0.6,0.0,0.0,"[['new democracy', 'organization', '0.8'], ['june 25th', 'date', '0.8'], ['europe', 'location', '0.7']]"
5,"I feel today, I can say, that I have done my duty. I have crossed the country again, town by town, village by village, from one corner of Greece to another. It has been an exciting journey, which offers me satisfaction and knowledge each time, and gives me strength and responsibility.","Εγώ με τη σειρά μου αισθάνομαι σήμερα, μπορώ να το πω, ότι έκανα το δικό μου καθήκον. Διέτρεξα ξανά τη χώρα, πόλη-πόλη, χωριό-χωριό, από τη μια γωνιά της Ελλάδος στην άλλη. Ένα συναρπαστικό ταξίδι, που κάθε φορά μου προσφέρει ικανοποίηση αλλά και γνώση, μου προσφέρει δύναμη αλλά και ευθύνη.",political agenda,elections,other,0.75,0.0,0.0,"[['greece', 'country', '1.0']]"
6,"But be careful, we are in the final stretch. We are also in the final effort. Until the day after tomorrow at 7:00 PM, we have our enthusiasm as an ally. We have enthusiasm as an ally, but we also have an enemy: complacency. So first, we go to the polls, and then we continue with our day so that no vote is lost without a vote.","Προσοχή όμως, είμαστε στην τελική ευθεία, είμαστε ταυτόχρονα στην τελική προσπάθεια. Ως μεθαύριο στις 19:00 το απόγευμα έχουμε σύμμαχο τον ενθουσιασμό μας. Έχουμε σύμμαχο τον ενθουσιασμό, αλλά έχουμε και έναν εχθρό, τον εφησυχασμό. Πρώτα, λοιπόν, πάμε στις κάλπες και μετά συνεχίζουμε την ημέρα μας, ώστε καμία ψήφος να μη χαθεί αψήφιστα.",political agenda,elections,abstention,0.1,0.0,0.0,"[['1. the day after tomorrow', 'date', '1.0'], ['2. 7:00 pm', 'date', '1.0']]"
7,"I have spoken many times about the inexorable arithmetic of the ballot box. Beware! A small and careless inaction on our part, resulting in more parties in Parliament, can bring many traps to the surface. Just consider this: a few fewer votes in each constituency of the territory are enough to jeopardize the emergence of a strong government. But that is what we will prevent together. So, just as in May, armed with simple logic, we cancelled simple proportional representation. Now, political responsibility must and will lead to national stability. With the mature choice of every Greek woman and every Greek man who seeks security and prosperity for themselves, their families, and their children above all else.","Έχω μιλήσει πολλές φορές, για την αμείλικτη αριθμητική της κάλπης. Προσέξτε, μία μικρή και επιπόλαιη δική μας αδράνεια, περισσότερα κόμματα στη Βουλή, μπορεί να φέρουν πολλές παγίδες στην επιφάνεια. Σκεφτείτε μόνο το εξής: μερικές ψήφοι λιγότερες σε κάθε εκλογικό τμήμα της επικράτειας αρκούν, για να θέσουν σε κίνδυνο την ανάδειξη μίας ισχυρής κυβέρνησης. Αυτό, όμως, όλοι μαζί θα το αποτρέψουμε. Όπως, λοιπόν, τον Μάιο με όπλο την απλή λογική ακυρώσαμε την απλή αναλογική, έτσι και τώρα η πολιτική υπευθυνότητα πρέπει να οδηγήσει και θα οδηγήσει στην εθνική σταθερότητα. Με την ώριμη επιλογή κάθε Ελληνίδας και κάθε Έλληνα που πάνω από καθετί επιδιώκει τη σιγουριά και την προκοπή για τον ίδιο, για την οικογένειά του, για τα παιδιά του.",political agenda,other,abstention,0.0,0.1,0.0,"[['greek', 'nationality', '1.0'], ['parliament', 'organization', '0.5'], ['government', 'organization', '0.5'], ['may', 'date', '1.0'], ['proportional representation', 'political party', '0.5'], ['greek', 'person', '1.0']]"
8,"We know, of course, that the expectation bar is high. How many people would have bet before the last election that New Democracy would increase its share of the vote and exceed 40%? But we achieved it, thanks to you. So the bar is high, but I ask all of you, citizens of Athens, to make a bet and surpass it. To achieve even better rates here in the basin. I am sure that the capital city knows how to live up to its title, repeating the triumph we achieved in the first electoral district of Athens, setting a record again in terms of percentages.","Ξέρουμε, βέβαια, ότι ο πήχης των προσδοκιών είναι ψηλά. Πόσοι θα στοιχημάτιζαν άραγε πριν από τις προηγούμενες εκλογές ότι η Νέα Δημοκρατία θα αύξανε τα ποσοστά της και θα ξεπερνούσε το 40%; Το πετύχαμε, όμως, χάρη σε εσάς. Ο πήχης, λοιπόν, είναι ψηλά αλλά σας ζητώ όλες και όλοι μαζί, πολίτες της Αθήνας, να βάλουμε ένα στοίχημα και να τον ξεπεράσουμε. Να πετύχουμε εδώ στο λεκανοπέδιο ακόμα καλύτερα ποσοστά. Είμαι σίγουρος ότι η πρωτεύουσα ξέρει να δικαιώνει τον τίτλο της,  επαναλαμβάνοντας τον θρίαμβο που πετύχαμε στην Α’ Εκλογική Περιφέρεια της Αθήνας, κάνοντας και πάλι ρεκόρ ποσοστών.",political agenda,elections,election spending,,0.0,0.0,"[['new democracy', 'political party', 'high'], ['athens', 'location', 'high'], ['capital city', 'location', 'medium'], ['the first electoral district of athens', 'location', 'medium'], ['percentage', 'date', 'low']]"
9,"Allow me to make a special reference here to my own constituency. We made West Athens blue for the first time, as we had committed to pursue, bringing the double blue predominance to Piraeus and the islands. After all, all of Greece is blue and will remain blue after Sunday's ballot box. Greece is blue and will remain blue because blue is the color of our flag, the sky, the sea, and Greece. This impressive result is proof that this open, progressive party now represents all social strata and all ages in a new reality.","Επιτρέψτε μου εδώ μία ξεχωριστή αναφορά στην ιδιαίτερη εκλογική μου περιφέρεια, κάνοντας τη Δυτική Αθήνα για πρώτη φορά γαλάζια, όπως είχαμε δεσμευτεί ότι θα επιδιώξουμε, φέρνοντας τη διπλή γαλάζια επικράτηση στον Πειραιά, στα νησιά. Εξάλλου, όλη η Ελλάδα είναι μπλε και θα παραμείνει μπλε μετά την κάλπη της Κυριακής. Η Ελλάδα είναι μπλε και θα παραμείνει μπλε. Γιατί το μπλε είναι το χρώμα της σημαίας μας, είναι το χρώμα τού ουρανού, είναι το χρώμα τής θάλασσας, είναι το χρώμα τής Ελλάδας. Και αυτό το εντυπωσιακό αποτέλεσμα είναι απόδειξη ότι αυτή η ανοιχτή, προοδευτική παράταξη εκπροσωπεί πλέον όλα τα κοινωνικά στρώματα. Εκπροσωπεί πλέον όλες τις ηλικίες σε μια νέα πραγματικότητα.",political agenda,elections,other,0.8,0.2,0.0,"[['west athens', 'location', '0.6'], ['piraeus', 'location', '0.6'], ['greece', 'country', '0.9'], ['sunday', 'date', '0.6']]"
10,"Where are all those people who told us that New Democracy is behind the new generation? I thank the young people who put New Democracy first in these age groups. And why is that? Because young people know very well that in the end, it is quality public education and training that lead to a better profession. The unemployed are well aware that only investment opens up new jobs. Wage earners and pensioners know that ultimately, collective development brings increases. Remember, for the first time, we have increased pensions, and pensions will continue to increase as long as the economy grows. Professionals, entrepreneurs - especially small and medium-sized entrepreneurs - now know that fewer taxes can mean more revenue. Our farmers understand that only by modernizing their production, working together, and introducing technology can they ultimately increase their income.","Πού είναι τώρα όλοι αυτοί που μας έλεγαν ότι η Νέα Δημοκρατία είναι πίσω στη νέα γενιά; Ευχαριστώ τις νέες και τους νέους που ανέδειξαν τη Νέα Δημοκρατία πρώτη σε αυτές τις ηλικίες. Και γιατί έγινε αυτό; Διότι οι νέοι γνωρίζουν πολύ καλά ότι τελικά είναι οι ποιοτικές δημόσιες σπουδές, είναι η κατάρτιση, που οδηγούν σε ένα καλύτερο επάγγελμα. Οι άνεργοι γνωρίζουν καλά πως μόνο οι επενδύσεις ανοίγουν νέες δουλειές. Οι μισθωτοί, οι συνταξιούχοι γνωρίζουν ότι τελικά είναι η συλλογική ανάπτυξη αυτή η οποία φέρνει αυξήσεις. Θυμίζω, για πρώτη φορά αυξήσαμε εμείς τις συντάξεις και οι συντάξεις θα εξακολουθούν να αυξάνονται όσο η οικονομία αναπτύσσεται. Οι επαγγελματίες, οι επιχειρηματίες -κυρίως οι μικρομεσαίοι επιχειρηματίες- γνωρίζουν πια ότι λιγότεροι φόροι μπορούν να σημαίνουν περισσότερα έσοδα. Οι αγρότες μας αντιλαμβάνονται ότι μόνο ο εκσυγχρονισμός τής παραγωγής τους, η συνεργασία, η εισαγωγή της τεχνολογίας μεγαλώνει τελικά το εισόδημά τους.",political agenda,employment,youth,0.6,0.0,0.2,"[['new democracy', 'political party', '0.6'], ['young people', 'group of people', '0.8'], ['public education', 'organization', '0.7'], ['new jobs', 'organization', '0.5'], ['wage earners', 'group of people', '0.6'], ['pensioners', 'group of people', '0.6'], ['economy', 'organization', '0.4'], ['professionals', 'group of people', '0.6'], ['entrepreneurs', 'group of people', '0.6'], ['small and medium-sized entrepreneurs', 'group of people', '0.6'], ['taxes', 'organization', '0.5'], ['farmers', 'group of people', '0.6']]"
