id,text,text_el,is_criticism,topic-context,subtopic-context,sentiment,polarization-definition,populism-definition,ner-limited
1,"Thank you very much for this warm welcome. It truly strengthens my soul. I want to express my gratitude for your presence here today as we embark on a new beginning. We must remember that although we may fall, we must always get back up. We are all standing here together, and I wonder if there is anyone among us who truly believed that we would not fight this new battle with determination, or that there was even a chance that we would give up and abandon this fight. We did not give up during much more difficult times, and we will not give up now. So let us stand up and face this challenge together.","Σας ευχαριστώ θερμά γι' αυτή την υποδοχή, είναι πραγματικά δύναμη ψυχής. Θέλω να σας ευχαριστήσω γιατί βρίσκεστε σήμερα εδώ και είμαστε όλοι και όλες μαζί εδώ, σε ένα νέο ξεκίνημα. Γιατί, επιτρέπεται να πέσεις, επιβάλλεται να σηκωθείς! Είμαστε όλοι εδώ, όρθιοι και όρθιες. Και αναρωτιέμαι αν υπάρχει έστω και ένας απ' όλους και όλες εσάς που να πίστεψε στ’ αλήθεια ότι δεν θα δίναμε μαζί, με αποφασιστικότητα αυτή τη νέα μάχη, ότι υπήρχε έστω και μια πιθανότητα να εγκαταλείψω και να εγκαταλείψουμε αυτή τη μάχη. Δεν εγκαταλείψαμε σε πολύ πιο δύσκολες στιγμές, σταθήκαμε όρθιοι. Έτσι και τώρα στεκόμαστε όρθιοι.",political agenda,elections,other,0.7,0.0,0.0,[]
2,"Many times, our opponents believed that we would give up the battle. We fell many times along the way, but we got up and always fought. We didn't give them the slightest slack, and we won't give them slack now. It is no coincidence that we have decided to start this new critical battle together again, from here, from Kokkinia, from our roots, from our home. Kokkinia is the home of workers' struggles, the National Resistance, refugees, and the Kokkinia blockade. Here, we have our roots, the roots of justice, equality, and struggle. In this neighborhood, as well as in other popular neighborhoods of Piraeus, such as Keratsini, Drapetsona, Perama, and Korydallos, the voice of young people against fascism has been resounding for ten years with the slogan ""Pavlo, you live!"" Here, in these streets, is our home and our political heritage. We are a resilient people who do not compromise, who do not give in to any correlation, who do not give up.","Πίστεψαν πολλές φορές οι αντίπαλοί μας ότι θα εγκαταλείψουμε τη μάχη. Πέσαμε πολλές φορές στη διαδρομή μας, σηκώσαμε όμως και παλέψαμε πάντα. Δεν τους κάναμε το χατίρι, ούτε και τώρα θα τους κάνουμε το χατίρι. Δεν είναι τυχαίο που αποφασίσαμε να ξεκινήσουμε ξανά μαζί τη νέα κρίσιμη αυτή μάχη, από εδώ, από την Κοκκινιά από τις ρίζες μας, από το σπίτι μας. Από την Κοκκινιά των εργατικών αγώνων, της Εθνικής Αντίστασης, των προσφύγων, του μπλόκου της Κοκκινιάς. Εδώ έχουμε τις ρίζες μας, τις ρίζες της δικαιοσύνης, της ισότητας, του αγώνα. Εδώ, σε αυτή εδώ τη γειτονιά όπως και στις άλλες λαϊκές γειτονιές του Πειραιά, στο Κερατσίνι, τη Δραπετσώνα, το Πέραμα, τον Κορυδαλλό, σε αυτούς τους δρόμους εδώ και δέκα χρόνια αντηχεί η φωνή των νέων ανθρώπων ενάντια στον φασισμό, το σύνθημα «Παύλο, ζεις»! Εδώ, σε αυτούς τους δρόμους. Εδώ είναι το σπίτι μας και αυτή είναι η πολιτική μας κληρονομιά. Η κληρονομιά ενός ανθεκτικού λαού που δεν συμβιβάζεται, που δεν υποκύπτει σε κανένα συσχετισμό, που δεν το βάζει κάτω.",political agenda,other,other,0.4,0.1,0.2,"[['kokkinia', 'location', '1.0'], ['national resistance', 'group of people', '0.6'], ['piraeus', 'location', '0.7'], ['keratsini', 'location', '0.6'], ['drapetsona', 'location', '0.6'], ['perama', 'location', '0.6'], ['korydallos', 'location', '0.6']]"
3,"This is the message that I want to convey today to the centers of power, who once again dream and plan to finish us off. To all those who cannot hide their impatience, today we answer them from here, from Kokkinia: the controlled and convenient two-party system, which bankrupted us and threw us on the rocks, will not return. We are not going to do you any favors, we are not going to give up. Red will be red again! The people's neighborhoods, the workers, the employees, the unemployed, the small and medium-sized entrepreneurs will not be left without support, without a decoy, without someone to genuinely represent their class interests, and we will do everything in our power to achieve this.","Αυτό είναι και το μήνυμα που θέλω σήμερα να δώσουμε προς τα κέντρα εξουσίας, που για μια ακόμα φορά ονειρεύονται και σχεδιάζουν να μας τελειώσουν. Προς όλους αυτούς που δεν μπορούν να κρύψουν την αδημονία τους, σήμερα τους απαντάμε από εδώ, από την Κοκκινιά: ο ελεγχόμενος και βολικός γι' αυτούς συστημικός δικομματισμός, αυτός που μας χρεοκόπησε, αυτός που μας πέταξε στα βράχια, δεν θα επιστρέψει. Δεν πρόκειται να σας κάνουμε το χατίρι, δεν θα το βάλουμε κάτω. Η Κοκκινιά θα ξαναγίνει κόκκινη! Οι λαϊκές γειτονιές, οι εργαζόμενοι, οι μισθωτοί, οι άνεργοι, οι μικρομεσαίοι επιχειρηματίες δεν θα μείνουν χωρίς στήριγμα, χωρίς αποκούμπι, χωρίς κάποιον να εκπροσωπεί γνήσια τα ταξικά τους συμφέροντα και θα κάνουμε ό,τι περνά από το χέρι μας για αυτό. ",political agenda,elections,bankruptcy,0.5,0.6,0.0,"[['kokkinia', 'location', '1.0'], ['employees', 'group of people', '0.6'], ['unemployed', 'group of people', '0.6'], ['entrepreneurs', 'group of people', '0.6'], ['red', 'political party', '0.6']]"
4,"Citizens of Kokkinia and the popular neighbourhoods of Piraeus, we are here today because we have heard the message of the Greek people. It is not the people's fault, it is our fault that we have failed to communicate our programme and express our messages in a way commensurate with our capabilities and our history. I take that responsibility first. We are here today precisely because we have heard this message and want to join with your strength to mend the threads that we cut on our own responsibility, in a new path of trust. On May 21st, the Greek people told us that they have greater demands of us, that they expect more, and I will be the first to say that they are right. We got the message and we are setting the bar high to correct ourselves. We are changing, getting stronger, and moving forward. Our fight is not to keep our seats and our percentages, but to keep the hope of justice alive in this society and country. That is our struggle, to keep the cohesion of society alive in the face of policies that want to crush and weaken it.","Πολίτες της Κοκκινιάς και των λαϊκών γειτονιών του Πειραιά, είμαστε όμως σήμερα εδώ γιατί έχουμε ακούσει το μήνυμα του ελληνικού λαού. Δεν φταίει ο λαός, εμείς φταίμε που δεν καταφέραμε να επικοινωνήσουμε το πρόγραμμά μας, που δεν καταφέραμε να εκφράσουμε τα μηνύματά μας με τρόπο αντίστοιχο των δυνατοτήτων και της ιστορία μας. Και αυτή την ευθύνη την αναλαμβάνω πρώτος εγώ. Είμαστε όμως σήμερα εδώ, ακριβώς γιατί έχουμε ακούσει αυτό το μήνυμα για να ενώσουμε με τη δική σας δύναμη τα νήματα που έχουν κοπεί με δική μας ευθύνη, σε μια νέα πορεία εμπιστοσύνης. Στις 21 Μαΐου ο ελληνικός λαός μας είπε ότι έχει μεγαλύτερες απαιτήσεις από εμάς, ότι περιμένει περισσότερα και είμαι ο πρώτος που θα πω ότι έχει δίκιο. Λάβαμε το μήνυμα και βάζουμε τον πήχη ψηλά για να διορθωθούμε. Αλλάζουμε, δυναμώνουμε και προχωράμε. Όχι για να κρατήσουμε τις έδρες μας και τα ποσοστά μας, δεν είναι αυτός ο αγώνας μας. Ο αγώνας μας είναι να κρατήσουμε ζωντανή την ελπίδα της δικαιοσύνης σε αυτή την κοινωνία, σε αυτό τον τόπο. Αυτός είναι ο αγώνας μας. Να κρατήσουμε ζωντανή τη συνοχή της κοινωνίας απέναντι σε πολιτικές που θέλουν να τη συνθλίψουν, να την αποδυναμώσουν.",political agenda,accountability,self reflection,0.6,0.2,0.0,"[['kokkinia', 'location', '0.75'], ['piraeus', 'location', '0.75'], ['greek people', 'group of people', '0.75'], ['may 21st', 'date', '0.75'], ['society', 'group of people', '0.75'], ['country', 'country', '0.75']]"
5,"Because the result of the May 21 elections was not only negative for us, but also negative for society and the country. That is the main thing that motivates us to do more. That is why we have been giving a coordinated response from the first days. We will all be here, present and accounted for, in this new battle - more stubborn, more determined, and more united than ever before. And we will fight until the last second before the ballot box closes for a victorious result. We will fight with heart, with soul, but also with brains, putting our program at the center, talking to the people about the big issues that matter to them - programs, not propaganda; society, not communication.","Γιατί το αποτέλεσμα των εκλογών της 21ης του Μάη δεν ήταν αρνητικό μόνο για μας, ήταν αρνητικό για την κοινωνία και τη χώρα και αυτό είναι το βασικό. Αυτό είναι που μας παρακινεί να κάνουμε περισσότερα. Γι’ αυτό δίνουμε από τις πρώτες μέρες συντεταγμένα την απάντηση: Θα είμαστε όλοι και όλες εδώ, παρούσες και παρόντες, σε αυτή τη νέα μάχη πιο πεισμωμένοι, πιο αποφασισμένοι, πιο ενωμένοι από ποτέ. Και θα παλέψουμε μέχρι το τελευταίο δευτερόλεπτο πριν κλείσει η κάλπη για να έχουμε ένα νικηφόρο αποτέλεσμα. Θα παλέψουμε με καρδιά, με ψυχή, αλλά και με μυαλό, βάζοντας στο επίκεντρο το πρόγραμμά μας, μιλώντας στον κόσμο για τα μεγάλα προβλήματα που τον απασχολούν, τα προγράμματα και όχι τη προπαγάνδα, τη κοινωνία και όχι την επικοινωνία. ",political agenda,elections,campaigning,0.5,0.0,0.0,"[['may 21', 'date', '1.0'], ['us', 'group of people', '1.0'], ['society', 'group of people', '1.0'], ['country', 'country', '1.0'], ['here', 'location', '0.8'], ['new battle', 'organization', '0.8'], ['ballot box', 'organization', '0.6']]"
6,"Friends, on June 25th we do not have a run-off election. It is not a run-off match, to speak in football terms, where there was a defeat in the first match and the score counts. It is a second, completely separate election. And this election is also the most crucial election because it is the contest that will give the country the government it will have for the next few years. This final and crucial election will decide the lives of people, our fellow citizens, and all of us for the next four years. It will decide whether we will move towards a society of freedom, rights, justice, and security or a society where inequality, the party-prey state, corruption, and the waste of public money will become the norm and an uncontrollable regime. This electoral battle will decide whether public goods, even water, will become the object of trade and obscenity, whether hundreds of thousands of houses will be put under the hammer, and whether even human lives will be sacrificed on the altar of speculative absurdity.","Φίλες και φίλοι, στις 25 Ιουνίου δεν έχουμε επαναληπτικές εκλογές, δεν είναι ο επαναληπτικός αγώνας -για να μιλήσω με όρους ποδοσφαιρικούς- που στον πρώτο αγώνα υπήρξε μια ήττα και μετράει το σκορ. Είναι μια δεύτερη, εντελώς ξεχωριστή εκλογική αναμέτρηση. Και αυτή η εκλογική αναμέτρηση είναι και η πιο κρίσιμη. Διότι είναι η αναμέτρηση η οποία θα δώσει την κυβέρνηση που θα έχει ο τόπος για τα επόμενα χρόνια. Αυτή η τελική και κρίσιμη εκλογική μάχη θα κρίνει τις ζωές των ανθρώπων, των συμπολιτών μας, όλων μας, για τα επόμενα τέσσερα χρόνια. Θα κρίνει αν θα πορευτούμε σε μια κοινωνία ελευθερίας, δικαιωμάτων, δικαιοσύνης, ασφάλειας ή σε μια κοινωνία που η ανισότητα, το κράτος κομματικό λάφυρο, η διαφθορά και η διασπάθιση του δημόσιου χρήματος θα γίνουν κανονικότητα και ανεξέλεγκτο καθεστώς. Θα κρίνει αυτή η εκλογική μάχη αν θα γίνουν αντικείμενο εμπορίας και αισχροκέρδειας τα δημόσια αγαθά, ακόμα και το νερό. Αν θα βγουν στο σφυρί εκατοντάδες χιλιάδες σπίτια. Αν θα θυσιάζονται ακόμα και ανθρώπινες ζωές στον βωμό του κερδοσκοπικού παραλογισμού.  ",criticism,corruption,other,-0.8,0.1,0.0,"[['june 25th', 'date', '1.0'], ['football', 'organization', '0.5'], ['hundreds of thousands', 'group of people', '0.8']]"
7,"We are not flying in the clouds. We are fully aware of the difficulties, but we also have a non-negotiable principle, born out of the most difficult years, where our roots, as I said before, are still alive. Our history, the history of the struggles of our people, has taught us one thing: Only battles that are not fought are lost. We will not only fight this battle, but we will bleed if necessary to win it. Because our success in the electoral battle before us, I repeat, is not about us; it is about the vast majority of our people.","Δεν πετάμε στα σύννεφα. Έχουμε πλήρη επίγνωση των δυσκολιών, έχουμε όμως και μια αδιαπραγμάτευτη αρχή, βγαλμένη από τα πιο δύσκολα χρόνια από όπου κρατούν οι ρίζες μας που έλεγα πιο πριν. Η ιστορία μας, η ιστορία των αγώνων του λαού μας, μας έχει μάθει ένα πράγμα: Χαμένες μάχες είναι μονάχα οι μάχες που δεν δίνονται. Εμείς όχι μόνο θα δώσουμε αυτή τη μάχη, αλλά θα ματώσουμε αν χρειαστεί, για να τη κερδίσουμε. Γιατί η επιτυχία μας στην εκλογική μάχη που έχουμε μπροστά μας, επαναλαμβάνω, δεν αφορά εμάς, αφορά τη μεγάλη πλειοψηφία του λαού μας.",political agenda,elections,other,,0.0,0.0,[]
8,It concerns employees in the private and public sectors whose pay does not correspond to their performance and working conditions.,"Αφορά τους μισθωτούς του ιδιωτικού και του δημόσιου τομέα, που οι αμοιβές τους δεν ανταποκρίνονται στους όρους απόδοσης και τις συνθήκες εργασίας",political agenda,employment,wages,0.0,0.0,0.0,"[['private sector', 'organization', '0.5'], ['public sector', 'organization', '0.5.']]"
9,It concerns pensioners who live in marginal housing.,Αφορά τους συνταξιούχους που διαβιούν οριακά,political agenda,pensioners,pensions,-0.5,0.0,0.0,"[['pensioners', 'group of people', '0.8'], ['marginal housing', 'location', '0.7']]"
10,It concerns individuals who have experienced a 40% decrease in their purchasing power in recent years.,Αφορά τους ανθρώπους που έχουν χάσει το 40% της αγοραστικής τους δύναμης τα τελευταία χρόνια,political agenda,economy,cost of living,-0.8,0.0,0.0,[]
