id,text,text_el,is_criticism,topic-context,subtopic-context,sentiment,polarization-definition,populism-definition,ner-limited
1,"I want to warmly thank you for your welcome in Chalcis. Thank you very much for the welcome and applause. Today, I am here in Chalkida, Evia, a region that knows all too well what injustice means. We are here to listen to the people, to listen to the citizens, and to put forward our proposals. We have a difficult struggle ahead of us in difficult circumstances, but you have known for years that our basic characteristic is that we do not give up. We fight with determination, even in the most difficult moments. We do not give up because what dominates our thinking is not party interests, but the fact that society is currently facing a great risk. Greek society needs support. Greek society needs a plan and a breathing program for the next day to tackle the great inequalities. Greek society, especially those forces such as wage earners, workers, small and medium-sized entrepreneurs, farmers, and stockbreeders, need support in the next day. So we will do everything we can to reverse these correlations that we saw at the ballot box on May 21st.","Θέλω να Σας ευχαριστήσω θερμά για την υποδοχή σας από τη χαλκίδα. Σας ευχαριστώ θερμά για την υποδοχή και για το χειροκρότημα. Είμαι σήμερα εδώ στη χαλκίδα στην Ευβοια σε μια περιοχή που γνωρίζει πάρα πολύ καλά τι θα πει αδικία. Και είμαστε εδώ για να ακούσουμε τους ανθρώπους να ακούσουμε τους πολίτες αλλά και να καταθέσουμε τις προτάσεις μας, διότι έχουμε μπροστά μας ένα δύσκολο αγώνα σε δύσκολες συνθήκες, αλλά το γνωρίζετε χρόνια ότι το βασικό μας χαρακτηριστικό είναι ότι δεν το βάζουμε κάτω.Δίνουμε τον αγώνα με αποφασιστικότητα και στις πιο δύσκολες στιγμές. Και δεν το βάζουμε κάτω, γιατί αυτό που. Κυριαρχεί στη σκέψη μας, δεν είναι με το κομματικό συμφέρον, αλλά το ότι η κοινωνία βρίσκεται αυτή τη στιγμή μπροστά σε μια μεγάλη διακινδύνευση, η ελληνική κοινωνία χρειάζεται στήριγμα. Η ελληνική κοινωνία χρειάζεται την επόμενη μέρα ένα σχέδιο και ένα πρόγραμμα ανάσας για να αντιμετωπίσουμε τις μεγάλες ανισότητες. Η ελληνική κοινωνία και κυρίως οι δυνάμεις εκείνες. Οι μισθωτοί, οι εργαζόμενοι, οι μικρομεσαίοι επιχειρηματίες, οι αγρότες και κτηνοτρόφοι χρειάζονται να έχουν στήριγμα την επόμενη μέρα. Θα κάνουμε λοιπόν ότι μπορούμε για να ανατρέψουμε αυτούς τους συσχετισμούς που είδαμε στην κάλπη της εικοστής πρώτης του Μάη.",political agenda,elections,inequality,0.5,0.0,0.0,"[['chalcis', 'location', '0.8'], ['evia', 'location', '0.7'], ['chalkida', 'location', '0.8'], ['greek society', 'group of people', '0.9'], ['wage earners', 'group of people', '0.6'], ['workers', 'group of people', '0.6'], ['small and medium-sized entrepreneurs', 'group of people', '0.6'], ['farmers', 'group of people', '0.6'], ['stockbreeders', 'group of people', '0.6'], ['may 21st', 'date', '0.8']]"
2,"On June 25th, there will be a new election. On May 21st, we had a vision that we were unable to put into practice. Our vision was to change the political system by implementing a simple proportional representation system with the goal of cooperation between progressive forces. Unfortunately, all the other progressive forces were focused on their own interests instead of the future of the country. We extended our hand for cooperation, but they rejected it and chose to align with Mr. Mitsotakis instead. We have self-criticized and realized that this vision cannot be implemented anymore. The strategic choice of proportional representation has suffered a defeat, and we are now facing elections with a different electoral system. There is no simple proportional representation, and it may not exist for many years to come. In this election, we are using the system of enhanced proportional representation, which means that either one party or the other will rule.","Στις 25 του Ιούνη Είναι μια νέα εκλογική αναμέτρηση. 21 του Μάη είχαμε ένα όραμα, ένα όραμα που δεν καταφέραμε να κάνουμε πράξη.Το όραμα αυτό ήτανε να αλλάξουμε το πολιτικό σύστημα για αυτό και οραματιστήκαμε την απλή αναλογική με στόχο τη συνεργασία των προοδευτικών δυνάμεων. Δυστυχώς όμως όλες οι άλλες προοδευτικές δυνάμεις, ενώ εμείς κοιτάζαμε το μέλλον της χώρας, κοίταζαν πώς θα μεγαλώσουν το δικό τους το χωράφι τους απλώσαμε το χέρι της συνεργασίας και αυτοί κοιτάγανε να χτυπήσουν το δικό μας χερι που τους απλώναμε και όχι τη δεξιά του κυρίου Μητσοτάκη. Αυτό σημαίνει και κάναμε την αυτοκριτική μας ότι αυτό το όραμα πια δεν μπορεί να γίνει πράξη. Η στρατηγική επιλογή της απλής αναλογικής υπέστη μια στρατηγική ήττα. Και τώρα έχουμε μπροστά μας εκλογές με ένα άλλο εκλογικό σύστημα. Δεν υπάρχει απλή αναλογική και ίσως για πάρα πολλά χρόνια δεν θα υπάρξει ποτέ ξανά να είμαστε ειλικρινείς και να παραδεχόμαστε την πραγματικότητα, αλλά σε αυτή την εκλογική αναμέτρηση πηγαίνουμε με το σύστημα της ενισχυμένης αναλογικής.Και ενισχυμένη αναλογική σημαίνει ότι είτε ο ένας είτε ο άλλος θα κυβερνήσει. ",political agenda,elections,other,-0.6,0.2,0.0,"[['june 25th', 'date', '1.0'], ['may 21st', 'date', '1.0'], ['mr. mitsotakis', 'person', '1.0']]"
3,"Of course, we understand the difficulty of a negative correlation, but citizens need to know what the alternative plans that are currently being opposed are. The alternative plans are those of the New Democracy of Mr Mitsotakis. They say tax breaks for the rich and taxes for the many, the non-existence of a welfare state, the dismantling of public health care, the dismantling of public infrastructure. On the other hand, the Syriza programme says that society must be supported, we must build up the public health care system, we must tackle the problem of poverty, we must strengthen income, we must stand by the farmer, the stockbreeder, the small and medium-sized entrepreneur. That is why we choose to fight this battle with our programme as our weapon. Before the election, Mitsotakis and his propaganda wanted to create the impression that SYRIZA's programme is supposedly over-budget. It does not come off. We were told that it costs 20, 40, 80 billion euros. Who are those who bankrupted the country in 2009? Do not forget that they left us in 2015 with empty coffers. We managed to get the country out of the memoranda and the crisis and left 37 billion in the public coffers. Who are those who owe the banks 400 million euros, borrowed and unloaned? They tell us that we do not know how to make calculations, that we do not owe the 1 €.","Βεβαίως, αντιλαμβανόμαστε τη δυσκολία ενός αρνητικού συσχετισμού, όμως οι πολίτες πρέπει να γνωρίζουν ποια είναι τα εναλλακτικά σχέδια που σήμερα αντιπαρατίθενται. Τα εναλλακτικά σχέδια είναι αυτό της νέας Δημοκρατίας του κυρίου Μητσοτάκη. Το οποιο τι Λέει φοροαπαλλαγές στους πλούσιους και φορολεηλασία στους πολλούς λέει ανυπαρξία κοινωνικού κράτους διαλυση της δημόσιας υγείας.Διάλυση των δημόσιων υποδομών.Και από την άλλη, το πρόγραμμα του ΣΥΡΙΖΑ που λέει ότι πρέπει να στηριχθεί η κοινωνία πρέπει να συγκροτήσουμε το δημόσιο σύστημα υγείας. Πρέπει να αντιμετωπίσουμε το πρόβλημα της ακρίβειας, να ενισχύσουμε το εισόδημα.Πρέπει να σταθούμε δίπλα στον αγρότη, τον κτηνοτρόφο, τον μικρομεσαίο επιχειρηματία. Γι αυτό λοιπόν εμείς επιλέγουμε να δώσουμε αυτή τη μάχη με όπλο το πρόγραμμά μας. Προεκλογικά ο Μητσοτάκης και η προπαγάνδα του ήθελε να δημιουργήσει την εντύπωση ότι το πρόγραμμα του ΣΥΡΙΖΑ είναι δήθεν υπερκοστολογημένο. Δεν βγαίνει, μας είπαν ότι κάνει μια 20, 40, 80 δισεκατομμύρια ευρώ. Ποιοι αυτοί οι οποίοι χρεοκόπησαν τη χώρα το 2009; Μην τα ξεχνάμε αυτά αφήνουν μας άφησαν το 2015 με άδεια ταμεία, Σε ποιους σε εμάς καταφέραμε να βγάλουμε τη χώρα από τα μνημόνια και την κρίση και αφήσαμε 37 δισεκατομμύρια. Τα δημόσια ταμεία και ποιοι αυτοί που χρωστάνε στις τράπεζες 400 εκατομμύρια ευρώ, δανεικά και αγύριστα λένε σε μας ότι δεν ξέρουμε να κάνουμε υπολογισμούς που δεν χρωστάμε το 1 €. ",criticism,economy,austerity,0.0,0.6,0.0,"[['mr mitsotakis', 'person', '1.0'], ['new democracy', 'political party', '1.0'], ['syriza', 'political party', '1.0'], ['greece', 'country', '1.0'], ['2015', 'date', '1.0']]"
4,"However, the majority of Greek society did not hear our proposals but instead watched this debate about the cost of our program. Did you travel from the western regions to the popular neighborhoods of Athens? I proposed to Mr. Mitsotakis that we should take our programs together to the general accounting office of the state, to the budget office of the parliament, to whichever independent body would eventually cost them, and the next day he should not run away but come and discuss them publicly and openly in a television debate about the programs. So yesterday, the masks came off. He wants neither a costing of his program nor a TV debate; all he wants is to lie and propagandize. I wonder why the New Republic refuses to cost their own program? Why? Because it's a favor to us, the spokesman said yesterday. Mr. Skertsos stated that their program has been tabled in the medium term. The truth is that 90% of Mr. Mitsotakis' announcements have not been submitted in the medium term. It is good when the government tells us that it will show the average nominal wage in 2022 and the average real wage in 2022-23, that it will bring the average wage to €1500, and that without thawing the triennia without collective agreements, how will this be achieved? So we all know that the plan of the New Democracy of Mr. Mitsotakis is to widen inequalities, to widen the jungle, the labor jungle, and to give support to the powerful and not to the many.","Παρόλα αυτά, μεγάλη πλειοψηφία της ελληνικής κοινωνίας δεν έμαθε τις προτάσεις μας, αλλά παρακολούθησε αυτή την αντιπαράθεση για το κόστος του δικού μας προγράμματος.ΧΘες λοιπόν από τις δυτικές περιοχές στις λαϊκές γειτονιές της Αθήνας; Έκανα μια πρόταση προς τον κύριο Μητσοτάκη να πάμε μαζί τα προγράμματά μας στο γενικό λογιστήριο του κράτους στο γραφείο προϋπολογισμού της Βουλής σε οποιον ανεξάρτητο φορέα τέλει να κοστολογηθούν και την άλλη μέρα να μην το βάλει στα πόδια, να ρθει να συζητήσουμε δημόσια και ανοιχτά σε μια τηλεοπτική αντιπαράθεση για τα προγράμματα. Χθες λοιπόν, οι μάσκες έπεσαν. Οι μάσκες έπεσαν ούτε κοστολόγηση του προγράμματος του θέλει ούτε αντιπαράθεση τηλεοπτική θέλει το μόνο που θέλει είναι να λέει ψέματα και να κάνει προπαγάνδα.Γιατί άραγε η νέα δημοκρατία αρνείται να κοστολογήσει το δικό τους πρόγραμμα; Γιατί; Γιατί είναι ένα εύχολογιο μας, είπε χθες ο εκπρόσωπος. Ο κύριος Σκέρτσος ότι το πρόγραμμά τους έχει κατατεθεί στο μεσοπρόθεσμο. Η αλήθεια είναι ότι το 90% των εξαγγελιών του κυρίου Μητσοτάκη δεν έχει κατατεθεί το μεσοπρόθεσμο. Είναι εύχολογιο όταν μας λέει η κυβέρνηση που έδειξε την τριετία 2022 το μέσο ονομαστικό μισθό αλλά και το 2022 23 το μέσο πραγματικό μισθό. Ότι θα φτάσει το μέσο μισθό στα 1500 € και πως χωρίς ξεπάγωμα των τριετιών χωρίς συλλογικές συμβάσεις, με ποιο τρόπο θα υπάρξει αυτό; Όλοι γνωρίζουμε λοιπόν, ότι σχέδιο της Νέας Δημοκρατίας του κυρίου Μητσοτάκη είναι να διευρύνει Τις ανισότητες να διευρύνει τη ζούγκλα, την εργασιακή και να δώσει στήριγμα στους ισχυρούς και όχι στους πολλούς. ",criticism,economy,cost of living,-0.8,0.0,0.2,[]
5,"So we will enter this electoral debate with our program and proposals, and we will tell the Greek people the truth. The truth is that it is not us who want to increase insurance contributions for freelancers and farmers. The truth is that we have brought two and a half million uninsured people into the national health system, and those who cannot afford to cover their insurance contributions are being left out of the services of the EOPYY. The truth is that we have a plan to settle the debts of small and medium-sized businesses and farmers by canceling part of the nominal debt and offering 120 installments. The truth is also that we do not have a plan to increase taxes for the many, but to reduce taxes on the indirect taxes of value-added tax and excise tax that have looted the income of households.","Εμείς λοιπόν, σε αυτή την εκλογική αντιπαράθεση θα πάμε με το πρόγραμμά μας και τις προτάσεις μας και θα πούμε την αλήθεια στον ελληνικό λαό και η αλήθεια είναι ότι δεν είμαστε εμείς αυτοί οι οποίοι θέλουμε να αυξήσουμε τις ασφαλιστικές εισφορές στους ελεύθερους επαγγελματίες και τους αγρότες. Η αλήθεια είναι ότι εμείς εντάξαμε δυόμισι εκατομμύρια ανασφάλιστους σΤο εθνικό Σύστημα υγείας και αυτοί αφήνουν εκτός των υπηρεσιών του εοππυ όσους δεν έχουν τη δυνατότητα να καλύψουν τις ασφαλιστικές τους εισφορές. Η αλήθεια είναι ότι εμείς έχουμε σχέδιο ρύθμισης των χρεών των μικρομεσαίων επαγγελματιών και των αγροτών με διαγραφή μέρους του ονομαστικού χρέους και 120 δόσεις. Η αλήθεια επίσης είναι ότι εμείς δεν έχουμε σχέδιο να αυξήσουμε τους φορους για τους πολλούς, αλλά να μειώσουμε τους φόρους στη φορολογική λεηλασία. των εμμεσων φόρων του φόρου προστιθέμενης αξίας του ειδικού φόρου κατανάλωσης που έχουν λεηλατήσει το εισόδημα των νοικοκυριών. ",political agenda,economy,tax cuts,0.9,0.0,0.0,"[['greek people', 'group of people', '0.8'], ['freelancers and farmers', 'group of people', '0.7'], ['two and a half million uninsured people', 'group of people', '0.8'], ['national health system', 'organization', '0.7'], ['eopyy', 'organization', '0.6'], ['small and medium-sized businesses and farmers', 'group of people', '0.7'], ['greek', 'country', '0.6']]"
6,"Mr Mitsotakis says that he has not raised taxes in these four years. The truth is that he has increased taxes by four and a half billion a year, through the maintenance of a high value added tax and excise tax, when it comes to the household basket. In fact, from €50 it goes to €100 and the tax rates are not reduced. Then the tax paid by the citizen doubles when filling up with petrol, going from €50 to €100. The tax paid by the citizen also doubles when the farmer purchases a bag of fertilizer that costs €50 and pays €150. This is the tax plunder that has affected the citizen, the farmer, the consumer, and everyone in the middle class. Mr Mitsotakis.","Λέει ο κύριος Μητσοτάκης ότι δεν αύξησε τους φόρους αυτά τα 4 χρόνια. Η αλήθεια είναι ότι αύξησε τους φόρους κατά τεσσεράμισι δισεκατομμύρια κατ έτος, μέσα από τη διατήρηση υψηλού φόρου προστιθέμενης αξίας και του ειδικού φόρου κατανάλωσης. Όταν το καλάθι του νοικοκυριού. Με την ακρίβεια από 50 € πάει στα 100 € και δεν μειώνονται οι φορολογικοί συντελεστές. τότε διπλασιάζεται ο φόρος που πληρώνει ο πολίτης όταν πας να βάλεις βενζίνη και από εκεί που πληρώνεις 50 € πληρώνεις 100 €, τότε διπλασιάζεται ο φόρος που πληρώνει ο πολίτης όταν ο αγρότης παίρνει ένα σακί λίπασμα που έκανε 50 € και το παίρνει 150 €, τότε τριπλασιάζεται ο φόρος που πληρώνει ο αγρότης. Αυτή είναι η φορολογική, λεηλασια.Που έχει επιφέρει. στον πολιτη τον αγρότη τον καταναλωτη σε όλους στη μεσαία τάξη. Ο κύριος Μητσοτάκης. ",criticism,economy,tax cuts,-0.8,0.0,0.0,[]
7,"Of course, we are told that we will tax refineries and energy companies, and I really want to ask you: do any of you have a refinery? Do any of you have any energy companies, and are you afraid that we will tax you? They are afraid that we will tax them. They are right to be afraid. I was watching the other day, dear friends, a Bank of Greece report on bank deposits. What this report said was that 72.5% of deposits are up to €1,000, which is the vast majority of people, and 0.7% of deposits are more than €100,000. But what else? Critically, this 72.5% of deposits up to €1,000 is €2.6 billion in aggregate, while this 0.7% of deposits over €100,000 is €81 billion. €81 billion, 0.7%, and €2.6 billion, 72%. Well, Greece is a country of great contrasts. So, this is the Greece of Mr Mitsotakis. These are the contradictions, these are the great injustices, and we are coming to respond to these injustices with our programme, which says that there must be an end to obscenity. The rich must be taxed, and not the middle classes, and the poor must not be plundered with indirect taxes, such as value-added tax and excise duty.","Βεβαίως μας λένε ότι εμείς θα φορολογήσουμε τα διυλιστήρια και τις εταιρείες ενέργειας και αλήθεια θέλω να σας ρωτήσω, έχει κανείς από σας κ διυλιστήριο; Έχει κανείς από σας καμία εταιρεία ενέργειας και φοβάστε μην τυχόν σας φορολογήσουμε αυτοί που φοβούνται ότι θα τους φορολογήσουμε. Δικαίως φοβούνται, έβλεπα προχθές αγαπητές φίλες και φίλοι. Μια έκθεση της Τράπεζας της Ελλάδας για τις καταθέσεις στις τράπεζες. Τι έλεγε αυτή η έκθεση έλεγε ότι το 72,5% των καταθέσεων είναι καταθέσεις, μέχρι 1000 €, δηλαδή της μεγάλης πλειοψηφίας του κόσμου.Και το 0,7% των καταθέσεων είναι καταθέσεις πάνω από 100.000 €. Τι άλλο όμως; Κρίσιμο έλεγε ότι αυτό το 72,5% των καταθέσεων μέχρι 1000 € είναι αθροιστικά 2,6 δισεκατομμύρια ευρώ, ενώ αυτό το 0,7 των καταθέσεων πάνω από 100.000 € είναι 81 δισεκατομμύρια ευρώ 81 δισεκατομμύρια το 0,7. Και 2,5 2,6 δισεκατομμύρια, το 72% να. Λοιπόν, η Ελλάδα των μεγάλων αντιθέσεων. Να λοιπόν η Ελλάδα του κυρίου Μητσοτάκη, Αυτές είναι οι αντιθέσεις, οι μεγάλες αυτές είναι οι αδικίες, οι μεγάλες και σε αυτές τις αδικίες εμείς ερχόμαστε να απαντήσουμε με το πρόγραμμά μας που λέμε ότι πρέπει να μπει ένα τέλος στην αισχροκέρδεια πρέπει να φορολογηθούν οι πλούσιοι και όχι να λεηλατούνται οι μεσαίοι και οι φτωχοι με τους έμμεσους φόρους. Με το φορο προστιθεμενης αξίας και τον ειδικό φόρο κατανάλωσης.",political agenda,economy,other,-0.8,0.2,0.2,"[['bank of greece', 'organization', '1.0'], ['greece', 'country', '1.0'], ['mitsotakis', 'person', '1.0'], ['€1', '000', 'date', '1.0'], ['€100', '000', 'date', '1.0'], ['€2.6 billion', 'date', '1.0'], ['€81 billion', 'date', '1.0']]"
8,"I also know that a critical issue for the vast majority of society is the issue of public health, and we all know what the situation is today in public hospitals. I will give you just one number. In December 2019, before the pandemic and after our own effort, despite the fact that we were under memoranda, those serving the National Health System - doctors, nurses, and staff - totalled 108,000. In December 2022, just 6 months ago, despite the pandemic, those serving the National Health System totalled 84,000. This is the reality today. And this is the reality because there is a plan behind all of this - the plan to privatize every inch of public space, privatize education, privatize health, privatize even water. And this is the plan they want to come and impose through a constitutional amendment for which they want, he says, to have 180 MPs.","Γνωρίζω επίσης ότι κρίσιμο θέμα για τη μεγάλη κοινωνική πλειοψηφία είναι το θέμα της δημόσιας υγείας και γνωρίζουμε όλοι ποια είναι η κατάσταση σήμερα στα δημόσια νοσοκομεία. Μόνο έναν αριθμό θα σας πω. Το Δεκέμβρη του 2019, πριν την πανδημία και μετά από τη δική μας προσπάθεια, παρά το ότι ήμασταν σε μνημόνια, οι υπηρετούντες το Εθνικό Σύστημα υγείας, γιατροί, νοσηλευτές, προσωπικό Άθροιζαν 108.000 το Δεκέμβρη του 2022, λίγο πριν 6 μήνες πριν, παρά την πανδημία, οι υπηρετούντες στο εθνικό σύστημα Υγείας αθροιζαν 84.000. Αυτή είναι η πραγματικότητα σήμερα. Και αυτή είναι η πραγματικότητα, διότι υπάρχει ένα σχέδιο πίσω από όλο αυτό είναι το σχέδιο της ιδιωτικοποίησης κάθε σπιθαμής δημόσιου χώρου, ιδιωτικοποιήσεις στην παιδεία, ιδιωτικοποιήσεις, στην υγεία, ιδιωτικοποίηση ακόμα και του νερού και αυτό το σχέδιο θέλουν να έρθουν να το επιβάλουν και με συνταγματική αναθεώρηση για την οποία θέλουν, λέει να έχουν 180 βουλευτές. ",political agenda,health,other,-0.8,0.0,0.2,"[['national health system', 'organization', '1.0'], ['december 2019', 'date', '1.0'], ['doctors', 'group of people', '1.0'], ['nurses', 'group of people', '1.0'], ['staff', 'group of people', '0.9'], ['december 2022', 'date', '1.0'], ['180 mps', 'group of people', '0.9']]"
9,"So we are here today to say that we have an obligation to stand against the conservative neoliberal juggernaut and overturn these plans, which have sometimes written off our people and sometimes written off Syriza. But they always calculated without the hotelier. I want to call on all of you to fight this battle until the last second, to convince the citizens of our program, and to do everything possible to overturn these correlations. We can overturn these correlations. On June 25th, the polls will be empty. Whether they will be filled differently than they were on May 21st is up to the work we do over the next 20 days.",Ερχόμαστε λοιπόν εμείς σήμερα και λέμε. Έχουμε υποχρέωση να σταθούμε απέναντι σε αυτήν τη συντηρητική νεοφιλελεύθερη λαίλαπα και να ανατρέψουμε αυτά τα σχέδια και άλλες φορές είχαν ξεγραμμένο το λαό μας και άλλες φορές είχαν ξεγραμμένο τον ΣΥΡΙΖΑ. Υπολογίζανε πάντοτε όμως χωρίς τον ξενοδόχο.Θέλω λοιπόν να σας καλέσω όλους και όλες. Να δώσουμε αυτή τη μάχη μέχρι και το τελευταίο δευτερόλεπτο να πείσουμε τους πολίτες για το πρόγραμμά μας και να δώσουμε τη μάχη κάνοντας το αδύνατο δυνατό για να ανατρέψουμε αυτούς συσχετισμούς. Μπορούμε να ανατρέψουμε αυτούς τους συσχετισμούς Στις 25 του Ιούνη οι κάλπες θα είναι άδειες. Το αν θα γεμίσουν διαφορετικά απ ότι γέμισαν στις 21 του Μάη εναπόκειται στη δουλειά που θα κάνουμε τις επόμενες 20 μέρες.,political agenda,elections,abstention,0.0,0.2,0.0,"[['syriza', 'organization', '0.9'], ['hotelier', 'person', '0.6'], ['june 25th', 'date', '0.9'], ['may 21st', 'date', '0.9']]"
10,"And we owe it, especially to the people of Evia, to remind them not only of what right-wing means, but also of what injustice means. A policy that widens inequalities and injustice. I want to address something in particular to those people in North Evia. Today, I will go to North Evia to speak to those people who have seen their properties reduced to ashes in 10 days and have only seen promises of reconstruction for two years, but with no visible results. I also want to address the citizens of Chalkida, who are seeing the public infrastructure of their city crumble. I want to speak to the workers of South Evia and the workers in Mandoudi, an area that used to be full of life but is now in the midst of deindustrialisation and desertification. I want to refer to the people of South Evia who see an anarchic perspective through the wind turbines that are sprouting up everywhere without a plan. I want to refer to the people of Evia who see that there is no infrastructure, no road network, and above all, they see the great danger of unemployment drowning them. I want to say to all these citizens that on June 25th, regardless of whether they have disagreements with us or reservations about us, we should join forces because only by joining forces can we bring prospects and hope to your country and to the country.","Και οφείλουμε, ιδίως τους ανθρώπους της Εύβοιας. Να θυμίσουμε όχι μόνο τι σημαίνει δεξιά, αλλά και τι σημαίνει αδικία. Μια πολιτική που διευρύνει τις ανισότητες και την αδικία. Προσέξτε κάτι θέλω να απευθυνθώ ειδικότερα στους ανθρώπους εκείνους στη Βόρεια Εύβοια και θα πάω σήμερα στη βόρεια ευβοια τους ανθρώπους εκείνους που είδαν μέσα σε 10 μέρες οι περιουσίες τους να γίνονται στάχτη και βλέπουν εδώ και δυο χρόνια μονάχα υποσχέσεις για ανασυγκρότηση, χωρίς όμως να υπάρχει κανένα ορατό αποτέλεσμα. Θέλω να απευθυνθώ και τους ανθρώπους, τους πολίτες της Χαλκίδας που βλέπουν τις δημόσιες υποδομές της πόλης του να καταρρέουν. Της Νότιας Εύβοιας στους εργάτες και τις εργάτριες στο Μαντούδι, μια περιοχή που έσφυζε από ζωή και σήμερα είναι μέσα στην αποβιομηχάνιση και στην ερημοποίηση. Να αναφερθώ στους ανθρώπους της Νότιας Εύβοιας που βλέπουν μια άναρχη προοπτική μέσα από τις ανεμογεννήτριες που χωρίς σχέδιο φυτρώνουν παντού. Ν'Αναφερθώ στους ανθρώπους της Εύβοιας που βλέπουν ότι δεν υπάρχουν υποδομές, οδικό δίκτυο και κυρίως. Που βλέπουν το μεγάλο κίνδυνο της ανεργίας να τους πνίγει και θέλω λοιπόν να πω σε όλους αυτούς τους πολίτες ότι στις 25 του Ιούνη, ανεξάρτητα αν έχουν διαφωνίες μαζί μας, ανεξάρτητα αν έχουν επιφυλάξεις απέναντι μας.Να ενώσουμε τις δυνάμεις μας γιατί μόνο αν ενώσουμε τις δυνάμεις μας μπορούμε να φέρουμε προοπτική και ελπίδα και στον τόπο σας και στη χώρα.",political agenda,employment,other,-0.5,0.2,0.0,"[['evia', 'location', '1.0'], ['right-wing', 'political party', '1.0'], ['north evia', 'location', '1.0'], ['chalkida', 'location', '1.0'], ['south evia', 'location', '1.0'], ['mandoudi', 'location', '1.0'], ['june 25th', 'date', '1.0']]"
