id,text,text_el,is_criticism,topic-context,subtopic-context,sentiment,polarization-definition,populism-definition,ner-limited
1,"Thank you very much for the warm welcome. I am delighted to see you all here today, standing strong and determined as ever, especially since it has been a long time since I last visited Katerini. We stand strong and determined not for our party's interests, but for the interests of society. We need a force that will support these interests, stand up for them, and fight for the public good.","Σας ευχαριστώ θερμά για αυτή την υποδοχή. Σας ευχαριστώ θερμά και επειδή έχω καιρό να έρθω εδώ στην Κατερίνη, είμαι πολύ χαρούμενος και ευτυχής σήμερα που σας βλέπω εδώ όρθιους και αποφασισμένους όσο ποτέ. Είμαστε όρθιοι και αποφασιμένοι γιατί δεν δίνουμε αυτή τη μάχη για το κομματικό μας συμφέρον αλλά δίνουμε αυτή τη μάχη διότι η κοινωνία έχει ανάγκη μια δύναμη που θα στηρίζει τα συμφέροντα της, που θα στέκεται όρθια, που θα παλεύει, που θα αγωνίζεται για το δημόσιο συμφέρον. ",political agenda,democracy,other,0.75,0.0,0.0,"[['katerini', 'location', '0.95']]"
2,"I am concerned today as I was coming to Katerini and read a news item in the media. Yesterday in Kos, a 63-year-old woman drowned in the back of a farm truck as she was being taken to the hospital. And why was she being transported in the back of a farm truck? Kos has had three ambulances since we were there, but there is no staff to operate them. I ask myself, is it possible that in 2023 our fellow human beings will be treated like dogs on a truck because there is no care, concern, or funds to ensure that every person, wherever they are, in every corner of our country, feels safe?","Είμαι σήμερα προβληματισμένος, καθώς ερχόμουνα στην Κατερίνη, καθώς διάβασα μια είδηση στα μέσα μαζικής ενημέρωσης. Χθες στην Κω μια 63χρονη γυναίκα ξεψύχησε στην καρότσα ενός αγροτικού αυτοκινήτου, καθώς την μεταφέρανε στο νοσοκομείο. Και τη μεταφέραμε με καρότσα αγροτικού αυτοκινήτου στο νοσοκομείο γιατί; Η Κως έχει από τότε που ήμασταν εμείς, είχαμε φροντίσει, 3 ασθενοφόρα ΕΚΑΒ, αλλά δεν έχει προσωπικό για να τα λειτουργήσουν. Και αναρωτιέμαι, είναι δυνατόν στο 2023 να φεύγουν συνάνθρωποί μας σαν το σκυλί πάνω σε μια καρότσα αγροτικού, επειδή δεν υπάρχει η έγνοια, η μέριμνα, τα κονδύλια εκείνα προκειμένου ο κάθε άνθρωπος, όπου και αν βρίσκεται, σε κάθε γωνιά της χώρας μας να αισθάνεται ασφαλής; ",,,other,-0.6,0.0,0.0,"[['katerini', 'location', '1.0'], ['kos', 'location', '1.0'], ['63-year-old woman', 'person', '1.0'], ['2023', 'date', '1.0'], ['our fellow human beings', 'group of people', '1.0'], ['our country', 'country', '1.0']]"
3,"So, this is what a just society means and what prosperity for all means, which is our motto in this election. A just society and prosperity for all mean that not only those in urban centers and those who can afford it will be able to save their lives if something happens to them, but every citizen should have access to it.","Να λοιπόν τι θα πει δίκαιη κοινωνία και να λοιπόν, τι θα πει ευημερία για όλους που είναι το σύνθημα μας σε αυτή την εκλογική αναμέτρηση. Δίκαιη κοινωνία και ευημερία για όλους σημαίνει να μην έχουν δυνατότητα να σώσουν τη ζωή τους, αν κάτι τους συμβεί, μονάχα όσοι είναι στα αστικά κέντρα και μονάχα όλοι όσοι έχουν την οικονομική δυνατότητα. Αλλά ο κάθε πολίτης να έχει τα αυτονόητα. ",political agenda,health,public health system,0.7,0.0,0.0,"[['society', 'group of people', '0.60'], ['prosperity for all', 'group of people', '0.60'], ['election', 'political party', '0.60'], ['urban centers', 'location', '0.60'], ['citizen', 'person', '0.60']]"
4,"In December 2019, we left the national healthcare system to serve it, leaving behind 108,000 workers, including doctors and nurses. In the past six months, since December 2012, the number has decreased from 108,000 to 84,000. Despite the pandemic and the need to strengthen the national healthcare system, we have reduced staff. The people who left were not replaced, and today, all over Greece, we are experiencing a situation of disintegration of public hospitals. You are well aware of this situation here in Katerini, especially during the pandemic period, with the negative records of losses of our fellow human beings.","Το 2019 του Δεκέμβρη αφήσαμε το εθνικό σύστημα Υγείας να το υπηρετούν, φεύγοντας τότε 108.000 εργαζόμενοι, γιατροί και νοσηλευτές. Το Δεκέμβριο του 2012, πριν από 6 μήνες, από 108.000 έφτασαν στους 84.000. Παρά το γεγονός ότι περάσαμε μια πανδημία, παρά το γεγονός ότι αυτή η πανδημία μας έκανε όλους να σκεφτόμαστε ότι πρέπει να ενισχύσουμε το εθνικό σύστημα υγείας. Συρρικνώθηκε το προσωπικό. Δεν αντικαταστάθηκαν οι άνθρωποι που έφυγαν και τούτη την ώρα σ'όλη την Ελλάδα βιώνουμε μια κατάσταση διάλυσης των δημόσιων νοσοκομείων. Τα ξέρετε καλά κι εσείς εδώ στην Κατερίνη, την περίοδο της πανδημίας με τα αρνητικά ρεκόρ που είχατε σε απώλειες συνανθρώπων μας. ",criticism,health,public health system,-0.8,0.0,0.0,"[['december 2019', 'date', '1.0'], ['national healthcare system', 'organization', '0.6'], ['108', '000 workers', 'group of people', '1.0'], ['doctors', 'person', '0.8'], ['nurses', 'person', '0.8'], ['past six months', 'date', '1.0'], ['december 2012', 'date', '0.8'], ['pandemic', 'organization', '0.2'], ['greece', 'country', '1.0'], ['public hospitals', 'organization', '0.6'], ['katerini', 'location', '1.0']]"
5,"That is why it is worthwhile, even during this election period, to put the major problems that concern Greek society at the center of the debate, since we did not succeed in doing so in the previous election. These are the significant issues that must concern us. We have governed in very difficult circumstances, perhaps the most challenging circumstances ever experienced by a government in this country. Yet, with our mistakes and failures, we managed to get the country out of the memoranda and guardianship, regulate the public debt, and leave 37 billion in the public coffers. That is what we have achieved. We did not have the leeway to spend 60 billion, as those who came after us did. We had the obligation to put almost 40 billion in the public coffers to get the country out of the memoranda and bankruptcy, and we did it honestly and with integrity.","Να λοιπόν, γιατί αξίζει σε αυτήν έστω την προεκλογική περίοδο, διότι την προηγούμενη δεν τα καταφέραμε, να θέσουμε στο επίκεντρο της συζήτησης τα μεγάλα προβλήματα που απασχολούν την ελληνική κοινωνία. Αυτά τα μεγάλα ζητήματα που πρέπει να μας απασχολήσουν. Εμείς κυβερνήσαμε σε πολύ δύσκολες συνθήκες, ίσως στις πιο δύσκολες συνθήκες που έχει περάσει ποτέ κυβέρνηση από τον τόπο. Και καταφέραμε παρόλα αυτά, με τα λάθη μας, με τις αστοχίες μας, να βγάλουμε τη χώρα από τα μνημόνια και την επιτροπεία, να ρυθμίσουμε το δημόσιο χρέος και να αφήσουμε 37 δισεκατομμύρια στα δημόσια ταμεία. Αυτό καταφέραμε εμείς. Εμείς δεν είχαμε την ευχέρεια όπως είχαν οι επόμενοι από εμάς να δαπανήσουμε 60 δις. Είχαμε την υποχρέωση να μαζέψουμε σχεδόν 40 στα δημόσια ταμεία για να βγάλουμε τη χώρα από τα μνημόνια και τη χρεοκοπία. Και το κάναμε με εντιμότητα. Το κάναμε με εντιμότητα.",political agenda,economy,austerity,0.5,0.0,0.0,"[['greek society', 'group of people', '1.0'], ['greek', 'country', '1.0'], ['election', 'date', '1.0'], ['government', 'organization', '1.0'], ['memoranda', 'organization', '1.0'], ['public debt', 'organization', '1.0'], ['public coffers', 'organization', '1.0'], ['37 billion', 'organization', '1.0'], ['60 billion', 'organization', '1.0'], ['bankruptcy', 'organization', '1.0']]"
6,"I wonder, who were the people able to spend 60 billion? Where did that money go? What is left today to act as a buffer against the crisis? A refuge, a support for the majority of society? Look at the state of public hospitals. Look at the state of public schools. I come from Lagada in Thessaloniki, where children are taught in containers. Look at the state of the welfare state, social welfare.","Αναρωτιέμαι, οι επόμενοι που είχαν τη δυνατότητα να δαπανήσουν 60 δις. Που πήγαν αυτά τα χρήματα; Τι έχει μείνει σήμερα για να αποτελεί ένα ανάχωμα στην κρίση; Ένα αποκούμπι, ένα στήριγμα για τη μεγάλη κοινωνική πλειοψηφία; Δείτε πως είναι τα δημόσια νοσοκομεία. Δείτε πως είναι τα δημόσια σχολεία. Έρχομαι από το Λαγκαδά της Θεσσαλονίκης, όπου τα παιδιά κάνουν μάθημα σε κοντέινερ. Δείτε πως είναι το κράτος το κοινωνικό, η κοινωνική πρόνοια. ",criticism,,austerity,-0.8,0.0,0.2,"[['lagada', 'location', '0.8'], ['thessaloniki', 'location', '0.9']]"
7,"Unfortunately, nothing has been done with this 60 billion, which was an opportunity for the country after a decade of crisis to heal the wounds in society. The big question is where are we going? What is the next day? What's the way forward? I am determined to bring the big issues into the debate. One is public healthcare. The second, which concerns all of you regardless of what you voted for in the election, is the big issue of income looting. The big issue of the price tag is also important. In the third week of the month, income is being saved, and we can no longer afford to pass the supermarket as the revaluations are daily. So, how will the big issue of price competitiveness be addressed?","Δεν έχει γίνει δυστυχώς τίποτα από αυτά τα 60 δισεκατομμύρια, τα οποία ήταν μια ευκαιρία, μια ευκαιρία προκειμένου η χώρα μετά από μια δεκαετή κρίση, να μπορέσει να επουλώσει τις πληγές στην κοινωνία. Και το μεγάλο ερώτημα είναι πού πάμε; Ποια είναι η επόμενη μέρα; Τι είναι αυτό που μας ξημερώνει και εγώ είμαι αποφασισμένος να βάλουμε στη συζήτηση τα μεγάλα ζητήματα. Ένα είναι δημόσια υγεία, ένα δέυτερο, σας απασχολεί είμαι βέβαιος, όλους και όλες, ανεξάρτητα από τι ψηφίσατε στις εκλογές, το μεγάλο ζήτημα της λεηλασίας του εισοδήματος. Το μεγάλο ζήτημα της ακρίβειας. Το γεγονός ότι την τρίτη εβδομάδα του μήνα σώνεται το εισόδημα ότι δεν μπορούμε πια να περάσουμε έξω από τα σούπερ μάρκετ, καθώς οι ανατιμήσεις είναι καθημερινές. Πώς θα αντιμετωπιστεί λοιπόν το μεγάλο ζήτημα της ακρίβειας; ",political agenda,economy,cost of living,-0.5,0.0,0.0,"[['country', 'united states', '0.6'], ['organization', 'supermarket', '0.5']]"
8,"Mr. Mitsotakis tells us that he has not raised taxes for 4 years now. There is no bigger lie. 4.5 billion in taxes were raised, but they were raised on the many, the middle class, and the weak. Because when you have a scary accuracy like the one we have had in the last 2 years, when the household basket goes from €50 to €100, you don't need to increase tax rates to increase taxes, you just need to keep them constant. When the household basket goes from €50 to €100, the tax paid by the citizen doubles. When it goes from €50 needed to fill up a tank at the gas station to €100, the tax paid by the citizen doubles when indirect tax rates are kept constant. So now here's 4.5 billion in '22 more revenue and 1.5 billion in '23 in the first quarter. 6 billion more taxes have been imposed by Mr. Mitsotakis with this policy. He told us that the crisis, of course, and the accuracy were imported. Yes, but the obscenity was Greek because the Commission recommended that all EU countries should reduce their indirect tax rates. Do you know which ones alone did not reduce them? 3 countries. Slovakia, Malta, and Greece. Only 3 countries have not reduced their indirect tax rates.","Μας λέει ο κύριος Μητσοτάκης ότι δεν έβαλε φόρους 4 χρόνια τώρα. Δεν υπάρχει μεγαλύτερο ψέμα. 4,5 δισεκατομμύρια αυξήθηκαν οι φόροι, αλλά αυξήθηκαν στους πολλούς, στη μεσαία τάξη και στους αδύναμους. Διότι όταν έχουμε μια ακρίβεια τρομακτική σαν αυτή που είχαμε τα τελευταια 2 χρόνια, όταν το καλάθι του νοικοκυριού από 50 € πηγαίνει στα 100 €, δεν χρειάζεται να αυξήσεις τους συντελεστές φορολόγησης για να αυξήσεις τη φορολογία, αρκεί να τους κρατήσεις σταθερούς. Όταν από τα 50 πάει στα 100 € το καλάθι του νοικοκυριού, διπλασιάζεται ο φόρος που πληρώνει ο  πολίτης. Όταν από τα 50 € που χρειαζόσουν για να γεμίσεις ένα ρεζερβουάρ στο βενζινάδικο πάει στα 100 € διπλασιάζεται ο φόρος που πληρώνει ο πολίτης, όταν οι συντελεστές των έμμεσων φόρων παραμένουν σταθεροί. Και να λοιπόν τώρα 4,5 δισεκατομμύρια το '22 περισσότερα έσοδα και 1,5 δισεκατομμύριο το '23 το πρώτο τετράμηνο. 6 δις περισσότερους φόρους έχει επιβάλει ο κύριος Μητσοτάκης με αυτή την πολιτική του. Μας είπε ότι η κρίση βεβαίως και η ακρίβεια ήταν εισαγόμενη. Ναι, αλλά η αισχροκέρδεια ήταν ελληνική, διότι η Κομισιόν συνέστησε σε όλες τις χώρες της ΕΕ να μειώσουν τους συντελεστές της έμμεσης φορολόγησης. Ξέρετε ποιοί μόνο δεν τους μείωσαν; 3 χώρες. Η Σλοβακία, η Μάλτα και η Ελλάδα. 3 μονάχα χώρες δεν μείωσαν τους συντελεστές της έμμεσης φορολόγησης. ",,economy,other,-0.8,0.8,0.1,"[['mr. mitsotakis', 'person', '1.0'], ['middle class', 'group of people', '1.0'], ['the weak', 'group of people', '1.0'], ['eu', 'organization', '1.0'], ['slovakia', 'country', '1.0'], ['malta', 'country', '1.0'], ['greece', 'country', '1.0'], ['commission', 'organization', '0.8']]"
9,"They are now trying to convince us, day and night, with alchemy and lies, that if they reduce the value-added tax, they will favor the rich. Do they really care so much about not favoring the rich, those who have given EUR 10 billion directly, EUR 15 billion in direct contracts to day laborers, and EUR 10 billion in subsidies that go directly to the energy, refining, and supermarket cartels?","Προσπαθούν τώρα να μας πείσουν με αλχημείες και με ψέματα, κάνοντας τη νύχτα μέρα και τη μέρα νύχτα ότι δήθεν αν μειώνανε το φόρο προστιθέμενης αξίας θα ευνοούσαν τους πλούσιους. Αλήθεια, νοιάζονται τόσο πολύ, μη και δεν ευνοήσουν τους πλούσιους αυτοί που δώσανε 10 δισεκατομμύρια ευρώ απευθείας, 15 δισεκατομμύρια ευρώ απευθείας αναθέσεις σε ημέτερους και 10 δισεκατομμύρια ευρώ επιδοτήσεις που πηγαίνουν κατευθείαν στα καρτέλ της ενέργειας, της διύλισης και στα σούπερ μάρκετ;",criticism,other,other,-0.8,0.2,0.2,[]
10,"Who can convince us of that? Here is the great truth that must be put on the table in this election debate. We respect the popular verdict of the ballot box on the twenty-first of May, but it was a ballot box with a simple proportional representation in which we had a vision, but were strategically locked in. We had a vision to change the political system, to have governments of cooperation based on programmatic convergences. However, when we shook hands with the other progressive forces, they looked to cut off our hand and made a one-front attack on SYRIZA instead of dealing with the one who governs and implements their policies. Today, we have another ballot box before us, not with a simple proportional representation, but with an enhanced proportional representation and 50 bonus seats. What does this enhanced proportional representation ballot box say? Whoever comes out first will rule us for another four years. What are the alternative programmatic plans being opposed in this ballot?","Ποιος μπορεί να μας πείσει για κάτι τέτοιο; Να λοιπόν, ποια είναι η μεγάλη αλήθεια που πρέπει να τεθεί στο τραπέζι σε αυτή την εκλογική αντιπαράθεση. Γιατί ναι, σεβόμαστε τη λαϊκή ετυμηγορία της κάλπης, της εικοστής πρώτης του Μάη όμως αυτή ήταν μια κάλπη με την απλή αναλογική, στην οποία είχαμε όραμα, αλλά εγκλωβιστήκαμε στρατηγικά. Είχαμε όραμα να αλλάξουμε το πολιτικό σύστημα, να έχουμε κυβερνήσεις συνεργασίας στη βάση προγραμματικών συγκλίσεων, αλλά όταν εμείς δίναμε το χέρι στις άλλες προοδευτικές δυνάμεις, αυτές κοιτάζαν πώς θα κόψουν το δικό μας χέρι και έκαναν μονομέτωπο ενάντια στον ΣΥΡΙΖΑ, αντί να ασχολούνται με αυτόν που κυβερνά, με αυτόν που εφαρμόζει την πολιτική του. Σήμερα λοιπόν είναι μια άλλη κάλπη μπροστά μας, όχι με απλή αναλογική, αλλά είναι μια κάλπη με την ενισχυμένη αναλογική, με 50 έδρες μπόνους. Και τι λέει αυτή η κάλπη της ενισχυμένης αναλογικής; Ότι όποιος βγει πρώτος θα μας κυβερνήσει για άλλα 4 χρόνια. Και ποια είναι τα εναλλακτικά προγραμματικά σχέδια που αντιπαρατίθενται σε αυτή τη κάλπη; ",political agenda,elections,programmatic agreement,0.0,0.0,0.0,"[['syriza', 'organization', '1.0'], ['may 21', 'date', '1.0'], ['progressive forces', 'group of people', '0.6']]"
