id,text,text_el,is_criticism,topic-context,subtopic-context,sentiment,polarization-definition,populism-definition,ner-limited
1,"And I want to tell you that for me, your welcome, your passion, and your determination are more important today than ever before. Today, we all need to stand together because we are not just a flash in the pan. We come from far and wide, and we will go far and wide because we express and represent the needs and social needs of underprivileged Greeks. We also express and represent the interests of the working class, small and medium-sized businesses, wage laborers, and young people. We express and represent the interests of Greece, which has no voice. That is why we will always be on the front lines, fighting against neoliberal and anti-people's policies. Society needs a strong SYRIZA that can act as a barrier to these policies.","Και θέλω να σας πω ότι για μένα είναι πιο σημαντική η υποδοχή σας, το πάθος σας ή αγωνιστικότητα και αποφασιστικότητα σας σήμερα σήμερα χρειάζεται να σταθούμε όλοι σήμερα πιο πολύ από πε και θα σταθούμε όλοι γιατί εμείς δεν είμαστε μια φωτοβολίδα. Ερχόμαστε από μακριά και θα πάμε πολύ μακριά γιατί εκφράζουμε και εκπροσωπούμε. Τις ανάγκες, τις κοινωνικές εκφράζουμε και εκπροσωπούμε τα συμφέροντα των μη προνομιούχων Ελλήνων. Εκφράζουμε και εκπροσωπούμε τα συμφέροντα της εργατικής τάξης της μικρομεσαίας επιχειρηματικότητας, της μισθωτής εργασίας, των νέων ανθρώπων. Εκφράζουμε και εκπροσωπούμε τα συμφέροντα της Ελλάδας που δεν έχει φωνή και γι αυτό θα είμαστε πάντοτε ζωντανoί στις επάλξεις και θα δίνουμε τον αγώνα γιατί η κοινωνία έχει ανάγκη έναν ισχυρό ΣΥΡΙΖΑ που να μπορεί να αποτελέσει ανάχωμα στην επέλαση των νεοφιλελεύθερων πολιτικών των αντιλαϊκών πολιτικών. ",political agenda,social state ,other,0.8,0,0.2,"[['syriza', 'organization', '1.0'], ['greeks', 'group of people', '0.8'], ['working class', 'group of people', '0.8'], ['small and medium-sized businesses', 'group of people', '0.8'], ['wage laborers', 'group of people', '0.8'], ['young people', 'group of people', '0.8'], ['greece', 'country', '0.8'], ['neoliberal', 'political party', '0.7']]"
2,"It is a great pleasure to be here in Sindos, in western Thessaloniki. It is a great pleasure because I know very well that your region is the backyard of Thessaloniki. It is perhaps the most discredited and forgotten region of the capital, and it is the region where we have to work together for obvious rights: the right to public health and healthcare, the right to public education and decent conditions for the education of our children, and even the right to drinking water. Obvious things have not been won for the region of Sindos and western Thessaloniki. The right to decent work at wages that will enable a decent life, the right to provide for its people, those who have worked and retired, to give an allowance to their grandchildren, but also the right of young people to carve out a future with optimism, to live their dreams, and to live in the place where they were born and raised. These are the crucial issues for which we will fight and will always fight together, from whatever position.","Είναι μεγάλη μου χαρά να βρίσκομαι εδώ στην Σίνδο, στη Δυτική Θεσσαλονίκη και είναι μεγάλη μου χαρά γιατί γνωρίζω πάρα πολύ καλά Ότι η περιοχή σας είναι η πίσω αυλή της Θεσσαλονίκης, είναι ίσως η πιο απαξιωμένη και η πιο ξεχασμένη περιοχή της πρωτεύουσας και είναι η περιοχή που πρέπει να δουλέψουμε μαζί για τα αυτονόητα δικαιώματα, για το δικαίωμα στη δημόσια υγεία και την περίθαλψη για το δικαίωμα στη δημόσια παιδεία και σε αξιοπρεπείς συνθήκες για τη γνώση των παιδιών μας. Το δικαίωμα ακόμη και στο πόσιμο νερό. Αυτονόητα πράγματα δεν έχουν κατακτηθεί για την περιοχή της Σίνδου και της Δυτικής Θεσσαλονίκης. Το δικαίωμα στην αξιοπρεπή εργασία σε αμοιβές που θα δώσουν τη δυνατότητα για αξιοπρεπή ζωή, το δικαίωμα να μπορούμε να μπορούν οι άνθρωποι της. Οι απόμαχοι της δουλειάς, συνταξιούχοι, να δώσουν ένα χαρτζιλίκι στα εγγόνια τους, αλλά και το δικαίωμα των νέων ανθρώπων να μπορούν να χαράξουν ένα μέλλον με αισιοδοξία, να ζήσουν τα όνειρά τους να Ονειρευτούν και να ζήσουν στον τόπο που με γεννήθηκαν και μεγάλωσαν αυτά τα κρίσιμα ζητήματα για τα οποία θα αγωνιστούμε και θα αγωνιζόμαστε για πάντα μαζί από όποια θέση.",political agenda,social state ,workers' rights,0.5,0,0,"[['sindos', 'location', '1.0'], ['thessaloniki', 'location', '1.0'], ['capital', 'location', '0.5'], ['public health', 'organization', '0.7'], ['healthcare', 'organization', '0.7'], ['public education', 'organization', '0.7'], ['education', 'organization', '0.5'], ['children', 'group of people', '0.7'], ['drinking water', 'organization', '0.7'], ['decent work', 'organization', '0.7'], ['wages', 'organization', '0.5'], ['life', 'organization', '0.5'], ['people', 'group of people', '0.5'], ['retired', 'group of people', '0.5'], ['grandchildren', 'group of people', '0.7'], ['young people', 'group of people', '0.7'], ['future', 'date', '0.5'], ['place', 'location', '0.5'], ['position', 'organization', '0.5']]"
3,"We are talking about human lives. They asked us to cost our program. Remember when we said, ""Let's go cost it together,"" they hid. But I really want to ask myself, how much does human life cost? How much does it cost to be able to live with dignity? How much does it cost not to run away like a dog in a vineyard in the back of a farm car because there are no staff in the ambulance service, even when there are ambulances? So, how much does human life cost? Yes, this is the motto of the young children. Our vision is to talk about profits and losses, but it is time to talk about human life, human lives.","Εμείς μιλάμε για ανθρώπινες ζωές, μας ζητήσανε να κοστολογήσουμε το πρόγραμμά μας, σε θυμάστε και όταν εμείς είπαμε πάμε να το κοστολογήσουμε μαζί κρυφτήκανε. Αλλά θέλω αλήθεια να αναρωτηθώ πόσο κοστίζει η ανθρώπινη ζωή, πόσο κοστίζει να μπορείς να ζήσεις με αξιοπρέπεια; Πόσο κοστίζει να μη φεύγει σαν το σκυλί στ αμπέλι στην καρότσα ενός αγροτικού αυτοκινήτου επειδή δεν υπάρχει προσωπικό στο ΕΚΑΒ, ενώ υπάρχουν ασθενοφόρα, πόσο κοστίζει αυτό; Πόσο κοστίζει λοιπόν η ανθρώπινη ζωή; Ναι, αυτό το σύνθημα των νέων παιδιών είναι το όραμα μας μιλάνε για κέρδη και ζημιές, καλά τα κέρδη και οι ζημιές ήρθε η ώρα όμως να μιλήσουμε για την ανθρώπινη ζωή, για ανθρώπινες ζωές.",political agenda,health,cost of living,0,0,0,[]
4,"But shall I put the issues on a different basis today? We had a difficult painful, I will not hide the result in the election of the twenty-first of May on the 25th of June, but we have a new electoral process. It's not a rematch, as we say in soccer where the score of the first game counts starts zero to zero. The race is a new race, it is not to paraphrase like a football race, we are like them like the jumper who set the bar high. He didn't get his stride right, he made a bad jump, but he has a second chance to cross the bar and we want to take advantage of every opportunity and fight to the last second to correct our weaknesses and mistakes so that in this election we can speak up and look the people in the eye. Speaking to them in the language of truth and putting at the centre of the debate the real problems that affect our lives, our everyday life.","Μα θέσω τα ζητήματα σε μια διαφορετική βάση σήμερα; Είχαμε ένα δύσκολο οδυνηρό, δεν θα κρυφτώ αποτέλεσμα στις εκλογές της εικοστής πρώτης του Μάη στις 25 του Ιουνίου, όμως έχουμε μια νέα εκλογική διαδικασία. Δεν είναι επαναληπτικός αγώνας, όπως λέμε στο ποδόσφαιρο που μετράει το σκορ του πρώτου αγώνα ξεκινάει μηδέν μηδέν. Ο αγώνας είναι νέος αγώνας, δεν είναι για να το παραλληλίσω σαν ένας ποδοσφαιρικός αγώνας, είμαστε σαν τους σαν τον άλτη που έβαλε τον πήχη ψηλά. Δεν έκανε καλά το βηματισμό του, έκανε ένα κακό άλμα, αλλά έχει μια δεύτερη ευκαιρία να περάσει τον πήχη και θέλουμε να αξιοποιήσουμε κάθε δυνατότητα και να παλέψουμε μέχρι και το τελευταίο δευτερόλεπτο να διορθώσουμε τις αδυναμίες και τα λάθη μας, ώστε να μπορέσουμε σε αυτή την εκλογική αναμέτρηση να μιλήσουμε και να κοιτάξουμε στα μάτια τους πολίτες. Μιλώντας τους στη γλώσσα της αλήθειας και να βάλουμε στο επίκεντρο της συζήτησης τα πραγματικά προβλήματα που αφορούν τη ζωή μας, την καθημερινότητά μας. ",political agenda,elections,election spending,0,0,0,"[['may', 'date', '0.80'], ['june', 'date', '0.80']]"
5,"The previous elections were held under a system of proportional representation. It was a vision for us, and it was also a constant position and demand of the Left and progressive forces in the country that there should be parity in the vote of each and every person. We do not regret having defended this vision. Others must regret not giving the country's political system the opportunity to turn a new page, to move away from toxicity, and to move towards a government of cooperation on programmatic convergences.","Οι προηγούμενες εκλογές ήταν με το σύστημα της απλής αναλογικής. Ήταν ένα όραμα για μας και ήταν και μία αν θέλετε πάγια θέση και πάγιο αίτημα της Αριστεράς και των προοδευτικών δυνάμεων του τόπου, να υπάρχει η ισοτιμία στην ψήφο του καθενός και της καθεμιάς. Δεν μετανιώνουμε γιατί υπερασπιστήκαμε αυτό το όραμα. Άλλοι πρέπει να μετανιώσουν διότι δεν έδωσαν τη δυνατότητα να αλλάξει σελίδα το πολιτικό σύστημα της χώρας. Να φύγουμε από την τοξικότητα, να πάμε σε κυβέρνηση συνεργασίας πάνω σε προγραμματικές συγκλίσεις. ",political agenda,elections,other,0.3,0.1,0,"[['left', 'group of people', '0.8'], ['country', 'location', '1.0'], ['political party', 'organization', '0.6']]"
6,"We got caught up in this, of course, because at the same time that we were concerned about how to save the country from a right-wing government that was attacking rights, the rest of the progressive forces were looking at how to become SYRIZA in place of SYRIZA, not how to save the country. It is not easy to become Syriza.","Εγκλωβιστήκαμε βέβαια σε αυτό, διότι την ίδια στιγμή που εμείς είχαμε έγνοια για το πώς θα σωθεί η χώρα από μια δεξιά κυβέρνηση, η οποία επιτίθεται στα δικαιώματα, οι υπόλοιπες προοδευτικές δυνάμεις κοιτάζανε πως θα γίνουν ΣΥΡΙΖΑ στη θέση του ΣΥΡΙΖΑ και όχι πως θα σωθεί η χώρα. Δεν είναι  εύκολο να γίνετε ΣΥΡΙΖΑ.",criticism,elections,coalition,-0.2,0.1,0,"[['syriza', 'organization', '2%'], ['right-wing government', 'political party', '2%'], ['progressive forces', 'group of people', '2%'], ['syriza', 'organization', '2%']]"
7,"Because we all have a history in this place and we are not a flare that will go out. We are children of the need to grow up and we grew up in the most difficult moments of the last years in the crisis of memoranda, in the struggle of the Greek people to claim dignity and rights. We achieved a historic victory in 2015. We confronted the lenders with passion and honesty. They wanted to bail out our country when our opponents were shouting ""vasta Schaeuble"" and gerunds. We managed the last euro of the Greek citizen with integrity.","Διότι όλοι έχουμε μια ιστορία σε αυτόν τον τόπο και εμείς δεν είμαστε μια φωτοβολίδα που θα σβήσει. Είμαστε τέκνο της ανάγκης γιγαντωθεί καμε και μεγαλώσαμε στις πιο δύσκολες στιγμές τα τελευταία χρόνια στην κρίση των μνημονίων, στη μάχη του ελληνικού λαού να διεκδικήσει η αξιοπρέπεια και δικαιώματα. Καταφέραμε μία ιστορική νίκη το 2015. Συγκρουστήκαμε με πάθος και με εντιμότητα απέναντι στους δανειστές. Που θέλανε να ξεφυλλίσουν τη χώρα μας όταν οι αντίπαλοί μας φωνάζανε βάστα Σόιμπλε και γερά γερούν.Με εντυμότητα διαχειριστήκαμε και το τελευταίο ευρώ του έλληνα πολίτη. ",political agenda,debt,austerity,0.73,0,0,"[['greek people', 'group of people', '1.0'], ['greek', 'country', '0.8'], ['memoranda', 'organization', '0.5'], ['lenders', 'organization', '0.5'], ['schaeuble', 'person', '0.3'], ['euro', 'currency', '0.3'], ['2015', 'date', '1.0']]"
8,"We have pulled the country out of the crisis of the memoranda and the guardianship, leaving behind the only government that has achieved this since the post-independence period, with full coffers. We found them empty, with 37 billion euros.","Βγάλαμε τη χώρα από την κρίση από τα μνημόνια και από την επιτροπεία και αφήσαμε πίσω μας η μόνη κυβέρνηση που το έχει κάνει αυτό από τη μεταπολίτευση και μετά γεμάτα τα ταμεία, ενώ εμείς τα βρήκαμε άδεια με 37 δισεκατομμύρια ευρώ.",political agenda,economy,austerity,1,0,0,"[['none of the named entities fit any of the types listed (person', 'group of people', 'organization', 'political party', 'location', 'country', 'date).']]"
9,"For 15 years, we have been familiar with the system's war and the war of other political forces. This war does not discourage us; it strengthens us. As Nietzsche said, what does not kill you makes you stronger, and we will be stronger the next day, no matter what position we find ourselves in. We want to stand beside society, citizens, and the people, building a new relationship of trust that we are currently forging with them.","15 χρόνια γνωρίζουμε τον πόλεμο του συστήματος και τον πόλεμο των άλλων πολιτικών δυνάμεων. Ο πόλεμος αυτός εμάς δεν μας πτοεί, μας δυναμώνει και όπως έλεγε και ο Νίτσε ό τι δεν σε σκοτώνει, σε κάνει πιο δυνατό και τώρα θα είμαστε πιο δυνατοί την επόμενη ημέρα. Όποια θέση κι αν βρεθούμε. Διότι θέλουμε να είμαστε δίπλα στην κοινωνία, δίπλα στον πολίτη, δίπλα στο λαό, μια νέα σχέση εμπιστοσύνης που σφυρίλατούμε μαζί του τούτες τις μέρες.",political agenda,elections,other,0.7,0,0,"[['nietzsche', 'person', '0.8'], ['society', 'group of people', '0.5'], ['citizens', 'group of people', '0.5'], ['people', 'group of people', '0.5']]"
10,"But the new election is not a simple proportional representation system. Everyone has already taken responsibility for this strategic and historic defeat of proportional representation. When we were offering cooperation to other political forces, they were looking for ways to cut off our hand and give SYRIZA a one-way ticket, leaving Mitsotakis undisturbed. This is the truth. However, now it is an election with the well-known system of enhanced proportional representation, where the first party will receive 50 seats plus an additional 50 seats. What are the plans being opposed in this election?","Η νέα όμως εκλογική αναμέτρηση δεν είναι με το σύστημα της απλής αναλογικής. Ο καθένας έχει ήδη αναλάβει τις ευθύνες του για αυτή την στρατηγική ήττα και ιστορική ήττα της απλής αναλογικής. Γιατί όταν εμείς δίναμε το χέρι της συνεργασίας σε άλλες πολιτικές δυνάμεις, αυτές κοιτάζανε πως θα κόψουν το δικό μας χέρι και κάνουν μονομέτωπο στο ΣΥΡΙΖΑ και άφηναν ανενόχλητο τον Μητσοτάκη.Αυτή είναι η αλήθεια, όμως τώρα τώρα είναι μια εκλογική αναμέτρηση με το γνωστό σύστημα της ενισχυμένης αναλογικής 50 έδρες Επιπλέον θα πάρει ο πρώτος. Και ποια είναι τα σχέδια που αντιπαρατίθενται σε αυτές τις εκλογές;",criticism,elections,election spending,0,0.6,0,"[['syriza', 'political party', '1.0'], ['mitsotakis', 'person', '1.0'], ['greece', 'country', '1.0'], ['election', 'date', '1.0']]"
