id,text,text_el,is_criticism,topic-context,subtopic-context,sentiment,polarization-definition,populism-definition,ner-limited
1,"We thank you all for your warm welcome and presence here in Chalandri today, in a program presentation that is different than usual, in an open outdoor space, but at a very critical juncture. We are only 18 days away from the elections on June 25th, and these elections are not just about deciding the government of the country tomorrow, the Prime Minister tomorrow, the parliamentary strength of the parties, or the composition of the parliament. In these elections, something much more important, something much bigger, something that concerns us all, is being decided. The very future of the country and its citizens is at stake. We are not just deciding who will be the winner and who will be the loser. We are deciding who and how the country will be governed over the next four years. Therefore, we are deciding on our future and our lives.","Σας ευχαριστούμε όλους και όλες θερμά για αυτή τη ζεστή υποδοχή και τη ζεστή παρουσία σας σήμερα εδώ στο Χαλάνδρι, σε μια διαφορετική από ό,τι συνήθως παρουσίαση προγράμματος, σε ανοικτό υπαίθριο χώρο, αλλά σε μια πολύ κρίσιμη συγκυρία. Σε μια πολύ κρίσιμη συγκυρία, καθώς βρισκόμαστε μόλις 18 μέρες πριν τις εκλογές της 25ης Ιουνίου. Και σε αυτές τις εκλογές δεν κρίνεται απλώς και μόνο η αυριανή κυβέρνηση της χώρας, ο αυριανός πρωθυπουργός, η κοινοβουλευτική δύναμη των κομμάτων, η σύνθεση του κοινοβουλίου. Σε αυτές τις εκλογές κρίνεται κάτι πολύ σημαντικότερο, κάτι πολύ μεγαλύτερο, κάτι που μας αφορά όλες και όλους. Διότι κρίνεται το ίδιο το μέλλον της χώρας και των πολιτών της. Δεν αποφασίζουμε απλώς για το ποιος θα είναι νικητής και ποιος θα είναι ηττημένος. Αποφασίζουμε για το ποιος και πως θα κυβερνήσει τη χώρα την επόμενη τετραετία. Άρα αποφασίζουμε για το μέλλον και τις ζωές μας.",political agenda,elections,other,0.5,0.0,0.0,"[['chalandri', 'location', '1.0'], ['june 25th', 'date', '1.0'], ['prime minister', 'person', '1.0'], ['parliament', 'organization', '1.0'], ['citizens', 'group of people', '1.0']]"
2,"So let me start with some images from the future. Let me start with images of Greece and Greek society at the end of the next four years - the Greece of 2027. And let me share these images with you. Let's put aside for a moment the current political debate, the propaganda, the fake news, and the repetitive, to the point of intolerable, driven arguments.","Επιτρέψτε μου λοιπόν να ξεκινήσω με μερικές εικόνες από το μέλλον. Να ξεκινήσω με τις εικόνες της Ελλάδας και της ελληνικής κοινωνίας στο τέλος της επόμενης τετραετίας. Την Ελλάδα του 2027. Και επιτρέψτε μου αυτές τις εικόνες να τις μοιραστώ μαζί σας. Ας αφήσουμε για λίγο στην άκρη την τρέχουσα πολιτική αντιπαράθεση, την προπαγάνδα, τα fake news, τους επαναλαμβανόμενους, σε σημείο ανυπόφορο, καθοδηγούμενους διαξιφισμούς. ",political agenda,other,austerity,,0.0,0.0,"[['greece', 'country', '0.95'], ['greek society', 'group of people', '0.8'], ['2027', 'date', '0.9']]"
3,"And let's ask ourselves together: What do we want our country to look like at the end of the next four years, in 2027? What do we want our society to look like in 2027 to make it worth living in? The image that comes to my mind is that of a country and a society of democracy and equality. We want ourselves and our children to live in 2027 in a country of democracy and equality, in a country and a society with dynamism and perspective, and in a country and a society with less inequality.",Και ας αναρωτηθούμε μαζί: Πώς θέλουμε άραγε να είναι η χώρα μας στο τέλος της επόμενης τετραετίας το 2027; Πώς θέλουμε να είναι η κοινωνία μας το 2027 για να αξίζει να ζούμε σε αυτή; Η εικόνα που έρχεται στο δικό μου μυαλό είναι αυτή μιας χώρας και μιας κοινωνίας δημοκρατίας και ισότητας. Θέλουμε να ζούμε εμείς και τα παιδιά μας το 2027 σε μια χώρα δημοκρατίας και ισότητας. Σε μια χώρα και μια κοινωνία με δυναμική και με προοπτική. Σε μια χώρα και μια κοινωνία με λιγότερες ανισότητες.,political agenda,democracy,economic equity,0.8,0.0,0.0,"[['2027', 'date', '1.0'], ['country', 'location', '1.0'], ['society', 'organization', '0.9'], ['democracy', 'organization', '0.7'], ['equality', 'organization', '0.7'], ['children', 'group of people', '0.6'], ['inequality', 'organization', '0.5']]"
4,"Where the wealth produced will grow and be shared fairly and equitably among citizens. It will not be accumulated by a few select business groups. A country and society that are constantly developing their productive potential, that have exploited their comparative advantages, that are confident and secure. It is the image of a country with strong institutions, entrenched democracy, and a strong welfare state. With workers who are better paid for their work, in dignity and security. A country where workers and small and medium-sized entrepreneurs will not be taxed to enrich the oligarchy but will share equally and proportionately in the common burdens.","Όπου ο παραγόμενος πλούτος θα αυξάνεται και θα διαμοιράζεται δίκαια και ισότιμα μεταξύ των πολιτών. Δεν θα συσσωρεύεται σε λίγους και εκλεκτούς επιχειρηματικούς ομίλους. Μια χώρα και μια κοινωνία που θα αναπτύσσει διαρκώς τις παραγωγικές της δυνατότητες, θα έχει αξιοποιήσει τα συγκριτικά της πλεονεκτήματα, θα πορεύεται με αυτοπεποίθηση και με ασφάλεια. Είναι η εικόνα μιας χώρας με ισχυρούς θεσμούς, εμπεδωμένη δημοκρατία, ισχυρό κοινωνικό κράτος. Με εργαζόμενους και εργαζόμενες που θα αμείβονται καλύτερα για την δουλειά τους, σε συνθήκες αξιοπρέπειας και ασφάλειας. Μια χώρα όπου εργαζόμενοι και μικρομεσαίοι επιχειρηματίες δεν θα φορολεηλατούνται για να πλουτίζει η ολιγαρχία, αλλά θα συμμετέχουν ισότιμα και αναλογικά στα κοινά βάρη. ",political agenda,economy,economic equity,0.8,0.0,0.2,[]
5,"I want, and we want, to live in a country where a young couple can have children whenever they want and can cope with the costs of the supermarket, rent, mortgage, and utilities. We want a country where they will have free access to nursery care, healthcare, quality, and modern schools. We want to live in a country where a young scientist can choose whether to stay, work, and contribute her knowledge and energy to the collective effort for the common good, and not be forced to emigrate to see her efforts rewarded.","Θέλω και θέλουμε να ζούμε σε μια χώρα όπου ένα νέο ζευγάρι θα μπορεί να αποκτήσει παιδιά όποτε το επιθυμεί και θα μπορεί να αντιμετωπίσει τα έξοδα του σούπερ μάρκετ, του ενοικίου, του δανείου, των κοινοχρήστων. Όπου θα έχει δωρεάν πρόσβαση στον παιδικό σταθμό, στην περίθαλψη, σε σχολεία ποιοτικά και σύγχρονα. Να ζούμε σε μια χώρα όπου μια νέα επιστημόνισσα θα μπορεί να επιλέξει αν το επιθυμεί να μείνει, να δουλέψει, να προσφέρει τις γνώσεις και την ενέργεια της στη συλλογική προσπάθεια για το κοινό καλό και δεν θα αναγκάζεται να μεταναστεύει για να δει τους κόπους της να ανταμείβονται. ",political agenda,social state,cost of living,0.8,0.0,0.0,"[['young couple', 'person', '0.9'], ['nursery care', 'organization', '0.7'], ['healthcare', 'organization', '0.7'], ['schools', 'organization', '0.7'], ['young scientist', 'person', '0.9']]"
6,"I want, and we want, to live in a country where an elderly person can live decently without feeling like a burden on his or her family and children, without being squeezed out for debts of a few thousand euros.","Θέλω και θέλουμε να ζούμε σε μια χώρα όπου ένας ηλικιωμένος θα μπορεί να ζει αξιοπρεπώς, χωρίς να νιώθει βάρος για την οικογένεια και τα παιδιά του. Χωρίς να ξεσπιτώνεται για χρέη λίγων χιλιάδων ευρώ.",political agenda,pensioners,elderly,0.6,0.0,0.0,[]
7,"In a country where our fellow citizens will not die in the back of a pickup truck because there are no ambulances to transport them. In a country where life's contingencies do not shatter expectations, dreams, and plans. Where a family with a child with autism or an elderly person with a terminal illness will have the support, help, daily care, and attention of the state.","Σε μια χώρα όπου οι συμπολίτες μας δεν θα πεθαίνουν στην καρότσα ενός αγροτικού, γιατί δεν υπάρχει ασθενοφόρο να τους μεταφέρει. Σε μια χώρα που τα απρόοπτα της ζωής δεν θα τινάζουν στον αέρα προσδοκίες, όνειρα, σχεδιασμούς. Όπου μια οικογένεια με παιδί με αυτισμό ή με έναν ηλικιωμένο με ανίατη ασθένεια θα έχει την κρατική στήριξη, τη βοήθεια, την καθημερινή μέριμνα και φροντίδα του κράτους. ",political agenda,health,public welfare,,0.0,0.0,"[['country', 'location', '0.95'], ['fellow citizens', 'group of people', '0.6'], ['ambulances', 'organization', '0.7'], ['family', 'group of people', '0.6'], ['child with autism', 'person', '0.6'], ['elderly person', 'person', '0.6'], ['state', 'organization', '0.6']]"
8,"A person with a disability can live, work, play, and have fun just like any other person in a country and society that takes care of its people. That country and society are worth fighting for because these images of the future are not utopian but achievable, realistic goals in the 21st century, no matter how much they try to convince us otherwise.","Όπου ένας άνθρωπος με αναπηρία θα ζει, θα εργάζεται, θα ψυχαγωγείται και θα διασκεδάζει όπως και κάθε άλλος άνθρωπος. Σε μια χώρα και μια κοινωνία που θα φροντίζει τους ανθρώπους της. Και για αυτή την χώρα και για αυτή την κοινωνία αξίζει να παλέψουμε. Γιατί αυτές οι εικόνες από το μέλλον δεν είναι εικόνες ουτοπίας. Είναι εφικτοί, ρεαλιστικοί στόχοι στον 21ο αιώνα, όσο και αν προσπαθούν να μας πείσουν για το αντίθετο. ",political agenda,human rights,other,1.0,0.0,0.0,"[['21st century', 'date', '0.5'], ['country', 'location', '1.0'], ['society', 'organization', '0.7'], ['person with a disability', 'group of people', '0.9']]"
9,"Feasible and realistic, but on one condition: that the course of the last four years does not continue. Although there is no doubt that the Greek economy is more resilient today than it was 15 years ago, this is not due to the four years of the ND government. On the contrary, it was our crucial contribution that led to the regulation of public debt, the reduction of unemployment, and the rationalization of public finances. This put the country on a path of recovery and growth, stabilized it, and restored its international credibility.","Εφικτοί και ρεαλιστικοί, όμως υπό μια προϋπόθεση. Ότι δεν θα συνεχιστεί η πορεία της τελευταίας τετραετίας. Διότι αν και δεν υπάρχει αμφιβολία ότι η ελληνική οικονομία είναι σήμερα ανθεκτικότερη από ό,τι ήταν 15 χρόνια πριν, αυτό δεν έγινε λόγω της τετραετούς διακυβέρνησης της ΝΔ. Αντίθετα, ήταν η δική μας κρίσιμη συμβολή που οδήγησε στη ρύθμιση του δημόσιου χρέους, την αποκλιμάκωση της ανεργίας και το νοικοκύρεμα των δημόσιων οικονομικών, που έβαλε τη χώρα σε μια τροχιά ανάταξης και ανάπτυξης, τη σταθεροποίησε και αποκατέστησε την διεθνή της αξιοπιστία. ",political agenda,economy,austerity,0.4,0.2,0.0,"[['greek economy', 'location', '0.8'], ['nd government', 'organization', '0.5'], ['public debt', 'organization', '0.2'], ['unemployment', 'organization', '0.2'], ['public finances', 'organization', '0.2'], ['country', 'location', '0.2'], ['international credibility', 'organization', '0.2.']]"
10,"Our government tackled the humanitarian crisis, reduced inequalities, reduced child poverty, and provided access to the National Health System, free medical and pharmaceutical care to two and a half million uninsured individuals, if I recall correctly.","Ήταν η δική μας διακυβέρνηση που αντιμετώπισε την ανθρωπιστική κρίση, μείωσε τις ανισότητες, περιόρισε την παιδική φτώχεια, έδωσε πρόσβαση στους ανασφάλιστους, σε δυόμισι εκατομμύρια, αν θυμάμαι, ανασφάλιστους, στο Εθνικό Σύστημα Υγείας, για δωρεάν ιατρική και φαρμακευτική περίθαλψη.",political agenda,social state,economic equity,0.8,0.0,0.0,"[['government', 'organization', '0.6'], ['national health system', 'organization', '0.5'], ['two and a half million', 'group of people', '0.4']]"
