id,text,text_el,is_criticism,topic-context,subtopic-context,sentiment,polarization-definition,populism-definition,ner-limited
1,"I want to thank you for the warm welcome. I want to thank you for your passion and determination. Before I begin my address here in Larissa today, I want to say one thing. Your presence, passion, and message today are more important than at any other time. SYRIZA is here to stay and will stand with the struggles of the citizens of the Greek people's society. We will always be together on the ramparts, in the struggles. It is imperative to get up when you fall, and we are standing up.","Θέλω να σας ευχαριστήσω για τη θερμή υποδοχή. Θέλω να σας ευχαριστήσω για το πάθος και την αποφασιστικότητά σας και θέλω να σας πω ένα πράγμα πριν ξεκινήσω το χαιρετισμό μου σήμερα εδώ στη Λάρισα. Η δική σας παρουσία, η δική σας παρουσία, το δικό σας πάθος σήμερα είναι πιο σημαντικό από την παρουσία και το πάθος οποιαδήποτε άλλη φορά, διότι σήμερα εσείς με την παρουσία σας, δίνετε το μήνυμα και το σύνθημα. Ο ΣΥΡΙΖΑ ήρθε για να μείνει, θα είναι εδώ δίπλα στους αγώνες, δίπλα στις αγωνίες των πολιτών της κοινωνίας του ελληνικού λαού. Είμαστε εδώ και θα είμαστε εδώ μαζί σας, μέχρι να σβήσει ο ήλιος. Θα είμαστε για πάντα μαζί στις επάλξεις, στους αγώνες. Γιατί επιτρέπεται να πέσεις, επιβάλλεται να σηκωθείς και είμαστε ορθοί.",political agenda,elections,other,0.6,0.1,0,"[['larissa', 'location', '1.0'], ['syriza', 'political party', '1.0'], [""greek people's society"", 'group of people', '0.6']]"
2,"So I want to tell you, and those who have false hopes, that the SYRIZA Progressive Alliance is not a flare, but rather the mature child of the needs of Greek society and its people. It came to support the popular strata, the working class, the wage-earners, the small and medium-sized enterprises, the people of toil and creation, the producers, and the people of culture, and it will continue to support them. We know that we are fighting a difficult but crucial struggle this time. We had a negative result, but we have a ballot box in front of us that will decide the lives of the citizens of our country for the next four years. This time, we want to concentrate the political debate on the conflicting programs and the major problems that concern the present and future of Greek society. We are voting for our lives because our lives are at stake. Throughout the previous period, they tried and succeeded, perhaps with our responsibility, to divert the debate to yesterday and talk about anything else, rather than everything we have experienced in these four years.","Θέλω να πω λοιπόν και σε εσάς, αλλά και σε όσους τρέφουν φρούδες ελπίδες ότι ο ΣΥΡΙΖΑ Προοδευτική Συμμαχία είναι μια φωτοβολίδα να τους πω δεν είναι φωτοβολίδα, αλλά είναι το ώριμο τέκνο της ανάγκης της ελληνικής κοινωνίας και του ελληνικού λαού. Ήρθε για να στηρίξει τα λαϊκά στρώματα, την εργατική τάξη, τους μισθωτούς, τους μικρομεσαίους, τους ανθρώπους του μόχθου και της δημιουργίας, τους παραγωγούς, τους ανθρώπους του πολιτισμού και θα συνεχίσει να τους στηρίζει. Και ξέρουμε πάρα πολύ καλά ότι δίνουμε έναν δύσκολο αλλά κρίσιμο αγώνα τούτη τη φορά. Είχαμε ένα αρνητικό αποτέλεσμα, αλλά μπροστά μας έχουμε μια κάλπη η οποία θα κρίνει τη ζωή των πολιτών της χώρας μας για τα επόμενα 4 χρόνια. Και αυτή τη φορά θέλουμε να επικεντρώσουμε την πολιτική αντιπαράθεση στα προγράμματα τα οποία αντιπαρατίθενται και θέλουμε να επικεντρώσουμε την αντιπαράθεση στα μεγάλα προβλήματα που αφορούν το σήμερα και το αύριο της ελληνικής κοινωνίας. Και αυτή τη φορά ψηφίζουμε για τη ζωή μας, γιατί κρίνεται η ζωή μας. Όλη την προηγούμενη περίοδο προσπάθησαν και κατάφεραν, ίσως και με δική μας ευθύνη, να πάνε τη συζήτηση στο χθες να κουβεντιάζουμε για οτιδήποτε άλλο, παρά για όλα όσα ζήσαμε αυτά τα 4 χρόνια. ",political agenda,elections,election spending,0.6,0.1,0.4,"[['syriza progressive alliance', 'organization', '1.0'], ['greek society', 'group of people', '1.0'], ['working class', 'group of people', '0.8'], ['wage-earners', 'group of people', '0.6'], ['small and medium-sized enterprises', 'organization', '0.8'], ['people of toil', 'group of people', '0.7'], ['producers', 'group of people', '0.6'], ['people of culture', 'group of people', '0.7'], ['greek', 'country', '1.0'], ['next four years', 'date', '1.0']]"
3,"And in the previous period, we were told that our program was not costed. Who told us that? Those who left the country in 2009 with a 15% deficit and led it into bankruptcy. The same people who left the public coffers empty in '15 so that we could not pay the pensions. Those who are supposed to be excellent technocrats owe the banks 400 million euros in loans and unpaid loans. They criticized us who, down to the last euro, took care to safeguard and left almost 40 billion euros in the public coffers that no other government has taken care to leave paved for the country, for society, for the economy.","Και την προηγούμενη περίοδο μας είπανε ότι το πρόγραμμά μας είναι μη κοστολογημένο. Ποιοι μας το είπαν αυτό; Αυτοί που αφήσανε τη χώρα το 2009 με 15% έλλειμμα και την οδήγησαν στη χρεοκοπία. Αυτοί που άφησαν άδεια τα δημόσια ταμεία το '15 για να μην μπορούμε να πληρώσουμε τις συντάξεις. Αυτοί οι οποίοι υποτίθεται είναι άριστοι και τεχνοκράτες χρωστάνε στις τράπεζες 400 εκατομμύρια ευρώ δανεικά και αγύριστα. Κάνανε κριτική σε μας που μέχρι και το τελευταίο ευρώ φροντίσαμε να διασφαλίσουμε και αφήσαμε στα δημόσια ταμεία 40 σχεδόν δισεκατομμύρια ευρώ που καμία άλλη κυβέρνηση δεν έχει φροντίσει να αφήσει στρωμένο το έδαφος για τη χώρα, για την κοινωνία, για την οικονομία.",criticism,debt,bankruptcy,0.7,0,0.2,"[['none', 'as there are no specifically named entities in the text.']]"
4,"We have honestly managed the greatest difficulties of the Greek people, and we are proud of what we have achieved. We have fulfilled our debt to history by keeping the country in Europe through our decisions. However, they are taking the country away from Europe with their decisions. The dilemma today is not whether we will stay in Europe, but whether we will become Europe. When a country is moving away from the European average in terms of income, labor relations, social infrastructure, the welfare state, and the rule of law, it is on a path of divergence. Therefore, we are here today to openly discuss the major problems facing Greek society in the 15 days left until the crucial June ballot.","Με εντιμότητα διαχειριστήκαμε τις μεγαλύτερες δυσκολίες του ελληνικού λαού. Και είμαστε περήφανοι για αυτά που καταφέραμε. Έχουμε κάνει το χρέος μας στην ιστορία. Εμείς με τις αποφάσεις μας κρατήσαμε τη χώρα στην Ευρώπη. Αυτοί με τις δικές τους αποφάσεις, απομακρύνουν τη χώρα από την Ευρώπη. Γιατί το δίλημμα σήμερα δεν είναι αν θα μείνουμε Ευρώπη, αλλά αν θα γίνουμε Ευρώπη. Και όταν η χώρα απομακρύνεται στο εισόδημα, στις σχέσεις εργασίας, στις κοινωνικές υποδομές και στο κοινωνικό κράτος, στο κράτος δικαίου από το μέσο ευρωπαϊκό όρο, τότε βρίσκεται σε μια πορεία απόκλισης. Εμείς λοιπόν σήμερα λέμε να συζητήσουμε εδώ ανοιχτά τις 15 μέρες που έμειναν μέχρι την κρίσιμη κάλπη του Ιούνη για τα μεγάλα προβλήματα που αντιμετωπίζει η ελληνική κοινωνία.",political agenda,europe,austerity,0,0,0,"[['greek people', 'group of people', '1.0'], ['europe', 'location', '1.0'], ['june', 'date', '1.0']]"
5,"And when we presented the dilemma to Mr. Mitsotakis, who spoke about overspending to conceal the essence of our program, shall we go together to the General Accounting Office of the State or to the House Budget Committee? Let's cost our programs and come back the next day to have an open discussion in a public TV debate. Once again, he ran away, and do you know why he ran away? Because the program of the New Democracy is a fraudulent program. Governments' programs are what are submitted to the European Commission as medium-term programs for the next three years. Just two months ago, the New Democracy, as a government, submitted its program to the European Commission, the medium-term program for the next three years. Do you know which of the measures announced by Mr. Mitsotakis have been included in the medium-term? Only one. Only one. None of his announcements have been included in the medium-term. The actual program of the New Democracy does not provide for benefits, tax cuts, or wage increases.","Και όταν θέσαμε το δίλημμα στον κύριο Μητσοτάκη, ο οποίος μίλαγε για υπερκοστολογήσεις ακριβώς για να κρύψει την ουσία του προγράμματός μας. Πάμε μαζί στο γενικό λογιστήριο του κράτους; στην Επιτροπή Προϋπολογισμού της Βουλής; Να κοστολογήσουμε τα προγράμματά μας και έλα την άλλη μέρα να κουβεντιάσουμε ανοιχτά σε μια δημόσια τηλεοπτική αντιπαράθεση. Για άλλη μια φορά το έβαλε στα πόδια και ξέρετε γιατί το έβαλε στα πόδια; Γιατί το πρόγραμμα της Νέας Δημοκρατίας είναι ένα πρόγραμμα απάτη. Τα προγράμματα των κυβερνήσεων είναι αυτά που κατατίθενται στην Ευρωπαϊκή Επιτροπή ως μεσοπρόθεσμα προγράμματα για την επόμενη τριετία. Και πριν από 2 μόλις μήνες η νέα δημοκρατία ως κυβέρνηση τότε κατέθεσε το πρόγραμμά της στην Ευρωπαϊκή Επιτροπή. Το μεσοπρόθεσμο, το μεσοπρόθεσμο για την επόμενη τριετία. Ξέρετε ποια από τα μέτρα που έχει εξαγγείλει ο κύριος Μητσοτάκης έχουν εγγραφεί στο μεσοπρόθεσμο; Μόνο ένα. Μόνο ένα. Κανένα, καμία από τις εξαγγελίες του δεν έχει εγγραφεί στο μεσοπρόθεσμο. Το πραγματικό πρόγραμμα της Νέας Δημοκρατίας δεν προβλέπει ούτε παροχές, ούτε μειώσεις φόρων, ούτε αυξήσεις μισθών. ",criticism,transparency,cost of living,-0.7,0,0,"[['mr. mitsotakis', 'person', '1.0'], ['general accounting office of the state', 'organization', '1.0'], ['house budget committee', 'organization', '1.0'], ['new democracy', 'political party', '1.0'], ['european commission', 'organization', '1.0'], ['greece', 'country', '1.0'], ['only two months ago', 'date', '1.0'], ['the next three years', 'date', '1.0']]"
6,The actual program of New Democracy envisions an even greater dismantling of the national healthcare system.,Το πραγματικό πρόγραμμα της Νέας Δημοκρατίας προβλέπει ακόμα μεγαλύτερη διάλυση στο εθνικό σύστημα υγείας.,criticism,health,privatization of healthcare,-0.8,0,0,"[['new democracy', 'organization', '0.95'], ['national healthcare system', 'group of people', '0.85']]"
7,Even greater dismantling of the welfare state.,Ακόμα μεγαλύτερη διάλυση στο κοινωνικό κράτος.,criticism,social state,public welfare,-0.8,0.1,0,[]
8,Even greater precision and income cuts. Civil servants' salaries will be reduced by 700 million euros in real terms over the next three years.,Ακόμα μεγαλύτερη ακρίβεια και λεηλασία του εισοδήματος. 700 εκατομμύρια ευρώ λιγότερα προβλέπει την επόμενη τριετία στους μισθούς των δημοσίων υπαλλήλων σε πραγματικές τιμές.,criticism,employment,other,-0.8,0,0,"[['civil servants', 'group of people', '1.0'], ['700 million euros', 'organization', '1.0'], ['three years', 'date', '1.0']]"
9,"1.3 billion less in primary public spending, which means less money for schools and hospitals.","1,3 δισεκατομμύρια λιγότερα στις πρωτογενείς δαπάνες του δημοσίου, που σημαίνει λιγότερα χρήματα για τα σχολεία, λιγότερα χρήματα για τα νοσοκομεία.",criticism,public sector,public health system,-0.8,0,0,"[['schools', 'organization', '0.4'], ['hospitals', 'organization', '0.4']]"
10,"And as far as the private sector wage is concerned, false hopes and false promises of €1500 in 2027 for the average wage. The increase in the real wage will be 1.4%, virtually zero. But how else could it be when Greece was the only country, according to OECD data, which had a decrease in the nominal average wage in the three years from 2019 to 2021? How else could it be when, even in the year when everyone increased the nominal wage in 2022-23, Greece was one of only three countries in Europe that had a decrease in the average real wage? This is the truth and this is the reality.","Και σε ό,τι αφορά τον μισθό στον ιδιωτικό τομέα, φρούδες οι ελπίδες και ψεύτικες υποσχέσεις για 1500 € το 2027 τον μέσο μισθό. 1,4% θα είναι η αύξηση του πραγματικού μισθού. Μηδενική ουσιαστικά. Πως αλλιώς όμως θα γινόταν όταν η Ελλάδα ήταν η μόνη χώρα σύμφωνα με τα στοιχεία του ΟΟΣΑ, που την τριετία 1922 είχε μείωση του ονομαστικού μέσου μισθού. Πώς αλλιώς θα γινόταν όταν ακόμα και τη χρονιά που όλοι αύξησαν τον ονομαστικό μισθό το 2022 - 23 η Ελλάδα Ήτανε η μία από τις 3 μονάχα χώρες της Ευρώπης που είχε μείωση του μέσου πραγματικού μισθού; Αυτή είναι η αλήθεια και αυτή είναι η πραγματικότητα.",criticism,employment,wages,-0.8,0,0,"[['greece', 'country', '1.0'], ['oecd', 'organization', '0.9'], ['europe', 'location', '0.8']]"
