id,text,text_el,is_criticism,topic-context,subtopic-context,sentiment,polarization-definition,populism-definition,ner-limited
1,"Hello, thank you very much for the warm welcome here in Nea Ionia, Volos. This is where our roots are, in the city of refugees, in the neighborhood of refugees, in the neighborhood of daily struggle for survival. As soon as I stopped in front of the church, a priest was waiting for me and said, ""Welcome to the place where the left always recharges its batteries, because here are the people who suffer and struggle."" That is why we are here today, in front of the monument to EPON, which reminds us that in this land, nothing has been given away. Everything was won through struggle, and so are we today. We continue the struggle alongside society, alongside the people of toil, alongside the people of creation. Because, my friends, Syriza Progressive Alliance is a child of necessity, a mature child of necessity, and it has come to stay forever next to the people, next to society, next to the underprivileged, next to the workers, next to the people of toil, to serve and fight for their interests.","Γεια σας, σας ευχαριστώ θερμά για αυτή την υποδοχή εδώ στη Νέα Ιωνία του Βόλου. Εδώ όπου έχουμε τις ρίζες μας, στην πόλη της προσφυγιάς, στη γειτονιά της προσφυγιάς, στη γειτονιά του αγώνα του καθημερινού για την επιβίωση. Μόλις σταμάτησα μπροστά στην εκκλησία, με περίμενε ένας ιερέας και μου λέει: ""Καλωσόρισες στον τόπο, όπου η αριστερά πάντοτε γεμίζει τις μπαταρίες της, διότι εδώ είναι ο κόσμος που υποφέρει και αγωνίζεται."" Και για αυτό βρισκόμαστε σήμερα εδώ και μπροστά από το μνημείο της ΕΠΟΝ που μας θυμίζει ότι σε αυτό τον τόπο, τίποτα δεν χαρίστηκε. Όλα κερδήθηκαν με αγώνες, έτσι και εμείς σήμερα. Συνεχίζουμε τον αγώνα δίπλα στην κοινωνία, δίπλα στους ανθρώπους του μόχθου, δίπλα στους ανθρώπους της δημιουργίας. Διότι, φίλες και φίλοι, ο Συριζα προοδευτική συμμαχία είναι τέκνο της ανάγκης, ώριμο τέκνο της ανάγκης και ήρθε για να μείνει για πάντα δίπλα στο λαό, δίπλα στην κοινωνία, δίπλα στους μη προνομιούχους, δίπλα στους εργαζόμενους, δίπλα στους ανθρώπους του μόχθου, να εξυπηρετεί και να παλεύει για τα συμφέροντά τους.",political agenda,elections,other,0.5,0.0,0.2,"[['nea ionia', 'location', '1.0'], ['volos', 'location', '1.0'], ['epon', 'organization', '0.9'], ['syriza progressive alliance', 'political party', '1.0']]"
2,"SYRIZA Progressive Alliance is not a flash in the pan, precisely because it expresses and represents the interests of ordinary people, the people of New Ionia in Volos, and every popular neighborhood in our homeland, where people breathe, live, and struggle for a better tomorrow. We know from our own history and roots that it is allowed to fall, but it is imperative to get up and fight. We also know that the only losers are those who do not fight, and that is why we will fight this struggle with momentum, determination, courage, and optimism until the last second to overturn these correlations. We will not give up this fight for our party's interests. We want to fight, and we will fight. We want to fight, and we will fight until the last second to overturn these correlations expressed at the ballot box in May. Not for our party's narrow interests, but because if they are repeated, it will be a very negative development, first of all for society and for democracy itself.","Δεν είναι μια φωτοβολίδα ο ΣΥΡΙΖΑ Προοδευτική συμμαχία, ακριβώς γιατί εκφράζει και εκπροσωπεί αυτά τα συμφέροντα των απλών καθημερινών ανθρώπων του λαϊκού κόσμου, του λαϊκού κόσμου της νέας Ιωνίας του Βόλου και κάθε γειτονιάς λαϊκής της πατρίδας μας, όπου αναπνέει και ζει και αγωνιά για ένα καλύτερο αύριο. Ξέρουμε πάνω από όλα από την ίδια την ιστορία μας, από τις ρίζες μας, ότι επιτρέπεται να πέσεις, αλλά επιβάλλεται να σηκωθείς και να παλέψεις. Ξέρουμε επίσης ότι χαμένοι είναι μονάχα οι αγώνες που δεν δίνονται, για αυτό εμείς αυτό τον αγώνα θα τον δώσουμε με ορμή με αποφασιστικότητα, με θάρρος, με αισιοδοξία ως το τελευταίο δευτερόλεπτο για να ανατρέψουμε αυτούς τους συσχετισμούς. Δεν θα το δώσουμε αυτό τον αγώνα για το κομματικό μας συμφέρον. Θέλουμε να παλέψουμε και θα παλέψουμε. Θέλουμε να παλέψουμε και θα παλέψουμε μέχρι το τελευταίο δευτερόλεπτο, να ανατραπούν αυτοί οι συσχετισμοί που εκφράστηκαν στην κάλπη του Μάη. Όχι για το κομματικό μας στενό συμφέρον, αλλά γιατί αν επαναληφθούν να είναι πολύ αρνητική εξέλιξη, πρώτα απ' όλα για την κοινωνία αλλά και για την ίδια τη δημοκρατία.",political agenda,elections,other,0.7,0.1,0.2,"[['syriza progressive alliance', 'organization', '1.0'], ['new ionia', 'location', '0.9'], ['volos', 'location', '0.9'], ['homeland', 'location', '0.7'], ['may', 'date', '0.7']]"
3,"What are their plans hiding? Their plans are not just to be self-reliant, but to be all-powerful, to have a constitutional revision with 180 MPs, they said. To continue a plan of social plunder that they are hiding, but it is slowly revealing itself. So I would like to call on every progressive citizen from here in the new Ionia of Volos, because not only did 40% of New Democracy go to the ballot box, but also 60% went to other parties. Every progressive citizen who has realized that what is coming, if this correlation is repeated, will be dramatic for society. I would like to say that objectively now, with the simple proportional representation, which does not exist and is enhanced, objectively with the enhanced proportional representation, which gives 50 bonus seats to the first party, every vote that does not go to the New Democracy or does not go to Syriza will be a vote that objectively suits and strengthens the New Democracy. We therefore call on all progressive citizens, despite their disagreements and reservations, to strengthen in this ballot box of enhanced proportional representation... What should we do? It was not our choice to strengthen the only alternative force, the only alternative programmatic project against the social plundering project of the New Democracy, to strengthen SYRIZA. To have a hope of reversing this correlation and winning.","Τι κρύβουν τα σχέδια τους; Τα σχέδιά τους δεν είναι απλά να είναι αυτοδύναμοι, αλλά να είναι παντοδύναμοι, για να κάνουμε συνταγματική αναθεώρηση με 180 βουλευτές, το είπαν. Για να συνεχίσουν ένα σχέδιο κοινωνικής λεηλασίας που το κρύβουνε, αλλά σιγά σιγά φανερώνεται. Θέλω λοιπόν να καλέσω τούτη την ώρα από δω από τη νέα Ιωνία του Βόλου, κάθε προοδευτικό πολίτη, γιατί στην κάλπη δεν πήγε μόνο το 40% της Νέας Δημοκρατίας, υπήρξε και ένα 60% που πήγε σε άλλα κόμματα. Κάθε προοδευτικό πολίτη, ο οποίος έχει συνειδητοποιήσει ότι αυτό που έρχεται, αν επαναληφθεί αυτός ο συσχετισμός, θα είναι δραματικό για την κοινωνία και να πω ότι αντικειμενικά τώρα, με την απλή αναλογική που δεν υπάρχει και υπάρχει ενισχυμένη, αντικειμενικά με την ενισχυμένη αναλογική που δίνει 50 έδρες μπόνους στο πρώτο κόμμα, τώρα κάθε ψήφος που δεν θα πάει στη νέα δημοκρατία ή δεν θα ρθει στο ΣΥΡΙΖΑ θα είναι ψήφος που αντικειμενικά βολεύει και ενισχύει τη νέα δημοκρατία. Καλούμε λοιπόν όλους τους προοδευτικούς πολίτες, παρά τις διαφωνίες και τις επιφυλάξεις τους, να ενισχύσουν σε αυτή την κάλπη της ενισχυμένης αναλογικής... Τι να κάνουμε; Δεν ήταν δική μας επιλογή... να ενισχύσουν τη μόνη εναλλακτική δύναμη, το μόνο εναλλακτικό προγραμματικό σχέδιο απέναντι στο σχέδιο της κοινωνικής λεηλασίας της νέας δημοκρατίας, να ενισχύσουν το ΣΥΡΙΖΑ. Για να έχουμε ελπίδα ανατροπής αυτού του συσχετισμού και νίκης. ",criticism,elections,other,-0.5,0.9,0.2,"[['new ionia of volos', 'location', '1.0'], ['new democracy', 'political party', '0.9'], ['syriza', 'political party', '0.9'], ['180 mps', 'group of people', '0.6'], ['dramatic for society', 'date', '0.5'], ['50 bonus seats', 'organization', '0.5']]"
4,"Yes, we are aiming for a winning result in these elections because SYRIZA has not been and will not become a complementary party that complements the right, like KINAL. It is and will remain a party of power and wants to govern the country to implement its program for the benefit of the people. It is true that we are stuck in a decades-old vision of the left, a vision to change the political system, to have fairness even in voting, and for every vote to count equally. Unfortunately, blackmailing dilemmas are being reintroduced with the enhanced proportional representation. This was our vision, and we wanted to put it into practice with altruism because as a party in power, we had nothing to lose by remaining in the enhanced proportional representation. Simple proportional representation unfortunately did not go ahead. It suffered a historic defeat, and all the progressive forces are responsible for this historic defeat because throughout the election period, we gave them the hand of cooperation. Instead of wanting to reach out our hand to bring down the right, they wanted to cut off our hand and fought a one-front struggle against SYRIZA, not against Mitsotakis.","Ναι, εμείς πάμε για νικηφόρο αποτέλεσμα σε αυτές τις εκλογές, γιατί ο ΣΥΡΙΖΑ δεν ήταν και δεν θα γίνει κόμμα συμπλήρωμα, κόμμα συμπλήρωμα της δεξιάς, όπως το ΚΙΝΑΛ. Ούτε κόμμα διαμαρτυρίας. Είναι και θα παραμείνει κόμμα εξουσίας και θέλει τη διακυβέρνηση του τόπου για να εφαρμόσει το πρόγραμμα του το ΣΥΡΙΖΑ προς όφελος του λαού.
Εγκλωβιστήκαμε, είναι αλήθεια, σε ένα όραμα πολλών δεκαετιών για την αριστερά. Ένα όραμα να αλλάξουμε το πολιτικό σύστημα. Να υπάρχει δικαιοσύνη ακόμα και στη ψήφο. Κάθε ψήφος να μετράει ισότιμα. Να μην υπάρχουν εκβιαστικά διλήμματα που δυστυχώς τώρα ξαναμπαίνουν με την ενισχυμένη αναλογική. Αυτό ήταν το όραμα μας και θελήσαμε να το κάνουμε πράξη με αλτρουισμό γιατί ως κόμμα εξουσίας, δεν είχαμε τίποτα να χάσουμε, να παραμείνουμε στην ενισχυμένη αναλογική. Η απλή αναλογική δυστυχώς δεν προχώρησε. Υπέστη μια ιστορική ήττα και ευθύνη για αυτή την ιστορική ήττα έχουν όλες οι προοδευτικές δυνάμεις που εμείς καθ' όλη τη διάρκεια της προεκλογικής περιόδου τους δίναμε το χέρι της συνεργασίας και αυτοί αντί να θέλουν να φτάσουν το δικό μας χέρι για να ρίξουμε τη δεξιά, θέλαν να κόψουν το δικό μας χέρι και έκαναν μονομέτωπο αγώνα ενάντια στο ΣΥΡΙΖΑ, όχι ενάντια στον Μητσοτάκη. ",criticism,elections,other,0.2,0.6,0.2,"[['syriza', 'organization', '1.0'], ['kinal', 'political party', '1.0'], ['greece', 'country', '1.0'], ['the left', 'group of people', '1.0'], ['mitsotakis', 'person', '1.0']]"
5,"Now, however, things are different. Every vote counts on June 25th, either for the new democracy of self-reliance and omnipotence or for the reversal of the correlations that only SYRIZA can demand. Or in favor of the possibility of a strong force the next day that can look Mr. Mitsotakis and New Democracy in the eye, in its anti-social program. And speaking of programs, let us talk about programs. The previous election debate focused on what happened in 2015, as if the history of the country started on January 15th and ended on September 15th, neither on what happened before nor what happened after, especially not at all on what happened in the 4 years of Mitsotakis' government 19-23 and not at all on what will happen in the next 4 years. So we want to focus the debate today on what happened in those 4 years and what we are asking for in the next 4 years. Because it is in the final and crucial election that our lives will be decided for the next 4 years. Who and with what program will govern us for the next 4 years. And we see that the new democracy has a fraudulent program. A program where it says a lot of things that it doesn't plan to do and it doesn't say things, it hides things, that it plans to do.","Τώρα λοιπόν όμως, τα πράγματα είναι διαφορετικά. Διότι στις 25 του Ιούνη η κάθε ψήφος μετράει ή υπέρ της νέας δημοκρατίας της αυτοδυναμίας και της παντοδυναμίας της ή υπέρ της ανατροπής των συσχετισμών που μόνο ΣΥΡΙΖΑ μπορεί να απαιτεί. Ή υπέρ της δυνατότητας την επόμενη μέρα να υπάρχει μια ισχυρή δύναμη που θα μπορεί να κοιτάξει στα μάτια τον κύριο Μητσοτάκη και τη Νέα δημοκρατία, στο αντικοινωνικό της πρόγραμμα. Και κοιτάχτε, το πρόγραμμα, μιας και είπα πρόγραμμα: Αυτή είναι η μαγική λέξη, είναι η λέξη κλειδί. Να μιλήσουμε λοιπόν για προγράμματα. Η προηγούμενη η προεκλογική αντιπαράθεση επικεντρώθηκε στο τι έγινε το 2015, λες και η ιστορία του τόπου ξεκίνησε το Γενάρη του 15 και τελείωσε το Σεπτέμβρη του 15. Ούτε στο τι έγινε πριν ούτε στο τι έγινε μετά. Κυρίως καθόλου στο τι έγινε τα 4 χρόνια της διακυβέρνησης Μητσοτάκη 19-23 και καθόλου στο τι θα γίνει στα επόμενα 4 χρόνια. Εμείς λοιπόν θέλουμε σήμερα να εστιάσουμε τη συζήτηση στο τι έγινε αυτά τα 4 χρόνια και τι ζητάμε να γίνει τα επόμενα 4. Διότι στην τελική και κρίσιμη εκλογική αναμέτρηση κρίνεται η ζωή μας για τα επόμενα 4. Ποιος και με ποιο πρόγραμμα θα μας κυβερνήσει τα επόμενα 4 χρόνια. Και βλέπουμε ότι η νέα δημοκρατία έχει ένα πρόγραμμα απάτη. Ένα πρόγραμμα όπου λέει πολλά πράγματα που δε σχεδιάζει να κάνει και δεν λέει πράγματα, κρύβει, που σχεδιάζει να κάνει.",criticism,elections,other,-0.2,0.2,0.0,"[['june 25th', 'date', '1.0'], ['syriza', 'political party', '1.0'], ['mr. mitsotakis', 'person', '1.0'], ['new democracy', 'organization', '1.0'], [""mitsotakis'"", 'person', '1.0'], ['19-23', 'date', '1.0'], ['next 4 years', 'date', '1.0'], ['new democracy', 'organization', '0.8']]"
6,"They submitted the medium-term program for the next three years to the European Commission two months ago. They did not include any of the announcements they made during the election because there is no budgetary space to include them. In other words, they are using these subsidies to cover the budgetary space, which they are giving out specifically to keep prices high for the energy, refining, and supermarket cartels. That is why all of Mitsotakis' promises about tax cuts and supporting society are false and illusory because they have not been included in the medium-term program submitted to the European Commission.","Κατέθεσαν πριν 2 μήνες στην Ευρωπαϊκή Επιτροπή το μεσοπρόθεσμο πρόγραμμα για την επόμενη τριετία. Δεν έχουν εντάξει ούτε ένα, ούτε μία από τις εξαγγελίες που κάνουν προεκλογικά, ούτε μια, γιατί δεν υπάρχει δημοσιονομικός χώρος για να τις εντάξουμε. Δηλαδή τον καλύπτουν το δημοσιονομικό χώρο με αυτές τις επιδοτήσεις που τις δίνουν στοχευμένα για να κρατάνε υψηλά τις τιμές στα καρτέλ της ενέργειας, της διύλισης και της αλυσίδας σούπερ μάρκετ. Για αυτό όλες οι υποσχέσεις Μητσοτάκη για μειώσεις φόρων, για στήριξη της κοινωνίας είναι ψευδείς, είναι fake, όπως λέμε, είναι απατηλές. Διότι δεν έχουν ενταχθεί στο μεσοπρόθεσμο που κατέθεσαν στην Ευρωπαϊκή Επιτροπή. ",criticism,economy,other,-0.8,0.0,0.0,"[['european commission', 'organization', '1.0'], ['mitsotakis', 'person', '1.0']]"
7,"But what are they not saying and what are they aiming to do? The masks have fallen, and Mitsotakis' hidden health plan has been revealed. Their MP and MP candidate, Professor Pneumatikos, revealed it by saying exactly what Mr. Mitsotakis himself told us in Parliament during the debate on the 2020 budget on December 19. He said, ""You will shudder at the program that we intend to implement in healthcare."" What was this program? The privatization of hospitals. Mitsotakis wanted to convert three large public hospitals into PPPs with private legal entities on a pilot basis, put managers in, and cut costs.","Τι είναι αυτό όμως το οποίο δεν λένε και έχουν στόχο να κάνουνε; Οι μάσκες έπεσαν, φανερώθηκε το κρυφό σχέδιο Μητσοτάκη για την υγεία. Το φανέρωσε ο βουλευτής τους... και υποψήφιος βουλευτής τους, καθηγητής, κύριος Πνευματικός, ο οποίος τι είπε; Είπε ακριβώς αυτό το οποίο μας είπε ο ίδιος ο κύριος Μητσοτάκης στη Βουλή, στη Βουλή, στη συζήτηση για τον προϋπολογισμό του 2020 τον Δεκέμβρη του 19 και μας είπε: Θα ανατριχιάσετε με το πρόγραμμα που σκοπεύουμε να εφαρμόσουμε στην υγεία. Τι ήταν το πρόγραμμα αυτό; Ιδιωτικοποιήσεις νοσοκομείων. Να μετατρέψει τότε, πιλοτικά, ήθελε 3 μεγάλα δημόσια νοσοκομεία σε ΣΔΙΤ με ιδιώτες, νομικά πρόσωπα ιδιωτικού δικαίου, να βάλει μάνατζερς και να κόψει τις δαπάνες. ",criticism,privatization,privatization of healthcare,-0.7,0.2,0.2,"[['mitsotakis', 'person', '1.0'], ['professor pneumatikos', 'person', '1.0'], ['parliament', 'location', '0.6'], ['december 19', 'date', '1.0'], ['ppp', 'organization', '1.0']]"
8,"It didn't proceed because of the pandemic. The pandemic arrived and we witnessed the consequences for the country, including the devaluation of the NHS. Unfortunately, Greece has the highest number of deaths in proportion to its population in all of Europe.","Δεν το προχώρησε γιατί ήρθε η πανδημία, ήρθε η πανδημία και είδαμε τα αποτελέσματα της χώρας με την απαξίωση του ΕΣΥ. Η Ελλάδα δυστυχώς είναι η χώρα με τον χειρότερο αριθμό θανάτων, αναλογικά με τον πληθυσμό της σε όλη την Ευρώπη. ",criticism,pandemic,public health system,-0.8,0.0,0.0,"[['greece', 'country', '0.97'], ['nhs', 'organization', '0.75'], ['europe', 'location', '0.85']]"
9,"Why? Because during these past 4 years, Mitsotakis' strategic choice was not to strengthen the national health system, and he had no lack of financial possibilities. I will give you an example. In December 2019, we had a total of 108,000 serving, permanent, and contract doctors, nurses, and administrative staff in the NHS. After the pandemic, 6 months ago, in December 2022, that number had become 84,000. This frightening reduction in the number of employees serving in the NHS reflects and proves that it was a strategic choice of Mr. Mitsotakis to leave the NHS in complete disarray.","Γιατί; Γιατί όλα αυτά τα 4 χρόνια, η στρατηγική επιλογή Μητσοτάκη ήταν να μην ενισχύσει το εθνικό σύστημα υγείας και δεν του έλειπαν οικονομικές δυνατότητες αυτά τα 4 χρόνια. Ένα παράδειγμα θα σας δώσω. Το Δεκέμβρη του 2019 αφήσαμε το ΕΣΥ με σύνολο υπηρετούντων, μόνιμους και συμβασιούχους γιατρούς και νοσηλευτές, διοικητικό προσωπικό 108.000. Μετά την πανδημία, πριν από 6 μήνες, το Δεκέμβρη του 2022, οι 108.000 έχουν γίνει 84.000. Αυτός ο αριθμός της τρομακτικής μείωσης των εργαζομένων των υπηρετούντων στο ΕΣΥ αντανακλά και αποδεικνύει ότι ήταν στρατηγική επιλογή του κυρίου Μητσοτάκη να αφήσει το ΕΣΥ σε πλήρη διάλυση.",criticism,health,public health system,-0.8,0.0,0.0,"[['mitsotakis', 'person', '0.9'], ['nhs', 'organization', '0.9'], ['december 2019', 'date', '0.9'], ['108', '000', 'group of people', '0.8'], ['doctors', 'group of people', '0.8'], ['nurses', 'group of people', '0.8'], ['administrative staff', 'group of people', '0.8'], ['pandemic', 'event', '0.8'], ['december 2022', 'date', '0.9'], ['84', '000', 'group of people', '0.8']]"
10,"Here's why we're going to get goosebumps: Mr. Spiritual now comes along and says hospitals are private legal entities. Healthcare is an expensive thing for the state to support. Partnerships with private individuals and screening of patients whenever the costs are not coming in. Those who do not have a positive prognosis should not have their treatments wasted by the state. Cancer patients who do not have a positive prognosis should not have money wasted on their treatments by the state. Those who can afford it should go to private hospitals. Those who cannot afford it, we cannot do anything differently. What was it that another New Republic minister said? Those who cannot survive, die. This is their cruel, cynical logic. Look at what has happened in the last few days: three consecutive days with three losses of our fellow human beings because while we asked for 18 ambulances, we got 143 new ambulances, but there are no staff. Why is there no staff? Because despite being under the memoranda, we had 300 rescuer recruitments in the ambulance service. Four years of Mitsotakis and not one permanent recruitment, with 560 rescuers leaving. That's why people are dying, because they don't have an ambulance to come and pick them up in time and take them to a hospital.","Να λοιπόν, γιατί θα ανατριχιάσουμε. Γιατί έρχεται τώρα ο κύριος Πνευματικός και λέει: Νομικά πρόσωπα ιδιωτικού δικαίου τα νοσοκομεία. Είναι ακριβό πράγμα η υγεία για να την στηρίζει το κράτος. Συμπράξεις με ιδιώτες και όποτε δεν βγαίνουν οι δαπάνες, διαλογή ασθενών. Αυτοί οι οποίοι δεν έχουνε θετική πρόγνωση να μην σπαταλά το κράτος χρήματα για τις θεραπείες τους. Οι καρκινοπαθείς που δεν έχουν θετική πρόγνωση, να μη σπαταλά το κράτος χρήματά για τις θεραπείες τους. Όσοι έχουν την οικονομική δυνατότητα να πηγαίνουν σε ιδιωτικά. Όσοι δεν έχουν, δεν μπορούμε να κάνουμε τίποτα διαφορετικό. Πως το είχε πει ένας άλλος υπουργός της Νέας Δημοκρατίας; Όσοι δεν μπορούν να επιβιώσουν, πεθαίνουν. Αυτό. Αυτή είναι η σκληρή, η κυνική λογική τους. Δείτε τι έγινε τις τελευταίες μέρες. 3 συνεχόμενες μέρες με 3 απώλειες συνανθρώπων μας, επειδή ενώ έχουμε ασθενοφόρα ρωτήσαμε εμείς το 18, πήραμε 143 καινούργια ασθενοφόρα, αλλά δεν υπάρχει προσωπικό. Γιατί δεν υπάρχει προσωπικό; Γιατί εμείς, παρά το ότι ήμασταν μέσα στα μνημόνια, είχαμε κάνει 300 προσλήψεις διασωστών, 300 προσλήψεις διασωστών στο ΕΚΑΒ, ενώ ήμασταν στα μνημόνια. 4 χρόνια Μητσοτάκης, ούτε μια μόνιμη πρόσληψη 560 αποχωρήσεις διασωστών. Γι' αυτό πεθαίνει ο κόσμος, γιατί δεν έχει ένα ασθενοφόρο να έρθει να τον πάρει έγκαιρα και να τον μεταφέρει σε ένα νοσοκομείο.",criticism,health,other,-0.8,0.2,0.2,"[['new republic', 'political party', '0.5'], ['mr. spiritual', 'person', '0.6'], ['hospitals', 'organization', '0.5'], ['state', 'organization', '0.5'], ['partnerships', 'group of people', '0.4'], ['patients', 'group of people', '0.5'], ['cancer patients', 'group of people', '0.4'], ['private hospitals', 'organization', '0.5'], ['new republic minister', 'person', '0.6'], ['fellow human beings', 'group of people', '0.5'], ['ambulances', 'organization', '0.5'], ['staff', 'group of people', '0.5'], ['memoranda', 'organization', '0.4'], ['mitsotakis', 'person', '0.5'], ['rescuers', 'group of people', '0.5']]"
