id,text,text_el,is_criticism,topic-context,subtopic-context,sentiment,polarization-definition,populism-definition,ner-limited
1,"Friends, hello. Thank you very much for this warm welcome. It is crucial for us to be here today with representatives of working people, trade unionists of the working class, and wage laborers. These social strata are the reason why we are here, to represent their interests and fight for them. We are here to fight for the interests of society. I am delighted about our meeting today and want to declare from the outset our firm commitment to the problems, anxieties, and aspirations of the world of wage labor. The people who produce wealth with their labor are the social and political backbone of our party, SYRIZA - Progressive Alliance.","Φίλες και φίλοι γεια σας, σας ευχαριστώ θερμά γι' αυτή την υποδοχή. Είναι για εμάς πολύ κρίσιμο να βρισκόμαστε σήμερα εδώ, με εκπροσώπους των ανθρώπων της δουλειάς, των ανθρώπων του μόχθου, με συνδικαλιστές και συνδικαλίστριες της εργατικής τάξης, της μισθωτής εργασίας. Των κοινωνικών στρωμάτων, δηλαδή, που γνωρίζουμε πάρα πολύ καλά ότι είναι η αιτία για την οποία εμείς βρισκόμαστε εδώ. Γιατί βρισκόμαστε εδώ για να εκπροσωπούμε τα δικά τους συμφέροντα.  Βρισκόμαστε εδώ για ν’ αγωνιζόμαστε για τα δικά τους  συμφέροντα. Βρισκόμαστε εδώ για να αγωνιζόμαστε για τα συμφέροντα της κοινωνίας. Είμαι χαρούμενος για τη σημερινή μας συνάντηση και θέλω να σπεύσω, να πω εξαρχής ότι βρίσκομαι  και βρισκόμαστε εδώ για να δηλώσουμε με τον πιο εμφατικό τρόπο τη σταθερή μας προσήλωση στα προβλήματα, τις αγωνίες, τις αναζητήσεις του κόσμου της μισθωτής εργασίας. Οι άνθρωποι που παράγουν τον πλούτο με τον μόχθο τους είναι η κοινωνική και πολιτική ραχοκοκαλιά του κόμματός μας, η πολιτική και κοινωνική ραχοκοκαλιά του ΣΥΡΙΖΑ-Προοδευτική Συμμαχία.  ",political agenda,employment,working class,1.0,0.0,0.0,"[['friends', 'group of people', '0.6', 'representatives', 'group of people', '0.6', 'trade unionists', 'group of people', '0.6', 'working class', 'group of people', '0.6', 'wage laborers', 'group of people', '0.6', 'society', 'organization', '0.6', 'wage labor', 'organization', '0.6', 'syriza', 'political party', '0.6', 'progressive alliance', 'political party', '0.'], ['']]"
2,"I am here, and we are here, to renew our programmatic and constitutional commitment to the interests of the working classes of the country, but also to listen. We want to hear from you what we are doing well, but above all, what we need to do better. You have seen that in this election period, in a new phase, in a new context where the ballot box on June 25th will decide the next four years for our country. It will decide, if you like, not just parties, but our lives for the next four years. Who and with what program will govern in the next four years? It is also a ballot box with enhanced proportional representation, which is a different logic from the previous ballot box. So, in this effort, you will have realized, you will have seen, we are doing what we have always done as a party, but we are doing it with great speed. We are changing on the move, correcting our weaknesses and mistakes. That is why I would like us to have this opportunity to exchange ideas and thoughts. SYRIZA is a party that is social, popular, but also open to the messages of society.","Είμαι και είμαστε εδώ για να ανανεώσουμε την προγραμματική μας και καταστατική μας δέσμευση στα συμφέροντα των εργαζόμενων τάξεων της χώρας, αλλά και για να ακούσω. Να ακούσω και από σας ποια είναι αυτά που κάνουμε καλά, αλλά κυρίως τι πρέπει να κάνουμε καλύτερα. Έχετε δει ότι σε αυτή την προεκλογική περίοδο, σε μια νέα φάση, σ’ ένα νέο πλαίσιο όπου η κάλπη της 25ης του Ιούνη θα κρίνει τα τέσσερα επόμενα χρόνια για τον τόπο μας. Θα κρίνει, αν θέλετε, όχι μονάχα κόμματα. Θα κρίνει τη ζωή μας για τα επόμενα τέσσερα χρόνια, ποιοι και με ποιο πρόγραμμα θα κυβερνήσουν τα επόμενα χρόνια, είναι και μια κάλπη ενισχυμένης αναλογικής, διαφορετικής λογικής λοιπόν από την προηγούμενη κάλπη. Σ’ αυτή λοιπόν την προσπάθεια, θα έχετε συνειδητοποιήσει, διαπιστώσει, κάνουμε αυτό που κάναμε πάντα ως κόμμα, αλλά το κάνουμε με μεγάλη ταχύτητα. Αλλάζουμε εν κινήσει, διορθώνουμε τις αδυναμίες και τα λάθη μας. Γι' αυτό λοιπόν θα ήθελα να έχουμε αυτή τη δυνατότητα, να ανταλλάξουμε ιδέες και σκέψεις. Γιατί ο ΣΥΡΙΖΑ  είναι ένα κόμμα κοινωνικό, λαϊκό, αλλά και ανοιχτό στα μηνύματα της κοινωνίας. ",political agenda,elections,working class,0.0,0.0,0.2,"[['i', 'person', '1', 'working classes', 'group of people', '0.6', 'june 25th', 'date', '1', 'country', 'country', '1', 'parties', 'political party', '0.7', 'syriza', 'organization', ''], ['']]"
3,"The world of wage labor and the labor movement in our country are in the crosshairs of an ideological and political attack, my friends. This attack has been even more intense in our country. Trade unionism, the organization of workers, the strike, and the demand have been treated as opponents of progress and development in all the previous years, but especially in the last four years. We know the results: a labor market dominated by employer promiscuity, flexible working relations, insecurity, and individualization. This attack on workers' rights has been going on for decades, but especially in the last four years.","Ο κόσμος της μισθωτής εργασίας και το εργατικό κίνημα στη χώρα μας, φίλες και φίλοι, είναι στο στόχαστρο μίας ιδεολογικής και πολιτικής επίθεσης. Στη χώρα μας, αυτή η επίθεση είχε ακόμα πιο έντονα χαρακτηριστικά. Ο συνδικαλισμός, η οργάνωση των εργαζομένων, η απεργία και η διεκδίκηση αντιμετωπίστηκαν  όλα τα προηγούμενα χρόνια, ιδίως τα τέσσερα τελευταία, όμως, γιατί αυτή η επίθεση στα δικαιώματα των εργαζομένων έχει ξεκινήσει εδώ και δεκαετίες, αλλά ιδίως τα τέσσερα τελευταία χρόνια ο συνδικαλισμός, η οργάνωση των εργαζομένων, η απεργία, η διεκδίκηση, αντιμετωπίστηκαν ως αντίπαλοι της προόδου και της ανάπτυξης. Τα αποτελέσματα τα γνωρίζουμε: Μία αγορά εργασίας στην οποία επικρατεί η εργοδοτική ασυδοσία, οι ελαστικές σχέσεις εργασίας, η ανασφάλεια και η εξατομίκευση. ",criticism,employment,workers' rights,-0.8,0.0,0.0,"[['wage labor', 'group of people', '0.2'], ['labor movement', 'organization', '0.3'], ['country', 'location', '0.5'], ['trade unionism', 'organization', '0.4'], ['workers', 'group of people', '0.5'], ['strike', 'organization', '0.2'], ['labor market', 'organization', '0.2'], ['employer', 'organization', '0.1'], [""workers' rights"", 'organization', '0.3'], ['decades', 'date', '0.2'], ['last four years', 'date', '0.4']]"
4,"This attack, which we have seen taking shape in legislative frameworks over the past four years and being institutionalized, is bound to intensify even more after the June 25 elections. This is particularly true if the same correlation of power is recorded as that which was recorded in the ballot box for the simple proportional representation on May 21. That is why we must fight and do our utmost to reverse this correlation. We must fight until the last vote, until the last second before the polls close, to reverse this correlation.","Η επίθεση αυτή, την οποία την είδαμε να διαμορφώνεται και σε νομοθετικά πλαίσια την προηγούμενη τετραετία, να θεσμοποιείται, δηλαδή, είναι βέβαιο ότι θα ενταθεί ακόμη περισσότερο μετά τις εκλογές της 25ης του Ιούνη. Ιδίως, δε, εάν καταγραφεί ο ίδιος συσχετισμός δύναμης  που κατεγράφη στην κάλπη της απλής αναλογικής στις 21 του Μάη. Γι’ αυτό οφείλουμε να αγωνιστούμε και να κάνουμε το παν, για να ανατρέψουμε αυτό τον συσχετισμό. Και να αγωνιστούμε μέχρι την τελευταία ψήφο, μέχρι το τελευταίο δευτερόλεπτο πριν κλείσουν οι κάλπες, για να ανατρέψουμε αυτό τον συσχετισμό.  ",political agenda,elections,election spending,-0.5,0.0,0.1,"[['june 25', 'date', '1.0'], ['may 21', 'date', '1.0']]"
5,"SYRIZA-Progressive Alliance is not a firework. We have been in battle positions for a decade in defense of society. It has been in battle positions for a decade, not as a party of protest, nor as a party complementary to the right-wing government. It is as a party of power that claims governance for the benefit of the forces of society. This is what it will be in the aftermath of the election, this is what it is today, in the 15 days left. We are fighting and will fight for a victorious election result. And I want to remind you: we did not come to power as a party of power by luck or by chance, but because we expressed social needs with determination, with boldness, and we demanded that a government program of protection for the weak, for wage labor, for the underprivileged Greeks be implemented.","Ο ΣΥΡΙΖΑ-Προοδευτική Συμμαχία δεν είναι ένα πυροτέχνημα. Βρισκόμαστε εδώ και μια δεκαετία σε θέσεις μάχης για την υπεράσπιση της κοινωνίας. Βρίσκεται εδώ και μια δεκαετία σε θέσεις μάχης όχι ως κόμμα διαμαρτυρίας ούτε ως κόμμα- συμπλήρωμα της Δεξιάς διακυβέρνησης. Βρίσκεται ως κόμμα εξουσίας που διεκδικεί τη διακυβέρνηση προς όφελος των δυνάμεων της κοινωνίας. Αυτό θα είναι και την επόμενη των εκλογών, αυτό είναι και σήμερα, τις 15 μέρες που μας έμειναν. Αγωνιζόμαστε και θα αγωνιστούμε για ένα νικηφόρο εκλογικό αποτέλεσμα. Και θέλω να θυμίσω: δεν βρεθήκαμε ως κόμμα εξουσίας από τύχη ή από συγκυρία, αλλά γιατί εκφράσαμε με αποφασιστικότητα, με τόλμη, κοινωνικές ανάγκες, διεκδικήσαμε να εφαρμοστεί ένα κυβερνητικό πρόγραμμα προστασίας για τους αδύναμους, για τη μισθωτή εργασία, για τους μη προνομιούχους Έλληνες.  ",political agenda,elections,other,0.9,0.1,0.0,"[['syriza-progressive alliance', 'organization', '1.0'], ['greeks', 'group of people', '0.5'], ['right-wing government', 'organization', '0.5'], ['election', 'date', '1.0'], ['15 days', 'date', '1.0']]"
6,"And we have pursued it during difficult times. And I want to remind you that today is a significant anniversary, a negative anniversary, but it means something. That we got to where we are through struggle and that we will continue to do so. Ten years ago today, the coalition government of New Democracy and PASOK at the time, Samaras and Venizelos, closed ERT, putting it under blackmail. We supported the struggles of the workers, of POSPERT, and the struggles of the Greek people. As we did then with ERT, we did with every small and big struggle. And it was this that gave SYRIZA-Progressive Alliance its momentum and perspective.","Και το επιδιώξαμε σε δύσκολες στιγμές. Και θέλω να θυμίσω: σήμερα είναι μια σημαδιακή επέτειος, αρνητική επέτειος, αλλά σηματοδοτεί κάτι. Ότι βρεθήκαμε εδώ που βρεθήκαμε μέσα από αγώνες και αυτό θα συνεχίσουμε να κάνουμε. Σαν σήμερα πριν από 10 χρόνια, η συγκυβέρνηση Νέας Δημοκρατίας και ΠΑΣΟΚ τότε, Σαμαρά – Βενιζέλου, έκλεινε την ΕΡΤ, έβαζε μαύρο στην ΕΡΤ. Στηρίξαμε τους αγώνες των εργαζομένων, της ΠΟΣΠΕΡΤ, τους αγώνες και τις αγωνίες του ελληνικού λαού. Όπως κάναμε τότε στην ΕΡΤ, κάναμε και σε κάθε μικρό και μεγάλο αγώνα. Και αυτό ήταν που έδωσε τη δυναμική και την προοπτική στο ΣΥΡΙΖΑ-Προοδευτική Συμμαχία.  ",criticism,media,other,0.0,0.0,0.0,"[['new democracy', 'political party', '0.5'], ['pasok', 'political party', '0.5'], ['samaras', 'person', '0.5'], ['venizelos', 'person', '0.5'], ['ert', 'organization', '0.8'], ['pospert', 'group of people', '0.8'], ['greek', 'location', '0.5'], ['syriza-progressive alliance', 'organization', '0.5']]"
7,"SYRIZA-Progressive Alliance was not found as the main body or pillar of the progressive party in our country due to an electoral situation, but precisely because it expresses, continues to express, and will continue to express these social needs. That is why we say and repeat: we are and will be here as the main representatives of the social needs of the working classes and the interests of our people.","Δεν βρέθηκε ο ΣΥΡΙΖΑ-Προοδευτική Συμμαχία ως ο βασικός κορμός, ο πυλώνας της προοδευτικής Παράταξης στον τόπο μας από μια συγκυρία εκλογική, αλλά ακριβώς διότι εξέφρασε, συνεχίζει να εκφράζει και θα εκφράζει αυτές τις κοινωνικές ανάγκες. Γι' αυτό λέμε και ξαναλέμε: είμαστε και θα είμαστε εδώ ως βασικοί εκφραστές των κοινωνικών αναγκών των εργαζομένων τάξεων των συμφερόντων του λαού μας.  ",political agenda,elections,working class,0.55,0.1,0.3,"[['syriza-progressive alliance', 'organization', '0.9'], ['progressive party', 'group of people', '0.6'], ['working classes', 'group of people', '0.5'], ['people', 'group of people', '0.4'], ['country', 'location', '0.4']]"
8,"But I want to say one more thing in relation to the battle ahead of us. I said earlier that we will fight until the last vote to overturn this correlation, to win. Not because our party interests dictate this, but because the interests of society dictate this. In any case, however, and I want to emphasize this, we will fight until the polls close at the last second and vote by vote, because it is very crucial for the next day that there is a strong opponent who can look Mr Mitsotakis' New Democracy in the eye and fight to prevent the neoliberal onslaught on society and work.","Θέλω όμως να πω και κάτι ακόμα σε σχέση με τη μάχη που έχουμε μπροστά μας. Είπα πιο πριν ότι θα αγωνιστούμε μέχρι την τελευταία ψήφο να ανατρέψουμε αυτό τον συσχετισμό, να νικήσουμε. Όχι γιατί αυτό επιτάσσει το κομματικό μας συμφέρον, αλλά γιατί αυτό επιτάσσει το συμφέρον της κοινωνίας. Σε κάθε περίπτωση, όμως, και θέλω να το τονίσω αυτό, θα αγωνιστούμε μέχρι να κλείσουν οι κάλπες στο τελευταίο δευτερόλεπτο και ψήφο την ψήφο, γιατί είναι πολύ κρίσιμο, για την επόμενη μέρα, να υπάρχει ισχυρός αντίπαλος που θα μπορεί να κοιτάει στα μάτια τη Νέα Δημοκρατία του κ. Μητσοτάκη και να αγωνιστεί για να αποτρέψει τη νεοφιλελεύθερη επέλαση στην κοινωνία και στην εργασία.  ",political agenda,elections,other,-0.3,0.0,0.0,"[['battle', 'location', '0.4'], ['party', 'organization', '0.5'], ['society', 'organization', '0.4'], ['polls', 'date', '0.4'], ['new democracy', 'political party', '0.5']]"
9,"This is what Mr. Mitsotakis' Right wants - to not have a strong opponent the next day, so that they can plunder social and labor rights with greater ease. They want to impose a policy that does not take people into account, but only profits.","Διότι, αυτό θέλει η Δεξιά του κ. Μητσοτάκη, να μην έχει ισχυρό αντίπαλο την επόμενη μέρα, για να μπορεί να λεηλατήσει με μεγαλύτερη ευκολία τα κοινωνικά και εργασιακά δικαιώματα. Να επιβάλει μια πολιτική που δεν λογαριάζει τον άνθρωπο αλλά μονάχα τα κέρδη. ",criticism,employment,other,-0.8,0.3,0.0,"[['mr. mitsotakis', 'person', '0.8'], ['right', 'group of people', '0.7'], ['social and labor rights', 'group of people', '0.5'], ['policy', 'organization', '0.5']]"
10,"But there are moments when reality itself shows the limits of this policy. No one can forget, however much some say we forget easily in this country - it was a few months ago - the arrogant form in Parliament of Mr. Karamanlis of Tempe, who, in Parliament, with the familiar arrogant style of the new right, disregarded the warnings not only of the MPs of SYRIZA-Progressive Alliance, but also disregarded the warnings of the workers, the successive letters of apology sent to him by the railway workers and their unions about the state of deterioration of the Greek railways. Warnings that were, if you like, a foreshadowing of this tragic development, this tragic accident.","Υπάρχουν όμως στιγμές που η ίδια η πραγματικότητα δείχνει τα όρια αυτής της πολιτικής. Κανείς και καμία δεν μπορεί να ξεχάσει, όσο και αν κάποιοι λένε ότι ξεχνάμε εύκολα σ’ αυτό τον τόπο, -λίγους μήνες πριν ήταν-, κανείς και καμιά δεν μπορεί να ξεχάσει τη μορφή την αλαζονική μέσα στο Κοινοβούλιο του κ. Καραμανλή των Τεμπών, που μέσα λοιπόν στο Κοινοβούλιο,  με το γνώριμο αλαζονικό ύφος της νέας Δεξιάς, ας μου επιτραπεί η έκφραση,  απαξίωνε τις προειδοποιήσεις όχι μονάχα των βουλευτών του ΣΥΡΙΖΑ-Προοδευτική Συμμαχία, αλλά απαξίωνε τις προειδοποιήσεις των εργαζομένων, τα διαδοχικά εξώδικα που του είχαν στείλει, των εργαζομένων στους σιδηρόδρομους και των σωματείων τους για την κατάσταση υποβάθμισης των ελληνικών σιδηροδρόμων. Προειδοποιήσεις που αποτελούσαν, αν θέλετε, μια προαναγγελία αυτής της τραγικής εξέλιξης, αυτού του τραγικού δυστυχήματος.  ",criticism,infrastructure,other,-0.5,0.0,0.0,"[['mr. karamanlis', 'person', '0.8'], ['parliament', 'organization', '0.6'], ['syriza-progressive alliance', 'political party', '0.6'], ['workers', 'group of people', '0.6'], ['railway workers', 'group of people', '0.6'], ['unions', 'organization', '0.6'], ['greek', 'location', '0.6'], ['parliament', 'organization', '0.6']]"
