id,text,text_el,is_criticism,topic-context,subtopic-context,sentiment,polarization-definition,populism-definition,ner-limited
1,"I would like to warmly thank you for welcoming me here in Anogia today. It is always a great honor and pleasure for me to be in your village. It is no coincidence that I chose to come to Crete and that this is the first place where I will be speaking. These places here on Psiloritis give you strength, they are full of energy, and they have proud people. We, as you say, revived centrists, are here to fight the battle. Why? You know very well, and I know very well. As in life, so in politics, you are allowed to fall, but you must get up. To get up, to fight the fight.","Θέλω να σας ευχαριστήσω θερμά για την υποδοχή σας σήμερα εδώ στα Ανώγεια. Είναι για εμένα πάντοτε μεγάλη τιμή και χαρά να βρίσκομαι στο χωριό σας και δεν είναι τυχαίο ότι επέλεξα να ρθω στην Κρήτη και να είναι ο πρώτος τόπος που θα κάνω ομιλία. Δεν είναι τυχαίο διότι αυτά τα μέρη εδώ στον Ψηλορείτη σου δίνουνε δύναμη, είναι γεμάτα ενέργεια, έχουν περήφανους ανθρώπους και έτσι λοιπόν και εμείς, όπως το πες, αναδρανιστά κεντρέτα, είμαστε εδώ για να δώσουμε τη μάχη. Γιατί; Ξέρετε πολύ καλά εσείς και ξέρω και εγώ. Όπως στη ζωή έτσι και στην πολιτική. Επιτρέπεται να πέσεις, αλλά επιβάλλεται να σηκωθείς. Να σηκωθείς, να δώσεις τον αγώνα.",political agenda,elections,other,0.7,0.0,0.0,"[['anogia', 'location', '1.0'], ['crete', 'location', '1.0'], ['psiloritis', 'location', '1.0'], ['centrists', 'group of people', '1.0']]"
2,"And I want to tell you something that I believe is a commitment and a promise, but also something that I deeply believe, here in Anogia, this wonderful and proud place. The SYRIZA progressive alliance was and is a force that shocked many people 10 or 11 years ago when it made a great leap from 4% to 28% and then to 36%. Why did SYRIZA make that leap? Was it a coincidence? No, it wasn't a coincidence or something accidental. It expressed hopes and social needs. It was and is a mature child of the needs of society. It expressed what was once genuinely expressed by what we call the Democratic Party in this country, that is, the hopes of underprivileged Greeks, society, grassroots social strata, and people who do not seek comfort but live by their toil, their own creation, and want justice.","Και θέλω, εδώ στα Ανώγεια, σ'αυτόν τον υπέροχο τόπο, τον περήφανο τόπο, να σας πω κάτι που πιστεύω ότι είναι και μια δέσμευση, μια υπόσχεση, δηλαδή, αλλά για κάτι το οποίο το πιστεύω βαθιά. Ο ΣΥΡΙΖΑ προοδευτική συμμαχία ήτανε και είναι μια δύναμη που συγκλόνισε πολλούς και πολλές 10 χρόνια πριν, 11 χρόνια πριν, όταν έκανε εκείνο το μεγάλο άλμα και έφτασε από το 4 στο 28 και μετά στο 36%. Γιατί ο ΣΥΡΙΖΑ έκανε αυτό το άλμα τότε; Ηταν μια συγκυρία; Ήταν κάτι τυχαίο; Δεν ήταν μια συγκυρία και κάτι τυχαίο. Εξέφρασε ελπίδες αλλά και ανάγκες κοινωνικές. Ήτανε και είναι ώριμο τέκνο της ανάγκης της κοινωνίας. Εξέφρασε αυτό που εξέφραζε κάποτε γνήσια αυτό που ονομάζουμε δημοκρατική παράταξη σ' αυτόν τον τόπο, δηλαδή, τις ελπίδες των μη προνομιούχων Ελλήνων, της κοινωνίας, των λαικών κοινωνικών στρωμάτων, των ανθρώπων που δεν ζητάνε την βολέψη, αλλά ζούνε από το μόχθο, τη δική τους δημιουργία και θέλουνε δικαιοσύνη. ",political agenda,elections,other,0.8,0.2,0.0,"[['anogia', 'location', '1.0'], ['syriza', 'political party', '1.0'], ['greek democratic party', 'political party', '0.5'], ['greeks', 'group of people', '1.0'], ['society', 'group of people', '1.0'], ['grassroots social strata', 'group of people', '1.0'], ['10 or 11 years ago', 'date', '1.0']]"
3,"That is why SYRIZA was not a flare that shone one year and then fizzled out in the next election. It challenged and won the governance of the country under the most difficult circumstances and fought honestly not against the local establishment, but against the European establishment at the time. Let us not forget that. And he had the misfortune to govern, taking over a country that was bankrupt. By whom? From those who ruled the country for 40 years and left it bankrupt. They left in 2009, our political opponents, a 15% deficit and in 2015 empty funds so we couldn't pay pensions.","Γι' αυτό άλλωστε ο ΣΥΡΙΖΑ δεν ήταν μία φωτοβολίδα που έλαμψε μια χρονιά και στις επόμενες εκλογές ξεφούσκωσε. Διεκδίκησε και κέρδισε τη διακυβέρνηση της χώρας κάτω από τις πιο δύσκολες συνθήκες και πάλεψε με εντιμότητα απέναντι όχι στο ντόπιο κατεστημένο, αλλά στο ευρωπαϊκό κατεστημένο εκείνη την εποχή. Ας μην τα ξεχνάμε αυτά. Και είχε την ατυχία να κυβερνήσει, παραλαμβάνοντας μια χώρα χρεοκοπημένη. Από ποιους; Από αυτούς που κυβερνάγανε για 40 χρόνια τον τόπο και την άφησαν χρεοκοπημένη. Άφησαν το 2009, οι πολιτικοί μας αντίπαλοι, έλλειμμα 15% και το 2015 άδεια τα ταμεία να μην μπορούμε να πληρώσουμε τις συντάξεις.",criticism,debt,bankruptcy,0.4,0.0,0.2,"[['syriza', 'political party', '1.0'], ['european establishment', 'organization', '0.9'], ['2009', 'date', '1.0'], ['2015', 'date', '1.0']]"
4,"And when we took on this great difficulty, I remember our political opponents said, ""Hey Geroun, hey, hey, hey!"" They were with the foreigners in this battle that we were fighting. We fought this battle with honesty, dignity, and a view to honoring the popular mandate we received, the dignity of the hard-working people we represent, and the need and thirst of Greek society for justice. We have gone to extremes, yes, but we are proud. We are proud because when we saw the difficulties, we did not run away. We performed our patriotic duty by making the right and difficult decisions to keep society, the country, and the economy standing. We are proud that we managed to keep the country in Europe. At the same time, however, we must also keep society standing so that it does not get flattened.","Και όταν εμείς αναλάβαμε αυτή τη μεγάλη δυσκολία τότε, θυμάμαι, οι πολιτικοί μας αντίπαλοι έλεγαν: γερά Γερούν και βάστα Σόιμπλε. Ήταν με τους ξένους σε αυτή τη μάχη που δίναμε εμείς. Τη δώσαμε με εντιμότητα αυτή την μάχη, με αξιοπρέπεια και με γνώμονα να τιμήσουμε ως το τέλος τη λαϊκή εντολή που πήραμε, την αξιοπρέπεια των ανθρώπων του μόχθου που εκπροσωπούμε και την ανάγκη τη δίψα της ελληνικής κοινωνίας για δικαιοσύνη. Φτάσαμε στα άκρα, ναι, φτάσαμε στα άκρα, αλλά είμαστε περήφανοι. Είμαστε περήφανοι διότι όταν είδαμε τα δύσκολα, δεν το βάλαμε στα πόδια. Επιτελέσαμε το πατριωτικό μας καθήκον, δηλαδή πήραμε τις σωστές και δύσκολες, πολύ δύσκολες αποφάσεις για να μείνει η κοινωνία όρθια, η χώρα όρθια, η οικονομία όρθια. Είμαστε περήφανοι που καταφέραμε να κρατήσουμε τη χώρα στην Ευρώπη. Ταυτόχρονα όμως να κρατήσουμε και την κοινωνία όρθια, να μην ισοπεδωθεί.",political agenda,europe,austerity,0.6,0.6,0.0,"[['geroun', 'person', '0.8'], ['political opponents', 'group of people', '0.8'], ['foreigners', 'group of people', '0.6'], ['greek society', 'group of people', '0.8'], ['europe', 'location', '0.6']]"
5,"And the most difficult things came later. When we were forced to reach a challenging agreement, we managed to push it through, even when nobody believed we could. We took advantage of every opportunity that arose during this tough negotiation, where we fought for our cause, representing Greek society and the vast majority of its people. We achieved a lot, but we also made mistakes and wronged many. Despite having the Troika looming over us and the obligation to collect 40 billion in public funds that we found empty, we still managed to give as much space as possible to the weak and to society. The memoranda paved the way, and we are proud of it.","Και τα πολύ δύσκολα ήταν ακόμα πιο μετά. Όταν υποχρεωμένοι να ολοκληρώσουμε μια συμφωνία δύσκολη, καταφέραμε να τη βγάλουμε εις πέρας, όταν κανείς δεν πίστευε ότι θα την βγάζαμε εις πέρας. Και κάθε χαραμάδα που βρίσκαμε ανοιχτή σ' αυτή τη δύσκολη τότε διαπραγμάτευση, στην οποία δίναμε τη μάχη γνωρίζοντας ποιους εκπροσωπούμε, γνωρίζοντας για ποιους διαπραγματευόμαστε, για την ελληνική κοινωνία και τη μεγάλη πλειοψηφία του ελληνικού λαού, κάθε χαραμάδα που βρίσκαμε την αξιοποιούσαμε προς όφελος της ελληνικής κοινωνίας. Και καταφέραμε πολλά. Κάναμε και λάθη. Είχαμε αστοχίες, αδικήσαμε πολλούς. Αλλά καταφέραμε πολλά. Εμείς, παρά το γεγονός ότι είχαμε την τρόικα πάνω από το κεφάλι μας και παρά το γεγονός ότι είχαμε την υποχρέωση να μαζέψουμε 40 δις στα δημόσια ταμεία που τα είχαμε βρει άδεια, γιατί αλλιώς η χώρα δεν θα έβγαζε το κεφάλι έξω από το νερό, θα ήταν ακόμα και σήμερα σε μνημόνια, παρά το γεγονός ότι είχαμε αυτή την υποχρέωση, όσο χώρο βρίσκαμε το δίναμε για τους αδύναμους και για την κοινωνία. Με τα μνημόνια, εμείς, ανοίξαμε το δρόμο και είμαστε περήφανοι για αυτό. ",political agenda,debt,austerity,0.5,0.0,0.0,"[['greek society', 'group of people', '1.0'], ['greek', 'country', '0.8'], ['troika', 'organization', '1.0'], ['40 billion', 'date', '1.0']]"
6,"Xanthos and Polakis, who were health ministers at the time, are here today. We brought in two and a half million uninsured with the memoranda. Two and a half million uninsured people are back on health cover because, at the time, we seemed to have forgotten them quickly and they were out of health cover. They were paying EUR 5 in outpatient clinics and hospitals, but we managed to get them back on their feet in the public hospitals to have positive balance sheets.","Και είναι σήμερα εδώ και ο Ξανθός και ο Πολάκης που ήταν τότε υπουργοί της υγείας. Φέραμε δυόμισι εκατομμύρια ανασφάλιστους, με τα μνημόνια. Δυόμισι εκατομμύρια ανασφάλιστους ξανά σε ιατροφαρμακευτική κάλυψη, διότι οι ανασφάλιστοι, τότε τα ξεχάσαμε φαίνεται γρήγορα, ήταν εκτός ιατροφαρμακευτικής κάλυψης. Πλήρωναν 5 ευρώ στα εξωτερικά ιατρεία, στα νοσοκομεία και καταφέραμε να τα ξαναστήσουμε στα πόδια τους, τα δημόσια νοσοκομεία. Να έχουν θετικούς ισολογισμούς. ",political agenda,health,public health system,0.8,0.1,0.0,"[['xanthos', 'person', '0.9'], ['polakis', 'person', '0.9'], ['eur', 'organization', '0.5']]"
7,"At the same time, we tried our best to create the conditions for growth to return to the country. Growth did come to the country, and we regulated the public debt. We collected this money in the public coffers and did not put it in our pockets. We left it for the next generation. We are the only government in the country that left the coffers full for the next generation, and they cannot say that they received chaos. As soon as we got out of the memoranda, we brought back collective bargaining, raised the minimum wage, abolished the racist sub-minimum wage, and strengthened the labor inspectorate so that workers would have a bulwark against employer arbitrariness.","Ταυτόχρονα, προσπαθήσαμε όσο μπορούσαμε. Να δημιουργήσουμε τις προϋποθέσεις εκείνες για να ξανάρθει η ανάπτυξη στον τόπο και ήρθε η  ανάπτυξη στον τόπο και ρυθμίσαμε το δημόσιο χρέος και μαζέψαμε αυτά τα χρήματα στα δημόσια ταμεία, δεν τα βάλαμε στις τσέπες μας, τα αφήσαμε τους επόμενους. Η μόνη κυβέρνηση στον τόπο που άφησε γεμάτα τα ταμεία στους επόμενους και δνε είχαν τη δυνατότητα να πουν ότι παρέλαβαν χάος. Και μόλις βγήκαμε από τα μνημόνια, επαναφέραμε τις συλλογικές διαπραγματεύσεις, αυξήσαμε τον κατώτατο μισθό, καταργήσαμε τον ρατσιστικό, υποκατώτατο μισθό, ενισχύσαμε το σώμα επιθεώρησης εργασίας για να έχουν οι εργαζόμενοι αποκούμπι απέναντι στην εργοδοτική αυθαιρεσία. ",political agenda,employment,other,0.8,0.0,0.0,"[['1. government', 'organization', '1.0'], ['2. country', 'location', '1.0'], ['3. next generation', 'group of people', '1.0'], ['4. memoranda', 'date', '1.0'], ['5. collective bargaining', 'group of people', '0.9'], ['6. minimum wage', 'group of people', '0.9'], ['7. labor inspectorate', 'organization', '0.9'], ['8. workers', 'group of people', '0.7'], ['9. employer', 'organization', '0.7'], ['10. racist sub-minimum wage', 'group of people', '0.7']]"
8,We have supported those who are working on the thirteenth pension.,Στηρίξαμε τους απόμαχους της δουλειάς με τη δέκατη τρίτη σύνταξη.,political agenda,pensioners,pensions,1.0,0.0,0.0,"[['thirteenth pension', 'organization', '0.7']]"
9,"We have reduced VAT on catering and energy. During these difficult four years of our government, the Public Electricity Company and all other energy companies have not increased the electricity bill by even €1.","Mειώσαμε τον ΦΠΑ στην εστίαση, στην ενέργεια. Και αυτά τα δύσκολα 4 χρόνια που κυβερνήσαμε, η Δημόσια Επιχείρηση Ηλεκτρισμού και όλες οι άλλες εταιρείες ενέργειας δεν αύξησαν ούτε 1€ το λογαριασμό στο ρεύμα, ούτε 1€. ",political agenda,energy,electricity,0.8,0.0,0.0,"[['public electricity company', 'organization', '1.0'], ['energy companies', 'group of people', '1.0'], ['€1', 'date', '1.0']]"
10,"And of course, I admit that the salaries and pensions were not the best possible. However, in '19, wages and pensions provided 40% more purchasing power. You could buy 40% more goods at the supermarket with the same salary than you can today. According to ELSTAT figures, the purchasing power of Greeks with an income of up to €700 has fallen by 40%. Despite the terrible budgetary difficulties, inequalities have been reduced. What happened next? The election controversy of '19 occurred, we lost the election, and they promised to raise wages, create more jobs, and move the country forward.","Και βεβαίως οι μισθοί και οι συντάξεις δεν ήτανε, ομολογώ, οι καλύτερες... οι καλύτεροι δυνατοί που θα μπορούσαν να είναι, αλλά με τους μισθούς και τις συντάξεις το 19 ο κόσμος είχε 40% μεγαλύτερη αγοραστική δύναμη. Πήγαινε στο σούπερ μάρκετ και έπαιρνε 40% περισσότερα πράγματα από αυτά που παίρνει σήμερα με τον ίδιο μισθό. Διότι σύμφωνα με τα στοιχεία της ΕΛΣΤΑΤ, η αγοραστική δύναμη των Ελλήνων που έχουν εισόδημα έως 700 €, έχει μειωθεί κατά 40%. Μειώθηκαν οι ανισότητες, παρά το γεγονός ότι βρεθήκαμε σε αυτές τις τρομακτικές δημοσιονομικές δυσκολίες. Και τι έγινε μετά; Μετά ήρθε η εκλογική αντιπαράθεση του '19, χάσαμε τις εκλογές και υποσχέθηκαν ότι θα αυξήσουν τους μισθούς, υποσχέθηκαν ότι θα φέρουν περισσότερες δουλειές, υποσχέθηκαν ότι θα έχει ευημερία η χώρα και θα προχωρήσει μπροστά. ",political agenda,economy,pensions,,0.0,0.0,"[['elstat', 'organization', '1'], ['greeks', 'group of people', '1'], [""'19"", 'date', '1']]"
