id,text,text_el,is_criticism,topic-context,subtopic-context,sentiment,polarization-definition,populism-definition,ner-limited
1,"Thank you all very much for your presence and applause. It is a great pleasure to be here again in Crete, specifically in Heraklion, to highlight our programmatic positions.","Σας ευχαριστώ όλες και όλους θερμά για την παρουσία σας, για το χειροκρότημά σας. Είναι μεγάλη η χαρά μου να βρίσκομαι ξανά εδώ, στην Κρήτη, στο Ηράκλειο, τούτη τη φορά για να αναδείξουμε τις προγραμματικές μας θέσεις. ",political agenda,elections,other,0.8,0.0,0.0,"[['crete', 'location', '0.95'], ['heraklion', 'location', '0.95']]"
2,"In this difficult, but most crucial battle that we are waging in view of the June 25th elections, we have decided to ignore fake news, mudslinging, and vulgarity, and instead present our positions and program to the Greek people.","Διότι στη μάχη αυτή τη δύσκολη, αλλά πιο κρίσιμη απ' όλες, που δίνουμε ενόψει των εκλογών της 25ης του Ιούνη, έχουμε αποφασίσει να αγνοήσουμε τα fake news, τη λάσπη, τη χυδαιότητα και να προβάλλουμε στον ελληνικό λαό τις θέσεις μας, το πρόγραμμά μας. ",political agenda,other,campaigning,0.8,0.0,0.0,"[['june 25th', 'date', '1.0'], ['greek people', 'group of people', '1.0']]"
3,"To talk about the big problems facing us today, but above all about the solutions. The solutions that we propose in the medium and long term, so that we can support small and medium-sized enterprises, people in work, highlight the competitive advantages of local economies, move towards a new productive model that will exploit the potential of each individual place, and have a perspective and horizon for our vision: a just society and prosperity for all.","Να μιλήσουμε για τα μεγάλα προβλήματα τα οποία αντιμετωπίζει σήμερα, αλλά κυρίως για τις λύσεις. Τις λύσεις που προτείνουμε μεσοπρόθεσμα και μακροπρόθεσμα για να μπορέσουμε να στηρίξουμε τη μικρομεσαία επιχειρηματικότητα, τους ανθρώπους της εργασίας, να αναδείξουμε τα ανταγωνιστικά πλεονεκτήματα των τοπικών οικονομιών, να προχωρήσουμε στην παραγωγική ανασυγκρότηση προς ένα νέο μοντέλο παραγωγικό, που θα αξιοποιεί αυτές τις δυνατότητες κάθε τόπου ξεχωριστά και θα έχει μια προοπτική, έναν ορίζοντα, το όραμά μας: μια δίκαιη κοινωνία και ευημερία για όλες και για όλους.",political agenda,entrepreneurship,economic equity,0.7,0.0,0.0,"[['small and medium-sized enterprises', 'organization', '0.74'], ['local economies', 'group of people', '0.57'], ['individual place', 'location', '0.64']]"
4,"Today, we have decided to move forward with a cycle of programmatic interventions focusing on an issue critical for every region of our country, which benefits significantly from the tourism sector of the economy. This decision comes after two similar events, one for our entire program and one two days ago for our positions on public health. Public health has been in the crosshairs for four years now, and the National Health System is collapsing. We made this decision here in Crete, in Heraklion. We will discuss the ability of small and medium-sized entrepreneurship to endure and play a crucial role in a new tourism model, which our country needs.","Σήμερα λοιπόν αποφασίσαμε -μετά από δυο παρόμοιες εκδηλώσεις που κάναμε μια για το σύνολο του προγράμματός μας και μια προχθές για τις θέσεις μας για τη δημόσια Υγεία, που βρίσκεται στο στόχαστρο εδώ και μια τετραετία και το Εθνικό Σύστημα Υγείας είναι υπό κατάρρευση-, σήμερα αποφασίσαμε εδώ στην Κρήτη, στο Ηράκλειο, να προχωρήσουμε αυτό τον κύκλο των προγραμματικών παρεμβάσεων εστιάζοντας σε ένα θέμα κρίσιμο για κάθε περιοχή του τόπου μας, η οποία έχει σημαντικά οφέλη από τον τουριστικό κλάδο της οικονομίας. Αλλά να μιλήσουμε ταυτόχρονα για τη δυνατότητα της μικρομεσαίας επιχειρηματικότητας να μπορέσει να αντέξει και να παίξει κρίσιμο ρόλο σε ένα νέο τουριστικό μοντέλο, το οποίο έχει ανάγκη ο τόπος μας.",political agenda,tourism,other,0.0,0.0,0.0,"[['today', '', 'date', '0.95'], ['national health system', 'organization', '0.7'], ['crete', 'location', '0.8'], ['heraklion', 'location', '0.75']]"
5,"Friends, despite the importance of the tourism sector for the national economy, we must admit that unfortunately, today it is not the subject of coherent political planning. This works to the detriment of the necessary national strategy for a sector that we are otherwise accustomed to describing as a 'national champion' and as the 'economic engine' for the country.","Φίλες και φίλοι, παρά τη βαρύνουσα σημασία για την εθνική οικονομία του τομέα του τουρισμού, οφείλουμε να ομολογήσουμε ότι δυστυχώς σήμερα δεν αποτελεί αντικείμενο ενός συγκροτημένου πολιτικού σχεδιασμού. Αυτό λειτουργεί εις βάρος της αναγκαίας εθνικής στρατηγικής για έναν τομέα που, κατά τα άλλα, έχουμε συνηθίσει να χαρακτηρίζουμε ως «εθνικό πρωταθλητή» και ως «ατμομηχανή της οικονομίας» για τη χώρα. ",political agenda,tourism,other,-0.25,0.0,0.0,[]
6,"In a period of crises, profound changes, and unprecedented fiscal possibilities, the New Democracy government of the last four years chose to leave Greek tourism on autopilot. Instead of taking advantage of the mandatory respite from the pandemic to initiate the necessary structural changes, in the end, all it cared about in the tourism sector was to compete with the tourism performance of 2019, i.e., the success of our own government. But without ultimately succeeding in this either, it ultimately nullified the effort that we made, that we prepared to transition to a new model of tourism development. The result of this choice is that Greek tourism today has substantial structural deficiencies in terms of infrastructure, the diversification of the tourism product, the quality of the services offered, and the institutional framework, which make tourism an increasingly weak player in an increasingly competitive and complex international market, but also a victim of international geopolitical developments.","Σε μια περίοδο κρίσεων, βαθιών αλλαγών αλλά και πρωτοφανών δημοσιονομικών δυνατοτήτων, η κυβέρνηση της Νέας Δημοκρατίας την προηγούμενη τετραετία επέλεξε να αφήσει τον ελληνικό τουρισμό στον αυτόματο πιλότο. Αντί να επωφεληθεί από την υποχρεωτική ανάπαυλα της πανδημίας για να ξεκινήσει τις αναγκαίες διαρθρωτικές αλλαγές, τελικά το μόνο που την ενδιέφερε στον τομέα του τουρισμού ήταν να αναμετρηθεί με τις τουριστικές επιδόσεις του 2019, δηλαδή με την επιτυχία της δικής μας κυβέρνησης. Χωρίς όμως τελικά ούτε αυτό να το καταφέρει, αλλά εντέλει ακυρώνοντας την προσπάθεια που κάναμε, που προετοιμάσαμε για να μεταβούμε σε ένα νέο μοντέλο τουριστικής ανάπτυξης. Αποτέλεσμα αυτής της επιλογής είναι ο ελληνικός τουρισμός σήμερα να παρουσιάζει ουσιαστικές δομικές ελλείψεις, ως προς τις υποδομές, τη διαφοροποίηση του τουριστικού προϊόντος, την ποιότητα των προσφερόμενων υπηρεσιών, το θεσμικό πλαίσιο, που καθιστούν τον τουρισμό ολοένα και πιο αδύναμο παίκτη σε μία όλο και πιο ανταγωνιστική και σύνθετη διεθνή αγορά, αλλά και έρμαιο των διεθνών γεωπολιτικών εξελίξεων.",criticism,other,other,-0.7,0.0,0.0,"[['new democracy', 'organization', '0.8'], ['greek tourism', 'group of people', '0.9'], ['pandemic', 'date', '0.7'], ['2019', 'date', '0.6'], ['greek tourism today', 'location', '0.75']]"
7,"To date, the dominant element of the tourism product in Greece is what I would call a ""triple concentration"": thematic concentration around the dominant product, the sun, and the sea; geographical concentration along the coastal zone; and temporal concentration in the summer months of the year. However, in an international tourism market characterized by intense competition, with increasingly informed and demanding travelers, with modern technologies playing a decisive role, it is now necessary, we believe, to devise another national tourism strategy. Decisions and strategies for development models, both overall and in the tourism sector in particular, cannot be developed in the absence of the people of the tourism sector: the small and medium-sized entrepreneurs and workers who, through their daily efforts, keep the country and their sector standing.","Έως σήμερα, κυρίαρχο στοιχείο του τουριστικού προϊόντος στην Ελλάδα αποτελεί αυτό που θα ονόμαζα «τριπλή συγκέντρωση»: Θεματική συγκέντρωση γύρω από το κυρίαρχο προϊόν, τον ήλιο και τη θάλασσα. Γεωγραφική συγκέντρωση κατά μήκος της παράκτιας ζώνης και Χρονική συγκέντρωση στους θερινούς μήνες του χρόνου. Σε μια διεθνή τουριστική αγορά όμως που χαρακτηρίζεται από έντονο ανταγωνισμό, με ταξιδιώτες ολοένα πιο ενημερωμένους και απαιτητικούς, με τις σύγχρονες τεχνολογίες να παίζουν καθοριστικό ρόλο, είναι πια αναγκαίο, πιστεύουμε εμείς, να χαράξουμε μιαν άλλη εθνική στρατηγική για τον τουρισμό. Οι αποφάσεις και οι στρατηγικές για τα αναπτυξιακά μοντέλα, τόσο συνολικά όσο και ειδικότερα στον τουριστικό κλάδο, δεν μπορεί να εκπονούνται ερήμην των ανθρώπων του τουριστικού κλάδου: των μικρομεσαίων επιχειρηματιών και των εργαζόμενων που με την καθημερινή τους προσπάθεια κρατάνε τη χώρα και τον κλάδο τους, όρθιους. ",political agenda,tourism,other,0.0,0.0,0.0,"[['greece', 'location', '1.0'], ['summer months', 'date', '1.0'], ['international tourism market', 'organization', '0.8'], ['small and medium-sized entrepreneurs and workers', 'group of people', '0.8'], ['tourism sector', 'organization', '0.6'], ['coastal zone', 'location', '0.6'], ['modern technologies', 'organization', '0.5']]"
8,We see tourism as a vehicle through which we can promote the overall transformation of the Greek economy towards green and sustainable development. All the commitments and policies we propose are geared towards our vision of a just society and economy with respect for the environment and the long-term prospects of the country. It is in this context that we are developing a new national strategy for Greek tourism. Let me briefly outline the five key features of this new national strategy:,"Εμείς βλέπουμε τον τουρισμό ως ένα όχημα μέσα από το οποίο μπορούμε να προωθήσουμε τον συνολικό μετασχηματισμό της ελληνικής οικονομίας στην κατεύθυνση της πράσινης και της βιώσιμης ανάπτυξης. Όλες οι δεσμεύσεις και οι πολιτικές που προτείνουμε, είναι προσανατολισμένες στο όραμά μας για μια δίκαιη κοινωνία και οικονομία με σεβασμό στο περιβάλλον και στις μακροπρόθεσμες προοπτικές της χώρας. Σε αυτό το πλαίσιο εντάσσουμε τη χάραξη μίας νέας εθνικής στρατηγικής για τον ελληνικό τουρισμό. Και επιτρέψτε μου επιγραμματικά να σας πω τα πέντε βασικά χαρακτηριστικά αυτής της νέας εθνικής στρατηγικής:",political agenda,tourism,other,0.6,0.0,0.0,"[['greek economy', 'location', '0.5'], ['greek', 'country', '0.8'], ['sustainable development', 'organization', '0.6'], ['commitments', 'organization', '0.4'], ['policies', 'organization', '0.4'], ['just society', 'political party', '0.3'], ['economy', 'organization', '0.3'], ['environment', 'organization', '0.4'], ['country', 'location', '0.4'], ['national strategy', 'organization', '0.7'], ['greek tourism', 'organization', '0.6'], ['five', 'date', '0.2']]"
9,"Firstly, diversify the tourism product by setting central objectives at the national level and specific, differentiated objectives at the regional and local levels.","Πρώτον, η διαφοροποίηση του τουριστικού προϊόντος με τον καθορισμό κεντρικών στόχων σε εθνικό επίπεδο και εξειδικευμένων, διαφοροποιημένων στόχων σε περιφερειακό και τοπικό επίπεδο.",political agenda,tourism,other,0.0,0.0,0.0,[]
10,"Secondly, the adoption of an integrated approach to tourism development, taking into account its interconnection with other critical sectors of the national and local economy, and in particular with the primary sector of production.","Δεύτερον, η υιοθέτηση μιας ολοκληρωμένης προσέγγισης της τουριστικής ανάπτυξης, που να λαμβάνει υπόψη τη διασύνδεσή του με άλλους κρίσιμους κλάδους της εθνικής και τοπικής οικονομίας και ιδιαίτερα με τον πρωτογενή τομέα της παραγωγής.",political agenda,tourism,other,0.25,0.0,0.0,[]
