id,text,text_el,is_criticism,topic-context,subtopic-context,sentiment,polarization-definition,populism-definition,ner-limited
1,"I want to thank you first of all for your presence and your warm welcome, which gives us all strength. It is a pleasure to be here again in Ierapetra, in Crete, and I want to address the great problems facing your society and the country. Your fellow citizens are facing these problems. We are a few days away from a crucial election, and this contest is taking place on different terms. First of all, because this time we have a contest that is certain to produce a government for the next four years. Whoever comes out first will govern for the next four years. It is not a showdown with the electoral system of simple proportional representation. It is a showdown with the system we have known for many, many years: the system of enhanced proportional representation. We had a vision to change the political system, to make it less toxic, and to make it fair and equal for every citizen to vote. That is why we introduced simple proportional representation.","Θέλω να σας ευχαριστήσω κατ' αρχάς για την παρουσία σας και για την υποδοχή σας, τη ζεστή σας υποδοχή που μας δίνει όλους δύναμη. Είναι χαρά μου να βρίσκομαι και πάλι εδώ στην Ιεράπετρα, να βρίσκομαι στην Κρήτη και θέλω να απευθυνθώ σε εσάς για τα μεγάλα προβλήματα που αντιμετωπίζει η κοινωνία σας που αντιμετωπίζουν οι συμπολίτες σας, αλλά και τα μεγάλα προβλήματα που αντιμετωπίζει ο τόπος. Είμαστε λίγες μέρες πριν από μια κρίσιμη εκλογική αναμέτρηση και αυτή η αναμέτρηση γίνεται με διαφορετικούς όρους. Πρώτα από όλα, διότι τούτη τη φορά, μπροστά μας έχουμε την αναμέτρηση, η οποία είναι βέβαιο ότι θα βγάλει κυβέρνηση για τα επόμενα 4 χρόνια. Όποιος βγει πρώτος είναι αυτός που θα κυβερνήσει τα επόμενα 4 χρόνια. Δεν είναι μια αναμέτρηση με το εκλογικό σύστημα της απλής αναλογικής. Είναι μια αναμέτρηση ξανά με το σύστημα που γνωρίζαμε εδώ και πάρα πολλά χρόνια. Το σύστημα της ενισχυμένης αναλογικής. Είχαμε ένα όραμα να αλλάξουμε το πολιτικό σύστημα, το δοκούν, να το κάνουμε λιγότερο τοξικό. Για αυτό, για να είναι δίκαιη και να είναι ισότιμη η ψήφος του κάθε πολίτη και γι αυτό θεσπίσαμε την απλή αναλογική. ",political agenda,elections,other,0.05,0.0,0.0,"[['ierapetra', 'location', '0.8'], ['crete', 'location', '0.8'], ['government', 'organization', '0.7'], ['four years', 'date', '0.6'], ['electoral system', 'organization', '0.6'], ['proportional representation', 'organization', '0.6'], ['enhanced proportional representation', 'organization', '0.6'], ['vision', 'organization', '0.6'], ['political system', 'organization', '0.6'], ['citizen', 'group of people', '0.6'], ['contest', 'organization', '0.5'], ['election', 'organization', '0.5']]"
2,"During the last election period, we initiated a debate on programmatic convergences and the necessary programmatic debate to ensure progressive governance in the future. However, other progressive forces chose to focus solely on expanding their own field rather than governing the country. They launched a one-sided attack on SYRIZA instead of examining who governed the country for the past four years and criticizing Mr. Mitsotakis and the New Democracy party. Today, the situation is completely different, and all citizens understand that they oppose the governance programs and power plans of Mr. Mitsotakis and Syriza.","Όμως, καθ' όλη τη διάρκεια της προηγούμενης εκλογικής περιόδου, εμείς ανοίγαμε τη συζήτηση για τις προγραμματικές συγκλίσεις, για την αναγκαία προγραμματική συζήτηση, προκειμένου να υπάρξει προοδευτική διακυβέρνηση την επόμενη μέρα και οι άλλες προοδευτικές δυνάμεις επέλεξαν να ασχοληθούν μονάχα με το πως θα μεγαλώσουν το δικό τους το χωράφι και όχι πώς θα κυβερνηθεί η χώρα και έκαναν μονομέτωπο στο ΣΥΡΙΖΑ, αντί να κοιτάν ποιος κυβέρνησε τα 4 τελευταία χρόνια, αντί να χτυπάνε τον κύριο Μητσοτάκη και τη νέα δημοκρατία. Σήμερα όμως έχουμε μια τελείως διαφορετική συνθήκη. Και όλοι οι πολίτες καταλαβαίνουν ότι αυτά που αντιπαρατίθενται ως προγράμματα διακυβέρνησης, ως σχέδια εξουσίας για την επόμενη μέρα είναι το πρόγραμμα του κυρίου Μητσοτάκη και το πρόγραμμα του ΣΥΡΙΖΑ. ",criticism,elections,election spending,0.3,0.2,0.0,"[['syriza', 'organization', '1.0'], ['new democracy', 'political party', '1.0'], ['mitsotakis', 'person', '1.0'], ['greece', 'country', '1.0']]"
3,"And I want to stress this: SYRIZA Progressive Alliance was, is, and will remain a party of power, not a party of protest or a complement to the governance of the right. The fragmentation of the progressive vote led to a negative result on May 21st, but I will borrow a phrase that Mr. Mitsotakis likes, and here is something we agree on: on June 25th, the ballot box will be empty, and the criterion of the vote will be which program and who will govern us for the next four years. New Democracy or SYRIZA, a progressive alliance? So we are going into this election with one goal, a party in power cannot have another goal. With the aim of bringing a winning result, with the aim of overturning the unfavorable correlations recorded in the ballot box of the simple proportional representation. And in any case, we believe that this is as useful for society as it is crucial for democracy. It is a question of the stability of the political system and the health of democracy itself.","Και θέλω αυτό να το τονίσω. Ο ΣΥΡΙΖΑ Προοδευτική Συμμαχία ήταν, είναι και θα παραμείνει κόμμα εξουσίας, ούτε κόμμα διαμαρτυρίας, ούτε κόμμα συμπλήρωμα στη διακυβέρνηση της Δεξιάς. Ο κατακερματισμός της προοδευτικής ψήφου οδήγησε σε ένα αρνητικό αποτέλεσμα στις 21 Μάη, όμως θα δανειστώ μια φράση που αρέσει στον κύριο Μητσοτάκη, να και κάτι που συμφωνούμε, στις 25 του Ιούνη η κάλπη θα είναι άδεια και το κριτήριο της ψήφου θα είναι με ποιο πρόγραμμα και ποιός θα μας κυβερνήσει τα επόμενα 4 χρόνια. Η Νέα Δημοκρατία ή ο ΣΥΡΙΖΑ προοδευτική συμμαχία; Εμείς λοιπόν σ'αυτές τις εκλογές πηγαίνουμε με ένα στόχο, ένα κόμμα εξουσίας δεν μπορεί να έχει άλλο στόχο. Με στόχο να φέρουμε ένα νικηφόρο αποτέλεσμα, με στόχο να ανατρέψουμε τους δυσμενείς συσχετισμούς που καταγράφηκαν στην κάλπη της απλής αναλογικής. Και σε κάθε περίπτωση πιστεύουμε ότι αυτό είναι τόσο χρήσιμο για την κοινωνία, όσο όμως είναι κρίσιμο και για τη δημοκρατία. Είναι ζήτημα σταθερότητας του πολιτικού συστήματος και υγείας της ίδιας της δημοκρατίας. ",political agenda,democracy,election spending,0.0,0.2,0.0,"[['syriza progressive alliance', 'organization', '1.0'], ['may 21st', 'date', '1.0'], ['june 25th', 'date', '1.0'], ['new democracy', 'political party', '1.0'], ['syriza', 'political party', '1.0']]"
4,"And I say this because in the last few days, we have seen a right-wing that cannot hide its arrogance and desire for power. They not only want to win the elections and be self-reliant, but they want to be an all-powerful regime. They intimidate and blackmail any social group that disagrees with them, and this is a message that concerns everyone, regardless of whether they vote for Syriza or even for New Democracy. What do we want for the future? Do we want an arrogant, uncontrollable government that functions as a regime of party and family power, or do we want a vibrant and healthy democracy? Do we want a force that can stand up to the government and defend society? This is a crucial question.","Και το λέω αυτό διότι τις τελευταίες μέρες βλέπουμε μια Δεξιά, η οποία δεν μπορεί να κρύψει την έπαρση και την αλαζονεία της. Δεν μπορεί να κρύψει ότι θέλει, όχι απλά να νικήσει τις εκλογές, όχι απλά να είναι αυτοδύναμη, αλλά να είναι παντοδύναμη και όχι παντοδύναμη κυβέρνηση, αλλά παντοδύναμο καθεστώς. Θέλουν να είναι παντοδύναμο καθεστώς για αυτό εκφοβίζουν, εκβιάζουν κάθε κοινωνική ομάδα που μπορεί να έχει διαφορετική θέση και άποψη από αυτούς κι αυτό είναι ένα μήνυμα το οποίο αφορά όλους. Είτε ψηφίσουν το ΣΥΡΙΖΑ, είτε ακόμα και τη νέα δημοκρατία. Τι θέλουμε την επόμενη μέρα; Θέλουμε την επόμενη μέρα μια αλαζονική, παντοδύναμη, ανεξέλεγκτη διακυβέρνηση που θα λειτουργεί ως καθεστώς, ένα καθεστώς κομματικής και οικογενειακής εξουσίας ή θέλουμε μια ζωντανή και υγιή δημοκρατία; Θέλουμε να υπάρχει δύναμη η οποία θα μπορεί να κοιτάει στα μάτια, όποια κι αν είναι η κυβέρνηση την επόμενη ημέρα και να υπερασπίζεται την κοινωνία ή όχι; Αυτό είναι ένα κρίσιμο ερώτημα.",criticism,democracy,other,-0.7,0.7,0.5,"[['syriza', 'organization', '0.7'], ['new democracy', 'organization', '0.7.']]"
5,"But since the programs are being contrasted, allow me to say a few words about the alternative programs of governance that are being put to the Greek people's judgment in view of the June 25th showdown. And I want to start with one that I think is fundamental, crucial. One that we have not given the attention it deserves in the debate leading up to the simple proportional representation elections. It's the healthcare issue, and let me start with that because I'm here in Hierapetra, in a place that I know all too well that local communities have fought to defend the city's public hospital, and I want to speak in the language of truth because we need to speak the language of truth. On the one hand, there is a plan, the SYRIZA plan, which wants to prioritize public health. We want a new strong national health system because our vision is that all citizens, regardless of their financial capacity, should have access to a health system that offers decent care and medical and pharmaceutical care to all Greeks. And to do this, we have planned to redistribute the resources of the Recovery Fund. The current government is only giving 2% for health. We have planned to boost the salaries of primary care doctors. We have plans to make permanent doctors and nurses who have been on the front line of the pandemic. We have plans to include nurses in the heavy and unhealthy category, to make 15,000 much-needed new hires for public hospitals.","Μιας όμως και αντιπαρατίθενται τα προγράμματα, επιτρέψτε μου να πω δυο λόγια για τα εναλλακτικά προγράμματα διακυβέρνησης που τίθενται στην κρίση του ελληνικού λαού ενόψει της αναμέτρησης της 25ης του Ιούνη. Και θέλω να ξεκινήσω από ένα που νομίζω ότι είναι βασικό, κρίσιμο. Που δεν του δώσαμε τη δέουσα σημασία στη συζήτηση ενόψει των εκλογών της απλής αναλογικής. Είναι το θέμα της υγείας και επιτρέψτε μου να ξεκινήσω από αυτό, γιατί βρίσκομαι εδώ στην ιεράπετρα, σε έναν τόπο που γνωρίζω πάρα πολύ καλά ότι τοπική κοινωνία έχει δώσει αγώνες για να υπερασπιστεί το δημόσιο νοσοκομείο της πόλης και θέλω να μιλήσω με τη γλώσσα της αλήθειας, γιατί πρέπει να μιλάμε τη γλώσσα της αλήθειας. Από τη μια είναι ένα σχέδιο, το σχέδιο του ΣΥΡΙΖΑ, το οποίο θέλει να βάλει σε προτεραιότητα τη δημόσια υγεία. Θέλουμε ένα νέο ισχυρό εθνικό σύστημα υγείας, γιατί το όραμα μας είναι όλοι οι πολίτες, ανεξαρτήτως της οικονομικής τους δυνατότητας να έχουν πρόσβαση σε ένα σύστημα υγείας που θα προσφέρει αξιοπρεπή φροντίδα και περίθαλψη ιατρική και φαρμακευτική σε όλες τις Ελληνίδες και σε όλους τους Έλληνες. Και για να το κάνουμε αυτό, έχουμε σχεδιάσει την ανακατανομή των πόρων του Ταμείου Ανάκαμψης, η σημερινή κυβέρνηση δίνει μόνο 2% για την υγεία. Έχουμε σχεδιάσει να ενισχύσουμε τους μισθούς των πρωτοδιοριζόμενων γιατρών. Έχουμε σχεδιάσει να μονιμοποιήσουμε γιατρούς και νοσηλευτές που βρέθηκαν στην πρώτη γραμμή της πανδημίας. Έχουμε σχεδιάσει να εντάξουμε τους νοσηλευτές στα βαρέα και ανθυγιεινά, να προχωρήσουμε σε 15.000 αναγκαίες νέες προσλήψεις για τα δημόσια νοσοκομεία.",political agenda,health,other,0.5,0.0,0.0,"[['greek people', 'group of people', '1.0'], ['june 25th', 'date', '1.0'], ['syriza', 'political party', '1.0'], ['greek', 'country', '1.0'], ['hierapetra', 'location', '1.0'], ['greeks', 'group of people', '1.0'], ['recovery fund', 'organization', '1.0']]"
6,"What is New Democracy's plan for the National Health System? It is, and I will say this without any doubt, the Pneumatiko plan. It is the plan that the New Democracy candidate for MP in Evia and former MP, a remarkable professor, revealed through his statements and forced Mr. Mitsotakis to pretend that he was taking it off the ballot paper. However, it has not been removed from the ballot paper. It was declared. What is the Pneumatiko plan? Is it the secret Mitsotakis plan that he had revealed? The pandemic came and he did not complete it. I want to remind you that during the debate of the December 20, 2019 budget in Parliament, just before the pandemic came in March 2020, Mr. Mitsotakis had told us that he was planning at that time to proceed with a pilot and later complete it in almost all hospitals.","Ποιό είναι το σχέδιο της Νέας Δημοκρατίας για το Εθνικό Σύστημα Υγείας; Είναι και θα το πω με απόλυτη ευκρίνεια, το σχέδιο Πνευματικού. Είναι αυτό που φανέρωσε ο υποψήφιος βουλευτής της Νέας Δημοκρατίας στην Εύβοια και πρώην βουλευτής, αξιόλογος καθηγητής, ο οποίος το φανέρωσε μέσα από τις δηλώσεις του και ανάγκασαν τον κύριο Μητσοτάκη να κάνει τάχατες ότι το βγάζει από το ψηφοδέλτιο. Στα ψηφοδέλτια είναι δεν έχει βγει. Είχε δηλωθεί. Ποιο είναι το σχέδιο Πνευματικού; Το κρυφό σχέδιο Μητσοτάκη που είχε φανερώσει; Ήρθε η πανδημία και δεν το ολοκλήρωσε. Θέλω να σας θυμίσω ότι κατά τη διάρκεια της συζήτησης του προϋπολογισμού του 20 Δεκέμβρη του '19 στη Βουλή, λίγο πριν έρθει η πανδημία, ήρθε το Μάρτη του '20, ο κύριος Μητσοτάκης μας είχε πει ότι σχεδίαζε τότε, να προχωρήσει πιλοτικά για να το ολοκληρώσει αργότερα σχεδόν σε όλα τα νοσοκομεία. ",political agenda,health,other,0.0,0.1,0.0,"[['new democracy', 'organization', '1.0'], ['national health system', 'organization', '0.6'], ['pneumatiko plan', 'organization', '0.9'], ['new democracy candidate', 'person', '0.8'], ['mp', 'political party', '0.4'], ['evia', 'location', '0.7'], ['mitsotakis', 'person', '0.8'], ['december 20', '2019', 'date', '1.0'], ['parliament', 'organization', '0.5'], ['pandemic', 'organization', '0.4'], ['march 2020', 'date', '1.0'], ['hospitals', 'organization', '0.4.']]"
7,"The public-private partnership involves transforming three public hospitals into private legal entities and partnering with private individuals. This includes reducing the hospitals' budgets and appointing managers, CEOs, and private individuals to manage them. The person who proposed this plan warned that it would have a negative impact on public health.","Στη σύμπραξη δημόσιου ιδιωτικού, στη μετατροπή 3 δημόσιων νοσοκομείων σε νομικά πρόσωπα ιδιωτικού δικαίου και στη σύμπραξη με ιδιώτες, δηλαδή: να πάρει δημόσια νοσοκομεία, να τους μειώσει τον προϋπολογισμό, να βάλει managers, ceo και ιδιώτες, για να τα διαχειρίζονται από κοινού. Και μας είπε τότε, θα ανατριχιάσετε όταν θα δείτε τι θα κάνω στη δημόσια υγεία. Το είπε επί λέξει. ",criticism,health,privatization of healthcare,-0.9,0.1,0.0,"[['public hospitals', 'organization', '1.0'], ['private individuals', 'group of people', '1.0'], ['ceos', 'person', '1.0'], ['public health', 'group of people', '0.5']]"
8,"The pandemic came, and we didn't have time to shudder at its plan. We shuddered at the numbers and the results of the country being the worst in Europe in terms of deaths, in proportion to our population. We mourned 38,000 victims, worse than Bolsonaro's Brazil. Why? Because the National Health System was weak, unprotected, and powerless. Because we were told then, remember: ""We don't have studies that prove that outside of intensive care units, people can die. It's the same either inside or outside of intensive care units.""","Ήρθε η πανδημία και δεν προλάβαμε να ανατριχιάσουμε με το σχέδιο του, ανατριχιάσαμε με τους αριθμούς και τα αποτελέσματα της χώρας που ήταν χειρότερη σε όλη την Ευρώπη σε θανάτους, αναλογικά με τον πληθυσμό μας. Θρηνήσαμε 38.000 θύματα, χειρότεροι και από τη Βραζιλία του Μπολσονάρο. Γιατί; Γιατί το Εθνικό Σύστημα υγείας ήτανε αδύναμο, απροστάτευτο, ανίσχυρο. Γιατί μας έλεγαν τότε, θυμάστε: Δεν έχουμε μελέτες που να αποδεικνύουν ότι εκτός των μονάδων εντατικής θεραπείας, οι άνθρωποι μπορεί να πεθάνουνε, το ίδιο είναι είτε μέσα, είτε έξω από τις μονάδες εντατικής θεραπείας.",criticism,health,other,-0.8,0.0,0.0,"[['national health system', 'organization', '0.8'], ['europe', 'location', '0.9'], [""bolsonaro's brazil"", 'location', '0.5'], ['38', '000', 'date', '0.6'], ['pandemic', 'group of people', '0.1']]"
9,"We have not forgotten that, but his plan did not materialize. He did not have time to materialize it, and he is now coming to put it forward and materialize it. The plan that they say, he said it himself, ""we're going to cringe,"" and we did cringe at the statement from Pneuma, who talked about screening patients. Which is what? He said, ""there is no way the public can cover healthcare costs. It is expensive healthcare. So, public hospitals will have to make cuts. They will have to close public facilities, and when a patient with a low life expectancy goes to get treatment that is expensive, we will choose who we give it to. We will give it to the one who has a longer life expectancy."" But this is creepy. Isn't it just cynical and what is leading us to a society that will devalue the greatest value? What is the greatest value? Human life is the greatest value. We do not value benefit, profit, gain, and loss. Value is human life.","Δεν τα ξεχάσαμε αυτά, αλλά το σχέδιό του δεν το υλοποίησε, δεν πρόλαβε να το υλοποιήσει και έρχεται τώρα να το βάλει μπροστά, να το υλοποιήσει. Το σχέδιο με το οποίο λένε, ο ίδιος το είπε, θα ανατριχιάσουμε και όντως ανατριχιάσαμε με τη δήλωση του Πνευματικού, ο οποίος μίλησε για διαλογή ασθενών. Δηλαδή τι; Είπε: δεν υπάρχει δυνατότητα το δημόσιο να καλύπτει τις δαπάνες για την υγεία. Είναι ακριβή η υγεία. Άρα, τα δημόσια νοσοκομεία θα πρέπει να κάνουνε περικοπές, θα πρέπει να κλείσουν δημόσιες δομές και όταν θα πηγαίνει ένας ασθενείς με χαμηλό προσδόκιμο ζωής για να πάρει μια θεραπεία που είναι ακριβή, θα διαλέγουμε σε ποιον θα τη δίνουμε. Θα τη δίνουμε σε αυτόν που θα έχει μεγαλύτερο προσδόκιμο ζωής. Αυτό όμως είναι ανατριχιαστικό. Δεν είναι απλά κυνικό και τι μας οδηγεί σε μια κοινωνία που θα απαξιώνει τη μεγαλύτερη αξία; Ποιά είναι η μεγαλύτερη αξία; Η ανθρώπινη ζωή είναι η μεγαλύτερη αξία. Δεν είναι για μας αξία το όφελος, το κέρδος, τα κέρδη και οι ζημιές. Αξία είναι η ανθρώπινη ζωή. ",political agenda,health,other,-0.5,0.0,0.0,"[['pneuma', 'organization', '0.6'], ['public hospitals', 'organization', '0.6'], ['public facilities', 'organization', '0.6'], ['human life', 'group of people', '0.6']]"
10,"But why do I say that this is critical for Ierapetra and your local community? I mention health not only because you have fought to keep your hospital alive, but also because the hospital of Ierapetra is first on the list to be closed in the implementation of the Mitsotakis-Pneimatikos plan. The first public health facility to be closed is the prefecture of Lasithi. Why? Because it has three hospitals. There are many. We should build more private hospitals, but not three public hospitals.","Γιατί όμως λέω ότι είναι κρίσιμο αυτό για την Ιεράπετρα, για την τοπική σας κοινωνία; Γιατί ξεκίνησα να μιλώ για την υγεία, όχι μόνο γιατί δώσατε αγώνα για να διατηρήσετε ζωντανό το νοσοκομείο σας, αλλά γιατί πρώτο στη λίστα για να κλείσει, στην εφαρμογή του σχεδίου Μητσοτάκη-Πνευματικού είναι το νοσοκομείο της Ιεράπετρας. Πρώτος νόμος στη λίστα για κλείσιμο δημόσιων δομών υγείας είναι ο νομός Λασιθίου, γιατί; Γιατί έχει 3 νοσοκομεία. Είναι πολλά. Να φτιάξουμε ιδιωτικά περισσότερα, αλλά όχι και 3 δημόσια νοσοκομεία. ",criticism,other,other,-0.5,0.0,0.0,"[['ierapetra', 'location', '1.0'], ['mitsotakis-pneimatikos', 'political party', '1.0'], ['prefecture of lasithi', 'location', '1.0']]"
