id,text,text_el,is_criticism,topic-context,subtopic-context,sentiment,polarization-definition,populism-definition,ner-limited
1,"Thank you very much for the warm welcome that you have given me here today, citizens of Giannitsa and Pella. It is a very moving moment for me to see all of you here a week before a crucial election, giving the message 'it is allowed to fall, it is imperative to get up and fight'. We will fight until the last second, until the polls close, to overturn this correlation. We will fight not on behalf of our own party interests, but on behalf of society, which needs a strong SYRIZA, which needs to be a strong pillar of the progressive party of the country, both in the elections and the next day. And I want to commit myself to one thing here today: We will go together to fight this battle until the ballot box, resolutely strong, with optimism, and we will be together on the 25th and on the 26th. We will continue together to fight for the needs of society, to fight for the interests and rights of workers, farmers, producers, small and medium-sized professionals, for the interests of underprivileged Greeks. That is why SYRIZA was born, that is why SYRIZA-Progressive Alliance is here, and that is why it will be here tomorrow. I want you to know one thing. SYRIZA-Progressive Alliance is not and will not be a party of protest. It is not and will not become a complement to the governmental power of our political opponents, the right. SYRIZA is and will remain a party of power. We will claim every hope, every possibility in this ballot box of June 25th, but we will be here in any case to make the progressive party with SYRIZA-Progressive Alliance as its pillar great and strong again very soon, to bring to this country perspective, hope and the change of government that is a necessity, a social necessity. I want to say to the citizens of Pella, of Giannitsa, and I would also like to say to the wider region of Pella and Edessa - I was there a few days ago - that we have decided to put the major problems facing Greek society on the agenda in this election period.","Σας ευχαριστώ θερμά γι'αυτή τη ζεστή, την πολύ ζεστή υποδοχή που μου επιφυλάξατε σήμερα εδώ πολίτες των Γιαννιτσών και της Πέλλας. Σας ευχαριστώ θερμά. Είναι για μένα μια πολύ συγκινητική στιγμή να σας βλέπω όλους εσάς εδώ μια βδομάδα πριν από μια κρίσιμη εκλογική αναμέτρηση, να δίνετε το μήνυμα «επιτρέπεται να πέσεις, επιβάλλεται να σηκωθείς και να παλέψεις». Θα παλέψουμε μέχρι το τελευταίο δευτερόλεπτο, μέχρι να κλείσει η κάλπη για να ανατρέψουμε αυτόν τον συσχετισμό. Θα παλέψουμε όχι για λογαριασμό του δικού μας συμφέροντος του κομματικού, αλλά για λογαριασμό της κοινωνίας που έχει ανάγκη έναν ΣΥΡΙΖΑ ισχυρό, που έχει ανάγκη να είναι δυνατή, να είναι δυνατός ο πυλώνας της προοδευτικής παράταξης του τόπου και στις εκλογές και την επόμενη μέρα. Και θέλω σήμερα εδώ απέναντί σας να δεσμευτώ για ένα πράγμα: Θα πάμε μαζί να δώσουμε αυτή τη μάχη μέχρι την κάλπη, αποφασιστικά δυνατά, με αισιοδοξία και θα είμαστε μαζί και στις 25 αλλά και στις 26 του μήνα. Θα συνεχίσουμε μαζί να αγωνιζόμαστε για τις ανάγκες της κοινωνίας, να αγωνιζόμαστε για τα συμφέροντα και τα δικαιώματα των εργαζομένων, των αγροτών, των παραγωγών, των μικρομεσαίων επαγγελματιών, για τα συμφέροντα των μη προνομιούχων Ελλήνων. Για αυτό γεννήθηκε ο ΣΥΡΙΖΑ, για αυτό είναι εδώ ο ΣΥΡΙΖΑ-Προοδευτική Συμμαχία, γι' αυτό θα είναι και αύριο εδώ. Θέλω να ξέρετε ένα πράγμα. Ο ΣΥΡΙΖΑ-Προοδευτική Συμμαχία δεν είναι ούτε θα γίνει κόμμα διαμαρτυρίας. Δεν είναι ούτε θα γίνει συμπλήρωμα της κυβερνητικής εξουσίας των πολιτικών μας αντιπάλων, της Δεξιάς. Ο ΣΥΡΙΖΑ είναι και θα παραμείνει κόμμα εξουσίας. Θα διεκδικήσουμε κάθε ελπίδα, κάθε δυνατότητα σε αυτή την κάλπη της 25ης του Ιούνη αλλά θα είμαστε εδώ σε κάθε περίπτωση για να ξανακάνουμε πολύ σύντομα μεγάλη, δυνατή την προοδευτική παράταξη με πυλώνα τον ΣΥΡΙΖΑ-Προοδευτική Συμμαχία για να φέρουμε σε αυτό τον τόπο προοπτική, ελπίδα και την αλλαγή την κυβερνητική που είναι αναγκαιότητα, είναι αναγκαιότητα κοινωνική. Θέλω πολίτες της Πέλλας, των Γιαννιτσών, να σας πω και της ευρύτερης περιοχής εδώ της Πέλλας και της Έδεσσας -ήμουνα πριν από λίγες μέρες εκεί- θέλω να σας πω ότι έχουμε αποφασίσει να θέσουμε σε αυτήν την προεκλογική περίοδο επί τάπητος τα μεγάλα προβλήματα που αντιμετωπίζει η ελληνική κοινωνία. ",political agenda,elections,other,0.9,0.2,0.1,"[['giannitsa', 'location', '1.0'], ['pella', 'location', '1.0'], ['syriza', 'political party', '1.0'], ['greeks', 'group of people', '1.0'], ['june 25th', 'date', '1.0'], ['pella', 'location', '1.0'], ['giannitsa', 'location', '1.0'], ['pella', 'location', '1.0'], ['edessa', 'location', '1.0'], ['greek society', 'group of people', '1.0']]"
2,"We know that this is not what our political opponents want. They have the primacy, the domination of the media. They have the ability to wage a communications war to discuss anything but the big problems.","Γνωρίζουμε ότι αυτό δεν το επιθυμούν οι πολιτικοί μας αντίπαλοι. Έχουν την πρωτοκαθεδρία, την κυριαρχία στα μέσα μαζικής ενημέρωσης. Έχουνε τη δυνατότητα να κάνουν έναν επικοινωνιακό πόλεμο για να συζητάμε οτιδήποτε άλλο εκτός από τα μεγάλα προβλήματα. ",criticism,media,other,-0.6,0.0,0.2,"[['political opponents', 'group of people', '0.80'], ['media', 'organization', '0.75'], ['communications war', 'group of people', '0.60']]"
3,"But we want these 7 days remaining to explain to the Greek people what is at stake on June 25th. What is at stake on June 25th is who will govern the country for the next 4 years and with which program. And on June 25th, we will not vote by simple proportional representation. We are voting with the familiar old system that poses blackmailing dilemmas to citizens. This was not our choice, but this is now the system. The first one will get 50 bonus seats, let us keep that in mind. So what is at stake this Sunday is how the country will be governed and what answers will be given to the great problems of society.","Όμως θέλουμε αυτές τις 7 μέρες που έμειναν να εξηγήσουμε στον ελληνικό λαό τι διακυβεύεται στις 25 του Ιούνη. Στις 25 του Ιούνη διακυβεύεται ποιος και με ποιο πρόγραμμα θα κυβερνήσει τη χώρα για τα επόμενα 4 χρόνια. Και στις 25 του Ιούνη δεν ψηφίζουμε με απλή αναλογική. Ψηφίζουμε με το γνωστό το παλιό σύστημα που θέτει εκβιαστικά διλήμματα στους πολίτες. Δεν ήταν δική μας επιλογή αυτή, αλλά αυτό είναι τώρα το σύστημα. Ο πρώτος θα πάρει 50 έδρες μπόνους, ας το έχουμε στο μυαλό μας αυτό. Αυτή λοιπόν την Κυριακή διακυβεύεται πώς θα κυβερνηθεί η χώρα και τι απαντήσεις θα δοθούν στα μεγάλα προβλήματα της κοινωνίας. ",political agenda,elections,election spending,0.0,0.0,0.0,"[['greek people', 'group of people', '1.0'], ['june 25th', 'date', '1.0'], ['june 25th', 'date', '1.0'], ['country', 'location', '1.0'], ['familiar old system', 'organization', '1.0'], ['50 bonus seats', 'organization', '1.0'], ['sunday', 'date', '1.0'], ['society', 'group of people', '1.0']]"
4,"The major issues facing society include income inequality, which results in households being unable to afford basic necessities such as groceries in the third week of the month. Additionally, high electricity bills are a significant drain on income. Finally, producers and farmers struggle to sustain themselves in rural areas.","Τα μεγάλα προβλήματα της κοινωνίας είναι η ακρίβεια που λέει δηλαδή το εισόδημα, που τα νοικοκυριά την τρίτη εβδομάδα δεν έχουν δυνατότητα να πάνε στο σούπερ μάρκετ, διότι σώνεται το εισόδημα. Είναι οι υψηλοί λογαριασμοί στο ρεύμα που λεηλατούν το εισόδημα. Είναι η αδυναμία των παραγωγών, των αγροτών να κρατηθούν στην ύπαιθρο. ",political agenda,economy,cost of living,-0.5,0.0,0.0,"[['income inequality', 'organization', '0.5'], ['society', 'organization', '0.5'], ['households', 'group of people', '0.6'], ['third week', 'date', '1.0'], ['electricity bills', 'organization', '0.5'], ['producers', 'group of people', '0.6'], ['farmers', 'group of people', '0.6'], ['rural areas', 'location', '1.0']]"
5,The big problem has to do with the collapse of the National Health System. The public hospitals are in the worst condition since the NHS was created.,"Τα μεγάλα προβλήματα έχουν να κάνουν με την κατάρρευση του Εθνικού Συστήματος Υγείας. Με τα δημόσια νοσοκομεία, τα οποία είναι στη χειρότερη κατάσταση από τότε που δημιουργήθηκε το ΕΣΥ. ",political agenda,health,public health system,-0.8,0.0,0.0,"[['national health system', 'organization', '0.9'], ['nhs', 'organization', '0.7'], ['public hospitals', 'group of people', '0.5']]"
6,"The major issues of daily life are also related to our schools and universities. The schools are filled with substitute teachers, with 30% being substitutes, and our universities lack the ability to provide young people with skills and opportunities.","Τα μεγάλα προβλήματα της καθημερινότητας έχουν επίσης να κάνουν με τα σχολεία και τα πανεπιστήμια μας. Τα σχολεία που είναι γεμάτα αναπληρωτές καθηγητές, 30% αναπληρωτές και τα πανεπιστήμια μας που δεν έχουν τη δυνατότητα να δώσουνε εφόδια και προοπτική στους νέους ανθρώπους. ",political agenda,education,higher education,-0.4,0.0,0.0,"[['substitutes', 'group of people', '100%'], ['universities', 'organization', '100%'], ['young people', 'group of people', '100%']]"
7,"The big problem has to do with the tsunami of foreclosures that will come if there is no alternative to the one that Mr. Mitsotakis and New Democracy are planning, which involves transferring mortgages to funds.",Τα μεγάλα προβλήματα έχουν να κάνουνε με αυτό το τσουνάμι των πλειστηριασμών που έρχεται αν δεν υπάρξει εναλλακτική πρόταση από αυτή που σχεδιάζει ο κύριος Μητσοτάκης και η Νέα Δημοκρατία που έχει περάσει τα ενυπόθηκα δάνεια στα funds.,political agenda,housing,foreclosures,-0.5,0.1,0.0,"[['mr. mitsotakis', 'person', '0.9'], ['new democracy', 'political party', '0.9']]"
8,The major issue is also related to the significant challenge that young people face in obtaining a house due to skyrocketing rents.,Τα μεγάλα προβλήματα έχουν να κάνουν επίσης με τις μεγάλες δυσκολίες των νέων ανθρώπων να μπορέσουνε να πιάσουν ένα σπίτι όταν τα ενοίκια έχουν πάει στο Θεό.,political agenda,housing,affordable housing,-0.8,0.0,0.0,"[['young people', 'person', '0.8'], ['house', 'location', '0.4']]"
9,"The big problems that we experience, know, and understand have to do with the fact that an economy cannot be based on benefits and handouts. Because when those run out, we will be broke again.","Τα μεγάλα προβλήματα που ζούμε, που γνωρίζουμε, που αντιλαμβανόμαστε έχουν να κάνουνε με το γεγονός ότι δεν μπορεί μια οικονομία να στηρίζεται σε επιδόματα και σε pass. Γιατί όταν αυτά θα τελειώσουν, θα βρεθούμε ξανά ξεκρέμαστοι. ",political agenda,economy,economic crisis,-0.55,0.0,0.0,"[['economy', 'organization', '0.8'], ['benefits', 'group of people', '0.5'], ['handouts', 'group of people', '0.5']]"
10,"These are the major issues we want to address. I know your region is an agricultural one, whose economy is based on the production of peaches, kiwi, cherries, and other quality agricultural products. I am aware of the significant challenges facing the agricultural sector, including three consecutive years of major disasters due to the climate crisis. In the spring of '21, frosts caused significant problems, reducing production by almost 50%, and ELGA compensation was non-existent. The same occurred in '22, and this year, in '23, we face a combination of challenges, including climate change, precision and accuracy issues, rising production costs, and energy costs. However, in Greece, we also have a significant gap between the price that producers receive in the field and the price that consumers pay in stores, which averages 300% and can reach 700% for products like kiwifruit. This is due to unchecked middlemen without control mechanisms, and both producers and consumers suffer as a result.","Αυτά τα μεγάλα ζητήματα θέλουμε να θέσουμε επί τάπητος. Και για την περιοχή σας που γνωρίζω ότι είναι μια αγροτική περιοχή, μια περιοχή που στηρίζεται η οικονομία της στην παραγωγή, στην παραγωγή του ροδάκινου, του ακτινιδίου, του κερασιού, στην παραγωγή αγροτικών ποιοτικών προϊόντων. Και ξέρω τα μεγάλα προβλήματα που αντιμετωπίζει ο αγροτικός κόσμος. 3 συνεχόμενες χρονιές με μεγάλες καταστροφές, καθώς η κλιματική αλλαγή έχει μετατραπεί σε κλιματική κρίση. Την άνοιξη του '21. Η άνοιξη του '21 είχε παγετούς που δημιουργήσανε τρομακτικά προβλήματα, συρρίκνωσαν σχεδόν κατά 50% την παραγωγή και οι αποζημιώσεις του ΕΛΓΑ ήταν ανύπαρκτες. Τα ίδια είχαμε και το '22. Σήμερα, φέτος, το '23 έχουμε ένα συνδυασμό, συνδυασμό πολλών προβλημάτων όχι μόνο της κλιματικής κρίσης, αλλά η ακρίβεια, η ακρίβεια και η αύξηση του κόστους παραγωγής έχει δημιουργήσει τεράστια προβλήματα, το ενεργειακό κόστος. Ταυτόχρονα όμως, το γεγονός ότι μόνο στην Ελλάδα έχουμε αυτή την τεράστια απόσταση από την τιμή που πουλάει ο παραγωγός στο χωράφι μέχρι την τιμή που βρίσκει ο καταναλωτής στο ράφι, που είναι κατά μέσο όρο 300% και για ορισμένα προϊόντα όπως το ακτινίδιο φτάνει τα 700%. Γιατί συμβαίνει αυτό; Γιατί έχουν αφεθεί οι μεσάζοντες να θησαυρίζουν ανεξέλεγκτοι χωρίς ελεγκτικούς μηχανισμούς και ενώ ο παραγωγός και ο καταναλωτής πληρώνει τη νύφη. ",political agenda,agricultural policy,other,-0.5,0.0,0.0,"[['elga', 'organization', '0.6'], ['greece', 'country', '0.9'], [""'21"", 'date', '0.5'], [""'22"", 'date', '0.5'], [""'23"", 'date', '0.5']]"
