id,text,text_el,is_criticism,topic-context,subtopic-context,sentiment,polarization-definition,populism-definition,ner-limited
1,"I would like to thank you for the welcome in today's rainy Veria. Your presence is touching and it is a great pleasure for me to be here in Veroia to share with you the message of the battle in view of the elections of 25 June. This is a battle that we will fight together, as we have fought all the battles we have fought so far, and a battle that we will fight with greater tenacity and determination. One week from today, on June 25, the Sunday after next, what will be decided at the ballot box is how and by whom the country will be governed for the next four years. This ballot is not a simple proportional representation ballot, but it is a ballot with the old familiar, traditional system that we have known all these years. The first one in will get 50 bonus seats, so it is crucial to see who it will be and how, with what programme, he will govern the country for the next four years. Unfortunately or fortunately, we know that in the enhanced proportional representation ballot, the dilemmas are inexorable. There is no such thing as a loose vote. Our political opponents clearly do not just want to win the election. They want to establish an uncontrolled and unregulated regime and they are avoiding the debate on programme positions like the devil avoids incense. With what programme, with what plan will they or we rule the country for the next four years? And I say either them or us, because there are two alternative plans of governance.","Θέλω να σας ευχαριστήσω για την υποδοχή, στη βροχερή σήμερα Βέροια. Θέλω να σας ευχαριστήσω. Είναι συγκινητική η παρουσία σας. Είναι για μένα μεγάλη χαρά να βρίσκομαι εδώ στη Βέροια για να δώσω μαζί σας το μήνυμα της μάχης ενόψει των εκλογών της 25ης του Ιούνη. Μιας μάχης που θα τη δώσουμε μαζί όπως όλες τις μάχες που δώσαμε μέχρι σήμερα. Και μιας μάχης που θα τη δώσουμε με μεγαλύτερο πείσμα και με μεγαλύτερη αποφασιστικότητα. Σε μια εβδομάδα από σήμερα, στις 25 του Ιούνη, την μεθεπόμενη Κυριακή, αυτό που κρίνεται από την κάλπη είναι πώς και από ποιους θα κυβερνηθεί η χώρα για τα επόμενα 4 χρόνια. Και αυτή η κάλπη δεν είναι κάλπη απλής αναλογικής, αλλά είναι μια κάλπη με το παλιό του γνωστό, το παραδοσιακό σύστημα που γνωρίζουμε όλα τα προηγούμενα χρόνια. Δηλαδή ο πρώτος θα πάρει 50 έδρες μπόνους. Άρα είναι κρίσιμο να δούμε ποιος θα είναι αυτός και πώς, επαναλαμβάνω, με ποιο πρόγραμμα θα κυβερνήσει τον τόπο τα επόμενα 4 χρόνια και, δυστυχώς ή ευτυχώς, γνωρίζουμε ότι στην κάλπη της ενισχυμένης αναλογικής τα διλήμματα είναι αμείλικτα. Δεν υπάρχει η έννοια της χαλαρής ψήφου. Οι πολιτικοί μας αντίπαλοι είναι φανερό, δεν θέλουν απλά να κερδίσουν τις εκλογές. Θέλουν να εγκαθιδρύσουν ένα ανεξέλεγκτο και ασύδοτο καθεστώς και αποφεύγουν σαν το διάολο το λιβάνι τη συζήτηση για τις προγραμματικές θέσεις. Με ποιο πρόγραμμα, με ποιο σχέδιο θα κυβερνήσουν τη χώρα ή αυτοί ή εμείς τα επόμενα 4 χρόνια; Και λέω ή αυτοί ή εμείς, διότι 2 είναι τα εναλλακτικά σχέδια διακυβέρνησης. ",criticism,elections,other,0,0.1,0,"[['veria', 'location', '0.9'], ['veroia', 'location', '0.9'], ['25 june', 'date', '0.9'], ['sunday', 'date', '0.9'], ['50 bonus seats', 'political party', '0.8'], ['june 25', 'date', '0.9']]"
2,"There are two alternative programs of governance and two parties in power because SYRIZA was and will remain a party in power. It will not become a party of protest, but it will not become a party that complements the governments of the right. We will fight together until the last second before the polls close to overturn the unfavorable correlation recorded on May 21. But we will, and this is my promise to you here, fight the battle together on the 25th and 26th and the next day. We will fight the battle together to defend our values and to defend Greek society. These are difficult days ahead. I want to speak in the language of truth. These are difficult days ahead. And the country needs a strong force, a strong SYRIZA-Progressive Alliance to stand by society, by people who have no voice, to demand the obvious, which is not so obvious against a vengeful right-wing.","Δυο είναι τα εναλλακτικά προγράμματα διακυβέρνησης και δύο είναι και τα κόμματα εξουσίας, διότι ο ΣΥΡΙΖΑ ήταν είναι και θα παραμείνει κόμμα εξουσίας. Δεν θα γίνει ούτε κόμμα διαμαρτυρίας αλλά ούτε κόμμα συμπλήρωμα κυβερνητικό στις κυβερνήσεις της Δεξιάς. Θα δώσουμε μαζί τη μάχη μέχρι το τελευταίο δευτερόλεπτο πριν να κλείσουν οι κάλπες για την ανατροπή του δυσμενούς συσχετισμού που καταγράφηκε στις 21 του Μάη. Αλλά θα δώσουμε, και αυτό είναι η δική μου υπόσχεση σ'εσάς εδώ, μαζί τη μάχη και στις 25 και στις 26 και την επόμενη μέρα θα δώσουμε μαζί τη μάχη για να υπερασπιστούμε τις αξίες μας και να υπερασπιστούμε την ελληνική κοινωνία. Είναι δύσκολες οι μέρες που έρχονται. Θέλω να μιλήσω με τη γλώσσα της αλήθειας. Είναι δύσκολες οι μέρες που έρχονται. Και ο τόπος έχει ανάγκη από μια δύναμη ισχυρή, από έναν ΣΥΡΙΖΑ-Προοδευτική Συμμαχία ισχυρό για να σταθεί δίπλα στην κοινωνία, στους ανθρώπους που δεν έχουν φωνή, για να διεκδικήσει τα αυτονόητα που δεν είναι και τόσο αυτονόητα απέναντι σε μια Δεξιά εκδικητική. ",political agenda,elections,other,0.5,0.2,0,"[['syriza', 'political party', '1.0'], ['greek', 'location', '1.0'], ['may 21', 'date', '1.0'], ['25th', 'date', '1.0'], ['26th', 'date', '1.0'], ['progressive alliance', 'group of people', '0.8']]"
3,"So I was saying that they are avoiding the debate on the program. In fact, they even made sure to exploit a dramatic and tragic event - the shipwreck with over 600 dead. Over 600 people drowned, and the sea became a watery grave for them. They used the shipwreck to scuttle the debate of the political leaders. Because Mr. Mitsotakis has been scared as the devil of dialogue on programs from the very first moment. He promised a dialogue between the two of us, he ran away, and now he has used a dramatic event to permanently thwart political dialogue in front of the Greek citizen TV audience. But why is he so afraid of dialogue on programs?","Έλεγα λοιπόν ότι αποφεύγουν τη συζήτηση για το πρόγραμμα. Και μάλιστα, φροντίσανε να αξιοποιήσουν ακόμα και ένα δραματικό, τραγικό γεγονός, το ναυάγιο με τους πάνω από 600 νεκρούς, πάνω από 600 ανθρώπους που πνίγηκαν και έγινε υγρός τάφος η θάλασσα για αυτούς. Αξιοποίησαν το ναυάγιο για να ναυαγήσουν το ντιμπέιτ των πολιτικών αρχηγών. Γιατί ο κύριος Μητσοτάκης από την πρώτη στιγμή σαν το διάολο το λιβάνι φοβάται το διάλογο πάνω σε προγράμματα. Είχε υποσχεθεί διάλογο των δυο μας, το βαλε στα πόδια και τώρα αξιοποίησε ένα δραματικό γεγονός για να ματαιώσει οριστικά τον πολιτικό διάλογο μπροστά στους Έλληνες πολίτες τηλεθεατές. Γιατί όμως φοβάται τόσο πολύ το διάλογο πάνω στα προγράμματα; ",criticism,elections,other,-0.7,0,0,"[['mr. mitsotakis', 'person', '0.5', 'greek citizen tv', 'organization', '0.2', '600', 'number', '0.2']]"
4,"I will say one phrase: the programme of New Democracy says things that are not going to be implemented and it hides things that are planned to be implemented. I want to talk to you a little bit about them. Mr. Mitsotakis submitted a medium-term programme, as all governments are obliged to do to the European Union and European institutions, two months ago. The medium-term is binding on governments, and I have full experience. In it, you detail what you are going to do and what fiscal space is left over to do things. Two months ago, they submitted a medium-term. Of all his programmatic announcements in this and the previous election, not a single one is included in the medium-term program he submitted to the European Commission. So he is lying when he promises 10,000 jobs in the public hospitals that he has deliberately allowed to collapse. He is lying because there is no provision for recruitment in the medium-term programme. The only provision is to replace all those who are leaving the public sector.","Μια φράση Θα σας πω: το πρόγραμμα της Νέας Δημοκρατίας λέει πράγματα τα οποία δεν πρόκειται να υλοποιηθούν και δεν λέει, κρύβει πράγματα που έχουν σχέδιο να υλοποιηθούν και θέλω να σας μιλήσω λίγο για αυτά. Ο κύριος Μητσοτάκης κατέθεσε μεσοπρόθεσμο, όπως είναι υποχρεωμένες οι κυβερνήσεις όλες στην Ευρωπαϊκή Ένωση, στην ευρωπαϊκή επιστροφή, στους ευρωπαϊκούς θεσμούς. Πότε; Πριν από 2 μήνες. Το μεσοπρόθεσμο είναι δεσμευτικό για τις κυβερνήσεις, έχω πλήρη εμπειρία. Εκεί καταγράφεις αναλυτικά τι θα κάνεις και ποιος είναι ο δημοσιονομικός χώρος που σου περισσεύει για να κάνεις πράγματα. 2 μήνες πριν κατέθεσαν μεσοπρόθεσμο. Από όλες τις προγραμματικές του εξαγγελίες σε αυτές και στις προηγούμενες εκλογές ούτε μία δεν εντάσσεται στο μεσοπρόθεσμο πρόγραμμα που κατέθεσε στην Ευρωπαϊκή Επιτροπή. Λέει λοιπόν ψέματα όταν υπόσχεται 10.000 προσλήψεις στα δημόσια νοσοκομεία που τα έχει αφήσει επίτηδες να καταρρεύσουν και λέει ψέματα, διότι δεν προβλέπονται προσλήψεις στο μεσοπρόθεσμο πρόγραμμα. Προβλέπεται μονάχα να αναπληρώνονται όλοι όσοι θα φεύγουν από το δημόσιο. ",criticism,public sector,other,-0.6,0,0,"[['mitsotakis', 'person', '1.0'], ['new democracy', 'political party', '1.0'], ['european union', 'organization', '1.0'], ['european commission', 'organization', '1.0'], ['hospitals', 'group of people', '0.9'], ['public sector', 'organization', '0.9']]"
5,"He is lying about increasing the average wage by 25% at the end of four years. Medium-term forecasts predict a real increase of only 1.4% at the end of four years, which means private sector wages will stagnate. This is what we expected, as Greece was the only country, according to OECD data, to experience a decrease in nominal average wage in the three years from 2019-2022, and in 2022, one of only three countries in the European Union to experience a decrease in real average wage.","Λέει ψέματα ότι θα αυξήσει 25% το μέσο μισθό στο τέλος της τετραετίας. Διότι στο μεσοπρόθεσμο προβλέπεται ότι η πραγματική αύξηση του μέσου μισθού στο τέλος τετραετίας θα είναι μόλις 1,4%, δηλαδή στασιμότητα στους μισθούς του ιδιωτικού τομέα, κάτι το οποίο το φανταζόμασταν ότι θα συμβεί, καθώς η Ελλάδα ήταν η μόνη χώρα, σύμφωνα με τα στοιχεία του ΟΟΣΑ, που την τριετία 2019-2022 είχε μείωση του ονομαστικού μέσου μισθού και το 2022, μία από τις 3 μόνο της Ευρωπαϊκής Ένωσης που είχε μείωση του πραγματικού μέσου μισθού. ",criticism,employment,wages,-0.7,0.1,0,"[['greece', 'country', '1.0'], ['oecd', 'organization', '1.0'], ['european union', 'organization', '1.0'], ['2019', 'date', '0.7'], ['2022', 'date', '1.0']]"
6,"What else does he say he won't do? He says he will increase spending to address the problems in public hospitals. He is lying. The medium-term program predicts that over the four-year period, the actual primary expenditure of the Greek State will be reduced by a cumulative 10%, which means that our hospitals will no longer even have money for consumables.","Τι άλλο λέει και δεν θα κάνει; Λέει ότι θα αυξήσει τις δαπάνες προκειμένου να αντιμετωπιστούν τα προβλήματα στα δημόσια νοσοκομεία. Λέει ψέματα. Το μεσοπρόθεσμο πρόγραμμα προβλέπει ότι στην τετραετία θα μειωθούν σωρευτικά κατά 10% οι πραγματικές πρωτογενείς δαπάνες του ελληνικού δημοσίου, πράγμα που σημαίνει ότι τα νοσοκομεία μας πια δεν θα έχουν χρήματα ούτε για τα αναλώσιμα. ",criticism,health,public health system,-0.8,0,0,"[['greek state', 'organization', '1.0'], ['hospitals', 'group of people', '0.9'], ['public hospitals', 'organization', '0.8'], ['consumables', 'group of people', '0.6'], ['four-year period', 'date', '0.6']]"
7,Our schools will not receive support.,Τα σχολεία μας δεν θα στηριχθούν.,criticism,education,higher education,-0.8,0,0,[]
8,The welfare state and social and civil protection will not receive support. Mr. Mitsotakis' true plan is to reduce public spending.,"Το κοινωνικό κράτος δεν θα στηριχθεί. Η κοινωνική προστασία, η πολιτική προστασία δεν θα στηριχθεί. Το πραγματικό σχέδιο λοιπόν του κυρίου Μητσοτάκη είναι ένα σχέδιο συρρίκνωσης των δημοσίων δαπανών. ",criticism,social state,public welfare,-0.7,0,0.2,"[['mr. mitsotakis', 'person', '0.9']]"
9,"What is it that he says he will not do? He will not implement what he announced in terms of hiring and tax cuts. What are the things he is not saying but preparing to do? Mr. Pneimatikos, the New Democracy parliamentary candidate and authoritative professor, unwittingly revealed that the health plan of New Democracy and Mr. Mitsotakis is to privatize hospitals, close public institutions, reduce public spending, and even sort out patients. The medium-term plan confirms this. Mitsotakis warned us that we would shudder at his health plan, and now it is time to shudder. Patient triage means that someone with a low life expectancy will not receive treatment at a public hospital because they will be chosen to give treatment to someone with a longer life expectancy. Anyone without a life expectancy can go to a private hospital. This is the cynical neoliberal view of the welfare state and public health.","Τι είναι λοιπόν αυτό το οποίο λέει και δεν θα κάνει; Αυτά τα οποία εξήγγειλε, προσλήψεις, αυτά τα οποία εξήγγειλε σε σχέση με τις μειώσεις φόρων, δεν θα τα υλοποιήσει. Και ποια είναι αυτά τα οποία δεν λέει αλλά ετοιμάζεται να κάνει; Αυτά που μας φανέρωσε ο κύριος Πνευματικός άθελά του, ο υποψήφιος βουλευτής της Νέας Δημοκρατίας και έγκυρος καθηγητής, ο οποίος μας είπε ότι το σχέδιο της Νέας Δημοκρατίας και του κυρίου Μητσοτάκη στην υγεία είναι ένα σχέδιο ιδιωτικοποιήσεων νοσοκομείων, κλεισίματος δημόσιων δομών, συρρίκνωσης των δημοσίων δαπανών -ο λέει και το μεσοπρόθεσμο- αλλά ακόμα και διαλογής ασθενών. Μας είχε πει ο Μητσοτάκης ότι θα ανατριχιάσουμε με το σχέδιο του για την υγεία. Ήρθε λοιπόν η ώρα να ανατριχιάσουμε. Διαλογή ασθενών σημαίνει ότι όταν θα πηγαίνει στο δημόσιο νοσοκομείο κάποιος που θα έχει χαμηλό προσδόκιμο ζωής δεν θα του δίνεται η θεραπεία, διότι θα επιλέγεται να δοθεί σε κάποιον που έχει μεγαλύτερο προσδόκιμο ζωής και όποιος δεν έχει προσδόκιμο ζωής, ας πηγαίνει σε κάποιο ιδιωτικό θεραπευτήριο. Αυτή είναι η κυνική αντίληψη η νεοφιλελεύθερη για το κοινωνικό κράτος, για τη δημόσια υγεία. ",criticism,health,privatization of healthcare,-0.9,0.2,0.2,"[['mr. pneimatikos', 'person', '0.8'], ['new democracy', 'organization', '0.8'], ['mr. mitsotakis', 'person', '0.8'], ['new democracy parliamentary candidate', 'group of people', '0.8'], ['medium-term plan', 'date', '0.6'], ['public hospital', 'organization', '0.8'], ['private hospital', 'organization', '0.8']]"
10,"Against the hidden agenda of New Democracy, we have our own plan and programme. Our plan prioritizes human life and does not discriminate based on economic ability, race, religion, or color. Our main priority is a healthcare system that is open and accessible to all citizens, regardless of economic ability. We will strengthen public hospitals by recruiting doctors and nurses and utilizing resources from the Recovery Fund. The outgoing government only allocated 2% of the Recovery Fund resources for public health, while other European countries, mainly in the European South, provide more than 10%. We have a plan to support the NHS, its workers, and primary healthcare. When we were in government under tough fiscal pressure, we integrated two and a half million uninsured people into the National Health System. No citizen, insured or uninsured, is left out of the healthcare system.","Απέναντι λοιπόν σε αυτό το κρυφό πρόγραμμα της Νέας Δημοκρατίας, εμείς έχουμε το δικό μας σχέδιο και το δικό μας πρόγραμμα. Το δικό μας σχέδιο βάζει σε προτεραιότητα την ανθρώπινη ζωή. Δεν κάνει διακρίσεις απέναντι σε ανθρώπους ανάλογα με την οικονομική τους δυνατότητα, ανάλογα με τη ράτσα τους, με τη θρησκεία τους, με το χρώμα τους. Γι'αυτό βασική μας προτεραιότητα θα είναι ένα σύστημα υγείας, το οποίο θα είναι ανοιχτό και προσβάσιμο για όλους τους πολίτες, ανεξάρτητα από την οικονομική τους δυνατότητα. Δημόσια νοσοκομεία, ισχυρά, με προσλήψεις γιατρών και νοσηλευτών για να μπορέσουν να αντέξουνε, αξιοποίηση των πόρων του Ταμείου Ανάκαμψης που η κυβέρνηση η απελθούσα χρησιμοποιεί μονάχα, προβλέπει μονάχα το 2% των πόρων του Ταμείου Ανάκαμψης για τη δημόσια υγεία, ενώ άλλες χώρες ευρωπαϊκές, του ευρωπαικού Νότου κυρίως, πάνω από 10%. Εμείς λοιπόν, έχουμε σχέδιο να στηρίξουμε το ΕΣΥ, να στηρίξουμε τους ανθρώπους που δουλεύουν στο ΕΣΥ, που δώσανε τη μάχη στην πρώτη γραμμή της πανδημίας και να στηρίξουμε και την πρωτοβάθμια φροντίδα υγείας. Όταν ήμαστε κυβέρνηση κάτω από τις πιο σκληρές και δύσκολες συνθήκες, με μια τρομακτική πίεση τότε δημοσιονομική, παρόλα αυτά ήμασταν αυτοί που εντάξαμε, διότι η κάθε χαραμάδα που βρίσκαμε διαπραγμάτευσης την αξιοποιούσαμε προς όφελος της κοινωνίας, εντάξαμε δυόμισι εκατομμύρια ανασφάλιστους στο Εθνικό Σύστημα Υγείας, ιατροφαρμακευτικής περίθαλψης. Κανένας πολίτης, ασφαλισμένος ή ανασφάλιστος, δεν μένει έξω από το σύστημα υγείας. ",political agenda,health,other,0.8,0,0,"[['new democracy', 'political party', '1'], ['nhs', 'organization', '1'], ['national health system', 'organization', '1'], ['european south', 'location', '1'], ['recovery fund', 'organization', '1'], ['2%', 'percentage', '1'], ['10%', 'percentage', '1']]"
