id,text,text_el,is_criticism,topic-context,subtopic-context,sentiment,polarization-definition,populism-definition,ner-limited
1,"Citizens of Ioannina, friends, your presence here today sends a message of determination and uncompromising struggle. I want to begin this speech by committing to you that we are and will be here, and we will fight together until Sunday, until the ballot box, until the last second. We have learned in our lives and in our history, in our journey, not to give up the fight. We have learned not to give up; we have learned to fight to overturn results. So we will fight this battle until the last minute for the big upset. We will fight together until the polls on the 25th, but I pledge to you that we will be together on the 26th. Together, we will move forward to resist anti-people's policies, to defend the rights of society, to defend the interests of the social majority, but above all, to defend ideas and values. We are here and we are fighting in defiance of the political cost when it comes to defending values. Our program is for a just society and prosperity for all, to defend the self-worth of human life, humanity, solidarity, the supreme values of life, equality, and freedom.","Πολίτες των Ιωαννίνων, φίλες και φίλοι, η παρουσία σας σήμερα εδώ δίνει ένα μήνυμα αποφασιστικότητας και ασυμβίβαστου αγώνα. Και θέλω ξεκινώντας αυτή την ομιλία μου να δεσμευτώ απέναντί σας ότι είμαστε και θα είμαστε εδώ και θα δώσουμε μαζί τον αγώνα μέχρι την Κυριακή, μέχρι την κάλπη, μέχρι και το τελευταίο δευτερόλεπτο. Διότι έχουμε μάθει στη ζωή μας και στην ιστορία μας, στη διαδρομή μας, να μην εγκαταλείπουμε τη μάχη. Έχουμε μάθει να μην τα παρατάμε, έχουμε μάθει να αγωνιζόμαστε για να ανατρέπουμε αποτελέσματα. Θα δώσουμε λοιπόν αυτή τη μάχη μέχρι το τελευταίο λεπτό για τη μεγάλη ανατροπή. Θα αγωνιστούμε μαζί μέχρι τις κάλπες στις 25 του μήνα, αλλά δεσμεύομαι απέναντί σας ότι θα είμαστε μαζί και στις 26 του μήνα. Μαζί θα προχωρήσουμε μπροστά για να αντισταθούμε στις αντιλαϊκές πολιτικές, για να υπερασπιστούμε τα δικαιώματα της κοινωνίας, να υπερασπιστούμε τα συμφέροντα της κοινωνικής πλειοψηφίας. Να υπερασπιστούμε όμως πάνω απ' όλα ιδέες και αξίες. Διότι εμείς είμαστε εδώ και αγωνιζόμαστε αψηφώντας το πολιτικό κόστος όταν είναι να υπερασπιστούμε αξίες. Το πρόγραμμά μας για μια δίκαιη κοινωνία και ευημερία για όλους, να υπερασπιστούμε την αυταξία της ανθρώπινης ζωής, την ανθρωπιά, την αλληλεγγύη, τις υπέρτατες αξίες της ζωής, της ισότητας και της ελευθερίας.",political agenda,elections,austerity,,0.2,0.0,"[['ioannina', 'location', '1.0'], ['group of people', 'friends', '0.7'], ['sunday', 'date', '0.7'], ['25th', 'date', '0.8'], ['26th', 'date', '0.8'], ['political party', 'society', '0.6']]"
2,"Friends and fellow citizens of Ioannina, today we witnessed a significant development - the withdrawal of New Democracy's candidate in Rhodope, Mr. A, from the already printed ballot papers. This withdrawal has exposed yet another bankruptcy, this time a moral one. The irresponsible attempt to involve our sensitive national issues in the electoral debate has failed in the eyes of the public. Mr. Mitsotakis' attempt to turn a sensitive national issue, such as that of Thrace, into a central issue of the electoral contest, simply because they cannot tolerate a 'pink slip' on the blue map, is proof of their arrogance.","Φίλες και φίλοι, πολίτες των Ιωαννίνων, σήμερα είχαμε μια εξέλιξη, είχαμε την απόσυρση από τα ήδη τυπωμένα ψηφοδέλτια της Νέας Δημοκρατίας του υποψηφίου της στη Ροδόπη κ. Κατραντζή. Μια απόσυρση που αποκάλυψε το μέγεθος μιας ακόμη χρεοκοπίας, αυτή τη φορά ηθικής χρεοκοπίας. Χρεοκόπησε σε δημόσια θέα αυτή η ανεύθυνη επιχείρηση εμπλοκής των ευαίσθητων εθνικών μας θεμάτων, μέσα στην προεκλογική αντιπαράθεση. Χρεοκόπησε η απόπειρα, του κ. Μητσοτάκη να μετατρέψει ένα ευαίσθητο εθνικό θέμα, αυτό της Θράκης, σε κεντρικό θέμα της προεκλογικής αναμέτρησης, μόνο και μόνο επειδή δεν ανέχονται -όπως είπαν- στον μπλε χάρτη μια «ροζ κουτσουλιά», έτσι είπαν. Και αυτό αποδεικνύει την έπαρσή τους, αυτό αποδεικνύει την αλαζονεία τους.",criticism,elections,election spending,-0.8,0.2,0.0,"[['ioannina', 'location', '1.0'], ['new democracy', 'political party', '1.0'], ['rhodope', 'location', '1.0'], ['mr. a', 'person', '1.0'], ['mitsotakis', 'person', '1.0'], ['thrace', 'location', '1.0']]"
3,"The project of turning the National Intelligence Service into a personal tool of Mr Mitsotakis, who uses it to monitor his political opponents and trap them, is being attempted once again. He has put the predator's NSA to tell us who we should and shouldn't have on our ballots, but he didn't pay attention to the details. In the document he sent us, they seem to have forgotten to cross out the reference to their own candidate as ""recruited"" even in Ankara and the Turkish Consulate. For two weeks, they have been brazenly asking us for change for our own candidates while keeping their own candidate on the ballot paper, even though they themselves described him as a recruit in Ankara.","Χρεοκόπησε το εγχείρημα της μετατροπής, για άλλη μια φορά, της Εθνικής Υπηρεσίας Πληροφοριών σε προσωπικό εργαλείο του κ. Μητσοτάκη, που το στρέφει πότε για να παρακολουθεί τους πολιτικούς του αντιπάλους και πότε για να τους παγιδεύει. Αυτό πήγε να κάνει και τώρα. Έβαλε την ΕΥΠ του predator να μας υποδείξει ποιόν πρέπει να έχουμε και ποιόν δεν πρέπει να έχουμε στα ψηφοδέλτιά μας. Δεν πρόσεξε όμως τις λεπτομέρειες. Γιατί στο έγγραφο που μας έστειλε, φαίνεται ξέχασαν να σβήσουν την αναφορά στο δικό τους υποψήφιο ως «στρατευμένο» μάλιστα στην Άγκυρα και στο Τουρκικό Προξενείο. Και επί δύο βδομάδες μας ζήταγαν με θράσος τα ρέστα για τους δικούς μας υποψήφιους, ενώ διατηρούσαν τον δικό τους στα ψηφοδέλτια, παρ' ότι οι ίδιοι τον χαρακτήριζαν στρατευμένο στην Άγκυρα.",criticism,transparency,other,-0.8,0.0,0.0,"[['national intelligence service', 'organization', '0.75'], ['mitsotakis', 'person', '0.75'], ['ankara', 'location', '0.9'], ['turkish consulate', 'organization', '0.75']]"
4,"They asked us for statements of nationalism boldly, playing with the homeland irresponsibly and frivolously, while their own candidate for parliament made statements about the ""Turks of Western Thrace"". And so we all realized one thing: how hypocritical, ruthless, irresponsible, and dangerous Mr. Mitsotakis is, after all, when it comes to nationalism. New Democracy has learned a great lesson today.","Μας ζήταγαν με θράσος δηλώσεις εθνικοφροσύνης, παίζοντας ανεύθυνα και επιπόλαια με την πατρίδα, ενώ ο δικός τους υποψήφιος βουλευτής έκανε δηλώσεις για “Τούρκους της δυτικής Θράκης”. Κι έτσι όλοι συνειδητοποιήσαμε ένα πράγμα: πόσο υποκριτής, πόσο αδίστακτος, πόσο ανεύθυνος, πόσο επικίνδυνος εθνικά είναι τελικά ο κ. Μητσοτάκης. Η Νέα Δημοκρατία πήρε σήμερα ένα μεγάλο μάθημα. ",criticism,national security,other,-0.7,0.9,0.0,"[['mr. mitsotakis', 'person', '0.7'], ['new democracy', 'organization', '0.6'], ['western thrace', 'location', '0.6']]"
5,"SYRIZA-Progressive Alliance has not been, is not, and will not be a convenient opponent for them. I ask them to think about it. Convenient bipartisanship does not work for them. Fragmenting the vote into smaller, convenient protest parties will not work for them. SYRIZA-Progressive Alliance will remain a strong pole of alternative governance against their unpopular plans.","Ο ΣΥΡΙΖΑ-Προοδευτική Συμμαχία δεν ήταν, δεν είναι και δεν θα γίνει γι' αυτούς βολικός αντίπαλος και τους ζητώ να το βάλουν καλά στο μυαλό τους. Ο βολικός δικομματισμός δεν τους βγαίνει. Ο κατακερματισμός της ψήφου σε μικρότερα βολικά κόμματα διαμαρτυρίας δεν θα τους βγει. Ο ΣΥΡΙΖΑ-Προοδευτική Συμμαχία θα παραμείνει ισχυρός πόλος της εναλλακτικής διακυβέρνησης απέναντι στα αντιλαϊκά τους σχέδια.",criticism,elections,coalition,-0.5,0.0,0.0,"[['syriza-progressive alliance', 'organization', '1.0']]"
6,"Citizens of Ioannina and friends, the upcoming ballot box on Sunday has a double peculiarity. On the one hand, it follows the ballot of the simple proportional representation of May 21st, and in this sense, it carries a fresh popular mandate and an unfavorable correlation. But at the same time, it is also a new election with a new electoral system. It is not the second round that we have on the Sunday of the first round. It is a completely new electoral contest. To those who are in a hurry to predict the outcome of the popular verdict, I want to say, do not do so. Because the citizens will go into this election with the idea in their minds that it will finally decide who and how they will govern for the next four years. It is a final decision on what program will govern the country for the next four years. We call on Greek citizens to consider which programs are being put up for debate. There are two alternative plans: a plan to protect society and a plan, on the other hand, which is extremely neoliberal, aimed at the expansion of the private sphere, the plundering, I would say, of society.","Πολίτες των Ιωαννίνων, φίλες και φίλοι, η κάλπη της ερχόμενης Κυριακής είναι μια κάλπη που έχει μια διπλή ιδιαιτερότητα. Από τη μια ακολουθεί την κάλπη της απλής αναλογικής της 21ης του Μάη και υπό αυτή την έννοια είναι μια κάλπη που κουβαλάει μια νωπή λαϊκή εντολή και έναν δυσμενή συσχετισμό. Όμως ταυτόχρονα είναι και μια νέα εκλογική αναμέτρηση με ένα νέο εκλογικό σύστημα. Δεν είναι ο δεύτερος γύρος αυτός που έχουμε την Κυριακή της πρώτης αναμέτρησης. Είναι μια εντελώς νέα εκλογική αναμέτρηση. Θέλω να πω σε όσους βιάζονται να προδικάσουν το αποτέλεσμα της λαϊκής ετυμηγορίας, να μην το κάνουν. Διότι οι πολίτες σε αυτή την εκλογική αναμέτρηση θα προσέλθουν έχοντας στο μυαλό τους ότι κρίνεται οριστικά το ποιος και πώς θα κυβερνήσει τα επόμενα τέσσερα χρόνια. Κρίνεται οριστικά με ποιο πρόγραμμα θα κυβερνηθεί ο τόπος τα επόμενα τέσσερα χρόνια. Κι εμείς καλούμε τους Έλληνες πολίτες να αναλογιστούν ποια είναι τα προγράμματα που τίθενται σε αντιπαράθεση. Δυο είναι τα εναλλακτικά σχέδια: ένα σχέδιο προστασίας της κοινωνίας και ένα σχέδιο, από την άλλη μεριά, ακραία νεοφιλελεύθερο, που έχει στόχο την εξάπλωση της ιδιωτικής σφαίρας, τη λεηλασία, θα έλεγα εγώ, της κοινωνίας.",political agenda,elections,programmatic agreement,,0.6,0.0,"[['citizens of ioannina', 'group of people', '1.0'], ['sunday', 'date', '1.0'], ['may 21st', 'date', '1.0'], ['greek citizens', 'group of people', '1.0'], ['greek', 'country', '1.0']]"
7,"Today, New Democracy is attempting to justify its policies, what it has done, and what it has led to in recent years by citing its share in the May polls. It is attempting to justify its choices, which have cost human lives in the pandemic, destroyed the labor market, abolished the eight-hour working day, and led to the collapse of the National Health System.","Η Νέα Δημοκρατία επιχειρεί σήμερα να δικαιώσει την πολιτική της, όσα έκανε και σε όσα οδήγησε τα τελευταία χρόνια να γίνουν, επικαλούμενη το ποσοστό της στις κάλπες του Μάη. Επιχειρεί να δικαιώσει τις επιλογές της, που κόστισαν όμως ανθρώπινες ζωές στην πανδημία, που διέλυσαν την αγορά εργασίας, που κατάργησαν το οχτάωρο, που οδήγησαν στην κατάρρευση το Εθνικό Σύστημα Υγείας. ",criticism,pandemic,austerity,-0.8,0.2,0.0,"[['new democracy', 'organization', '0.8'], ['may', 'date', '0.8'], ['national health system', 'organization', '0.9']]"
8,"And that led to images like the ones we have seen in recent weeks, of our fellow human beings, such as the 63-year-old woman in Kos losing her life in the back of a car because there were no ambulance rescuers. And it did not just happen in Kos; it happened in Nea Makri and Halkidiki. That is our essential difference, the difference in values that we have with the neoliberal New Democracy.","Και που οδηγούν σε εικόνες σαν κι αυτές που είδαμε τις προηγούμενες εβδομάδες, συνανθρώπους μας όπως η 63χρονη στην Κω να χάνουν τη ζωή τους στην καρότσα αγροτικών αυτοκινήτων, επειδή δεν υπάρχουν διασώστες του ΕΚΑΒ. Και δεν έγινε μονάχα στην Κω, έγινε στη Νέα Μάκρη, έγινε στη Χαλκιδική. Αυτή είναι η ουσιώδης διαφορά μας, η αξιακή διαφορά που έχουμε με τη νεοφιλελεύθερη Νέα Δημοκρατία. ",criticism,health,public health system,-0.5,0.2,0.0,"[['kos', 'location', '0.9'], ['nea makri', 'location', '0.9'], ['halkidiki', 'location', '0.9'], ['new democracy', 'political party', '0.7']]"
9,"We defend human life as a value, while they calculate costs and damages.","Εμείς υπερασπιζόμαστε, προασπίζουμε ως αξία την ανθρώπινη ζωή και αυτοί μετράνε κόστη και ζημιές. ",political agenda,human rights,other,0.4,0.2,0.0,"[['human life', 'group of people', '1.0'], ['value', 'group of people', '0.9']]"
10,"I said that New Democracy is trying to justify its policies and choices, which have destroyed the NHS.","Έλεγα ότι η Νέα Δημοκρατία προσπαθεί να δικαιώσει την πολιτική της και τις επιλογές της, επιλογές που διέλυσαν το ΕΣΥ. ",criticism,health,public health system,-0.7,0.1,0.0,"[['new democracy', 'organization', '0.9'], ['nhs', 'organization', '0.8']]"
