id,text,text_el,is_criticism,topic-context,subtopic-context,sentiment,polarization-definition,populism-definition,ner-limited
1,"Citizens of Patras are here together again, present and united in the call for hope, justice, life, and SYRIZA. Your presence today is even more important than a month ago when we filled this square. Today is a message of confidence and determination. Together, we will fight to reverse the results of the May ballot until the last second on Sunday. But on Monday, we will still be together. With your support, we will always be there for society and those we represent. Our commitment is to make SYRIZA-Progressive Alliance and the progressive democratic party of the country the government again soon. So that we can put into practice the hopes of the majority of Greek society. Because SYRIZA-Progressive Alliance is and will remain the party in power, not a party of protest or a supplement to right-wing governments.","Πολίτες της Πάτρας είμαστε εδώ και πάλι μαζί, παρόντες και παρούσες όλες και όλοι στο κάλεσμα της ελπίδας, στο κάλεσμα της δικαιοσύνης, στο κάλεσμα της ζωής, στο κάλεσμα του ΣΥΡΙΖΑ. Και η παρουσία σας σήμερα είναι πολύ πιο σημαντική από τη παρουσία σας πριν από έναν μήνα, που ξαναγεμίσαμε τούτη εδώ την πλατεία. Γιατί σήμερα είναι μήνυμα εμπιστοσύνης, σήμερα είναι μήνυμα αποφασιστικότητας. Μαζί θα αγωνιστούμε για να ανατρέψουμε τους συσχετισμούς της κάλπης του Μάη. Μαζί θα αγωνιστούμε μαζί μέχρι το τελευταίο δευτερόλεπτο την Κυριακή στην κάλπη για  να ανατρέψουμε το αποτέλεσμα. Μαζί όμως, και αυτή είναι η δέσμευσή μου απέναντί σας, θα είμαστε κι από Δευτέρα. Μαζί θα αγωνιστούμε. Με τη δική σας στήριξη θα αγωνιστούμε για να είμαστε πάντοτε δίπλα στην κοινωνία, δίπλα σε αυτούς που εκφράζουμε και εκπροσωπούμε. Αλλά και για να ξανακάνουμε πολύ σύντομα τον ΣΥΡΙΖΑ-Προοδευτική Συμμαχία και τη προοδευτική δημοκρατική Παράταξη του τόπου κυβέρνηση ξανά. Για να μπορέσουμε να κάνουμε πράξη τις ελπίδες της πλειοψηφίας της ελληνικής κοινωνίας. Γιατί ο ΣΥΡΙΖΑ-Προοδευτική Συμμαχία, πολίτες της Πάτρας, είναι και θα παραμείνει κόμμα εξουσίας. Ούτε κόμμα διαμαρτυρίας, ούτε και συμπλήρωμα σε κυβερνήσεις της Δεξιάς.",political agenda,other,other,0.9,0.1,0.0,"[['citizens of patras', 'group of people', '1.0'], ['patras', 'location', '1.0'], ['syriza', 'political party', '1.0'], ['may', 'date', '1.0'], ['greek', 'country', '1.0']]"
2,"We will fight together, because that is what we have learned. To fight and not to run away. SYRIZA-Progressive Alliance was born and grew in battles for our values, ideals, homeland, and human life, which for us makes no difference in color, religion, or nationality. We do not measure human life in euros or votes. We fight for the people who are fighting to make a better life for themselves and their children. For these people, we fight and will fight.","Θα παλέψουμε μαζί, γιατί έτσι έχουμε μάθει. Να παλεύουμε και να δίνουμε μάχες, να μη φυγομαχούμε. Μέσα σε μάχες γεννήθηκε και μεγάλωσε ο ΣΥΡΙΖΑ-Προοδευτική Συμμαχία. Μάχες για τις αξίες μας, μάχες για τα ιδανικά μας, μάχες για την πατρίδα, μάχες για την ανθρώπινη ζωή, που για εμάς δεν έχει διαφορά από το χρώμα, τη θρησκεία, την εθνικότητα. Και δεν μετράμε την ανθρώπινη ζωή ούτε σε ευρώ ούτε σε ψήφους. Μάχες για τους ανθρώπους που αγωνίζονται για να φτιάξουν μια καλύτερη ζωή γι' αυτούς και τα παιδιά τους.  Γι' αυτούς τους ανθρώπους πολεμάμε και θα πολεμάμε. ",political agenda,other,other,0.8,0.1,0.0,"[['syriza-progressive alliance', 'organization', '0.95'], ['homeland', 'location', '0.7'], ['human life', 'group of people', '0.6'], ['color', 'nationality', 'group of people', '0.5'], ['religion', 'nationality', 'group of people', '0.5'], ['euros', 'date', '0.4'], ['votes', 'date', '0.4']]"
3,"And they tried, I want to remind you, many times to take us out of the way, but they did not succeed then, when everything was overshadowed by the fear of the lenders and the memoranda. They will not succeed now either because we know that lost struggles are only those that are not given, and we have never been cowardly enough to give the fight under the most difficult circumstances. When some people had written us off and said that we would leave the country in helicopters, remember then... We did not run away, and we came out victorious in that fight. We settled the public debt, got the country out of the memoranda, left 40 billion in the public coffers, and we are proud that the conservative party sunk the country into memoranda and bankruptcy, and we were the ones who got the country out of the memoranda and bankruptcy.","Και προσπάθησαν, θέλω να σας θυμίσω, πολλές φορές να μας βγάλουν από τη μέση. Δεν τα κατάφεραν όμως τότε, που όλα τα ‘σκιαζε η φοβέρα των δανειστών και των μνημονίων. Δεν θα τα καταφέρουν ούτε και τώρα! Γιατί ξέρουμε ότι χαμένοι αγώνες είναι μόνο αυτοί που δεν δίνονται και εμείς δεν δειλιάσαμε ποτέ να δώσουμε τον αγώνα κάτω από τις πιο δύσκολες συνθήκες. Όταν κάποιοι μας είχαν ξεγραμμένους και έλεγαν ότι θα φύγουμε από τη χώρα με ελικόπτερα. Θυμάστε τότε… Δεν το βάλαμε στα πόδια και βγήκαμε νικητές από αυτό τον αγώνα. Ρυθμίσαμε το δημόσιο χρέος, βγάλαμε τη χώρα από τα μνημόνια, αφήσαμε 40 δισ. στα δημόσια ταμεία και είμαστε περήφανοι που η συντηρητική Παράταξη βούλιαξε τη χώρα στα μνημόνια και στη χρεοκοπία και εμείς ήμασταν αυτοί που βγάλαμε τη χώρα από τα μνημόνια και τη χρεοκοπία. ",criticism,debt,austerity,0.6,0.2,0.0,"[['lenders', 'group of people', '0.5'], ['memoranda', 'organization', '0.5'], ['country', 'location', '1.0'], ['conservative party', 'political party', '1.0'], ['bankruptcy', 'organization', '0.5']]"
4,"And so it is now, because we know that the correlations are there to change, that history is written by the people. And nothing, believe me, is decided until the people put their stamp on it with their vote. Friends, citizens of Patras, next Sunday's election is a peculiar contest. It is very close and therefore in the shadow of the previous contest, but it is not the second round of the previous election. It is a new election. A contest, in fact, this time with a different electoral system, the enhanced proportional representation system. With a threatening, arrogant right-wing that seeks not just to win, but to become the regime from Monday. And with new dilemmas, much tougher, before the ballot box.","Έτσι και τώρα, γιατί ξέρουμε ότι οι συσχετισμοί είναι για να αλλάζουν, ότι την Ιστορία τη γράφουν οι λαοί. Και τίποτε, πιστέψτε με, δεν έχει κριθεί πριν ο λαός με την ψήφο του βάλει την σφραγίδα του. Φίλες και φίλοι, πολίτες της Πάτρας, η εκλογική αναμέτρηση της επόμενης Κυριακής είναι μια ιδιόμορφη αναμέτρηση. Γίνεται πολύ κοντά και άρα είναι στη σκιά της προηγούμενης αναμέτρησης, αλλά δεν είναι ο δεύτερος γύρος των προηγούμενων εκλογών. Είναι μια καινούργια εκλογική αναμέτρηση. Μια αναμέτρηση, μάλιστα, αυτή τη φορά με άλλο εκλογικό σύστημα, με το σύστημα της ενισχυμένης αναλογικής. Με μια απειλητική, αλαζονική Δεξιά που επιδιώκει όχι απλά να κερδίσει, αλλά να γίνει καθεστώς από Δευτέρα. Και με  νέα διλήμματα, πολύ σκληρότερα, μπροστά στην κάλπη. ",criticism,elections,election spending,-0.6,0.2,0.0,"[['patras', 'location', '1.0'], ['next sunday', 'date', '1.0'], ['election', 'organization', '1.0'], ['electoral system', 'organization', '1.0'], ['right-wing', 'political party', '1.0'], ['regime', 'organization', '1.0']]"
5,"Those who are discounting the outcome, we would recommend that they do not rush to discount it. Citizens will be asked to judge on the basis of certain new facts: the unfavorable correlation for their lives resulting from the proportional representation ballots, the positions, attitude, arrogance, and lack of concealment of New Democracy between the two elections, the national levity shown on Thrace, the divisive intentions and threats, as well as everything that New Democracy's candidates revealed about its true program and plans. Based on this, citizens will be called upon to decide who they want in the government, how much power they want in the opposition, and who they want in the opposition. The dilemmas, as in every enhanced proportional representation ballot, will be tough. We do not make them; life itself makes them and the electoral system that this time gives a 50-seat bonus to the first party.","Όσοι προεξοφλούν το αποτέλεσμα, θα τους συνιστούσαμε να μη βιάζονται να το προεξοφλήσουν. Οι πολίτες θα κληθούν να κρίνουν με βάση ορισμένα νέα δεδομένα: Τον δυσμενή για τη ζωή τους συσχετισμό, που προέκυψε από τις κάλπες της απλής αναλογικής. Τις θέσεις, τη στάση, την έπαρση και την αλαζονεία, που δεν κρύβεται, της Νέας Δημοκρατίας στο μεσοδιάστημα μεταξύ των δύο αναμετρήσεων. Την εθνική ελαφρότητα όμως που επέδειξαν για τη Θράκη, τις διχαστικές προθέσεις και απειλές, αλλά και όλα όσα αποκάλυψαν υποψήφιοι βουλευτές της Νέας Δημοκρατίας για το αληθινό πρόγραμμα και τα αληθινά σχέδιά της. Και με βάση αυτά θα κληθούν να αποφασίσουν οι πολίτες ποιον και με πόση δύναμη θέλουν στη θέση της κυβέρνησης και ποιον και με πόση δύναμη στη θέση της αντιπολίτευσης. Και τα διλήμματα, όπως και σε κάθε κάλπη ενισχυμένης αναλογικής, θα είναι σκληρά. Δεν τα βάζουμε εμείς, τα βάζει η ίδια η ζωή και το εκλογικό σύστημα που δίνει αυτή τη φορά 50 έδρες bonus στο πρώτο κόμμα. ",criticism,elections,other,0.0,0.5,0.2,"[['new democracy', 'organization', '1.0'], ['thrace', 'location', '0.7']]"
6,"On Sunday, there will be only two alternative strategies and programmes of governance at the people's discretion: the strategy and programme of the outgoing New Democracy government of Mr Mitsotakis, and the strategy and programme of the opposition - the programmes of New Democracy and Syriza. These two will be confronted on Sunday, June 25th.","Και στην κρίση του λαού τη Κυριακή θα είναι δυο μόνο εναλλακτικές  στρατηγικές και δύο μόνο προγράμματα διακυβέρνησης: η στρατηγική και το πρόγραμμα της απελθούσας κυβέρνησης της Νέας Δημοκρατίας του κ. Μητσοτάκη, και η στρατηγική και το πρόγραμμα της αξιωματικής αντιπολίτευσης. Το πρόγραμμα της Νέας Δημοκρατίας και το πρόγραμμα του ΣΥΡΙΖΑ. Αυτά τα δυο αντιπαρατίθενται την Κυριακή στις 25 του Ιούνη.",political agenda,elections,election spending,0.0,0.3,0.0,"[['new democracy', 'organization', '0.7'], ['mr mitsotakis', 'person', '0.7'], ['opposition', 'group of people', '0.7'], ['new democracy', 'organization', '0.7'], ['syriza', 'political party', '0.7'], ['sunday', 'date', '0.7'], ['june 25th', 'date', '0.7']]"
7,"Only friends and citizens of Patras, the true program of New Democracy has been revealed in the last few days, albeit slowly. It is not the lavish promises of Mr. Mitsotakis. It is what he submitted to the European Commission in Brussels as the Stability Program two months ago. No matter what they tell us, no matter what they promise, this is their program.","Μόνο που, φίλες και φίλοι, πολίτες της Πάτρας, το αληθινό πρόγραμμα της Νέας Δημοκρατίας, έστω και αργά, αποκαλύφθηκε τις τελευταίες ημέρες. Δεν είναι οι πλουσιοπάροχες υποσχέσεις του κ. Μητσοτάκη. Είναι αυτό που έχει καταθέσει στην Ευρωπαϊκή Επιτροπή, στις Βρυξέλλες, ως Πρόγραμμα Σταθερότητας, πριν από δύο μήνες. Ό,τι και να μας λένε, όσα και να υπόσχονται, αυτό είναι το πρόγραμμά τους. ",political agenda,economy,austerity,0.0,0.1,0.0,"[['patras', 'location', '1.0'], ['new democracy', 'political party', '0.75'], ['mr. mitsotakis', 'person', '0.5'], ['european commission', 'organization', '1.0'], ['brussels', 'location', '1.0'], ['stability program', 'organization', '0.5']]"
8,"Yesterday, finally, the former minister in charge, Mr. Skylakakis, publicly confessed that ""none of Mitsotakis' election announcements were included in the Stability Programme submitted to Brussels."" He admitted that everything they promised was just a puff of air, meaningless wishful thinking, ashes in the eyes of the Greek people.","Χθες, επιτέλους, ο καθ’ ύλην αρμόδιος πρώην υπουργός, ο  κ. Σκυλακάκης ομολόγησε  δημόσια ότι “καμία από τις προεκλογικές εξαγγελίες Μητσοτάκη δεν περιλαμβάνονται στο Πρόγραμμα Σταθερότητας που κατέθεσαν στις Βρυξέλες”. Ομολόγησε δημόσια ότι όλα όσα υπόσχονται, είναι αέρας κοπανιστός, είναι ακοστολόγητα ευχολόγια, στάχτη στα μάτια του ελληνικού λαού. ",criticism,other,election spending,-0.9,0.0,0.0,"[['skylakakis', 'person', '0.85'], ['mitsotakis', 'person', '0.85'], ['brussels', 'location', '0.85'], ['greek', 'country', '0.85']]"
9,"Because their actual program does not deliver, as promised, a 25% increase in the average wage over the next four years, but rather a stagnant average real wage over the next four years.","Γιατί το αληθινό τους πρόγραμμα δεν προβλέπει, όπως υπόσχονται, αυξήσεις στον μέσο μισθό της τάξης του 25% στο βάθος της τετραετίας, αλλά καθηλωμένο μέσο πραγματικό μισθό την επόμενη τετραετία.",criticism,employment,other,-0.8,0.1,0.0,[]
10,"It does not provide for 10,000 new recruits in the NHS, as Mr Mitsotakis promised, but only provides for 10,000 replacements of those who will leave, which will be more than 10,000.","Δεν προβλέπει 10.000 νέες προσλήψεις στο ΕΣΥ, όπως υποσχέθηκε ο κ. Μητσοτάκης, αλλά προβλέπει μονάχα 10.000 αντικαταστάσεις από όσους θα αποχωρήσουν, που θα είναι περισσότεροι από 10.000.",criticism,other,public health system,-0.5,0.0,0.0,"[['mr mitsotakis', 'person', '0.8'], ['nhs', 'organization', '0.7']]"
