id,text,text_el,is_criticism,is_criticism_corrected,topic-context,topic-context_corrected,subtopic-context,sentiment,polarization-definition,populism-definition,ner-limited
1,"Citizens of Athens, comrades, friends, we are all here once again, present and accounted for in the democratic call to struggle. We are here to defend principles and values, to fight against subversion, and to ensure that the hope of justice, equality, and solidarity in this land is not extinguished. We are here to fight this battle. As the saying goes, it is allowed to fall, but it is imperative to get back up. And we are already on our feet. We are already standing, and we will continue to stand to defend our values, principles, and ideals. This fight is more valuable, more crucial, and more useful than any other fight. We are all present, and even more so, because we have learned to fight when times are tough. We have learned to go against the current and to overturn correlations for the benefit of the forces of the social majority.","Πολίτες της Αθήνας, συντρόφισσες και σύντροφοι, φίλες και φίλοι, είμαστε πάλι όλες και όλοι εδώ, παρούσες και παρόντες στο δημοκρατικό προσκλητήριο του αγώνα. Είμαστε εδώ για να υπερασπιστούμε αρχές και αξίες. Για να δώσουμε τη μάχη της ανατροπής! Για να μην αφήσουμε να σβήσει η ελπίδα της δικαιοσύνης, της ισότητας και της αλληλεγγύης σε αυτόν τον τόπο. Είμαστε εδώ για να δώσουμε τη μάχη. Επιτρέπεται να πέσεις, λέει το ρητό, επιβάλλεται να σηκωθείς. Και είμαστε ήδη όρθιοι. Είμαστε ήδη όρθιοι και θα είμαστε όρθιοι για να υπερασπιστούμε τις αξίες, τις αρχές, τα ιδανικά μας. Να δώσουμε αυτό τον αγώνα που είναι πιο πολύτιμος, πιο κρίσιμος, πιο χρήσιμος από κάθε άλλον αγώνα. Και είμαστε όλες και όλοι παρόντες, και ακόμη περισσότεροι, γιατί έχουμε μάθει να παλεύουμε στα δύσκολα. Και έχουμε μάθει να πηγαίνουμε κόντρα στο ρεύμα και να ανατρέπουμε συσχετισμούς, προς όφελος των δυνάμεων της κοινωνικής πλειοψηφίας.",political agenda,,democracy,elections,other,0.5,0.1,0,"[['citizens of athens', 'group of people', '1.0'], ['democratic', 'organization', '0.5'], ['justice', 'organization', '0.5'], ['equality', 'organization', '0.5'], ['solidarity', 'organization', '0.5'], ['athens', 'location', '1.0']]"
2,"That is what we are doing in this crucial battle, and we will do it with more conviction this time until the polls close on Sunday. We will not let a second go to waste without fighting to get the dilemma and the message across to society - our message and the dilemma of the ballot box. Because on Sunday, the elections will not only decide the winner and the loser, but they will also decide who will govern the country for the next four years and with which programme. They will also decide how social and political resistances will be organized in the next four years and, in short, they will decide the quality of our democracy, the conditions of our lives, and the future of all of us. They will decide what kind of Greece we and our children want to live in. The dilemmas at the ballot box are very tough because this time we are voting again under the enhanced proportional representation system. There are only two alternative plans for power and governance that are being pitted against each other on Sunday - two different plans, two different concepts, two different visions for Greece. Our vision is that of a country and a society of democracy and justice.","Αυτό κάνουμε και σε αυτή την κρίσιμη μάχη. Και αυτό θα κάνουμε με περισσότερο πείσμα τούτη τη φορά, μέχρι να κλείσουν οι κάλπες την Κυριακή. Δεν θα αφήσουμε δευτερόλεπτο να πάει χαμένο, που να μην αγωνιστούμε για να περάσουμε στην κοινωνία το δίλημμα και το μήνυμα, το μήνυμα το δικό μας αλλά και το δίλημμα της κάλπης. Γιατί την Κυριακή οι εκλογές δεν θα κρίνουν μονάχα τον νικητή και τον ηττημένο, θα κρίνουν ποιος και με ποιο πρόγραμμα θα κυβερνήσει τον τόπο τα επόμενα τέσσερα χρόνια. Θα κρίνουν και πώς και με ποια δύναμη θα οργανωθούν οι κοινωνικές και πολιτικές αντιστάσεις, τα επόμενα τέσσερα χρόνια. Άρα, με δυο λόγια, θα κρίνουν την ποιότητα της Δημοκρατίας μας, τις συνθήκες της ζωής μας, το μέλλον όλων μας. Θα κρίνουν σε ποια Ελλάδα θέλουμε να ζήσουμε, εμείς και τα παιδιά μας. Και τα διλήμματα της κάλπης είναι πολύ σκληρά, γιατί αυτή τη φορά ψηφίζουμε ξανά με το σύστημα ενισχυμένης αναλογικής. Και δύο μόνο είναι τα εναλλακτικά σχέδια εξουσίας και διακυβέρνησης που αναμετρώνται τη Κυριακή, δυο διαφορετικά σχέδια, δύο διαφορετικές αντιλήψεις, δύο διαφορετικά οράματα για την Ελλάδα. Το δικό μας όραμα είναι αυτό μιας χώρας και μιας κοινωνίας δημοκρατίας και δικαιοσύνης. ",political agenda,,elections,,other,0.7,0.2,0,"[['sunday', 'date', '1.0'], ['greece', 'country', '1.0']]"
3,A country and a society with fewer inequalities. A country and an economy where the produced wealth is increased and shared fairly and equitably among citizens.,Μιας χώρας και μιας κοινωνίας με λιγότερες ανισότητες. Μιας χώρας και μιας οικονομίας όπου ο παραγόμενος πλούτος θα αυξάνεται και θα διαμοιράζεται δίκαια και ισότιμα μεταξύ των πολιτών.,political agenda,,economy,,economic equity,0.5,0,0,[]
4,"A country where its citizens will not die in the back of a pickup truck because there will be no ambulance. A country of humanity that will take care of all its people, regardless of their economic means.","Μιας χώρας όπου οι πολίτες της δεν θα πεθαίνουν στην καρότσα ενός αγροτικού αυτοκινήτου, γιατί δεν θα υπάρχει ασθενοφόρο. Μιας χώρας ανθρωπιάς που θα φροντίζει όλους τους ανθρώπους της, ανεξαρτήτως της οικονομικής τους δυνατότητας.",political agenda,,health,,public welfare,0.8,0,0,[]
5,"A country where every citizen will have equal opportunities with the rest. A country and society with strong institutions, anchored democracy, and a strong welfare state.","Μιας χώρας που κάθε πολίτης θα έχει μπροστά του ίσες ευκαιρίες με τους υπόλοιπους. Μιας χώρας και μιας κοινωνίας με ισχυρούς θεσμούς, εμπεδωμένη Δημοκρατία, ισχυρό κοινωνικό κράτος. ",political agenda,,social state,,other,0.5,0,0,[]
6,"With workers who will be paid better for their work, in conditions of security and dignity.","Με εργαζόμενους και εργαζόμενες που θα αμείβονται καλύτερα για τη δουλειά τους, σε συνθήκες ασφάλειας και αξιοπρέπειας. ",political agenda,,employment,,wages,0.6,0,0,[]
7,"Small and medium-sized entrepreneurs should not be taxed to enrich the oligarchy, but should share the burden equally and proportionally.","Όπου οι μικρομεσαίοι επιχειρηματίες δεν θα φορολεηλατούνται για να πλουτίζει η ολιγαρχία, αλλά θα συμμετέχουν ισότιμα και αναλογικά στα βάρη.",political agenda,,other,entrepreneurship,tax cuts,-0.2,0,0.2,[]
8,"A young couple will be able to have children whenever they want, because they will have support from the state to live in an affordable home, work for decent wages, and send their children to public daycare.","Όπου ένα νέο ζευγάρι θα μπορεί να αποκτήσει παιδιά όποτε το επιθυμεί, γιατί θα έχει στήριξη από την πολιτεία να μείνει σε προσιτό οικονομικά σπίτι, να δουλέψει με αξιοπρεπείς μισθούς, να στείλει σε δημόσιους βρεφικούς σταθμούς τα παιδιά του.",political agenda,,housing,social state,affordable housing,0.75,0,0,"[['state', 'organization', '0.8'], ['public daycare', 'organization', '0.7']]"
9,"Where a young farmer can stay in the countryside, with the tools and support to earn a decent income.","Όπου ένας νέος αγρότης θα μπορεί να μείνει στην ύπαιθρο, με εφόδια και στήριξη για να έχει ένα αξιοπρεπές εισόδημα.",political agenda,,agricultural policy,,employment,0.6,0,0,[]
10,"A person with a disability can live, work, play, and have fun like any other person.","Όπου ένας άνθρωπος με αναπηρία θα ζει, θα εργάζεται, θα ψυχαγωγείται και θα διασκεδάζει όπως κάθε άλλος άνθρωπος.",political agenda,,other,human rights,other,1,0,0,"[['disability', 'group of people', '0.7'], ['person', 'person', '1.0']]"
