id,text,text_el,is_criticism,topic-context,subtopic-context,sentiment,polarization-definition,populism-definition,ner-limited
1,"Citizens of Thessaloniki, we are once again joining together in this call for the struggle for democracy and justice. We are all here, present and united in this great and crucial struggle. Your presence here today is more important than ever before. As you know well in Thessaloniki, it is allowed to fall, but it is necessary to get up. And we are already up! We are on our feet, fighting for our ideals, values, and principles. We are fighting on behalf of the majority of Greek society, for justice and progress. Our weapons are our values, principles, dedication to justice, democracy, equality, and our love for humanity. Today, we are in the last turn of a difficult but beautiful battle, a crucial battle to overturn the correlations that were reflected in the ballot box of the simple proportional representation. We are all learned in these battles, accustomed to being present when democracy, the homeland, and justice demand it. No matter how much persecution, slander, or repression we face, we will continue to fight until the last second before the polls close. We know that these ballot boxes will determine who will govern this country for the next four years, with what program, means, and perspective. Sunday's elections will decide our lives for the next four years, but they will also decide the quality of our democracy. The dilemmas are tough, made tougher by the system of enhanced proportional representation, which gives a bonus of 50 seats to the first party. Because on Sunday, we do not have the second round of the previous contest.","Πολίτες της Θεσσαλονίκης, ανταμώνουμε και πάλι μαζί σ’ αυτό το προσκλητήριο του αγώνα για τη δημοκρατία και τη δικαιοσύνη. Και είμαστε πάλι μαζί, όλοι εδώ, παρούσες και παρόντες σ’ αυτό το μεγάλο, τον πιο κρίσιμο αγώνα! Και είναι πιο σημαντική η παρουσία σας σήμερα εδώ από κάθε άλλη φορά. Γιατί, όπως το ξέρετε εσείς εδώ καλά στη Θεσσαλονίκη, επιτρέπεται να πέσεις, επιβάλλεται να σηκωθείς. Και είμαστε ήδη όρθιοι! Όρθιοι δίνουμε τον αγώνα για τα ιδανικά μας, για τις αξίες μας, για τις αρχές μας! Δίνουμε τον αγώνα για λογαριασμό της πλειοψηφίας της ελληνικής κοινωνίας, τον αγώνα για τη δικαιοσύνη και την προκοπή. Με όπλα τις αξίες μας, τις αρχές μας, την αφοσίωση μας στη δικαιοσύνη, στη δημοκρατία, στην ισότητα και την αγάπη μας για τον άνθρωπο. Και είμαστε σήμερα στη τελευταία στροφή μιας δύσκολης αλλά και όμορφης μάχης. Μιας κρίσιμης μάχης. Της μάχης για την ανατροπή των συσχετισμών που αποτυπώθηκαν στην κάλπη της απλής αναλογικής. Της μάχης στο σήμερα, για να προστατεύσουμε το αύριο. Και είμαστε όλοι και όλες μαθημένοι σ’ αυτές τις μάχες. Είμαστε μαθημένοι να δίνουμε το παρών όταν η δημοκρατία, η πατρίδα, η δικαιοσύνη το ζητούν. Το κάναμε πάντοτε, στις πιο δύσκολες συνθήκες. Όσους διωγμούς, όση συκοφαντία, όση καταστολή κι αν σήμαινε αυτό. Το κάνουμε και σήμερα. Και θα το κάνουμε μέχρι το τελευταίο δευτερόλεπτο, πριν κλείσει η κάλπη! Γνωρίζουμε ότι από τις κάλπες αυτές θα βγει το ποιος θα κυβερνήσει τούτο τον τόπο τα επόμενα τέσσερα χρόνια. Με ποιο πρόγραμμα, ποια μέσα, ποια προοπτική. Και ποιος και πώς, με ποια δύναμη, θα δώσει δύναμη στις κοινωνικές αντιστάσεις, θα κρατήσει όρθια την κοινωνία, θα κρατήσει ακέραιες τις προσδοκίες της, θα σταθεί δίπλα στους αδύναμους, δίπλα σε όσες και όσους δεν έχουν φωνή! Οι εκλογές της Κυριακής, λοιπόν, θα κρίνουν τη ζωή μας για τα επόμενα τέσσερα χρόνια, θα κρίνουν όμως και την ποιότητα της Δημοκρατίας μας. Και τα διλήμματα, γνωρίζουμε ήδη, είναι σκληρά. Τα κάνει σκληρά το σύστημα της ενισχυμένης αναλογικής, που δίνει μπόνους 50 έδρες στο πρώτο κόμμα. Γιατί τη Κυριακή δεν έχουμε τον δεύτερο γύρο της προηγούμενης αναμέτρησης. ",political agenda,other,election spending,0.9,0.2,0.1,"[['citizens of thessaloniki', 'location', '0.75'], ['greek', 'country', '0.5'], ['sunday', 'date', '1.0']]"
2,"We have a new election with a new and different electoral system. In this contest, there are only two alternative plans of governance, power, and programs being contested. These two programs reflect two different concepts and visions for Greece. Our vision, the vision of SYRIZA-Progressive Alliance, and the vision of New Democracy. Our vision is for a country and society of humanity, democracy, and justice. A country and society where all people will live and be measured equally. An economy where the wealth produced will grow and be shared fairly among citizens. A country where children and future generations will have equal opportunities for education, health, work, and progress.","Έχουμε μια νέα εκλογική αναμέτρηση. Μ’ ένα νέο, διαφορετικό εκλογικό σύστημα. Και σ’ αυτή την αναμέτρηση, δύο είναι μονάχα τα εναλλακτικά σχέδια διακυβέρνησης, τα εναλλακτικά σχέδια εξουσίας, τα εναλλακτικά προγράμματα που αναμετρώνται. Δυο προγράμματα, που καθρεφτίζουν δύο διαφορετικές αντιλήψεις, δύο διαφορετικά οράματα, αν θέλετε, για την Ελλάδα. Το δικό μας όραμα, το όραμα του ΣΥΡΙΖΑ-Προοδευτική Συμμαχία και το όραμα της Νέας Δημοκρατίας. Το δικό μας όραμα είναι το όραμα μιας χώρας και μιας κοινωνίας ανθρωπιάς, δημοκρατίας δικαιοσύνης. Μιας χώρας και μιας κοινωνίας στην οποία όλοι οι άνθρωποι, όλοι και όλες, θα ζούνε και θα μετριούνται το ίδιο. Μιας χώρας και μιας οικονομίας όπου ο παραγόμενος πλούτος θα αυξάνεται και θα μοιράζεται δίκαια και ισότιμα μεταξύ των πολιτών. Μιας χώρας που δεν θα έχει παιδιά και αποπαίδια στις ευκαιρίες της μόρφωσης, της υγείας, της εργασίας, της προόδου, αλλά ίσες ευκαιρίες για όλες και για όλους. ",political agenda,elections,economic equity,0.7,0.2,0.0,"[['greece', 'country', '1.0'], ['syriza-progressive alliance', 'political party', '1.0'], ['new democracy', 'political party', '1.0']]"
3,A country where its citizens will not run away like dogs in the back of farm trucks because there will be ambulances and rescuers.,"Μιας χώρας όπου οι πολίτες της δεν θα φεύγουν σαν τα σκυλιά στις καρότσες αγροτικών αυτοκινήτων, επειδή δεν θα υπάρχουν ασθενοφόρα και διασώστες. ",political agenda,health,safety,0.4,0.0,0.0,[]
4,"A country whose rule will be humanity and state support for all people, regardless of their economic capacity.","Μιας χώρας που κανόνας της θα είναι η ανθρωπιά και η στήριξη του κράτους για όλους τους ανθρώπους, ανεξαρτήτως της οικονομικής τους δυνατότητας.",political agenda,social state,economic equity,0.8,0.0,0.0,[]
5,"A country that does not eat its best children, does not send the police to suppress their dreams, and does not treat anyone who resists power as an internal enemy.","Μιας χώρας που δεν θα τρώει τα καλύτερα παιδιά της, δεν θα στέλνει την Αστυνομία να καταστέλλει τα όνειρά τους, δεν θα αντιμετωπίζει σαν εσωτερικό εχθρό όποιον αντιστέκεται στην εξουσία.",political agenda,democracy,youth,1.0,0.0,0.0,[]
6,A country that will not trade its history and culture will not treat art as an enemy and its people as unprofessional and troublemakers.,Μιας χώρας που δεν θα εμπορεύεται την Ιστορία και τον πολιτισμό της. Δεν θα αντιμετωπίζει την τέχνη ως εχθρό και τους ανθρώπους της ως ανεπάγγελτους και ταραξίες.,political agenda,culture,artists,0.3,0.0,0.0,[]
7,"A country with strong institutions, an entrenched democracy, and a robust welfare state. With workers who live, work, and are paid with dignity and security.","Μιας χώρας με ισχυρούς θεσμούς, εμπεδωμένη δημοκρατία, ισχυρό κοινωνικό κράτος. Με εργαζόμενους και εργαζόμενες που θα ζουν, θα εργάζονται και θα αμείβονται σε συνθήκες αξιοπρέπειας και ασφάλειας. ",political agenda,social state,other,0.8,0.0,0.0,[]
8,Where small and medium-sized entrepreneurs are not tax slaves enriching the cartels.,Όπου οι μικρομεσαίοι επιχειρηματίες δεν θα είναι υποζύγια των φόρων για να πλουτίζουν τα καρτέλ.,political agenda,other,tax cuts,1.0,0.0,0.3,[]
9,"A young couple will be able to have children whenever they want, because they will have support from the state, affordable housing, decent wages, and public kindergartens for their children.","Όπου ένα νέο ζευγάρι θα μπορεί να αποκτήσει παιδιά όποτε το επιθυμεί, γιατί θα έχει στήριξη από τη πολιτεία, προσιτή οικονομικά στέγη, αξιοπρεπείς μισθούς, δημόσιους παιδικούς σταθμούς για τα παιδιά του.",political agenda,housing,affordable housing,0.8,0.0,0.0,"[['state', 'organization', '0.5'], ['kindergartens', 'organization', '0.5']]"
10,"This is the country of our dreams, where a young farmer can stay in the countryside with the tools and support to earn a decent income.","Αυτή τη χώρα ονειρευόμαστε. Μια χώρα όπου ένας νέος αγρότης θα μπορεί να μείνει στην ύπαιθρο, με εφόδια και στήριξη για να έχει ένα αξιοπρεπές εισόδημα.",political agenda,other,other,0.8,0.0,0.0,[]
