id,text,text_el,is_criticism,topic-context,subtopic-context,sentiment,polarization-definition,populism-definition,ner-limited
1,"I would like to thank you for being here again today. We talked again a short time ago and now we have returned to my favorite region and my favorite law that honors the Greek solution and all Greeks. I warmly thank them once again for their appreciation of the person, not mine, but the person that the Greek solution represents in the Greek parliament and the continuous struggle that we are fighting.","Θα ήθελα να σας ευχαριστήσω που είστε σήμερα και πάλι εδώ τα είπαμε και πριν λίγο καιρό επανήλθαμε στην αγαπημένη μου περιοχή στον αγαπημένο μου νόμο που τίμησε και την ελληνική λύση και τιμήσε όλους τους Έλληνες και τους ευχαριστώ θερμά για ακόμη μια φορά για την εκτίμησή τους προς το πρόσωπο, όχι το δικό μου, αλλά αυτό που δείχνει η ελληνική λύση στο ελληνικό κοινοβούλιο και τον συνεχή αγώνα που κάνουμε. ",political agenda,elections,other,0.8,0.0,0.0,"[['greek solution', 'organization', '1.0'], ['greeks', 'group of people', '0.8'], ['greek parliament', 'organization', '0.8'], ['greek', 'country', '0.8']]"
2,"I would like to say that I am troubled by the various dealers and rodents in the public sector who, since last night, have attempted to smear the Greek solution. This is the tactic of New Democracy and the Ministry of Maximus, who pay the public because they have too much money. This means that they can take money from the state and give it to their rodents to do the dirty work in relation to what I said. We are talking about a coordinated character attack on the F-35. On a TV show, I expressed my doubts about the F-35 for many reasons, the most important being that I cannot consent without seeing a contract that a government signs for the next 5 years. It is the Greek people's money, and no one has the right to sign without knowing what they are receiving. So I said in this interview that we should say yes or no to the F-35 only after seeing the contract, and I stand by that. Some time ago, the New Republic site was talking about technical problems of the F-35 before their party decided to buy it. Another site of the New Republic published a bomb from Israel about the F-35 having serious problems. The US grounded many F-35s due to a problem in the ejection system of the pilots. That is, a few months ago, the New Republic sites were talking about problems concerning this particular weapon system. This made me cautious, and I repeat that I am cautious. If I don't see the type of aircraft, I am cautious, and it is my obligation because this purchase involves the Greek people's money.","Θα ήθελα να πω. Ότι πραγματικά αισθάνομαι ιδιαίτερα προβληματισμένος.Από τους διάφορους ντίλερς. Και τα τρωκτικά του δημοσίου, τα οποία από χθες το βράδυ. Ξεκίνησαν μια προσπάθεια σπίλωσης της ελληνικής λύσης. Είναι η τακτική της Νέας Δημοκρατίας και του Υπουργείου του Μαξίμου και των τρωκτικών που πληρώνει το δημόσιο γιατί έχουν πάρα πολλά λεφτά που σημαίνει επικοινωνιακά, μπορούν να παίρνουν λεφτά από το κράτος και να τα δίνουν στα τρωκτικά τους για να μπορούν να κάνουν τη βρώμικη δουλειά σε σχέση με αυτά που είπα εγώ. Γιατί μιλάμε για συντονισμένη πλέον επίθεση χαρακτήρα για τα f 35.Εγώ στην τηλεοπτική εκπομπή εξέφρασα τις αμφιβολίες μου για πολλούς λόγους για τα f 35 και Ο σημαντικότερος είναι ότι αν δε δω μια σύμβαση την οποία υπογράφει μια κυβέρνηση για τα επόμενα 5 χρόνια, δεν μπορώ να συναινέσω πριν δω τη σύμβαση. Είναι λεφτά του ελληνικού λαού και δεν δικαιούται ουδείς να υπογράφει χωρίς να ξέρει τι παραλαμβάνει. Είπα λοιπόν στη συνέντευξη αυτή ότι τα f 35 θα πρέπει να πούμε ναι ή όχι αν δεν δούμε τη σύμβαση dεν λέμε ναι και επιμένω σε αυτό. Και θα σας εξηγήσω και τους λόγους. Πριν από λίγο καιρό, όχι πολύ καιρό site της Νέας Δημοκρατίας, πριν αποφασίσει δηλαδή το κόμμα τους να αγοράσει τα F 35 μιλούσαν για τεχνικά προβλήματα των F 35. Δημοσίευμα, ι-εφημερίδα δημοσίευμα ένα άλλο site της Νέας Δημοκρατίας βόμβα από το Ισραήλ για τα F 35 έχουν σοβαρά προβλήματα Οι ΗΠΑ καθηλώνουν τα f 35, Τι πρόβλημα Υπάρχει καθηλωμένα πολλά 35 στις ΗΠΑ πληροφορίες για πρόβλημα στο σύστημα εκτίναξης των πιλότων. Δηλαδή πριν μερικούς μήνες τα Σάιτ της Νέας Δημοκρατίας μιλούσαν για προβλήματα που αφορά το συγκεκριμένο, αφορούν το συγκεκριμένο οπλικό σύστημα.
Αυτό λοιπόν με έκανε επιφυλακτικό και επαναλαμβάνω ότι είμαι επιφυλακτικός. Αν δε δω τον τύπο του αεροσκάφους και δε δω επαναλαμβάνω. Του τι Σύμβαση υπάρχει εγώ είμαι επιφυλακτικός, έχω το δικαίωμα να είμαι επιφυλακτικός και είναι υποχρέωσή μου γιατί αφορούν; Η αγορά αυτή αφορά τα χρήματα του ελληνικού λαού από την. ",criticism,other,other,-0.4,0.2,0.0,"[['greek', 'country', '1.0'], ['new democracy', 'political party', '1.0'], ['ministry of maximus', 'organization', '0.8'], ['f-35', 'organization', '1.0'], ['greek people', 'group of people', '1.0'], ['new republic', 'organization', '0.8'], ['israel', 'location', '1.0'], ['us', 'country', '1.0']]"
3,"On the other hand, I must stress that the purchase of this aircraft weapon system will create a babel of aircraft in Greek airspace. We will have many types of aircraft, and I don't know whether they are military or specialists among us. They realize that we're going to have Mirage, Rafale, and F-35. You can't have a multitude of aircraft. It's an issue that we have to take seriously. The Greek solution raises issues of reservations and mainly on the basis of national interest rather than the dealer of any weapons systems. There's a lot of money at stake on the sites from advertisements and ads. Norway has done a survey before asking for the F-35, and it says that each of the F-35s will cost about 769 million euros each over their life cycle. Norway says that it's a huge amount because it's an aircraft that needs expensive servicing, so the cost that the Greek people have to pay goes up. These aircraft in Greece have a closed area in the Aegean. The Greek solution and our experts tell us that they are very good aircraft as long as the Americans would give us the weapons systems compared to the nuclear weapons that the F-35s carry. They don't give them to us. So at the level of confined space, like the Aegean, because they are of a bombing nature, they have some weaknesses. Our reservations are based on concrete things. If we really wanted to get the F-35, and it is an exceptional case, we would have to push our American friends to give us their nuclear weapons together so that we have the necessary arsenal. Otherwise, we need to think it through, look at the contract, see what weapons they carry, and how they give them to us. Don't forget we paid dearly for the submarines that were being raised, and it took years to make them truly seaworthy. Let's not forget what happened to the self-protection system with the F-16. The OSPs, which strangely enough we didn't pay for, we didn't receive in the beginning, and we've been waiting a few years. These things trouble us. Getting an aircraft naked doesn't tell me anything about it, and I say we need to look at the Convention.","Από την άλλη πρέπει να τονίσω. Κάτι αυτονόητο.Η αγορά του συγκεκριμένου οπλικού συστήματος αεροσκάφους θα δημιουργήσει μια βαβέλ αεροσκαφών στον ελληνικό εναέριο χώρο. Θα έχουμε πολλούς τύπους αεροσκαφών, δεν ξέρω κατά πόσον οι στρατιωτικοί, οι Ειδικότεροι από εμάς. Αντιλαμβάνονται ότι θα έχουμε μιράζ, θα έχουμε ραφάλ, θα έχουμε f 35, δεν μπορείς να έχεις πολυτυπία αεροσκαφών. Είναι ένα θέμα που πρέπει να το δούμε σοβαρά. Βλέπετε ότι η ελληνική λύση θέτει τα ζητήματα των επιφυλάξεων και θέτει κυρίως στα ζητήματα στη βάση του εθνικού συμφέροντος και όχι  του ντίλερ, του κάθε ντίλερ οπλικών συστημάτων. Και είναι πολλά τα λεφτά που παίζονται στα site από διαφημίσεις, από διαφημίσεις. Τέτοιες η Νορβηγία. Έχει κάνει μία έρευνα πριν ζητήσει τα f 35. Είναι εύκολα προσβάσιμη σε όποιον θέλει να την βρει. Το κράτος της Νορβηγίας οχι ο Βελόπουλος. Και λέει ότι το κάθε ένα από τα f 35 θα στοιχίσει περίπου στον κύκλο ζωής του 769 εκατομμύρια ευρώ το καθένα.Το λέει η Νορβηγία, ένα ποσό τεράστιο, γιατί; Γιατί είναι ένα αεροσκάφος το οποίο χρειάζεται πολυδάπανο σέρβις, με συνέπεια να ανεβαίνει το κόστος που πρέπει να πληρώσει ο ελληνικός λαός. Αυτά τα αεροσκάφη στην Ελλάδα με κλειστό χώρο στο Αιγαίο. Η ελληνική λύση και οι εμπειρογνώμονές μας λένε ότι είναι πάρα πολύ καλά αεροσκάφος αρκεί να μας έδιναν τα οπλικά συστήματα οι Αμερικανοί σε σχέση με τα πυρηνικά όπλα που φέρουν τα f 35 δεν μας τα δίνουν.Άρα σε επίπεδο κλειστού χώρου, όπως το Αιγαίο, επειδή είναι βομβαρδιστικού χαρακτήρα, έχουν μερικές αδυναμίες. Οι επιφυλάξεις μας λοιπόν εδράζονται σε συγκεκριμένα πράγματα. Δεν ξέρω γιατί πρέπει να δώσουν 769 εκατομμύρια ευρώ, όπως λέει η νορβηγική κυβέρνηση και εμείς. Και επαναλαμβάνω. Αν πραγματικά θέλαμε να πάρουμε F 35 και είναι εξαιρετική περίπτωση, θα πρέπει να πιέσουμε τους αμερικανούς φίλους μας να μας δώσουν και τα πυρηνικά τους μαζί για να έχουμε και το απαραίτητο οπλοστάσιο αλλιώς. Νομίζω ότι πρέπει να το σκεφτούμε καλά, να δούμε τη σύμβαση, να δούμε τι  όπλα φέρουν και τι πως μας τα δίνουν.Μην ξεχνάμε πως πληρώσαμε πανάκριβα τα υποβρύχια που έγερναν και χρειάστηκαν χρόνια για να τα κάνουμε πραγματικά αξιόπλοα. Μην ξεχνάμε με τα f 16 τι πάθαμε με το σύστημα αυτοπροστασίας; Ος Π ς το οποίο περιέργως δεν το πληρώσαμε, δεν το παραλάβαμε στην αρχή και περιμένουμε μερικά χρόνια. Αυτά μας προβληματίζουν εμάς το να πάρω ένα αεροσκάφος γυμνό δεν μου λέει τίποτα για αυτό και λέω πρέπει να δούμε τη Σύμβαση, ",political agenda,other,other,-0.4,0.0,0.0,"[['greek', 'location', '1.0'], ['mirage', 'person', '0.9'], ['rafale', 'person', '0.9'], ['f-35', 'organization', '0.9'], ['norway', 'country', '0.9'], ['aegean', 'location', '0.9'], ['americans', 'group of people', '0.8'], ['convention', 'organization', '0.8'], ['f-16', 'organization', '0.8']]"
4,"But we, in the logic of the New Republic, have been writing posts about problems on the site for months. Today, it seems like rodents and hyenas are trying to assassinate the character of the Greek solution. We cannot say that we understand the panic of the New Democracy and their desire to govern independently, but we cannot understand the stench, the dirt, the mud, the stench, and above all, the sewer with which they are attempting to create character assassination of people. I say this bluntly. In closing, I would like to say that the Greek solution once again defends the national interest and not the interests of arms companies. We are defending the national interest. We are neither dealers nor do we have interests as a site or as a channel to take advertising from arms companies because the kickbacks are going somewhere.","Αλλά εμείς στη λογική της Νέας Δημοκρατίας πριν μήνες σε όλα τα site να είναι. Να γράφουν δημοσιεύματα για προβλήματα και σήμερα σαν τα τρωκτικά τις ύαινες να επιχειρούν να δολοφονήσουν τον χαρακτήρα της ελληνικής λύσης. Δεν μπορούμε να πούμε και αντιλαμβάνομαι τον πανικό της νέας δημοκρατίας και τον αυτό σκοπό της να κυβερνήσει αυτοδύναμη, αλλά δεν μπορώ να κατανοήσω την μπόχα τη βρώμα, τη λάσπη, τη δυσωδία και κυρίως τον οχετο με τον οποίο επιχειρούν. Και φαντάζομαι όχι ερήμην της βούλησης του πρωθυπουργού. Να δημιουργήσουν δολοφονία χαρακτήρων ανθρώπων.
Το λέω έτσι ωμά. Κλείνοντας να πω ότι η ελληνική λύση για ακόμη μια φορά υπερασπίζεται το εθνικό συμφέρον και όχι τα συμφέροντα των εταιρειών όπλων. Εμείς υπερασπιζόμαστε το εθνικό συμφέρον. Δεν είμαστε ούτε ντίλερς, ούτε έχουμε συμφέροντα ως σαιτ ή ως κανάλια να παίρνουμε. Διαφήμιση από εταιρείες όπλων.Διότι οι μίζες πηγαίνουν κάπου ",criticism,other,other,-0.3,0.0,0.0,"[['new republic', 'organization', '1.0'], ['new democracy', 'political party', '1.0'], ['greek solution', 'organization', '1.0'], ['greek', 'country', '1.0'], ['date', 'date', '1.0] (no specific date mentioned)'], ['arms companies', 'organization', '1.0']]"
5,"In closing, we are particularly cautious with the party of Zayef's false Macedonia. We are also cautious with the party of Siemens, Novartis, and the party of New Democracy, which has been directly assigned 10 billion euros. We are skeptical because all they know how to do is eat with golden spoons, drink the best wines with their friends, and leave the Greek people hungry. That is why I keep insisting on the necessity to stop lying. The New Democracy cannot talk about wage increases when it is a fact that due to the revaluations and the 15-20, 70-80, 80-90% of the conditions, the Greek people have become poorer. We insist on the thirteenth pension, the increase in OGA pensioners, IKA pensioners, and all pensioners. We insist that at some point, the New Democracy understands that it is good to feed its rodents the 2300 along with PASOK and SYRIZA Booleans in the independent authorities. But we will take this one billion euro and give it to the pensioner, the employee, and all those who toil daily to survive. We are now talking about survival, not subsistence. We have reached the limit of talking about survival and not living.","Κλείνοντας να πω ότι είμαστε ιδιαίτερα. Επιφυλακτική με το κόμμα. Της ψευτο Μακεδονίας του Ζάεφ είμαστε επιφυλακτικοί με το κόμμα της Ζήμενς. Είμαστε επιφυλακτικοί με το κόμμα της Νοβάρτις, είμαστε επιφυλακτικοί με το κόμμα των 10 δις αναθέσεων απευθείας δηλαδή με το κόμμα της Νέας Δημοκρατίας. Και είμαστε επιφυλακτικοί γιατί το μόνο που ξέρουν να κάνουν είναι να τρώγουν με χρυσά κουτάλια αυτοί να πίνουν τα καλύτερα κρασιά αυτοί μαζί με τους φίλους τους και ο ελληνικός λαός να παίνετε και να πεινά.Εξ ου και επιμένω συνεχώς στην αναγκαιότητα να σταματήσει να λέει ψέματα. Η νέα δημοκρατία δεν μπορεί να ομιλεί για αυξήσεις μισθών όταν είναι δεδομένο ότι λόγω των ανατιμήσεων και της ακρίβειας κατά 15 20, 70 80 90% των προϋόντων. Ο Έλληνας έχει φτωχύνει και επιμένουμε στη δέκατη τρίτη σύνταξη. Επιμένουμε στην αύξηση των συνταξιούχων ΟΓΑ ικα όλων των συνταξιούχων και επιμένουμε κάποια στιγμή να καταλάβει η νέα δημοκρατία ότι είναι καλά να ταΐζει τα τρωκτικά της τους 2300 μαζί με το ΠΑΣΟΚ και τον ΣΥΡΙΖΑ Βολεμένους στις ανεξάρτητες αρχές. Αλλά εμείς αυτό το ένα δισεκατομμύριο ευρώ θα το πάρουμε και το δώσουμε στον συνταξιούχο, στον υπάλληλο και σε όλον αυτόν που μοχθεί καθημερινά να επιβιώσει. Μιλάμε πλέον για επιβίωση και οχι διαβίωση. Φτάσαμε στο όριο να μιλάμε για επιβίωση και όχι διαβίωση. ",political agenda,pensioners,other,-0.5,0.3,0.5,"[['zayef', 'person', '0.7'], ['siemens', 'organization', '0.7'], ['novartis', 'organization', '0.7'], ['new democracy', 'political party', '1.0'], ['greek', 'country', '1.0'], ['thirteenth pension', 'date', '0.7'], ['pasok', 'political party', '0.7'], ['syriza', 'political party', '0.7']]"
6,"For its part, the New Democracy has created a virtual reality with the well-paid media, the national media, and it is well known that the Greek Solution is not treated equally by the channels. It is a given; there is no need. We know how we struggle, we know that we have to deal with the dirty system of Athens Kolonaki, the mentality of the 40,000 people who are based and reside in Athens but who exploit the state budget, and all those shipowners who own the media. Hence, our anxiety for the elections on the 25th for one reason alone. It is an election, substantial elections. They are elections that will give the country or give the country a tomorrow that we envision. If the Greek Solution succeeds and gets more than 8%, it is certain that the self-reliance will end for the New Democracy and the other parties not to lose strength. This is Mr. Mitsotakis' problem. And that's why he put the executioner journalists within quotation marks, his own pistols to execute the character of the Greek Solution.","Η νέα δημοκρατία από την πλευρά της έχει φτιάξει μια εικονική πραγματικότητα με τα καλοπληρωμένα μέσα, τα πανελλαδικά και είναι γνωστό ότι η ελληνική λύση δεν έχει την ισότιμη αντιμετώπιση από τα κανάλια. Είναι δεδομένο, δε χρειάζεται, ξέρουμε πώς παλεύουμε, ξέρουμε, εμείς έχουμε να κάνουμε με το βρώμικο σύστημα του Κολωνακίου των Αθηνών, τη νοοτροπία, αυτή δηλαδή των 40.000 ανθρώπων που εδράζονται και κατοικοεδρεύουν στην Αθήνα, αλλά λυμαίνονται τον κρατικό κορβανά και όλων αυτών των εφοπλιστών που έχουν τα μέσα ενημερώσεως. Εξ ου και η αγωνία μας.Για τις εκλογές στις 25 του μηνός για ένα και μόνο λόγο. Είναι εκλογές. Ουσιαστικές. Είναι εκλογές που θα δώσουν τη χώρα ή θα δώσουν στη χώρα ένα αύριο που εμείς οραματιζόμαστε. Αν η ελληνική λύση κατορθώσει και πάρει πάνω από 8%, είναι βέβαιο.Ότι η αυτοδυναμία τέλος για τη νέα δημοκρατία αλλά και τα υπόλοιπα κόμματα να μην χάσουν δυνάμεις. Αυτό είναι το πρόβλημα του κυρίου Μητσοτάκη. Και για αυτό έβαλε τους εκτελεστές δημοσιογράφους εντός εισαγωγικών τα πιστόλια τα δικά του να εκτελέσουν το χαρακτήρα της ελληνικής λύσης. ",criticism,other,other,-0.7,0.8,0.8,"[['new democracy', 'political party', '1.0'], ['greek solution', 'political party', '1.0'], ['greece', 'country', '1.0'], ['athens', 'location', '1.0'], ['kolonaki', 'location', '1.0'], ['25th', 'date', '1.0'], ['mitsotakis', 'person', '1.0']]"
7,"We are carrying out a national project. We will not stop, we will persevere, we will continue. We will fight our battle and we will speak to the Greek people in the language of truth. It is not our concern, it is not our interest, their dirty palace. At some point, a smile at everyone's foolishness. I cannot listen to PASOK, New Democracy, and SYRIZA squabbling over the country's tax system. I find it truly disgusting. When there is a specific solution that we proposed to all the 15% horizontal tax and it ends tax evasion and tax avoidance ends the big problem of the country, they don't do it, and I will tell you why. It is time to speak the language of truth. If a product last year made €10, VAT is 24%, so the state was getting €2.4. This year when the product makes €20 with the same VAT, the state gets €4.8. That is how the state steals with indirect taxes. That is why we have had an increase in VAT revenue. It took 5 billion more at least distributed the one and a half billion and a half billion to the Greeks and thinks the Greeks are relieved. Aspirin for gangrene does not help, and whether these parties have programs does not help either. One can see this from the party of Androulakis who does not know what is happening to him, not as Androulakis his party. I imagine he knows what he's about; I have reservations about that, but it doesn't matter. When he says that he will tax multinationals, the basic rule of economics is that multinationals unfortunately are not taxed; they are not double-taxed.","Εμείς επιτελούμε ένα εθνικό έργο. Δεν θα σταματήσουμε, θα επιμένουμε, θα συνεχίσουμε. Θα δίνουμε τη μάχη μας και θα μιλάμε στον ελληνικό λαό, τη γλώσσα της αλήθειας.Δεν μας αφορά, δεν μας ενδιαφέρει. Η βρώμικη παλαίστρα τους. Κάποια στιγμή ένα χαμόγελο με τις ανόητολογίες όλων. Δεν μπορώ να ακούω ΠΑΣΟΚ και νέα Δημοκρατία και ΣΥΡΙΖΑ να διαγκωνίζονται για το φορολογικό σύστημα της χώρας. Το θεωρώ πραγματικά φαιδρό. Όταν υπάρχει μια λύση συγκεκριμένη την προτείναμε σε όλους τους 15% οριζόντιο φόρο και τελειώνει και η φοροδιαφυγη η φοροαποφυγή τελειώνει το μεγάλο πρόβλημα της χώρας δεν το κάνουν και θα σας πω γιατί.Ήρθε η ώρα να μιλήσουμε τη γλώσσα της αλήθειας. Αν ένα προϊόν πέρσι έκανε 10 €, ο ΦΠΑ είναι 24%, άρα έπαιρνε το κράτος 2,4 €. Φέτος που το προϊόν κάνει 20 € με τον ίδιο ΦΠΑ, το κράτος παίρνει 4,8 €. Έτσι κλέβει το κράτος με τους έμμεσους φόρους. Γι αυτό και είχαμε αύξηση εσόδων από τον ΦΠΑ. Πήρε 5 δις παραπάνω τουλάχιστον μοίρασε το ενάμισι 2 δις στους Έλληνες και νομίζει ο Έλληνας έτσι ανακουφίζεται. Η ασπιρίνη στη γάγγραινα δεν βοηθάει και το κατά πόσον έχουν προγράμματα τα κόμματα αυτά. Το αντιλαμβάνεται κανείς από το κόμμα του Ανδρουλάκη που δεν ξέρει τι του γίνεται, όχι ως Ανδρουλάκης το κομμα του. Φαντάζομαι ότι αυτός ξέρει τι του γίνεται.Έχω επιφυλάξεις για αυτό, αλλά δεν έχει σημασία. Όταν λέει. Ότι θα φορολογήσει πολυεθνικές. Βασικός κανόνας της οικονομίας, οι πολυεθνικές δυστυχώς δεν φορολογούνται.Δεν έχουν διπλή φορολόγηση. ",political agenda,other,tax evasion,-1.0,0.4,0.1,"[['i', 'person', '0.8'], ['greek people', 'group of people', '0.8'], ['pasok', 'political party', '0.6'], ['new democracy', 'political party', '0.6'], ['syriza', 'political party', '0.6'], ['country', 'location', '0.8'], ['tax system', 'organization', '0.6'], ['product', 'organization', '0.8'], ['state', 'organization', '0.8'], ['vat', 'organization', '0.8'], ['greeks', 'group of people', '0.8'], ['androulakis', 'person', '0.8'], ['multinationals', 'organization', '0.8']]"
8,"These people want to understand power, but they can't understand what it means to run a public administration and government. It is unacceptable to say these things, and it turns out that this party is a real media bubble. As long as they needed it, they were inflating it. We got it to 18%, 19%, 20% in the polls a long time ago, and among the deflate again, they attempted after the election to inflate it again. They are deflating it again. Why? When you're subject to the media and when you're held by a dirty black system, they're bound to do what they want. Can't they do what they want to us because we have no dependence on them? We are independent, really. And I mean what I say, and I say it as a provincial northerner.","Αυτοί οι άνθρωποι θέλουν να καταλάβουν. Την εξουσία, αλλά δεν μπορούν να καταλάβουν τι σημαίνει άσκηση δημόσιας διοίκησης και κυβέρνησης. Είναι ανεπίτρεπτο να λέγονται αυτά και αποδεικνύεται ότι το κόμμα αυτό είναι μια πραγματική φούσκα των μέσων μαζικής ενημερώσεως όσο το χρειάστηκαν το Φούσκωναν.Το φτάσαμε στο 18, 19 20% στις δημοσκοπήσεις πριν καιρό και μεταξύ των ξεφουσκώνουν ξανά επιχειρήσαν μετά τις εκλογές του φουσκώσουν το ξεφουσκώνουν ξανά αυτό γιατί; Όταν είσαι υποχείριο των μέσων μαζικής ενημερώσεως. Κι όταν είσαι κρατημένος από ένα σύστημα βρώμικο και μαύρο, είναι βέβαιο ότι θα κάνουν ότι θέλουν, δεν μπορούν να κάνουν τι θέλουν εμάς; Γιατί δεν έχουμε καμία εξάρτηση από αυτούς;Είμαστε ανεξάρτητοι πραγματικά. Και το εννοώ αυτό που σας λέω και το λέω ως επαρχιώτης βορειοελλαδίτης. ",criticism,media,other,-0.5,0.2,0.0,"[['people', 'group of people', '1.0'], ['public administration', 'organization', '1.0'], ['government', 'organization', '1.0'], ['party', 'political party', '1.0'], ['media', 'organization', '1.0'], ['polls', 'date', '1.0'], ['election', 'date', '1.0'], ['media', 'organization', '1.0'], ['dirty black system', 'organization', '0.7'], ['northerner', 'location', '1.0']]"
9,"And since we are talking about programs, let me read to you what the New Democracy ministers said about their infamous program. If they had a program, they would not have imposed such high taxes, of course. I have to say something. Mr. Mitsotakis claims he cut 50 taxes and left wages untouched. I suggest that the Greek Prime Minister take the salary he gives to Greek citizens and try to survive on it himself starting tomorrow morning. I recommend he enter the labor market and work for a month to see if he can survive on the salary he claims to have increased. If the wage increase Mr. Mitsotakis is talking about covers accuracy, electricity costs, and the cost of living, then he really has a problem understanding and comprehending the economic facts of the country. He has never struggled, and this is not my personal opinion, but the truth. It is one thing to struggle to survive and another for others to struggle for you to survive and live well.","Και επειδή μιλάμε για προγράμματα, θα σας διαβάσω. Τι είπαν οι υπουργοί της Νέας Δημοκρατίας για το περιβόητο περιώνυμο πρόγραμμά τους;Που εάν είχαν πρόγραμμα. Δεν θα έκαναν τόσο υψηλές φορολόγησης βέβαια. Πρέπει να πω και κάτι. Ο κύριος Μητσοτάκης λέει μείωσε 50 φόρους.Και άφησε τους μισθούς. Εγώ τους συνιστώ του έλληνα πρωθυπουργού από αύριο το πρωί να παίρνει το μισθό που δίνει στον έλληνα πολίτη ο ίδιος και θεωρείται είναι αυξημένος για να επιβιώσει. Του προτείνω να βγει στην αγορά εργασίας και αν θέλει να εργαστεί ένα μήνα για να δει αν μπορεί να επιβιώσει με τα λεφτά που λέει ο ίδιος ότι αύξησε το μισθό. Διότι αν η αύξηση του μισθού που λέω ο κ Μητσοτακης καλύπτει την ακρίβεια, καλύπτει το κόστος ρεύματος, καλύπτει το κόστος διαβίωσης επιβίωσης. Τότε ο άνθρωπος πραγματικά έχει πρόβλημα κατανόησης και αντίληψης των οικονομικών δεδομένων της χώρας και το έχει έτσι κι αλλιώς.Γιατί ποτέ δεν γόγγυσε. Ποτέ δεν πάλεψε και δεν είναι προσωπική μου αναφορά, αλλά είναι η αλήθεια, διότι άλλο να παλεύεις για να επιβιώσεις και άλλο να παλεύουν άλλοι για να επιβιώσεις εσύ και να επιβιώσεις καλά μάλιστα. ",criticism,economy,cost of living,-0.8,0.1,0.0,"[['new democracy', 'organization', '1.0'], ['mr. mitsotakis', 'person', '1.0'], ['greek prime minister', 'person', '0.7'], ['greek citizens', 'group of people', '0.6'], ['labor market', 'location', '0.7'], ['the country', 'location', '0.5']]"
10,"And because I saw him raise the cloth of patriotism, he says that this Prime Minister is essentially a patriot and he put SYRIZA in the crosshairs for what happened in the prefecture of Rodopi. It is really unpatriotic to elect a SYRIZA MP who declares himself a Turk. I will tell him this. He has been a minister for decades, a prime minister for years, and he does not know what is happening in Thrace, nor does he know the role of the Consulate. If he and the others are so patriotic, why don't they do the obvious? Is it the fault of the MP who works as a Turk when the Consulate operates in this way, or is the consulate operating with this logic? Because when the tooth hurts, you don't cut the head off; you take out the tooth or heal the problem in the tooth. The only solution, Mr Mitsotakis, to prove that you are a patriot is to tear down the consulate from Komotini. Everything else is cheap patriotism. Full stop. Let us clarify the reasons for the existence of politicians and even a party that has a very good relationship with Mr Zaev, which even now, while we are talking about patriotism, still has the beggar in jail. Okay, let's be a little shorter. Our boot on the level of patriotism, because it really is small in the new democracy.","Και επειδή τον είδα να σηκώνει την παντιέρα του πατριωτισμού. Και λέει ότι είναι κατ ουσίαν πατριώτης αυτός ο κύριος Πρωθυπουργός και έβαλε στο σκόπευτρο τον ΣΥΡΙΖΑ για τα όσα έγιναν στο νομό Ροδόπης.Λέγοντας ότι είναι. Πραγματικά μη πατριωτικό. Να εκλέγεται βουλευτής του ΣΥΡΙΖΑ, ο οποίος δηλώνει Τούρκος. Θα του πω το εξής.Είναι υπουργός, δεκαετίες, πρωθυπουργός χρόνια. Και δεν ξέρει τι συμβαίνει στη Θράκη, δεν γνωρίζει τον ρόλο του Προξενείου και αφού είναι τόσο πατριώτης αυτός και οι υπόλοιποι γιατί δεν κάνουν το αυτονόητο διότι φταίει ο βουλευτής που δουλεύει Τούρκος όταν το προξενείο λειτουργεί με αυτή τη λογική. Ή το προξενείο που λειτουργεί με τη λογική αυτή; Επειδή πονάει το δόντι, δεν κόβεις το κεφάλι.Βγάζεις το δόντι ή επουλώνεις σ το πρόβλημα στο δόντι. Η μόνη λύση κύριε Μητσοτάκη για να αποδείξετε ότι είστε πατριώτης είναι να ξηλώσετε το προξενείο από την Κομοτηνή. Όλα τα άλλα είναι φθηνός, πατριωτισμός και πατριδοκαπηλία. Τελεία Και παύλα να ξεκαθαρίσουμε λοιπόν τους λόγους ύπαρξης των πολιτικών και μαλιστα ένα κόμμα το οποίο έχει πολύ καλή σχέση με τον κύριο Ζάεφ. Το οποίο ακόμη και τώρα μια και μιλάμε για πατριωτισμό, κύριε Μητσοτάκη, ακόμα ο μπέλερης είναι στη φυλακή. Εντάξει, ας μικρήνουμε λίγο. Το μπόι μας σε επίπεδο πατριωτισμού, γιατί πραγματικά είναι μικρό της νέας δημοκρατίας.",criticism,national security,other,-0.67,0.5,0.2,"[['prime minister', 'person', '0.75'], ['syriza', 'political party', '1.0'], ['rodopi', 'location', '1.0'], ['thrace', 'location', '1.0'], ['consulate', 'organization', '0.75'], ['mr mitsotakis', 'person', '0.75'], ['komotini', 'location', '1.0'], ['mr zaev', 'person', '0.75'], ['new democracy', 'organization', '0.75']]"
