id,text,text_el,is_criticism,topic-context,subtopic-context,sentiment,polarization-definition,populism-definition,ner-limited
1,"I would like to thank all of you for being here today. We are on the third day of the tour, in Ioannina.","Θα ήθελα να σας ευχαριστήσω όλους που είστε σήμερα εδώ. Βρισκόμαστε τρίτη ημέρα περιοδείας, στα Γιάννενα. ",political agenda,other,other,0.0,0.0,0.0,"[['ioannina', 'location', '0.8']]"
2,"I would like to start with current affairs, specifically what I heard this morning from the Greek Prime Minister. The Greek Prime Minister is continuing his brutal blackmail, threatening elections until the sun goes down because he wants to be the ruler of the country. His purpose, as I have said before, is to have 180 MPs so that he can behave as he pleases and do whatever he wants without asking anyone. He will be self-reliant anyway, and everyone knows it. He seeks hegemony over 180 MPs so he can authoritatively define his decisions and enforce them. The Greek solution is contrary to this logic. We believe that blackmail through successive elections is a product of weakness and a willingness to impose, and it is dangerous for the country, costing 100 million euros per election. I am not adding the other costs. We do not have the money, Prime Minister. Everything is given on loan, and we cannot waste money on the whim of the Greek Prime Minister.","Θα ήθελα να ξεκινήσω με την επικαιρότητα, λέγοντας τα όσα άκουσα σήμερα το πρωί από τον Έλληνα πρωθυπουργό. Ο έλληνας Πρωθυπουργός συνεχίζει τον ωμό εκβιασμό. Συνεχίζει να απειλεί με εκλογές μέχρι να σβήσει ο ήλιος, γιατί απλά θέλει να γίνει ηγεμόνας της χώρας. Ο σκοπός βέβαια το έχω πει κι άλλη φορά είναι να έχει 180 βουλευτές για να μπορεί να συμπεριφέρεται όπως θα του άρεσε. Να κάνει ό,τι θέλει, χωρίς να ρωτάει κανέναν. Αυτοδύναμος θα είναι έτσι και αλλιώς το ξέρει και αυτός, το ξέρουν όλοι. Απλά επιζητά μια ηγεμονία αυτοδυναμίας πάνω από 180 βουλευτές για να μπορεί να ορίζει αυταρχικά τις αποφάσεις του και να τις επιβάλλει. Η ελληνική λύση είναι αντίθετη στη λογική αυτή. Θεωρούμε ότι οι εκβιασμοί με αλλεπάλληλες εκλογές είναι προϊόν αδυναμίας αλλά και διάθεσης επιβολής. Είναι επικίνδυνες για τη χώρα, κοστίζουν 100 εκατομμύρια. Κάθε εκλογική αναμέτρηση είναι μίνιμουμ 100 εκατομμύρια ευρώ. Δεν προσθέτω τα υπόλοιπα έξοδα. Δεν τα έχουμε τα λεφτά κύριε πρωθυπουργέ, δεν υπάρχουν τα λεφτά. Με δανεικά δίνεται ό,τι δίνεται και δεν μπορούμε να σπαταλούμε χρήματα για ένα καπρίτσιο του έλληνα πρωθυπουργού. ",criticism,elections,election spending,-0.8,0.2,0.0,"[['greek prime minister', 'person', '2', '180 mps', 'group of people', '1', 'greek solution', 'organization', '1', '100 million euros', 'date', '1']]"
3,"He said, of course, that he does not cooperate with the other parties on his right. He said it like that. Let me remind him that, in any case, New Democracy is neither his shop nor the New Democracy party. It is the river, it is PASOK, and whatever political straggler there was that he picked up, he made a hodgepodge of a party without an ideology, with the consequence that what was left was the New Democracy that everyone knew.","Είπε βέβαια ότι δεν συνεργάζεται με τα υπόλοιπα κόμματα της δεξιάς του πλευράς. Έτσι κάπως το 'πε. Να του υπενθυμίσω ότι έτσι κι αλλιώς η νέα δημοκρατία δεν είναι ούτε δικό του μαγαζί, ούτε το κόμμα της Νέας Δημοκρατίας. Είναι το ποτάμι, είναι το ΠΑΣΟΚ και ότι πολιτικά εντός εισαγωγικών αδέσποτο υπήρχε που το μάζεψε, έκανε ένα συρφετό κόμματος χωρίς ιδεολογία, με συνέπεια να μείνει η νέα δημοκρατία που όλοι γνώριζαν. ",criticism,other,coalition,-0.3,0.1,0.0,"[['1. new democracy', 'organization', '1.0'], ['2. pasok', 'political party', '1.0']]"
4,"In relation to health and everything that has been going on since the story of Mr. Spiritual, I insist that no one is willing to resolve the health problem. No one is talking about the pathologies, apart from the attempt at privatization that Mr. Mitsotakis wants to impose because there are interests in his entourage that want to privatize healthcare. The fairytale he is now selling about recruitment, along with the investment he wants to make in public health, is a fairytale he never fulfilled.","Σε σχέση με την υγεία και όλα όσα διαδραματίζονται μετά την ιστορία του κυρίου Πνευματικού. Εγώ θα επιμείνω ότι δεν έχει κανένας διάθεση να επιλύσει το πρόβλημα της υγείας. Κανείς δεν μιλάει για τις παθογένειες, πέραν από την προσπάθεια της ιδιωτικοποίησης που θέλει να επιβάλει ο κύριος Μητσοτάκης, γιατί στο περιβάλλον του υπάρχουν συμφέροντα που θέλουν ιδιωτική την υγεία. Το παραμύθι που πουλάει τώρα για προσλήψεις μαζί με την επένδυση που θέλει να κάνει στη δημόσια υγεία, ένα παραμύθι που δεν το έκανε ποτέ. ",criticism,health,privatization of healthcare,-0.7,0.2,0.0,"[['mr. spiritual', 'person', '0.9'], ['mr. mitsotakis', 'person', '0.9']]"
5,"During the pandemic, he told us that no more ICUs were needed because he had conducted studies. Now, suddenly, he is going to rebuild public health.","Εδώ μας έλεγε την περίοδο της πανδημίας ότι δεν χρειάζονται παραπάνω ΜΕΘ, έχει μελέτες και ξαφνικά τώρα θα ξαναφτιάξει τη δημόσια υγεία. ",criticism,health,public health system,-0.6,0.0,0.0,"[['icus', 'location', '0.5'], ['pandemic', 'date', '0.5'], ['public health', 'organization', '0.7']]"
6,"But nobody talks about the constant distribution of buffets and envelopes. Nobody mentions that the offices of MPs have turned into waiting rooms for patients who, out of desperation, are constantly seeking a bed or a buffet. Thus, the voter is held hostage and forced to vote for a particular MP who has taken away their obvious right to healthcare. Healthcare, health, and medication should be provided free of charge to the Greek people, and they should not have to ask for a buffet. Nobody dares to speak about the envelopes, even though we all know they exist in the medical field.","Κανείς δεν μιλάει όμως για τα ρουσφέτια και τα φακελάκια που δίδονται συνεχώς. Κανείς δεν λέει ότι τα γραφεία των βουλευτών έχουν γίνει γραφεία εξυπηρέτησης ασθενών, οι οποίοι, οι άνθρωποι μέσα στην απελπισία τους αναγκάζονται συνεχώς να προστρέχουν στα βουλευτικά γραφεία, ζητώντας για ένα κρεβάτι, ένα ρουσφέτι. Και έτσι είναι όμηρος ο ψηφοφόρος και οδηγείται μετά να ψηφίζει τον τάδε βουλευτή που του έκανε το αυτονόητο, το δικαίωμά του να έχει περίθαλψη. Για εμάς περίθαλψη, η υγεία και τα φάρμακα πρέπει να δίνονται δωρεάν και να μη ζητάει ρουσφέτι ο ελληνικός λαός. Ούτε κανείς τολμάει να μιλήσει για τα φακελάκια, γιατί υπάρχει στην ταινία των γιατρών και ξέρουμε ότι γίνεται, όλοι μας. ",criticism,other,privatization of healthcare,-0.6,0.2,0.2,"[['mps', 'group of people', '1.0'], ['greek people', 'group of people', '1.0'], ['greek', 'country', '1.0']]"
7,"No government dares to touch this issue, as the logic of the parties in power is the same. And I will put it bluntly, if you don't have money, you will die on the street. This logic does not sit well with us. We think it is inhumane, brutal, and anti-Christian, but above all, it is inhumane and brutal.","Δεν τολμάει καμία κυβέρνηση να ακουμπήσει το θέμα αυτό, όπως η λογική των κομμάτων εξουσίας είναι μια. Και θα την πω ωμά, αν δεν έχεις λεφτά θα πεθαίνεις πάνω στην καρότσα. Αυτή η λογική εμάς δεν μας βρίσκει σύμφωνους. Θεωρούμε ότι είναι απάνθρωπη, είναι βάναυση, είναι και αντιχριστιανική, αλλά κυρίως απάνθρωπη και βάναυση.",criticism,social state,other,-0.9,0.1,0.2,"[['government', 'organization', '0.30'], ['christian', 'group of people', '0.50'], ['power', 'organization', '0.30'], ['money', 'organization', '0.30'], ['street', 'location', '0.40']]"
8,"What is particularly striking is that today the Prime Minister from Oraiokastro has remembered Orthodoxy. This is the same Prime Minister who closed churches, banned the epitaph, banned Holy Communion, and assisted some members of the church in this direction. Today, he wants to convince us that he has become religious, remembering Orthodoxy decades later. Let us remind him that Orthodoxy unites. Sometimes the mistakes of priests and some individuals in the church can be divisive, but this cannot be the subject of political controversy. It cannot be fished through the murky waters of voters, like the minister who is instrumentalizing this and even sending Adonis Georgiades to Mount Athos, I understand. It's time for Adonis to make a pilgrimage to Mount Athos too. After all, the Prime Minister hasn't been there for 40 years.","Αυτό που επίσης προκαλεί ιδιαίτερη εντύπωση είναι ότι σήμερα ο πρωθυπουργός από το Ωραιόκαστρο θυμήθηκε πάλι την ορθοδοξία. Ο πρωθυπουργός που έκλεισε τις εκκλησίες, που απαγόρευσε επιτάφιο, που απαγόρευσε τη θεία κοινωνία, συνδράμοντας και κάποια μέλη από την εκκλησία στην κατεύθυνση αυτή, σήμερα θέλει να μας πείσει ότι έγινε θρήσκος. Θυμήθηκε την ορθοδοξία μετά από δεκαετίες. Να του υπενθυμίσουμε σαφώς ότι ορθοδοξία ενώνει. Καμιά φορά τα λάθη των ιερωμένων και κάποιων φυσικών προσώπων της εκκλησίας μπορεί να διχάζουν. Αυτό όμως δεν μπορεί να γίνει αντικείμενο πολιτικής αντιπαραθέσεως, ούτε αλιεύσεως μέσα στα θολά νερά ψηφοφόρων, όπως και ο υπουργός, ο οποίος εργαλειοποιεί ακόμη και αυτό, στέλνοντας ακόμα και τον Άδωνι Γεωργιάδη στο Άγιο Όρος, απ' ό'τι μαθαίνω. Ήρθε ο καιρός να προσκυνήσει και ο Άδωνις το Άγιον Όρος. Έτσι κι αλλιώς ο πρωθυπουργός έχει να πάει 40 χρόνια.",criticism,other,other,-0.8182,0.3,0.0,"[['prime minister', 'person', '1.0'], ['oraiokastro', 'location', '1.0'], ['orthodoxy', 'organization', '1.0'], ['holy communion', 'organization', '1.0'], ['priests', 'group of people', '1.0'], ['adonis georgiades', 'person', '1.0'], ['mount athos', 'location', '1.0'], ['40 years', 'date', '1.0']]"
9,"Also, no TV channel that I know of, at least none, has addressed the issue of the mafia execution in an armored car. I insist on this not because I have anything against Mr. Alafouzos. I personally don't care about Mr. Alafouzos, but the involvement of a man with such a story really reminds me of Venezuela and Cosa Nostra. And it's not the first incident. There have been countless assassinations in the last two months. The interconnectedness between night mafiosos, professional killers, hired killers, people who own channels, shipowners, and political figures in the prime minister's entourage is a given.","Επίσης, κανένα τηλεοπτικό κανάλι από όλα όσα γνωρίζω εγώ τουλάχιστον, μα κανένα, δεν ασχολήθηκε με το θέμα της μαφιόζικης εκτέλεσης με ένα θωρακισμένο αυτοκίνητο και επιμένω σε αυτό, όχι γιατί έχω κάτι με τον κύριο Αλαφούζο. Εμένα προσωπικά ο κύριος Αλαφούζος μου είναι αδιάφορος, αλλά η εμπλοκή ενός ανθρώπου με μια τέτοια ιστορία θυμίζει πραγματικά Βενεζουέλα, Κόζα Νόστρα. Και δεν είναι το πρώτο συμβαν. Έχουν γίνει δολοφονίες τα τελευταία... τους τελευταίους 2 μήνες, άπειρες. Και εδώ η διαπλοκή μεταξύ μαφιόζων της νύχτας, επαγγελματιών δολοφόνων, πληρωμένων δολοφόνων, ανθρώπων που έχουν κανάλια, εφοπλιστών αλλά και πολιτικών προσώπων στο περιβάλλον του πρωθυπουργού είναι δεδομένη. ",criticism,corruption,other,-0.5,0.2,0.0,"[['tv channel', 'organization', '0.6'], ['mafia', 'group of people', '0.6'], ['mr. alafouzos', 'person', '0.7'], ['venezuela', 'country', '0.7'], ['cosa nostra', 'group of people', '0.8'], ['assassinations', 'group of people', '0.4'], ['night mafiosos', 'group of people', '0.5'], ['professional killers', 'group of people', '0.5'], ['hired killers', 'group of people', '0.5'], ['shipowners', 'group of people', '0.3'], ['political figures', 'group of people', '0.4'], ['prime minister', 'political party', '0.4']]"
10,"There is no prosecutor in the country. I don't trust the judiciary, as I have never trusted it, because it is controlled and we all know it very well.","Δεν υπάρχει εισαγγελέας στη χώρα, δεν εμπιστεύομαι τη δικαιοσύνη, όπως δεν την εμπιστευόμουν ποτέ, γιατί είναι ελεγχόμενη και το ξέρουμε πολύ καλά όλοι μας. ",criticism,justice,judicial independence,-0.7,0.0,0.0,[]
