id,text,text_el,is_criticism,topic-context,subtopic-context,sentiment,polarization-definition,populism-definition,ner-limited
1,I would like to start by thanking you for being here again today. I come to the county very often as I am an elected member of the county legislature.,Θα ήθελα ξεκινώντας να σας ευχαριστήσω που είστε και πάλι σήμερα εδώ. Έρχομαι πολύ συχνά στο νομό. Είμαι βουλευτής εκλεγμένος του νομού.,political agenda,elections,other,0.5,0.0,0.0,[]
2,"I would like to start with the news. I am confused by the political parties in the country. We have a tragedy with people suffering and unhappy, people drowning, and lives lost. The political personnel in the country are not discussing what we can do to prevent similar things from happening again. The prime minister is absent, but he says he will show up anyway. Today he was away for two or three days. I don't know where the man has been for these three days. I don't know the odd PM. The other parties have attempted to take advantage of human misery in a miserable way. We disagree with these choices. We believe that human suffering should not be abused, nor should it be used to become a grave robber or to bend over dead people. Unfortunately, they do. They do it because, quite simply, either through offshoots or relationships that these parties have with non-governmental organizations, agencies, and independent or semi-independent groups, they earn too many billions for their cronies and friends.","Θα ήθελα να ξεκινήσουμε λίγο με την επικαιρότητα. Με έχουν μπερδέψει τα πολιτικά κόμματα στη χώρα. Έχουμε μια τραγωδία. Με ανθρώπους κατατρεγμένους και δυστυχισμένους να πνίγονται, να χάνονται ανθρώπινες ζωές. Το πολιτικό προσωπικό της χώρας δεν μιλάει με βάση το σχέδιο, τι μπορούμε να κάνουμε ώστε να μην ξανά επαναληφθούν παρόμοια φαινόμενα. Ο πρωθυπουργός είναι απών έτσι κι αλλιώς θα εμφανιστεί, λέει. Σήμερα έλειπε δυο τρεις μέρες. Δεν ξέρω πού ήταν ο άνθρωπος τα κάνει αυτά τα τριήμερα Δεν ξέρω τα περίεργα ο πρωθυπουργός. Τα υπόλοιπα κόμματα επιχείρησαν να εκμεταλλευθούν με έναν ελεεινό άθλιο τρόπο την ανθρώπινη δυστυχία. Εμείς διαφωνούμε με αυτές τις επιλογές, θεωρούμε ότι τον ανθρώπινο πόνο δεν τον καπηλεύεσαι, ούτε τυμβωρύχος, γίνεσαι, ούτε σκυλεύει πάνω σε νεκρούς αυτοί. Δυστυχώς το κάνουν. Και το κάνουν γιατί πολύ απλά, είτε μέσω παραφυάδων ή σχέσεων που έχουν τα κόμματα αυτά με μη κυβερνητικές οργανώσεις, με φορείς και ανεξάρτητες ή ημιανεξάρτητες ομάδες κερδίζουν πάρα πολλά δισεκατομμύρια κολλητοί και φίλοι τους. ",criticism,migration,,-0.8,0.2,0.0,"[['political parties', 'group of people', '0.8'], ['country', 'location', '0.9'], ['prime minister', 'person', '0.8'], ['human suffering', 'group of people', '0.7'], ['non-governmental organizations', 'organization', '0.8'], ['agencies', 'organization', '0.8']]"
3,"We have to make it clear in our minds that Europe is not going to help us. At some point, we have to understand that if Europe wanted to help us, it would have ended this issue of illegal immigration of people coming from different places. The oxymoron in the story is the Greek politicians. They don't understand it and they keep invoking Europe. If Europe wanted to solve the problem, it would have helped Italy and Spain, which have a terrible problem with Morocco. If we do not solve it ourselves, we will face colonization and replacement of the Greek population that Greece has never seen before. What frightens me most is the attempt to cultivate a guilt syndrome in us Greeks for the shipwreck. It was not the fault of the Greeks. The shipwreck and the loss of human lives were not the fault of any of us. Those who were to blame, those who are to blame are mainly those who do not take measures to deter entry and, above all, to make our country attractive as a destination.","Πρέπει να ξεκαθαρίσουμε λίγο στο μυαλό μας ότι η Ευρώπη δεν πρόκειται να μας βοηθήσει κάποια στιγμή πρέπει να καταλάβουμε ότι αν η Ευρώπη ήθελε να βοηθήσει, θα είχε τελειώσει το θέμα αυτής της λαθρομεταναστεύσεως των ανθρώπων που έρχονται από διάφορα μέρη, το οξύμωρο στην ιστορία είναι ο ελληνικό πολιτικό προσωπικό. Δεν τον καταλαβαίνει και επικαλείται συνεχώς την Ευρώπη. Αν η Ευρώπη ήθελε να λύσει το πρόβλημα, θα είχε βοηθήσει και την Ιταλία και την Ισπανία που έχει με το Μαρόκο ένα τρομακτικό πρόβλημα. Εάν μόνοι μας δεν το επιλύσουμε, θα αντιμετωπίσουμε έναν πλέον εποικισμό και αντικατάσταση του ελληνικού πληθυσμού που όμοιό της δεν θα έχει ξαναδεί η Ελλάδα και αυτό που με τρομάζει περισσότερο είναι η προσπάθεια καλλιέργειας ενοχικού συνδρόμου σε μας τους Έλληνες για το ναυάγιο δεν έφταιγαν οι Έλληνες. Για το ναυάγιο και την απώλεια ανθρώπινων ζωών δεν έφταιγε κανένας από μας. Αυτοί που έφταιγαν, οι αυτοί που φταίνε είναι κυρίως αυτοί που δεν λαμβάνουν μέτρα αποτροπής της εισόδου και κυρίως να κάνουν ελκυστική τη χώρα μας ως τόπο προορισμού.",criticism,migration,other,-0.5,0.2,0.0,"[['europe', 'location', '1', ''], ['greek', 'group of people', '0.75', ''], ['morocco', 'location', '1', ''], ['italy', 'location', '1', ''], ['spain', 'location', '1', ''], ['greece', 'country', ''], ['']]"
4,"Our view, by definition, is deterrence, and deterrence is achieved, as I said yesterday and I will say again, with basic measures. First, you close down all non-governmental organizations. There is no reason for them to exist because they are well-organized businesses. They make billions of euros, either from people who give too much money for these NGOs to exist, or from states that finance them directly or indirectly with grants, or from individuals who want to alienate Europe's population. This is the logic and the view of Europeans and Greeks alike. Here, the idea that we need labor from Pakistanis, Afghans, and Bangladeshis, or that we have a demographic problem, as the Prime Minister says, and that we need to graft new arrivals of people into Greece, reminds me of the man who, when his tooth hurts, cuts off his head to solve his problem. By doing this, you are giving incentives to Greek families and Europeans to have children and not to bring in something that may not be able to be grafted, something that may not be easily assimilated, with the consequence that we see tragic images and situations in Europe from those who are not assimilated.","Η άποψή μας εξ ορισμού είναι αποτροπή και η αποτροπή επιτυγχάνεται το είπα και χθες και το ξαναπώ ακόμη μια φορά με βασικά μέτρα. Πρώτον, κλείνεις όλες τις μη κυβερνητικές οργανώσεις. Δεν υπάρχει λόγος ύπαρξής τους γιατί είναι μπίζνες καλά οργανωμένες. Βγάζουν δισεκατομμύρια ευρώ, είτε από ανθρώπου, οι οποίοι δίνουν πάρα πολύ χρήμα για να υπάρχουν αυτές οι ΜΚΟ, είτε από κράτη τα οποία χρηματοδοτούν έμμεσα ή άμεσα με επιχορηγήσεις, είτε από τα φυσικά πρόσωπα που θέλουν να αλώσουν την Ευρώπη πληθυσμιακά. Η λογική και η άποψη των Ευρωπαίων αλλά και των Ελλήνων. Εδώ ότι χρειαζόμαστε εργατικά χέρια για αυτό και πρέπει να έχουμε εδώ Πακιστανούς, Αφγανούς, Μπαγκλαντεσιανούς ή ότι έχουμε δημογραφικό πρόβλημα, όπως λέει ο πρωθυπουργός και πρέπει να μπολιάσουμε την Ελλάδα με νέες αφίξεις ανθρώπων, να τους πω ότι είναι μια λογική που μου θυμίζει αυτόν που όταν πονάει το δόντι του κόβει το κεφάλι του για να λύσει το δημογραφικό σου πρόβλημα δίνεις κίνητρα στις ελληνικές οικογένειες, στους Ευρωπαίους να γεννήσουν παιδιά και όχι να φέρεις κάτι το οποίο μπορεί να μην μπορεί να μπολιαστεί εντός εισαγωγικών, κάτι που μπορεί να μην αφομοιώνεται εύκολα, με συνέπεια να βλέπουμε τραγικές εικόνες και καταστάσεις στην Ευρώπη από τους μη αφομοιωμένους. ",criticism,migration,other,-0.75,0.7,0.2,"[['europeans', 'group of people', '0.75'], ['greeks', 'group of people', '0.75'], ['pakistanis', 'group of people', '0.5'], ['afghans', 'group of people', '0.5'], ['bangladeshis', 'group of people', '0.5'], ['prime minister', 'person', '0.75'], ['greece', 'country', '0.75'], ['europe', 'location', '0.75']]"
5,"I say this so that some people will understand that the second thing a serious state should do, apart from closing the houses, is to impose life sentences on slave traders. And when we say life sentences, they will never get out of there again. They will never see the sun again, not after 15 years, not after 18. They will never see the sun again for life. Slavers, whether on this side - and I'm talking about Greece - or if we push someone else on the other side that's coming.","Το λέω έτσι για να το καταλάβουν ορισμένοι το δεύτερο που πρέπει να κάνει μια σοβαρή πολιτεία πέρα από το κλείσιμο των οικιών, είναι να κάνουμε πλέον ισόβια τις ποινές των δουλεμπόρων και όταν λέμε ισόβια δεν θα ξαναβγούν από κει μέσα. Δεν θα ξαναδούν ήλιο, όχι ισόβια 15 χρόνια είμαι έξω 18. Δεν θα ξαναδούν ήλιο ισόβια. Δουλεμπόρους είτε από την εδώ πλευρά και αναφέρομαι στην Ελλάδα είτε αν πιέσουμε κάποιον άλλον από την άλλη πλευρά που έρχεται. ",political agenda,migration,other,-0.5,0.1,0.0,"[['greece', 'location', '0.7']]"
6,"The third thing we have to do is to sanction the moral and physical perpetrator, which is Turkey. No party dares to touch this issue. To say that the person who sends them here has a full name. And it is Turkey that is instrumentalizing the issue, it is Turkey that is sending us here, it is Turkey that is blackmailing us, and not only Greece but the whole of Europe.",Το τρίτο που πρέπει να κάνουμε είναι κυρώσεις στον ηθικό και φυσικό αυτουργό που λέγεται Τουρκία. Κανένα κόμμα δεν τολμά να αγγίξει το θέμα αυτό. Να πει δηλαδή ότι αυτός που τους στέλνει εδώ έχει ονοματεπώνυμο. Και είναι η Τουρκία αυτή η εργαλειοποιεί το θέμα αυτή μας στέλνει εδώ αυτή μας εκβιάζει και όχι μόνο την Ελλάδα και όλη την Ευρώπη.,political agenda,migration,sea borders,-0.8,0.0,0.2,"[['turkey', 'location', '1.0'], ['greece', 'location', '1.0'], ['europe', 'location', '1.0']]"
7,"What we also have to do is deter, no more benefits. Greece cannot be an attractive place. When you give people benefits in Greece, they put up pictures on Facebook with 500 euros, 100 euros, or 50 euros. People in their areas see this and they have houses and telephones. But it is normal because they are also unhappy and poor and want to come here.","Αυτό που, επίσης, που πρέπει να κάνουμε είναι αποτροπή, τέρμα τα επιδόματα. Δεν θα είναι ελκυστικός χώρος η Ελλάδα δεν μπορεί να είναι ελκυστικός χώρος. Η Ελλάδα όταν δίνεις επιδόματα σε ανθρώπους, βγάζουν στο facebook εικόνες με 500ευρα, οι 100ευρα ή 50ευρα τα βλέπουν οι άνθρωποι στις περιοχές τους έχουν και σπίτια, έχουν και τηλέφωνα. Αλλά είναι φυσιολογικό επειδή είναι και δυστυχισμένοι, είναι και φτωχοί να θέλουν να έρθουν εδώ.",political agenda,migration,other,-0.7,0.1,0.0,"[['greece', 'location', '1.0'], ['facebook', 'organization', '0.7'], ['500 euros', 'date', '0.6'], ['100 euros', 'date', '0.6'], ['50 euros', 'date', '0.6']]"
8,"Another way, and I must point this out here, is to copy the Danish or even the German model. I could say a lot about this. Yesterday, I mentioned on a television channel to Mr Hatzinikolaou the ban on sending remittances better than they are in their countries, and he said to me, ""it is not done, it is money that is given."" So, therefore, I will not give money. I will give what I say instead of giving the Greek. I will give the Pakistani that is to go and buy food, buy clothes, not money. And dash that our money stays here. There are ways to ban money from leaving your country. Denmark, of course, has done what we have proposed since 2020 to the Greek government. A study proved that it could be much easier to get the money out and it could be much less to spend on hosting these people. Of course, accommodate what you want, not whoever comes in through the window of your house. The one who comes in through the window of your house may not be a guest, but I dimensionally say this to do what Denmark does has made agreements with North African countries and sends those who are not entitled to asylum or those who need to be told if they will get asylum these people to North African countries at an eleventh of the cost if they were in closed centres and subsidised in Denmark. We can do that too. But the people of the New Democracy, SYRIZA, and PASOK because they are intertwined and maybe even earning and many of them money we know in the Prime Minister's entourage Mrs. Lymperaki has some special connections with Open Society. People of PASOK of SYRIZA I would say are feeding on these funds. Not illegally, but in any case, in our view, unethically, because that is what is wrong that these bodies are doing.","Ένας ακόμη τρόπος και εδώ πρέπει να το επισημάνω είναι να αντιγράψουμε το μοντέλο της Δανίας ή ακόμα και της Γερμανίας. Θα μπορούσα να πω πολλά για το θέμα αυτό. Χθες ανέφερα σε ένα τηλεοπτικό δίαυλο στον κύριο Xατζηνικολάου, την απαγόρευση αποστολής των συναλλαγμάτων των εμβασμάτων καλύτερα από αυτούς μέσα γκολ στις χώρες τους και μου λέει, δεν γίνονται αυτά πως δεν γίνονται, είναι χρήμα που δίδεται. Άρα λοιπόν δεν θα δώσω χρήμα, θα δίνω αυτό που λέω εγώ αντί να δίνω πιασει τον Έλληνα θα δίνω στον Πακιστανό δηλαδή να πήγε να αγοράσει τρόφιμα, να αγοράζει ρούχα, όχι χρήματα. Και παύλα να μένουν εδώ τα λεφτά μας. Υπάρχουν τρόποι να απαγορεύσεις την έξοδο των χρημάτων από τη χώρα σου. Η Δανία, βέβαια, έκανε αυτό που προτείναμε από το 2020 στην ελληνική κυβέρνηση. Μία μελέτη η οποία απέδειξε ότι μπορούσαν να βγουν πολύ πιο εύκολα τα χρήματα και να είναι πολύ λιγότερα να δαπανηθούν για τη φιλοξενία αυτών των ανθρώπων. Βέβαια φιλοξένησε αυτό που θέλεις, όχι αυτόν που μπαίνει από το παράθυρο του σπιτιού σου. Αυτός που μπαίνει από το παράθυρο του σπιτιού σου δεν μπορεί να είναι και φιλοξενούμενος, αλλά εγώ διασταλτικά το λέω αυτό να κάνουμε ότι κάνει Δανία έκανε συμφωνίες με χώρες της Βορείου Αφρικής και αποστέλλει όσους δεν δικαιούνται άσυλο ή όσους πρέπει να λεχθούν αν θα πάρουν άσυλο αυτούς τους ανθρώπους σε χώρες της Βορείου Αφρικής με το ενδέκατο του κόστους, αν ήταν σε κλειστά κέντρα και επιδοτούνταν στην Δανία, μπορούμε να το κάνουμε και αυτό. Αλλά οι άνθρωποι της νέας Δημοκρατίας, του ΣΥΡΙΖΑ και του ΠΑΣΟΚ επειδή διαπλέκονται και ίσως και να κερδίζουν και πολλοί εξ αυτών χρήματα ξέρουμε στο περιβάλλον του πρωθυπουργού η κυρία Λυμπεράκη έχει κάποιες ιδιαίτερες σχέσεις με την Open Society. Άνθρωποι του ΠΑΣΟΚ του ΣΥΡΙΖΑ θα έλεγα ότι τρέφονται από αυτά τα κονδύλια. Όχι παράνομα, αλλά εν πάση περιπτώσει, κατά την άποψή μας ανήθικα, γιατί αυτό είναι λάθος που κάνουν οι συγκεκριμένοι φορείς. ",criticism,migration,other,,0.6,0.0,"[['danish', 'location', '1.0', ''], ['german', 'location', '1.0', ''], ['hatzinikolaou', 'person', '0.7', ''], ['greek', 'nationality', '0.5', ''], ['pakistani', 'nationality', '0.5', ''], ['greece', 'country', '0.9', ''], ['denmark', 'country', '1.0', ''], ['north african', 'location', '0.7', ''], ['new democracy', 'political party', '0.5', ''], ['syriza', 'political party', '0.5', ''], ['pasok', 'political party', '0.5', ''], ['prime minister', 'organization', '0.6', ''], ['lymperaki', 'person', '0.6', ''], ['open society', 'organization', '0.7']]"
9,"I would like to dwell a little on Mr Tsipras' verbal mistake yesterday because New Democracy is used to turning verbal mistakes into flags. I will say to Mr Tsipras that the drinker gets drunk, the gambler loses, and the speaker is exposed. I do not know whether that was a verbal error about the Turkish minority in Thrace. I accept that. I do not want to believe that there is a Greek political leader who believes that there is a Turkish minority in Thrace. I find it unthinkable.","Θα ήθελα να μείνω λίγο στο λεκτικό λάθος του κυρίου Τσίπρα χθες, επειδή η Νέα Δημοκρατία συνηθίζει λεκτικά λάθη να τα κάνεις σημαίες. Θα πω στον κύριο Τσίπρα ότι o πίνων Μεθά, o παίζων χάνει και ο ομιλών εκτίθεται. Αυτό το περί τουρκικής μειονότητας στη Θράκη δεν ξέρω αν ήταν λεκτικό λάθος. Εγώ αυτό δέχομαι. Δεν θέλω να πιστέψω ότι υπάρχει Έλληνας πολιτικός αρχηγός που πιστεύει ότι υπάρχει τουρκική μειονότητα στη Θράκη. Το θεωρώ αδιανόητο. ",criticism,external affairs,other,-0.4,0.1,0.0,"[['mr tsipras', 'person', '1.0'], ['new democracy', 'political party', '1.0'], ['mr tsipras', 'person', '1.0'], ['turkish', 'group of people', '0.9'], ['thrace', 'location', '1.0'], ['greek', 'country', '1.0']]"
10,"But I'm sorry that both parties are skimping on this issue by attempting, and I'm sure most major national stations will not broadcast this, to stop the information in relation to Mr. Alafuzos' relationships with armored cars, the Greek Mafia, hired guns, and assassins. Those of you who have been following what is happening are unbelievable. All the channels are trying to cover this story, and I think that some of the issues that came out and were blown up so much were done for one reason only: to darken the other issues involved - the oil smuggling, the underground economy, the black money, the connection of politicians and people around the Prime Minister's entourage with canal lords and hired killers. I say it like that. I don't want to comment further, in the sense that the judiciary has intervened and I cannot comment further. But what I can say is that the Prime Minister and the New Republic, in the house of the hanged man, they do not talk about rope.","Λυπάμαι όμως που τα δύο κόμματα ξιφουλκούν στο θέμα αυτό επιχειρώντας και είμαι βέβαιος ότι οι περισσότεροι μεγάλοι πανελλαδικοί σταθμοί δεν θα το μεταδώσουν αυτό. Να σταματήσουν τις πληροφορίες σε σχέση με τις σχέσεις του κυρίου Αλαφούζου. Με θωρακισμένα αυτοκίνητα. Με την Greek Mafia τα πληρωμένα πιστόλια και τους δολοφόνους. Όσοι παρακολουθείτε αυτά που συμβαίνουν είναι απίστευτα. Όλα τα κανάλια επιχειρούν να καλύψουν αυτή την ιστορία και θεωρώ ότι μερικά θέματα που βγήκαν και διογκώθηκαν τόσο πολύ έγιναν για ένα και μόνο λόγο για να καλύψουν με σκοτάδι τα υπόλοιπα ζητήματα που αφορούν.Το λαθρεμπόριο πετρελαίου, tην παραοικονομία, το μαύρο χρήμα, τη σύνδεση πολιτικών και προσώπων γύρω από το περιβάλλον του πρωθυπουργού. Με kαναλάρχες και με πληρωμένους δολοφόνους. Το λέω έτσι, δεν θέλω να το σχολιάσω περαιτέρω, υπό την έννοια ότι έχει παρέμβει η δικαιοσύνη και δεν μπορώ να κάνω περισσότερα σχόλια. Αυτό που μπορώ να πω όμως είναι στον κύριο πρωθυπουργό και στη Νέα Δημοκρατία, στο σπίτι του κρεμασμένου δεν μιλάνε για σκοινί. ",criticism,corruption,corruption,-0.6,0.3,0.0,[]
