id,text,text_el,is_criticism,topic-context,subtopic-context,sentiment,polarization-definition,populism-definition,ner-limited
1,"Friends, I want to thank you very much for your presence. It is a great honor. Today here in Alexandroupolis we continue our struggle for vindication on May 21, a vindication that is not partisan, it is a vindication against the arrogance of power against the client state against the lack of respect for institutions and democracy against political forces that unfortunately invest in populism and toxicity.","Φίλες και φίλοι, θέλω να σας ευχαριστήσω πάρα πολύ για την παρουσία σας. Είναι μεγάλη μας τιμή. Σήμερα εδώ στην Αλεξανδρούπολη συνεχίζουμε δυναμικά τον αγώνα μας για την δικαίωση στις 21 Μαΐου, μια δικαίωση που δεν είναι κομματική, είναι μια δικαίωση απέναντι στην αλαζονεία της εξουσίας απέναντι στο πελατειακό κράτος απέναντι στην έλλειψης σεβασμού των θεσμών και της δημοκρατίας απέναντι δυστυχώς σε πολιτικές δυνάμεις που επενδύουν στο λαϊκισμό και την τοξικότητα.",criticism,democracy,populism,0.1,0.6,0.2,"[['alexandroupolis', 'location', '1.0'], ['may 21', 'date', '1.0']]"
2,"You know very well that for the last eight and a half years we have been living the day of the groundhog, Mr Tsipras used to say. I will tear up the memoranda and he overtaxed the middle class, he brought in the super funds. He brought in a TV licence tender that we have been saying since then was illegal and took his closest associate to the Special Court, convicted with 13 zeros. Instead of having him sent home, he has him on his ballot. This is justice everywhere. Justice for all of us, for all the Greek people, but not for his close associates.
And of course the red loans he was telling you Stisachthia and gave billions of red loans to the funds, which now the loan sharks are extorting thousands of Greek borrowers, small and medium enterprises and leading the Greek economy to wither and depreciation.","Γνωρίζετε πάρα πολύ καλά ότι τα τελευταία οκτώμισι χρόνια ζούμε τη μέρα της μαρμότας, έλεγε ο κύριος Τσίπρας. Θα σκίσω τα μνημόνια και υπερφορολόγησε τη μεσαία τάξη, έφερε τα υπερ ταμεία. Έφερε έναν διαγωνισμό τηλεοπτικών αδειών που από τότε λέγαμε ότι είναι παράνομος και οδήγησε το στενότερό του συνεργάτη του στο Ειδικό Δικαστήριο, καταδικασμένο με 13 μηδέν. Αντί να τον έχει στείλει σπίτι του, τον έχει στα ψηφοδέλτιά του. Αυτό είναι το δικαιοσύνη παντού. Δικαιοσύνη για όλους εμάς, για όλο τον ελληνικό λαό, αλλά όχι για τους στενούς του συνεργάτες.
Και βέβαια τα κόκκινα δάνεια σας έλεγε Σεισάχθεια και έδωσε δισεκατομμύρια κόκκινα δάνεια στα funds, τα οποία τώρα οι τοκογλύφοι εκβιάζουν χιλιάδες Έλληνες δανειολήπτες, μικρομεσαίες επιχειρήσεις και οδηγούν την ελληνική οικονομία στο μαρασμό και στην απαξίωση. ",criticism,accountability,other,-0.9,0.2,0.2,"[['tsipras', 'person', '1.0'], ['greek people', 'group of people', '1.0'], ['special court', 'organization', '1.0'], ['greek', 'location', '1.0'], ['years', 'date', '1.0']]"
3,"And then Mr Mitsotakis. And what did we see of Mr. Mitsotakis? to answer the question why PASOK? I saw Mr Mitsotakis. Increasing the public debt by 50 billion. We saw Mr Mitsotakis increasing inequalities, we have an economic crisis, a pandemic crisis, and instead of the rich losing, the poorer people are losing.","Και μετά ο κύριος Μητσοτάκης. Και τί είδαμε τον κύριο Μητσοτάκη; για να απαντήσουμε στο γιατί ΠΑΣΟΚ; Είδα τον κύριο Μητσοτάκη. Να αυξάνει το δημόσιο χρέος 50 δισεκατομμύρια. Είδαμε τον κύριο Μητσοτάκη να αυξάνονται οι ανισότητας, να έχουμε οικονομική κρίση, πανδημική κρίση και αντί να χάνουνε οι πλούσιοι να χάνουν οι φτωχότεροι. ",criticism,debt,economic crisis,-0.8,0.2,0.2,"[['mr mitsotakis', 'person', '1.0'], ['pasok', 'political party', '1.0.']]"
4,"In the energy crisis the big oil producers are earning billions that they didn't earn in the previous years when there was no energy crisis, because our new taxes are the subsidies that he gave them from the taxes of the Greek people to reduce the tariffs, but he's going through one pocket and putting it in the other. Is that all we have seen?","Στην ενεργειακή κρίση οι μεγάλοι πετρελαιοπαραγωγοί να κερδίζουνε δισεκατομμύρια που δεν τα κέρδισαν τα προηγούμενα χρόνια που δεν υπήρχε και η ενεργειακή κρίση, γιατί οι νέοι φόροι μας είναι οι επιδοτήσεις που τους έδωσε από τους φόρους του ελληνικού λαού για να μειώσει τα τιμολόγια, αλλά πέρα απ τη μια τσέπη και τα βάζει στην άλλη. Μόνο αυτό είδαμε; ",criticism,energy,energy crisis,-0.3,0.1,0.2,"[['greek people', 'group of people', '0.7'], ['greek', 'country', '0.6']]"
5,"We didn't have the eavesdropping state, we haven't had such a state for decades and a prime minister appears to cover up for his nephew and the NSA or the competent prosecutor and businessmen who were dealing with these illegal software. Didn't they bring them into parliament, they became a shield to protect this parasite and he says he is a liberal? That is not liberalism. That's agitation for power. It's arrogance. It's all that they have to fight for.","Δεν είχαμε το παρακράτος των υποκλοπών, είχαμε να ζήσουμε τέτοιο παρακράτος δεκαετίες και εμφανίζεται ένας πρωθυπουργός να συγκαλύπτει τον ανιψιό του και την ΕΥΠ ή και την αρμόδια εισαγγελέας και επιχειρηματίες που εμπορεύονταν με αυτά τα παράνομα λογισμικά. Δεν τους έφεραν στη Βουλή, έγιναν ασπίδα προστασίας αυτού του παρακράτους και λέει ότι είναι φιλελεύθερος; Αυτό δεν είναι φιλελευθερισμός. Αυτό είναι η αγωνία για την εξουσία. Είναι η αλαζονεία. Είναι όλα αυτά που πρέπει να αγωνιστούν.",criticism,accountability,other,-0.8,0.5,0.2,"[['1. prime minister', 'person', '0.9'], ['2. nephew', 'person', '0.6'], ['3. nsa', 'organization', '0.7'], ['4. prosecutor', 'person', '0.6'], ['5. businessmen', 'group of people', '0.7'], ['6. parliament', 'location', '0.8'], ['7. liberalism', 'political party', '0.5']]"
6,"To do. A new beginning. For the Greek people to feel that our party is fighting for justice, for change, for fair and sustainable development, you know? Even at the European level and these 2 governments have exposed us; irreparably in 2015, don't you remember what happened in the referendum of mockery?
The Greek people voted no and suddenly. Mr. Tsipras makes the no a yes.","Για να κάνουμε. Μια νέα αρχή. Να νιώσει ο ελληνικός λαός ότι η παράταξή μας αγωνίζεται για τη δικαιοσύνη, για την αλλαγή, για τη δίκαιη και βιώσιμη ανάπτυξη, ξέρετε; Ακόμη και σε ευρωπαϊκό επίπεδο και οι 2 αυτές κυβερνήσεις μας έχουν εκθέσει.Ανεπανόρθωτα το 2015 δεν θυμάσαι τι έγινε το δημοψήφισμα της κοροϊδίας;
Ψήφισε ο ελληνικός λαός όχι και ξαφνικά. ο κύριος Τσίπρας κάνει το όχι ναι.",criticism,democracy,austerity,-0.6,0.0,0.2,"[['greek people', 'group of people', '1.0'], ['party', 'organization', '1.0'], ['european level', 'location', '1.0'], ['governments', 'organization', '1.0'], ['mr. tsipras', 'person', '1.0'], ['2015', 'date', '1.0'], ['greek', 'country', '1.0']]"
7,"A month ago that the European institutions and they say, we want to see the government, it's never before that a Greek government does not accept European institutions, saying there's no need to meet you on human rights issues. So here we are talking about two people who I do not reject it, because it is a question of ego, I do it because I believe that the protagonists of problems and disparagement cannot be the protagonists of solutions, but they must be marginalized and there must be a democratic progressive solution.","Πριν από ένα μήνα ότι οι ευρωπαϊκοί θεσμοί και λένε, θέλουμε να δούμε την κυβέρνηση, δεν έχει ξαναγίνει ελληνική κυβέρνηση να μη δεχτεί ευρωπαϊκούς θεσμούς, λέγοντας ότι δεν υπάρχει λόγος να σας συναντήσουμε για τα θέματα ανθρωπίνων δικαιωμάτων. Εδώ μιλάμε λοιπόν για 2 πρόσωπα τα οποία εγώ δεν το απορρίπτω, διότι είναι ένα ζήτημα εγωισμού, το κάνω γιατί πιστεύω ότι οι πρωταγωνιστές των προβλημάτων και της απαξίωσης δεν μπορούν να είναι πρωταγωνιστές των λύσεων, αλλά πρέπει να οδηγηθούν στο περιθώριο και να υπάρξει μία λύση δημοκρατική προοδευτική. ",political agenda,accountability,other,-0.35,0.2,0.0,"[['european institutions', 'organization', '0.9'], ['greek government', 'organization', '0.9'], ['human rights issues', 'group of people', '0.6'], ['european institutions', 'organization', '0.9'], ['greek government', 'organization', '0.9']]"
8,"That is why I am also asking for a strong mandate from Evros, so that we can have stability and progress from the first Sunday onwards with programmatic convergences and not to set up false dilemmas. What are the dilemmas?
It says We are the two of us, there are no others. Did we see what you did? Here, he added, Mr Tsipras was saying that German social democracy says Co-govern. But he, the German democracy is coming to the German Co-governing wrong and was discredited when he agreed with Merkel. Now the German social democracy has become good and is in coalition with the Liberals and Greens.","Γι αυτό ζητώ και εδώ από τον Έβρο ισχυρή εντολή για να έχουμε σταθερότητα και πρόοδο από την πρώτη την πρώτη Κυριακή με προγραμματικές συγκλίσεις και όχι να να βάζουν ψευδεπίγραφα διλήμματα. Ποια είναι τα διλήμματα;
Λέει Εμείς οι 2 είμαστε, δεν υπάρχουν άλλοι. Σας είδαμε τι κάνατε; Εδώ, πρόσθεσε Ο κύριος Τσίπρας έλεγε ότι η γερμανική σοσιαλδημοκρατία λέει Συγκυβερνά. Μα ο ίδιος, έρχεται η γερμανική στους δημοκρατία συγκυβερνά λάθος και είχε απαξιωθεί όταν συμφωνούσε με την Μέρκελ. Τώρα έγινε καλή η γερμανική σοσιαλδημοκρατία που κάνει συνασπισμό με Φιλελεύθερους και Πράσινους ",criticism,elections,coalition,0.0,0.0,0.0,"[['evros', 'location', '1'], ['mr tsipras', 'person', '1'], ['german', 'country', '1'], ['merkel', 'person', '1'], ['german social democracy', 'political party', '1'], ['liberal', 'organization', '1'], ['greens', 'organization', '1']]"
9,"or does Mitsotakis say I insulted him by not meeting him? He has never asked me for an official meeting, he has never asked me for a meeting on a national issue, on a social issue. According to protocol in Parliament, he sees me one day and says to me in front of 20 journalists, 'Come and meet me, we are not neighbours, nor are we in a café in the Greek Parliament. There are institutional procedures, we are political leaders and we have to behave in an institutional manner. But you know, it's unthinkable that while I'm being lied to that he hasn't said a word when Mr. Economou, the press spokesman of the New Democracy government insulted PASOK during the Easter holidays, but we didn't hear a New Democracy official tell him to apologize or make a statement. So that is why political culture and lessons from those who set up digital gangs on the Internet, an organised parastate, are not accepted by this party of Andreas Papandreou's party of democracy, social justice and Greek dignity.","ή ο Μητσοτάκης λέει ότι τον προσέβαλα που δεν τον συνάντησα; Δεν μου έχει ζητήσει ποτέ επίσημη συνάντηση, ποτέ δεν μου ζήτησε συνάντηση για ένα εθνικό θέμα, για ένα κοινωνικό ζήτημα. Βάσει πρωτοκόλλου στη Βουλή με δει μια μέρα και μου λέει μπροστά σε 20 δημοσιογράφους, Έλα να συναντηθούμε, δεν είμαστε γείτονες, ούτε είμαστε σε καφενείο στο ελληνικό κοινοβούλιο. Υπάρχουν θεσμικές διαδικασίες, είμαστε πολιτικοί αρχηγοί και οφείλουμε να συμπεριφερόμαστε στα θεσμικά. Αλλά ξέρετε, είναι αδιανόητο την ώρα που με ψέγει αυτό να μην έχει πει μια κουβέντα όταν ο κύριος Οικονόμου, ο εκπρόσωπος τύπου της κυβέρνησης της Νέας Δημοκρατίας καθύβρισε το ΠΑΣΟΚ τις μέρες του Πάσχα, αλλά δεν ακούσαμε ένα στέλεχος Νέας Δημοκρατίας να του πει να ζητήσει συγγνώμη ή να βγάλουν μια ανακοίνωση. Γι' αυτό λοιπόν, πολιτικό πολιτισμό και μαθήματα από αυτούς που στήσανε ψηφιακές συμμορίες στο Διαδίκτυο, ένα οργανωμένο παρακράτος, αυτή η παράταξη του Ανδρέα Παπανδρέου της δημοκρατίας της κοινωνικής δικαιοσύνης και της ελληνικής αξιοπρέπειας δεν δέχεται.",criticism,accountability,other,-0.5,0.6,0.0,"[['mitsotakis', 'person', '0.9'], ['parliament', 'organization', '0.7'], ['new democracy', 'political party', '0.8'], ['pasok', 'political party', '0.7'], ['easter holidays', 'date', '0.5'], ['andreas papandreou', 'person', '0.6'], ['greek', 'location', '0.5.']]"
10,"So here, from Evros, I want to look at the big issues. Why is the population decreasing? The biggest issue in Greece is demographic. Why is our population decreasing? Because we do not have a strong welfare state, the cost of living is galloping, private spending is third in Europe.","Εδώ λοιπόν,από τον Έβρο θέλω να δούμε τα μεγάλα ζητήματα. Γιατί μειώνεται ο πληθυσμός; Το μεγαλύτερο ζήτημα της Ελλάδας είναι το δημογραφικό. Γιατι μειώνεται ο πληθυσμός μας; Γιατί δεν έχουμε ένα ισχυρό κοινωνικό κράτος, το κόστος ζωής καλπάζει, ιδιωτικές δαπάνες είναι τρίτες στην Ευρώπη. ",political agenda,social state,economic equity,-0.5,0.0,0.0,"[['evros', 'location', '1.0'], ['greece', 'country', '1.0']]"
11,"The pension is starving, there are no good jobs. Mitsotakis' growth is a growth of 400 € for young people, a young person with 400 € cannot build a life of dignity. So what do we say to your children and grandchildren who have boarded planes and gone to European countries and other third countries? We say that we have a programme that will bring sustainable development, regional development. We are the party of regional development.","Η σύνταξη είναι της πείνας, δεν υπάρχουν καλές θέσεις εργασίας. Η ανάπτυξη του Μητσοτάκη είναι μια ανάπτυξη των 400 € για τους νέους δεν μπορεί ένας νέος με 400 € να οικοδομήσει μια ζωή αξιοπρεπιας. Εμείς λοιπόν τι λέμε στα παιδιά σας και στα εγγόνια σας που έχουνε μπει σε αεροπλάνα και έχουν πάει σε χώρες της Ευρώπης και άλλες τρίτες χώρες; Λέμε ότι έχουμε ένα πρόγραμμα που θα φέρει τη βιώσιμη ανάπτυξη, την περιφερειακή ανάπτυξη. Εμείς είμαστε το κόμμα της Περιφερειακής ανάπτυξης. ",political agenda,employment,employment,0.2,0.1,0.3,"[['mitsotakis', 'person', '0.8'], ['european countries', 'location', '0.6'], ['third countries', 'location', '0.6'], ['party of regional development', 'organization', '0.8']]"
