id,text,text_el,is_criticism,topic-context,subtopic-context,sentiment,polarization-definition,populism-definition,ner-limited
1,"Friends, it is a real thrill for me to be here today in the city that I know every single alley because in Xanthi and Komotini I spent the most important years of my life, my student years. I got attached to the people, to the mentality, to the culture, to the history. And the multiculturalism of a jewel of Greece, which is our Thrace.","Φίλες και φίλοι είναι πραγματικά μεγάλη η συγκίνηση μου που σήμερα είμαι στην πόλη που γνωρίζω κάθε της σοκάκι διότι στην Ξάνθη και στην Κομοτηνή πέρασα τα σημαντικότερα χρόνια της ζωής μου, τα φοιτητικά χρόνια. Δέθηκα με τους ανθρώπους με τη νοοτροπία, με τον πολιτισμό, με την ιστορία. Και την πολυπολιτισμικότητα ενός κοσμήματος της Ελλάδας που είναι η Θράκη μας.",political agenda,culture,other,0.8,0.0,0.0,"[['xanthi', 'location', '1.0'], ['komotini', 'location', '1.0'], ['greece', 'country', '1.0'], ['thrace', 'location', '1.0']]"
2,"I'm really happy because I see all generations here. Old friends. Comrades. People who started our student years together in the PASP. Who fought for a strong public university. We fought a struggle against preservation, all forms of preservation. Conservation that wanted the university. A supposed sanctuary of ideas, but without allowing the democracy of pluralism of ideas. Forces that wanted the university, a family-based mechanism for the selection of persons by certain mechanisms at the expense of the meritocracy of transparency. Forces that did not understand. That the great value of our party is the power of change. The power of justice, the power of democracy.","Πραγματικά χαίρομαι γιατί βλέπω εδώ όλες τις γενιές. Παλιούς φίλους. συντρόφους. Ανθρώπους που ξεκινήσαμε μαζί τα φοιτητικά μας χρόνια στη Σπουδάζουσα, στην ΠΑΣΠ. Που δώσαμε αγώνες για ένα δημόσιο ισχυρό πανεπιστήμιο. Δώσαμε αγώνας απέναντι στη συντήρηση, κάθε μορφής συντήρηση. Συντήρηση που ήθελε το πανεπιστήμιο. Ένα Δήθεν άσυλο ιδεών, αλλά χωρίς να επιτρέπεται η δημοκρατία του πλουραλισμού των ιδεών. Δυνάμεις που ήθελαν το πανεπιστήμιο, έναν οικογενειοκρατικό μηχανισμό επιλογής προσώπων από συγκεκριμένους μηχανισμούς εις βάρος της αξιοκρατίας της διαφάνειας. Δυνάμεις που δεν καταλάβαιναν. Ότι μεγάλη η αξία της παράταξης μας είναι η δύναμη της αλλαγής. Η δύναμη της δικαιοσύνης, η δύναμη της δημοκρατίας.",political agenda,democracy,other,0.65,0.0,0.0,"[['pasp', 'organization', '1.0'], ['party', 'political party', '0.5'], ['university', 'organization', '0.5'], ['forces', 'group of people', '0.5'], ['democracy', 'political party', '0.5']]"
3,"So I am glad because I started my political career from this place. I have become President of the Democratic Party and I have a very great duty, but one that we all have to fulfil together. On 21 May, we must raise the PASOK sun again, the sun of justice, hope and prospects for every Greek, the flag of PASOK, social justice and national dignity. PASOK, as the Dear Secretary said, has come a long way and will go a long way, for one reason alone. Because at every critical turn in history it was the movement that ensured the public interest and the dignity of all the Greek people, addressing social inequalities and institutional respect.","Χαίρομαι λοιπόν, διότι ξεκίνησα την πολιτική μου πορεία, από αυτόν εδώ τον τόπο. Έγινα Πρόεδρος της δημοκρατικής παράταξης και έχω ένα πολύ μεγάλο χρέος που οφείλουμε όμως να εκπληρώσουμε όλοι μαζί. Στις 21 Μαίου να σηκώσουμε ξανά ψηλά τον ήλιο του ΠΑΣΟΚ, τον ήλιο της δικαιοσύνης, της ελπίδας και της προοπτικής για κάθε Ελληνίδα και κάθε Έλληνα, τη σημαία του ΠΑΣΟΚ, της κοινωνικής δικαιοσύνης και της εθνικής αξιοπρέπειας. Το ΠΑΣΟΚ, όπως είπε και ο Αγαπητός Γραμματέας, ήρθε από πολύ μακριά και θα πάει πολύ μακριά.Για ένα και μόνο λόγο. Διότι σε κάθε κρίσιμη στροφή της ιστορίας ήταν το κίνημα που διασφάλισε το δημόσιο συμφέρον και την αξιοπρέπεια όλου του ελληνικού λαού, την αντιμετώπιση των κοινωνικών ανισοτήτων και το θεσμικό σεβασμό. ",political agenda,democracy,other,0.7,0.0,0.0,"[['pasok', 'political party', '0.9'], ['president', 'person', '0.8'], ['democratic party', 'organization', '0.7'], ['greek', 'nationality/country', '0.7'], ['may 21', 'date', '0.6']]"
4,"When we are witnessing unbelievable corruption. Phenomena of contempt for the intelligence of citizens, phenomena of contempt for institutions. That's where PASOK is. It is our duty to stand in the way of Mr Mitsotakis' incredible arrogance. The arrogance that only yesterday we learned what we all imagined. That the excellence that the secretary said has set up a mechanism that exploits our taxes to build a political empire. So listen, please, what happened yesterday? 74. Probably 44 of the 74 members of the New Democracy Electoral Commission. They are members of agencies, boards of directors of agencies, temporary employees, presidents of general agencies, secretaries general of ministries. What does this mean? It means that we are paying for his scales all over Greece to collect votes for Mr Mitsotakis out of our own pockets. That is where their audacity has reached, that they do not respect the fact that we are going into an election campaign and that each party alone, with respect for the institutions and transparency, must fight its own battle. The arrogance of the aristocrats. A client state.","Όταν ζούμε φαινόμενα απίστευτης διαφθοράς. Φαινόμενα περιφρόνησης της νοημοσύνης των πολιτών, φαινόμενα περιφρόνησης των θεσμών. Εκεί είναι το ΠΑΣΟΚ. Το χρέος να μπούμε εμπόδιο στην απίστευτη αλαζονεία του κυρίου Μητσοτάκη. Στην αλαζονεία που μόλις χθες μάθαμε, αυτό που φανταζόμασταν όλοι. Ότι η άριστοι που είπε ο γραμματέας έχουν στήσει ένα μηχανισμό, ο οποίος εκμεταλλεύεται τους φόρους μας για να συγκροτεί ένα πολιτικό ιμπέριουμ. Ακούστε λοιπόν, παρακαλώ, τι έγινε χθες; 74. Μάλλον 44 από τα 74 μέλη της εκλογικής επιτροπής της Νέας Δημοκρατίας. Είναι μέλη οργανισμών, διοικητικών συμβουλίων οργανισμών, μετακλητοί υπάλληλοι, πρόεδροι γενικών οργανισμών, γενικοί γραμματείς υπουργείων. Τι σημαίνει αυτό; Ότι τα κλιμάκια του σ' όλη την Ελλάδα για να μαζεύουν ψήφους για τον κύριο Μητσοτάκη, τα πληρώνουμε εμείς από την τσέπη μας. Εκεί έχει φτάσει το θράσος τους που δεν σέβονται ότι πάμε σε μια προεκλογική εκστρατεία και πρέπει κάθε κόμμα μόνο του, με σεβασμό στους θεσμούς και τη διαφάνεια, να δώσει τον αγώνα του. Η αλαζονεία των αρίστων. Πελατειακό κράτος.",criticism,other,corruption,-0.8,0.8,0.3,"[['pasok', 'organization', '1.0'], ['mr mitsotakis', 'person', '1.0'], ['new democracy electoral commission', 'organization', '1.0'], ['greece', 'country', '1.0'], ['mitsotakis', 'person', '1.0'], ['agencies', 'organization', '0.9'], ['boards of directors', 'organization', '0.7'], ['general agencies', 'organization', '0.7'], ['secretaries general', 'group of people', '0.7'], ['institutions', 'organization', '0.6'], ['political party', 'organization', '0.5'], ['date', 'date', '0.5'], ['election campaign', 'event', '0.5']]"
5,"The conclusion of the tragedy of Tempe is out. We've been talking for months, weeks, about the partisan appointment of the controversial OSE employee of the stationmaster. And we were told, it's a legal transfer. The very committee appointed by Mr. Mitsotakis, this three-member committee responded that the transfer was not legal. It was illegal. That is why the judiciary took the initiative yesterday against the management of the OSE. Also the 717 contract, which led to the tragedy. Is it possible for a minister to be on the New Democracy ballot paper? Who, in response to our Member's question in the Greek Parliament about whether he has received since October 21, a year and a half before the tragedy. The finding of the independent transparency authority proving that certain persons under SYRIZA and New Democracy, since 14 when the contract was signed, led to 7 transfers of delivery of the project. The project went from EUR 44 million to EUR 55 million, all European money. While in this conclusion there are, the persons involved in the delay, who did not implement the project and brought the tragedy. If we had had the telecommunications, this tragedy would have been avoided. This minister did nothing, he did not know, says the finding. It was in his drawer but he didn't know. Why should he take it to justice and instead of being accountable today he is on the New Democracy ballot paper in Serres.","Βγηκε το πόρισμα της τραγωδίας των Τεμπών. Λέγαμε τόσους μήνες, εβδομάδες, για το κομματικό ορισμό του επίμαχου Υπαλλήλου του ΟΣΕ του σταθμάρχη. Και μας έλεγαν, είναι νόμιμη η μετάταξη. Η ίδια η Επιτροπή που διόρισε ο κύριος Μητσοτάκης, η τριμελής αυτή επιτροπή απάντησε ότι η μετάταξη δεν ήταν νόμιμη. Ήταν παράνομη. Για αυτό και η δικαιοσύνη χθες πήρε πρωτοβουλία απέναντι στη διοίκηση του ΟΣΕ. Επίσης η σύμβαση 717, η οποία οδήγησε στην τραγωδία. Είναι δυνατόν να είναι στα ψηφοδέλτια της Νέας Δημοκρατίας ένας υπουργός; Που στην ερώτηση του βουλευτή μας στο ελληνικό κοινοβούλιο για το αν έχει λάβει από τον Οκτώβριο του 21, ενάμιση χρόνο πριν την τραγωδία. Το πόρισμα της ανεξάρτητης αρχής διαφάνειας που αποδεικνύει ότι συγκεκριμένα πρόσωπα επί ΣΥΡΙΖΑ και Νέας Δημοκρατίας από το 14 που υπεγράφη η Σύμβαση, οδήγησαν σε 7 μεταθέσεις παράδοσης του έργου. Το έργο από 44 εκατομμύρια ευρώ, πήγε 55 εκατομμύρια ευρώ, όλα ευρωπαϊκά χρήματα. Ενώ στο πόρισμα αυτό υπάρχουν, τα πρόσωπα που εμπλέκονται στην καθυστέρηση, που δεν υλοποίησε το έργο και έφερε την τραγωδία. Αν είχαμε την τηλεδιοίκηση, θα είχε αποφευχθεί αυτή η τραγωδία. Ο υπουργός αυτός δεν έκανε τίποτα, δεν γνώριζε, λέει το πόρισμα. Υπήρχε στο συρτάρι του αλλά δεν το γνώριζε. Γιατί να το πάει στη δικαιοσύνη και αντί σήμερα να είναι υπόλογος είναι στα ψηφοδέλτια της Νέας Δημοκρατίας στις Σέρρες.",criticism,accountability,other,-0.8,0.75,0.6,"[['tempe', 'location', '1.0'], ['ose', 'organization', '1.0'], ['mr. mitsotakis', 'person', '1.0'], ['greek parliament', 'organization', '1.0'], ['syriza', 'political party', '1.0'], ['new democracy', 'political party', '1.0'], ['european', 'country', '1.0'], ['eur', 'date', '1.0'], ['serres', 'location', '1.0']]"
6,"Also the institutions. We imagined in 2023 that Mr. Mitsotakis's nephew would set up a spying parastatal to monitor the candidate for leader of the Third Democratic Party. ...that would be monitoring the six heads of the armed forces. His ministers? And instead of those responsible being brought to justice. And to the committee of the competent parliamentary inquiry. Mr. Mitsotakis obviously because he fears for himself. He put the case in total darkness, covering up one of the biggest scandals of the post-war era. And not only that. He is, he says, a liberal and a democrat, but he is doing what Mr. Tsipras did when he denounced him last term. Mr Georgiades' personal attacks on the heads of the independent authorities. The independent authorities that ensure throughout Europe democracy, transparency and the human rights of all Greek citizens, without discrimination. Those authorities that PASOK established in 2003 to guarantee the rule of law. In the same way that they attacked under SYRIZA, when they did not like their findings, the gentlemen of the new democracy are attacking in the same way, because they obviously feared that Mr Rammos, Mr Menoudakos, with the work they are doing, will lead not to a cover-up, but to the exposure of this scandal.","Επίσης οι θεσμοί. Φανταζόμασταν εμείς το 2023 ότι θα στηνόταν από τον ανιψιό του κυρίου Μητσοτάκη, ένα παρακράτος υποκλοπών που θα παρακολουθούσε τον υποψήφιο αρχηγό του Τρίτου Δημοκρατικού Κόμματος. Που θα παρακολουθούσε τους 6 αρχηγούς των ενόπλων δυνάμεων. Υπουργούς του; Και αντί οι υπεύθυνοι να οδηγηθούν στη δικαιοσύνη Και στην Επιτροπή την αρμόδια εξεταστική της βουλής. Ο κύριος Μητσοτάκης προφανώς, διότι φοβάται για τον ίδιο. Έβαλε σε απόλυτο σκοτάδι την υπόθεση, συγκαλύπτοντας ένα από τα μεγαλύτερα σκάνδαλα της μεταπολίτευσης. Και όχι μόνο αυτό. Είναι, λέει, Φιλελεύθερος και δημοκράτης αλλά κάνει ότι έκανε ο κύριος Τσίπρας που τον κατήγγειλε την προηγούμενη περίοδο. Επιθέσεις προσωπικές του κυρίου Γεωργιάδη στους προϊσταμένους των ανεξάρτητων αρχών. Των ανεξάρτητων αρχών που διασφαλίζουν σε όλη την Ευρώπη τη δημοκρατία, τη διαφάνεια, τα ανθρώπινα δικαιώματα όλων των ελλήνων πολιτών, χωρίς διακρίσεις. Αυτές τις αρχές που ίδρυσε το ΠΑΣΟΚ το 2003 για να διασφαλίζουν το κράτος δικαίου. Με τον ίδιο τρόπο που επιτίθονταν επί ΣΥΡΙΖΑ, όταν δεν τους άρεσαν τα πορίσματά τους με τον ίδιο τρόπο επιτίθενται οι κύριοι της νέας δημοκρατίας, γιατί προφανώς φοβήθηκαν ότι ο κύριος Ράμμος, ο κύριος Μενουδάκος, με τη δουλειά που κάνουν θα οδηγήσουν όχι στη συγκάλυψη, αλλά στην αποκάλυψη αυτού του σκανδάλου.",criticism,accountability,judicial independence,-0.7,0.4,0.2,"[['mr. mitsotakis', 'person', '1.0'], ['third democratic party', 'political party', '1.0'], ['six heads of the armed forces', 'group of people', '1.0'], ['mr. tsipras', 'person', '1.0'], ['mr. georgiades', 'person', '1.0'], ['independent authorities', 'organization', '1.0'], ['pasok', 'political party', '1.0'], ['syriza', 'political party', '1.0'], ['mr. rammos', 'person', '1.0'], ['mr. menoudakos', 'person', '1.0'], ['europe', 'location', '1.0'], ['greece', 'country', '1.0'], ['2003', 'date', '1.0'], ['2023', 'date', '1.0']]"
7,"Is that all? I heard Mr Mitsotakis say a few days ago: vote for me because Mr Androulakis said twice that I asked him to see me and he did not see me. He wants to say that my rudeness must be an incentive for you to vote for new democracy. So I want to give you another incentive to vote for PASOK. Seriousness and ethics. If my own press spokesman, Mr Mantzios, had insulted the New Democracy party in public in front of hundreds of citizens in his constituency, he would have been sent to Mr Mitsotakis' house and not to the ballot box in Lamia. That is our cultural and our difference. Therefore, lessons in civility to your party and not to the democratic party of Andreas Papandreou.","Μόνο αυτά; Άκουσα τον κύριο Μητσοτάκη να λέει πριν από μερικές μέρες ψηφίστε με γιατί ο κύριος Ανδρουλάκης 2 φορές λέει του ζήτησα να με δει και δεν με είδε. Θέλει να πει ότι η αγένειά μου πρέπει να είναι ένα κίνητρο για σας για να ψηφίσετε νέα δημοκρατία. Εγώ λοιπόν θέλω να σας δώσω ένα άλλο κίνητρο για να ψηφίσετε ΠΑΣΟΚ. Τη σοβαρότητα και το ήθος. Αν ο δικός μου εκπρόσωπος τύπου, ο κύριος Μάντζιος καθύβριζε το κόμμα της Νέας Δημοκρατίας δημοσίως μπροστά σε εκατοντάδες πολίτες στην εκλογική του περιφέρεια, θα τον είχαν στείλει στο σπίτι του κυρίου Μητσοτάκη και όχι στο ψηφοδέλτιο στη Λαμία. Αυτή είναι η πολιτισμική μας και η δική μας διαφορά. Για αυτό μαθήματα ευγένειας στο κόμμα σας και όχι στη δημοκρατική παράταξη του Ανδρέα Παπανδρέου.",criticism,democracy,campaigning,-0.5,0.1,0.0,"[['1. mitsotakis', 'person', '0.9'], ['2. androulakis', 'person', '0.9'], ['3. new democracy', 'political party', '0.9'], ['4. pasok', 'political party', '0.9'], ['5. mantzios', 'person', '0.9'], ['6. lamia', 'location', '0.9'], ['7. andreas papandreou', 'person', '0.9']]"
8,"Friends, it is not only the institutions, behaviour is also the economy. Mr Mitsotakis tells us that he has reduced tax rates. Let's look at the figures, some rates have been reduced. The weak and the middle class are gaining, but much less from his tax policy than the oligarchs of the country are gaining and profiting. And that is not social justice. It is not social justice, to be able to transfer, without parental benefit tax, up to 4.8 million euros of property and mobile phones to your child and grandchild. Whereas it could be a ceiling of 200, 400,000 for the weak and the middle class. But at the same time, when they have such tax breaks, the powerful of the country. And we say: lower VAT on basic goods. That's what other governments in Europe are doing. Tackle obscenity, tackle the price rise in the middle of an energy crisis. Is that populism? Mr Mitsotakis labels as populism whatever he thinks does not help him in his political plans. But it is legitimate and there is no money centre at a time when he is putting his hand in our pockets. In the pocket of the middle class of the Greek people of the weak citizens to support the big power generators,who please made billions more in between the energy crisis than in previous years.","Φίλες και φίλοι, δεν είναι μόνο οι θεσμοί, η συμπεριφορά είναι και η οικονομία. Μας λέει ο κύριος Μητσοτάκης ότι μείωσε τους συντελεστές των φόρων. Ας δούμε τα στοιχεία, μειώθηκαν κάποιοι συντελεστές. Κερδίζουν οι αδύναμοι και η μεσαία τάξη πολύ λιγότερα όμως συγκριτικά από τη φορολογική του πολιτική από αυτά που κερδίζουν και κερδοσκοπούν οι ολιγάρχες της χώρας. Και αυτό δεν είναι κοινωνική δικαιοσύνη. Δεν είναι κοινωνική δικαιοσύνη,να μπορείς να μεταβιβάσεις, χωρίς φόρο γονικής παροχής, έως 4,8 εκατομμύρια ευρώ ακίνητα και κινητά στο παιδί σου και στο εγγόνι σου. Ενώ θα μπορούσε να είναι το πλαφόν 200, 400.000 για να αφορά τους αδύναμους και τη μεσαία τάξη. Και συγχρόνως όμως, όταν έχουν τέτοιες φοροαπαλλαγές, οι ισχυροί της χώρας. Και λέμε: χαμηλώστε το ΦΠΑ στα βασικά αγαθά. Αυτό που κάνουν και άλλες κυβερνήσεις στην Ευρώπη. Να αντιμετωπίσουμε την αισχροκέρδεια, να αντιμετωπίσουμε την αύξηση των τιμών ενδιαμέσως ενεργειακής κρίσης. Αυτό είναι λαϊκισμός; Ο κύριος Μητσοτάκης βαφτίζει λαϊκισμό ό, τι θεωρεί ότι δεν τον βοηθά στα πολιτικά του σχέδια. Αλλά είναι θεμιτό και δεν υπάρχει λεφτόδεντρο την ώρα που βάζει το χέρι στη δική μας τσέπη. Στην τσέπη της μεσαίας τάξης του ελληνικού λαού των αδύναμων πολιτών για να στηρίξει τους μεγάλους ηλεκτροπαραγωγούς,οι οποίοι παρακαλώ έβγαλαν δισεκατομμύρια περισσότερα ενδιάμεσα της ενεργειακής κρίσης παρά τα προηγούμενα χρόνια. ",criticism,other,tax cuts,-0.7,0.5,0.6,"[['mitsotakis', 'person', '0.75'], ['oligarchs', 'group of people', '0.75'], ['greek people', 'group of people', '0.75'], ['powerful', 'group of people', '0.75'], ['europe', 'location', '0.75'], ['greece', 'country', '0.75'], ['parental benefit tax', 'organization', '0.75'], ['vat', 'organization', '0.75'], ['middle class', 'group of people', '0.75'], ['basic goods', 'organization', '0.75'], ['energy crisis', 'organization', '0.75']]"
9,"Friends and friends. This is the new democracy. But why hasn't the new democracy fallen? Eavesdropping, scandals, Patchids buying the loans of the Greek people. Beer but to speculate at the expense of the citizens. Why hadn't the new democracy fallen? Because quite simply, the new democracy thinks that Tsipras' scarecrow will save it forever. That is why we are here to say to the Greek people from Komotini that the new democracy will go, but do not fear that Mr Tsipras and Mr Polakis will return, with what you experienced with the independent Greeks in 14 to 19 years - here is the choice of democracy, of perspective and of hope. So why is the fear of the Greek people unfair? It is not with what we lived through 14 to 19. Mr Tsipras used to come here in Thrace and say that he would tear up the memoranda; do not pay the red loans because I will bring my seismicity. I wanted to imitate the ancients. Pharaonic name Seisachthia. Mr. Tsipras's seysakhtha. He was just made prime minister at 15, to sell out with his law. And those who say that they were pressured by the Trojans, we answer them and the government of George Papandreou was pressured by the Trojans, but he brought in universal protection for first homes, not reducing protection and selling off red loans in worse conditions. So he sold off the red loans and suddenly the seismology becomes a blackmail table for thousands of borrowers. Thousands of households who are at risk of losing their homes. Who are being blackmailed by the funds, because the funds are simply not interested in the growth of the economy. They don't care about your loan arrangements, they're here to leave. They are interested in quick profit they took 5 to sell 15 they took 15 to sell 35. They don't care about sustainable growth.","Φίλες και φίλοι. Αυτή είναι η νέα δημοκρατία. Αλλά γιατί δεν έχει πέσει η νέα δημοκρατία; Υποκλοπές, σκάνδαλα, Πατσίδες που αγόραζαν τα δάνεια του ελληνικού λαού. Μπιρ παρά για να κερδοσκοπήσουν εις βάρος των πολιτών. γιατί δεν είχε πέσει η νέα δημοκρατία; Γιατί πολύ απλά η νέα δημοκρατία, νομίζει ότι το σκιάχτρο του Τσίπρα θα τη σώσει δια παντός. Για αυτό είμαστε εδώ εμείς για να πούμε και από την Κομοτηνή, στον ελληνικό λαό ότι θα φύγει η νέα δημοκρατία, αλλά μη φοβάστε ότι θα επιστρέψει ο κύριος Τσίπρας και ο κύριος Πολάκης με ότι ζήσατε με τους ανεξάρτητους Έλληνες το 14 με το 19 εδώ είναι η επιλογή της δημοκρατίας, της προοπτικής και της ελπίδας. Γιατί λοιπόν είναι άδικος ο φόβος του ελληνικού λαού; Δεν είναι με αυτά που ζήσαμε 14 με 19. Ερχόταν και εδώ στη Θράκη ο κύριος Τσίπρας και έλεγε θα σκίσω τα μνημόνια. μην πληρώνονται τα κόκκινα δάνεια γιατί θα φέρω τη σεισάχθεια μου. Ήθελα να μιμηθεί και στους αρχαίους. Φαραωνικό όνομα Σεισάχθεια. Η σεισάχθεια του κυρίου Τσίπρα. Ήταν μόλις βγήκε πρωθυπουργός στο 15, να ξεπουλήσει με νόμο του. Και αυτοί που λένε ότι τους πιέσανε οι τροϊκανοί, τους απαντάμε και την κυβέρνηση του Γιώργου Παπανδρέου πίεσαν οι τροϊκανοί, αλλά έφερε την καθολική προστασία της πρώτης κατοικίας και όχι τη μείωση της προστασίας και το ξεπούλημα των κόκκινων δανείων σε χειρότερες συνθήκες. Ξεπούλησε λοιπόν τα κόκκινα δάνεια και ξαφνικά η σεισάχθεια γίνεται τραπέζι εκβιασμού χιλιάδων δανειοληπτών. Χιλιάδων νοικοκυριών, τα οποία κινδυνεύουν να χάσουν το σπίτι τους. Τα οποία εκβιάζονται από τα funds, γιατί πολύ απλά τα funds δεν τα ενδιαφέρει η ανάπτυξη της οικονομίας. Δεν τα ενδιαφέρουν οι ρυθμίσεις των δανείων σας ήρθαν για να φύγουν. Τους ενδιαφέρει το γρήγορο κέρδος τα πήρανε 5 να τα πουλήσουν 15 τα πήραν 15 να τα πουλήσουν 35. Δεν τους ενδιαφέρει να υπάρχει βιώσιμη ανάπτυξη. ",criticism,debt,other,-0.6,0.5,0.2,"[['komotini', 'location', '1.0'], ['greek', 'country', '1.0'], ['new democracy', 'political party', '0.9'], ['patchids', 'organization', '0.7'], ['tsipras', 'person', '0.9'], ['polakis', 'person', '0.6'], ['independent greeks', 'group of people', '0.8'], ['thracy', 'location', '0.6'], ['george papandreou', 'person', '0.7'], ['trojans', 'organization', '0.7']]"
10,"So that's why we say that all these political choices which were decided because the Greek people have experience. They know what we are, they know who has said a lot and done little, who has only made mistakes or who has made mistakes like us, but they have also delivered a huge amount of work. This project, of great infrastructure. Which I remember coming here, in Thrace, to make four and a half hours with my family from the port of Thessaloniki, whereas now it is less than half that. The projects, the major infrastructure in Thrace have the stamp of the Democratic Party, because we are the party of brave regional development. We are the party that invested in local government, that invested in projects throughout Greece.","Γι αυτό λοιπόν εμείς λέμε ότι όλες αυτές οι πολιτικές επιλογές οι οποίες κρίθηκαν γιατί πιο ο ελληνικός λαός έχει εμπειρία. Ξέρει πια όλοι τι είμαστε, ξέρει ποιοι έχουν πει πολλά και έχουν κάνει λίγα ποιοι έχουν κάνει μόνο λάθη ή ποιοι έκαναν λάθη όπως εμάς, αλλά παρέδωσαν και ένα τεράστιο έργο. Αυτό το έργο, των μεγάλων υποδομών. Που θυμάμαι ερχόμενος εδώ, στη Θράκη, να κάνω τεσσεράμισι ώρες με την οικογένειά μου από το λιμάνι της Θεσσαλονίκης, ενώ τώρα είναι λιγότερο από το μισό. Τα έργα, οι μεγάλες υποδομές στη Θράκη έχουν τη σφραγίδα της δημοκρατικής παράταξης, γιατί είμαστε το κόμμα της γενναίας περιφερειακής ανάπτυξης. Είμαστε το κόμμα που επένδυσε στην αυτοδιοίκηση, που επένδυσε στα έργα σε όλη την Ελλάδα.",political agenda,other,other,0.6,0.0,0.0,"[['greek people', 'group of people', '1.0'], ['greek', 'location', '0.9'], ['thrace', 'location', '0.8'], ['thessaloniki', 'location', '0.7'], ['democratic party', 'political party', '0.9'], ['greece', 'country', '0.8']]"
