id,text,text_el,is_criticism,topic-context,subtopic-context,sentiment,polarization-definition,populism-definition,ner-limited
1,"Friends. Thank you very much for your moving presence here in Pyrgos, which proves that the train of the democratic party is back on the tracks of change, hope and perspective for all Greeks. This party? Where our founder Andreas Papandreou came from many decades ago, the party that created the National Health System, the party. That brought social justice and national dignity to the country, that united the Greeks, that stopped discrimination based on political affiliations and economic status. Religion this party it is time to lift the country up again a country that now for many years, whether through the economic crisis, the pandemic, or the energy crisis, is constantly experiencing the decline of thousands of Greek children left abroad. Production, the cost of production has gone through the roof. Inequalities are escalating and of course. Disillusionment is taking root again.","Φίλες και φίλοι. Σας ευχαριστώ πάρα πολύ για τη συγκινητική σας παρουσία και εδώ στον Πύργο που αποδεικνύει περίτρανα ότι το τρένο της δημοκρατικής παράταξης είναι ξανά στις ράγες της αλλαγής της ελπίδας και της προοπτικής για όλες τις Ελληνίδες και όλους τους Έλληνες. Αυτή η παράταξη; Που ήρθε πριν πολλές δεκαετίες ο ιδρυτής μας Ανδρέας Παπανδρέου, η παράταξη που δημιούργησε το Εθνικό Σύστημα Υγείας, η παράταξη. Που έφερε στον τόπο την κοινωνική δικαιοσύνη και την εθνική αξιοπρέπεια που ένωσε τους Έλληνες που σταμάτησαν οι διακρίσεις λόγω πολιτικών φρονημάτων οικονομικής κατάστασης. Θρησκεύματος αυτή η παράταξη ήρθε η ώρα να σηκώσει ξανά τον τόπο ψηλά ένα τόπο που τώρα και πολλά χρόνια, είτε μέσω της οικονομικής κρίσης είτε της πανδημίας, είτε της ενεργειακής κρίσης, βιώνει συνεχώς στο μαρασμό χιλιάδες ελληνόπουλα έφυγαν στο εξωτερικό. Η παραγωγή, το κόστος παραγωγής έχει φτάσει στα ύψη. Οι ανισότητες κλιμακώνονται και βέβαια. Ριζώνει ξανά η απογοήτευση. ",political agenda,other,economic crisis,-0.77,0.0,0.2,"[['pyrgos', 'location', '1.0'], ['democratic party', 'organization', '1.0'], ['andreas papandreou', 'person', '1.0'], ['national health system', 'organization', '1.0'], ['greeks', 'group of people', '1.0'], ['political affiliations', 'group of people', '1.0'], ['economic status', 'group of people', '1.0'], ['greek', 'country', '1.0'], ['economic crisis', 'date', '1.0'], ['pandemic', 'date', '1.0'], ['energy crisis', 'date', '1.0']]"
2,"Every day more and more people are becoming averse to politics, especially the younger generations. Why should we vote in elections? Why participate in a game that offers no solutions? Here, then, is a glorious field of glory to rebuild a new relationship of trust with the Greek youth, with all Greeks, to prove that we are not all the same. We have nothing to do either with Mr Mitsotakis's New Democracy, which serves the domestic elite faithfully, or with Mr Tsipras's populism, which has betrayed the expectations of the Greek people by saying things. Which he himself did not believe, but then to take the blame off himself, he said they were delusions.","Καθημερινά όλο και περισσότεροι άνθρωποι αποστρέφονται την πολιτική και ιδιαίτερα οι νέες γενιές. Γιατί να ψηφίσουμε στις εκλογές; Γιατί να συμμετέχουμε σε ένα παιχνίδι το οποίο δεν δίνει λύσεις; Εδώ λοιπόν, πεδίο δόξης λαμπρό να ξαναοικοδομήσουμε μια νέα σχέση εμπιστοσύνης με την ελληνική νεολαία, με όλους τους Έλληνες, να αποδείξουμε ότι δεν είμαστε όλοι το ίδιο. Δεν έχουμε σχέση ούτε με τη Νέα Δημοκρατία του κυρίου Μητσοτάκη, που υπηρετεί την εγχώρια ελίτ πιστά, ούτε με το λαϊκισμό του κυρίου Τσίπρα που διέψευσε τις προσδοκίες του ελληνικού λαού λέγοντας πράγματα. Τα οποία και ο ίδιος δεν πίστευε, αλλά μετά για να πάρει τις ευθύνες από πάνω του, είπε ότι ήταν αυταπάτες. ",criticism,elections,youth,-0.2,0.1,0.2,"[['greek youth', 'group of people', '1.0'], ['greeks', 'group of people', '1.0'], ['new democracy', 'political party', '1.0'], ['mr mitsotakis', 'person', '1.0'], ['mr tsipras', 'person', '1.0'], ['greek people', 'group of people', '1.0'], ['greece', 'country', '1.0']]"
3,"Friends. May 21 we are fighting a very big fight. A fight that we call on every citizen to make a decision for change. Many of you believe that it is weak, impossible to make again a strong welfare state like the one of the 80s and 90s with a strong NHS with a strong public education. Even more people believe that it is impossible to stop the bureaucracy and the client state. Thousands of young people believe that fair development is impossible and that it is always a game of growth for the few. For the powerful. So give me, on 21 May, the power to make the impossible possible together with all of you, together with all the progressive, democratic people of the country. So I call on the people not to make a decision again. Of the same but to give us the hope and the strength to build a modern country, a normal European country, not a country of lost opportunities.","Φίλες και φίλοι. 21 Μαΐου δίνουμε ένα πολύ μεγάλο αγώνα. Ένα αγώνα που καλούμε κάθε πολίτη να πάρει απόφαση αλλαγής. Πολλοί από εσάς πιστεύουν ότι είναι αδύναμο, αδύνατο να κάνουμε ξανά ένα ισχυρό κοινωνικό κράτος, όπως αυτό του '80 και του '90 με ισχυρό ΕΣΥ με ισχυρή δημόσια παιδεία. Ακόμη περισσότεροι άνθρωποι πιστεύουν ότι είναι αδύνατο να σταματήσουμε το ρουσφέτι και το πελατειακό κράτος. Χιλιάδες νέοι πιστεύουν ότι είναι αδύνατη η δίκαιη ανάπτυξη και ότι πάντα το παιχνίδι της ανάπτυξης είναι για λίγους. Για τους ισχυρούς. Δώστε μου λοιπόν, 21 Μαΐου τη δύναμη να κάνω το αδύνατο δυνατό μαζί με όλους εσάς, μαζί με όλο τον προοδευτικό, δημοκρατικό κόσμο της χώρας. Καλώ λοιπόν τους πολίτες να μην πάρουν ξανά μια απόφαση. Από τα ίδια αλλά να μας δώσουν την ελπίδα και τη δύναμη να οικοδομήσουμε μια σύγχρονη χώρα, μια κανονική ευρωπαϊκή χώρα και όχι μια χώρα χαμένων ευκαιριών. ",political agenda,social state,austerity,,0.1,0.2,"[['may 21', 'date', '1.0'], ['nhs', 'organization', '0.8'], ['european country', 'location', '0.8']]"
4,"So I want us to remember what our political opponents have offered. And why are we credible and they are credible? Not because no one can say that they did not know that we have all governed, both PASOK and New Democracy and Tsipras and Kammenos. We all know now what they did to the country and what they did not do. So let us look at what Mr Mitsotakis has done. He came to power in 19, saying that he would confront the institutional acrobatics and games of Mr Tsipras. What did we see? We saw him go through with the pandemic and instead of the country pouring money from the Recovery Fund, it's not our taxes, it's European taxpayers' taxes, money that came as subsidies to bear the 32 billion pandemic season. So instead of supporting the national health system, he left. To have a complete degradation with health workers struggling and nothing better than what we have experienced in previous years with very large health gaps and a very weak primary health care system.","Θέλω λοιπόν να θυμηθούμε τι προσέφεραν οι πολιτικοί μας αντίπαλοι. Και γιατί εμείς είμαστε αξιόπιστοι και αυτοί; Όχι διότι πια δεν μπορεί κανείς να πει ότι δεν ήξερε έχουμε κυβερνήσει πια όλοι και το ΠΑΣΟΚ και η Νέα Δημοκρατία και ο Τσίπρας με τον Καμμένο. Όλοι γνωρίζουμε πια τι έκαναν στον τόπο και τι δεν έκαναν. Ας δούμε λοιπόν τα πεπραγμένα του κυρίου Μητσοτάκη. Ήρθε το '19 στην εξουσία, λέγοντας ότι θα αντιμετωπίσει τους θεσμικούς ακροβατισμούς και τα παιχνίδια του κυρίου Τσίπρα. Τι είδαμε; Είδαμε να περνά με την πανδημία και αντί η χώρα να ρίχνει χρήματα από το Ταμείο Ανάκαμψης, δεν είναι φόροι δικοί μας είναι φόροι των ευρωπαίων φορολογουμένων, χρήματα που ήρθαν ως επιδοτήσεις για να αντέξουμε την εποχή της πανδημίας 32 δισεκατομμύρια. Αντί να στηρίξει λοιπόν το εθνικό σύστημα υγείας, άφησε. Να έχουμε πλήρη υποβάθμιση να δίνουν αγώνα υγειονομικοί και τίποτα να γίνεται καλύτερο από αυτό που ζήσαμε τα προηγούμενα χρόνια με πολύ μεγάλα κενά στον τομέα της υγείας και με μια πολύ αδύναμη πρωτοβάθμια υγεία. ",criticism,health,public health system,-0.8,0.3,0.0,"[['mr mitsotakis', 'person', '0.8'], ['pasok', 'political party', '0.7'], ['new democracy', 'political party', '0.7'], ['tsipras', 'person', '0.8'], ['kammenos', 'person', '0.6'], ['greece', 'country', '0.9'], ['recovery fund', 'organization', '0.6'], ['european taxpayers', 'group of people', '0.7.']]"
5,"What else have we seen in terms of accuracy? But accuracy for all of us, not for the oligarchs. The PPC's tariffs. With billions of subsidies from the pockets of the Greek people, it supported the oligarchic energy producers and at the same time made them earn more in the energy crisis than in previous years. And we, of course, had tariffs that we thought were lower than those of the first few months, while in fact they were subsidised by the taxes of the Greek people. Controls on the market, what controls on the market? No controls on the market, few controls on the market, and even today there is enormous obscenity at the expense of the consumer.","Τι άλλο είδαμε την ακρίβεια; Ακρίβεια όμως για όλους εμάς, όχι για τους ολιγάρχες. Τα τιμολόγια της ΔΕΗ. Με επιδοτήσεις δισεκατομμυρίων από τις τσέπες του ελληνικού λαού, στήριξε τους ολιγάρχες παραγωγούς της ενέργειας και συγχρόνως έκανε αυτούς να κερδίζουν περισσότερα μέσα στην ενεργειακή κρίση παρά τα προηγούμενα χρόνια. Και εμείς βέβαια είχαμε τιμολόγια τα οποία θεωρούσαμε ότι ήταν και χαμηλότερα από τα των πρώτων μηνών, ενώ επί της ουσίας ήταν επιδοτούμενα από τους φόρους του ελληνικού λαού. Έλεγχοι στην αγορά, ποιοι έλεγχοι στην αγορά; Κανένας έλεγχος στην αγορά, ελάχιστοι έλεγχοι στην αγορά ακόμη και σήμερα υπάρχει τεράστια αισχροκέρδεια εις βάρος του καταναλωτή. ",criticism,economy,energy crisis,-0.9,0.3,0.8,"[['ppc', 'organization', '1.0'], ['greek people', 'group of people', '1.0'], ['oligarchic energy producers', 'organization', '1.0'], ['greek people', 'country', '1.0'], ['oligarchs', 'group of people', '0.7'], ['energy crisis', 'date', '1.0']]"
6,"And of course the phenomena of corruption. Mr Mitsotakis that he is a government of the unqualified. Mr. Patsis was an aristocrat who bought the red loans of the Greek people in order to speculate. It was a matter of corruption. Or of a proper state? The issue of the eavesdropping parastate, where it was amply demonstrated that he was monitoring me, his ministers and the heads of the armed forces in a European state in 2023, and even instead of proceeding with the investigation of the case, he completely covered up his closest collaborator, his nephew, in which European country have we seen such a parastate operating today, exposing the country internationally? And to say that he is a worthy European politician and, a month ago, to ban his ministers from meeting the European institutions in Athens, exposing the country to the extent that Hungary and Poland are exposed, is a disgrace for a normal European country that respects the separation of powers and democracy.","Και βέβαια τα φαινόμενα διαφθοράς. Ο κύριος Μητσοτάκης ότι είναι μια κυβέρνηση των αρίστων. Άριστος ήταν ο κύριος Πάτσης που αγόραζε τα κόκκινα δάνεια του ελληνικού λαού για να κερδοσκοπήσει. Ήταν θέμα διαφθοράς. Ή ενός κανονικού κράτους; Το ζήτημα του παρακράτους των υποκλοπών, όπου αποδείχθηκε περίτρανα ότι παρακολουθούσε εμένα, υπουργούς του και τους αρχηγούς των ενόπλων δυνάμεων σε ένα κράτος Ευρωπαϊκό εν έτει 2023 και μάλιστα αντί να προχωρήσει στη διερεύνηση της υπόθεσης, να συγκαλύψει απόλυτα τον στενότερο του συνεργάτη, τον ανιψιό του σε ποια ευρωπαϊκή χώρα έχουμε συναντήσει να λειτουργεί σήμερα τέτοιο παρακράτος, εκθέτοντας τη χώρα διεθνώς; Και μάλιστα να λέει ότι είναι ένας άξιος ευρωπαϊστής πολιτικός και πριν από ένα μήνα να απαγορεύει οι υπουργοί του να συναντήσουν στην Αθήνα τους ευρωπαϊκούς θεσμούς, εκθέτοντας τη χώρα όσο εκτεθειμένη είναι η Ουγγαρία και η Πολωνία είναι ντροπή για μια κανονική ευρωπαϊκή χώρα με σεβασμό στη διάκριση των εξουσιών και στη δημοκρατία αυτές οι συμπεριφορές. ",criticism,other,corruption,-0.8,0.5,0.75,"[['mitsotakis', 'person', '0.6'], ['patsis', 'person', '0.6'], ['greek', 'group of people', '0.6'], ['state', 'organization', '0.6'], ['eavesdropping parastate', 'organization', '0.6'], ['european', 'location', '0.6'], ['2023', 'date', '0.6'], ['his nephew', 'person', '0.6'], ['hungary', 'country', '0.6'], ['poland', 'country', '0.6'], ['athens', 'location', '0.6'], ['separation of powers', 'organization', '0.6'], ['democracy', 'organization', '0.6']]"
7,"But is that not all? The banks what did Mr Mitsotakis do? Billions in excess profits for the banks allowed deposit rates with mortgage rates. To be the highest in differential in all of Europe, to the detriment of the customer consumer. And he said I can't do anything, I can't tax the excess profits. A few weeks ago the banks gave him a gift and for some borrowers they fixed the interest rate. The mortgage. So why didn't we do what the Spanish did? By enabling the banks and with political pressure to reduce the difference in interest rates and support consumers in the most difficult time of the energy and economic crisis. Simply because Mitsotakis does not have priority. The citizens. The many. Mr. Mitsotakis has only one priority, the chair, power and the support of the oligarchs who coddle him from the media.","Δεν είναι όμως μόνο αυτά; Οι τράπεζες τι έκανε ο κύριος Μητσοτάκης; Δισεκατομμύρια υπερκέρδη των τραπεζών επέτρεψε τα επιτόκια καταθέσεων με τα επιτόκια στεγαστικών δανείων. Να είναι τα μεγαλύτερα σε διαφορά σε διαφορικό σε όλη την Ευρώπη, εις βάρος του καταναλωτή του πελάτη. Κι έλεγε δεν μπορώ να κάνω κάτι, δεν μπορώ να φορολογήσω τα υπερκέρδη. Λίγες βδομάδες πριν οι τράπεζες του έκαναν ένα δωράκι και για κάποιους δανειολήπτες σταθεροποίησαν το επιτόκιο. Το στεγαστικό. Γιατί λοιπόν εμείς δεν κάναμε αυτό που κάνανε οι Ισπανοί; Δίνοντας τη δυνατότητα οι τράπεζες και με πολιτική πίεση να μειώσουν τη διαφορά στα επιτόκια και να στηρίξουν την πιο δύσκολη ώρα της ενεργειακής και οικονομικής κρίσης τους καταναλωτές. Πολύ απλά γιατί ο Μητσοτάκης δεν έχει προτεραιότητα. Τους πολίτες. Τους πολλούς. Ο κύριος Μητσοτάκης έχει μία μόνο προτεραιότητα, την καρέκλα, την εξουσία και την στήριξη των ολιγαρχών που τον χαϊδεύουν από τα μέσα μαζικής ενημέρωσης. ",criticism,other,banking profits,-0.8,0.8,0.9,"[['mr mitsotakis', 'person', '2.0'], ['europe', 'location', '0.5'], ['spanish', 'group of people', '0.5'], ['oligarchs', 'group of people', '0.5'], ['media', 'organization', '0.5']]"
8,"But. We also had the tragic issue of Tempe. Yes. One of your fellow men lost his life. What was the tragedy of Tempe? Timeless responsibilities? So they were taught to have a political ethos of spreading the blame so that nothing changes in the country, so that we live in groundhog day, so that everything is always the same. It's not timeless blame, it's just the way things are. Even the three-member committee appointed by Mr Mitsotakis to investigate the tragedy of Tempe, where 57 people lost their lives unjustly, ultimately said Mr Voridis and Mr Georgiades, who had the audacity to mock the citizens on the television channels that the transfer of the stationmaster was illegal. So who, Mr Mitsotakis, is it that made this illegal transfer, so that a man does not have the knowledge, the competence to be in this position? Who will be the protagonist behind the party buffoonery of New Democracy? But obviously if we had telecommuting we wouldn't have this tragedy. Why didn't we have telecommuting? Because quite simply. In 2014 we signed a contract our state. It was taken by a contractor. The contract was about 43 million euros, all European money. The contract reached 55 million euros. And with Mr. Tsipras took as Mr. Mitsotakis 7 transfers, the implementation of the project. As a result the project was never implemented. So when the European Union gives 55 million euros to preserve the safety of citizens on the railways? And you do nothing? Are you politically accountable? But there is something much worse.","Αλλά. Είχαμε και το τραγικό ζήτημα των Τεμπών. Μάλιστα. Έχασε ένας συνάνθρωπός σας τη ζωή του. Τι ήταν τελικά η τραγωδία των Τεμπών; Διαχρονικές ευθύνες; Έτσι έμαθαν να έχουν πολιτικό ήθος να διαχέουμε τις ευθύνες για να μην αλλάζει τίποτα στη χώρα, για να ζούμε τη μέρα της μαρμότας, να είναι πάντα όλα τα ίδια. Δεν είναι διαχρονικές οι ευθύνες είναι πολύ απλά τα πράγματα. Ακόμη και η Επιτροπή η τριμελής που διόρισε ο κύριος Μητσοτάκης για να διερευνήσει την τραγωδία των Τεμπών που 57 άνθρωποι έχασαν άδικα τη ζωή τους, είπε τελικά του κυρίου Βορίδη και του κυρίου Γεωργιάδη, που με θράσος κορόιδευαν τους πολίτες από τα κανάλια ότι ήταν παράνομη η μετάταξη του κυρίου σταθμάρχη. Ποιος λοιπόν, κύριε Μητσοτάκη είναι αυτός που έκανε αυτή την παράνομη μετάταξη, ώστε ένας άνθρωπος να μην έχει τη γνώση, την επάρκεια να είναι σε αυτή τη θέση; Ποιος θα είναι αυτός ο πρωταγωνιστής πίσω από το κομματικό ρουσφέτι της Νέας δημοκρατίας; Αλλά προφανέστατα αν είχαμε τηλεδιοίκηση δεν θα είχαμε την τραγωδία. Γιατί δεν είχαμε τηλεδιοίκηση; Γιατί πολύ απλά. Το 2014 υπογράψαμε μια σύμβαση το κράτος μας. Την πήρε μια ανάδοχος εταιρεία. Η Σύμβαση ήταν περίπου 43 εκατομμύρια ευρώ, όλα ευρωπαϊκά χρήματα. Η σύμβαση έφτασε τα 55 εκατομμύρια ευρώ. Και με τον κύριο Τσίπρα πήρε ως τον κύριο Μητσοτάκη 7 μεταθέσεις, η υλοποίηση του έργου. Με αποτέλεσμα το έργο να μην υλοποιηθεί ποτέ. Όταν λοιπόν η Ευρωπαϊκή Ένωση δίνει 55 εκατομμύρια ευρώ για να διαφυλάξεις την ασφάλεια των πολιτών στους σιδηροδρόμους; Και εσύ δεν κάνεις τίποτα; Είσαι πολιτικά υπόλογος; Υπάρχει όμως κάτι πολύ χειρότερο. ",criticism,accountability,other,-0.8,0.5,0.0,"[['tempe', 'location', '0.9'], ['mr mitsotakis', 'person', '0.9'], ['mr voridis', 'person', '0.6'], ['mr georgiades', 'person', '0.6'], ['new democracy', 'political party', '0.6'], ['european union', 'organization', '0.6'], ['mr tsipras', 'person', '0.6']]"
9,"We highlighted that in October 21 the independent Transparency Commission sent a document to the Ministry of Infrastructure. Which clearly told Mr. Karamanlis who are responsible from 2 successive governments, who are responsible for not implementing the Convention to have telecommunications and avoid the tragedy? And when we asked Mr. Karamanlis. What did you do with this document? His answer was not that I took it to the courts, as would be the case in any state that respects its citizens, but his answer was that I did not know of the existence of the document and this gentleman adorns the ballot papers of New Democracy with contempt for the intelligence of the Greek people.","Εμείς αναδείξαμε ότι τον Οκτώβρη του '21 η ανεξάρτητη Επιτροπή Διαφάνειας έστειλε ένα έγγραφο στο Υπουργείο Υποδομών. Που έλεγε ξεκάθαρα στον κύριο Καραμανλή ποιοι είναι υπεύθυνοι από 2 διαδοχικές κυβερνήσεις, οι οποίοι είναι υπαίτιοι που δεν υλοποιείται η Σύμβαση για να υπάρχει τηλεδιοίκηση και να αποφύγουμε την τραγωδία; Κι όταν ρωτήσαμε τον κύριο Καραμανλή. Τι κάνατε με αυτό το έγγραφο; Η απάντησή του δεν ήταν ότι το πήγα στη δικαιοσύνη, όπως θα γινόταν σε κάθε κράτος που σέβεται τους πολίτες, αλλά η απάντησή του είναι ότι δεν γνώριζα την ύπαρξη του εγγράφου και αυτός ο κύριος κοσμεί τα ψηφοδέλτια της Νέας Δημοκρατίας περιφρονώντας τη νοημοσύνη του ελληνικού λαού. ",criticism,accountability,other,-0.6,0.0,0.2,"[['transparency commission', 'organization', '1.0'], ['ministry of infrastructure', 'organization', '1.0'], ['mr. karamanlis', 'person', '1.0'], ['new democracy', 'political party', '1.0'], ['greek', 'country', '1.0'], ['october 21', 'date', '1.0'], ['2', 'group of people', '0.5']]"
10,"Friends. But what is the alternative? Why, with all this, hasn't Mitsotakis already fallen? Why hasn't New Democracy already fallen? Because, quite simply, many citizens. They fear the return of Mr Tsipras. So that is why today and here from the Tower we say give us the power to put the two tragic protagonists of the last 8 years in the dustbin of history. And why don't people trust Mr. Tsipras and what he didn't make fake referendums in '15 to make the yes yes no yes in a few hours. Saying for 7 months that he negotiated the debt and not bringing a fair solution to the debt that could avoid closing the banks and losing billions of your taxes to support the system.","Φίλες και φίλοι. Ποια όμως είναι η εναλλακτική; Γιατί με όλα αυτά δεν έχει πέσει ήδη ο Μητσοτάκης; Γιατί δεν έχει πέσει ήδη η Νέα Δημοκρατία; Γιατί πολύ απλά πολλοί πολίτες. Φοβούνται την επαναφορά του κυρίου Τσίπρα. Για αυτό λοιπόν σήμερα και εδώ από τον Πύργο λέμε δώστε μας τη δύναμη για να κλείσουμε στο χρονοντούλαπο της ιστορίας και τους 2 τραγικούς πρωταγωνιστές των τελευταίων 8 ετών. Και γιατί δεν εμπιστεύεται ο κόσμος τον κύριο Τσίπρα και τι δεν έκανε ψεύτικα δημοψηφίσματα το '15 να κάνει το ναι το όχι ναι, μέσα σε μερικές ώρες. Να λέει 7 μήνες ότι διαπραγματεύεται για το χρέος και να μην φέρνει μια δίκαιη λύση για το χρέος που θα μπορούσε να αποφύγουμε το κλείσιμο των τραπεζών και να χάσουμε δισεκατομμύρια από τους φόρους σας για τη στήριξη του συστήματος. ",criticism,other,bank bailouts,-0.6,0.0,0.0,"[['mitsotakis', 'person', '0.6'], ['new democracy', 'organization', '0.6'], ['mr tsipras', 'person', '0.8'], ['tower', 'location', '0.6'], ['last 8 years', 'date', '0.6'], [""'15"", 'date', '0.6']]"
