id,text,text_el,is_criticism,topic-context,subtopic-context,sentiment,polarization-definition,populism-definition,ner-limited
1,"Friends, thank you very much for your presence. Unfortunately, time is condensed and I have to do a lot of events together to catch up. But it is very hopeful that on every side of the country the climate has changed. The party has a dynamic presence, which with our daily struggle until May 21, I am confident will translate into a strong turnout that will create the conditions for a bold change in our country. Our vision is a strong Greece with dignity, with self-confidence, with social justice. This is the progressive vision and the agony of every Greek democrat, every Greek progressive citizen. We are always faithful to our timeless values. But always with modern convincing answers that take into account the new facts of the times and of course the new conditions created by the rapid developments taking place at the global level. We believe that Greece can walk with its head held high in the world and especially in the geopolitical space of Europe, to shape a framework of prosperity for all citizens. A new modern model that will serve the people and the country. But this requires overcoming harsh conservative management policies.","Φίλοι και φίλες, ευχαριστώ πάρα πολύ για την παρουσία σας. Δυστυχώς έχει συμπυκνωθεί ο χρόνος και πρέπει να κάνω πολλά γεγονότα μαζί για να προλάβουμε. Αλλά είναι πολύ αισιόδοξο ότι σε κάθε πλευρά της χώρας το κλίμα έχει αλλάξει. Η παράταξη έχει μια δυναμική παρουσία, η οποία με τον καθημερινό μας αγώνα μέχρι τις 21 Μαΐου είμαι σίγουρος ότι θα μεταφραστεί σε ένα ισχυρό ποσοστό που θα δημιουργήσει τις συνθήκες μιας γενναίας αλλαγής στην πατρίδα μας. Το όραμά μας είναι μια ισχυρή Ελλάδα με αξιοπρέπεια, με αυτοπεποίθηση, με κοινωνική δικαιοσύνη. Αυτό είναι το προοδευτικό όραμα και η αγωνία κάθε Έλληνα δημοκράτη, κάθε Έλληνα προοδευτικού πολίτη. Είμαστε πάντα πιστοί στις διαχρονικές μας αξίες. Αλλά πάντα με σύγχρονες πειστικές απαντήσεις που λαμβάνουν υπόψη τα νέα δεδομένα της εποχής και βέβαια τις νέες συνθήκες που δημιουργούν οι ραγδαίες εξελίξεις που συντελούνται σε παγκόσμιο επίπεδο. Πιστεύουμε ότι η Ελλάδα μπορεί να πορευτεί με ψηλά το κεφάλι στον κόσμο και ιδιαίτερα στον γεωπολιτικό χώρο της Ευρώπης, να διαμορφώσει ένα πλαίσιο ευημερίας για όλους τους πολίτες. Ένα νέο σύγχρονο μοντέλο που θα υπηρετεί το λαό και την πατρίδα. Όμως αυτό προϋποθέτει να υπερβούμε σκληρές συντηρητικές πολιτικές διαχείρισης. ",political agenda,elections,austerity,0.4,0,0,"[['greece', 'country', '1.0'], ['may 21', 'date', '1.0']]"
2,"That is why we are proposing today a bold, a brave package of bold changes that will lead us safely and stably into the future, breaking the shackles that have been binding the country to the past for years. Times are changing and require adjustments. But we have a duty to do so with respect for our own timeless values, ideas and positions. We are fighting for quality employment, for full employment.","Γι αυτό προτείνουμε σήμερα μια γενναία, ένα γενναίο πακέτο τολμηρών αλλαγών που θα μας οδηγήσουν με ασφάλεια και σταθερότητα στο μέλλον, σπάζοντας τα δεσμά που τώρα και χρόνια καθηλώνουν τη χώρα στο παρελθόν. Οι καιροί αλλάζουν και απαιτούν προσαρμογές. Αυτές όμως έχουμε χρέος να γίνουν με σεβασμό στις δικές μας διαχρονικές αξίες, στις ιδέες, στις θέσεις μας. Αγωνιζόμαστε για ποιοτική απασχόληση, για πλήρους απασχόληση. ",political agenda,employment,employment,0.6,0,0,"[['today', 'date', '0.95'], ['country', 'location', '0.90'], ['employment', 'group of people', '0.70']]"
3,"For social protection of the weakest middle class citizens. For equality, for the respect of individual rights and freedoms. We will do this together with society, always having the human being at the centre of our politics, we will not allow fear and insecurity about tomorrow to prevail, which create the ground for authoritarian policies, for policies of new inequalities.","Για κοινωνική προστασία των πιο αδύναμων πολιτών της μεσαίας τάξης. Για την ισότητα, για το σεβασμό των ατομικών δικαιωμάτων και των ελευθεριών. Θα γίνουν μαζί με την κοινωνία, έχοντας πάντα τον άνθρωπο στο επίκεντρο της πολιτικής μας, δεν θα επιτρέψουμε να κυριαρχήσει ο φόβος και η ανασφάλεια για το αύριο που δημιουργούν το έδαφος για αυταρχικές πολιτικές, για πολιτικές νέων ανισοτήτων. ",political agenda,social state,inequality,0.5,0.2,0.2,"[['1. middle class citizens', 'group of people', '0.8'], ['2. society', 'group of people', '0.6'], ['3. human being', 'person', '0.6'], ['4. tomorrow', 'date', '0.4.']]"
4,"Our aim is to ensure strong sustainable growth that will enable the economy to stand on its feet regionally with competitiveness. Inward-looking by exploiting modern digital capabilities in all sectors of production and always respecting the environment. The benefits of this policy cannot be only for the few and the powerful; they must be spread to the whole of Greek society. That is why we are talking about a progressive tax system that ensures the necessary resources to reduce inequalities and fight poverty, development linked to the real needs of the people that guarantees a better life for the working man, so that he can live in a house he can afford access to housing. With dignity and low cost to get after several years of life a decent pension and feel secure in a health system that supports him in the hard times and not as we live today. A total decline. With policies that support the Greek family to be able to make ends meet, with social structures and a quality public education system for all the children of the Greek people. Our goal is to offer young people fair and equal opportunities to live, to develop in their own country, to get an education, to work with decent wages, to start a family.","Στόχος μας είναι να διασφαλίσουμε μια ισχυρή βιώσιμη ανάπτυξη που θα δίνει δυνατότητα σε περιφερειακό επίπεδο να σταθεί η οικονομία όρθια στα πόδια της με ανταγωνιστικότητα. Με εσωστρέφεια με αξιοποίηση των σύγχρονων ψηφιακών δυνατοτήτων σε όλους τους τομείς παραγωγής και πάντα με σεβασμό στο περιβάλλον. Τα οφέλη αυτής της πολιτικής δεν μπορούν να είναι μόνο για τους λίγους και τους ισχυρούς πρέπει να διαχέονται στο σύνολο της ελληνικής κοινωνίας. Για αυτό μιλάμε για ένα προοδευτικό φορολογικό σύστημα που εξασφαλίζει τους απαραίτητους πόρους για τη μείωση των ανισοτήτων και την καταπολέμηση της φτώχειας, ανάπτυξη που συνδέεται με τις πραγματικές ανάγκες των ανθρώπων που εγγυάται μια καλύτερη ζωή για τον εργαζόμενο, ώστε να ζει σε ένα σπίτι που μπορεί να πληρώσει πρόσβαση σε στέγη. Με αξιοπρέπεια και χαμηλό κόστος να πάρει μετά από αρκετά χρόνια ζωής μια αξιοπρεπή σύνταξη και να νιώθει ασφάλεια σε ένα σύστημα υγείας που τον στηρίζει στα δύσκολα και όχι όπως σήμερα που ζούμε. Μια ολική παρακμή. Με πολιτικές που στηρίζουν την ελληνική οικογένεια για να μπορεί να τα βγάλει πέρα, με κοινωνικές δομές και ποιοτικό δημόσιο σύστημα εκπαίδευσης για όλα τα παιδιά του ελληνικού λαού. Στόχος μας είναι να προσφέρουμε στους νέους ανθρώπους δίκαιες και ίσες ευκαιρίες για να ζήσουν, να εξελιχθούν στον τόπο τους, να μορφωθούν, να δουλέψουν με αξιοπρεπείς μισθούς, να κάνουν οικογένεια. ",political agenda,economy,other,0.7,0.1,0.2,"[['greek', 'country', '1.0']]"
5,"Our goal is to change the state to serve and emancipate the citizen by creating transparency, meritocracy and to operate with accountability, to be decentralized away from traditional clientelism, to restore the credibility of the political system by strengthening the institutions and by regaining the lost trust of the Greek people through the daily struggle for the separation of powers.","Στόχος μας είναι να αλλάξουμε το κράτος ώστε να εξυπηρετεί και να χειραφετεί τον πολίτη δημιουργώντας διαφάνεια, αξιοκρατία και να λειτουργεί με λογοδοσία, να είναι αποκεντρωμένο μακριά από παραδοσιακές πελατειακές λογικές, να αποκαταστήσουμε την αξιοπιστία του πολιτικού συστήματος με ενίσχυση των θεσμών και ανακτώντας μέσα από τον καθημερινό αγώνα διάκρισης των εξουσιών την χαμένη εμπιστοσύνη του ελληνικού λαού. ",political agenda,accountability,lack of accountability,0.5,0,0,"[['greek people', 'group of people', '1.0'], ['greece', 'country', '1.0']]"
6,"Our goal is an open, non-discriminatory society and this is a historical legacy of PASOK. A society that will not live with the nightmare of racism and xenophobia.","Στόχος μας είναι μια κοινωνία ανοιχτή, χωρίς διακρίσεις και αυτό είναι μια ιστορική παρακαταθήκη του ΠΑΣΟΚ. Μια κοινωνία που δεν θα ζει με τον εφιάλτη του ρατσισμού και της ξενοφοβίας. ",political agenda,human rights,racism,0.8,0,0,"[['pasok', 'organization', '0.85'], ['society', 'group of people', '0.75'], ['racism', 'group of people', '0.5'], ['xenophobia', 'group of people', '0.5']]"
7,"Our aim is to contribute to the courageous changes that the European Union needs, so that it does not get trapped again, as it did in 2009, in harsh austerity policies, which were imposed when powerful states put their own interests first and not the whole and the solidarity of all European peoples. That is why my proposal at the last Council was also to create a strong new European economic sovereignty fund, with additional funding to support the productive base, particularly in the countries of the South that have a traditional problem of low competitiveness, so that we can both contain the production that has left for third countries, especially China, but also other peripheral countries, and at the same time create strong jobs that will create a framework of low unemployment for young people in the South.","Στόχος μας είναι να συμβάλουμε και σε γενναίες αλλαγές που χρειάζεται η Ευρωπαϊκή Ένωση, ώστε να μην εγκλωβιστεί πάλι, όπως έγινε το 2009, σε σκληρές πολιτικές λιτότητας, οι οποίες επιβλήθησαν όταν κράτη ισχυρά, είχαν πρώτη προτεραιότητα τα δικά τους συμφέροντα και όχι το σύνολο και την αλληλεγγύη όλων των ευρωπαϊκών λαών. Για αυτό η πρότασή μου και στο τελευταίο Συμβούλιο ήταν η δημιουργία ενός ισχυρού νέου ταμείου ευρωπαϊκής οικονομικής κυριαρχίας, με πρόσθετη χρηματοδότηση για τη στήριξη της παραγωγικής βάσης, ιδιαίτερα των χωρών του Νότου που έχουν παραδοσιακό πρόβλημα χαμηλής ανταγωνιστικότητας, ώστε και να συγκρατήσουμε την παραγωγή που έχει φύγει προς τρίτα κράτη και κυρίως προς την Κίνα, αλλά και άλλες περιφερειακές χώρες, αλλά και συγχρόνως να δημιουργηθούν ισχυρές θέσεις εργασίας που θα δημιουργήσουν ένα πλαίσιο χαμηλής ανεργίας για τους νέους των νοτίων χωρών τα επόμενα χρόνια. ",political agenda,europe,european recovery fund,,0.2,0,"[['european union', 'organization', '1.0'], ['2009', 'date', '1.0'], ['european economic sovereignty fund', 'organization', '0.7'], ['south', 'location', '0.8'], ['china', 'country', '0.9']]"
8,"Friends and friends. Today we present a section which has 12 important political initiatives. They are the 12 priorities of our programme. These are the priorities we will go forward with. With honesty and before the national elections, but even more so by breaking the established perceptions, we say and do other things just after the national elections, because the dominant feature of our policy is to build a new relationship of trust with the Greek people, especially with the new generation that was shaken both by Mr. Tsipras' Syriza and Mr. Mitsotakis' New Democracy. That is why I am talking about programmatic convergences that we will seek in the formation of a possible government if we have a strong presence in the next Parliament. This government, our participation in a government guarantees these changes to ensure that the driver is the public interest, the interest of the citizens, of many citizens, and not the preservation of the privileges of the domestic elite and vested interests. When it is not reduced to a meaningless and odious sharing of chairs, to its own children and I am talking about the familiar mindsets that settle the various politicians. Immediately after every national election. Personally, with this presence, I am not entering into a game of benefit competition, as we have seen in the last week between Mr Tsipras and Mr Mitsotakis. This game is unfortunately inexpensive for them, but very expensive for the Greek people, as has been seen in the years of the economic crisis, when New Democracy handed us a bankrupt economy with huge external deficits. But that was not all that happened before the financial crisis. It is also the unrepentant attitude of these parties after the financial crisis. After the self-realization of the magnitude of the problem. Zapia, the Thessaloniki programmes and the conscious mockery that was dubbed an illusion to wash away the responsibilities of extreme populism. We are therefore building today the alliance, the social alliance for the brave new change with the creative forces of the country, with healthy entrepreneurship, small and medium-sized enterprises, farmers who want to stand on their feet with their heads held high, producers, livestock farmers, away from state-sponsored logic, interconnectedness and corruption, with citizens who want a state that provides stability, security and access to quality goods. For all citizens with those who are currently called upon to negotiate extortionately by the funds, without criteria and without rules. We owe it to all these people to provide redemptive solutions and a second chance, dignity for their lives. With those who need the support of a modern and effective welfare state that leads to empowerment, inclusion and not dependency. From temporary allowances that can or try to replace services that simply never happens, because there is not enough money in the allowance policy to replace services that exist in other European states in strong social models. We call on young people who want to break the hostage of clientelism and crony governments. We owe it to them to guarantee that their fear of living worse than their parents who live worse than their parents will be a bad past. They are our allies, they are the ones we are referring to, they are the ones we want to express, and they are the ones I call on to give us a strong mandate with a change resolution on May 21. These are the people who want to stand by us, who we will always stand by and who we aspire to never let down.","Φίλες και φίλοι. Σήμερα παρουσιάζουμε μια ενότητα η οποία έχει 12 σημαντικές πολιτικές πρωτοβουλίες. Είναι οι 12 προτεραιότητες του προγράμματός μας. Με αυτές θα πορευθούμε. Με ειλικρίνια και πριν τις εθνικές εκλογές, αλλά πολύ περισσότερο σπάζοντας τις κατεστημένες αντιλήψεις, άλλα λέμε και άλλα κάνουμε και ακριβώς μετά τις εθνικές εκλογές, διότι κυρίαρχο της πολιτικής μας είναι να οικοδομήσουμε μια νέα σχέση εμπιστοσύνης με τον ελληνικό λαό, ιδιαίτερα με τη νέα γενιά που κλονίστηκε και με τον ΣΥΡΙΖΑ του κυρίου Τσίπρα και με τη Νέα Δημοκρατία του κυρίου Μητσοτάκη. Γι'αυτό μιλώ για προγραμματικές συγκλίσεις που θα επιδιώξουμε σε ένα σχηματισμό μιας ενδεχόμενης κυβέρνησης, αν έχουμε ισχυρή παρουσία στο επόμενο Κοινοβούλιο. Αυτή η κυβέρνηση, η συμμετοχή μας σε μια κυβέρνηση εγγυάται αυτές τις αλλαγές ώστε να διασφαλίσουμε ότι ο οδηγός είναι το δημόσιο συμφέρον, το συμφέρον των πολιτών, των πολλών πολιτών και όχι η διατήρηση προνομίων της εγχώριας ελίτ και κατεστημένων συμφερόντων. Όταν δεν εξαντλείται σε ένα ανούσιο και απεχθές μοίρασμα καρεκλών, στα δικά της παιδιά και μιλώ για τις γνωστές νοοτροπίες που τακτοποιούν τους διάφορους πολιτευτάδες. Αμέσως μετά τις κάθε εθνικές εκλογές. Εγώ προσωπικά, με αυτή την παρουσία δεν μπαίνω σε ένα παιχνίδι ανταγωνισμού παροχών, όπως είδαμε την τελευταία εβδομάδα μεταξύ του κυρίου Τσίπρα και του κυρίου Μητσοτάκη. Αυτό το παιχνίδι δυστυχώς είναι ανέξοδο για αυτούς, αλλά πολύ ακριβό για τον ελληνικό λαό, όπως έχει φανεί και τα χρόνια της οικονομικής κρίσης, όταν μας παρέδωσε η Νέα Δημοκρατία, μια χρεοκοπημένη οικονομία με τεράστια εξωτερικά ελλείμματα. Όμως δεν ήταν μόνο αυτό που έγινε πριν την οικονομική κρίση. Είναι και η αμετανόητη αντιμετώπιση των κομμάτων αυτών μετά την οικονομική κρίση. Μετά την αυτοσυνειδητοποίηση του μεγέθους του προβλήματος. Τα Ζάππεια, τα προγράμματα Θεσσαλονίκης και η συνειδητή κοροϊδία που βαφτίστηκε αυταπάτη για να ξεπλύνει τις ευθύνες του ακραίου λαϊκισμού. Εμείς λοιπόν, δημιουργούμε σήμερα τη συμμαχία, την κοινωνική συμμαχία για τη γενναία νέα αλλαγή με τις δημιουργικές δυνάμεις του τόπου, με την υγιή επιχειρηματικότητα, τους μικρομεσαίους, τους αγρότες που θέλουν να σταθούν στα πόδια τους με ψηλά το κεφάλι, τους παραγωγούς, τους κτηνοτρόφους, μακριά από κρατικοδίαιτες λογικές, διαπλοκή και διαφθορά με τους πολίτες που θέλουν ένα κράτος που παρέχει σταθερότητα, ασφάλεια και πρόσβαση σε ποιοτικά αγαθά. Για όλους τους πολίτες με αυτούς που σήμερα καλούνται σε εκβιαστικές διαπραγματεύσεις από τα funds, χωρίς κριτήρια και χωρίς κανόνες. Έχουμε χρέος σε όλους αυτούς τους ανθρώπους να δώσουμε λυτρωτικές λύσεις και μία δεύτερη ευκαιρία, αξιοπρέπεια για τη ζωή τους. Με αυτούς που έχουν ανάγκη τη στήριξη ενός σύγχρονου και αποτελεσματικού κοινωνικού κράτους που οδηγεί στη χειραφέτηση, στην ένταξη και όχι στην εξάρτηση. Από προσωρινά επιδόματα που μπορούν ή προσπαθούν να αντικαταστήσουν υπηρεσίες που πολύ απλά δεν συμβαίνει ποτέ, διότι δεν φτάνουν αυτά τα χρήματα της επιδοματικής πολιτικής για να αντικαταστήσουν υπηρεσίες που υπάρχουν σε άλλα ευρωπαϊκά κράτη σε ισχυρά κοινωνικά μοντέλα. Καλούμε τους νέους που θέλουν να σπάσουν την ομηρία των πελατειακών σχέσεων και των κυβερνήσεων των κολλητών. Οφείλουμε να εγγυηθούμε σε αυτούς ότι ο φόβος τους ότι θα ζήσουν χειρότερα από τους γονείς τους που ζουν χειρότερα από τους γονείς τους, θα αποτελέσει ένα κακό παρελθόν. Αυτοί είναι οι σύμμαχοί μας, σε αυτούς αναφερόμαστε, αυτούς ακριβώς θέλουμε να εκφράσουμε και αυτούς καλώ να μας δώσουν ισχυρή εντολή με απόφαση αλλαγής στις 21 του Μαΐου. Αυτοί είναι οι άνθρωποι που θέλουν να σταθούν στο πλευρό μας που θα είμαστε πάντα δίπλα τους και που φιλοδοξούμε να μην τους απογοητεύσουμε ποτέ. ",political agenda,elections,programmatic agreement,0,0.6,0.2,"[['syriza', 'political party', '0.5'], ['new democracy', 'political party', '0.5'], ['greek', 'country', '1.0'], ['tsipras', 'person', '0.5'], ['mitsotakis', 'person', '0.5'], ['parliament', 'organization', '0.5'], ['zapia', 'organization', '0.5'], ['thessaloniki', 'location', '0.5'], ['european', 'location', '0.5'], ['may 21', 'date', '0.5']]"
9,"Friends in the programmatic framework now. The first priority is a modern state with transparency, meritocracy, accountability and decentralisation. What does this mean? No decision is legitimate without publication on Transparency. No more direct commissions, in which Mr Mitsotakis is a champion. Evaluation of public officials and services everywhere and of course evaluation not by the party-appointed, fair, objective and not partisan evaluation. Drastic, of course, limitation of the number of post-employees in the ministries. Mr Mitsotakis was saying, Mr Tsipras had 2,800 and denounced him, and now it has reached over 3,500 and it is Friday today. No recruitment in the public sector outside the APSEP. The selection of senior management and this is a commitment that I repeat every day. Every public institution, governors, boards of directors, hospitals, all with an open international competition with a five-year term, so that we break the partisan cycle of elections that creates turmoil in the state and of course with commensurate financial rewards so that there is a strong incentive and people with very high scientific training come in. Decentralization with boldness, transfer of all executive powers and corresponding resources to the local government. We made the big reforms in local government, with both the left and the right against us. We have a duty to continue and make Greece a normal European country at the level of self-government, emulating the practices of countries that have a very long history in these institutions. And of course, digital change in the state for the service of the citizen, but also for the accountability of the administration, evaluation of services by citizens through digital applications.","Φίλες και φίλοι στο προγραμματικό πλαίσιο τώρα. Πρώτη προτεραιότητα είναι ένα σύγχρονο κράτος με διαφάνεια, αξιοκρατία, λογοδοσία, αποκέντρωση. Τι σημαίνει αυτό; Καμία απόφαση δεν νομιμοποιείται χωρίς δημοσίευση στη Διαύγεια. Τέλος οι απευθείας αναθέσεις στις οποίες είναι πρωταθλητής ο κύριος Μητσοτάκης. Αξιολόγηση παντού δημόσιων λειτουργών και υπηρεσιών και βέβαια αξιολόγηση όχι από τους κομματικούς μετακλητούς δίκαιη, αντικειμενική και όχι κομματική αξιολόγηση. Δραστικός, βεβαίως περιορισμός των μετακλητών στα υπουργεία. Έλεγε ο κύριος Μητσοτάκης, ο κύριος Τσίπρας είχε 2.800 και τον κατήγγειλε, και τώρα έχει φτάσει πάνω από 3.500 και είναι Παρασκευή σήμερα. Καμία πρόσληψη στο δημόσιο εκτός ΑΣΕΠ. Η επιλογή των ανώτερων στελεχών της διοίκησης και αυτό είναι μια δέσμευση που επαναλαμβάνω καθημερινά. Κάθε δημόσιος ο οργανισμός, διοικητές, διοικητικά συμβούλια, νοσοκομεία, όλα με ανοιχτό διεθνή διαγωνισμό με πενταετή θητεία, ώστε να σπάσουμε τον κομματικό κύκλο των εκλογών που δημιουργεί αναταραχές στο κράτος και βέβαια με ανάλογες οικονομικές αμοιβές για να υπάρχει ισχυρό κίνητρο και να έρθουν άνθρωποι με πολύ μεγάλη επιστημονική κατάρτιση. Αποκέντρωση με τόλμη, μεταφορά όλων των εκτελεστικών αρμοδιοτήτων και των αντίστοιχων πόρων στην αυτοδιοίκηση. Εμείς κάναμε τις μεγάλες μεταρρυθμίσεις στην αυτοδιοίκηση, έχοντας απέναντι και την αριστερά και τη Δεξιά. Εμείς έχουμε χρέος να συνεχίσουμε και να κάνουμε την Ελλάδα μια κανονική ευρωπαϊκή χώρα σε επίπεδο αυτοδιοίκησης, μιμούμενοι πρακτικές χωρών που έχουν πολύ μεγάλη ιστορία σε αυτούς τους θεσμούς. Και βέβαια, ψηφιακή αλλαγή στο κράτος για την εξυπηρέτηση του πολίτη, αλλά και για τη λογοδοσία της διοίκησης, αξιολόγηση από τους πολίτες των υπηρεσιών μέσω ψηφιακών εφαρμογών. ",political agenda,transparency,other,0.5,0,0,"[['mr mitsotakis', 'person', '0.9'], ['mr tsipras', 'person', '0.9'], ['apsep', 'organization', '0.8'], ['greece', 'country', '0.8'], ['europe', 'location', '0.8']]"
10,"A modern state must also effectively protect human rights. We did not imagine a few years ago that this issue would be so high on our priorities. We thought that the country after the years of post-independence had overcome these evils, these incredible and unbelievable distortions. In the end we were wrong, which is why we are proposing to upgrade the role of independent authorities to monitor and submit rules both to the state and to the markets. We created the independent authorities. We still support them today, and it is really outside the European framework the unethical attacks that are being made both by Mr Mitsotakis's system and against Mr Tsipras's system in the past on people who are fighting to keep Greece anchored in European values, and this shows that they are not politicians who really believe in these values, they are just ready to instrumentalise everything just for power, just for the chair. And that is one reason why this party will be the democratic party throughout time. I want to tell you that this is why I am committed to repealing the provisions of the New Democracy Act on the issues of the wiretapping cover-up. A substantive role in the DPA decisions on legal intercepts. Commission of Inquiry without the abuse of secrecy. And of course, a law that allows victims to be informed and not over a three-year period, so that the person who has committed the crime can be in civil protection for an extended period of time. Strengthening the independence of the judiciary, and it is sad that even today in the latest reports of the European Commission and the European institutions, this thing is put as a priority for Greece. We have a duty to strengthen the independence of the judiciary. That is why we say that the selection of its supreme leadership must be made by Parliament with an increased majority.","Ένα σύγχρονο κράτος πρέπει επίσης να προστατεύει αποτελεσματικά τα ανθρώπινα δικαιώματα. Δεν φανταζόμαστε πριν από μερικά χρόνια ότι αυτό το ζήτημα θα είναι πια τόσο ψηλά στις προτεραιότητές μας. Νομίζαμε ότι η χώρα μετά τα χρόνια της μεταπολίτευσης είχε ξεπεράσει αυτά τα κακώς κείμενα, αυτές τις απίστευτες και απίθανες στρεβλώσεις. Τελικά κάναμε λάθος, γι αυτό προτείνουμε την αναβάθμιση του ρόλου των ανεξάρτητων αρχών για ελέγχους και υποβολή κανόνων και στο κράτος και στις αγορές. Εμείς φτιάξαμε τις ανεξάρτητες αρχές. Εμείς τις στηρίζουμε ακόμη και σήμερα και είναι πραγματικά εκτός ευρωπαϊκού πλαισίου οι αήθεις επιθέσεις που γίνονται και από το σύστημα του κυρίου Μητσοτάκη και απέναντι του συστήματος του κυρίου Τσίπρα στο παρελθόν σε ανθρώπους οι οποίοι αγωνίζονται για να κρατήσουν την Ελλάδα αγκυρωμένη στις ευρωπαϊκές αξίες και αυτό δείχνει ότι δεν είναι πολιτικοί που πιστεύουν πραγματικά σε αυτές τις αξίες, απλά είναι έτοιμοι να εργαλειοποιήσουν τα πάντα μόνο για την εξουσία, μόνο για την καρέκλα. Και αυτός είναι ένας λόγος που αυτή η παράταξη διαχρονικά θα είναι η δημοκρατική παράταξη. Θέλω να σας πω ότι για αυτό το λόγο έχω δεσμευτεί ότι θα προβούμε στην κατάργηση των διατάξεων του νόμου της Νέας Δημοκρατίας για τα ζητήματα που αφορούν τη συγκάλυψη των υποκλοπών. Ουσιαστικός ρόλος στην ΑΔΑΕ τις αποφάσεις για τις νόμιμες επισύνδεσης. Εξεταστική επιτροπή χωρίς την καταχρηστική χρήση του απορρήτου. Και βέβαια, ένας νόμος που θα επιτρέπει στα θύματα να ενημερωθούν και όχι σε βάθος τριετίας, ώστε να μπορεί αυτός που έχει διαπράξει το έγκλημα να είναι σε πολιτική προστασία για ένα μεγάλο χρονικό διάστημα. Ενίσχυση της ανεξαρτησίας της δικαιοσύνης και είναι θλιβερό ότι ακόμη και σήμερα στα τελευταία report της Ευρωπαϊκής Επιτροπής και των ευρωπαϊκών θεσμών, αυτό το πράγμα μπαίνει ως προτεραιότητα για την Ελλάδα. Έχουμε χρέος να ενισχύσουμε την ανεξαρτησία της δικαιοσύνης. Για αυτό λέμε ότι η επιλογή της ανώτατης ηγεσίας της πρέπει να γίνεται από τη Βουλή με αυξημένη πλειοψηφία. ",political agenda,human rights,other,0.5,0.2,0,"[['greece', 'country', '1.0'], ['european', 'organization', '0.9'], ['new democracy', 'political party', '1.0'], ['dpa', 'organization', '0.7'], ['parliament', 'group of people', '1.0']]"
