id,text,text_el,is_criticism,topic-context,subtopic-context,sentiment,polarization-definition,populism-definition,ner-limited
1,"Thank you very much for this warm presence. And here from Kalamata, from Messinia, from the Peloponnese, we are sending a message of rebirth, perspective and new hope for all democrats, for all progressive Greeks. We are opening up paths of logic and progress against the establishment, maintenance, populism and elitism. You know very well that 21 May is a very crucial date for the country. 21 May the stakes are not whether PASOK becomes a bigger, The real stakes are whether every democrat, every progressive citizen finds his home again, the home of democracy, of respect for human rights, of prosperity, of progress for the Greek people. This home. That sealed the years of post-independence; that built the National Health System. Which built the strong public education that gave opportunities to the child of the farmer, the farmer's child, to study, to have a family, to succeed in life. The party that tamed all discrimination. Political, religious and united the Greeks without fear, without division.","Σας ευχαριστώ πάρα πολύ για αυτή τη θερμή σας παρουσία. Κι εδώ από την Καλαμάτα από τη Μεσσηνία, από την Πελοπόννησο στέλνουμε ένα μήνυμα αναγέννησης, προοπτικής και νέας ελπίδας για όλους τους δημοκράτες, για όλους τους προοδευτικούς Έλληνες. Ανοίγουμε δρόμους λογικής και προόδου απέναντι στα κατεστημένα, στη συντήρηση, στον λαϊκισμό και τον ελιτισμό. Γνωρίζετε πάρα πολύ καλά ότι 21 Μαίου είναι μια πολύ κρίσιμη ημερομηνία για την πατρίδα. 21 Μαίου το διακύβευμα δεν είναι αν το ΠΑΣΟΚ γίνει ένα μεγαλύτερο, Το πραγματικό διακύβευμα είναι αν κάθε δημοκράτης, κάθε προοδευτικός πολίτης ξαναβρεί το σπίτι του, το σπίτι της Δημοκρατίας, του σεβασμού των ανθρωπίνων δικαιωμάτων, της ευημερίας, της προόδου του ελληνικού λαού. Αυτό το σπίτι. Που σφράγισε τα χρόνια της μεταπολίτευσης.Που έφτιαξε το Εθνικό Σύστημα Υγείας. Που έφτιαξε την ισχυρή δημόσια παιδεία που έδωσε δυνατότητες στο παιδί του αγρότη του κτηνοτρόφου, να σπουδάσει, να κάνει οικογένεια, να πετύχει στη ζωή του. Το κόμμα αυτό που ήρε όλες τις διακρίσεις. Πολιτικές, θρησκευτικές και ένωσε τους Έλληνες χωρίς να φοβάται, χωρίς να διχάζει.",political agenda,democracy,other,0.5,0.0,0.2,"[['kalamata', 'location', '1.0'], ['messinia', 'location', '1.0'], ['peloponnese', 'location', '1.0'], ['pasok', 'political party', '1.0'], ['greek people', 'group of people', '0.75'], ['national health system', 'organization', '0.75'], ['greeks', 'group of people', '1.0']]"
2,"So why is it necessary for the future of the country to revive the democratic party? Because, quite simply, our political opponents have only one weapon in their hands. To divide the Greek people. They have set up 2 paracratic mechanisms on the Internet. They are trying to discredit authoritative journalism; politicians who speak programmatically to those people who are fighting for something new and different, keeping the country tied to a very bad past, a past we thought we had left behind decades ago. It is no coincidence, after all, that these two parties. From 2014 onwards. I can say even before that if we consider the date when Mr. Karamanlis handed over a bankrupt Greece to PASOK as a milestone from that moment they started to fight fiercely against PASOK, they tried to blame everything on a party which historically offered many times more to the country than they did and even today they try to use PASOK's reforms. But which they never voted for. What did the Left and Right support in Greece? The reforms in local government; here it is in Many local politicians who remember if they ever supported the great reforms of decentralization of the state and regional development; the reforms of transparency? The reforms of meritocracy? The Assep? The clarity? Or the reforms that built the rule of law making Greece a normal European country? And I'm talking about independent authorities and the separation of powers, the autonomy of the judiciary. None of this was supported by them, which is why today they do not respect all this titanic work and they do not respect him, because inequalities have escalated.","Γιατί λοιπόν είναι ανάγκη για το μέλλον της πατρίδας να αναγεννηθεί η δημοκρατική παράταξη; Γιατί πολύ απλά οι πολιτικοί μας αντίπαλοι έχουν μόνο ένα όπλο στα χέρια τους. Να διχάζουν τον ελληνικό λαό. Έχουν στήσει 2 παρακρατικούς μηχανισμούς στο Διαδίκτυο. Προσπαθούν να απαξιώσουν την έγκυρη δημοσιογραφία.Τους πολιτικούς που μιλούν προγραμματικά όσους ανθρώπους αγωνίζονται για κάτι καινούργιο διαφορετικό, κρατώντας τη χώρα δεμένη σε ένα πολύ κακό παρελθόν, σε ένα παρελθόν που νομίζαμε ότι είχαμε αφήσει πίσω μας πριν δεκαετίες. Δεν είναι τυχαίο άλλωστε που τα 2 αυτά κόμματα. Από το 2014 και μετά. Μπορώ να πω και πιο πριν αν θεωρήσουμε ορόσημο την ημερομηνία που ο κύριος Καραμανλής παρέδωσε στο ΠΑΣΟΚ μια χρεοκοπημένη Ελλάδα από εκείνη τη στιγμή ξεκίνησαν να λυσσαλέο αγώνα απέναντι στο ΠΑΣΟΚ, προσπάθησαν να χρεώσουν τα πάντα σε ένα κόμμα το οποίο ιστορικά προσέφερε πολλαπλάσια στην πατρίδα από ότι αυτοί και μάλιστα σήμερα να χρησιμοποιούν τις μεταρρυθμίσεις του ΠΑΣΟΚ. Που αυτοί όμως δεν ψήφισαν ποτέ. Τι στήριξε Αριστερά και Δεξιά στην Ελλάδα? τις μεταρρυθμίσεις στην αυτοδιοίκηση? εδώ είναι μέσα Πολλοί αυτοδιοικητικοί που θυμούνται εάν ποτέ στήριξαν τις μεγάλες μεταρρυθμίσεις αποκέντρωσης του κράτους και περιφερειακής ανάπτυξης.Τις μεταρρύθμισεις της διαφάνειας? Τις μεταρρυθμίσεις της αξιοκρατίας? Τον Ασεπ? Τη διαύγεια? Ή τις μεταρρυθμίσεις που έφτιαχναν το κράτος δικαίου κάνοντας την Ελλάδα κανονική ευρωπαϊκή χώρα; Και μιλώ για τις ανεξάρτητες αρχές και τη διάκριση των εξουσιών, την αυτονομία της δικαιοσύνης. Τίποτα από όλα αυτά δεν στήριξαν για αυτό σήμερα δεν σέβονται όλο αυτό το τιτάνιο έργο και δεν τον σέβονται, διότι οι ανισότητες έχουν κλιμακωθεί. ",criticism,democracy,other,-0.75,0.5,0.2,"[['greek', 'country', '1.0'], ['democratic party', 'political party', '1.0'], ['greek people', 'group of people', '1.0'], ['internet', 'organization', '1.0'], ['authoritative journalism', 'organization', '0.8'], ['pasok', 'political party', '1.0'], ['left', 'group of people', '1.0'], ['right', 'group of people', '1.0'], ['local government', 'organization', '1.0'], ['state', 'location', '1.0'], ['assep', 'organization', '1.0'], ['rule of law', 'organization', '1.0'], ['europe', 'location', '1.0'], ['judiciary', 'organization', '1.0']]"
3,"Populism, divisiveness, the devaluation of public discourse are commonplace. And they do not respect it for yet another important reason: the quality of democracy in Greece is constantly declining, and the quality of democracy is the freedom of the media, which we are at the bottom of the European Union's list, the independent authorities that are being attacked either by Polakis in the past or Georgiades now, when they try to investigate unhealthy cases, such as the case of wiretapping, unhealthy cases, such as the TV licences.","Ο λαϊκισμός, η διχόνια, η απαξίωση του δημόσιου λόγου είναι καθημερινότητα. Και δεν τον σέβονται για ακόμη ένα σημαντικότερο λόγο, η ποιότητα της δημοκρατίας στην Ελλάδα φθίνει συνεχώς και ποιότητα δημοκρατίας είναι η ελευθερία των μέσων μαζικής ενημέρωσης που είμαστε στον πάτο του καταλόγου της Ευρωπαϊκής Ένωσης, οι ανεξάρτητες αρχές που βάλλονται είτε από τον Πολάκη στο παρελθόν είτε το Γεωργιάδη τώρα, όταν προσπαθούν να εξιχνιάσουν νοσηρές υποθέσεις, όπως την υπόθεση των υποκλοπών, νοσηρές υποθέσεις, όπως ήταν οι τηλεοπτικές άδειες. ",criticism,democracy,other,-0.6,0.2,0.2,"[['greece', 'location', '1.0'], ['european union', 'organization', '1.0'], ['polakis', 'person', '0.5'], ['georgiades', 'person', '0.5'], ['tv licences', 'organization', '0.5'], ['wiretapping', 'organization', '0.5']]"
4,"And of course what does Europe say? All of this is the European institutions coming to Greece and Mr. Mitsotakis with Mr. Gerapetritis saying, don't meet the Greek government. What other European state has a liberal government? Which has this kind of behaviour.But why? Because, quite simply, Mr Mitsotakis, like Mr and Mr Tsipras in the past, does not care if the country is exposed. If they cared about this, they would not have held the false referendum of 15 saying the people voted to tear up the memoranda and in the end we almost fell out of the European Union, so that in the evening, a few hours after the popular verdict saying no, Mr Tsipras did the no yes, this has not only happened in African colonies, a similar example has happened.","Και βέβαια η Ευρώπη τι λέει η Ευρώπη; Όλα αυτά έρχονται οι ευρωπαϊκοί θεσμοί στην Ελλάδα και ο κύριος Μητσοτάκης με τον κύριο Γεραπετρίτη λέει, μην συναντήσετε την ελληνική κυβέρνηση. Ποιο άλλο ευρωπαϊκό κράτος έχει φιλελεύθερη κυβέρνηση; Που έχει τέτοια συμπεριφορά.Γιατί όμως; Διότι πάρα πολύ απλά. Τον κύριο Μητσοτάκη, όπως τον κύριο και τον κύριο Τσίπρα στο παρελθόν δεν τους ενδιαφέρει αν εκτίθεται η χώρα. Αν τους ενδιέφερε αυτό το πράγμα, δεν θα είχαν κάνει το ψευτο δημοψήφισμα του 15 λέγοντάς του λαού ψήφισε να σκίσουμε τα μνημόνια και τελικά παραλίγο να κατρακυλήσουμε εκτός Ευρωπαϊκής Ένωσης, με αποτέλεσμα το βράδυ, λίγες ώρες μετά τη λαϊκή ετυμηγορία που έλεγε όχι ο κύριος Τσίπρας έκανε το όχι ναι, αυτό δεν έχει συμβεί μόνο σε αφρικανικές αποικίες εχει συμβεί έναν ανάλογο παράδειγμα.",criticism,external affairs,other,-0.4,0.3,0.0,"[['europe', 'location', '1.0'], ['greece', 'country', '1.0'], ['mr. mitsotakis', 'person', '1.0'], ['mr. gerapetritis', 'person', '1.0'], ['greek government', 'group of people', '1.0'], ['european union', 'organization', '1.0'], ['mr. tsipras', 'person', '1.0'], ['15', 'date', '1.0'], ['african colonies', 'location', '1.0']]"
5,"And of course the wiretapping case is something that no Greek would have imagined that in 2023. We would be talking about an organized ERT parastate, which would be run by the Maximou Mansion, where the commander of the NSA would be a henchman of Mr. Mitsotakis who changed the way of appointment to put his chosen one who is his nephew behind all this my watched the head of the armed forces, political cadres of his party. And instead of the independent operation of the Greek Parliament of the committees of inquiry to put a shield the majority of the New Democracy so that nothing is solved and none of the protagonists to justice.","Και βέβαια η υπόθεση των υποκλοπών φανταζόταν κανείς Έλληνας ότι το 2023. Θα μιλούσαμε για ένα οργανωμένο παρακράτος της ΕΡΤ, το οποίο θα διοικούνταν από το Μέγαρο Μαξίμου.Όπου θα διοικητής της ΕΥΠ θα ήταν πρωτοπαλίκαρο του κυρίου Μητσοτάκη που άλλαξε τον τρόπο διορισμού για να βάλει τον εκλεκτό του που ανιψιός του είναι πίσω από όλα αυτά τη δική μου παρακολούθησε τον αρχηγόν των ενόπλων δυνάμεων, πολιτικών στελεχών του κόμματός του. Και αντί να γίνει ανεξάρτητη λειτουργία του ελληνικού Κοινοβουλίου των επιτροπών των εξεταστικών να μπούνε ασπίδα η πλειοψηφία της Νέας Δημοκρατίας για να μην λυθεί τίποτα και να μην οδηγηθεί κανείς από τους πρωταγωνιστές στη δικαιοσύνη.",criticism,corruption,other,-0.9,0.9,0.0,"[['greek', 'location', '1.0'], ['ert', 'organization', '1.0'], ['maximou mansion', 'organization', '1.0'], ['nsa', 'organization', '1.0'], ['mitsotakis', 'person', '1.0'], ['new democracy', 'political party', '1.0'], ['greek parliament', 'organization', '1.0']]"
6,"I say this because Mr Mitsotakis. He says every day. That I have a personal problem with him. Why would I have a personal problem with him? I have my nephew watching him. I attacked his family. I had the Internet parastatals photograph him as an agent of China, Russia, Turkey. If possible. Did he do all this at my expense? Mr. Mitsotakis? So this is why the problem For me, the problem is not personal, it is deeply political, it is a political issue to send to the dustbin the stories, the practices of the right wing that Mr Mitsotakis imitates from his father in the 90's. 93. We therefore have a duty, every democrat and every democrat, to say so far to the New Democracy parastatal.","Τα λέω αυτά, διότι ο κύριος Μητσοτάκης. Λέει καθημερινά. Ότι έχω κάποιο προσωπικό πρόβλημα μαζί του. Γιατί να έχω προσωπικό πρόβλημα μαζί του; Έβαλα τον ανιψιό μου να τον παρακολουθεί. Επιτέθηκα στην οικογένειά του. Έβαλα το παρακράτος στο Διαδίκτυο να τον φωτογραφίζει ως πράκτορα της Κίνας, της Ρωσίας, της Τουρκίας. Αν ειναι δυνατον.Μήπως όλα αυτά τα έκανε εις βάρος μου; Ο κύριος Μητσοτάκης; Γι αυτό λοιπόν το πρόβλημα Για μένα δεν είναι προσωπικό, είναι βαθιά πολιτικό, είναι ένα πολιτικό ζήτημα να στείλουμε στο χρονοντούλαπο τις ιστορίες, τις πρακτικές της δεξιάς που ο κύριος Μητσοτάκης μιμείται από τον πατέρα του του 90. 93. Έχουμε χρέος λοιπόν, κάθε δημοκράτης και κάθε δημοκράτης να πει ως εδώ στο παρακράτος της Νέας Δημοκρατίας. ",criticism,democracy,other,-0.6,0.0,0.0,"[['mitsotakis', 'person', '3', 'china', 'country', '0.6', 'russia', 'country', '0.6', 'turkey', 'country', '0.6', 'new democracy', 'political party', '1']]"
7,"Why Mr Tsipras? And he says, ""Don't you own Andreas Papandreou? We don't own Andreas Papandreou. So let's be philosophical about it. Andreas Papandreou. He belongs to history; he is the greatest democratic leader since the Second World War. In the DNA of the democratic party. There are 2 faces, there are 2 faces that symbolize Greece of realism and progress 2 faces. The great Eleftherios Venizelos. The great Andreas Papandreou. We. We don't have property rights, we have something much bigger. Mr Tsipras, we are the continuators of the traditions, principles and values of the historic democratic party. And we don't expect anyone to stamp us with a political passport. Nor property titles. But let us tell the truth. Who is closer to Andreas Papandreou? The leader of the party that Andreas Papandreou founded or the leader of the party that led him and tried in the Special Court to lock him up in the prison that organized his personal extermination together with Mr. Mitsotakis' New Democracy? You know Mr Tsipras has a talent for falsification; for distortion. Because. The criteria and the level of political morality are measured very differently.","Γιατί ο κύριος Τσίπρας; Και λέει.Δεν σας ανήκει ο Ανδρέας Παπανδρέου; Δεν μας ανήκει ο Ανδρέας Παπανδρέου. Ας το φιλοσοφήσουμε λοιπόν. Ο Ανδρέας Παπανδρέου. Ανήκει στην ιστορία.Είναι ο μεγαλύτερος δημοκρατικός ηγέτης μετά τον Δεύτερο Παγκόσμιο Πόλεμο. Στο DNA της δημοκρατικής παράταξης. Υπάρχουν 2 πρόσωπα, υπάρχουν 2 πρόσωπα που συμβολίζουν την Ελλάδα του ρεαλισμού και της προόδου 2 πρόσωπα. Ο μεγάλος Ελευθέριος Βενιζέλος.Ο μεγάλος Ανδρέας Παπανδρέου. Εμείς. Δεν έχουμε ιδιοκτησιακά δικαιώματα, έχουμε κάτι πολύ μεγαλύτερο. Κύριε Τσίπρα, είμαστε συνεχιστές των παραδόσεων, των αρχών και των αξιών της ιστορικής δημοκρατικής παράταξης. Και δεν περιμένουμε να μας σφραγίσει κανείς πολιτικό διαβατήριο. Ούτε τίτλους ιδιοκτησίας. Αλλά ας πούμε την αλήθεια. Ποιος είναι πιο κοντά στον Ανδρέα Παπανδρέου; Ο αρχηγός του κόμματος που ίδρυσε ο Ανδρέας Παπανδρέου ή ο αρχηγός του κόμματος που τον οδήγησε και προσπάθησε στο Ειδικό Δικαστήριο να τον κλείσει στη φυλακή που οργάνωσε την προσωπική του εξόντωση μαζί με τη Νέα Δημοκρατία του κυρίου Μητσοτάκη; Ξέρετε ο κύριος Τσίπρας έχει ταλέντο στην παραχάραξη.Στη στρέβλωση. Διότι. Τα κριτήρια και το επίπεδο του πολιτικού ήθους τα μετράμε πολύ διαφορετικά. ",criticism,democracy,other,0.0,0.0,0.0,"[['andreas papandreou', 'person', '1.0'], ['mr tsipras', 'person', '1.0'], ['democratic party', 'group of people', '1.0'], ['eleftherios venizelos', 'person', '1.0'], ['greece', 'location', '1.0'], ['second world war', 'date', '1.0'], ['special court', 'organization', '1.0'], ['new democracy', 'political party', '1.0'], ['mitsotakis', 'person', '1.0']]"
8,"So let's not talk about the distant past, which is not so distant, let's talk about the recent past. George Papandreou. He took over a bankrupt Greece. And with the truth to the Greek people. Mr. Tsipras. He christened him Pinochet. He identified George Papandreou with the murderous dictator of Chile. And a few months ago he was saying that it was probably Mr. Karamanlis who bankrupted Greece and that George Papandreou was right, while for a few months he was blaming Karamanlis, reversing his narrative. He's going to Serres. While he has already put his close associate and press spokesman Mr. Antonaros on his ballot papers. And he speaks highly of Mr Karamanlis.","Ας μη μιλήσουμε για το μακρινό λοιπόν, παρελθόν.Που δεν είναι και τόσο μακρινό, ας μιλήσουμε για το πρόσφατο. Ο Γιώργος Παπανδρέου. Παρέλαβε μια χρεοκοπημένη Ελλάδα. Και με την αλήθεια στον ελληνικό λαό. O Κύριος Τσίπρας. Τον βάφτισε Πινοσέτ. Ταύτισε τον Γιώργο Παπανδρέου με το δολοφόνο δικτάτορα της Χιλής. Και πριν από λίγους μήνες έλεγε ότι τελικά μάλλον χρεοκόπησε την Ελλάδα ο κύριος Καραμανλής κι είχε δίκιο ο Γιώργος Παπανδρέου.Ενώ λοιπόν χρεώνε επί μερικούς μήνες, αντιστρέφοντας το αφήγημα του τις ευθύνες στον Καραμανλή. Πάει προς Σέρρες. Ενώ έχει βάλει ήδη στα ψηφοδέλτιά του τον στενό του συνεργάτη και εκπρόσωπο τύπου κύριο Αντώναρο. Και μιλάει για τα καλύτερα λόγια για τον κύριο Καραμανλή.",criticism,accountability,other,-0.4,0.2,0.0,"[['george papandreou', 'person', '1.0'], ['greece', 'country', '1.0'], ['mr. tsipras', 'person', '1.0'], ['pinochet', 'person', '0.5'], ['chile', 'country', '1.0'], ['mr. karamanlis', 'person', '1.0'], ['serres', 'location', '1.0']]"
9,"For Vangelis Venizelos. With the Novartis affair, he organized his personal extermination. We all remember what happened in the Greek parliament. And in the summer, with the wiretapping case, he also spoke highly of Vangelis Venizelos, because he considered his proposal and his view of the rule of law to be very important for public debate. Am I saying this? Why? And we will talk about the programmatic issues later, and we will not just dwell on them, but they have a very great value. Why? People have to understand, it's not just what you say. It's also who says it, and we have two unreliable and dangerous systems of power. So I call on all Greeks, especially the younger generation. to embrace their struggles. To put their hope in us. Because our word is credible. It is documented, it is concrete. We do not play the game of divisiveness, nor do we play the game of toxicity. We firmly believe that the Greek people will stand up only if the new generation stands up and even more so if they are united in the great global changes. This is our vision for our country and not a country where there is a nuclear accident in Ukraine or a war in another country and Mr Tsipras and Mr Mitsotakis fight over the slightest thing in Greece. So this is not a serious political system, the Greek people do not deserve it, the Greek people deserve much more and we are all here together to offer it on 21 May, building the new hope with the word of progress and perspective.","Για τον Βαγγέλη Βενιζέλο. Με την υπόθεση Νοβάρτις οργάνωσε την προσωπική του εξόντωση. Θυμόμαστε όλοι τι έγινε στο ελληνικό κοινοβούλιο. Και το καλοκαίρι με την υπόθεση υποκλοπών έλεγε τα καλύτερα και για τον Βαγγέλη Βενιζέλο, διότι θεωρούσε την πρόταση του και την άποψή του για το κράτος δικαίου πολύ σημαντική για το δημόσιο διάλογο. Τα λέω αυτά; Γιατί; Και θα πούμε μετά και για τα προγραμματικά δεν θα μείνουμε μόνο σε αυτά, αλλά έχουν μια πολύ μεγάλη αξία. Γιατί; Πρέπει να καταλάβει ο λαός, δεν είναι μόνο τι λες. Είναι και ποιος το λέει και απέναντι μας έχουμε 2 αναξιόπιστα και επικίνδυνα συστήματα εξουσίας. Εγώ λοιπόν καλώ όλες τις Ελληνίδες και όλους τους Έλληνες και ιδιαίτερα τη νέα γενιά. Να αγκαλιάσουμε τις αγωνίες τους. Να ακουμπήσουν πάνω μας την ελπίδα τους. Γιατί ο λόγος μας είναι αξιόπιστος. Είναι τεκμηριωμένος, είναι συγκεκριμένος. Εμείς δεν παίζουμε το παιχνίδι της διχόνοιας, ούτε το παιχνίδι τοξικότητας. Εμείς πιστεύουμε ακράδαντα ότι ο ελληνικός λαός θα σταθεί όρθιος μόνο αν σταθεί όρθια η νέα γενιά και πολύ περισσότερο αν είναι ενωμένος στις μεγάλες παγκόσμιες αλλαγές. Αυτό είναι το όραμά μας για την πατρίδα και όχι μια πατρίδα που θα γίνεται πυρηνικό ατύχημα στην Ουκρανία ή πόλεμος σε μια άλλη χώρα και θα τσακώνεται στην Ελλάδα με το παραμικρό ο κύριος Τσίπρας με τον κύριο Μητσοτάκη. Αυτό λοιπόν δεν είναι ένα σοβαρό πολιτικό σύστημα, δεν αξίζει στον ελληνικό λαό, στον ελληνικό λαό αξίζουν πολύ περισσότερα και είμαστε εδώ όλοι μαζί για να τα προσφέρουμε στις 21 μα o οικοδομώντας τη νέα ελπίδα με το λόγο της προόδου και της προοπτικής. ",political agenda,other,other,0.0,0.2,0.2,"[['vangelis venizelos', 'person', '2', 'novartis', 'organization', '2', 'greek parliament', 'organization', '1', 'wiretapping case', 'organization', '1', 'rule of law', 'political party', '1', 'greeks', 'group of people', '2', 'greek people', 'group of people', '4', 'younger generation', 'group of people', '1', 'mr tsipras', 'person', '1', 'mr mitsotakis', 'person', '1', 'ukraine', 'location', '1', 'greece', 'country', '5', '21 may', 'date', '1].']]"
10,"Friends. For many months now there has been another discussion about partnerships. What do we say? What is happening in all European countries, in about 85% of all European countries. There are governments of cooperation. But cooperation governments are not come and share ministries, secretaries general, governors of organisations. It is with programmatic convergences, with persons of common consent, with persons who can serve. These partnerships? So I believe, as a European Social Democrat, that this way of exercising power helps transparency, creates institutional counterweights. We do not have a Prime Minister who is capable of everything from sending the country out of the European Union to setting up a spying state to influencing the judiciary to seeing oligarchs in the Recovery Fund projects, because there are internal counterweights in governments because of programmatic convergence and personalities. And yet they say and stay only in the face of the Prime Minister, because they stay only there, because this personal concern of theirs does not care about the future of Greece, nor of Tsipras and Mitsotakis. The future of the chair interests you. So what am I saying? It's that. obviously he won't impose. One more thing. The faces. It'll be common ground.","Φίλες και φίλοι. Τώρα και πολλούς μήνες γίνεται και μια άλλη συζήτηση περί συνεργασιών. Εμείς τι λέμε; Να συμβεί στην Ελλάδα Αυτό που συμβαίνει σε όλες τις ευρωπαϊκές χώρες, περίπου σε όλους στο 85%. Υπάρχουν κυβερνήσεις συνεργασίας. Αλλά κυβέρνησεις συνεργασίας δεν είναι έλα να μοιράσουμε τα υπουργεία, τους γενικούς γραμματείς, τους διοικητές οργανισμών. Είναι με προγραμματικές συγκλίσεις, με πρόσωπα κοινής αποδοχής, με πρόσωπα που μπορούν να υπηρετήσουν. Αυτές τις συνεργασίες; Εγώ λοιπόν, πιστεύω ως ευρωπαίος σοσιαλδημοκράτης ότι αυτός ο τρόπος άσκησης εξουσίας βοηθάει τη διαφάνεια, δημιουργεί θεσμικά αντίβαρα. Δεν έχουμε ένα πρωθυπουργό που είναι ικανός για όλα από το να στείλει τη χώρα εκτός Ευρωπαϊκής Ένωσης μέχρι να στήσει παρακράτος υποκλοπών μέχρι να επηρεάσει τη δικαιοσύνη μέχρι να δω στα έργα του Ταμείου Ανάκαμψης ολιγάρχες, διότι υπάρχουν εσωτερικά αντίβαρα στις κυβερνήσεις λόγω των προγραμματικών συγκλίσεων και των προσώπων. Και παρόλα αυτά λένε και μένουν μόνο στο πρόσωπο του πρωθυπουργού, γιατί μένουν μόνο εκεί, γιατί αυτή η προσωπική τους αγωνία δεν τον ενδιαφέρει το μέλλον της Ελλάδας, ούτε του Τσίπρα και του Μητσοτάκη. Το μέλλον της καρέκλας σας ενδιαφέρει. Και αυτό λοιπόν που λέω; Είναι ότι.Προφανέστατα δεν θα επιβάλλει. Ένα ακόμα. Τα πρόσωπα. Θα είναι κοινής αποδοχής.",political agenda,democracy,coalition,0.0,0.2,0.0,"[['european', 'organization', '1.0'], ['european union', 'organization', '0.6'], ['european social democrat', 'political party', '1.0'], ['greece', 'country', '1.0'], ['tsipras', 'person', '0.6'], ['mitsotakis', 'person', '0.6']]"
