id,text,text_el,is_criticism,topic-context,subtopic-context,sentiment,polarization-definition,populism-definition,ner-limited
1,"Thank you from the bottom of my heart for this impressive gathering here from the land where the Old Man of Democracy was born from his homeland, our founder Andreas Papandreou, with a message of victory from one end of the country to the other. Friends, this democratic and proud party, which sealed with its dynamic presence the years of post-independence, is reborn on May 21 and we ask for a strong mandate of victory, change, perspective, hope for every Greek woman, for every Greek here from Patras, from Achaia, from Western Greece. We are the party that changed Greece, that made the country believe in itself, that made Greece a creative, democratic, strong Greece, that made leaps of progress and prosperity, bringing the hard core of the countries of the European Union. We are the party that identified with the struggles and passions of the Greek people, embodied their dreams, inspired generations and made the Greeks experience the best days of their modern history. This is PASOK and this PASOK is here today, united, strong.","Σας ευχαριστώ από τα βάθη της καρδιάς μου για αυτή την εντυπωσιακή συγκέντρωση εδώ από τη γη που γεννήθηκε ο Γέρος της Δημοκρατίας από την πατρίδα του, ιδρυτή μας του Ανδρέα Παπανδρέου, με μήνυμα νίκης αφού άκρη σ' άκρη της χώρας. Φίλες και φίλοι, αυτή η δημοκρατική περήφανη παράταξη που σφράγισε με την δυναμική της παρουσία τα χρόνια της μεταπολίτευσης, αναγεννάται στις 21 Μαΐου και ζητάμε ισχυρή εντολή νικής, αλλαγής, προοπτικής, ελπίδας για κάθε Ελληνίδα, για κάθε Έλληνα εδώ από την Πάτρα, από την Αχαϊα, από τη Δυτική Ελλάδα. Είμαστε η παράταξη που άλλαξε την Ελλάδα που έκανε την πατρίδα να πιστέψει στον εαυτό της, να γίνει μια Ελλάδα δημιουργική, δημοκρατική, ισχυρή, να πραγματοποιήσει άλματα ανάπτυξης προόδου και ευημερίας, φέρνοντας τον σκληρό πυρήνα των χωρών της Ευρωπαϊκής Ένωσης. Είμαστε η παράταξη που ταυτίστηκε με τις αγωνίες και τα πάθη του ελληνικού λαού, ενσάρκωσε τα όνειρα του, ενέπνευσε γενεές και έκανα βίωμα των Ελλήνων τις καλύτερες ημέρες της σύγχρονης ιστορίας τους. Αυτό είναι το ΠΑΣΟΚ και αυτό το ΠΑΣΟΚ σήμερα είναι εδώ, ενωμένο, δυνατό.",political agenda,elections,other,0.9,0.0,0.0,"[['andreas papandreou', 'person', '0.8'], ['greek', 'group of people', '0.5'], ['pasok', 'organization', '1.0'], ['may 21', 'date', '1.0'], ['patras', 'location', '0.7'], ['achaia', 'location', '0.5'], ['western greece', 'location', '0.6'], ['greece', 'country', '1.0'], ['european union', 'political party', '0.5']]"
2,"Friends, along with our enormous work, we have acknowledged our mistakes and now we return together, renewed against those who even today, after the bankruptcy of the Karamanlis government, remain unrepentant, populating, dividing, creating a toxic climate in public debate. Today, therefore, we are determined to win the battle on 21 May for the sake of the Greek people, especially the middle class and the most vulnerable Greeks who need changes to defend their daily lives, to face problems and deadlocks.","Φίλες και φίλοι μαζί με το τεράστιο έργο μας, αναγνωρίσαμε και τα λάθη μας και τώρα επιστρέφουμε μαζί, ανανεωμένοι απέναντι σε αυτούς που ακόμη και σήμερα, μετά τη χρεοκοπία της κυβέρνησης Καραμανλή, παραμένουν αμετανόητοι, λαϊκίζοντας, διχάζοντας, δημιουργώντας ένα τοξικό κλίμα στο δημόσιο διάλογο. Σήμερα λοιπόν, είμαστε αποφασισμένοι να κερδίσουμε τη μάχη στις 21 Μαίου προς χάρη του ελληνικού λαού και ιδιαίτερα της μεσαίας τάξης και των πιο ευάλωτων ελλήνων που χρειάζονται αλλαγές για να υπερασπιστούμε την καθημερινότητά τους, να αντιμετωπίσουμε τα προβλήματα και τα αδιέξοδα.",political agenda,elections,economic crisis,0.4,0.1,0.3,"[['karamanlis government', 'organization', '0.6'], ['greek people', 'group of people', '0.7'], ['middle class', 'group of people', '0.7'], ['vulnerable greeks', 'group of people', '0.6'], ['may 21', 'date', '1.0']]"
3,"Friends. We have a duty to become a strong European country with a strong European country with a resilient welfare state with sustainable growth, with strong democracy. These have always been our historical precepts. We will achieve these things again, but o all together for this take the struggle of the democratic party in your hands. We are in debt. To work every day for the struggles of the younger generations and especially the hundreds of thousands of children who have fled abroad in the last 15 years of the economic crisis. We are not the party of where we go and where we come from. We are the party of the concrete, of the programme, of real progress and not of the toxicity, of the populism of Mr Tsipras and the clientelistic elitism of Mr Mitsotakis.","Φίλες και φίλοι. Η χώρα έχουμε χρέος να γίνει μια ισχυρή ευρωπαϊκή χώρα με ένα ανθεκτικό κοινωνικό κράτος με βιώσιμη ανάπτυξη, με ισχυρή δημοκρατία. Αυτά ήταν πάντα τα ιστορικά μας προτάγματα. Αυτά θα καταφέρουμε ξανά οικοσημεία, μα o όλοι μαζί για αυτό πάρτε τον αγώνα της δημοκρατικής παράταξης στα χέρια σας. Έχουμε χρέος. Να εργαστούμε καθημερινά για τις αγωνίες των νεότερων γενεών και ιδιαίτερα των εκατοντάδων χιλιάδων παιδιών που έφυγαν στο εξωτερικό τα τελευταία 15 χρόνια της οικονομικής κρίσης. Εμείς δεν είμαστε το κόμμα του όπου βγει και του από πάμε. Είμαστε το κόμμα του συγκεκριμένου, του προγράμματος, της πραγματικής προόδου και όχι της τοξικότητας, του λαϊκισμού, του κυρίου Τσίπρα και του πελατειακού ελιτισμού του κυρίου Μητσοτάκη.",political agenda,elections,economic crisis,0.0,0.2,0.0,"[['european country', 'location', '2'], ['welfare state', 'organization', '1'], ['democracy', 'organization', '1'], ['democratic party', 'political party', '1'], ['younger generations', 'group of people', '1'], ['economic crisis', 'date', '1'], ['mr tsipras', 'person', '1'], ['mr mitsotakis', 'person', '1']]"
4,"Let's go to the polls. Let's go to the polls. And we are asking for a strong mandate to make past the divisiveness, arrogance, authoritarianism and the client state.
This patriotic movement has a duty to stand in the way of the destruction of the Greek economy, it has a duty to create the conditions for fair development, social justice and national dignity.","Πάμε στις κάλπες. Πάμε στις κάλπες. Και ζητάμε ισχυρή εντολή για να γίνει παρελθόν ο διχασμός, η αλαζονεία, ο αυταρχισμός και το πελατειακό κράτος ήρθε η ώρα να φυσήξει νέος άνεμος αλλαγής ξανά απ άκρη σ άκρη της πατρίδας μας, ανατρέποντας τους συσχετισμούς που κρατάνε σε ομηρία κάθε δημοκράτη, κάθε προοδευτικό έλληνα και που πάνω από όλα.
Οδηγούν στον αφελληνισμό της ελληνικής οικονομίας αυτό το πατριωτικό κίνημα έχει χρέος να μπει εμπόδιο στον αφανισμό της ελληνικής οικονομίας, έχει χρέος να δημιουργήσει τις συνθήκες της δίκαιης ανάπτυξης, της κοινωνικής δικαιοσύνης και της εθνικής αξιοπρέπειας.",political agenda,economy,election spending,0.8,0.2,0.2,"[['greek', 'country', '1.0'], ['greek economy', 'organization', '0.6'], ['fair development', 'organization', '0.4'], ['social justice', 'organization', '0.4'], ['national dignity', 'organization', '0.4']]"
5,"Friends. The sun is rising all over Greece because we are united as one, because we believe in the visions, the principles and the values of the third of September and we proudly raise again the flag, the green flag of the PASOK sun. Friends, strong powerful economic interests and the domestic oligarchy draw the danger of ungovernability. What will it do? Does PASOK say it will leave the country ungoverned? There is no danger of ungovernability after every election. A government always emerges. The question is does the government serve the terrorists of the oligarchy or does it give them the real problems of the Greek people's daily life? Mr. Tsipras, Mr. Mitsotakis in recent days have been making a plethora of benefits. They are buying off or trying to buy off even the consciousness of the younger generation, as one did at 15 and the other at 19. Mr Mitsotakis even took the Youth Pass out of his pocket. So I call on every young person in the country to turn their back on the right's contempt for the real problems of Greek youth that are not being addressed with Mr Mitsotakis' €150.","Φίλες και φίλοι. Ο ήλιος ανατέλει σε όλη την Ελλάδα γιατί είμαστε ενωμένοι σαν να δυνατή, γιατί πιστεύουμε στα οράματα, στις αρχές και τις αξίες της τρίτης του Σεπτέμβρη και σηκώνουμε ξανά περήφανα τη σημαία, την πράσινη σημαία του ήλιου του ΠΑΣΟΚ. Φίλες και φίλοι, ισχυρά ισχυρά οικονομικά συμφέροντα και η εγχώρια ολιγαρχία επισείουν τον κίνδυνο της ακυβερνησίας. Τι θα κάνει; Λέει το ΠΑΣΟΚ θα αφήσει ακυβέρνητη τη χώρα; Δεν υπάρχει κίνδυνος ακυβερνησίας μετά από κάθε εκλογές. Πάντα προκύπτει μια κυβέρνηση. Το ζήτημα είναι η κυβέρνηση υπηρετεί τους τρομοκράτες της ολιγαρχίας ή τους δίνει τα πραγματικά προβλήματα του ελληνικού λαού την καθημερινότητά του; Ο Κύριος Τσίπρας, ο κύριος Μητσοτάκης τις τελευταίες μέρες κάνουν μια πλειοδοσία παροχών. Εξαγοράζουν ή προσπαθούν να εξαγοράσουν τη συνείδηση ακόμη και της νέας γενιάς, όπως ο ένας έκανε το 15 και ο άλλος στο 19. Μάλιστα ο κύριος Μητσοτάκης έβγαλε από τη τσέπη του το Youth Pass. Εγώ λοιπόν καλώ κάθε νέο άνθρωπο της χώρας να γυρίσει την πλάτη του στην περιφρόνηση της δεξιάς για τα πραγματικά προβλήματα της ελληνικής νεολαίας που δεν επιδίδονται με τα 150 € του κυρίου Μητσοτάκη.",criticism,elections,youth,0.0,0.2,0.6,"[['greece', 'location', '1.0'], ['pasok', 'political party', '0.9'], ['ungovernability', 'organization', '0.7'], ['pasok', 'political party', '0.6'], ['greek', 'nationality', '1.0'], ['mr. tsipras', 'person', '1.0'], ['mr. mitsotakis', 'person', '1.0'], ['youth pass', 'organization', '0.6'], ['€150', 'organization', '0.5']]"
6,"One of them asks us to forget his past and to vote for SYRIZA again without having said an apology for co-governing with the extreme right-wing Kammenos, while he was saying first time leftist first time leftist was Mr.Tsipras only in 1981. The other one asks you to forget all about the difference, the Patchids, the Tempi, the interceptions, the direct assignments. And what does he tell you to be afraid that Syriza is coming? So vote for a new democracy, the message of all of us here today from Achaia is vote for PASOK so that both of them can go home or the Greek people will be in contempt. Don't choose with fear but choose with real hope for a better tomorrow.","Ο ένας μας ζητά να ξεχάσουμε τα πεπραγμένα του και να ψηφίσουν ξανά ΣΥΡΙΖΑ χωρίς να έχει πει μια συγνώμη για το ότι συγκυβέρνησε με τον κύριο ακροδεξιό Καμμένο, ενώ έλεγε πρώτη φορά αριστερά πρώτη φορά αριστερά ήταν κύριε Τσίπρα μόνο το 1981. Ο άλλος σας ζητά να τα ξεχάσετε όλα τη διαφορά, τους Πατσίδες, τα Τέμπη, τις υποκλοπές, τις απευθείας αναθέσεις. Και τι σας λέει να φοβηθείτε που έρχεται ο ΣΥΡΙΖΑ; Ψηφίστε νέα Δημοκρατία λοιπόν το μήνυμα όλων εμάς σήμερα εδώ από την Αχαϊα είναι ψηφίστε ΠΑΣΟΚ για να πάνε και οι 2 σπίτι τους θα ή περιφρόνηση του ελληνικού λαού. Μην επιλέξετε με φόβο αλλά επιλέξτε με την πραγματική ελπίδα για ένα καλύτερο αύριο.",criticism,elections,other,-0.5,0.6,0.0,"[['syriza', 'political party', '1.0'], ['kammenos', 'person', '1.0'], ['mr.tsipras', 'person', '1.0'], ['patchids', 'group of people', '1.0'], ['tempi', 'location', '1.0'], ['syriza', 'political party', '1.0'], ['new democracy', 'political party', '1.0'], ['pasok', 'political party', '1.0'], ['achaia', 'location', '1.0'], ['greek', 'country', '1.0']]"
7,"Friends and friends, they despise our political culture, no more discounting of democratic principles, no more erosion of constitutional institutions, no more trivialisation of parliamentary morals. They are the ones who, with their internet parastate, are crushing the dignity of those who think that it stands in their way of your money from your taxes; they are the ones who have set up their digital parastate of SYRIZA and New Democracy, who used to say that I was an agent when they were watching me in the middle of our democratic processes. And a girl who denounced her abuse became a victim in the teeth of this parastate. So we, the democratic party with the principles and values are leading their digital parasite to the dustbin of history. There is no need to divide the young generation with this nonsense spread by the trumped up fake news of Maximos and Mr. Tsipras. We represent another political ethos, the ethos of consistency, the ethos of consistency, the ethos of truth, the ethos of the real and concrete programme.","Φίλες και φίλοι περιφρονοῦν τον πολιτικό μας πολιτισμό, όχι άλλη έκπτωση των δημοκρατικών αρχών, όχι άλλη διάβρωση των συνταγματικών θεσμών, όχι άλλο ευτελισμό των κοινοβουλευτικών ηθών. Αυτοί είναι που με το παρακράτος στο διαδίκτυο συντρίβουν την αξιοπρέπεια οποίου θεωρήσουν ότι στέκεται εμπόδιο τους απ τα δικά σας χρήματα από τους δικούς σας φόρους έχουν στήσει ο ΣΥΡΙΖΑ και η Νέα Δημοκρατία το ψηφιακό τους παρακράτος που έλεγαν ότι εγώ είμαι πράκτορας όταν με παρακολουθούσαν ενδιαμέσων των δημοκρατικών μας διαδικασιών. Και μια κοπέλα που κατήγγειλε την κακοποίησή της έγινε θύμα στα δόντια αυτού του παρακράτους. Εμείς λοιπόν, η δημοκρατική παράταξη με τις αρχές και τις αξίες οδηγούμε το ψηφιακό τους παρακράτος στο χρονοντούλαπο της ιστορίας. Δεν χρειάζεται να διχάζει τη νέα γενιά μ' αυτές τις ανοησίες που διασπείρουν τραμπικά fake news του Μαξίμου και του κυρίου Τσίπρα. Εμείς εκπροσωπούμε ένα άλλο πολιτικό ήθος, το ήθος της συνέπειας, βοηθός της αλήθειας, το ήθος του πραγματικού και του συγκεκριμένου προγράμματος.",criticism,democracy,other,0.0,0.8,0.0,"[['friends', 'group of people', '0.8'], ['democratic party', 'organization', '0.7'], ['syriza', 'political party', '0.6'], ['new democracy', 'political party', '0.6'], ['maximos', 'organization', '0.4'], ['mr. tsipras', 'person', '0.4'], ['greece', 'country', '0.3']]"
8,"The PASP is here to make it strong again after the next national elections, because our movement embraced the Greek Youth? Because our movement does not forget that it was the youth that made it strong in 1974. Well, all Greeks and especially the young generation. Join us because we will give confidence, we will ensure dignity and prospects to the people. But what does confidence mean today in 2023? How will citizens feel trust when they fear for the labours, the sacrifices of their family members?","Η ΠΑΣΠ είναι εδώ για να την ξανακάνουμε ισχυρή μετά τις επόμενες εθνικές εκλογές, γιατί το κίνημά μας αγκάλιασε την ελληνική Νεολαία; Γιατί το κίνημά μας δεν ξεχνά ότι i νεολαία ήταν αυτή που το έκανε ισχυρό το 1974. Λοιπόν, όλους τους Έλληνες και ιδιαίτερα τη νέα γενιά. Να έρθουν κοντά μας γιατί εμείς θα δώσουμε εμπιστοσύνη, θα εξασφαλίσουμε αξιοπρέπεια και προοπτική στο λαό.Φίλες και φίλοι. Τι σημαίνει όμως εμπιστοσύνη σήμερα το 2023; Πώς θα νιώθει ο πολίτης εμπιστοσύνη όταν φοβάται για τους κόπους, τις θυσίες των μελών της οικογένειάς του; ",political agenda,employment,youth,,0.0,0.2,"[['pasp', 'organization', '1.0'], ['greek youth', 'group of people', '1.0'], ['greeks', 'group of people', '0.5'], ['young generation', 'group of people', '0.5'], ['2023', 'date', '1.0']]"
9,"Even in Tempe, they despised human suffering. They told us that the transfer of the disputed stationmaster was not illegal, Mr Georgiadis, Mr Voridis, every day on the TV channels they said it was a legal transfer. And the three-member committee that Mr Mitsotakis appointed, announced that it was the illegal transfers of the stationmaster, have the courage to tell us whose New Democracy MP's party buffoonery was this fatal man that led to the tragedy? Do they have the courage to tell us why? Apart from this criminal buffoonery, why did Mr Karamanlis hide the report of the independent transparency authority in his drawer? Which was completed on October 21 and which told precisely which persons in the Syriza and New Democracy governments were responsible for the fact that it was never implemented. The 717 contract of 2014 of the Telecommunications Authority that if it NEVER existed will be lost vertically will be lost unjustly. These 57 human lives why did Mr. Karamanlis not take this finding to justice? And if Mr Karamanlis does not tell it for his own reasons, why does Mr Mitsotakis have him on the New Democracy ballot paper? So until when are there islands of impunity? So when will there be contempt for the public interest? How long will our state be a spoil of power in the hands of the Right and Syriza?","Ακόμη και στα Τέμπη, περιφρόνησαν τον ανθρώπινο πόνο. Μας έλεγαν οτι δεν ήταν παράνομη η μετάταξη του επίμαχου σταθμάρχη ο κύριος Γεωργιάδης, ο κύριος Βορίδης καθημερινά στα κανάλια έλεγαν νόμιμη μετάταξη. Και η Επιτροπή τριμελής που κύριος Μητσοτάκης όρισε, ανακοίνωσε ότι ήταν οι παράνομοι, οι μετατάξεις σταθμάρχη έχουν το θάρρος να μας πουν ποιου βουλευτή της Νέας Δημοκρατίας κομματικό ρουσφέτι ήταν αυτός ο μοιραίος άνθρωπος που οδήγησαν στην τραγωδία; Έχουν το θάρρος να μας πουν γιατί; Πέρα από αυτό το εγκληματικό ρουσφέτι, γιατί ο κύριος Καραμανλής έκρυψε στο συρτάρι του την έκθεση της ανεξάρτητης αρχής διαφάνειας; Που ολοκληρώθηκε τον Οκτώβριο του 21 και έλεγε με ακρίβεια ποια πρόσωπα της κυβέρνησης ΣΥΡΙΖΑ και της Νέας Δημοκρατίας ήταν υπεύθυνα που δεν υλοποιήθηκε ποτέ. Η σύμβαση 717 του 2014 της Τηλεδιοίκησης που εαν Υπηρχε ΠΟΤΕ δεν θα χαθει καθε θα χαθεί άδικα. Αυτές οι 57 ανθρώπινες ζωές γιατί ο κύριος Καραμανλής δεν πήγε το πόρισμα αυτό στη δικαιοσύνη; Κι αν ο κύριος Καραμανλής δεν το πει για τους δικούς του λόγους, ο κύριος Μητσοτάκης γιατί τον έχει στα ψηφοδέλτια της Νέας Δημοκρατίας; Ως πότε λοιπόν νησίδες ατιμωρησίας; Ως πότε λοιπόν, περιφρόνηση του δημόσιου συμφέροντος; Ως πότε το κράτος μας θα είναι λάφυρο εξουσίας στα χέρια της Δεξιάς και του ΣΥΡΙΖΑ. ",criticism,accountability,other,-0.9316,0.4,0.0,"[['tempe', 'location', '0.9'], ['georgiadis', 'person', '0.8'], ['voridis', 'person', '0.8'], ['mitsotakis', 'person', '0.8'], ['new democracy', 'political party', '0.8'], ['syriza', 'political party', '0.8'], ['telecommunications authority', 'organization', '0.8'], ['karamanlis', 'person', '0.7'], ['independent transparency authority', 'organization', '0.7'], ['october 21', 'date', '0.6'], ['717 contract of 2014', 'organization', '0.6'], ['57 human lives', 'group of people', '0.6'], ['right', 'political party', '0.5']]"
10,"Trust means justice, but justice for all, not just for the few, for those who feel that no matter what they do they will always go unpunished. And I say this because Mr Tsipras also has the greatest audacity. I know of no other European, supposedly progressive, who is condemned as a close associate of the former Prime Minister. 13-0, one Special Court and instead of going home he too is decorating the Syriza ballot papers. What does this behavior prove when they say justice everywhere they mean for all of us, but not for them, for their cronies, for their relatives, as Mitsotakis did with his nephew Demetriades, the protagonist of the wiretapping and the 2023 parastate.","Εμπιστοσύνη σημαίνει δικαιοσύνη, δικαιοσύνη όμως για όλους, όχι μόνο για τους λίγους, για αυτούς που νιώθουν ότι πάντα ότι και να κάνουν θα είναι ατιμώρητοι. Και το λέω αυτό γιατί έχει μέγιστο θράσος και ο κύριος Τσίπρας. Δεν γνωρίζω άλλο, ευρωπαοκό δήθεν προοδευτικό που να καταδικάζεται ως στενότερος συνεργάτης του πρώην πρωθυπουργού. 13-0, ένα το Ειδικό δικαστήριο και αντί να πηγαίνει σπίτι του να κοσμεί και αυτός τα ψηφοδέλτια του ΣΥΡΙΖΑ. Τι αποδεικνύει αυτή τους τη συμπεριφορά όταν λένε δικαιοσύνη παντού εννοούν για όλους εμάς, αλλά όχι για αυτούς, για τους κολλητούς τους, για τους συγγενείς τους, όπως έκανε ο Μητσοτάκης με τον ανιψιό του, τον Δημητριάδη πρωταγωνιστή των υποκλοπών και του παρακράτους του 2023. ",criticism,accountability,other,-0.5,0.2,0.0,"[['trust', 'probability not clear'], ['mr tsipras', 'person', '0.9'], ['european', 'group of people', '0.6'], ['syriza', 'political party', '0.8'], ['mitsotakis', 'person', '0.8'], ['demetriades', 'person', '0.7'], ['2023', 'date', '0.5']]"
