id,text,text_el,is_criticism,topic-context,subtopic-context,sentiment,polarization-definition,populism-definition,ner-limited
1,"Friends, here in Chania today we are sending a message of victory and hope for the rebirth of PASOK throughout Greece to all democrats, to all progressive Greeks. We are a few days before the upcoming national elections. Critical national elections, where our political opponents, who used to say that they wanted cooperation with PASOK, now have only one goal: to stop the rise of the democratic party. Their problem is PASOK. That is the real opponent of Mr Mitsotakis and Mr Tsipras. They see the danger of ungovernability. There is no danger of ungovernability. After the elections there will be a government. There is a danger of immobility, arrogance and institutional decline, which is the main focus of the system of Kyriakos Mitsotakis.","Φίλες και φίλοι, και σήμερα εδώ από τα Χανιά στέλνουμε μήνυμα νίκης και ελπίδας για την αναγέννηση του ΠΑΣΟΚ σε όλη την Ελλάδα σε όλους τους δημοκράτες, σε όλους τους προοδευτικούς Έλληνες. Βρισκόμαστε λίγες μέρες πριν τις ερχόμενες εθνικές εκλογές. Κρίσιμες εθνικές εκλογές, όπου οι πολιτικοί μας αντίπαλοι εκεί που έλεγαν ότι θέλουν συνεργασία με το ΠΑΣΟΚ, τώρα έχουν μόνο ένα στόχο να σταματήσουν την άνοδο της δημοκρατικής παράταξης. Το πρόβλημά τους είναι το ΠΑΣΟΚ. Αυτός είναι ο πραγματικός αντίπαλος του κυρίου Μητσοτάκη και του κυρίου Τσίπρα. Επισείουν τον κίνδυνο της ακυβερνησίας. Δεν υπάρχει κίνδυνος ακυβερνησίας. Mετά από τις εκλογές θα υπάρξει η κυβέρνηση. Υπάρχει κίνδυνος ακινησίας, αλαζονείας και θεσμικής παρακμής που πρωταγωνιστεί το σύστημα του Κυριάκου Μητσοτάκη. ",criticism,democracy,election spending,0.25,0.2,0.0,"[['chania', 'location', '1.0'], ['pasok', 'political party', '1.0'], ['greece', 'country', '1.0'], ['democrats', 'group of people', '0.8'], ['greeks', 'group of people', '0.8'], ['national elections', 'date', '1.0'], ['political opponents', 'group of people', '0.8'], ['mr mitsotakis', 'person', '1.0'], ['mr tsipras', 'person', '1.0'], ['ungovernability', 'political party', '0.2'], ['government', 'organization', '1.0'], ['immobility', 'organization', '0.5'], ['arrogance', 'organization', '0.5'], ['institutional decline', 'organization', '0.5'], ['kyriakos mitsotakis', 'person', '1.0']]"
2,"Both of them. Both Mr Mitsotakis and Mr Tsipras think that they will redeem the conscience of the Greek people with a plethora of benefits, but the people have a memory of the 2015 mockery and the 2019 mockery, and they have the impression that they will do so. That they will buy off the new generation with the Youth Pass of 150€. The new generation wants the job prospect and dignity with 150 €. All they can achieve is to trivialise the political life of the country.","Και οι δυο τους. Και ο κύριος Μητσοτάκης και ο κύριος Τσίπρας νομίζουν ότι με την πλειοδοσία παροχών θα εξαγοράσουν τη συνείδηση του ελληνικού λαού, αλλά ο λαός έχει μνήμη για την κοροϊδία του 2015 αλλά και για την κοροϊδία του 2019 έχουν την εντύπωση. Ότι θα εξαγοράσουν τη νέα γενιά με τα Youth Pass των 150€. Η νέα γενιά θέλει η προοπτική εργασία και η αξιοπρέπεια με 150 €. Το μόνο που μπορούν να καταφέρουν είναι να ευτελίσουν την πολιτική ζωή του τόπου. ",criticism,other,youth,-0.7,0.1,0.5,"[['mr mitsotakis', 'person', '0.9'], ['mr tsipras', 'person', '0.9'], ['greek people', 'group of people', '0.8'], ['2015', 'date', '0.6'], ['2019', 'date', '0.6'], ['youth pass', 'organization', '0.7'], ['new generation', 'group of people', '0.8'], ['political life', 'organization', '0.6'], ['country', 'location', '0.8']]"
3,"I must admit that I find it difficult to understand what is going on with the Prime Minister, his arrogance had been noticed and had long ceased to surprise me.His lack of empathy was also something I had spotted and I was not at all surprised by his inability to identify with public sentiment and one or stand up for the problems facing the Greek people.What has always impressed me is the ease with which he distorts reality and underestimates our intelligence. Every day Kyriakos Mitsotakis reminds me more and more of Mr Tsipras. I did not expect him to compete with him in lying, questioning even the official OECD figures. The figures used by all the governments of the western world. But what leaves me stunned is his behaviour in the wiretapping scandal. From Rhodes he addressed his friends of PASOK to all of you, saying that we have moved elsewhere and I am taking you elsewhere.Who is saying this? The one who started 2019 by advocating a modern executive state and ended up heading an executive parastate? The champion of direct assignments? The champion of corruption? The champion of temporary employees paid for by your taxes?","Ομολογώ ότι δυσκολεύομαι να καταλάβω τι συμβαίνει με τον πρωθυπουργό, την αλαζονεία του την είχαν αντιληφθεί και είχε παύσει από πολύ καιρό να με εκπλήσσει.Την έλλειψη ενσυναίσθησης επίσης, την είχα εντοπίσει και δεν με παραξένεψε καθόλου η αδυναμία του να ταυτιστεί με το κοινό αίσθημα και ένας ή να σταθεί τα προβλήματα που αντιμετωπίζει ο ελληνικός λαός.Εκείνο δε που ανέκαθεν με εντυπωσιάζει είναι η ευκολία που παραποιεί την πραγματικότητα και υποτιμά τη νοημοσύνη μας. Κάθε μέρα ο Κυριάκος Μητσοτάκης μου θυμίζει όλο και περισσότερο τον κύριο Τσίπρα. Δεν περίμενα να τον ανταγωνίζεται στα ψέματα, αμφισβητώντας ακόμη και τα επίσημα στοιχεία του ΟΟΣΑ. Τα στοιχεία που χρησιμοποιούν όλες οι κυβερνήσεις του δυτικού κόσμου. Αυτό όμως που με αφήνει άναυδο είναι η συμπεριφορά του στο σκάνδαλο των παρακολουθήσεων. Από τη Ρόδο απευθύνθηκε στους φίλους του ΠΑΣΟΚ σε όλους εσάς, λέγοντας ότι αλλού για αλλού κινήσαμε και αλλού σας πάω.Ποιος τα λέει αυτά; Αυτός που ξεκίνησε το 2019 ευαγγελιζόμενος ένα σύγχρονο επιτελικό κράτος και κατέληξε να προϊσταται ενός επιτελικού παρακράτους; Ο πρωταθλητής των απευθείας αναθέσεων; Ο πρωταθλητής στη διαφθορά; Ο πρωταθλητής των μετακλητών υπαλλήλων που πληρώνεται από τους φόρους σας; ",criticism,corruption,other,-0.9,0.2,0.2,"[['kyriakos mitsotakis', 'person', '1.0'], ['mr tsipras', 'person', '1.0'], ['oecd', 'organization', '1.0'], ['pasok', 'political party', '1.0'], ['rhodes', 'location', '1.0'], ['greek', 'country', '1.0'], ['2019', 'date', '1.0']]"
4,"He dares to accuse us of being statists, the one who turned the state into a personal booty for himself and his company. We have seen that we have entered the debate not only on the economic debate on Greece's fiscal future, but also on a debate on the country's leading position in terms of institutions of democratic quality. We have become internationally finger-pointed for the violation of human rights and the rule of law. This humiliation must not be tolerated by the people on 21 May. Therefore, vote for the party that respected human rights and created quality democracy and the rule of law. When in 1981 it put the post-civil war right-wing parastate in the dustbin of history.","Τολμά να μας εγκαλεί ότι είμαστε κρατιστές, αυτός που μετέτρεψε το κράτος σε προσωπικό λάφυρο για τον ίδιο και την παρέα του. Είδαμε ότι μπήκαμε στο στοχαστρο πια όχι μόνο της οικονομικής συζήτησης για το δημοσιονομικό μέλλον της Ελλάδας, αλλά και σε μια συζήτηση για μια πρωταγωνιστική στάση της χώρας σε θέματα θεσμών ποιότητας δημοκρατίας. Γίναμε διεθνώς δακτυλοδεικτούμενοι με την καταπάτηση των ανθρωπίνων δικαιωμάτων και το κράτος δικαίου. Αυτή την ταπείνωση δεν πρέπει να την ανεχτεί ο λαός στις 21 Μαΐου. Γι αυτό λοιπόν, ψήφος στην παράταξη που σεβάστηκε τα ανθρώπινα δικαιώματα που δημιούργησε την ποιοτική δημοκρατία και το κράτος δικαίου. Όταν το 1981 έβαλε στο χρονοντούλαπο της ιστορίας το μετεμφυλιακό παρακράτος της δεξιάς. ",criticism,democracy,other,-0.7,0.3,0.2,"[['state', 'organization', '0.5'], ['his company', 'group of people', '0.3'], ['greece', 'country', '0.5'], ['21 may', 'date', '0.3'], ['right-wing parastate', 'political party', '0.3'], ['1981', 'date', '0.2']]"
5,"Friends. But who is the real opponent of New Democracy? Tomorrow the Prime Minister will be interviewed in a Sunday newspaper, showing his real obsession and his real agony. His anguish is only one, that the democratic party for PASOK should not be reborn, because he knows very well who the opponent of New Democracy is, and he also knows very well that if Tsipras had not been the official opposition, his government would already be a thing of the past under the weight of the scandals of the last few months. The only thing keeping him standing is the opposition of SYRIZA opposition without ballast. On the one hand local currencies, on the other hand theories about Evros that legitimize Erdogan's hybrid children and, of course, finally, the imitation of Andreas Papandreou. Andreas Papandreou and Aegean Prespes do not go together, Mr Tsipras.
Andreas Papandreou and the sea without borders do not go together, Mr Tsipras, because PASOK was democratic and is a democratic and patriotic movement and does not play with our national issues.","Φίλες και φίλοι. Ποιος είναι ο πραγματικός αντίπαλος όμως της Νέας Δημοκρατίας; Αύριο ο πρωθυπουργός δίνει συνέντευξη σε μια κυριακάτικη εφημερίδα, δείχνοντας την πραγματική του εμμονή και την πραγματική του αγωνία. Η αγωνία του είναι μόνο μία να μην αναγεννηθεί η δημοκρατική παράταξη για το ΠΑΣΟΚ, γιατί γνωρίζει καλά ποιος είναι ο αντίπαλος της Νέας Δημοκρατίας και γνωρίζει επίσης καλά ότι αν δεν ήταν ο Τσίπρας αξιωματική αντιπολίτευση, ήδη η κυβέρνησή του θα αποτελούσε παρελθόν απ' το βάρος των σκανδάλων των τελευταίων μηνών. Ο μόνος που τον κρατάει όρθιο είναι η αντιπολίτευση του ΣΥΡΙΖΑ αντιπολίτευση χωρίς έρμα. Τη μία τοπικά νομίσματα, την άλλη θεωρίες για τον Έβρο που νομιμοποιούν το υβριδικά παιδιά του Ερντογάν και βέβαια, τέλος, η μίμηση του Ανδρέα Παπανδρέου. Ανδρέας Παπανδρέου και Πρέσπες του Αιγαίου δεν πάνε μαζί, κύριε Τσίπρα.
Ανδρέας Παπανδρέου και θάλασσα χωρίς σύνορα δεν πάνε μαζί, κύριε Τσίπρα, γιατί το ΠΑΣΟΚ ήταν δημοκρατικό και είναι δημοκρατικό και πατριωτικό κίνημα και δεν παίζει με τα εθνικά μας θέματα.",criticism,national security,other,-0.55,0.6,0.0,"[['new democracy', 'organization', '1.0'], ['prime minister', 'person', '1.0'], ['sunday newspaper', 'organization', '0.9'], ['pasok', 'political party', '0.8'], ['tsipras', 'person', '0.7'], ['syriza', 'political party', '0.8'], ['evros', 'location', '0.7'], ['erdogan', 'person', '0.6'], ['andreas papandreou', 'person', '1.0'], ['aegean prespes', 'location', '0.7']]"
6,"Friends. I have received a mandate.From 270,000 friends of the democratic party. I have pledged to you and I pledge to you here in Chania that I will not do them the favour of having a crutch leader. PASOK has returned as a leading actor, I understand. I understand that Mr Mitsotakis wanted another PASOK, an easy PASOK, a strategic ally. PASOK has history, social roots and dignity and will speak the word of progress and truth, without counting the cost. But who is giving me lessons? The leader of the Bats? Who speculated with millions of euro loans with the toil and sacrifice of the Greek people? The prime minister of fiscal populism who feeds rabbits and stones. He even said that he would increase private sector wages by 25 to 100. Here are many small businessmen and women how will he raise wages in the private sector 25%? By royal decree? In what economy? In the economy where there is currently a huge devaluation and over-taxation where thousands of small SMEs are being extorted by the funds? In this economy.","Φίλες και φίλοι. Πήρα εντολή.Από 270.000 φίλους και φίλες της δημοκρατικής παράταξης. Σας έχω δεσμευτεί και δεσμεύομαι και εδώ από τα Χανιά ότι δεν θα τους κάνω τη χάρη να έχουν αρχηγό δεκανίκι. Το ΠΑΣΟΚ επέστρεψε ως πρωταγωνιστής, καταλαβαίνω. Καταλαβαίνω ο κύριος Μητσοτάκης ήθελε ένα άλλο ΠΑΣΟΚ, ένα εύκολο ΠΑΣΟΚ, ένα στρατηγικό σύμμαχο. Το ΠΑΣΟΚ έχει ιστορία, κοινωνική ρίζα κι αξιοπρέπεια και θα μιλά το λόγο της προόδου και της αλήθειας, χωρίς να μετρά το κόστος. Αλλά ποιος μου κάνει μαθήματα; Ο αρχηγός των Μπάτσηδων; Που κερδοσκοπούσαν με εκατομμύρια ευρώ δάνεια με τους κόπους και τις θυσίες του ελληνικού λαού; Ο πρωθυπουργός του δημοσιονομικού λαϊκισμού που τάζει λαγούς και πετραχήλια. Έφτασε να πει ότι θα αυξήσει λέει 25 τα 100 τους μισθούς στον ιδιωτικό τομέα. Εδώ είναι πολλοί επιχειρηματίας μικρομεσαίοι πως θα αυξήσει τους μισθούς στον ιδιωτικό τομέα 25%; Με βασιλικό διάταγμα; Σε ποια οικονομία; Στην οικονομία που αυτή τη στιγμή υπάρχει τεράστια ανατίμηση και υπερφορολόγηση όπου χιλιάδες μικρές μικρομεσαίες επιχειρήσεις είναι εκβιαζόμενες από τα funds; Σε αυτή την οικονομία. ",criticism,economy,other,-0.5,0.2,0.6,"[['chania', 'location', '1.0'], ['pasok', 'organization', '1.0'], ['mr mitsotakis', 'person', '1.0'], ['the bats', 'group of people', '1.0'], ['greek', 'country', '1.0']]"
7,"So we are saying something very simple. We continue on our autonomous course and we do not want to drag anyone into blind conflicts. We say realistically what must happen for the future of the country. Mr Tsipras is propagandizing to scare the progressives that he says we have already settled with Mr Mitsotakis. But how can that be? Those of Syriza have come to terms with New Democracy and those of New Democracy have come to terms with Syriza. You know, all this rhetoric is aimed at only one thing. To stop this new course. That's why I call on each and every one of you to fight a 9-day race and on May 21 to send Tsipras and Mitsotakis to the dustbin of history. Enough of the toxicity and division they have offered to Greek society. PASOK is here united strong embracing the anguish and hope of all the Greek people.","Εμείς λοιπόν λέμε κάτι πολύ απλό. Συνεχίζουμε την αυτόνομη πορεία μας και δεν θέλουμε να παρασύρουμε κανένα σε τυφλές συγκρούσεις. Εμείς λέμε ρεαλιστικά τι πρέπει να συμβεί για το μέλλον της πατρίδας. Ο κύριος Τσίπρας προπαγανδίζει για να τρομοκρατήσει τους προοδευτικούς ότι λέει τα έχουμε βρει ήδη με τον κύριο Μητσοτάκη. Μα πώς γίνεται αυτό; Οι μεν του ΣΥΡΙΖΑ τα έχουμε βρει με τη Νέα Δημοκρατία ίδια της Νέας Δημοκρατίας, ότι τα έχουμε βρει με τον ΣΥΡΙΖΑ. Ξέρετε, όλη αυτή η ρητορική στοχεύει μόνο σε ένα πράγμα. Να αναχαιτίσουν αυτή τη νέα πορεία. Για αυτό καλώ την κάθε μία για τον καθένα από σας να δώσουμε αγώνα 9 ημερών και 21 Μαΐου να στείλουμε Τσίπρα και Μητσοτάκη στο χρονοντούλαπο της ιστορίας. Φτάνει η τοξικότητα και ο διχασμός που προσέφεραν στην ελληνική κοινωνία. Το ΠΑΣΟΚ είναι εδώ ενωμένο δυνατό αγκαλιάζοντας της αγωνίας και της ελπίδας όλου του ελληνικού λαού.",political agenda,other,election spending,0.0,0.1,0.0,"[['mr tsipras', 'person', '0.7'], ['syriza', 'political party', '0.8'], ['mr mitsotakis', 'person', '0.7'], ['new democracy', 'political party', '0.7'], ['pasok', 'political party', '0.9'], ['greek', 'location', '0.7'], ['may 21', 'date', '0.7']]"
8,"Friends, I hear the communication arms of Mr Tsipras talking about the blackmailed and the taken. As soon as there was a question of morality the next day, the one who had insulted the Greek people was off our ballot papers. The most sinopic unwise and the blackmailer is the one whose best friend was convicted 13-0, a the special court and instead of sending it home, has him adorn the ballot papers of SYRIZA to call a spade a spade.","Φίλες και φίλοι, ακούω τους επικοινωνιακούς βραχίονες του κυρίου Τσίπρα να μιλάνε για εκβιαζόμενους για πιασμένους. Εμείς μόλις υπήρχε ζήτημα ηθικό την επόμενη μέρα αυτό στο οποίος είχε προσβάλει τον ελληνικό λαό, ήταν εκτός των ψηφοδελτίων μας. Το πιο σινώπη ασμένως και ο εκβιαζόμενος είναι αυτός που ο κολλητός του καταδικάστηκε 13-0, ένα το ειδικό δικαστήριο και αντί να το στείλει σπίτι του, τον έχει να κοσμεί τα ψηφοδέλτια του ΣΥΡΙΖΑ για να λέμε τα πράγματα με το όνομά τους. ",criticism,accountability,corruption,-0.7,0.2,0.5,"[['tsipras', 'person', '1.0'], ['greek people', 'group of people', '1.0'], ['syriza', 'political party', '1.0']]"
9,"9 days left and we are fighting against two dangerous systems of power that instead of offering unity and perspective to the Greek people, they are playing dangerous games and offer only division and toxicity. Instead of hope they invest in fear. They do not hesitate to enlist their digital parastate to seize power. So I say here from Chania. From our homeland in Crete, do not give in to terrorism and fear. Invest in hope and perspective for you, your children and your grandchildren. Remember who is the party that gave dignity to the Greek people? Who is the party that built the great projects, Who is the party that brought quality democracy and who are those who condemn us to a land of lost opportunities by sending thousands of Greek children abroad. 21 May, the end of depravity. An end to division. Yes to hope, yes to perspective.","Φίλες και φίλοι.9 μέρες έμειναν και αγωνιζόμαστε απέναντι σε δυο επικίνδυνα συστήματα εξουσίας που αντί να προσφέρουν ενότητα και προοπτική στον ελληνικό λαό, παίζουν επικίνδυνα παιχνίδια και προσφέρουν μόνο διχασμό και τοξικότητα. Αντί ελπίδα επενδύουν στο φόβο. Δεν διστάζουν να επιστρατεύσουν το ψηφιακό τους παρακράτος για να κατακτήσουν την εξουσία. Λέω λοιπόν και εδώ από τα Χανιά. Από την πατρίδα μας στην Κρήτη, μην ενδώσετε στην τρομοκρατία και το φόβο. Επενδύστε στην ελπίδα και την προοπτική για σας τα παιδιά σας και τα εγγόνια σας. Θυμηθείτε ποια είναι η παράταξη που έδωσε αξιοπρέπεια στον ελληνικό λαό; Ποια είναι η παράταξη που έφτιαξε τα μεγάλα έργα, Ποια είναι η παράταξη που έφερε την ποιοτική δημοκρατία και ποιοι είναι αυτοί που μας καταδικάζουν σε μια χώρα χαμένων ευκαιριών στέλνοντας χιλιάδες ελληνόπουλα στο εξωτερικό. 21 Μαίου τέλος στην φαυλότητα. Τέλος στο διχασμό. Ναι στην ελπίδα ναι στην προοπτική.",political agenda,elections,other,-0.5177,0.1,0.2,"[['chania', 'location', '0.6'], ['crete', 'location', '0.6'], ['greek', 'country', '0.7'], ['21 may', 'date', '0.7']]"
10,"Friends. A strong PASOK is an obstacle and a mound. The sun will rise, with the struggles, with the efforts of all of us. All of us together proudly raise the sun of PASOK, the flag of the democratic party. Friends. On 21 May, we have a duty to put up a barrier to populism and to clientelistic elitism. The deterioration of our political culture cannot continue. The discounting of democratic values or the erosion of constitutional institutions, the trivialisation of parliamentary morals, the devaluation of our intelligence. We have a duty to support people and parties that invest in progress, in reason, in reason, in reason, in respect for the man of the land and the environment. To offer new models away from buffoonery away from clientelistic philosophies, away from playing games with the domestic elite and the domestic oligarchy and I pledge here from Chania that we will confront any powerful undermining the public interest and the perspective of the Greek people. We have a duty to ensure dignity and perspective.","Φίλες και φίλοι. Ένα ισχυρό ΠΑΣΟΚ είναι εμπόδιο και ανάχωμα. Ο ήλιος θ' ανατέλλει, με τους αγώνες, με τις προσπάθειες όλων μας. Όλοι μαζί σηκώστε περήφανα τον ήλιο του ΠΑΣΟΚ, τη σημαία της δημοκρατικής παράταξης. Φίλες και φίλοι. 21 Μαίου, έχουμε χρέος να μπούμε ανάχωμα στον λαϊκισμό αλλά και στον πελατειακό ελιτισμό. Δεν μπορεί να συνεχιστεί η υποβάθμιση του πολιτικού μας πολιτισμού. Η έκπτωση των δημοκρατικών αξιών ή διάβρωση των συνταγματικών θεσμών, ο ευτελισμός των κοινοβουλευτικών ηθών, η υποτίμηση της νοημοσύνης μας. Έχουμε χρέος να στηρίξουμε ανθρώπους, κόμματα που επενδύουν στην πρόοδο, στη λογική, στον ορθό λόγο, στον σεβασμό του ανθρώπου της πατρίδας και του περιβάλλοντος. Να προσφέρουν νέα υποδείγματα μακριά από το να ρουσφέτια μακριά από τις πελατειακές φιλοσοφίες, μακριά από τα παιχνίδια με την εγχώρια ελίτ και την εγχώρια ολιγαρχία και δεσμεύομαι και εδώ από τα Χανιά ότι θα συγκρουστούμε με οποιοδήποτε ισχυρό υπονομεύει το δημόσιο συμφέρον και την προοπτική του ελληνικού λαού. Εμείς έχουμε χρέος να εξασφαλίσουμε την αξιοπρέπεια και την προοπτική. ",political agenda,democracy,populism,0.4,0.2,0.0,"[['pasok', 'political party', '1.0'], ['may 21', 'date', '1.0'], ['chania', 'location', '1.0'], ['greek', 'country', '1.0']]"
