id,text,text_el,is_criticism,topic-context,subtopic-context,sentiment,polarization-definition,populism-definition,ner-limited
1,"Friends and friends. Friends, the democratic party is here. PASOK is here. Our movement has returned dynamically to the political forefront of Greek history. Your presence tonight at Velideion confirms that on 21 May we are sending a message of victory, hope and perspective for all Greeks. For every democratic and progressive citizen, the return of the democratic party is now clearly a fact. In every part of the country, in every meeting, I see smiles, hope and need everywhere. We are embracing again the struggles of the vulnerable and the middle class. We are becoming the people-born movement founded in 1974, the movement of great change and great reform. We are the party that changed Greece, that made it truly believe in itself, to become more democratic, more creative, more powerful, to make leaps of hope, growth, progress and prosperity. This party brought the people to power, inspired the younger generations and offered equal opportunities for advancement, creating for all Greeks a strong, undivided middle class. That is why our political opponents have intensified their attacks on us in recent days as they see our political opponents, the people's league of the democratic party, attacking us above and below the table. And of course, together with them and the interests that support them, who daily slander our stance, they devalue the decision that you have taken together, all together, for an autonomous course away from commitments, away only for conflicts, away from enslavement to powerful interests, with autonomy of conflict to really bring the great changes that the Greek people need.","Φίλες και φίλοι. Φίλες και φίλοι, η δημοκρατική παράταξη είναι εδώ. Το ΠΑΣΟΚ είναι εδώ. Το κίνημά μας επέστρεψε δυναμικά στο πολιτικό προσκήνιο της ελληνικής ιστορίας. Η αποψινή σας παρουσία στο Βελλίδειο επιβεβαιώνει ότι 21 Μαΐου στέλνουμε μήνυμα νίκης, ελπίδας και προοπτικής για όλες τις Ελληνίδες και όλους τους Έλληνες. Για κάθε δημοκράτη προοδευτικό πολίτη η επιστροφή της δημοκρατικής παράταξης είναι πλέον ξεκάθαρα γεγονός. Σε κάθε μεριά της χώρας, σε κάθε συνάντηση βλέπω παντού τα χαμόγελα, την ελπίδα, την ανάγκη. Αγκαλιάζουμε ξανά τις αγωνίες των ευάλωτων και της μεσαίας τάξης. Γινόμαστε το λαογέννητο κίνημα που ιδρύθηκε το 1974, το κίνημα των μεγάλων αλλαγών και των μεγάλων μεταρρυθμίσεων. Είμαστε η παράταξη που άλλαξε την Ελλάδα, που την έκανε πραγματικά να πιστέψει στον εαυτό της, να γίνει πιο δημοκρατική, πιο δημιουργική, πιο ισχυρή, να πραγματοποιήσει άλματα ελπίδας, ανάπτυξης, προόδου και ευημερίας. Η παράταξη αυτή έφερε τον λαό στην εξουσία, ενέπνευσε τις νεότερες γενιές και προσέφερε ίσες ευκαιρίες προκοπής, δημιουργώντας για όλους τους Έλληνες ισχυρή μεσαία τάξη, χωρίς διαχωρισμούς. Γι αυτό εντείνονται τις τελευταίες ημέρες βλέποντας οι πολιτικοί μας αντίπαλοι τη λαοθάλασσα της δημοκρατικής παράταξης τις επιθέσεις εναντίον μας, επιθέσεις πάνω και κάτω από το τραπέζι. Και βέβαια, μαζί με αυτούς και τα συμφέροντα που τους υποστηρίζουν, που διαβάλουν καθημερινά τη στάση μας, απαξιώνουν την απόφαση που πήρατε εσείς μαζί, όλοι μαζί για αυτόνομη πορεία μακριά από δεσμεύσεις, μακριά μόνο για συγκρούσεις, μακριά από υποδούλωση σε ισχυρά συμφέροντα, με αυτονομία σύγκρουσης για να φέρουμε πραγματικά τις μεγάλες αλλαγές που έχει ανάγκη ο ελληνικός λαός. ",political agenda,elections,other,0.8,0.2,0.3,"[['friends', 'group of people', '0.8'], ['democratic party', 'political party', '0.8'], ['pasok', 'organization', '0.7'], ['greek', 'country', '0.8'], ['velideion', 'location', '0.6'], ['21 may', 'date', '0.7'], ['greeks', 'group of people', '0.8'], ['middle class', 'group of people', '0.7'], ['1974', 'date', '0.6'], ['greece', 'country', '0.7'], [""people's league"", 'organization', '0.6']]"
2,"Friends. But I want to confide something to you here from Thessaloniki. In the last few hours I am almost bursting with sadness. After Mr Mitsotakis' statements that he has nothing to say to PASOK. Mr Mitsotakis, I and all of us, all democrats, all progressive citizens, have nothing to say to the eavesdropping parastate. We have nothing to do with the leader of the Patsis who speculated with red loans at the expense of the poorest Greeks. The people have not forgotten what the Right means, so they are rebirthing its real opponent and not its sponsor, Mr Tsipras. Friends, what do we have to say to the champion of direct assignments, the champion of postponements, the champion of widespread corruption? What do we have to say to the champion of inequalities, the champion of the grafting of the Greek economy?","Φίλες και φίλοι. Θέλω όμως εδώ από τη Θεσσαλονίκη να σας εκμυστηρευτώ κάτι. Τις τελευταίες ώρες κοντεύω να σκάσω από τη στεναχώρια μου. Μετά τις δηλώσεις του κυρίου Μητσοτάκη ότι δεν έχει να πει τίποτα με το ΠΑΣΟΚ. Κύριε Μητσοτάκη, εγώ και όλοι μαζί, όλοι οι δημοκράτες, προοδευτικοί πολίτες, δεν έχουμε να πούμε τίποτα με το παρακράτος των υποκλοπών. Δεν έχουμε να πούμε τίποτα με τον αρχηγό των Πάτσηδων που κερδοσκοπούσαν με τα κόκκινα δάνεια εις βάρος των φτωχότερων Ελλήνων. Ο λαός δεν ξεχνά τι σημαίνει Δεξιά, για αυτό ξαναγεννά τον πραγματικό της αντίπαλο και όχι τον χορηγό της, τον κύριο Τσίπρα. Φίλες και φίλοι, τι έχουμε να πούμε με τον πρωταθλητή των απευθείας αναθέσεων, τον πρωταθλητή των μετακλητών, τον πρωταθλητή της εκτεταμένης διαφθοράς; Τι έχουμε να πούμε με τον πρωταθλητή των ανισοτήτων, τον πρωταθλητή του αφελληνισμού της ελληνικής οικονομίας; ",criticism,corruption,corruption,-0.7,0.9,0.2,"[['thessaloniki', 'location', '1.0'], ['mitsotakis', 'person', '1.0'], ['pasok', 'political party', '1.0'], ['patsis', 'person', '1.0'], ['right', 'political party', '1.0'], ['tsipras', 'person', '1.0'], ['greeks', 'group of people', '1.0'], ['greek', 'country', '1.0']]"
3,"In the last twenty-four hours, Mr Mitsotakis has really shown who has a personal obsession. He is trying to convince the PASOK cadres, the friends of PASOK, the voters of PASOK, that I am leading you into a blind front against New Democracy. But the truth is one. That in the last few days there has been nesting within it the anxiety and fear that what is being born, the new one, will be the real opponent. It will be the democratic party of serious opposition, of the programme, of perspective, and not the cheap populism of Mr Tsipras. Because Mr Mitsotakis knows very well in his heart that if it were not for Tsipras, his government would already be a thing of the past in the minds of the Greek people. Friends, he is looking for a life jacket. He knows that the only lifeline is the Greek people's previous experience of 15-19 with Tsipras and Kammenos. I imagine he would want another PASOK and not this PASOK, the current PASOK. He wanted a subordinate PASOK, but all of you 200,000, 270,000 democratic citizens sent him a strong message on 12 December and I call on all the Greek people to send him a new message on 21 May.","Τα τελευταία εικοσιτετράωρα ο κύριος Μητσοτάκης δείχνει πραγματικά ποιος έχει προσωπική εμμονή. Προσπαθεί να πείσει τα στελέχη του ΠΑΣΟΚ, τους φίλους του ΠΑΣΟΚ, τους ψηφοφόρους του ΠΑΣΟΚ, ότι σας οδηγώ σε ένα τυφλό μέτωπο απέναντι στη Νέα Δημοκρατία. Η αλήθεια όμως είναι μία. Ότι μέσα του τις τελευταίες ημέρες φωλιάζει η αγωνία και ο φόβος ότι αυτό που γεννιέται, το νέο θα είναι ο πραγματικός αντίπαλος. Θα είναι η δημοκρατική παράταξη της σοβαρής αντιπολίτευσης, του προγράμματος, της προοπτικής και όχι οι φτηνοί λαϊκισμοί του κυρίου Τσίπρα. Γιατί ξέρει πολύ καλά μέσα του ο κύριος Μητσοτάκης ότι αν δεν υπήρχε Τσίπρας ήδη η κυβέρνησή του θα ήταν παρελθόν στη συνείδηση του ελληνικού λαού. Φίλες και φίλοι, ψάχνει σωσίβιο. Γνωρίζει ότι το μόνο σωσίβιο είναι η προηγούμενη εμπειρία του ελληνικού λαού '15-'19 με τον Τσίπρα και τον Καμμένο. Φαντάζομαι ότι θα ήθελε ένα άλλο ΠΑΣΟΚ και όχι αυτό το ΠΑΣΟΚ, το σημερινό ΠΑΣΟΚ. Ήθελε ένα ΠΑΣΟΚ υποταγμένο, όμως όλοι εσείς οι 200.000, οι 270.000 δημοκράτες πολίτες τού στείλατε ηχηρό μήνυμα στις 12 του Δεκέμβρη και καλώ όλον τον ελληνικό λαό να του στείλει νέο μήνυμα στις 21 Μαΐου. ",criticism,elections,populism,-0.4,0.2,0.2,"[['mr mitsotakis', 'person', '0.9'], ['pasok', 'political party', '1.0'], ['new democracy', 'political party', '1.0'], ['tsipras', 'person', '0.9'], ['greek', 'location', '1.0'], ['kammenos', 'person', '0.7'], ['december 12', 'date', '1.0'], ['may 21', 'date', '1.0']]"
4,"Mr Mitsotakis thinks that the people are forgetting the history of his family, with its history of defections, its history of games, its history of parastatism. We are in 2023 and no democrat progressive citizen can bear such a downfall for our country, a European country. PASOK will not become a crutch for anyone because it has deep historical and social roots. Mr Mitsotakis is also trying to hit us politically by saying that we are statists, that we are not the progressive modernisers, implying that he is the progressive moderniser. However, and I urge the Greek people to remember that he is such a progressive moderniser that if we put his and his family's buffers in a row, they exceed the length of the Great Wall of China. This is the reality, Mr Mitsotakis, we have a memory as Greek people, we have a memory of who they are and which families have created political dowries by buffoonery at the expense of the public interest.","Νομίζει ο κύριος Μητσοτάκης ότι ο λαός ξεχνά την ιστορία της οικογένειάς του με τις αποστασίες, με τα παιχνίδια, με το παρακράτος. Είμαστε στο 2023 και κανένας δημοκράτης προοδευτικός πολίτης δεν σηκώνει τέτοια κατάντια για τη χώρα μας, μια ευρωπαϊκή χώρα. Το ΠΑΣΟΚ δεν θα γίνει δεκανίκι κανενός γιατί έχει βαθιά ιστορική και κοινωνική ρίζα. Ο κύριος Μητσοτάκης και πολιτικά προσπαθεί να μας πλήξει λέγοντας ότι είμαστε κρατιστές, δεν είμαστε οι προοδευτικοί εκσυγχρονιστές, υπονοώντας ότι αυτός είναι ο προοδευτικός εκσυγχρονιστής. Όμως και καλώ να θυμηθεί ο ελληνικός λαός, είναι τόσο προοδευτικός εκσυγχρονιστής που εάν τα ρουσφέτια του ιδίου και της οικογένειάς του τα βάλουμε σε μια σειρά ξεπερνούν σε μήκος το Σινικό Τείχος της Κίνας. Αυτή είναι η πραγματικότητα, κύριε Μητσοτάκη, έχουμε μνήμη ως ελληνικός λαός, έχουμε μνήμη ποιοί είναι αυτοί και ποιές οικογένειες έχουν δημιουργήσει πολιτικές προίκες με το ρουσφέτι εις βάρος του δημοσίου συμφέροντος. ",criticism,corruption,other,-0.8,0.8,0.3,"[['mr mitsotakis', 'person', '0.9'], ['pasok', 'political party', '0.9'], ['european', 'location', '0.9'], ['2023', 'date', '0.8'], ['greek', 'group of people', '0.8'], ['china', 'country', '0.7']]"
5,"On the one hand, Mr Tsipras cannot even utter the word PASOK, but on the other hand he is giving us history lessons. He said yesterday that Andreas Papandreou had never said that he had no front with the progressive forces. And I ask him, are Antonaros and the Kammenos orphans who filled his ballot papers progressive forces? Or is it a progressive front the digital parasite run by Koumoundourou that attacks political opponents, accusing them one day of being taken and the next of being blackmailed. It is the leader of a digital parasite that had no moral bottom to target a young woman, a comrade who reported her abuse. If this is the left, then Mr Tsipras is living in Latin America.","Από την άλλη ο κύριος Τσίπρας δεν μπορεί καν να αρθρώσει τη λέξη ΠΑΣΟΚ, αλλά από την άλλη μας κάνει μαθήματα ιστορίας. Είπε χθες ότι ο Ανδρέας Παπανδρέου δεν είχε λέει ποτέ μέτωπο με τις προοδευτικές δυνάμεις. Και τον ερωτώ, είναι προοδευτικές δυνάμεις ο Αντώναρος και τα ορφανά του Καμμένου που γέμισαν τα ψηφοδέλτιά του; Ή μήπως είναι προοδευτικό μέτωπο το ψηφιακό παρακράτος που διοικεί η Κουμουνδούρου και επιτίθεται σε πολιτικούς αντιπάλους, κατηγορώντας τους τη μια ότι είναι πιασμένοι και την άλλη εκβιαζόμενοι. Είναι αρχηγός ενός ψηφιακού παρακράτους που δεν είχε πάτο στο ήθος να στοχοποιήσει μια νέα γυναίκα, μια συντρόφισσα που κατήγγειλε την κακοποίησή της. Αν αυτό είναι Αριστερά, τότε ο κύριος Τσίπρας ζει στη Λατινική Αμερική. ",criticism,elections,other,-0.4,0.7,0.0,"[['mr tsipras', 'person', '0.9'], ['pasok', 'political party', '0.9'], ['andreas papandreou', 'person', '0.9'], ['antonaros', 'person', '0.7'], ['kammenos', 'person', '0.7'], ['koumoundourou', 'person', '0.7'], ['latin america', 'location', '0.8']]"
6,"The left that is at the heart and soul of the democratic party is the rule of law, respect for human rights and the separation of powers. PASOK is here, comrades. Friends, PASOK is here to embrace the progressive Left, the progressive centre and the aspirations of every democratic citizen, away from the discord, away from the toxic conflicts that are pinning down the future of our country. But what are progressive forces, to recall the events of a little earlier? Are the ones who shouted Hangmen in the Constitution and compared the elected Prime Minister of the country, George Papandreou, with Pinochet, the dictator of Chile, progressive forces? Or was it? Or are they progressive forces who in the '15 election said to the people don't pay your loans, here we come. We will bring stubbornness. And they also said no house in the hands of a banker and they brought electronic auctions, reduction of first home protection and sold billions of euros of red loans in '15 to blackmail the weakest citizens. The crows of the funds. This is the Left and Mr Tsipras' progress here is the Left of protecting the first home. This is the Left that is standing in the way of the de-fellatinisation of the Greek economy.","Αριστερά που είναι στην καρδιά και στην ψυχή της δημοκρατικής παράταξης είναι το κράτος δικαίου, ο σεβασμός στα ανθρώπινα δικαιώματα και η διάκριση των εξουσιών. Το ΠΑΣΟΚ είναι εδώ σύντροφοι. Φίλες και φίλοι, το ΠΑΣΟΚ είναι εδώ να αγκαλιάσει την προοδευτική Αριστερά, το προοδευτικό κέντρο και τις αγωνίες κάθε δημοκράτη πολίτη, μακριά από τη διχόνια, μακριά από τις τοξικές συγκρούσεις που καθηλώνουν το μέλλον της πατρίδας μας. Τι είναι όμως προοδευτικές δυνάμεις, για να θυμηθούμε τα λίγο παλιότερα γεγονότα; Είναι προοδευτικές δυνάμεις αυτοί που φώναζαν Κρεμάλες στο Σύνταγμα και συνέκριναν τον εκλεγμένο πρωθυπουργό της χώρας Γιώργο Παπανδρέου, με τον Πινοσέτ, το δικτάτορα της Χιλής; Ή μήπως; Ή μήπως είναι προοδευτικές δυνάμεις αυτοί που το '15 στις εκλογές έλεγαν του λαού μην πληρώνεις τα δάνειά σου, ερχόμαστε. Σεισάχθεια θα φέρουμε. Και επίσης έλεγαν κανένα σπίτι στα χέρια τραπεζίτη και έφεραν ηλεκτρονικούς πλειστηριασμούς, μείωση της θωράκισης της πρώτης κατοικίας και πούλησαν το '15 δισεκατομμύρια ευρώ κόκκινα δάνεια για να εκβιάζουν τους πιο αδύναμους πολίτες. Τα κοράκια των funds. Αυτή είναι η Αριστερά και η πρόοδος του κυρίου Τσίπρα εδώ είναι η Αριστερά της προστασίας της πρώτης κατοικίας. Εδώ είναι η Αριστερά που μπαίνει εμπόδιο στον αφελληνισμό της ελληνικής οικονομίας. ",criticism,economy,other,,0.9,0.2,"[['democratic party', 'organization', '1.0'], ['pasok', 'political party', '1.0'], ['left', 'group of people', '1.0'], ['comrades', 'group of people', '1.0'], ['george papandreou', 'person', '1.0'], ['pinochet', 'person', '1.0'], [""'15 election"", 'date', '1.0'], ['left', 'group of people', '1.0'], ['banker', 'person', '1.0'], ['electronic auctions', 'organization', '1.0'], ['first home protection', 'organization', '1.0'], ['red loans', 'organization', '1.0'], ['mr tsipras', 'person', '1.0'], ['greek', 'country', '1.0']]"
7,"Friends, yes, we have a front, we have a front with all of them. Because, quite simply, we have a front against authoritarianism and misery in public debate. We have a front against the organised gangs of the Internet. We have a front against those who, for the sake of the chair, for the sake of power, are capable of saying the same and the opposite and sacrificing the public interest of the Greek people. Friends, they have the audacity to play with the memory of Andreas Papandreou, our founder. Let us make it clear from here. Let us make it clear here in Thessaloniki. Andreas Papandreou, who belongs to the history of the democratic, progressive history of this country. Andreas Papandreou, Mr Tsipras, cannot be exploited by those who talk about dangerous theories about Prespes and the Aegean. Andreas Papandreou and the patriotic PASOK do not go hand in hand with the Aegean Prespes, Mr Tsipras. Andreas Papandreou and this patriotic people's movement are not going with the dangerous theories that there are no borders at sea. So leave our founder, our historical leader, the greatest politician of Greece since the Second World War, Andreas Papandreou, alone in history. This political giant has nothing to do with your dangerous adventurism. But he has the audacity to lecture us on how New Democracy will fall. Who? Its major sponsor, who every week will say something to give Mr Mitsotakis a field to run on. On the one hand, local currencies, on the other, the Evros fence, which they suddenly say yes, but that European taxpayers should not pay for it. Admittedly, this is the big issue for Syriza and various other things that simply show a need. Fight every day on 21 May to have its real opponent, New Democracy, because with Mr Tsipras and his company, Mr Mitsotakis feels completely safe.","Φίλες και φίλοι, ναι, έχουμε μέτωπο, έχουμε μέτωπο με όλους αυτούς. Γιατί πολύ απλά, έχουμε μέτωπο με τον αυταρχισμό και την αθλιότητα στο δημόσιο διάλογο. Έχουμε μέτωπο απέναντι στις οργανωμένες συμμορίες του Διαδικτύου. Έχουμε μέτωπο απέναντι σε αυτούς που για την καρέκλα, για την εξουσία είναι ικανοί να πούνε το ίδιο και το αντίθετο και να θυσιάζουν το δημόσιο συμφέρον του ελληνικού λαού. Φίλες και φίλοι, έχουν θράσος να παίζουν και με τη μνήμη του Ανδρέα Παπανδρέου, του ιδρυτή μας. Ας το ξεκαθαρίσουμε και από δω. Ας το ξεκαθαρίσουμε και εδώ από τη Θεσσαλονίκη. Ανδρέας Παπανδρέου, που ανήκει στην ιστορία τη δημοκρατική προοδευτική ιστορία του τόπου. Δεν μπορεί ο Ανδρέας Παπανδρέου, κύριε Τσίπρα να γίνεται εκμεταλλεύσιμο προϊόν από αυτούς που μιλούν για επικίνδυνες θεωρίες περί Πρεσπών του Αιγαίου. Δεν πάει μαζί ο Ανδρέας Παπανδρέου και το πατριωτικό ΠΑΣΟΚ με τις Πρέσπες του Αιγαίου, κύριε Τσίπρα. Δεν πάει ο Ανδρέας Παπανδρέου και το πατριωτικό λαογέννητο αυτό κίνημα με τις επικίνδυνες θεωρίας ότι στη θάλασσα δεν υπάρχουν σύνορα. Αφήστε λοιπόν ήσυχο στην ιστορία τον ιδρυτή μας, τον ιστορικό ηγέτη, τον μεγαλύτερο πολιτικό της Ελλάδας, μετά το Δεύτερο Παγκόσμιο Πόλεμο, τον Ανδρέα Παπανδρέου. Δεν έχει σχέση ο πολιτικός αυτός γίγαντας με τους επικίνδυνους τυχοδιωκτισμούς σας. Έχει όμως θράσος να μας κάνει μαθήματα για το πώς θα πέσει η Νέα Δημοκρατία. Ποιος; Ο μεγάλος χορηγός της, που κάθε εβδομάδα θα πούνε και κάτι για να δώσουν πεδίο στον κύριο Μητσοτάκη. Τη μία τα τοπικά νομίσματα, την άλλη το φράχτη στον Έβρο που ξαφνικά λένε ναι, αλλά να μην το πληρώσουν οι Ευρωπαίοι φορολογούμενοι. Ομολογουμένως αυτό είναι το μεγάλο θέμα του ΣΥΡΙΖΑ και διάφορα άλλα που απλά δείχνουν μια ανάγκη. Αγωνιστείτε καθημερινά 21 Μαΐου να έχει τον πραγματικό της αντίπαλο, η Νέα Δημοκρατία, γιατί με τον κύριο Τσίπρα και την παρέα του ο κύριος Μητσοτάκης νιώθει την απόλυτη ασφάλεια. ",criticism,elections,borders,-0.4,0.6,0.2,"[['thessaloniki', 'location', '1.0'], ['greek people', 'group of people', '0.8'], ['andreas papandreou', 'person', '1.0'], ['pasok', 'political party', '1.0'], ['prespes', 'location', '0.6'], ['aegean', 'location', '0.6'], ['greece', 'country', '1.0'], ['new democracy', 'political party', '1.0'], ['mr mitsotakis', 'person', '1.0'], ['european', 'organization', '0.5'], ['syriza', 'political party', '1.0'], ['21 may', 'date', '1.0']]"
8,"But, friends, let's go to our programme that wants to give a new breath to the Greek economy. The programme, the social democratic programme, the programme of Democratic Socialism, the programme that reduces inequalities and creates opportunities and hopes for all Greek children, for all families. One promises things that cannot be done and the other hides what is going to happen with his budgetary choices. They boast about growth, about good statistics, when in reality our performance is unfortunately negative, as the OECD figures show. More than two and a half million Greeks are currently threatened with poverty and social exclusion, according to official figures. They praise that they reduced taxes, but the taxes paid by citizens in 2022 were 5 billion more than the targets. If this is not overtaxation, what is it? And even more so if we put on the table that most of these taxes are due to VAT consumption and special taxes that beat up the weakest, the workers, the unemployed and the middle class. They say they have increased the minimum wage by 20% and dispute the OECD figures of a 7.4% reduction in real wages. Unemployment, they say, is falling, but the new jobs are mostly €400 part-time jobs. This growth that has Mr Mitsotakis' name on it is creating real estate with internal loans. In a few years, with this policy, we will be foreigners in our country. Students will not be able to rent a house with dignity in the centre of Thessaloniki and the centre of Athens. Young couples will not be able to build their future with dignity and have children. And on the other hand, Mr Tsipras thinks that the economy is a cow that gives out milk without ever being fed.","Φίλες και φίλοι, ας πάμε όμως στο πρόγραμμά μας αυτό που θέλει να δώσει μια άλλη πνοή στην ελληνική οικονομία. Το πρόγραμμα, το σοσιαλδημοκρατικό, το πρόγραμμα του Δημοκρατικού Σοσιαλισμού, το πρόγραμμα που μειώνει τις ανισότητες και δημιουργεί ευκαιρίες και ελπίδες για όλα τα ελληνόπουλα, για όλες τις οικογένειες. Ο ένας υπόσχεται πράγματα που δεν μπορούν να γίνουν και ο άλλος κρύβει αυτά που πρόκειται να συμβούν με τις δημοσιονομικές του επιλογές. Πανηγυρίζουν για μια ανάπτυξη, για τις καλές στατιστικές, ενώ στην πραγματικότητα οι πρωτιές μας δυστυχώς είναι αρνητικές, όπως αποδεικνύουν τα στοιχεία του ΟΟΣΑ. Περισσότερο από δυόμισι εκατομμύρια Έλληνες και Ελληνίδες απειλούνται σήμερα με φτώχεια και κοινωνικό αποκλεισμό, σύμφωνα με τα επίσημα στοιχεία. Επαίρονται ότι μείωσαν τους φόρους, αλλά οι φόροι που πλήρωσαν οι πολίτες το 2022 ήταν 5 δισεκατομμύρια παραπάνω από τους στόχους. Αν αυτό δεν είναι υπερφορολόγηση, τι είναι; Και μάλιστα εάν βάλουμε στο τραπέζι ότι το μεγαλύτερο ποσοστό αυτών των φόρων είναι λόγω κατανάλωσης ΦΠΑ και ειδικοί φόροι που δέρνουν τους πιο αδύναμους, τους εργαζόμενους, τους ανέργους και τη μεσαία τάξη. Λένε ότι αύξησαν τον κατώτατο μισθό κατά 20% και αμφισβητούν τα στοιχεία του ΟΟΣΑ για τη μείωση των πραγματικών μισθών κατά 7,4%. Η ανεργία, λένε μειώνεται, όμως οι νέες δουλειές είναι επί το πλείστον δουλειές των 400€ της μερικής απασχόλησης. Αυτή η ανάπτυξη που έχει το όνομα του κυρίου Μητσοτάκη δημιουργεί real estate με εσωτερικά δανεικά. Σε λίγα χρόνια, με αυτή την πολιτική, θα είμαστε ξένοι στην πατρίδα μας. Δεν θα μπορούν οι φοιτητές να ενοικιάσουν ένα σπίτι με αξιοπρέπεια στο Κέντρο της Θεσσαλονίκης και στο Κέντρο της Αθήνας. Δεν θα μπορεί το νέο ζευγάρι να χτίσει το μέλλον του με αξιοπρέπεια και να κάνει παιδιά. Και από την άλλη, ο κύριος Τσίπρας νομίζει ότι η οικονομία είναι μια αγελάδα που μοιράζει γάλα χωρίς να την ταΐζεις ποτέ. ",criticism,economy,economic equity,-0.8,0.2,0.2,"[['greek', 'location', '1.0'], ['democratic socialism', 'organization', '1.0'], ['oecd', 'organization', '1.0'], ['greeks', 'group of people', '0.8'], ['vat', 'organization', '0.7'], ['workers', 'group of people', '0.8'], ['unemployed', 'group of people', '1.0'], ['middle class', 'group of people', '0.8'], ['minimum wage', 'date', '0.7'], ['oecd', 'organization', '1.0'], ['mitsotakis', 'person', '1.0'], ['thessaloniki', 'location', '1.0'], ['athens', 'location', '1.0'], ['tsipras', 'person', '1.0']]"
9,"So it is time for us, the democratic party, to put an end to these outdated models of power and create a broad social alliance for a strong Greece of the future, so that we can become a normal European country again. This is our vision, a normal European country that respects the citizen, respects the environment and that growth is sustainable and socially just for all Greeks. We have a duty to build a modern welfare state with high-quality benefits and services, not a youth pass. Mr Mitsotakis cannot disregard the young generation in this way, a young generation with few opportunities and many skills, and just before the elections try to buy consciences with EUR 150. This shows the quality of New Democracy's politics.","Ήρθε λοιπόν η ώρα, εμείς η δημοκρατική παράταξη να τελειώνουμε με αυτά τα παρωχημένα μοντέλα εξουσίας και να δημιουργήσουμε μία πλατιά κοινωνική συμμαχία για την ισχυρή Ελλάδα του μέλλοντος, ώστε να ξαναγίνουμε μια κανονική ευρωπαϊκή χώρα. Αυτό είναι το όραμα μας, μια κανονική ευρωπαϊκή χώρα που θα σέβεται τον πολίτη, θα σέβεται το περιβάλλον και η ανάπτυξη θα είναι βιώσιμη και κοινωνικά δίκαιη για όλες τις Ελληνίδες και όλους τους Έλληνες. Έχουμε χρέος να φτιάξουμε ένα σύγχρονο κοινωνικό κράτος υψηλής ποιότητας παροχών και υπηρεσιών και όχι τα youth pass. Δεν μπορεί ο κύριος Μητσοτάκης να περιφρονεί κατ' αυτόν τον τρόπο τη νέα γενιά, μια νέα γενιά με λιγοστές ευκαιρίες και πολλά εφόδια και λίγο πριν τις εκλογές να προσπαθεί με 150€ να εξαγοράσει συνειδήσεις. Αυτό δείχνει την ποιότητα του πολιτεύεσθαι της Νέας Δημοκρατίας. ",political agenda,social state,youth,0.52,0.2,0.0,"[['democratic party', 'organization', '1.0'], ['greece', 'country', '1.0'], ['european country', 'location', '1.0'], ['greeks', 'group of people', '1.0'], ['mitsotakis', 'person', '1.0'], ['new democracy', 'political party', '1.0'], ['eur 150', 'date', '1.0']]"
10,"Also the green transition. The green transition, for Mr Mitsotakis, is a business for the few.","Επίσης, η πράσινη μετάβαση. Η πράσινη μετάβαση, για τον κύριο Μητσοτάκη, είναι μια μπίζνα για λίγους. ",criticism,energy,other,-0.4,0.1,0.0,"[['mr mitsotakis', 'person', '0.95'], ['green transition', 'organization', '0.9']]"
